time,Houston,pts.away,score,pts.home,LA Clippers
7:22.0,D. Motiejunas makes 2-pt shot from 9 ft,2,8-10,,
7:06.0,,,8-12,2,S. Hawes makes 2-pt shot from 1 ft (assist by J. Redick)
6:41.0,D. Motiejunas misses 3-pt shot from 24 ft,,8-12,,
6:41.0,,,8-12,,Defensive rebound by Team
6:32.0,,,8-12,,D. Jordan misses 2-pt shot from 1 ft
6:30.0,Defensive rebound by J. Harden,,8-12,,
6:26.0,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden),3,11-12,,
6:10.0,,,11-12,,S. Hawes misses 3-pt shot from 23 ft
6:06.0,Defensive rebound by T. Ariza,,11-12,,
5:58.0,J. Harden misses 3-pt shot from 25 ft,,11-12,,
5:56.0,,,11-12,,Defensive rebound by S. Hawes
5:48.0,,,11-15,3,C. Paul makes 3-pt shot from 24 ft
5:39.0,Houston full timeout,,11-15,,
5:39.0,J. Smith enters the game for J. Dorsey,,11-15,,
5:23.0,T. Ariza makes 2-pt shot from 22 ft (assist by P. Beverley),2,13-15,,
5:00.0,,,13-15,,J. Redick misses 2-pt shot from 20 ft
4:58.0,Defensive rebound by J. Smith,,13-15,,
4:53.0,D. Motiejunas makes 2-pt shot at rim (assist by J. Smith),2,15-15,,
4:44.0,Personal foul by D. Motiejunas (drawn by D. Jordan),,15-15,,
4:44.0,,,15-15,,J. Crawford enters the game for M. Barnes
4:32.0,,,15-17,2,J. Redick makes 2-pt shot from 19 ft (assist by C. Paul)
4:11.0,J. Smith misses 2-pt shot from 2 ft,,15-17,,
4:10.0,Offensive rebound by J. Smith,,15-17,,
4:09.0,,,15-17,,G. Davis enters the game for S. Hawes
4:03.0,J. Smith misses 3-pt shot from 24 ft,,15-17,,
4:01.0,,,15-17,,Defensive rebound by J. Crawford
3:54.0,,,15-19,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
3:45.0,J. Smith makes 2-pt shot from 1 ft (assist by J. Harden),2,17-19,,
3:45.0,,,17-19,,Shooting block foul by G. Davis (drawn by J. Smith)
3:45.0,J. Smith makes free throw 1 of 1,1,18-19,,
3:37.0,,,18-21,2,J. Redick makes 2-pt shot at rim (assist by C. Paul)
3:29.0,J. Harden misses 3-pt shot from 24 ft,,18-21,,
3:28.0,,,18-21,,Defensive rebound by C. Paul
3:22.0,,,18-21,,Turnover by C. Paul (bad pass)
3:22.0,,,18-21,,A. Rivers enters the game for J. Redick
3:11.0,K. Papanikolaou enters the game for D. Motiejunas,,18-21,,
3:05.0,J. Smith makes 2-pt shot from 1 ft,2,20-21,,
2:49.0,,,20-21,,Turnover by J. Crawford (bad pass; steal by K. Papanikolaou)
2:43.0,J. Harden makes 2-pt shot from 1 ft,2,22-21,,
2:24.0,,,22-23,2,C. Paul makes 2-pt shot from 18 ft
1:56.0,P. Beverley misses 3-pt shot from 25 ft,,22-23,,
1:55.0,,,22-23,,Defensive rebound by C. Paul
1:48.0,,,22-23,,C. Paul misses 2-pt shot from 1 ft
1:48.0,,,22-23,,Offensive rebound by Team
1:48.0,Loose ball foul by K. Papanikolaou (drawn by D. Jordan),,22-23,,
1:48.0,,,22-23,,LA Clippers full timeout
1:48.0,J. Terry enters the game for P. Beverley,,22-23,,
1:48.0,C. Brewer enters the game for T. Ariza,,22-23,,
1:48.0,,,22-23,,D. Jordan misses free throw 1 of 2
1:48.0,,,22-23,,Offensive rebound by Team
1:48.0,,,22-24,1,D. Jordan makes free throw 2 of 2
1:34.0,Turnover by J. Smith (bad pass),,22-24,,
1:18.0,,,22-24,,J. Crawford misses 2-pt shot from 17 ft
1:17.0,Defensive rebound by J. Smith,,22-24,,
1:08.0,K. Papanikolaou misses 3-pt shot from 23 ft,,22-24,,
1:07.0,,,22-24,,Defensive rebound by A. Rivers
1:01.0,,,22-24,,G. Davis misses 2-pt shot from 1 ft (block by K. Papanikolaou)
0:59.0,Defensive rebound by J. Smith,,22-24,,
0:57.0,C. Brewer makes 2-pt shot from 1 ft (assist by J. Smith),2,24-24,,
0:34.0,,,24-24,,A. Rivers misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by Team,,24-24,,
0:32.0,,,24-24,,Loose ball foul by C. Paul (drawn by J. Terry)
0:32.0,,,24-24,,M. Barnes enters the game for D. Jordan
0:17.0,J. Harden misses 2-pt shot from 14 ft,,24-24,,
0:15.0,,,24-24,,Defensive rebound by G. Davis
0:05.0,Personal foul by J. Terry (drawn by J. Crawford),,24-24,,
0:05.0,,,24-25,1,J. Crawford makes free throw 1 of 2
0:05.0,,,24-26,1,J. Crawford makes free throw 2 of 2
0:01.0,C. Brewer makes 2-pt shot from 21 ft (assist by J. Smith),2,26-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,J. Smith makes 2-pt shot at rim,2,28-26,,
11:39.0,,,28-26,,LA Clippers full timeout
11:30.0,,,28-26,,Turnover by A. Rivers (lost ball; steal by J. Smith)
11:25.0,,,28-26,,Loose ball foul by H. Turkoglu (drawn by T. Ariza)
11:17.0,J. Smith misses 3-pt shot from 24 ft,,28-26,,
11:15.0,,,28-26,,Defensive rebound by M. Barnes
11:10.0,,,28-26,,Offensive charge foul by G. Davis
11:10.0,,,28-26,,Turnover by G. Davis (offensive foul)
10:58.0,C. Brewer misses 2-pt shot at rim,,28-26,,
10:57.0,Offensive rebound by J. Smith,,28-26,,
10:51.0,Turnover by J. Smith (lost ball; steal by A. Rivers),,28-26,,
10:48.0,Personal block foul by J. Terry (drawn by M. Barnes),,28-26,,
10:40.0,,,28-26,,Shooting foul by C. Brewer (drawn by J. Crawford)
10:40.0,,,28-27,1,J. Crawford makes free throw 1 of 3
10:40.0,,,28-27,,J. Crawford misses free throw 2 of 3
10:40.0,,,28-27,,Offensive rebound by Team
10:40.0,D. Motiejunas enters the game for J. Smith,,28-27,,
10:40.0,,,28-28,1,J. Crawford makes free throw 3 of 3
10:20.0,T. Ariza misses 3-pt shot from 24 ft,,28-28,,
10:19.0,,,28-28,,Defensive rebound by G. Davis
10:12.0,,,28-28,,J. Crawford misses 2-pt shot from 6 ft (block by D. Motiejunas)
10:10.0,Defensive rebound by D. Motiejunas,,28-28,,
10:08.0,Turnover by D. Motiejunas (bad pass; steal by M. Barnes),,28-28,,
10:01.0,,,28-30,2,J. Crawford makes 2-pt shot from 1 ft (assist by M. Barnes)
9:54.0,,,28-30,,Personal foul by G. Davis (drawn by D. Motiejunas)
9:50.0,Turnover by D. Motiejunas (bad pass; steal by G. Davis),,28-30,,
9:44.0,,,28-32,2,G. Davis makes 2-pt shot at rim (assist by M. Barnes)
9:33.0,Shooting foul by G. Davis (drawn by C. Brewer),,28-32,,
9:33.0,C. Brewer makes free throw 1 of 2,1,29-32,,
9:33.0,,,29-32,,S. Hawes enters the game for G. Davis
9:33.0,C. Brewer makes free throw 2 of 2,1,30-32,,
9:07.0,,,30-32,,M. Barnes misses 3-pt shot from 24 ft (block by T. Ariza)
9:05.0,Defensive rebound by K. Papanikolaou,,30-32,,
9:02.0,T. Ariza makes 2-pt shot at rim (assist by K. Papanikolaou),2,32-32,,
8:48.0,,,32-34,2,A. Rivers makes 2-pt shot from 21 ft (assist by J. Crawford)
8:38.0,Turnover by C. Brewer (lost ball),,32-34,,
8:38.0,Official timeout,,32-34,,
8:13.0,,,32-36,2,S. Hawes makes 2-pt shot from 1 ft
7:58.0,D. Motiejunas makes 2-pt shot from 2 ft (assist by J. Terry),2,34-36,,
7:45.0,,,34-36,,A. Rivers misses 2-pt shot from 16 ft
7:45.0,,,34-36,,Offensive rebound by Team
7:45.0,Personal foul by D. Motiejunas (drawn by S. Hawes),,34-36,,
7:45.0,,,34-36,,D. Jordan enters the game for H. Turkoglu
7:33.0,,,34-36,,A. Rivers misses 3-pt shot from 25 ft
7:32.0,,,34-36,,Offensive rebound by D. Jordan
7:27.0,,,34-36,,J. Crawford misses 3-pt shot from 24 ft
7:26.0,,,34-36,,Offensive rebound by M. Barnes
7:21.0,,,34-36,,S. Hawes misses 2-pt shot from 17 ft
7:19.0,Defensive rebound by T. Ariza,,34-36,,
7:12.0,C. Brewer makes 3-pt shot from 24 ft (assist by T. Ariza),3,37-36,,
7:02.0,,,37-36,,LA Clippers full timeout
7:02.0,,,37-36,,C. Paul enters the game for S. Hawes
7:02.0,,,37-36,,J. Redick enters the game for A. Rivers
7:02.0,J. Harden enters the game for T. Ariza,,37-36,,
7:02.0,J. Smith enters the game for K. Papanikolaou,,37-36,,
6:47.0,,,37-36,,J. Crawford misses 2-pt shot from 21 ft
6:47.0,,,37-36,,Offensive rebound by Team
6:47.0,Loose ball foul by D. Motiejunas (drawn by D. Jordan),,37-36,,
6:47.0,J. Dorsey enters the game for D. Motiejunas,,37-36,,
6:42.0,,,37-38,2,C. Paul makes 2-pt shot from 14 ft (assist by J. Redick)
6:24.0,J. Smith misses 2-pt shot from 4 ft,,37-38,,
6:23.0,,,37-38,,Defensive rebound by M. Barnes
6:06.0,,,37-38,,C. Paul misses 3-pt shot from 25 ft
6:04.0,Defensive rebound by C. Brewer,,37-38,,
6:01.0,Turnover by C. Brewer (bad pass; steal by C. Paul),,37-38,,
5:53.0,,,37-41,3,J. Redick makes 3-pt shot from 24 ft (assist by J. Crawford)
5:42.0,Shooting foul by M. Barnes (drawn by J. Harden),,37-41,,
5:42.0,J. Harden misses free throw 1 of 2,,37-41,,
5:42.0,Offensive rebound by Team,,37-41,,
5:42.0,P. Beverley enters the game for J. Terry,,37-41,,
5:42.0,J. Harden misses free throw 2 of 2,,37-41,,
5:41.0,,,37-41,,Defensive rebound by D. Jordan
5:29.0,,,37-41,,J. Redick misses 3-pt shot from 24 ft
5:28.0,Defensive rebound by J. Smith,,37-41,,
5:24.0,C. Brewer makes 2-pt shot at rim (assist by J. Smith),2,39-41,,
5:12.0,,,39-41,,C. Paul misses 2-pt shot from 1 ft
5:10.0,,,39-41,,Offensive rebound by D. Jordan
5:10.0,,,39-43,2,D. Jordan makes 2-pt shot at rim
4:57.0,P. Beverley misses 3-pt shot from 23 ft,,39-43,,
4:56.0,,,39-43,,Defensive rebound by C. Paul
4:52.0,,,39-43,,Shooting foul by J. Harden (drawn by M. Barnes)
4:52.0,,,39-44,1,M. Barnes makes free throw 1 of 2
4:52.0,,,39-45,1,M. Barnes makes free throw 2 of 2
4:39.0,C. Brewer misses 3-pt shot from 24 ft,,39-45,,
4:39.0,,,39-45,,Defensive rebound by Team
4:39.0,Personal foul by J. Dorsey (drawn by D. Jordan),,39-45,,
4:39.0,,,39-45,,D. Jordan misses free throw 1 of 2
4:39.0,,,39-45,,Offensive rebound by Team
4:39.0,K. Papanikolaou enters the game for J. Dorsey,,39-45,,
4:39.0,,,39-46,1,D. Jordan makes free throw 2 of 2
4:20.0,J. Smith makes 3-pt shot from 24 ft (assist by K. Papanikolaou),3,42-46,,
3:55.0,,,42-46,,J. Crawford misses 2-pt shot from 22 ft
3:53.0,,,42-46,,Offensive rebound by D. Jordan
3:52.0,,,42-46,,Shooting foul by J. Smith (drawn by D. Jordan)
3:52.0,,,42-46,,D. Jordan misses free throw 1 of 2
3:52.0,,,42-46,,Offensive rebound by Team
3:52.0,,,42-47,1,D. Jordan makes free throw 2 of 2
3:40.0,P. Beverley makes 3-pt shot from 25 ft (assist by J. Harden),3,45-47,,
3:25.0,,,45-50,3,J. Redick makes 3-pt shot from 25 ft (assist by C. Paul)
3:09.0,K. Papanikolaou makes 2-pt shot from 2 ft (assist by C. Brewer),2,47-50,,
2:56.0,,,47-50,,J. Crawford misses 3-pt shot from 23 ft
2:55.0,Defensive rebound by J. Harden,,47-50,,
2:48.0,J. Harden makes 2-pt shot from 1 ft,2,49-50,,
2:31.0,Personal foul by P. Beverley (drawn by C. Paul),,49-50,,
2:31.0,Houston full timeout,,49-50,,
2:31.0,T. Ariza enters the game for C. Brewer,,49-50,,
2:31.0,,,49-51,1,C. Paul makes free throw 1 of 2
2:31.0,,,49-52,1,C. Paul makes free throw 2 of 2
2:09.0,K. Papanikolaou misses 3-pt shot from 22 ft,,49-52,,
2:08.0,Offensive rebound by J. Smith,,49-52,,
2:06.0,Turnover by J. Smith (lost ball; steal by J. Crawford),,49-52,,
1:58.0,,,49-52,,Turnover by M. Barnes (bad pass; steal by J. Harden)
1:53.0,Shooting foul by J. Redick (drawn by T. Ariza),,49-52,,
1:53.0,T. Ariza makes free throw 1 of 2,1,50-52,,
1:53.0,T. Ariza makes free throw 2 of 2,1,51-52,,
1:40.0,,,51-52,,Shooting foul by T. Ariza (drawn by D. Jordan)
1:40.0,,,51-52,,D. Jordan misses free throw 1 of 2
1:40.0,,,51-52,,Offensive rebound by Team
1:40.0,,,51-52,,D. Jordan misses free throw 2 of 2
1:39.0,Defensive rebound by Team,,51-52,,
1:28.0,J. Harden misses 3-pt shot from 25 ft,,51-52,,
1:26.0,Offensive rebound by K. Papanikolaou,,51-52,,
1:21.0,P. Beverley makes 3-pt shot from 25 ft (assist by K. Papanikolaou),3,54-52,,
0:54.0,,,54-52,,C. Paul misses 2-pt shot from 11 ft
0:53.0,Defensive rebound by J. Harden,,54-52,,
0:46.0,J. Smith makes 2-pt shot at rim (assist by T. Ariza),2,56-52,,
0:33.0,,,56-54,2,M. Barnes makes 2-pt shot from 1 ft (assist by C. Paul)
0:08.0,K. Papanikolaou misses 3-pt shot from 24 ft,,56-54,,
0:07.0,,,56-54,,Defensive rebound by M. Barnes
0:01.0,,,56-54,,C. Paul misses 3-pt shot from 23 ft
0:00.0,,,56-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,D. Motiejunas misses 2-pt shot from 9 ft (block by D. Jordan),,56-54,,
11:39.0,,,56-54,,Defensive rebound by M. Barnes
11:21.0,,,56-56,2,C. Paul makes 2-pt shot from 11 ft (assist by S. Hawes)
11:02.0,T. Ariza makes 2-pt shot from 1 ft (assist by P. Beverley),2,58-56,,
10:45.0,,,58-58,2,S. Hawes makes 2-pt shot from 19 ft (assist by C. Paul)
10:32.0,P. Beverley misses 3-pt shot from 24 ft,,58-58,,
10:29.0,Offensive rebound by D. Motiejunas,,58-58,,
10:16.0,J. Harden misses 2-pt shot from 17 ft,,58-58,,
10:14.0,,,58-58,,Defensive rebound by C. Paul
9:58.0,,,58-58,,Turnover by D. Jordan (3 sec)
9:58.0,,,58-58,,Violation by Team (delay of game)
9:32.0,T. Ariza misses 2-pt shot from 19 ft,,58-58,,
9:30.0,Offensive rebound by P. Beverley,,58-58,,
9:26.0,P. Beverley misses 3-pt shot from 25 ft,,58-58,,
9:25.0,Offensive rebound by T. Ariza,,58-58,,
9:25.0,Shooting foul by S. Hawes (drawn by T. Ariza),,58-58,,
9:25.0,T. Ariza makes free throw 1 of 2,1,59-58,,
9:25.0,T. Ariza makes free throw 2 of 2,1,60-58,,
9:11.0,,,60-58,,S. Hawes misses 3-pt shot from 25 ft
9:10.0,Defensive rebound by P. Beverley,,60-58,,
8:58.0,T. Ariza misses 3-pt shot from 23 ft,,60-58,,
8:57.0,,,60-58,,Defensive rebound by D. Jordan
8:47.0,,,60-60,2,M. Barnes makes 2-pt shot from 12 ft (assist by C. Paul)
8:33.0,,,60-60,,Personal block foul by S. Hawes (drawn by J. Harden)
8:23.0,D. Motiejunas misses 3-pt shot from 24 ft,,60-60,,
8:22.0,Offensive rebound by Team,,60-60,,
8:22.0,,,60-60,,Loose ball foul by S. Hawes (drawn by J. Dorsey)
8:16.0,Shooting foul by J. Redick (drawn by J. Harden),,60-60,,
8:16.0,J. Harden makes free throw 1 of 2,1,61-60,,
8:16.0,J. Harden makes free throw 2 of 2,1,62-60,,
8:08.0,,,62-62,2,S. Hawes makes 2-pt shot from 1 ft (assist by C. Paul)
8:08.0,,,62-62,,Shooting foul by J. Dorsey (drawn by S. Hawes)
8:08.0,,,62-63,1,S. Hawes makes free throw 1 of 1
7:55.0,Shooting foul by S. Hawes (drawn by D. Motiejunas),,62-63,,
7:55.0,D. Motiejunas makes free throw 1 of 2,1,63-63,,
7:55.0,J. Smith enters the game for J. Dorsey,,63-63,,
7:55.0,D. Motiejunas makes free throw 2 of 2,1,64-63,,
7:44.0,,,64-65,2,J. Redick makes 2-pt shot from 3 ft (assist by C. Paul)
7:25.0,J. Smith misses 3-pt shot from 25 ft,,64-65,,
7:24.0,,,64-65,,Defensive rebound by D. Jordan
7:13.0,,,64-65,,J. Redick misses 2-pt shot from 14 ft
7:12.0,Defensive rebound by T. Ariza,,64-65,,
7:00.0,T. Ariza misses 3-pt shot from 24 ft,,64-65,,
6:59.0,,,64-65,,Defensive rebound by D. Jordan
6:45.0,,,64-65,,M. Barnes misses 2-pt shot at rim (block by J. Smith)
6:43.0,Defensive rebound by J. Smith,,64-65,,
6:41.0,Offensive charge foul by J. Harden,,64-65,,
6:41.0,Turnover by J. Harden (offensive foul),,64-65,,
6:20.0,,,64-65,,M. Barnes misses 3-pt shot from 23 ft
6:19.0,,,64-65,,Offensive rebound by Team
6:14.0,Personal foul by P. Beverley (drawn by C. Paul),,64-65,,
6:06.0,,,64-67,2,D. Jordan makes 2-pt shot from 1 ft (assist by C. Paul)
6:06.0,,,64-67,,Shooting foul by T. Ariza (drawn by D. Jordan)
6:06.0,,,64-68,1,D. Jordan makes free throw 1 of 1
5:50.0,J. Smith misses 2-pt shot from 17 ft,,64-68,,
5:49.0,,,64-68,,Defensive rebound by J. Redick
5:40.0,,,64-70,2,M. Barnes makes 2-pt shot from 3 ft (assist by J. Redick)
5:40.0,Houston full timeout,,64-70,,
5:17.0,J. Harden misses 3-pt shot from 25 ft,,64-70,,
5:16.0,,,64-70,,Defensive rebound by C. Paul
5:09.0,,,64-70,,C. Paul misses 2-pt shot from 16 ft
5:08.0,Defensive rebound by D. Motiejunas,,64-70,,
5:00.0,,,64-70,,Personal foul by J. Redick (drawn by J. Smith)
5:00.0,,,64-70,,Technical foul by Team
5:00.0,J. Harden makes technical free throw,1,65-70,,
5:00.0,C. Brewer enters the game for T. Ariza,,65-70,,
5:00.0,J. Smith misses free throw 1 of 2,,65-70,,
5:00.0,Offensive rebound by Team,,65-70,,
5:00.0,J. Smith misses free throw 2 of 2,,65-70,,
4:58.0,,,65-70,,Defensive rebound by M. Barnes
4:35.0,,,65-70,,C. Paul misses 3-pt shot from 27 ft
4:33.0,Defensive rebound by D. Motiejunas,,65-70,,
4:27.0,Turnover by J. Harden (lost ball; steal by M. Barnes),,65-70,,
4:24.0,,,65-70,,Offensive charge foul by M. Barnes
4:24.0,,,65-70,,Turnover by M. Barnes (offensive foul)
4:00.0,C. Brewer makes 2-pt shot from 2 ft (assist by J. Harden),2,67-70,,
3:43.0,,,67-70,,J. Redick misses 3-pt shot from 23 ft
3:42.0,Defensive rebound by P. Beverley,,67-70,,
3:35.0,J. Smith makes 2-pt shot from 1 ft (assist by P. Beverley),2,69-70,,
3:24.0,,,69-70,,Offensive charge foul by C. Paul
3:24.0,,,69-70,,Turnover by C. Paul (offensive foul)
3:24.0,,,69-70,,J. Crawford enters the game for J. Redick
3:24.0,K. Papanikolaou enters the game for D. Motiejunas,,69-70,,
3:12.0,,,69-70,,Personal foul by D. Jordan (drawn by K. Papanikolaou)
3:12.0,K. Papanikolaou makes free throw 1 of 2,1,70-70,,
3:12.0,,,70-70,,G. Davis enters the game for S. Hawes
3:12.0,K. Papanikolaou makes free throw 2 of 2,1,71-70,,
2:58.0,,,71-70,,Turnover by C. Paul (bad pass; steal by J. Harden)
2:54.0,Turnover by J. Harden (lost ball; steal by M. Barnes),,71-70,,
2:53.0,,,71-70,,Shooting foul by J. Harden (drawn by G. Davis)
2:53.0,,,71-70,,LA Clippers full timeout
2:53.0,T. Ariza enters the game for J. Harden,,71-70,,
2:53.0,,,71-71,1,G. Davis makes free throw 1 of 2
2:53.0,,,71-72,1,G. Davis makes free throw 2 of 2
2:34.0,J. Smith misses 3-pt shot from 25 ft,,71-72,,
2:34.0,,,71-72,,Defensive rebound by Team
2:19.0,,,71-74,2,J. Crawford makes 2-pt shot from 17 ft
2:05.0,C. Brewer makes 2-pt shot from 1 ft (assist by P. Beverley),2,73-74,,
1:46.0,,,73-74,,J. Crawford misses 2-pt shot from 7 ft
1:46.0,,,73-74,,Offensive rebound by D. Jordan
1:46.0,Violation by J. Smith (def goaltending),,73-74,,
1:46.0,,,73-76,2,D. Jordan makes 2-pt shot at rim
1:24.0,P. Beverley misses 3-pt shot from 25 ft,,73-76,,
1:23.0,,,73-76,,Defensive rebound by M. Barnes
1:13.0,,,73-76,,Turnover by C. Paul (bad pass)
1:13.0,,,73-76,,A. Rivers enters the game for M. Barnes
1:02.0,C. Brewer misses 2-pt shot from 19 ft,,73-76,,
1:00.0,Offensive rebound by J. Smith,,73-76,,
0:53.0,P. Beverley makes 3-pt shot from 25 ft (assist by K. Papanikolaou),3,76-76,,
0:45.0,,,76-76,,Offensive foul by C. Paul
0:45.0,,,76-76,,Turnover by C. Paul (offensive foul)
0:45.0,,,76-76,,J. Redick enters the game for C. Paul
0:45.0,J. Terry enters the game for P. Beverley,,76-76,,
0:39.0,Turnover by K. Papanikolaou (bad pass; steal by J. Crawford),,76-76,,
0:35.0,,,76-78,2,A. Rivers makes 2-pt shot from 2 ft (assist by J. Crawford)
0:21.0,C. Brewer makes 3-pt shot from 25 ft (assist by J. Terry),3,79-78,,
0:04.0,,,79-78,,J. Crawford misses 2-pt shot from 20 ft
0:01.0,,,79-78,,Offensive rebound by G. Davis
0:01.0,,,79-80,2,G. Davis makes 2-pt shot at rim
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Personal foul by C. Brewer (drawn by J. Crawford),,79-80,,
11:37.0,,,79-82,2,J. Crawford makes 2-pt shot from 21 ft
11:16.0,D. Motiejunas misses 2-pt shot from 8 ft,,79-82,,
11:15.0,,,79-82,,Defensive rebound by J. Crawford
11:07.0,Violation by D. Motiejunas (kicked ball),,79-82,,
10:58.0,,,79-82,,A. Rivers misses 2-pt shot from 1 ft (block by J. Terry)
10:43.0,Defensive rebound by T. Ariza,,79-82,,
10:43.0,Turnover by T. Ariza (bad pass),,79-82,,
10:36.0,,,79-82,,G. Davis misses 2-pt shot from 2 ft (block by J. Smith)
10:33.0,,,79-82,,Offensive rebound by D. Jordan
10:33.0,,,79-84,2,D. Jordan makes 2-pt shot at rim
10:11.0,C. Brewer misses 3-pt shot from 24 ft,,79-84,,
10:10.0,,,79-84,,Defensive rebound by D. Jordan
10:00.0,,,79-86,2,J. Crawford makes 2-pt shot from 15 ft
9:59.0,Houston full timeout,,79-86,,
9:59.0,J. Harden enters the game for C. Brewer,,79-86,,
9:38.0,J. Smith makes 2-pt shot from 5 ft,2,81-86,,
9:11.0,,,81-89,3,J. Crawford makes 3-pt shot from 29 ft
9:03.0,J. Terry makes 3-pt shot from 25 ft (assist by J. Harden),3,84-89,,
8:45.0,Personal foul by T. Ariza (drawn by J. Crawford),,84-89,,
8:43.0,Personal foul by T. Ariza (drawn by J. Crawford),,84-89,,
8:32.0,,,84-91,2,G. Davis makes 2-pt shot from 1 ft (assist by A. Rivers)
8:14.0,,,84-91,,Personal take foul by D. Jordan (drawn by T. Ariza)
8:06.0,D. Motiejunas makes 2-pt shot from 1 ft (assist by J. Harden),2,86-91,,
7:44.0,,,86-91,,J. Redick misses 2-pt shot from 18 ft
7:42.0,,,86-91,,Offensive rebound by G. Davis
7:38.0,,,86-91,,J. Redick misses 2-pt shot from 19 ft
7:36.0,,,86-91,,Offensive rebound by D. Jordan
7:34.0,,,86-91,,D. Jordan misses 2-pt shot from 1 ft
7:32.0,Defensive rebound by J. Smith,,86-91,,
7:27.0,J. Harden misses 3-pt shot from 24 ft,,86-91,,
7:26.0,Offensive rebound by J. Smith,,86-91,,
7:23.0,J. Smith misses 2-pt shot from 3 ft,,86-91,,
7:19.0,,,86-91,,Defensive rebound by D. Jordan
7:16.0,,,86-93,2,J. Crawford makes 2-pt shot from 1 ft (assist by D. Jordan)
7:12.0,,,86-93,,Personal foul by J. Crawford (drawn by J. Harden)
7:12.0,,,86-93,,C. Paul enters the game for A. Rivers
7:12.0,P. Beverley enters the game for J. Terry,,86-93,,
6:58.0,D. Motiejunas misses 2-pt shot from 6 ft (block by G. Davis),,86-93,,
6:57.0,Offensive rebound by J. Smith,,86-93,,
6:52.0,D. Motiejunas misses 3-pt shot from 24 ft,,86-93,,
6:51.0,,,86-93,,Defensive rebound by J. Redick
6:38.0,,,86-95,2,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul)
6:27.0,,,86-95,,Personal foul by J. Crawford (drawn by T. Ariza)
6:27.0,K. Papanikolaou enters the game for D. Motiejunas,,86-95,,
6:23.0,Shooting foul by D. Jordan (drawn by J. Smith),,86-95,,
6:23.0,J. Smith makes free throw 1 of 2,1,87-95,,
6:23.0,J. Smith makes free throw 2 of 2,1,88-95,,
6:03.0,,,88-97,2,J. Redick makes 2-pt shot from 2 ft
5:39.0,K. Papanikolaou misses 2-pt shot from 9 ft,,88-97,,
5:37.0,Offensive rebound by J. Smith,,88-97,,
5:31.0,T. Ariza misses 3-pt shot from 23 ft,,88-97,,
5:30.0,,,88-97,,Defensive rebound by C. Paul
