time,Cleveland,pts.away,score,pts.home,Washington
8:26.0,K. Love misses 2-pt shot from 20 ft,,10-8,,
8:25.0,,,10-8,,Defensive rebound by J. Wall
8:22.0,,,10-8,,Turnover by J. Wall (bad pass; steal by K. Love)
8:17.0,K. Irving makes 2-pt shot from 2 ft (assist by L. James),2,12-8,,
8:00.0,,,12-10,2,M. Gortat makes 2-pt shot from 9 ft (assist by J. Wall)
7:40.0,J. Smith makes 3-pt shot from 22 ft (assist by K. Love),3,15-10,,
7:33.0,Personal foul by L. James (drawn by P. Pierce),,15-10,,
7:25.0,Jump ball: N. Hilario vs. T. Mozgov (K. Love gains possession),,,,Jump ball: N. Hilario vs. T. Mozgov (K. Love gains possession)
7:25.0,,,15-10,,Turnover by P. Pierce (bad pass; steal by T. Mozgov)
7:20.0,J. Smith makes 2-pt shot from 1 ft (assist by K. Love),2,17-10,,
7:00.0,,,17-12,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
6:50.0,T. Mozgov makes 2-pt shot at rim (assist by K. Irving),2,19-12,,
6:38.0,,,19-12,,N. Hilario misses 2-pt shot from 2 ft (block by T. Mozgov)
6:37.0,Defensive rebound by J. Smith,,19-12,,
6:30.0,L. James makes 2-pt shot from 18 ft,2,21-12,,
6:24.0,,,21-12,,Washington full timeout
6:24.0,T. Thompson enters the game for T. Mozgov,,21-12,,
6:14.0,,,21-14,2,O. Porter makes 2-pt shot from 18 ft (assist by N. Hilario)
5:57.0,L. James misses 2-pt shot from 13 ft,,21-14,,
5:56.0,Offensive rebound by Team,,21-14,,
5:56.0,,,21-14,,Loose ball foul by M. Gortat (drawn by T. Thompson)
5:56.0,,,21-14,,K. Humphries enters the game for M. Gortat
5:50.0,Shooting foul by O. Porter (drawn by T. Thompson),,21-14,,
5:50.0,T. Thompson makes free throw 1 of 2,1,22-14,,
5:50.0,I. Shumpert enters the game for L. James,,22-14,,
5:50.0,T. Thompson makes free throw 2 of 2,1,23-14,,
5:43.0,Violation by J. Smith (kicked ball),,23-14,,
5:31.0,,,23-14,,P. Pierce misses 3-pt shot from 26 ft
5:30.0,,,23-14,,Offensive rebound by N. Hilario
5:25.0,,,23-14,,Turnover by J. Wall (lost ball)
5:07.0,T. Thompson misses 2-pt shot at rim,,23-14,,
5:06.0,Offensive rebound by T. Thompson,,23-14,,
5:04.0,T. Thompson misses 2-pt shot at rim,,23-14,,
5:03.0,,,23-14,,Defensive rebound by N. Hilario
5:00.0,,,23-16,2,K. Humphries makes 2-pt shot at rim (assist by J. Wall)
4:41.0,J. Smith misses 3-pt shot from 26 ft,,23-16,,
4:39.0,,,23-16,,Defensive rebound by P. Pierce
4:31.0,,,23-18,2,P. Pierce makes 2-pt shot from 6 ft
4:15.0,I. Shumpert misses 2-pt shot from 16 ft,,23-18,,
4:14.0,Offensive rebound by Team,,23-18,,
4:14.0,,,23-18,,Loose ball foul by K. Humphries (drawn by T. Thompson)
4:14.0,,,23-18,,R. Butler enters the game for O. Porter
4:08.0,K. Irving misses 2-pt shot from 6 ft (block by J. Wall),,23-18,,
4:06.0,,,23-18,,Defensive rebound by R. Butler
4:00.0,,,23-18,,R. Butler misses 3-pt shot from 27 ft
3:58.0,Defensive rebound by K. Love,,23-18,,
3:52.0,K. Irving makes 3-pt shot from 22 ft (assist by J. Smith),3,26-18,,
3:37.0,,,26-20,2,N. Hilario makes 2-pt shot at rim (assist by R. Butler)
3:29.0,I. Shumpert makes 3-pt shot from 27 ft (assist by K. Irving),3,29-20,,
3:08.0,,,29-20,,N. Hilario misses 2-pt shot from 13 ft
3:07.0,,,29-20,,Offensive rebound by K. Humphries
2:59.0,,,29-22,2,J. Wall makes 2-pt shot from 2 ft
2:44.0,K. Irving misses 3-pt shot from 26 ft,,29-22,,
2:43.0,Offensive rebound by T. Thompson,,29-22,,
2:36.0,K. Irving misses 3-pt shot from 26 ft,,29-22,,
2:35.0,Offensive rebound by K. Love,,29-22,,
2:32.0,J. Smith misses 3-pt shot from 25 ft,,29-22,,
2:29.0,,,29-22,,Defensive rebound by K. Humphries
2:17.0,,,29-22,,J. Wall misses 2-pt shot from 20 ft
2:16.0,Defensive rebound by K. Love,,29-22,,
2:11.0,Cleveland full timeout,,29-22,,
2:11.0,,,29-22,,M. Gortat enters the game for N. Hilario
2:11.0,,,29-22,,M. Webster enters the game for P. Pierce
2:11.0,T. Mozgov enters the game for K. Love,,29-22,,
2:11.0,L. James enters the game for J. Smith,,29-22,,
2:11.0,M. Dellavedova enters the game for K. Irving,,29-22,,
2:00.0,L. James makes 2-pt shot from 12 ft,2,31-22,,
1:43.0,Violation by M. Dellavedova (kicked ball),,31-22,,
1:38.0,,,31-24,2,R. Butler makes 2-pt shot from 20 ft
1:24.0,M. Dellavedova misses 3-pt shot from 25 ft,,31-24,,
1:22.0,,,31-24,,Defensive rebound by R. Butler
1:09.0,,,31-24,,K. Humphries misses 2-pt shot from 17 ft
1:08.0,Defensive rebound by L. James,,31-24,,
0:57.0,L. James misses 2-pt shot from 9 ft,,31-24,,
0:57.0,Offensive rebound by T. Thompson,,31-24,,
0:57.0,T. Thompson makes 2-pt shot at rim,2,33-24,,
0:42.0,,,33-24,,J. Wall misses 3-pt shot from 28 ft
0:41.0,Defensive rebound by L. James,,33-24,,
0:37.0,L. James makes 2-pt shot from 4 ft,2,35-24,,
0:23.0,,,35-24,,Shooting foul by L. James (drawn by J. Wall)
0:23.0,,,35-25,1,J. Wall makes free throw 1 of 2
0:23.0,,,35-26,1,J. Wall makes free throw 2 of 2
0:01.0,L. James misses 3-pt shot from 28 ft,,35-26,,
0:00.0,Offensive rebound by Team,,35-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,L. James misses 2-pt shot from 19 ft,,35-26,,
11:42.0,,,35-26,,Defensive rebound by M. Webster
11:36.0,,,35-26,,Washington full timeout
11:27.0,,,35-26,,M. Webster misses 3-pt shot from 24 ft
11:25.0,Defensive rebound by Team,,35-26,,
11:15.0,,,35-26,,Personal foul by R. Butler (drawn by M. Dellavedova)
11:02.0,M. Dellavedova makes 2-pt shot from 11 ft,2,37-26,,
10:50.0,,,37-26,,Turnover by M. Webster (bad pass; steal by L. James)
10:46.0,L. James makes 2-pt shot at rim,2,39-26,,
10:26.0,,,39-28,2,M. Webster makes 2-pt shot from 18 ft (assist by K. Humphries)
10:12.0,I. Shumpert makes 2-pt shot from 20 ft (assist by T. Mozgov),2,41-28,,
9:48.0,,,41-28,,G. Temple misses 2-pt shot from 20 ft
9:47.0,Defensive rebound by T. Mozgov,,41-28,,
9:36.0,I. Shumpert makes 3-pt shot from 22 ft (assist by L. James),3,44-28,,
9:27.0,,,44-28,,Washington full timeout
9:27.0,K. Love enters the game for T. Thompson,,44-28,,
9:11.0,,,44-28,,M. Gortat misses 2-pt shot from 8 ft
9:10.0,Defensive rebound by L. James,,44-28,,
8:56.0,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James),3,47-28,,
8:35.0,,,47-28,,G. Temple misses 2-pt shot at rim (block by I. Shumpert)
8:33.0,Defensive rebound by T. Mozgov,,47-28,,
8:25.0,T. Mozgov makes 2-pt shot at rim (assist by K. Love),2,49-28,,
8:23.0,Personal foul by M. Dellavedova (drawn by G. Temple),,49-28,,
8:23.0,,,49-28,,J. Wall enters the game for K. Humphries
8:23.0,,,49-28,,N. Hilario enters the game for M. Webster
8:23.0,,,49-28,,P. Pierce enters the game for G. Temple
8:14.0,,,49-28,,R. Butler misses 3-pt shot from 24 ft
8:13.0,,,49-28,,Offensive rebound by P. Pierce
8:02.0,,,49-30,2,M. Gortat makes 2-pt shot from 1 ft (assist by R. Butler)
7:41.0,L. James makes 3-pt shot from 28 ft,3,52-30,,
7:31.0,,,52-32,2,P. Pierce makes 2-pt shot from 10 ft (assist by J. Wall)
7:31.0,,,52-32,,Shooting foul by I. Shumpert (drawn by P. Pierce)
7:31.0,K. Irving enters the game for M. Dellavedova,,52-32,,
7:31.0,J. Smith enters the game for I. Shumpert,,52-32,,
7:31.0,,,52-33,1,P. Pierce makes free throw 1 of 1
7:21.0,L. James misses 3-pt shot from 27 ft,,52-33,,
7:20.0,Offensive rebound by J. Smith,,52-33,,
7:14.0,Offensive foul by L. James,,52-33,,
7:14.0,Turnover by L. James (offensive foul),,52-33,,
7:14.0,I. Shumpert enters the game for L. James,,52-33,,
7:03.0,,,52-33,,R. Butler misses 3-pt shot from 25 ft
7:02.0,Defensive rebound by K. Irving,,52-33,,
6:56.0,,,52-33,,O. Porter enters the game for R. Butler
6:46.0,Turnover by K. Irving (step out of bounds),,52-33,,
6:35.0,,,52-33,,P. Pierce misses 2-pt shot from 8 ft
6:34.0,Defensive rebound by I. Shumpert,,52-33,,
6:27.0,J. Smith makes 2-pt shot from 6 ft (assist by I. Shumpert),2,54-33,,
6:20.0,,,54-35,2,M. Gortat makes 2-pt shot from 2 ft (assist by J. Wall)
6:00.0,I. Shumpert misses 3-pt shot from 25 ft,,54-35,,
5:59.0,,,54-35,,Defensive rebound by O. Porter
5:50.0,,,54-37,2,N. Hilario makes 2-pt shot from 13 ft
5:34.0,K. Irving makes 2-pt shot from 12 ft,2,56-37,,
5:23.0,,,56-37,,Turnover by M. Gortat (lost ball; steal by I. Shumpert)
5:20.0,K. Irving makes 2-pt shot at rim,2,58-37,,
5:20.0,Shooting foul by J. Wall (drawn by K. Irving),,58-37,,
5:20.0,Official timeout,,58-37,,
5:20.0,K. Irving makes free throw 1 of 1,1,59-37,,
5:01.0,,,59-37,,O. Porter misses 3-pt shot from 23 ft
5:00.0,,,59-37,,Offensive rebound by J. Wall
4:57.0,,,59-37,,J. Wall misses 2-pt shot from 3 ft
4:56.0,,,59-37,,Offensive rebound by M. Gortat
4:55.0,,,59-39,2,M. Gortat makes 2-pt shot from 1 ft
4:40.0,K. Irving misses 2-pt shot at rim,,59-39,,
4:39.0,,,59-39,,Defensive rebound by O. Porter
4:23.0,,,59-39,,P. Pierce misses 2-pt shot from 6 ft (block by J. Smith)
4:22.0,,,59-39,,Offensive rebound by M. Gortat
4:15.0,,,59-39,,J. Wall misses 3-pt shot from 26 ft
4:14.0,,,59-39,,Offensive rebound by M. Gortat
4:11.0,,,59-39,,Turnover by M. Gortat (lost ball; steal by J. Smith)
3:50.0,K. Love misses 3-pt shot from 22 ft,,59-39,,
3:49.0,Offensive rebound by I. Shumpert,,59-39,,
3:43.0,J. Smith misses 3-pt shot from 27 ft,,59-39,,
3:42.0,Offensive rebound by K. Love,,59-39,,
3:37.0,J. Smith misses 3-pt shot from 27 ft,,59-39,,
3:36.0,,,59-39,,Defensive rebound by M. Gortat
3:28.0,,,59-39,,J. Wall misses 2-pt shot from 2 ft (block by T. Mozgov)
3:26.0,Defensive rebound by K. Irving,,59-39,,
3:24.0,Shooting foul by O. Porter (drawn by K. Irving),,59-39,,
3:24.0,K. Irving makes free throw 1 of 2,1,60-39,,
3:24.0,T. Thompson enters the game for T. Mozgov,,60-39,,
3:24.0,,,60-39,,D. Gooden enters the game for M. Gortat
3:24.0,K. Irving makes free throw 2 of 2,1,61-39,,
3:05.0,,,61-39,,O. Porter misses 3-pt shot from 27 ft
3:04.0,,,61-39,,Offensive rebound by J. Wall
2:56.0,,,61-41,2,O. Porter makes 2-pt shot from 6 ft (assist by J. Wall)
2:39.0,K. Irving misses 2-pt shot from 5 ft (block by D. Gooden),,61-41,,
2:36.0,Offensive rebound by T. Thompson,,61-41,,
2:28.0,K. Irving makes 2-pt shot from 22 ft,2,63-41,,
2:12.0,,,63-41,,Shooting foul by I. Shumpert (drawn by P. Pierce)
2:12.0,Cleveland full timeout,,63-41,,
2:12.0,M. Dellavedova enters the game for I. Shumpert,,63-41,,
2:12.0,,,63-42,1,P. Pierce makes free throw 1 of 2
2:12.0,,,63-43,1,P. Pierce makes free throw 2 of 2
1:55.0,Turnover by K. Irving (bad pass; steal by O. Porter),,63-43,,
1:52.0,Personal foul by M. Dellavedova (drawn by O. Porter),,63-43,,
1:36.0,,,63-45,2,D. Gooden makes 2-pt shot from 17 ft (assist by N. Hilario)
1:16.0,M. Dellavedova misses 2-pt shot from 3 ft (block by O. Porter),,63-45,,
1:16.0,Offensive rebound by Team,,63-45,,
1:14.0,K. Love makes 2-pt shot at rim (assist by M. Dellavedova),2,65-45,,
1:00.0,,,65-47,2,N. Hilario makes 2-pt shot at rim
0:47.0,Turnover by T. Thompson (bad pass; steal by O. Porter),,65-47,,
0:41.0,,,65-47,,Turnover by P. Pierce (bad pass; steal by J. Smith)
0:39.0,K. Love misses 2-pt shot at rim,,65-47,,
0:37.0,,,65-47,,Defensive rebound by D. Gooden
0:34.0,,,65-49,2,P. Pierce makes 2-pt shot at rim (assist by J. Wall)
0:33.0,Turnover by K. Irving (lost ball; steal by J. Wall),,65-49,,
0:33.0,,,65-49,,Washington full timeout
0:27.0,,,65-51,2,J. Wall makes 2-pt shot from 3 ft
0:12.0,K. Love misses 3-pt shot from 27 ft,,65-51,,
0:11.0,,,65-51,,Defensive rebound by O. Porter
0:01.0,,,65-51,,P. Pierce misses 3-pt shot from 25 ft
0:00.0,,,65-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Shooting foul by N. Hilario (drawn by K. Love),,65-51,,
11:48.0,K. Love misses free throw 1 of 2,,65-51,,
11:48.0,Offensive rebound by Team,,65-51,,
11:48.0,K. Love makes free throw 2 of 2,1,66-51,,
11:34.0,,,66-53,2,N. Hilario makes 2-pt shot from 15 ft (assist by J. Wall)
11:19.0,,,66-53,,Personal foul by O. Porter (drawn by J. Smith)
11:09.0,J. Smith makes 2-pt shot from 8 ft,2,68-53,,
10:55.0,,,68-53,,M. Gortat misses 2-pt shot from 17 ft
10:54.0,Defensive rebound by L. James,,68-53,,
10:37.0,J. Smith misses 2-pt shot from 20 ft,,68-53,,
10:36.0,Offensive rebound by K. Love,,68-53,,
10:35.0,Turnover by K. Love (step out of bounds),,68-53,,
10:22.0,,,68-53,,Offensive foul by N. Hilario
10:22.0,,,68-53,,Turnover by N. Hilario (offensive foul)
10:05.0,T. Mozgov misses 2-pt shot from 5 ft,,68-53,,
10:04.0,,,68-53,,Defensive rebound by O. Porter
9:59.0,,,68-53,,J. Wall misses 2-pt shot from 7 ft
9:57.0,Defensive rebound by J. Smith,,68-53,,
9:44.0,K. Irving misses 2-pt shot from 3 ft,,68-53,,
9:43.0,,,68-53,,Defensive rebound by J. Wall
9:39.0,,,68-55,2,J. Wall makes 2-pt shot at rim
9:20.0,Turnover by L. James (bad pass; steal by O. Porter),,68-55,,
9:16.0,,,68-55,,Shooting foul by J. Smith (drawn by O. Porter)
9:16.0,,,68-56,1,O. Porter makes free throw 1 of 2
9:16.0,,,68-57,1,O. Porter makes free throw 2 of 2
8:59.0,K. Love misses 3-pt shot from 27 ft,,68-57,,
8:58.0,,,68-57,,Defensive rebound by O. Porter
8:54.0,Personal foul by K. Love (drawn by N. Hilario),,68-57,,
8:54.0,,,68-57,,Turnover by J. Wall (bad pass; steal by T. Mozgov)
8:44.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,71-57,,
8:30.0,,,71-57,,Shooting foul by J. Smith (drawn by N. Hilario)
8:30.0,,,71-58,1,N. Hilario makes free throw 1 of 2
8:30.0,,,71-59,1,N. Hilario makes free throw 2 of 2
8:12.0,L. James makes 3-pt shot from 29 ft (assist by J. Smith),3,74-59,,
7:57.0,,,74-59,,O. Porter misses 2-pt shot from 3 ft
7:57.0,Defensive rebound by Team,,74-59,,
7:43.0,L. James makes 3-pt shot from 26 ft (assist by J. Smith),3,77-59,,
7:42.0,,,77-59,,Washington full timeout
7:31.0,,,77-59,,P. Pierce misses 3-pt shot from 23 ft
7:29.0,Defensive rebound by J. Smith,,77-59,,
7:08.0,T. Mozgov misses 2-pt shot from 1 ft (block by O. Porter),,77-59,,
7:06.0,,,77-59,,Defensive rebound by J. Wall
7:03.0,,,77-61,2,J. Wall makes 2-pt shot from 2 ft
6:48.0,T. Mozgov makes 2-pt shot at rim (assist by K. Irving),2,79-61,,
6:28.0,Personal foul by J. Smith (drawn by P. Pierce),,79-61,,
6:20.0,,,79-63,2,J. Wall makes 2-pt shot from 20 ft
6:00.0,K. Irving makes 2-pt shot from 8 ft,2,81-63,,
5:34.0,,,81-63,,P. Pierce misses 2-pt shot from 3 ft
5:34.0,,,81-63,,Offensive rebound by Team
5:34.0,,,81-63,,Turnover by Team (shot clock)
5:18.0,J. Smith makes 3-pt shot from 27 ft (assist by K. Irving),3,84-63,,
5:04.0,,,84-65,2,N. Hilario makes 2-pt shot at rim (assist by P. Pierce)
4:57.0,,,84-65,,Personal take foul by J. Wall (drawn by K. Irving)
4:57.0,,,84-65,,D. Gooden enters the game for N. Hilario
4:57.0,,,84-65,,R. Butler enters the game for O. Porter
4:48.0,,,84-65,,Personal foul by D. Gooden (drawn by K. Love)
4:35.0,K. Irving misses 2-pt shot from 3 ft,,84-65,,
4:34.0,Offensive rebound by T. Mozgov,,84-65,,
4:34.0,Turnover by Team (shot clock),,84-65,,
4:18.0,,,84-65,,J. Wall misses 2-pt shot from 17 ft
4:17.0,Defensive rebound by Team,,84-65,,
4:17.0,,,84-65,,Loose ball foul by M. Gortat (drawn by K. Love)
4:17.0,K. Love misses free throw 1 of 2,,84-65,,
4:17.0,Offensive rebound by Team,,84-65,,
4:17.0,T. Thompson enters the game for T. Mozgov,,84-65,,
4:17.0,K. Love makes free throw 2 of 2,1,85-65,,
4:02.0,,,85-65,,D. Gooden misses 2-pt shot from 18 ft
4:01.0,Defensive rebound by T. Thompson,,85-65,,
3:53.0,L. James misses 2-pt shot from 22 ft,,85-65,,
3:52.0,,,85-65,,Defensive rebound by D. Gooden
3:48.0,,,85-65,,Turnover by D. Gooden (bad pass; steal by K. Love)
3:46.0,K. Love makes 2-pt shot at rim,2,87-65,,
3:31.0,,,87-67,2,J. Wall makes 2-pt shot from 18 ft (assist by P. Pierce)
3:09.0,K. Irving misses 2-pt shot from 3 ft (block by M. Gortat),,87-67,,
3:08.0,,,87-67,,Defensive rebound by D. Gooden
3:00.0,,,87-69,2,D. Gooden makes 2-pt shot from 2 ft (assist by J. Wall)
2:39.0,L. James makes 2-pt shot from 15 ft,2,89-69,,
2:16.0,,,89-69,,M. Gortat misses 2-pt shot from 6 ft
2:15.0,Defensive rebound by Team,,89-69,,
2:15.0,Cleveland full timeout,,89-69,,
2:15.0,,,89-69,,D. Blair enters the game for M. Gortat
2:15.0,,,89-69,,M. Webster enters the game for P. Pierce
2:15.0,M. Dellavedova enters the game for K. Irving,,89-69,,
2:03.0,L. James makes 2-pt shot from 6 ft,2,91-69,,
1:36.0,,,91-69,,D. Gooden misses 2-pt shot from 21 ft
1:35.0,Defensive rebound by M. Dellavedova,,91-69,,
1:23.0,L. James makes 2-pt shot from 6 ft,2,93-69,,
1:09.0,,,93-69,,M. Webster misses 2-pt shot at rim
1:08.0,,,93-69,,Offensive rebound by D. Blair
1:07.0,,,93-71,2,D. Blair makes 2-pt shot from 1 ft
0:47.0,Shooting foul by R. Butler (drawn by L. James),,93-71,,
0:47.0,L. James makes free throw 1 of 2,1,94-71,,
0:47.0,I. Shumpert enters the game for J. Smith,,94-71,,
0:47.0,T. Mozgov enters the game for K. Love,,94-71,,
0:47.0,L. James misses free throw 2 of 2,,94-71,,
0:46.0,,,94-71,,Defensive rebound by D. Blair
0:33.0,,,94-71,,J. Wall misses 2-pt shot from 15 ft
0:32.0,Defensive rebound by L. James,,94-71,,
0:19.0,L. James misses 2-pt shot from 1 ft (block by J. Wall),,94-71,,
0:19.0,Offensive rebound by Team,,94-71,,
0:12.0,L. James misses 2-pt shot from 13 ft,,94-71,,
0:10.0,,,94-71,,Defensive rebound by D. Gooden
0:01.0,,,94-71,,R. Butler misses 3-pt shot from 23 ft
0:00.0,Defensive rebound by T. Thompson,,94-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,94-71,,R. Butler misses 2-pt shot from 7 ft
11:36.0,,,94-71,,Offensive rebound by M. Webster
11:30.0,,,94-71,,Turnover by D. Gooden (bad pass)
11:21.0,Shooting foul by D. Gooden (drawn by T. Mozgov),,94-71,,
11:21.0,T. Mozgov makes free throw 1 of 2,1,95-71,,
11:21.0,T. Mozgov makes free throw 2 of 2,1,96-71,,
11:03.0,,,96-71,,Turnover by D. Blair (bad pass; steal by I. Shumpert)
10:46.0,T. Thompson misses 2-pt shot from 1 ft (block by D. Gooden),,96-71,,
10:46.0,Offensive rebound by Team,,96-71,,
10:45.0,Shooting foul by G. Temple (drawn by K. Irving),,96-71,,
10:45.0,K. Irving makes 2-pt shot from 1 ft (assist by I. Shumpert),2,98-71,,
10:45.0,K. Irving makes free throw 1 of 1,1,99-71,,
10:33.0,,,99-71,,G. Temple misses 2-pt shot from 18 ft
10:32.0,Defensive rebound by I. Shumpert,,99-71,,
10:25.0,K. Irving misses 3-pt shot from 27 ft,,99-71,,
10:23.0,,,99-71,,Defensive rebound by G. Temple
10:16.0,,,99-71,,M. Webster misses 2-pt shot from 1 ft
10:14.0,Defensive rebound by I. Shumpert,,99-71,,
9:59.0,M. Dellavedova makes 2-pt shot from 19 ft,2,101-71,,
9:38.0,,,101-71,,D. Blair misses 2-pt shot from 4 ft
9:37.0,Defensive rebound by T. Thompson,,101-71,,
9:26.0,M. Dellavedova makes 3-pt shot from 27 ft (assist by K. Irving),3,104-71,,
9:26.0,,,104-71,,Washington full timeout
9:16.0,,,104-73,2,G. Temple makes 2-pt shot from 21 ft (assist by M. Webster)
8:53.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,106-73,,
8:45.0,,,106-73,,Turnover by G. Temple (lost ball; steal by I. Shumpert)
8:37.0,Shooting foul by D. Blair (drawn by K. Irving),,106-73,,
8:37.0,K. Irving makes free throw 1 of 2,1,107-73,,
8:37.0,K. Irving makes free throw 2 of 2,1,108-73,,
8:27.0,,,108-73,,M. Webster misses 2-pt shot from 19 ft
8:26.0,Defensive rebound by T. Thompson,,108-73,,
8:15.0,Cleveland full timeout,,108-73,,
8:15.0,M. Miller enters the game for K. Irving,,108-73,,
8:15.0,,,108-73,,K. Humphries enters the game for D. Gooden
8:08.0,I. Shumpert misses 3-pt shot from 26 ft,,108-73,,
8:07.0,,,108-73,,Defensive rebound by G. Temple
7:57.0,,,108-73,,Shooting foul by T. Mozgov (drawn by M. Webster)
7:57.0,,,108-73,,M. Webster misses free throw 1 of 2
7:57.0,,,108-73,,Offensive rebound by Team
7:57.0,,,108-73,,O. Porter enters the game for R. Butler
7:57.0,J. Jones enters the game for T. Mozgov,,108-73,,
7:57.0,,,108-73,,M. Webster misses free throw 2 of 2
7:55.0,Defensive rebound by M. Miller,,108-73,,
7:40.0,Shooting foul by D. Blair (drawn by I. Shumpert),,108-73,,
7:40.0,I. Shumpert misses free throw 1 of 2,,108-73,,
7:40.0,Offensive rebound by Team,,108-73,,
7:40.0,I. Shumpert makes free throw 2 of 2,1,109-73,,
7:32.0,Personal foul by I. Shumpert (drawn by O. Porter),,109-73,,
7:23.0,,,109-73,,Shooting foul by T. Thompson (drawn by G. Temple)
7:23.0,,,109-73,,G. Temple misses free throw 1 of 2
7:23.0,,,109-73,,Offensive rebound by Team
7:23.0,,,109-73,,G. Temple misses free throw 2 of 2
7:22.0,Defensive rebound by T. Thompson,,109-73,,
7:06.0,J. Jones misses 3-pt shot from 23 ft,,109-73,,
7:05.0,,,109-73,,Defensive rebound by G. Temple
6:54.0,,,109-75,2,D. Blair makes 2-pt shot from 7 ft (assist by O. Porter)
6:34.0,I. Shumpert misses 3-pt shot from 22 ft,,109-75,,
6:32.0,,,109-75,,Defensive rebound by G. Temple
6:25.0,,,109-77,2,D. Blair makes 2-pt shot from 6 ft (assist by G. Temple)
6:09.0,,,109-77,,Personal foul by K. Humphries (drawn by J. Jones)
6:09.0,J. Jones misses free throw 1 of 2,,109-77,,
6:09.0,Offensive rebound by Team,,109-77,,
6:09.0,,,109-77,,R. Sessions enters the game for G. Temple
6:09.0,J. Harris enters the game for I. Shumpert,,109-77,,
6:09.0,J. Jones makes free throw 2 of 2,1,110-77,,
5:55.0,,,110-77,,Offensive foul by D. Blair
5:55.0,,,110-77,,Turnover by D. Blair (offensive foul)
5:55.0,Official timeout,,110-77,,
5:55.0,B. Haywood enters the game for T. Thompson,,110-77,,
5:45.0,J. Jones makes 3-pt shot from 30 ft (assist by M. Dellavedova),3,113-77,,
5:27.0,Personal foul by M. Miller (drawn by O. Porter),,113-77,,
5:19.0,,,113-79,2,D. Blair makes 2-pt shot from 7 ft (assist by R. Sessions)
5:02.0,M. Dellavedova misses 2-pt shot from 6 ft,,113-79,,
5:01.0,,,113-79,,Defensive rebound by M. Webster
4:52.0,,,113-79,,D. Blair misses 2-pt shot from 3 ft
4:50.0,,,113-79,,Offensive rebound by K. Humphries
4:47.0,,,113-82,3,O. Porter makes 3-pt shot from 26 ft (assist by K. Humphries)
4:26.0,Turnover by M. Miller (bad pass; steal by D. Blair),,113-82,,
4:18.0,,,113-82,,R. Sessions misses 2-pt shot from 1 ft
4:17.0,Defensive rebound by M. Miller,,113-82,,
4:10.0,J. Jones makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,116-82,,
3:46.0,,,116-82,,K. Humphries misses 2-pt shot from 18 ft
3:44.0,Defensive rebound by M. Dellavedova,,116-82,,
3:32.0,Shooting foul by K. Humphries (drawn by J. Harris),,116-82,,
3:32.0,J. Harris makes free throw 1 of 2,1,117-82,,
3:32.0,J. Harris makes free throw 2 of 2,1,118-82,,
