time,Atlanta,pts.away,score,pts.home,Chicago
4:59.0,,,14-9,,T. Gibson misses 2-pt shot from 4 ft
4:58.0,,,14-9,,Offensive rebound by P. Gasol
4:58.0,,,14-9,,P. Gasol misses 2-pt shot from 1 ft
4:57.0,Defensive rebound by E. Brand,,14-9,,
4:42.0,T. Sefolosha misses 2-pt shot from 11 ft,,14-9,,
4:41.0,Offensive rebound by P. Millsap,,14-9,,
4:34.0,P. Millsap misses 3-pt shot from 24 ft,,14-9,,
4:33.0,,,14-9,,Defensive rebound by D. Rose
4:12.0,,,14-11,2,E. Moore makes 2-pt shot from 8 ft (assist by D. Rose)
3:46.0,J. Teague misses 3-pt shot from 24 ft (block by T. Gibson),,14-11,,
3:44.0,,,14-11,,Defensive rebound by P. Gasol
3:39.0,,,14-11,,Turnover by D. Rose (lost ball)
3:39.0,S. Mack enters the game for J. Teague,,14-11,,
3:19.0,E. Brand makes 2-pt shot from 17 ft (assist by P. Millsap),2,16-11,,
3:10.0,,,16-11,,Turnover by D. Rose (bad pass; steal by T. Sefolosha)
2:57.0,Turnover by S. Mack (lost ball; steal by T. Gibson),,16-11,,
2:40.0,,,16-11,,D. Rose misses 2-pt shot from 18 ft
2:39.0,,,16-11,,Offensive rebound by P. Gasol
2:35.0,,,16-11,,J. Butler misses 3-pt shot from 24 ft
2:33.0,,,16-11,,Offensive rebound by T. Gibson
2:33.0,,,16-11,,Shooting foul by E. Brand (drawn by T. Gibson)
2:33.0,Atlanta full timeout,,16-11,,
2:33.0,,,16-11,,A. Brooks enters the game for D. Rose
2:33.0,K. Korver enters the game for D. Carroll,,16-11,,
2:33.0,M. Scott enters the game for P. Millsap,,16-11,,
2:33.0,,,16-11,,T. Gibson misses free throw 1 of 2
2:33.0,,,16-11,,Offensive rebound by Team
2:33.0,,,16-12,1,T. Gibson makes free throw 2 of 2
2:10.0,E. Brand makes 2-pt shot from 13 ft,2,18-12,,
1:54.0,,,18-12,,T. Gibson misses 2-pt shot from 12 ft
1:54.0,,,18-12,,Offensive rebound by Team
1:54.0,Personal foul by T. Sefolosha (drawn by T. Gibson),,18-12,,
1:54.0,,,18-12,,N. Mirotic enters the game for T. Gibson
1:49.0,,,18-12,,A. Brooks misses 2-pt shot from 5 ft
1:48.0,Defensive rebound by E. Brand,,18-12,,
1:31.0,M. Scott misses 2-pt shot from 2 ft (block by P. Gasol),,18-12,,
1:30.0,,,18-12,,Defensive rebound by N. Mirotic
1:25.0,,,18-12,,Turnover by N. Mirotic (lost ball; steal by M. Scott)
1:17.0,M. Scott misses 3-pt shot from 25 ft,,18-12,,
1:16.0,,,18-12,,Defensive rebound by E. Moore
0:58.0,,,18-12,,Turnover by E. Moore (bad pass; steal by T. Sefolosha)
0:56.0,,,18-12,,Personal foul by N. Mirotic (drawn by M. Scott)
0:48.0,M. Scott makes 2-pt shot from 4 ft (assist by S. Mack),2,20-12,,
0:48.0,Shooting foul by J. Butler (drawn by M. Scott),,20-12,,
0:48.0,M. Scott makes free throw 1 of 1,1,21-12,,
0:37.0,Personal foul by E. Brand (drawn by P. Gasol),,21-12,,
0:37.0,,,21-13,1,P. Gasol makes free throw 1 of 2
0:37.0,A. Horford enters the game for E. Brand,,21-13,,
0:37.0,,,21-14,1,P. Gasol makes free throw 2 of 2
0:28.0,S. Mack misses 2-pt shot from 12 ft (block by A. Brooks),,21-14,,
0:27.0,,,21-14,,Defensive rebound by A. Brooks
0:08.0,,,21-14,,Shooting foul by T. Sefolosha (drawn by N. Mirotic)
0:08.0,,,21-15,1,N. Mirotic makes free throw 1 of 2
0:08.0,,,21-16,1,N. Mirotic makes free throw 2 of 2
0:00.0,M. Scott makes 3-pt shot from 25 ft (assist by S. Mack),3,24-16,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:39.0,K. Korver makes 3-pt shot from 22 ft (assist by M. Scott),3,27-16,,
11:18.0,,,27-16,,N. Mirotic misses 3-pt shot from 25 ft
11:16.0,Defensive rebound by T. Sefolosha,,27-16,,
11:04.0,M. Scott misses 2-pt shot from 6 ft,,27-16,,
11:03.0,,,27-16,,Defensive rebound by T. Gibson
10:57.0,Personal foul by S. Mack (drawn by A. Brooks),,27-16,,
10:44.0,,,27-16,,T. Gibson misses 2-pt shot from 2 ft
10:42.0,Defensive rebound by K. Korver,,27-16,,
10:23.0,A. Horford misses 2-pt shot from 12 ft,,27-16,,
10:22.0,,,27-16,,Defensive rebound by J. Butler
10:10.0,,,27-16,,Offensive foul by T. Gibson
10:10.0,,,27-16,,Turnover by T. Gibson (offensive foul)
10:10.0,K. Bazemore enters the game for T. Sefolosha,,27-16,,
9:56.0,A. Horford makes 2-pt shot from 12 ft (assist by M. Scott),2,29-16,,
9:46.0,Violation by A. Horford (kicked ball),,29-16,,
9:33.0,,,29-18,2,J. Butler makes 2-pt shot at rim
9:16.0,S. Mack makes 2-pt shot from 2 ft (assist by M. Scott),2,31-18,,
9:02.0,,,31-20,2,A. Brooks makes 2-pt shot from 8 ft
8:54.0,Atlanta full timeout,,31-20,,
8:54.0,J. Teague enters the game for S. Mack,,31-20,,
8:38.0,K. Korver makes 3-pt shot from 24 ft,3,34-20,,
8:18.0,,,34-20,,N. Mirotic misses 3-pt shot from 25 ft
8:17.0,Defensive rebound by A. Horford,,34-20,,
8:06.0,M. Scott misses 2-pt shot from 10 ft,,34-20,,
8:05.0,,,34-20,,Defensive rebound by T. Gibson
7:56.0,,,34-22,2,A. Brooks makes 2-pt shot from 3 ft
7:46.0,,,34-22,,Personal foul by A. Brooks (drawn by J. Teague)
7:46.0,,,34-22,,D. Rose enters the game for J. Butler
7:46.0,,,34-22,,K. Hinrich enters the game for E. Moore
7:46.0,P. Millsap enters the game for M. Scott,,34-22,,
7:30.0,P. Millsap makes 2-pt shot from 2 ft (assist by A. Horford),2,36-22,,
7:14.0,,,36-25,3,N. Mirotic makes 3-pt shot from 24 ft (assist by K. Hinrich)
6:50.0,K. Bazemore misses 3-pt shot from 23 ft,,36-25,,
6:49.0,,,36-25,,Defensive rebound by N. Mirotic
6:43.0,,,36-25,,Shooting foul by K. Bazemore (drawn by D. Rose)
6:43.0,,,36-26,1,D. Rose makes free throw 1 of 2
6:43.0,E. Brand enters the game for A. Horford,,36-26,,
6:43.0,D. Carroll enters the game for K. Korver,,36-26,,
6:43.0,,,36-26,,D. Rose misses free throw 2 of 2
6:41.0,Defensive rebound by E. Brand,,36-26,,
6:28.0,Turnover by K. Bazemore (bad pass),,36-26,,
6:21.0,,,36-28,2,T. Gibson makes 2-pt shot at rim (assist by D. Rose)
6:08.0,J. Teague makes 2-pt shot from 21 ft,2,38-28,,
5:51.0,,,38-28,,N. Mirotic misses 3-pt shot from 25 ft
5:50.0,Defensive rebound by K. Bazemore,,38-28,,
5:36.0,,,38-28,,Personal foul by A. Brooks (drawn by K. Bazemore)
5:36.0,Atlanta full timeout,,38-28,,
5:36.0,,,38-28,,P. Gasol enters the game for N. Mirotic
5:21.0,J. Teague misses 3-pt shot from 29 ft,,38-28,,
5:20.0,Offensive rebound by E. Brand,,38-28,,
5:08.0,D. Carroll makes 3-pt shot from 22 ft (assist by J. Teague),3,41-28,,
4:44.0,,,41-31,3,A. Brooks makes 3-pt shot from 27 ft (assist by T. Gibson)
4:31.0,E. Brand misses 2-pt shot from 17 ft,,41-31,,
4:30.0,,,41-31,,Defensive rebound by D. Rose
4:21.0,,,41-31,,D. Rose misses 2-pt shot from 10 ft
4:20.0,Defensive rebound by K. Bazemore,,41-31,,
4:07.0,K. Bazemore misses 2-pt shot from 4 ft (block by A. Brooks),,41-31,,
4:06.0,,,41-31,,Defensive rebound by A. Brooks
4:06.0,Personal foul by J. Teague (drawn by D. Rose),,41-31,,
3:56.0,,,41-31,,P. Gasol misses 2-pt shot from 19 ft
3:56.0,Defensive rebound by Team,,41-31,,
3:56.0,,,41-31,,Loose ball foul by T. Gibson (drawn by P. Millsap)
3:56.0,K. Korver enters the game for K. Bazemore,,41-31,,
3:32.0,P. Millsap misses 2-pt shot from 3 ft,,41-31,,
3:32.0,Offensive rebound by Team,,41-31,,
3:32.0,Turnover by Team (shot clock),,41-31,,
3:16.0,,,41-33,2,D. Rose makes 2-pt shot from 5 ft (assist by P. Gasol)
3:03.0,J. Teague makes 2-pt shot from 12 ft,2,43-33,,
2:58.0,Personal foul by D. Carroll (drawn by A. Brooks),,43-33,,
2:58.0,,,43-33,,Chicago full timeout
2:58.0,A. Horford enters the game for E. Brand,,43-33,,
2:58.0,,,43-33,,J. Butler enters the game for A. Brooks
2:46.0,,,43-35,2,P. Gasol makes 2-pt shot from 2 ft (assist by D. Rose)
2:24.0,P. Millsap misses 2-pt shot from 1 ft (block by T. Gibson),,43-35,,
2:22.0,Offensive rebound by P. Millsap,,43-35,,
2:22.0,P. Millsap makes 2-pt shot from 2 ft,2,45-35,,
2:10.0,,,45-35,,J. Butler misses 3-pt shot from 24 ft
2:07.0,Defensive rebound by A. Horford,,45-35,,
2:02.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague),3,48-35,,
1:46.0,,,48-35,,Turnover by D. Rose (bad pass; steal by A. Horford)
1:41.0,Turnover by D. Carroll (bad pass; steal by T. Gibson),,48-35,,
1:37.0,,,48-37,2,J. Butler makes 2-pt shot from 1 ft (assist by K. Hinrich)
1:20.0,P. Millsap misses 3-pt shot from 24 ft,,48-37,,
1:19.0,,,48-37,,Defensive rebound by J. Butler
1:11.0,,,48-39,2,P. Gasol makes 2-pt shot from 3 ft (assist by J. Butler)
0:51.0,J. Teague misses 2-pt shot from 13 ft,,48-39,,
0:50.0,,,48-39,,Defensive rebound by P. Gasol
0:32.0,,,48-39,,P. Gasol misses 2-pt shot from 6 ft
0:31.0,Defensive rebound by P. Millsap,,48-39,,
0:24.0,D. Carroll misses 2-pt shot from 2 ft,,48-39,,
0:23.0,,,48-39,,Defensive rebound by T. Gibson
0:01.0,,,48-39,,D. Rose misses 3-pt shot from 24 ft (block by J. Teague)
0:00.0,Defensive rebound by A. Horford,,48-39,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,A. Horford makes 2-pt shot from 16 ft (assist by P. Millsap),2,50-39,,
11:30.0,,,50-41,2,P. Gasol makes 2-pt shot from 2 ft (assist by D. Rose)
11:22.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague),2,52-41,,
11:04.0,,,52-44,3,D. Rose makes 3-pt shot from 25 ft (assist by J. Butler)
10:50.0,J. Teague misses 2-pt shot from 2 ft,,52-44,,
10:49.0,,,52-44,,Defensive rebound by T. Gibson
10:43.0,,,52-47,3,D. Rose makes 3-pt shot from 24 ft
10:28.0,P. Millsap makes 2-pt shot from 5 ft (assist by J. Teague),2,54-47,,
10:08.0,,,54-47,,K. Hinrich misses 3-pt shot from 25 ft (block by K. Korver)
10:07.0,Defensive rebound by A. Horford,,54-47,,
9:54.0,A. Horford makes 2-pt shot from 14 ft (assist by J. Teague),2,56-47,,
9:36.0,,,56-47,,D. Rose misses 2-pt shot from 2 ft
9:35.0,Defensive rebound by K. Korver,,56-47,,
9:25.0,K. Korver misses 3-pt shot from 24 ft,,56-47,,
9:25.0,Offensive rebound by Team,,56-47,,
9:16.0,J. Teague misses 2-pt shot from 1 ft,,56-47,,
9:15.0,,,56-47,,Defensive rebound by D. Rose
9:06.0,,,56-49,2,J. Butler makes 2-pt shot from 19 ft (assist by D. Rose)
8:48.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,58-49,,
8:31.0,,,58-49,,J. Butler misses 2-pt shot from 1 ft (block by K. Korver)
8:29.0,Defensive rebound by K. Korver,,58-49,,
8:25.0,K. Korver makes 3-pt shot from 25 ft (assist by D. Carroll),3,61-49,,
8:24.0,,,61-49,,Chicago full timeout
8:02.0,,,61-51,2,J. Butler makes 2-pt shot from 1 ft (assist by P. Gasol)
7:44.0,J. Teague misses 2-pt shot from 2 ft,,61-51,,
7:43.0,,,61-51,,Defensive rebound by D. Rose
7:25.0,,,61-53,2,T. Gibson makes 2-pt shot from 1 ft
7:14.0,Turnover by J. Teague (bad pass; steal by J. Butler),,61-53,,
7:11.0,Personal foul by D. Carroll (drawn by K. Hinrich),,61-53,,
7:07.0,,,61-53,,D. Rose misses 2-pt shot from 1 ft (block by J. Teague)
7:06.0,Defensive rebound by D. Carroll,,61-53,,
6:51.0,A. Horford makes 2-pt shot from 10 ft (assist by P. Millsap),2,63-53,,
6:32.0,,,63-53,,P. Gasol misses 2-pt shot from 13 ft
6:31.0,Defensive rebound by D. Carroll,,63-53,,
6:26.0,K. Korver makes 3-pt shot from 23 ft (assist by A. Horford),3,66-53,,
6:03.0,,,66-53,,Turnover by T. Gibson (lost ball; steal by J. Teague)
6:00.0,J. Teague makes 2-pt shot at rim,2,68-53,,
5:40.0,,,68-53,,P. Gasol misses 2-pt shot from 15 ft
5:38.0,Defensive rebound by K. Korver,,68-53,,
5:14.0,D. Carroll misses 3-pt shot from 24 ft,,68-53,,
5:13.0,,,68-53,,Defensive rebound by J. Butler
5:06.0,Personal foul by P. Millsap (drawn by P. Gasol),,68-53,,
5:06.0,E. Brand enters the game for A. Horford,,68-53,,
5:06.0,T. Sefolosha enters the game for K. Korver,,68-53,,
5:02.0,,,68-53,,Shooting foul by E. Brand (drawn by D. Rose)
5:02.0,,,68-54,1,D. Rose makes free throw 1 of 2
5:02.0,,,68-54,,D. Rose misses free throw 2 of 2
5:01.0,Defensive rebound by Team,,68-54,,
4:46.0,,,68-54,,Personal foul by T. Gibson (drawn by P. Millsap)
4:39.0,Turnover by J. Teague (bad pass; steal by K. Hinrich),,68-54,,
4:36.0,,,68-56,2,K. Hinrich makes 2-pt shot from 1 ft
4:23.0,,,68-56,,Personal foul by K. Hinrich (drawn by J. Teague)
4:09.0,P. Millsap makes 2-pt shot at rim,2,70-56,,
3:51.0,,,70-56,,Turnover by P. Gasol (bad pass; steal by T. Sefolosha)
3:43.0,D. Carroll misses 3-pt shot from 23 ft,,70-56,,
3:42.0,,,70-56,,Defensive rebound by P. Gasol
3:25.0,,,70-59,3,D. Rose makes 3-pt shot from 25 ft (assist by J. Butler)
3:21.0,Atlanta full timeout,,70-59,,
3:21.0,,,70-59,,N. Mirotic enters the game for T. Gibson
3:21.0,,,70-59,,E. Moore enters the game for K. Hinrich
3:21.0,K. Korver enters the game for D. Carroll,,70-59,,
3:21.0,K. Bazemore enters the game for J. Teague,,70-59,,
3:04.0,E. Brand misses 2-pt shot from 4 ft,,70-59,,
3:03.0,,,70-59,,Defensive rebound by N. Mirotic
2:55.0,,,70-61,2,D. Rose makes 2-pt shot from 10 ft
2:39.0,P. Millsap misses 2-pt shot from 6 ft,,70-61,,
2:38.0,Offensive rebound by E. Brand,,70-61,,
2:38.0,,,70-61,,Personal foul by N. Mirotic (drawn by E. Brand)
2:38.0,A. Horford enters the game for E. Brand,,70-61,,
2:24.0,K. Bazemore makes 3-pt shot from 26 ft (assist by T. Sefolosha),3,73-61,,
2:04.0,,,73-64,3,D. Rose makes 3-pt shot from 25 ft (assist by E. Moore)
1:50.0,K. Korver misses 3-pt shot from 25 ft,,73-64,,
1:49.0,,,73-64,,Defensive rebound by D. Rose
1:39.0,,,73-64,,Shooting foul by P. Millsap (drawn by J. Butler)
1:39.0,,,73-65,1,J. Butler makes free throw 1 of 2
1:39.0,,,73-66,1,J. Butler makes free throw 2 of 2
1:28.0,Shooting foul by N. Mirotic (drawn by P. Millsap),,73-66,,
1:28.0,P. Millsap makes free throw 1 of 2,1,74-66,,
1:28.0,P. Millsap misses free throw 2 of 2,,74-66,,
1:26.0,,,74-66,,Defensive rebound by N. Mirotic
1:17.0,,,74-66,,D. Rose misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by P. Millsap,,74-66,,
1:00.0,A. Horford makes 2-pt shot from 19 ft (assist by P. Millsap),2,76-66,,
0:42.0,,,76-66,,E. Moore misses 2-pt shot from 21 ft
0:41.0,Defensive rebound by A. Horford,,76-66,,
0:33.0,Turnover by K. Bazemore (bad pass),,76-66,,
0:33.0,M. Scott enters the game for K. Bazemore,,76-66,,
0:33.0,J. Teague enters the game for P. Millsap,,76-66,,
0:21.0,,,76-66,,Shooting foul by M. Scott (drawn by P. Gasol)
0:21.0,,,76-66,,P. Gasol misses free throw 1 of 2
0:21.0,,,76-66,,Offensive rebound by Team
0:21.0,,,76-67,1,P. Gasol makes free throw 2 of 2
0:01.0,A. Horford misses 2-pt shot from 18 ft,,76-67,,
0:00.0,,,76-67,,Defensive rebound by P. Gasol
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,76-69,2,T. Gibson makes 2-pt shot at rim (assist by A. Brooks)
11:27.0,J. Teague misses 3-pt shot from 26 ft,,76-69,,
11:26.0,,,76-69,,Defensive rebound by E. Moore
11:16.0,,,76-69,,Turnover by N. Mirotic (bad pass; steal by T. Sefolosha)
11:09.0,K. Korver makes 3-pt shot from 24 ft (assist by T. Sefolosha),3,79-69,,
11:09.0,Shooting foul by N. Mirotic (drawn by K. Korver),,79-69,,
11:09.0,K. Korver makes free throw 1 of 1,1,80-69,,
10:55.0,,,80-69,,E. Moore misses 3-pt shot from 24 ft
10:54.0,,,80-69,,Offensive rebound by A. Brooks
10:50.0,,,80-69,,A. Brooks misses 3-pt shot from 23 ft
10:49.0,Defensive rebound by M. Scott,,80-69,,
10:39.0,Offensive foul by M. Scott,,80-69,,
10:39.0,Turnover by M. Scott (offensive foul),,80-69,,
10:39.0,K. Bazemore enters the game for T. Sefolosha,,80-69,,
10:26.0,,,80-71,2,E. Moore makes 2-pt shot from 4 ft
10:09.0,J. Teague makes 3-pt shot from 25 ft,3,83-71,,
9:53.0,,,83-74,3,J. Butler makes 3-pt shot from 25 ft (assist by A. Brooks)
9:36.0,Shooting foul by N. Mirotic (drawn by J. Teague),,83-74,,
9:36.0,J. Teague makes free throw 1 of 2,1,84-74,,
9:36.0,,,84-74,,P. Gasol enters the game for N. Mirotic
9:36.0,J. Teague makes free throw 2 of 2,1,85-74,,
9:17.0,,,85-74,,Turnover by A. Brooks (back court)
9:05.0,K. Korver misses 2-pt shot from 18 ft,,85-74,,
9:03.0,,,85-74,,Defensive rebound by P. Gasol
8:48.0,,,85-76,2,A. Brooks makes 2-pt shot from 11 ft
8:35.0,K. Bazemore makes 2-pt shot from 1 ft (assist by K. Korver),2,87-76,,
8:35.0,Shooting foul by E. Moore (drawn by K. Bazemore),,87-76,,
8:35.0,Atlanta full timeout,,87-76,,
8:35.0,,,87-76,,K. Hinrich enters the game for J. Butler
8:35.0,T. Sefolosha enters the game for J. Teague,,87-76,,
8:35.0,K. Bazemore makes free throw 1 of 1,1,88-76,,
8:10.0,,,88-76,,A. Brooks misses 3-pt shot from 24 ft
8:09.0,Defensive rebound by K. Korver,,88-76,,
7:53.0,Turnover by M. Scott (traveling),,88-76,,
7:53.0,,,88-76,,D. Rose enters the game for E. Moore
7:36.0,,,88-78,2,P. Gasol makes 2-pt shot from 1 ft (assist by A. Brooks)
7:19.0,T. Sefolosha makes 2-pt shot from 1 ft (assist by A. Horford),2,90-78,,
6:59.0,,,90-78,,P. Gasol misses 2-pt shot from 17 ft
6:56.0,Defensive rebound by M. Scott,,90-78,,
6:35.0,K. Bazemore misses 2-pt shot from 19 ft,,90-78,,
6:34.0,Offensive rebound by M. Scott,,90-78,,
6:34.0,M. Scott misses 2-pt shot from 2 ft,,90-78,,
6:33.0,,,90-78,,Defensive rebound by D. Rose
6:29.0,,,90-78,,Shooting foul by K. Bazemore (drawn by A. Brooks)
6:29.0,,,90-79,1,A. Brooks makes free throw 1 of 2
6:29.0,P. Millsap enters the game for A. Horford,,90-79,,
6:29.0,E. Brand enters the game for K. Korver,,90-79,,
6:29.0,J. Teague enters the game for M. Scott,,90-79,,
6:29.0,D. Carroll enters the game for K. Bazemore,,90-79,,
6:29.0,,,90-79,,N. Mirotic enters the game for T. Gibson
6:29.0,,,90-80,1,A. Brooks makes free throw 2 of 2
6:06.0,T. Sefolosha misses 2-pt shot from 14 ft,,90-80,,
6:05.0,,,90-80,,Defensive rebound by P. Gasol
5:51.0,,,90-83,3,K. Hinrich makes 3-pt shot from 23 ft (assist by P. Gasol)
5:51.0,Atlanta full timeout,,90-83,,
5:29.0,Shooting foul by N. Mirotic (drawn by J. Teague),,90-83,,
5:29.0,,,90-83,,T. Gibson enters the game for N. Mirotic
5:29.0,J. Teague misses free throw 1 of 2,,90-83,,
5:29.0,Offensive rebound by Team,,90-83,,
5:29.0,J. Teague makes free throw 2 of 2,1,91-83,,
5:19.0,,,91-85,2,D. Rose makes 2-pt shot from 2 ft
5:19.0,,,91-85,,Shooting foul by E. Brand (drawn by D. Rose)
5:19.0,A. Horford enters the game for E. Brand,,91-85,,
5:19.0,,,91-86,1,D. Rose makes free throw 1 of 1
5:02.0,T. Sefolosha makes 2-pt shot from 13 ft (assist by A. Horford),2,93-86,,
4:47.0,,,93-86,,D. Rose misses 3-pt shot from 24 ft
4:46.0,,,93-86,,Offensive rebound by D. Rose
4:44.0,,,93-86,,K. Hinrich misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by T. Sefolosha,,93-86,,
4:33.0,J. Teague misses 2-pt shot from 1 ft,,93-86,,
4:32.0,Offensive rebound by T. Sefolosha,,93-86,,
4:32.0,T. Sefolosha misses 2-pt shot from 1 ft,,93-86,,
4:31.0,Offensive rebound by T. Sefolosha,,93-86,,
4:31.0,T. Sefolosha misses 2-pt shot from 1 ft,,93-86,,
4:29.0,,,93-86,,Defensive rebound by T. Gibson
4:25.0,,,93-88,2,D. Rose makes 2-pt shot from 2 ft (assist by A. Brooks)
4:11.0,A. Horford makes 2-pt shot from 17 ft (assist by J. Teague),2,95-88,,
3:52.0,,,95-88,,P. Gasol misses 2-pt shot from 17 ft
3:50.0,Defensive rebound by T. Sefolosha,,95-88,,
3:29.0,Shooting foul by T. Gibson (drawn by P. Millsap),,95-88,,
3:29.0,P. Millsap makes free throw 1 of 2,1,96-88,,
3:29.0,K. Korver enters the game for T. Sefolosha,,96-88,,
3:29.0,,,96-88,,J. Butler enters the game for A. Brooks
3:29.0,P. Millsap makes free throw 2 of 2,1,97-88,,
3:16.0,,,97-88,,D. Rose misses 2-pt shot from 10 ft (block by J. Teague)
3:16.0,,,97-88,,Offensive rebound by Team
3:12.0,,,97-90,2,P. Gasol makes 2-pt shot from 3 ft
3:12.0,,,97-90,,Shooting foul by D. Carroll (drawn by P. Gasol)
3:12.0,,,97-91,1,P. Gasol makes free throw 1 of 1
3:01.0,P. Millsap makes 2-pt shot from 18 ft (assist by J. Teague),2,99-91,,
2:46.0,,,99-93,2,P. Gasol makes 2-pt shot from 17 ft (assist by D. Rose)
2:31.0,A. Horford makes 2-pt shot from 18 ft (assist by J. Teague),2,101-93,,
2:09.0,,,101-95,2,P. Gasol makes 2-pt shot from 15 ft (assist by D. Rose)
1:49.0,,,101-95,,Personal foul by T. Gibson (drawn by P. Millsap)
1:49.0,,,101-95,,Chicago full timeout
1:49.0,P. Millsap makes free throw 1 of 2,1,102-95,,
1:49.0,P. Millsap misses free throw 2 of 2,,102-95,,
1:48.0,,,102-95,,Defensive rebound by P. Gasol
1:32.0,,,102-95,,D. Rose misses 2-pt shot from 2 ft (block by P. Millsap)
1:30.0,,,102-95,,Offensive rebound by D. Rose
1:26.0,,,102-95,,P. Gasol misses 2-pt shot from 3 ft
1:25.0,Defensive rebound by A. Horford,,102-95,,
1:11.0,J. Teague misses 2-pt shot from 4 ft,,102-95,,
1:10.0,,,102-95,,Defensive rebound by P. Gasol
1:00.0,,,102-95,,D. Rose misses 3-pt shot from 25 ft
0:59.0,Defensive rebound by J. Teague,,102-95,,
0:34.0,P. Millsap misses 3-pt shot from 23 ft,,102-95,,
