time,LA Clippers,pts.away,score,pts.home,Milwaukee
9:51.0,J. Redick misses 2-pt shot at rim (block by L. Sanders),,76-76,,
9:48.0,,,76-76,,Defensive rebound by J. Bayless
9:42.0,,,76-78,2,K. Middleton makes 2-pt shot at rim (assist by K. Marshall)
9:25.0,,,76-78,,Shooting block foul by L. Sanders (drawn by J. Crawford)
9:25.0,J. Crawford misses free throw 1 of 2,,76-78,,
9:25.0,Offensive rebound by Team,,76-78,,
9:25.0,,,76-78,,J. Parker enters the game for J. Dudley
9:25.0,J. Crawford makes free throw 2 of 2,1,77-78,,
9:14.0,,,77-80,2,L. Sanders makes 2-pt shot at rim (assist by K. Marshall)
8:53.0,J. Farmar misses 3-pt shot from 26 ft,,77-80,,
8:52.0,,,77-80,,Defensive rebound by J. Bayless
8:33.0,,,77-82,2,L. Sanders makes 2-pt shot at rim (assist by K. Middleton)
8:16.0,H. Turkoglu makes 2-pt shot at rim,2,79-82,,
7:59.0,,,79-85,3,J. Bayless makes 3-pt shot from 23 ft (assist by K. Marshall)
7:59.0,LA Clippers full timeout,,79-85,,
7:59.0,C. Paul enters the game for J. Farmar,,79-85,,
7:48.0,J. Crawford misses 3-pt shot from 25 ft,,79-85,,
7:47.0,,,79-85,,Defensive rebound by J. Parker
7:32.0,,,79-88,3,K. Marshall makes 3-pt shot from 25 ft
7:16.0,J. Crawford misses 2-pt shot from 15 ft,,79-88,,
7:16.0,,,79-88,,Defensive rebound by Team
7:16.0,B. Griffin enters the game for H. Turkoglu,,79-88,,
6:53.0,,,79-90,2,K. Middleton makes 2-pt shot from 15 ft (assist by J. Bayless)
6:41.0,Offensive foul by B. Griffin,,79-90,,
6:41.0,Turnover by B. Griffin (offensive foul),,79-90,,
6:41.0,M. Barnes enters the game for J. Crawford,,79-90,,
6:26.0,,,79-90,,J. Parker misses 2-pt shot from 15 ft
6:25.0,Defensive rebound by B. Griffin,,79-90,,
6:05.0,M. Barnes makes 2-pt shot from 1 ft,2,81-90,,
5:51.0,,,81-92,2,J. Bayless makes 2-pt shot from 9 ft
5:35.0,D. Jordan misses 2-pt shot at rim,,81-92,,
5:34.0,Offensive rebound by D. Jordan,,81-92,,
5:34.0,D. Jordan makes 2-pt shot at rim,2,83-92,,
5:34.0,Shooting foul by K. Middleton (drawn by D. Jordan),,83-92,,
5:34.0,Official timeout,,83-92,,
5:34.0,,,83-92,,Z. Pachulia enters the game for L. Sanders
5:34.0,D. Jordan misses free throw 1 of 1,,83-92,,
5:34.0,Offensive rebound by Team,,83-92,,
5:17.0,J. Redick misses 2-pt shot from 12 ft,,83-92,,
5:17.0,,,83-92,,Defensive rebound by Team
5:17.0,Loose ball foul by D. Jordan (drawn by Z. Pachulia),,83-92,,
5:03.0,,,83-95,3,K. Middleton makes 3-pt shot from 27 ft (assist by Z. Pachulia)
4:50.0,C. Paul makes 2-pt shot from 17 ft,2,85-95,,
4:26.0,,,85-97,2,J. Bayless makes 2-pt shot from 17 ft
4:09.0,M. Barnes misses 2-pt shot at rim,,85-97,,
4:08.0,Offensive rebound by D. Jordan,,85-97,,
4:08.0,,,85-97,,Loose ball foul by K. Middleton (drawn by D. Jordan)
4:08.0,D. Jordan makes free throw 1 of 2,1,86-97,,
4:08.0,D. Jordan misses free throw 2 of 2,,86-97,,
4:07.0,,,86-97,,Defensive rebound by J. Bayless
3:44.0,,,86-97,,Z. Pachulia misses 2-pt shot from 15 ft
3:43.0,Defensive rebound by C. Paul,,86-97,,
3:35.0,C. Paul misses 2-pt shot at rim,,86-97,,
3:35.0,Offensive rebound by Team,,86-97,,
3:35.0,LA Clippers full timeout,,86-97,,
3:32.0,,,86-97,,B. Knight enters the game for K. Marshall
3:32.0,Shooting foul by J. Parker (drawn by B. Griffin),,86-97,,
3:32.0,B. Griffin makes free throw 1 of 2,1,87-97,,
3:32.0,B. Griffin misses free throw 2 of 2,,87-97,,
3:31.0,Offensive rebound by J. Redick,,87-97,,
3:21.0,C. Paul makes 2-pt shot from 15 ft,2,89-97,,
3:06.0,,,89-97,,J. Bayless misses 2-pt shot from 1 ft (block by M. Barnes)
3:04.0,Defensive rebound by D. Jordan,,89-97,,
2:59.0,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul),3,92-97,,
2:59.0,,,92-97,,Milwaukee full timeout
2:59.0,,,92-97,,G. Antetokounmpo enters the game for J. Bayless
2:35.0,,,92-97,,K. Middleton misses 2-pt shot from 13 ft
2:35.0,Defensive rebound by Team,,92-97,,
2:27.0,Offensive foul by J. Redick,,92-97,,
2:27.0,Turnover by J. Redick (offensive foul),,92-97,,
2:27.0,,,92-97,,L. Sanders enters the game for Z. Pachulia
2:09.0,,,92-97,,B. Knight misses 3-pt shot from 26 ft
2:08.0,,,92-97,,Offensive rebound by J. Parker
1:50.0,,,92-99,2,G. Antetokounmpo makes 2-pt shot at rim
1:37.0,C. Paul misses 2-pt shot from 11 ft,,92-99,,
1:36.0,,,92-99,,Defensive rebound by K. Middleton
1:17.0,,,92-99,,Offensive foul by G. Antetokounmpo
