time,Phoenix,pts.away,score,pts.home,Orlando
6:19.0,,,13-17,,Defensive rebound by T. Harris
6:17.0,,,13-17,,Turnover by T. Harris (bad pass)
6:07.0,Turnover by B. Knight (step out of bounds),,13-17,,
5:48.0,,,13-19,2,N. Vucevic makes 2-pt shot from 2 ft
5:28.0,B. Wright misses 2-pt shot at rim (block by N. Vucevic),,13-19,,
5:27.0,,,13-19,,Defensive rebound by A. Gordon
5:14.0,,,13-19,,N. Vucevic misses 2-pt shot from 10 ft
5:12.0,,,13-19,,Offensive rebound by Team
4:49.0,,,13-19,,Turnover by V. Oladipo (bad pass)
4:49.0,M. Morris enters the game for P. Tucker,,13-19,,
4:33.0,B. Knight misses 3-pt shot from 25 ft,,13-19,,
4:33.0,,,13-19,,Defensive rebound by T. Harris
4:20.0,,,13-21,2,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo)
4:00.0,B. Wright makes 2-pt shot at rim (assist by E. Bledsoe),2,15-21,,
3:48.0,,,15-21,,N. Vucevic misses 2-pt shot from 17 ft
3:47.0,Defensive rebound by M. Morris,,15-21,,
3:40.0,E. Bledsoe makes 2-pt shot at rim (assist by B. Knight),2,17-21,,
3:39.0,,,17-21,,Orlando full timeout
3:39.0,A. Goodwin enters the game for B. Knight,,17-21,,
3:39.0,,,17-21,,W. Green enters the game for E. Payton
3:21.0,,,17-21,,V. Oladipo misses 3-pt shot from 23 ft
3:21.0,,,17-21,,Offensive rebound by A. Gordon
3:17.0,,,17-23,2,N. Vucevic makes 2-pt shot at rim (assist by A. Gordon)
3:02.0,,,17-23,,Personal foul by V. Oladipo (drawn by E. Bledsoe)
3:02.0,,,17-23,,C. Frye enters the game for N. Vucevic
2:49.0,M. Morris misses 2-pt shot at rim (block by C. Frye),,17-23,,
2:49.0,,,17-23,,Defensive rebound by A. Gordon
2:46.0,,,17-23,,Turnover by V. Oladipo (bad pass)
2:31.0,M. Morris makes 2-pt shot from 12 ft,2,19-23,,
2:22.0,,,19-23,,Turnover by V. Oladipo (lost ball)
2:14.0,Turnover by M. Morris (lost ball; steal by A. Gordon),,19-23,,
1:57.0,,,19-23,,T. Harris misses 3-pt shot from 25 ft
1:56.0,Defensive rebound by B. Wright,,19-23,,
1:33.0,Turnover by A. Goodwin (lost ball; steal by V. Oladipo),,19-23,,
1:26.0,,,19-23,,C. Frye misses 2-pt shot from 22 ft
1:25.0,Defensive rebound by E. Bledsoe,,19-23,,
1:12.0,A. Goodwin misses 3-pt shot from 24 ft,,19-23,,
1:11.0,,,19-23,,Defensive rebound by T. Harris
1:02.0,,,19-23,,W. Green misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by M. Morris,,19-23,,
0:38.0,B. Wright misses 2-pt shot from 21 ft,,19-23,,
0:37.0,Offensive rebound by Team,,19-23,,
0:37.0,,,19-23,,M. Harkless enters the game for T. Harris
0:34.0,M. Morris misses 2-pt shot from 17 ft,,19-23,,
0:33.0,,,19-23,,Defensive rebound by W. Green
0:17.0,Personal foul by E. Bledsoe (drawn by V. Oladipo),,19-23,,
0:03.0,,,19-25,2,V. Oladipo makes 2-pt shot from 2 ft
0:00.0,A. Goodwin makes 3-pt shot from 31 ft,3,22-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,M. Morris misses 2-pt shot from 16 ft,,22-25,,
11:46.0,,,22-25,,Defensive rebound by C. Frye
11:30.0,,,22-25,,Shooting foul by M. Morris (drawn by C. Frye)
11:30.0,,,22-26,1,C. Frye makes free throw 1 of 2
11:30.0,,,22-27,1,C. Frye makes free throw 2 of 2
11:19.0,,,22-27,,Personal foul by B. Gordon (drawn by B. Knight)
11:15.0,B. Knight misses 3-pt shot from 24 ft,,22-27,,
11:14.0,,,22-27,,Defensive rebound by C. Frye
10:58.0,,,22-27,,B. Gordon misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by M. Morris,,22-27,,
10:44.0,M. Morris misses 2-pt shot from 21 ft,,22-27,,
10:44.0,,,22-27,,Defensive rebound by A. Nicholson
10:33.0,,,22-27,,M. Harkless misses 3-pt shot from 23 ft
10:33.0,Defensive rebound by Team,,22-27,,
10:20.0,B. Wright misses 2-pt shot from 9 ft,,22-27,,
10:19.0,,,22-27,,Defensive rebound by M. Harkless
10:01.0,,,22-29,2,B. Gordon makes 2-pt shot from 4 ft
9:46.0,B. Knight makes 3-pt shot from 24 ft,3,25-29,,
9:33.0,,,25-29,,Turnover by C. Frye (bad pass)
9:26.0,,,25-29,,Personal foul by W. Green (drawn by B. Knight)
9:24.0,,,25-29,,Personal block foul by W. Green (drawn by B. Knight)
9:24.0,,,25-29,,E. Payton enters the game for W. Green
9:16.0,M. Morris makes 2-pt shot from 7 ft (assist by B. Knight),2,27-29,,
9:02.0,,,27-29,,Offensive foul by B. Gordon
9:02.0,,,27-29,,Turnover by B. Gordon (offensive foul)
9:02.0,,,27-29,,V. Oladipo enters the game for B. Gordon
8:51.0,B. Knight misses 2-pt shot from 15 ft,,27-29,,
8:49.0,Offensive rebound by T. Warren,,27-29,,
8:49.0,T. Warren misses 2-pt shot from 1 ft,,27-29,,
8:47.0,,,27-29,,Defensive rebound by A. Nicholson
8:37.0,,,27-29,,C. Frye misses 3-pt shot from 25 ft
8:36.0,,,27-29,,Offensive rebound by V. Oladipo
8:28.0,Violation by T. Warren (kicked ball),,27-29,,
8:28.0,Official timeout,,27-29,,
8:19.0,,,27-29,,A. Nicholson misses 2-pt shot from 12 ft
8:18.0,Defensive rebound by M. Morris,,27-29,,
8:10.0,M. Morris misses 2-pt shot from 12 ft,,27-29,,
8:09.0,,,27-29,,Defensive rebound by A. Nicholson
8:09.0,,,27-29,,Turnover by E. Payton (traveling)
7:50.0,T. Warren makes 2-pt shot from 1 ft (assist by A. Goodwin),2,29-29,,
7:37.0,,,29-31,2,C. Frye makes 2-pt shot from 20 ft (assist by E. Payton)
7:16.0,M. Morris misses 3-pt shot from 22 ft,,29-31,,
7:15.0,,,29-31,,Defensive rebound by V. Oladipo
7:06.0,,,29-31,,V. Oladipo misses 2-pt shot from 17 ft
7:06.0,Defensive rebound by M. Morris,,29-31,,
6:58.0,A. Goodwin misses 2-pt shot from 16 ft,,29-31,,
6:58.0,,,29-31,,Defensive rebound by C. Frye
6:50.0,,,29-33,2,A. Nicholson makes 2-pt shot from 1 ft (assist by E. Payton)
6:46.0,Turnover by A. Goodwin (lost ball; steal by E. Payton),,29-33,,
6:43.0,,,29-35,2,V. Oladipo makes 2-pt shot at rim (assist by E. Payton)
6:31.0,,,29-35,,Personal foul by E. Payton (drawn by B. Knight)
6:31.0,,,29-35,,T. Harris enters the game for M. Harkless
6:31.0,P. Tucker enters the game for M. Morris,,29-35,,
6:14.0,A. Goodwin misses 3-pt shot from 24 ft,,29-35,,
6:14.0,,,29-35,,Defensive rebound by C. Frye
5:56.0,,,29-35,,Turnover by A. Nicholson (lost ball; steal by P. Tucker)
5:55.0,,,29-35,,Personal foul by C. Frye (drawn by B. Knight)
5:55.0,,,29-35,,Orlando full timeout
5:55.0,,,29-35,,N. Vucevic enters the game for C. Frye
5:55.0,A. Len enters the game for B. Wright,,29-35,,
5:55.0,E. Bledsoe enters the game for A. Goodwin,,29-35,,
5:55.0,B. Knight makes free throw 1 of 2,1,30-35,,
5:55.0,B. Knight makes free throw 2 of 2,1,31-35,,
5:40.0,,,31-37,2,N. Vucevic makes 2-pt shot from 1 ft (assist by T. Harris)
5:30.0,Turnover by E. Bledsoe (lost ball; steal by E. Payton),,31-37,,
5:26.0,,,31-39,2,E. Payton makes 2-pt shot at rim
5:07.0,B. Knight misses 3-pt shot from 24 ft,,31-39,,
5:06.0,,,31-39,,Defensive rebound by N. Vucevic
4:57.0,,,31-41,2,E. Payton makes 2-pt shot from 5 ft
4:39.0,E. Bledsoe misses 2-pt shot at rim,,31-41,,
4:39.0,Offensive rebound by T. Warren,,31-41,,
4:39.0,T. Warren makes 2-pt shot at rim,2,33-41,,
4:25.0,,,33-41,,Offensive charge foul by V. Oladipo
4:25.0,,,33-41,,Turnover by V. Oladipo (offensive foul)
4:25.0,,,33-41,,D. Dedmon enters the game for A. Nicholson
4:25.0,M. Morris enters the game for B. Knight,,33-41,,
4:09.0,A. Len misses 2-pt shot at rim (block by D. Dedmon),,33-41,,
4:08.0,,,33-41,,Defensive rebound by E. Payton
4:00.0,,,33-44,3,T. Harris makes 3-pt shot from 23 ft (assist by E. Payton)
3:49.0,T. Warren misses 2-pt shot from 10 ft,,33-44,,
3:49.0,,,33-44,,Defensive rebound by V. Oladipo
3:49.0,Personal foul by M. Morris (drawn by V. Oladipo),,33-44,,
3:34.0,,,33-44,,N. Vucevic misses 2-pt shot from 17 ft
3:33.0,Defensive rebound by E. Bledsoe,,33-44,,
3:24.0,Turnover by E. Bledsoe (lost ball; steal by N. Vucevic),,33-44,,
3:20.0,,,33-44,,Offensive foul by E. Payton
3:20.0,,,33-44,,Turnover by E. Payton (offensive foul)
3:08.0,Turnover by A. Len (lost ball; steal by E. Payton),,33-44,,
3:04.0,,,33-44,,E. Payton misses 2-pt shot from 3 ft (block by E. Bledsoe)
3:04.0,,,33-44,,Offensive rebound by Team
2:55.0,,,33-46,2,T. Harris makes 2-pt shot from 18 ft
2:32.0,T. Warren misses 2-pt shot from 7 ft,,33-46,,
2:31.0,,,33-46,,Defensive rebound by D. Dedmon
2:24.0,,,33-46,,Shooting foul by A. Len (drawn by N. Vucevic)
2:24.0,Phoenix full timeout,,33-46,,
2:24.0,M. Morris enters the game for P. Tucker,,33-46,,
2:24.0,B. Knight enters the game for T. Warren,,33-46,,
2:24.0,P. Tucker enters the game for A. Len,,33-46,,
2:24.0,,,33-47,1,N. Vucevic makes free throw 1 of 2
2:24.0,,,33-48,1,N. Vucevic makes free throw 2 of 2
2:06.0,Shooting foul by E. Payton (drawn by E. Bledsoe),,33-48,,
2:06.0,E. Bledsoe makes free throw 1 of 2,1,34-48,,
2:06.0,,,34-48,,W. Green enters the game for E. Payton
2:06.0,E. Bledsoe makes free throw 2 of 2,1,35-48,,
1:51.0,Personal foul by B. Knight (drawn by W. Green),,35-48,,
1:38.0,,,35-50,2,V. Oladipo makes 2-pt shot from 19 ft (assist by W. Green)
1:15.0,M. Morris makes 2-pt shot from 18 ft,2,37-50,,
0:58.0,,,37-52,2,N. Vucevic makes 2-pt shot from 10 ft
0:44.0,M. Morris makes 2-pt shot from 2 ft,2,39-52,,
0:32.0,,,39-52,,Turnover by W. Green (lost ball; steal by E. Bledsoe)
0:32.0,,,39-52,,Personal foul by W. Green (drawn by B. Knight)
0:32.0,B. Knight makes free throw 1 of 2,1,40-52,,
0:32.0,,,40-52,,Orlando full timeout
0:32.0,,,40-52,,C. Frye enters the game for D. Dedmon
0:32.0,,,40-52,,B. Gordon enters the game for W. Green
0:32.0,B. Knight makes free throw 2 of 2,1,41-52,,
0:08.0,,,41-52,,N. Vucevic misses 2-pt shot from 2 ft
0:07.0,Defensive rebound by Team,,41-52,,
0:07.0,,,41-52,,Loose ball foul by C. Frye (drawn by M. Morris)
0:07.0,M. Morris makes free throw 1 of 2,1,42-52,,
0:07.0,M. Morris makes free throw 2 of 2,1,43-52,,
0:00.0,,,43-52,,B. Gordon misses 3-pt shot from 26 ft
0:00.0,,,43-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,43-52,,Personal foul by N. Vucevic (drawn by E. Bledsoe)
11:44.0,Shooting foul by D. Dedmon (drawn by E. Bledsoe),,43-52,,
11:44.0,E. Bledsoe makes free throw 1 of 2,1,44-52,,
11:44.0,E. Bledsoe makes free throw 2 of 2,1,45-52,,
11:32.0,,,45-52,,Turnover by E. Payton (lost ball; steal by P. Tucker)
11:25.0,B. Knight misses 2-pt shot from 2 ft,,45-52,,
11:25.0,,,45-52,,Defensive rebound by D. Dedmon
11:15.0,Violation by E. Bledsoe (kicked ball),,45-52,,
11:01.0,,,45-52,,T. Harris misses 3-pt shot from 25 ft
11:00.0,Defensive rebound by A. Len,,45-52,,
10:52.0,,,45-52,,Personal foul by D. Dedmon (drawn by M. Morris)
10:52.0,,,45-52,,A. Gordon enters the game for D. Dedmon
10:46.0,P. Tucker misses 2-pt shot from 21 ft,,45-52,,
10:45.0,Offensive rebound by M. Morris,,45-52,,
10:32.0,M. Morris makes 2-pt shot from 17 ft (assist by B. Knight),2,47-52,,
10:03.0,,,47-55,3,V. Oladipo makes 3-pt shot from 26 ft (assist by E. Payton)
9:45.0,P. Tucker makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,50-55,,
9:22.0,,,50-57,2,V. Oladipo makes 2-pt shot at rim (assist by E. Payton)
9:12.0,E. Bledsoe makes 3-pt shot from 25 ft,3,53-57,,
9:02.0,Personal foul by E. Bledsoe (drawn by V. Oladipo),,53-57,,
8:55.0,,,53-57,,E. Payton misses 2-pt shot from 11 ft
8:54.0,Defensive rebound by P. Tucker,,53-57,,
8:43.0,A. Len makes 2-pt shot from 15 ft (assist by E. Bledsoe),2,55-57,,
8:42.0,,,55-57,,Orlando full timeout
8:21.0,,,55-59,2,N. Vucevic makes 2-pt shot from 20 ft (assist by T. Harris)
8:04.0,B. Knight makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,58-59,,
7:44.0,,,58-59,,T. Harris misses 2-pt shot from 14 ft
7:43.0,Defensive rebound by M. Morris,,58-59,,
7:35.0,P. Tucker misses 3-pt shot from 25 ft,,58-59,,
7:34.0,,,58-59,,Defensive rebound by A. Gordon
7:13.0,,,58-59,,N. Vucevic misses 2-pt shot from 19 ft
7:13.0,Defensive rebound by Team,,58-59,,
6:53.0,M. Morris misses 2-pt shot from 12 ft,,58-59,,
6:53.0,Offensive rebound by P. Tucker,,58-59,,
6:46.0,M. Morris misses 3-pt shot from 25 ft,,58-59,,
6:46.0,,,58-59,,Defensive rebound by E. Payton
6:38.0,,,58-59,,Turnover by E. Payton (lost ball; steal by P. Tucker)
6:35.0,Shooting foul by T. Harris (drawn by P. Tucker),,58-59,,
6:35.0,P. Tucker makes free throw 1 of 2,1,59-59,,
6:35.0,,,59-59,,W. Green enters the game for E. Payton
6:35.0,,,59-59,,A. Nicholson enters the game for A. Gordon
6:35.0,P. Tucker makes free throw 2 of 2,1,60-59,,
6:20.0,,,60-59,,Turnover by V. Oladipo (lost ball; steal by B. Knight)
6:16.0,B. Knight makes 2-pt shot at rim,2,62-59,,
6:05.0,,,62-59,,Turnover by N. Vucevic (lost ball; steal by E. Bledsoe)
5:58.0,P. Tucker makes 2-pt shot at rim (assist by E. Bledsoe),2,64-59,,
5:57.0,,,64-59,,Orlando full timeout
5:39.0,,,64-59,,A. Nicholson misses 2-pt shot from 18 ft
5:39.0,Defensive rebound by P. Tucker,,64-59,,
5:31.0,E. Bledsoe makes 2-pt shot from 19 ft,2,66-59,,
5:05.0,,,66-59,,V. Oladipo misses 3-pt shot from 25 ft
5:05.0,Defensive rebound by P. Tucker,,66-59,,
4:49.0,B. Knight misses 3-pt shot from 24 ft,,66-59,,
4:48.0,,,66-59,,Defensive rebound by N. Vucevic
4:36.0,,,66-61,2,V. Oladipo makes 2-pt shot from 1 ft
4:18.0,A. Len misses 2-pt shot from 16 ft,,66-61,,
4:17.0,,,66-61,,Defensive rebound by T. Harris
4:04.0,,,66-61,,Shooting foul by M. Morris (drawn by A. Nicholson)
4:04.0,,,66-62,1,A. Nicholson makes free throw 1 of 2
4:04.0,,,66-62,,C. Frye enters the game for N. Vucevic
4:04.0,B. Wright enters the game for A. Len,,66-62,,
4:04.0,M. Thornton enters the game for E. Bledsoe,,66-62,,
4:04.0,,,66-63,1,A. Nicholson makes free throw 2 of 2
3:46.0,Shooting foul by C. Frye (drawn by P. Tucker),,66-63,,
3:46.0,P. Tucker makes free throw 1 of 2,1,67-63,,
3:46.0,P. Tucker makes free throw 2 of 2,1,68-63,,
3:31.0,,,68-65,2,V. Oladipo makes 2-pt shot from 1 ft
3:10.0,M. Morris makes 2-pt shot from 12 ft,2,70-65,,
2:49.0,,,70-65,,W. Green misses 2-pt shot from 2 ft
2:49.0,,,70-65,,Offensive rebound by W. Green
2:47.0,,,70-65,,W. Green misses 2-pt shot from 2 ft (block by B. Wright)
2:46.0,Defensive rebound by M. Thornton,,70-65,,
2:41.0,Shooting foul by C. Frye (drawn by B. Knight),,70-65,,
2:41.0,B. Knight misses free throw 1 of 2,,70-65,,
2:41.0,Offensive rebound by Team,,70-65,,
2:41.0,B. Knight makes free throw 2 of 2,1,71-65,,
2:28.0,,,71-65,,V. Oladipo misses 2-pt shot from 2 ft (block by P. Tucker)
2:28.0,Defensive rebound by B. Knight,,71-65,,
2:22.0,M. Morris makes 2-pt shot at rim (assist by B. Knight),2,73-65,,
2:00.0,,,73-67,2,A. Nicholson makes 2-pt shot from 1 ft
1:52.0,Turnover by B. Knight (lost ball),,73-67,,
1:45.0,,,73-67,,Shooting foul by B. Wright (drawn by V. Oladipo)
1:45.0,,,73-68,1,V. Oladipo makes free throw 1 of 2
1:45.0,,,73-69,1,V. Oladipo makes free throw 2 of 2
1:45.0,Phoenix full timeout,,73-69,,
1:45.0,,,73-69,,M. Harkless enters the game for T. Harris
1:45.0,M. Morris enters the game for P. Tucker,,73-69,,
1:27.0,B. Wright makes 2-pt shot at rim (assist by M. Morris),2,75-69,,
1:11.0,,,75-69,,V. Oladipo misses 2-pt shot from 1 ft
1:10.0,Defensive rebound by M. Thornton,,75-69,,
1:02.0,M. Morris makes 2-pt shot from 1 ft (assist by M. Thornton),2,77-69,,
0:50.0,,,77-69,,W. Green misses 2-pt shot from 7 ft
0:49.0,Defensive rebound by M. Morris,,77-69,,
0:33.0,Turnover by B. Knight (bad pass; steal by V. Oladipo),,77-69,,
0:27.0,,,77-69,,M. Harkless misses 3-pt shot from 23 ft
0:27.0,Defensive rebound by Team,,77-69,,
0:04.0,M. Morris misses 3-pt shot from 25 ft,,77-69,,
0:03.0,,,77-69,,Defensive rebound by V. Oladipo
0:00.0,,,77-69,,V. Oladipo misses 3-pt shot from 41 ft
0:00.0,,,77-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,77-69,,C. Frye misses 3-pt shot from 22 ft
11:47.0,Defensive rebound by E. Bledsoe,,77-69,,
11:29.0,B. Wright misses 2-pt shot from 1 ft (block by A. Nicholson),,77-69,,
11:28.0,Offensive rebound by B. Wright,,77-69,,
11:25.0,M. Morris makes 3-pt shot from 23 ft (assist by B. Wright),3,80-69,,
11:14.0,,,80-69,,V. Oladipo misses 2-pt shot at rim
11:13.0,,,80-69,,Offensive rebound by A. Nicholson
11:07.0,,,80-71,2,A. Nicholson makes 2-pt shot from 22 ft (assist by E. Payton)
10:47.0,,,80-71,,Personal foul by M. Harkless (drawn by M. Morris)
10:47.0,,,80-71,,D. Dedmon enters the game for C. Frye
10:43.0,M. Thornton makes 2-pt shot from 18 ft (assist by E. Bledsoe),2,82-71,,
10:21.0,,,82-74,3,V. Oladipo makes 3-pt shot from 24 ft (assist by A. Nicholson)
10:02.0,E. Bledsoe misses 2-pt shot from 21 ft,,82-74,,
10:02.0,,,82-74,,Defensive rebound by D. Dedmon
9:53.0,,,82-77,3,V. Oladipo makes 3-pt shot from 23 ft (assist by E. Payton)
9:53.0,Phoenix full timeout,,82-77,,
9:41.0,Turnover by E. Bledsoe (lost ball; steal by D. Dedmon),,82-77,,
9:35.0,,,82-77,,V. Oladipo misses 3-pt shot from 26 ft
9:34.0,Defensive rebound by E. Bledsoe,,82-77,,
9:23.0,Turnover by M. Morris (lost ball; steal by V. Oladipo),,82-77,,
9:19.0,,,82-79,2,V. Oladipo makes 2-pt shot at rim (assist by M. Harkless)
8:56.0,M. Thornton misses 3-pt shot from 25 ft,,82-79,,
8:55.0,,,82-79,,Defensive rebound by A. Nicholson
8:32.0,,,82-79,,A. Nicholson misses 2-pt shot from 7 ft
8:31.0,,,82-79,,Offensive rebound by Team
8:31.0,,,82-79,,Turnover by Team (shot clock)
8:31.0,B. Knight enters the game for M. Thornton,,82-79,,
8:17.0,P. Tucker makes 2-pt shot from 2 ft,2,84-79,,
7:57.0,,,84-79,,Turnover by V. Oladipo (bad pass; steal by B. Wright)
7:55.0,P. Tucker makes 2-pt shot at rim (assist by B. Wright),2,86-79,,
7:55.0,Shooting foul by V. Oladipo (drawn by P. Tucker),,86-79,,
7:55.0,,,86-79,,T. Harris enters the game for A. Nicholson
7:55.0,,,86-79,,W. Green enters the game for M. Harkless
7:55.0,P. Tucker misses free throw 1 of 1,,86-79,,
7:54.0,,,86-79,,Defensive rebound by W. Green
7:35.0,,,86-79,,W. Green misses 2-pt shot from 16 ft
7:35.0,,,86-79,,Offensive rebound by Team
7:32.0,,,86-79,,Turnover by W. Green (lost ball; steal by B. Knight)
7:29.0,P. Tucker makes 2-pt shot at rim,2,88-79,,
7:27.0,,,88-79,,Orlando full timeout
7:27.0,,,88-79,,N. Vucevic enters the game for V. Oladipo
7:09.0,,,88-79,,Shooting foul by P. Tucker (drawn by D. Dedmon)
7:09.0,,,88-79,,D. Dedmon misses free throw 1 of 2
7:09.0,,,88-79,,Offensive rebound by Team
7:09.0,,,88-80,1,D. Dedmon makes free throw 2 of 2
6:52.0,Turnover by E. Bledsoe (lost ball; steal by E. Payton),,88-80,,
6:46.0,,,88-80,,E. Payton misses 2-pt shot from 1 ft
6:45.0,,,88-80,,Offensive rebound by D. Dedmon
6:45.0,,,88-82,2,D. Dedmon makes 2-pt shot at rim
6:29.0,M. Morris misses 3-pt shot from 22 ft,,88-82,,
6:29.0,,,88-82,,Defensive rebound by N. Vucevic
6:16.0,,,88-84,2,W. Green makes 2-pt shot at rim (assist by N. Vucevic)
6:16.0,Phoenix full timeout,,88-84,,
6:16.0,M. Morris enters the game for B. Wright,,88-84,,
6:16.0,A. Len enters the game for M. Morris,,88-84,,
5:52.0,P. Tucker makes 2-pt shot from 1 ft,2,90-84,,
5:27.0,,,90-84,,W. Green misses 2-pt shot from 20 ft
5:26.0,Defensive rebound by Team,,90-84,,
5:10.0,B. Knight makes 3-pt shot from 23 ft (assist by M. Morris),3,93-84,,
5:00.0,,,93-84,,Shooting foul by M. Morris (drawn by E. Payton)
5:00.0,,,93-84,,E. Payton misses free throw 1 of 2
5:00.0,,,93-84,,Offensive rebound by Team
5:00.0,,,93-84,,V. Oladipo enters the game for W. Green
5:00.0,,,93-85,1,E. Payton makes free throw 2 of 2
4:39.0,P. Tucker misses 2-pt shot at rim,,93-85,,
4:38.0,Offensive rebound by A. Len,,93-85,,
4:38.0,A. Len misses 2-pt shot at rim,,93-85,,
4:38.0,Offensive rebound by A. Len,,93-85,,
4:38.0,Turnover by A. Len (lost ball),,93-85,,
4:22.0,,,93-85,,E. Payton misses 2-pt shot from 2 ft
4:21.0,,,93-85,,Offensive rebound by E. Payton
4:18.0,,,93-85,,N. Vucevic misses 2-pt shot from 5 ft
4:16.0,,,93-85,,Offensive rebound by E. Payton
4:16.0,,,93-87,2,E. Payton makes 2-pt shot at rim
3:56.0,M. Morris misses 2-pt shot from 15 ft,,93-87,,
3:55.0,,,93-87,,Defensive rebound by D. Dedmon
3:48.0,Personal block foul by M. Morris (drawn by E. Payton),,93-87,,
3:36.0,Personal foul by P. Tucker (drawn by N. Vucevic),,93-87,,
3:26.0,,,93-87,,Turnover by V. Oladipo (lost ball; steal by E. Bledsoe)
3:20.0,B. Knight makes 2-pt shot at rim,2,95-87,,
3:00.0,,,95-89,2,E. Payton makes 2-pt shot from 18 ft
2:40.0,P. Tucker makes 2-pt shot from 2 ft (assist by B. Knight),2,97-89,,
2:37.0,,,97-89,,Orlando full timeout
2:24.0,,,97-89,,E. Payton misses 2-pt shot from 8 ft
2:23.0,Defensive rebound by E. Bledsoe,,97-89,,
2:15.0,E. Bledsoe misses 2-pt shot at rim,,97-89,,
2:14.0,,,97-89,,Defensive rebound by D. Dedmon
2:01.0,,,97-89,,N. Vucevic misses 2-pt shot from 7 ft
