time,Detroit,pts.away,score,pts.home,Charlotte
6:33.0,,,11-17,1,G. Henderson makes free throw 1 of 2
6:33.0,J. Meeks enters the game for K. Caldwell-Pope,,11-17,,
6:33.0,,,11-18,1,G. Henderson makes free throw 2 of 2
6:07.0,J. Meeks misses 2-pt shot from 17 ft,,11-18,,
6:06.0,,,11-18,,Defensive rebound by J. Taylor
6:00.0,,,11-20,2,A. Jefferson makes 2-pt shot from 11 ft (assist by K. Walker)
5:41.0,R. Jackson makes 2-pt shot at rim,2,13-20,,
5:27.0,,,13-20,,A. Jefferson misses 2-pt shot from 2 ft (block by J. Anthony)
5:25.0,Defensive rebound by J. Meeks,,13-20,,
5:21.0,R. Jackson misses 2-pt shot from 2 ft (block by M. Williams),,13-20,,
5:18.0,,,13-20,,Defensive rebound by G. Henderson
5:17.0,,,13-20,,Shooting foul by J. Meeks (drawn by A. Jefferson)
5:17.0,,,13-20,,A. Jefferson misses free throw 1 of 2
5:17.0,,,13-20,,Offensive rebound by Team
5:17.0,,,13-20,,P. Hairston enters the game for J. Taylor
5:17.0,J. Lucas III enters the game for R. Jackson,,13-20,,
5:17.0,,,13-21,1,A. Jefferson makes free throw 2 of 2
4:56.0,J. Lucas III misses 2-pt shot from 16 ft,,13-21,,
4:55.0,,,13-21,,Defensive rebound by M. Williams
4:53.0,,,13-21,,Turnover by M. Williams (bad pass; steal by J. Anthony)
4:45.0,Turnover by C. Butler (bad pass; steal by K. Walker),,13-21,,
4:42.0,,,13-21,,Shooting foul by J. Anthony (drawn by M. Williams)
4:42.0,,,13-21,,M. Williams misses free throw 1 of 2
4:42.0,,,13-21,,Offensive rebound by Team
4:42.0,,,13-22,1,M. Williams makes free throw 2 of 2
4:29.0,A. Tolliver misses 3-pt shot from 27 ft,,13-22,,
4:28.0,,,13-22,,Defensive rebound by K. Walker
4:21.0,,,13-22,,M. Williams misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by J. Anthony,,13-22,,
3:57.0,J. Lucas III misses 3-pt shot from 25 ft,,13-22,,
3:57.0,Offensive rebound by Team,,13-22,,
3:57.0,Turnover by Team (shot clock),,13-22,,
3:57.0,,,13-22,,M. Williams enters the game for G. Henderson
3:40.0,,,13-22,,M. Williams misses 2-pt shot from 22 ft
3:39.0,Defensive rebound by A. Tolliver,,13-22,,
3:28.0,C. Butler makes 3-pt shot from 23 ft (assist by J. Lucas III),3,16-22,,
3:13.0,,,16-22,,K. Walker misses 2-pt shot from 1 ft (block by J. Anthony)
3:11.0,,,16-22,,Offensive rebound by M. Williams
3:11.0,,,16-24,2,M. Williams makes 2-pt shot at rim
2:57.0,J. Meeks makes 2-pt shot from 18 ft (assist by J. Lucas III),2,18-24,,
2:40.0,,,18-27,3,M. Williams makes 3-pt shot from 23 ft (assist by M. Williams)
2:26.0,J. Meeks makes 2-pt shot from 19 ft (assist by A. Tolliver),2,20-27,,
2:09.0,,,20-27,,A. Jefferson misses 2-pt shot from 1 ft (block by J. Anthony)
2:09.0,,,20-27,,Offensive rebound by Team
2:09.0,,,20-27,,Charlotte full timeout
2:09.0,,,20-27,,B. Biyombo enters the game for A. Jefferson
2:03.0,,,20-27,,M. Williams misses 2-pt shot from 20 ft
2:03.0,,,20-27,,Offensive rebound by B. Biyombo
2:03.0,,,20-27,,Shooting foul by J. Anthony (drawn by B. Biyombo)
2:03.0,,,20-28,1,B. Biyombo makes free throw 1 of 2
2:03.0,,,20-28,,J. Maxiell enters the game for M. Williams
2:03.0,,,20-29,1,B. Biyombo makes free throw 2 of 2
1:44.0,J. Meeks makes 2-pt shot from 1 ft (assist by C. Butler),2,22-29,,
1:30.0,,,22-29,,P. Hairston misses 3-pt shot from 26 ft
1:29.0,Defensive rebound by J. Meeks,,22-29,,
1:19.0,Turnover by A. Tolliver (bad pass),,22-29,,
1:08.0,,,22-29,,M. Williams misses 2-pt shot from 18 ft
1:07.0,Defensive rebound by C. Butler,,22-29,,
0:49.0,C. Butler misses 2-pt shot from 20 ft,,22-29,,
0:48.0,,,22-29,,Defensive rebound by B. Biyombo
0:37.0,,,22-31,2,K. Walker makes 2-pt shot from 1 ft
0:29.0,C. Butler misses 2-pt shot from 21 ft,,22-31,,
0:28.0,Offensive rebound by A. Tolliver,,22-31,,
0:26.0,J. Meeks makes 3-pt shot from 26 ft (assist by A. Tolliver),3,25-31,,
0:04.0,,,25-33,2,K. Walker makes 2-pt shot from 14 ft
0:00.0,J. Lucas III misses 3-pt shot from 37 ft,,25-33,,
0:00.0,Offensive rebound by Team,,25-33,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Shooting foul by M. Williams (drawn by R. Jackson),,25-33,,
11:48.0,R. Jackson makes free throw 1 of 2,1,26-33,,
11:48.0,S. Williams enters the game for A. Tolliver,,26-33,,
11:48.0,R. Jackson makes free throw 2 of 2,1,27-33,,
11:36.0,,,27-35,2,G. Henderson makes 2-pt shot from 19 ft (assist by M. Williams)
11:18.0,A. Drummond misses 2-pt shot from 1 ft,,27-35,,
11:16.0,,,27-35,,Defensive rebound by B. Biyombo
10:57.0,,,27-35,,G. Henderson misses 2-pt shot from 16 ft
10:55.0,Defensive rebound by S. Williams,,27-35,,
10:49.0,J. Meeks misses 3-pt shot from 24 ft,,27-35,,
10:48.0,Offensive rebound by A. Drummond,,27-35,,
10:48.0,Shooting foul by B. Biyombo (drawn by A. Drummond),,27-35,,
10:48.0,A. Drummond misses free throw 1 of 2,,27-35,,
10:48.0,Offensive rebound by Team,,27-35,,
10:48.0,A. Drummond misses free throw 2 of 2,,27-35,,
10:47.0,,,27-35,,Defensive rebound by B. Biyombo
10:31.0,,,27-37,2,M. Williams makes 2-pt shot from 20 ft
10:16.0,T. Prince misses 2-pt shot from 20 ft,,27-37,,
10:14.0,,,27-37,,Defensive rebound by J. Maxiell
10:08.0,,,27-37,,M. Williams misses 2-pt shot from 15 ft
10:07.0,,,27-37,,Offensive rebound by B. Biyombo
10:00.0,,,27-40,3,P. Hairston makes 3-pt shot from 25 ft (assist by B. Biyombo)
9:56.0,Detroit full timeout,,27-40,,
9:55.0,Turnover by J. Meeks (bad pass; steal by P. Hairston),,27-40,,
9:53.0,,,27-42,2,P. Hairston makes 2-pt shot at rim
9:53.0,,,27-42,,Shooting foul by T. Prince (drawn by P. Hairston)
9:53.0,,,27-43,1,P. Hairston makes free throw 1 of 1
9:42.0,R. Jackson misses 2-pt shot from 1 ft (block by B. Biyombo),,27-43,,
9:40.0,Offensive rebound by S. Williams,,27-43,,
9:37.0,S. Williams makes 2-pt shot from 21 ft,2,29-43,,
9:24.0,,,29-43,,M. Williams misses 2-pt shot from 17 ft
9:23.0,Defensive rebound by J. Meeks,,29-43,,
9:07.0,S. Williams misses 2-pt shot from 16 ft,,29-43,,
9:06.0,,,29-43,,Defensive rebound by G. Henderson
9:01.0,Personal foul by S. Williams (drawn by G. Henderson),,29-43,,
8:55.0,,,29-43,,G. Henderson misses 2-pt shot from 18 ft
8:54.0,Defensive rebound by R. Jackson,,29-43,,
8:49.0,J. Meeks misses 2-pt shot from 14 ft,,29-43,,
8:47.0,,,29-43,,Defensive rebound by G. Henderson
8:31.0,,,29-45,2,M. Williams makes 2-pt shot from 16 ft
8:12.0,R. Jackson misses 3-pt shot from 25 ft,,29-45,,
8:12.0,,,29-45,,Defensive rebound by Team
8:12.0,Loose ball foul by A. Drummond (drawn by B. Biyombo),,29-45,,
8:12.0,K. Caldwell-Pope enters the game for J. Meeks,,29-45,,
8:12.0,J. Anthony enters the game for A. Drummond,,29-45,,
8:00.0,,,29-45,,P. Hairston misses 3-pt shot from 24 ft
7:58.0,Defensive rebound by R. Jackson,,29-45,,
7:52.0,R. Jackson misses 2-pt shot from 2 ft (block by B. Biyombo),,29-45,,
7:49.0,,,29-45,,Defensive rebound by M. Williams
7:42.0,,,29-45,,P. Hairston misses 2-pt shot from 6 ft (block by J. Anthony)
7:40.0,Defensive rebound by S. Williams,,29-45,,
7:33.0,Turnover by S. Williams (bad pass; steal by B. Biyombo),,29-45,,
7:25.0,,,29-45,,J. Maxiell misses 2-pt shot from 9 ft
7:23.0,,,29-45,,Offensive rebound by J. Maxiell
7:15.0,,,29-45,,P. Hairston misses 3-pt shot from 24 ft
7:14.0,Defensive rebound by J. Anthony,,29-45,,
7:03.0,K. Caldwell-Pope misses 2-pt shot from 15 ft,,29-45,,
7:02.0,,,29-45,,Defensive rebound by P. Hairston
6:38.0,,,29-45,,M. Williams misses 3-pt shot from 26 ft
6:38.0,,,29-45,,Offensive rebound by Team
6:38.0,Loose ball foul by K. Caldwell-Pope (drawn by J. Maxiell),,29-45,,
6:38.0,J. Meeks enters the game for R. Jackson,,29-45,,
6:38.0,J. Lucas III enters the game for K. Caldwell-Pope,,29-45,,
6:29.0,,,29-48,3,G. Henderson makes 3-pt shot from 23 ft (assist by M. Williams)
6:14.0,J. Meeks misses 2-pt shot from 17 ft,,29-48,,
6:13.0,Offensive rebound by J. Meeks,,29-48,,
5:53.0,Turnover by S. Williams (bad pass; steal by G. Henderson),,29-48,,
5:49.0,,,29-48,,Shooting foul by T. Prince (drawn by B. Biyombo)
5:49.0,Official timeout,,29-48,,
5:49.0,,,29-48,,M. Williams enters the game for P. Hairston
5:49.0,,,29-48,,J. Taylor enters the game for M. Williams
5:49.0,,,29-48,,K. Walker enters the game for J. Maxiell
5:49.0,,,29-49,1,B. Biyombo makes free throw 1 of 2
5:49.0,,,29-49,,B. Biyombo misses free throw 2 of 2
5:48.0,Defensive rebound by T. Prince,,29-49,,
5:33.0,J. Meeks makes 2-pt shot from 16 ft (assist by T. Prince),2,31-49,,
5:09.0,,,31-49,,B. Biyombo misses 2-pt shot from 7 ft
5:07.0,Defensive rebound by S. Williams,,31-49,,
4:55.0,Turnover by J. Lucas III (bad pass; steal by M. Williams),,31-49,,
4:48.0,,,31-49,,J. Taylor misses 3-pt shot from 23 ft
4:47.0,Defensive rebound by T. Prince,,31-49,,
4:37.0,J. Lucas III makes 2-pt shot from 14 ft (assist by S. Williams),2,33-49,,
4:17.0,,,33-49,,B. Biyombo misses 2-pt shot from 1 ft
4:14.0,Defensive rebound by J. Anthony,,33-49,,
3:57.0,J. Meeks misses 3-pt shot from 26 ft,,33-49,,
3:55.0,Offensive rebound by J. Anthony,,33-49,,
3:55.0,J. Anthony makes 2-pt shot from 1 ft,2,35-49,,
3:47.0,,,35-49,,Charlotte full timeout
3:47.0,A. Tolliver enters the game for S. Williams,,35-49,,
3:47.0,,,35-49,,A. Jefferson enters the game for B. Biyombo
3:28.0,,,35-51,2,K. Walker makes 2-pt shot at rim
3:08.0,T. Prince misses 2-pt shot from 8 ft,,35-51,,
3:05.0,Offensive rebound by T. Prince,,35-51,,
2:56.0,A. Tolliver misses 3-pt shot from 25 ft,,35-51,,
2:55.0,,,35-51,,Defensive rebound by J. Taylor
2:50.0,,,35-53,2,M. Williams makes 2-pt shot from 1 ft (assist by G. Henderson)
2:40.0,Shooting foul by K. Walker (drawn by J. Meeks),,35-53,,
2:40.0,J. Meeks makes free throw 1 of 2,1,36-53,,
2:40.0,R. Jackson enters the game for J. Lucas III,,36-53,,
2:40.0,J. Meeks makes free throw 2 of 2,1,37-53,,
2:31.0,,,37-53,,Turnover by A. Jefferson (bad pass)
2:19.0,R. Jackson misses 2-pt shot from 10 ft,,37-53,,
2:18.0,,,37-53,,Defensive rebound by A. Jefferson
2:05.0,,,37-53,,G. Henderson misses 2-pt shot from 18 ft
2:03.0,Defensive rebound by A. Tolliver,,37-53,,
1:50.0,T. Prince makes 2-pt shot from 19 ft (assist by R. Jackson),2,39-53,,
1:35.0,,,39-56,3,K. Walker makes 3-pt shot from 25 ft
1:21.0,R. Jackson misses 2-pt shot from 3 ft (block by A. Jefferson),,39-56,,
1:19.0,Offensive rebound by R. Jackson,,39-56,,
1:06.0,J. Anthony misses 2-pt shot from 12 ft,,39-56,,
1:04.0,Offensive rebound by A. Tolliver,,39-56,,
1:04.0,A. Tolliver makes 2-pt shot at rim,2,41-56,,
0:45.0,,,41-56,,K. Walker misses 2-pt shot from 1 ft
0:44.0,Defensive rebound by J. Anthony,,41-56,,
0:44.0,R. Jackson makes 2-pt shot at rim,2,43-56,,
0:44.0,Shooting foul by K. Walker (drawn by R. Jackson),,43-56,,
0:44.0,R. Jackson misses free throw 1 of 1,,43-56,,
0:43.0,,,43-56,,Defensive rebound by A. Jefferson
0:32.0,,,43-56,,Turnover by K. Walker (lost ball; steal by J. Anthony)
0:28.0,T. Prince makes 2-pt shot at rim (assist by R. Jackson),2,45-56,,
0:04.0,,,45-56,,K. Walker misses 2-pt shot from 17 ft
0:01.0,Defensive rebound by T. Prince,,45-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,45-56,,Personal foul by J. Taylor (drawn by K. Caldwell-Pope)
11:45.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,45-56,,
11:41.0,,,45-56,,Defensive rebound by A. Jefferson
11:25.0,,,45-56,,A. Jefferson misses 2-pt shot from 2 ft
11:24.0,Defensive rebound by A. Drummond,,45-56,,
11:16.0,R. Jackson misses 2-pt shot from 5 ft (block by A. Jefferson),,45-56,,
11:14.0,Offensive rebound by R. Jackson,,45-56,,
11:10.0,A. Tolliver makes 3-pt shot from 23 ft (assist by R. Jackson),3,48-56,,
10:51.0,,,48-58,2,G. Henderson makes 2-pt shot from 10 ft (assist by J. Taylor)
10:38.0,Turnover by R. Jackson (bad pass; steal by J. Taylor),,48-58,,
10:31.0,,,48-60,2,J. Taylor makes 2-pt shot at rim (assist by K. Walker)
10:30.0,Detroit full timeout,,48-60,,
10:15.0,K. Caldwell-Pope misses 3-pt shot from 23 ft,,48-60,,
10:13.0,,,48-60,,Defensive rebound by A. Jefferson
9:59.0,,,48-62,2,A. Jefferson makes 2-pt shot from 1 ft
9:42.0,A. Drummond misses 2-pt shot from 7 ft (block by A. Jefferson),,48-62,,
9:40.0,,,48-62,,Defensive rebound by A. Jefferson
9:29.0,,,48-62,,A. Jefferson misses 2-pt shot from 15 ft
9:28.0,Defensive rebound by C. Butler,,48-62,,
9:19.0,A. Drummond misses 2-pt shot from 5 ft (block by A. Jefferson),,48-62,,
9:18.0,,,48-62,,Defensive rebound by K. Walker
9:13.0,,,48-64,2,G. Henderson makes 2-pt shot from 17 ft (assist by K. Walker)
8:45.0,R. Jackson makes 3-pt shot from 24 ft (assist by K. Caldwell-Pope),3,51-64,,
8:32.0,,,51-64,,G. Henderson misses 3-pt shot from 23 ft
8:30.0,,,51-64,,Offensive rebound by J. Taylor
8:26.0,,,51-64,,G. Henderson misses 3-pt shot from 23 ft
8:24.0,Defensive rebound by A. Tolliver,,51-64,,
8:17.0,A. Drummond misses 2-pt shot from 2 ft,,51-64,,
8:16.0,,,51-64,,Defensive rebound by J. Taylor
8:09.0,,,51-64,,M. Williams misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by A. Drummond,,51-64,,
8:02.0,,,51-64,,Personal foul by M. Williams (drawn by A. Drummond)
7:51.0,Turnover by K. Caldwell-Pope (lost ball; steal by K. Walker),,51-64,,
7:45.0,,,51-64,,G. Henderson misses 2-pt shot from 1 ft
7:43.0,Defensive rebound by A. Tolliver,,51-64,,
7:29.0,K. Caldwell-Pope makes 2-pt shot at rim (assist by A. Tolliver),2,53-64,,
7:07.0,Personal foul by R. Jackson (drawn by M. Williams),,53-64,,
7:07.0,J. Lucas III enters the game for R. Jackson,,53-64,,
7:07.0,J. Meeks enters the game for K. Caldwell-Pope,,53-64,,
6:53.0,,,53-64,,J. Taylor misses 2-pt shot from 16 ft
6:51.0,Defensive rebound by A. Drummond,,53-64,,
6:34.0,C. Butler misses 3-pt shot from 26 ft,,53-64,,
6:32.0,,,53-64,,Defensive rebound by A. Jefferson
6:17.0,,,53-67,3,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker)
5:55.0,A. Drummond misses 2-pt shot from 8 ft,,53-67,,
5:53.0,,,53-67,,Defensive rebound by K. Walker
5:45.0,,,53-67,,K. Walker misses 2-pt shot from 2 ft
5:44.0,Defensive rebound by A. Tolliver,,53-67,,
5:38.0,A. Tolliver makes 2-pt shot from 1 ft (assist by J. Lucas III),2,55-67,,
5:14.0,,,55-67,,M. Williams misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by C. Butler,,55-67,,
5:03.0,,,55-67,,Personal foul by A. Jefferson (drawn by J. Lucas III)
5:03.0,,,55-67,,M. Williams enters the game for J. Taylor
5:03.0,T. Prince enters the game for A. Tolliver,,55-67,,
5:03.0,,,55-67,,P. Hairston enters the game for G. Henderson
4:57.0,,,55-67,,Personal foul by M. Williams (drawn by J. Lucas III)
4:45.0,A. Drummond makes 2-pt shot from 7 ft (assist by C. Butler),2,57-67,,
4:27.0,,,57-67,,Turnover by A. Jefferson (lost ball; steal by A. Drummond)
4:17.0,J. Meeks misses 2-pt shot from 5 ft,,57-67,,
4:14.0,,,57-67,,Defensive rebound by M. Williams
4:03.0,Personal foul by J. Meeks (drawn by K. Walker),,57-67,,
4:03.0,,,57-67,,B. Biyombo enters the game for A. Jefferson
3:56.0,,,57-67,,K. Walker misses 2-pt shot from 15 ft
3:55.0,Defensive rebound by A. Drummond,,57-67,,
3:42.0,J. Meeks makes 2-pt shot from 13 ft (assist by T. Prince),2,59-67,,
3:15.0,,,59-67,,M. Williams misses 2-pt shot from 20 ft
3:14.0,Defensive rebound by A. Drummond,,59-67,,
3:05.0,J. Lucas III misses 2-pt shot from 15 ft,,59-67,,
3:04.0,,,59-67,,Defensive rebound by M. Williams
2:59.0,,,59-67,,Charlotte full timeout
2:59.0,,,59-67,,J. Maxiell enters the game for M. Williams
2:59.0,,,59-67,,B. Roberts enters the game for K. Walker
2:44.0,,,59-67,,J. Maxiell misses 2-pt shot from 12 ft
2:43.0,Defensive rebound by J. Meeks,,59-67,,
2:29.0,C. Butler misses 2-pt shot from 15 ft,,59-67,,
2:28.0,,,59-67,,Defensive rebound by B. Roberts
2:16.0,,,59-67,,P. Hairston misses 2-pt shot from 20 ft
2:15.0,Defensive rebound by T. Prince,,59-67,,
2:00.0,A. Drummond misses 2-pt shot from 8 ft,,59-67,,
1:59.0,,,59-67,,Defensive rebound by J. Maxiell
1:48.0,,,59-67,,Shooting foul by C. Butler (drawn by P. Hairston)
1:48.0,,,59-67,,P. Hairston misses free throw 1 of 3
1:48.0,,,59-67,,Offensive rebound by Team
1:48.0,,,59-68,1,P. Hairston makes free throw 2 of 3
1:48.0,R. Jackson enters the game for J. Lucas III,,59-68,,
1:48.0,,,59-69,1,P. Hairston makes free throw 3 of 3
1:29.0,A. Drummond misses 2-pt shot from 6 ft,,59-69,,
1:28.0,,,59-69,,Defensive rebound by P. Hairston
1:18.0,,,59-69,,Turnover by B. Biyombo (lost ball; steal by A. Drummond)
1:12.0,T. Prince misses 2-pt shot from 18 ft,,59-69,,
1:09.0,,,59-69,,Defensive rebound by M. Williams
1:02.0,A. Tolliver enters the game for C. Butler,,59-69,,
1:00.0,,,59-71,2,M. Williams makes 2-pt shot from 16 ft (assist by P. Hairston)
0:47.0,Shooting foul by M. Williams (drawn by A. Drummond),,59-71,,
0:47.0,A. Drummond misses free throw 1 of 2,,59-71,,
0:47.0,Offensive rebound by Team,,59-71,,
0:47.0,A. Drummond makes free throw 2 of 2,1,60-71,,
0:33.0,,,60-71,,M. Williams misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by R. Jackson,,60-71,,
0:24.0,Turnover by A. Tolliver (bad pass; steal by M. Williams),,60-71,,
0:21.0,,,60-73,2,M. Williams makes 2-pt shot from 1 ft
0:00.0,A. Drummond makes 2-pt shot from 1 ft (assist by R. Jackson),2,62-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,62-75,2,B. Roberts makes 2-pt shot from 13 ft (assist by M. Williams)
11:14.0,T. Prince misses 2-pt shot from 2 ft,,62-75,,
11:13.0,,,62-75,,Defensive rebound by B. Biyombo
11:07.0,,,62-75,,B. Roberts misses 3-pt shot from 25 ft
11:06.0,,,62-75,,Offensive rebound by B. Biyombo
11:06.0,,,62-75,,Shooting foul by R. Jackson (drawn by B. Biyombo)
11:06.0,,,62-75,,B. Biyombo misses free throw 1 of 2
11:06.0,,,62-75,,Offensive rebound by Team
11:06.0,,,62-76,1,B. Biyombo makes free throw 2 of 2
10:54.0,,,62-76,,Personal foul by B. Biyombo (drawn by R. Jackson)
10:40.0,A. Drummond misses 2-pt shot from 3 ft,,62-76,,
10:38.0,Offensive rebound by T. Prince,,62-76,,
10:38.0,Turnover by Team (shot clock),,62-76,,
10:28.0,,,62-76,,Turnover by M. Williams (bad pass; steal by A. Tolliver)
10:20.0,A. Drummond makes 2-pt shot from 1 ft (assist by A. Tolliver),2,64-76,,
10:01.0,,,64-76,,P. Hairston misses 2-pt shot from 1 ft
10:00.0,,,64-76,,Offensive rebound by B. Biyombo
10:00.0,,,64-78,2,B. Biyombo makes 2-pt shot at rim
9:44.0,R. Jackson misses 2-pt shot from 1 ft,,64-78,,
9:43.0,Offensive rebound by A. Drummond,,64-78,,
9:43.0,A. Drummond makes 2-pt shot from 1 ft,2,66-78,,
9:31.0,Personal foul by R. Jackson (drawn by J. Maxiell),,66-78,,
9:07.0,T. Prince misses 3-pt shot from 23 ft,,66-78,,
9:06.0,,,66-78,,Defensive rebound by J. Maxiell
8:59.0,,,66-78,,M. Williams misses 2-pt shot from 17 ft
8:57.0,Defensive rebound by A. Drummond,,66-78,,
8:47.0,J. Meeks misses 3-pt shot from 25 ft,,66-78,,
8:45.0,Offensive rebound by T. Prince,,66-78,,
8:40.0,R. Jackson misses 3-pt shot from 25 ft,,66-78,,
8:39.0,,,66-78,,Defensive rebound by J. Maxiell
8:29.0,,,66-80,2,M. Williams makes 2-pt shot from 7 ft
8:24.0,Detroit full timeout,,66-80,,
8:24.0,K. Caldwell-Pope enters the game for T. Prince,,66-80,,
8:24.0,,,66-80,,K. Walker enters the game for B. Roberts
8:17.0,A. Drummond makes 2-pt shot at rim (assist by R. Jackson),2,68-80,,
8:17.0,Shooting foul by J. Maxiell (drawn by A. Drummond),,68-80,,
8:17.0,A. Drummond misses free throw 1 of 1,,68-80,,
8:14.0,Offensive rebound by A. Tolliver,,68-80,,
8:07.0,K. Caldwell-Pope misses 3-pt shot from 24 ft,,68-80,,
8:06.0,,,68-80,,Defensive rebound by J. Maxiell
7:49.0,,,68-80,,M. Williams misses 3-pt shot from 25 ft
7:48.0,Defensive rebound by A. Drummond,,68-80,,
7:38.0,Turnover by R. Jackson (bad pass; steal by K. Walker),,68-80,,
7:34.0,,,68-80,,P. Hairston misses 2-pt shot from 1 ft
7:32.0,,,68-80,,Offensive rebound by J. Maxiell
7:31.0,,,68-80,,J. Maxiell misses 2-pt shot at rim
7:28.0,,,68-80,,Offensive rebound by P. Hairston
7:28.0,,,68-82,2,P. Hairston makes 2-pt shot at rim
7:04.0,A. Drummond misses 2-pt shot from 7 ft,,68-82,,
7:02.0,,,68-82,,Defensive rebound by K. Walker
6:50.0,,,68-82,,Turnover by P. Hairston (step out of bounds)
6:42.0,,,68-82,,Personal foul by M. Williams (drawn by A. Drummond)
6:42.0,,,68-82,,A. Jefferson enters the game for B. Biyombo
6:32.0,R. Jackson misses 3-pt shot from 25 ft,,68-82,,
6:30.0,,,68-82,,Defensive rebound by J. Maxiell
6:21.0,,,68-82,,A. Jefferson misses 2-pt shot from 10 ft
6:21.0,,,68-82,,Offensive rebound by Team
6:21.0,Loose ball foul by A. Tolliver (drawn by J. Maxiell),,68-82,,
6:21.0,,,68-82,,M. Williams enters the game for J. Maxiell
6:14.0,,,68-82,,Shooting foul by K. Caldwell-Pope (drawn by P. Hairston)
6:14.0,,,68-83,1,P. Hairston makes free throw 1 of 2
6:14.0,C. Butler enters the game for K. Caldwell-Pope,,68-83,,
6:14.0,,,68-84,1,P. Hairston makes free throw 2 of 2
5:51.0,R. Jackson misses 2-pt shot from 19 ft,,68-84,,
5:50.0,,,68-84,,Defensive rebound by M. Williams
