time,Atlanta,pts.away,score,pts.home,Brooklyn
11:46.0,A. Horford makes 2-pt shot from 1 ft,2,35-26,,
11:21.0,,,35-28,2,M. Plumlee makes 2-pt shot from 1 ft (assist by M. Brown)
11:08.0,M. Scott makes 3-pt shot from 24 ft (assist by D. Schroder),3,38-28,,
10:54.0,,,38-28,,M. Brown misses 2-pt shot from 1 ft
10:53.0,Defensive rebound by D. Schroder,,38-28,,
10:48.0,Shooting foul by M. Plumlee (drawn by M. Scott),,38-28,,
10:48.0,M. Scott makes free throw 1 of 2,1,39-28,,
10:48.0,M. Scott misses free throw 2 of 2,,39-28,,
10:47.0,,,39-28,,Defensive rebound by J. Johnson
10:37.0,,,39-28,,Shooting foul by D. Schroder (drawn by J. Jack)
10:37.0,,,39-29,1,J. Jack makes free throw 1 of 2
10:37.0,,,39-30,1,J. Jack makes free throw 2 of 2
10:23.0,Turnover by A. Horford (bad pass; steal by B. Bogdanovic),,39-30,,
10:10.0,,,39-32,2,B. Bogdanovic makes 2-pt shot from 7 ft (assist by J. Jack)
9:47.0,A. Horford misses 2-pt shot from 7 ft,,39-32,,
9:45.0,,,39-32,,Defensive rebound by M. Brown
9:36.0,,,39-32,,Shooting foul by M. Scott (drawn by J. Jack)
9:36.0,,,39-33,1,J. Jack makes free throw 1 of 2
9:36.0,,,39-34,1,J. Jack makes free throw 2 of 2
9:24.0,M. Scott misses 3-pt shot from 24 ft,,39-34,,
9:23.0,,,39-34,,Defensive rebound by M. Brown
9:16.0,,,39-34,,Turnover by M. Brown (bad pass; steal by K. Korver)
9:13.0,K. Bazemore makes 2-pt shot from 1 ft (assist by K. Korver),2,41-34,,
9:13.0,Shooting foul by J. Jack (drawn by K. Bazemore),,41-34,,
9:13.0,M. Muscala enters the game for M. Scott,,41-34,,
9:13.0,K. Bazemore misses free throw 1 of 1,,41-34,,
9:12.0,,,41-34,,Defensive rebound by J. Johnson
8:50.0,,,41-34,,J. Jack misses 2-pt shot from 15 ft
8:49.0,Defensive rebound by K. Korver,,41-34,,
8:33.0,D. Schroder misses 2-pt shot from 18 ft,,41-34,,
8:32.0,,,41-34,,Defensive rebound by J. Johnson
8:26.0,,,41-34,,J. Johnson misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by K. Korver,,41-34,,
8:25.0,,,41-34,,Personal foul by M. Plumlee (drawn by K. Korver)
8:25.0,Official timeout,,41-34,,
8:25.0,J. Teague enters the game for D. Schroder,,41-34,,
8:25.0,D. Carroll enters the game for K. Bazemore,,41-34,,
8:16.0,K. Korver makes 3-pt shot from 25 ft (assist by J. Teague),3,44-34,,
7:51.0,,,44-34,,J. Jack misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by D. Carroll,,44-34,,
7:43.0,J. Teague misses 3-pt shot from 25 ft,,44-34,,
7:42.0,,,44-34,,Defensive rebound by B. Bogdanovic
7:24.0,,,44-34,,J. Jack misses 2-pt shot from 2 ft
7:23.0,Defensive rebound by J. Teague,,44-34,,
7:08.0,Turnover by A. Horford (lost ball),,44-34,,
6:52.0,,,44-34,,M. Plumlee misses 2-pt shot from 1 ft (block by M. Muscala)
6:51.0,,,44-34,,Offensive rebound by M. Plumlee
6:50.0,,,44-34,,Shooting foul by K. Korver (drawn by M. Plumlee)
6:50.0,,,44-34,,M. Plumlee misses free throw 1 of 2
6:50.0,,,44-34,,Offensive rebound by Team
6:50.0,M. Scott enters the game for A. Horford,,44-34,,
6:50.0,S. Mack enters the game for K. Korver,,44-34,,
6:50.0,,,44-34,,M. Plumlee misses free throw 2 of 2
6:49.0,Defensive rebound by M. Scott,,44-34,,
6:38.0,Turnover by J. Teague (bad pass; steal by M. Plumlee),,44-34,,
6:35.0,,,44-36,2,M. Plumlee makes 2-pt shot from 1 ft (assist by B. Bogdanovic)
6:14.0,M. Scott misses 3-pt shot from 23 ft,,44-36,,
6:13.0,,,44-36,,Defensive rebound by M. Plumlee
5:57.0,,,44-38,2,J. Johnson makes 2-pt shot from 17 ft
5:45.0,Shooting foul by M. Plumlee (drawn by J. Teague),,44-38,,
5:45.0,,,44-38,,Brooklyn full timeout
5:45.0,,,44-38,,B. Lopez enters the game for M. Plumlee
5:45.0,,,44-38,,D. Williams enters the game for M. Brown
5:45.0,J. Teague makes free throw 1 of 2,1,45-38,,
5:45.0,J. Teague makes free throw 2 of 2,1,46-38,,
5:29.0,,,46-40,2,B. Lopez makes 2-pt shot from 9 ft (assist by D. Williams)
5:18.0,Shooting foul by J. Jack (drawn by M. Scott),,46-40,,
5:18.0,M. Scott misses free throw 1 of 2,,46-40,,
5:18.0,Offensive rebound by Team,,46-40,,
5:18.0,,,46-40,,T. Young enters the game for J. Jack
5:18.0,M. Scott makes free throw 2 of 2,1,47-40,,
5:06.0,,,47-43,3,J. Johnson makes 3-pt shot from 24 ft (assist by B. Lopez)
4:55.0,Turnover by J. Teague (bad pass; steal by T. Young),,47-43,,
4:52.0,Personal foul by M. Muscala (drawn by T. Young),,47-43,,
4:52.0,A. Horford enters the game for M. Muscala,,47-43,,
4:41.0,,,47-45,2,B. Bogdanovic makes 2-pt shot from 2 ft
4:41.0,,,47-45,,Shooting foul by M. Scott (drawn by B. Bogdanovic)
4:41.0,K. Korver enters the game for S. Mack,,47-45,,
4:41.0,,,47-46,1,B. Bogdanovic makes free throw 1 of 1
4:33.0,J. Teague makes 2-pt shot from 1 ft,2,49-46,,
4:18.0,,,49-46,,J. Johnson misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by K. Korver,,49-46,,
4:06.0,A. Horford misses 2-pt shot from 1 ft,,49-46,,
4:05.0,Offensive rebound by M. Scott,,49-46,,
4:04.0,M. Scott makes 2-pt shot from 1 ft,2,51-46,,
3:54.0,,,51-46,,Turnover by D. Williams (lost ball; steal by A. Horford)
3:50.0,M. Scott makes 2-pt shot at rim (assist by J. Teague),2,53-46,,
3:29.0,,,53-49,3,D. Williams makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
3:12.0,Atlanta full timeout,,53-49,,
3:07.0,J. Teague makes 2-pt shot from 2 ft (assist by A. Horford),2,55-49,,
2:44.0,,,55-49,,B. Bogdanovic misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by M. Scott,,55-49,,
2:37.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,57-49,,
2:20.0,,,57-49,,D. Williams misses 2-pt shot from 6 ft (block by J. Teague)
2:19.0,Defensive rebound by J. Teague,,57-49,,
2:12.0,A. Horford makes 2-pt shot at rim (assist by K. Korver),2,59-49,,
1:51.0,,,59-49,,D. Williams misses 3-pt shot from 23 ft
1:50.0,,,59-49,,Offensive rebound by B. Lopez
1:49.0,,,59-49,,B. Lopez misses 2-pt shot at rim
1:48.0,Defensive rebound by D. Carroll,,59-49,,
1:38.0,D. Carroll misses 3-pt shot from 24 ft,,59-49,,
1:37.0,,,59-49,,Defensive rebound by T. Young
1:32.0,,,59-49,,D. Williams misses 2-pt shot from 2 ft
1:31.0,,,59-49,,Offensive rebound by T. Young
1:27.0,,,59-51,2,T. Young makes 2-pt shot from 1 ft
1:06.0,Shooting foul by T. Young (drawn by J. Teague),,59-51,,
1:06.0,J. Teague makes 2-pt shot from 5 ft,2,61-51,,
1:06.0,J. Teague makes free throw 1 of 1,1,62-51,,
0:49.0,,,62-53,2,B. Lopez makes 2-pt shot at rim (assist by T. Young)
0:29.0,K. Korver makes 3-pt shot from 23 ft (assist by M. Scott),3,65-53,,
0:07.0,,,65-56,3,J. Johnson makes 3-pt shot from 22 ft (assist by D. Williams)
0:01.0,J. Teague misses 2-pt shot from 2 ft (block by B. Lopez),,65-56,,
0:00.0,,,65-56,,Defensive rebound by D. Williams
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,A. Horford misses 2-pt shot from 11 ft,,65-56,,
11:42.0,,,65-56,,Defensive rebound by T. Young
11:29.0,,,65-56,,B. Bogdanovic misses 2-pt shot at rim
11:26.0,Defensive rebound by A. Horford,,65-56,,
11:15.0,A. Horford misses 2-pt shot at rim,,65-56,,
11:14.0,,,65-56,,Defensive rebound by D. Williams
11:09.0,,,65-58,2,D. Williams makes 2-pt shot from 2 ft
10:52.0,A. Horford misses 2-pt shot from 19 ft,,65-58,,
10:51.0,,,65-58,,Defensive rebound by J. Johnson
10:42.0,,,65-58,,D. Williams misses 3-pt shot from 24 ft
10:41.0,,,65-58,,Offensive rebound by T. Young
10:33.0,,,65-58,,B. Bogdanovic misses 3-pt shot from 24 ft
10:32.0,Defensive rebound by D. Carroll,,65-58,,
10:24.0,Offensive foul by D. Carroll,,65-58,,
10:24.0,Turnover by D. Carroll (offensive foul),,65-58,,
10:04.0,,,65-58,,Shooting foul by D. Carroll (drawn by B. Lopez)
10:04.0,,,65-59,1,B. Lopez makes free throw 1 of 2
10:04.0,,,65-60,1,B. Lopez makes free throw 2 of 2
9:51.0,A. Horford makes 2-pt shot from 3 ft (assist by D. Carroll),2,67-60,,
9:44.0,,,67-60,,Turnover by D. Williams (lost ball; steal by J. Teague)
9:41.0,Shooting foul by T. Young (drawn by J. Teague),,67-60,,
9:41.0,J. Teague misses free throw 1 of 2,,67-60,,
9:41.0,Offensive rebound by Team,,67-60,,
9:41.0,J. Teague makes free throw 2 of 2,1,68-60,,
9:29.0,,,68-60,,Turnover by D. Williams (lost ball; steal by M. Muscala)
9:26.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Teague),2,70-60,,
9:26.0,Shooting foul by B. Bogdanovic (drawn by A. Horford),,70-60,,
9:26.0,A. Horford makes free throw 1 of 1,1,71-60,,
9:09.0,,,71-62,2,J. Johnson makes 2-pt shot from 7 ft
9:00.0,Turnover by J. Teague (bad pass; steal by J. Johnson),,71-62,,
8:57.0,,,71-62,,Turnover by J. Johnson (bad pass; steal by J. Teague)
8:56.0,,,71-62,,Violation by B. Lopez (kicked ball)
8:49.0,A. Horford misses 2-pt shot from 5 ft,,71-62,,
8:48.0,,,71-62,,Defensive rebound by B. Lopez
8:38.0,,,71-62,,T. Young misses 3-pt shot from 25 ft
8:37.0,,,71-62,,Offensive rebound by B. Lopez
8:36.0,,,71-62,,Shooting foul by K. Korver (drawn by B. Lopez)
8:36.0,,,71-63,1,B. Lopez makes free throw 1 of 2
8:36.0,,,71-64,1,B. Lopez makes free throw 2 of 2
8:12.0,J. Teague misses 3-pt shot from 24 ft,,71-64,,
8:11.0,,,71-64,,Defensive rebound by Team
7:57.0,,,71-66,2,T. Young makes 2-pt shot from 3 ft (assist by D. Williams)
7:44.0,,,71-66,,Violation by B. Lopez (kicked ball)
7:34.0,D. Carroll makes 3-pt shot from 24 ft (assist by K. Korver),3,74-66,,
7:21.0,,,74-68,2,T. Young makes 2-pt shot from 1 ft (assist by J. Johnson)
6:55.0,D. Carroll makes 3-pt shot from 24 ft (assist by K. Korver),3,77-68,,
6:32.0,,,77-71,3,J. Johnson makes 3-pt shot from 25 ft (assist by B. Bogdanovic)
6:23.0,K. Korver misses 2-pt shot from 3 ft (block by B. Lopez),,77-71,,
6:22.0,,,77-71,,Defensive rebound by Team
6:06.0,,,77-71,,J. Johnson misses 3-pt shot from 23 ft
6:05.0,Defensive rebound by A. Horford,,77-71,,
5:52.0,D. Carroll misses 2-pt shot from 6 ft,,77-71,,
5:50.0,Offensive rebound by A. Horford,,77-71,,
5:48.0,D. Carroll makes 2-pt shot from 2 ft (assist by M. Muscala),2,79-71,,
5:38.0,,,79-71,,Turnover by T. Young (lost ball; steal by K. Korver)
5:35.0,,,79-71,,Violation by B. Bogdanovic (kicked ball)
5:35.0,,,79-71,,Brooklyn full timeout
5:35.0,M. Scott enters the game for A. Horford,,79-71,,
5:35.0,,,79-71,,E. Clark enters the game for T. Young
5:35.0,K. Bazemore enters the game for K. Korver,,79-71,,
5:28.0,Shooting foul by B. Lopez (drawn by D. Carroll),,79-71,,
5:28.0,D. Carroll makes free throw 1 of 2,1,80-71,,
5:28.0,D. Carroll makes free throw 2 of 2,1,81-71,,
5:19.0,,,81-71,,Turnover by D. Williams (bad pass; steal by J. Teague)
5:15.0,M. Scott makes 2-pt shot at rim (assist by J. Teague),2,83-71,,
4:54.0,,,83-73,2,B. Lopez makes 2-pt shot from 7 ft
4:32.0,J. Teague misses 2-pt shot from 2 ft (block by E. Clark),,83-73,,
4:30.0,Offensive rebound by J. Teague,,83-73,,
4:25.0,J. Teague misses 2-pt shot from 11 ft,,83-73,,
4:24.0,Offensive rebound by K. Bazemore,,83-73,,
4:23.0,K. Bazemore misses 2-pt shot from 1 ft,,83-73,,
4:22.0,,,83-73,,Defensive rebound by J. Johnson
4:15.0,,,83-73,,Shooting foul by D. Carroll (drawn by D. Williams)
4:15.0,,,83-73,,D. Williams misses free throw 1 of 2
4:15.0,,,83-73,,Offensive rebound by Team
4:15.0,E. Brand enters the game for M. Muscala,,83-73,,
4:15.0,K. Korver enters the game for D. Carroll,,83-73,,
4:15.0,,,83-74,1,D. Williams makes free throw 2 of 2
3:51.0,Shooting foul by E. Clark (drawn by J. Teague),,83-74,,
3:51.0,J. Teague makes free throw 1 of 2,1,84-74,,
3:51.0,,,84-74,,M. Brown enters the game for J. Johnson
3:51.0,J. Teague misses free throw 2 of 2,,84-74,,
3:50.0,Offensive rebound by M. Scott,,84-74,,
3:39.0,E. Brand makes 2-pt shot from 1 ft (assist by J. Teague),2,86-74,,
3:21.0,,,86-76,2,E. Clark makes 2-pt shot from 19 ft (assist by D. Williams)
3:09.0,E. Brand misses 2-pt shot from 18 ft,,86-76,,
3:08.0,,,86-76,,Defensive rebound by Team
3:08.0,D. Schroder enters the game for J. Teague,,86-76,,
2:48.0,,,86-78,2,B. Bogdanovic makes 2-pt shot from 4 ft (assist by D. Williams)
2:40.0,M. Scott makes 2-pt shot at rim (assist by K. Korver),2,88-78,,
2:27.0,Atlanta full timeout,,88-78,,
2:27.0,,,88-78,,M. Plumlee enters the game for B. Lopez
2:27.0,,,88-78,,J. Jack enters the game for D. Williams
2:13.0,,,88-78,,Turnover by Team (shot clock)
2:01.0,M. Scott makes 2-pt shot from 15 ft (assist by D. Schroder),2,90-78,,
1:49.0,,,90-78,,B. Bogdanovic misses 2-pt shot from 5 ft
1:48.0,,,90-78,,Offensive rebound by M. Plumlee
1:47.0,,,90-78,,M. Plumlee misses 2-pt shot from 3 ft
1:46.0,Defensive rebound by Team,,90-78,,
1:35.0,D. Schroder makes 2-pt shot from 2 ft,2,92-78,,
1:14.0,,,92-78,,J. Jack misses 2-pt shot from 15 ft
1:13.0,Defensive rebound by K. Bazemore,,92-78,,
1:05.0,K. Bazemore misses 3-pt shot from 23 ft,,92-78,,
1:04.0,Offensive rebound by M. Scott,,92-78,,
0:47.0,D. Schroder misses 2-pt shot from 1 ft,,92-78,,
0:45.0,,,92-78,,Defensive rebound by J. Jack
0:40.0,,,92-78,,Shooting foul by K. Korver (drawn by M. Plumlee)
0:40.0,,,92-79,1,M. Plumlee makes free throw 1 of 2
0:40.0,A. Horford enters the game for E. Brand,,92-79,,
0:40.0,,,92-80,1,M. Plumlee makes free throw 2 of 2
0:31.0,,,92-80,,Personal foul by B. Bogdanovic (drawn by K. Bazemore)
0:31.0,K. Bazemore makes free throw 1 of 2,1,93-80,,
0:31.0,S. Mack enters the game for K. Korver,,93-80,,
0:31.0,,,93-80,,Violation by E. Clark (def goaltending)
0:31.0,K. Bazemore makes free throw 2 of 2,1,94-80,,
0:17.0,Personal foul by D. Schroder (drawn by J. Jack),,94-80,,
0:17.0,,,94-81,1,J. Jack makes free throw 1 of 2
0:17.0,K. Korver enters the game for K. Bazemore,,94-81,,
0:17.0,,,94-82,1,J. Jack makes free throw 2 of 2
0:01.0,M. Scott misses 3-pt shot from 25 ft,,94-82,,
0:00.0,Offensive rebound by Team,,94-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,Personal foul by D. Schroder (drawn by J. Jack),,94-82,,
11:38.0,,,94-85,3,M. Brown makes 3-pt shot from 26 ft (assist by B. Lopez)
11:25.0,D. Schroder makes 2-pt shot from 4 ft,2,96-85,,
11:14.0,,,96-85,,Shooting foul by K. Korver (drawn by J. Jack)
11:14.0,,,96-86,1,J. Jack makes free throw 1 of 2
11:14.0,,,96-87,1,J. Jack makes free throw 2 of 2
11:05.0,K. Korver makes 3-pt shot from 27 ft (assist by D. Schroder),3,99-87,,
10:37.0,,,99-87,,M. Brown misses 2-pt shot from 11 ft
10:36.0,Defensive rebound by A. Horford,,99-87,,
10:21.0,A. Horford misses 2-pt shot from 18 ft,,99-87,,
10:20.0,,,99-87,,Defensive rebound by B. Bogdanovic
10:12.0,,,99-89,2,J. Jack makes 2-pt shot from 10 ft
9:56.0,M. Scott misses 3-pt shot from 24 ft,,99-89,,
9:55.0,,,99-89,,Defensive rebound by J. Jack
9:44.0,,,99-91,2,B. Lopez makes 2-pt shot from 8 ft (assist by J. Jack)
9:26.0,D. Schroder misses 3-pt shot from 23 ft,,99-91,,
9:25.0,,,99-91,,Defensive rebound by B. Bogdanovic
9:18.0,,,99-91,,M. Brown misses 3-pt shot from 22 ft
9:17.0,,,99-91,,Offensive rebound by T. Young
9:16.0,,,99-91,,T. Young misses 2-pt shot from 4 ft (block by A. Horford)
9:15.0,,,99-91,,Offensive rebound by Team
9:15.0,M. Muscala enters the game for M. Scott,,99-91,,
9:15.0,,,99-91,,J. Johnson enters the game for B. Bogdanovic
9:15.0,D. Carroll enters the game for K. Korver,,99-91,,
9:05.0,,,99-91,,Turnover by J. Johnson (lost ball; steal by A. Horford)
9:00.0,D. Schroder makes 3-pt shot from 24 ft (assist by A. Horford),3,102-91,,
8:52.0,Personal foul by S. Mack (drawn by J. Jack),,102-91,,
8:52.0,Official timeout,,102-91,,
8:42.0,,,102-91,,Shooting foul by A. Horford (drawn by B. Lopez)
8:42.0,,,102-92,1,B. Lopez makes free throw 1 of 2
8:42.0,,,102-93,1,B. Lopez makes free throw 2 of 2
8:29.0,S. Mack makes 3-pt shot from 23 ft (assist by A. Horford),3,105-93,,
8:18.0,,,105-93,,D. Williams enters the game for M. Brown
8:18.0,J. Teague enters the game for D. Schroder,,105-93,,
8:10.0,,,105-95,2,J. Johnson makes 2-pt shot from 8 ft (assist by D. Williams)
7:55.0,Turnover by M. Muscala (bad pass),,105-95,,
7:38.0,,,105-97,2,J. Johnson makes 2-pt shot from 7 ft
7:21.0,Turnover by D. Carroll (bad pass; steal by J. Jack),,105-97,,
7:16.0,,,105-97,,J. Jack misses 2-pt shot from 15 ft
7:14.0,,,105-97,,Offensive rebound by B. Lopez
7:08.0,,,105-99,2,J. Jack makes 2-pt shot from 9 ft
7:06.0,Atlanta full timeout,,105-99,,
7:06.0,M. Scott enters the game for M. Muscala,,105-99,,
7:06.0,K. Korver enters the game for S. Mack,,105-99,,
6:53.0,K. Korver misses 2-pt shot from 14 ft,,105-99,,
6:52.0,,,105-99,,Defensive rebound by J. Johnson
6:36.0,,,105-99,,B. Lopez misses 2-pt shot from 7 ft
6:35.0,Defensive rebound by D. Carroll,,105-99,,
6:26.0,M. Scott misses 2-pt shot from 22 ft,,105-99,,
6:25.0,,,105-99,,Defensive rebound by J. Jack
6:18.0,,,105-101,2,J. Johnson makes 2-pt shot from 7 ft (assist by J. Jack)
5:56.0,A. Horford makes 2-pt shot at rim (assist by J. Teague),2,107-101,,
5:39.0,,,107-101,,B. Lopez misses 2-pt shot from 6 ft
5:38.0,Defensive rebound by A. Horford,,107-101,,
5:28.0,M. Scott misses 2-pt shot from 4 ft,,107-101,,
5:27.0,,,107-101,,Defensive rebound by J. Johnson
5:17.0,,,107-103,2,J. Jack makes 2-pt shot from 14 ft
4:58.0,D. Carroll misses 3-pt shot from 23 ft,,107-103,,
4:57.0,,,107-103,,Defensive rebound by D. Williams
4:47.0,Personal foul by K. Korver (drawn by B. Lopez),,107-103,,
4:47.0,,,107-104,1,B. Lopez makes free throw 1 of 2
4:47.0,M. Muscala enters the game for A. Horford,,107-104,,
4:47.0,,,107-105,1,B. Lopez makes free throw 2 of 2
4:33.0,Shooting foul by T. Young (drawn by M. Muscala),,107-105,,
4:33.0,M. Muscala misses free throw 1 of 2,,107-105,,
4:33.0,Offensive rebound by Team,,107-105,,
4:33.0,D. Schroder enters the game for K. Korver,,107-105,,
4:33.0,M. Muscala makes free throw 2 of 2,1,108-105,,
4:13.0,,,108-107,2,T. Young makes 2-pt shot from 1 ft (assist by J. Johnson)
3:59.0,M. Muscala misses 3-pt shot from 24 ft,,108-107,,
3:58.0,,,108-107,,Defensive rebound by T. Young
