time,LA Lakers,pts.away,score,pts.home,Brooklyn
7:43.0,,,26-38,2,B. Bogdanovic makes 2-pt shot at rim (assist by J. Jack)
7:20.0,R. Kelly makes 2-pt shot from 21 ft (assist by J. Clarkson),2,28-38,,
7:08.0,,,28-38,,Turnover by J. Jack (lost ball; steal by R. Kelly)
7:04.0,J. Brown makes 2-pt shot from 1 ft (assist by R. Kelly),2,30-38,,
6:54.0,Violation by R. Kelly (kicked ball),,30-38,,
6:54.0,,,30-38,,M. Plumlee enters the game for B. Lopez
6:47.0,,,30-38,,E. Clark misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by J. Clarkson,,30-38,,
6:43.0,Shooting foul by B. Bogdanovic (drawn by J. Brown),,30-38,,
6:43.0,J. Brown makes free throw 1 of 2,1,31-38,,
6:43.0,,,31-38,,J. Johnson enters the game for B. Bogdanovic
6:43.0,J. Brown makes free throw 2 of 2,1,32-38,,
6:35.0,,,32-38,,Shooting foul by J. Hill (drawn by M. Plumlee)
6:35.0,,,32-38,,M. Plumlee misses free throw 1 of 2
6:35.0,,,32-38,,Offensive rebound by Team
6:35.0,,,32-39,1,M. Plumlee makes free throw 2 of 2
6:21.0,J. Brown makes 2-pt shot from 3 ft,2,34-39,,
6:07.0,,,34-41,2,J. Jack makes 2-pt shot from 16 ft
5:47.0,J. Clarkson misses 2-pt shot from 5 ft,,34-41,,
5:46.0,Offensive rebound by J. Hill,,34-41,,
5:45.0,J. Hill makes 2-pt shot from 1 ft,2,36-41,,
5:24.0,,,36-43,2,J. Johnson makes 2-pt shot from 3 ft
5:24.0,,,36-43,,Shooting foul by J. Clarkson (drawn by J. Johnson)
5:24.0,Official timeout,,36-43,,
5:24.0,W. Johnson enters the game for R. Sacre,,36-43,,
5:24.0,,,36-44,1,J. Johnson makes free throw 1 of 1
5:04.0,J. Hill makes 2-pt shot from 5 ft,2,38-44,,
4:49.0,,,38-44,,J. Johnson misses 2-pt shot from 2 ft
4:48.0,Defensive rebound by J. Hill,,38-44,,
4:44.0,Shooting foul by J. Jack (drawn by J. Clarkson),,38-44,,
4:44.0,J. Clarkson makes free throw 1 of 2,1,39-44,,
4:44.0,,,39-44,,D. Williams enters the game for J. Jack
4:44.0,,,39-44,,M. Brown enters the game for A. Anderson
4:44.0,J. Clarkson misses free throw 2 of 2,,39-44,,
4:43.0,,,39-44,,Defensive rebound by M. Plumlee
4:22.0,,,39-44,,E. Clark misses 3-pt shot from 24 ft
4:21.0,Defensive rebound by J. Brown,,39-44,,
4:17.0,Turnover by J. Brown (lost ball; steal by J. Johnson),,39-44,,
4:14.0,,,39-44,,Turnover by D. Williams (bad pass)
4:14.0,T. Black enters the game for J. Hill,,39-44,,
3:55.0,W. Johnson misses 2-pt shot from 1 ft (block by E. Clark),,39-44,,
3:53.0,,,39-44,,Defensive rebound by M. Plumlee
3:45.0,,,39-44,,E. Clark misses 3-pt shot from 23 ft
3:44.0,,,39-44,,Offensive rebound by J. Johnson
3:41.0,,,39-44,,M. Brown misses 3-pt shot from 24 ft
3:40.0,,,39-44,,Offensive rebound by E. Clark
3:39.0,,,39-46,2,E. Clark makes 2-pt shot at rim
3:29.0,W. Johnson makes 2-pt shot at rim,2,41-46,,
3:10.0,,,41-48,2,M. Brown makes 2-pt shot from 15 ft (assist by J. Johnson)
2:56.0,W. Johnson misses 3-pt shot from 24 ft,,41-48,,
2:55.0,,,41-48,,Defensive rebound by E. Clark
2:50.0,,,41-50,2,J. Johnson makes 2-pt shot from 1 ft (assist by D. Williams)
2:30.0,T. Black makes 2-pt shot from 3 ft,2,43-50,,
2:19.0,,,43-52,2,M. Plumlee makes 2-pt shot from 3 ft (assist by D. Williams)
2:04.0,W. Johnson makes 2-pt shot at rim (assist by J. Clarkson),2,45-52,,
2:03.0,,,45-52,,Brooklyn full timeout
2:03.0,LA Lakers full timeout,,45-52,,
2:03.0,W. Ellington enters the game for J. Brown,,45-52,,
2:03.0,,,45-52,,B. Lopez enters the game for M. Plumlee
2:03.0,,,45-52,,A. Anderson enters the game for E. Clark
1:55.0,,,45-55,3,J. Johnson makes 3-pt shot from 25 ft (assist by D. Williams)
1:36.0,W. Ellington makes 3-pt shot from 24 ft (assist by R. Kelly),3,48-55,,
1:17.0,,,48-57,2,B. Lopez makes 2-pt shot at rim (assist by A. Anderson)
1:06.0,W. Johnson misses 2-pt shot from 2 ft,,48-57,,
1:05.0,Offensive rebound by T. Black,,48-57,,
1:04.0,T. Black makes 2-pt shot from 1 ft,2,50-57,,
0:51.0,,,50-59,2,J. Johnson makes 2-pt shot from 5 ft (assist by M. Brown)
0:40.0,Turnover by T. Black (lost ball; steal by D. Williams),,50-59,,
0:33.0,,,50-59,,J. Johnson misses 3-pt shot from 24 ft
0:31.0,Defensive rebound by W. Ellington,,50-59,,
0:13.0,Turnover by J. Clarkson (lost ball; steal by M. Brown),,50-59,,
0:09.0,Personal foul by T. Black (drawn by A. Anderson),,50-59,,
0:09.0,,,50-60,1,A. Anderson makes free throw 1 of 2
0:09.0,,,50-60,,M. Plumlee enters the game for B. Lopez
0:09.0,,,50-61,1,A. Anderson makes free throw 2 of 2
0:01.0,J. Clarkson misses 3-pt shot from 24 ft,,50-61,,
0:00.0,Offensive rebound by Team,,50-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,J. Clarkson makes 3-pt shot from 25 ft (assist by W. Ellington),3,53-61,,
11:17.0,,,53-61,,D. Williams misses 2-pt shot from 13 ft
11:16.0,Defensive rebound by W. Ellington,,53-61,,
11:08.0,T. Black misses 2-pt shot from 1 ft (block by B. Lopez),,53-61,,
11:06.0,Offensive rebound by T. Black,,53-61,,
11:01.0,W. Johnson makes 2-pt shot from 7 ft (assist by T. Black),2,55-61,,
10:47.0,,,55-61,,Shooting foul by T. Black (drawn by B. Lopez)
10:47.0,,,55-61,,B. Lopez misses free throw 1 of 2
10:47.0,,,55-61,,Offensive rebound by Team
10:47.0,,,55-61,,B. Lopez misses free throw 2 of 2
10:46.0,Defensive rebound by T. Black,,55-61,,
10:26.0,T. Black misses 2-pt shot from 3 ft,,55-61,,
10:25.0,Offensive rebound by W. Johnson,,55-61,,
10:24.0,W. Johnson makes 2-pt shot at rim,2,57-61,,
10:12.0,,,57-61,,D. Williams misses 2-pt shot from 2 ft
10:11.0,Defensive rebound by Team,,57-61,,
9:55.0,J. Clarkson misses 2-pt shot from 11 ft,,57-61,,
9:54.0,,,57-61,,Defensive rebound by J. Johnson
9:36.0,,,57-63,2,B. Lopez makes 2-pt shot from 8 ft (assist by M. Brown)
9:27.0,W. Johnson misses 3-pt shot from 23 ft,,57-63,,
9:25.0,Offensive rebound by W. Ellington,,57-63,,
9:11.0,Shooting foul by M. Brown (drawn by R. Kelly),,57-63,,
9:11.0,,,57-63,,Brooklyn full timeout
9:11.0,,,57-63,,A. Anderson enters the game for M. Plumlee
9:11.0,R. Kelly makes free throw 1 of 2,1,58-63,,
9:11.0,R. Kelly makes free throw 2 of 2,1,59-63,,
9:00.0,,,59-63,,Shooting foul by J. Clarkson (drawn by B. Lopez)
9:00.0,,,59-63,,B. Lopez misses free throw 1 of 2
9:00.0,,,59-63,,Offensive rebound by Team
9:00.0,,,59-64,1,B. Lopez makes free throw 2 of 2
8:40.0,W. Ellington misses 2-pt shot from 16 ft,,59-64,,
8:39.0,,,59-64,,Defensive rebound by B. Lopez
8:18.0,,,59-66,2,B. Lopez makes 2-pt shot from 7 ft (assist by J. Johnson)
7:53.0,J. Clarkson misses 3-pt shot from 24 ft,,59-66,,
7:52.0,,,59-66,,Defensive rebound by J. Johnson
7:46.0,,,59-68,2,M. Brown makes 2-pt shot from 1 ft
7:32.0,W. Ellington misses 2-pt shot at rim (block by B. Lopez),,59-68,,
7:31.0,Offensive rebound by Team,,59-68,,
7:24.0,R. Kelly misses 3-pt shot from 23 ft,,59-68,,
7:23.0,,,59-68,,Defensive rebound by A. Anderson
7:12.0,,,59-68,,B. Lopez misses 2-pt shot from 2 ft
7:11.0,Defensive rebound by T. Black,,59-68,,
7:03.0,W. Ellington misses 3-pt shot from 22 ft,,59-68,,
7:02.0,,,59-68,,Defensive rebound by B. Lopez
6:50.0,,,59-71,3,M. Brown makes 3-pt shot from 22 ft (assist by J. Johnson)
6:26.0,W. Ellington makes 2-pt shot from 17 ft (assist by W. Johnson),2,61-71,,
6:13.0,,,61-71,,Turnover by D. Williams (bad pass; steal by R. Kelly)
6:09.0,W. Johnson makes 2-pt shot at rim (assist by J. Clarkson),2,63-71,,
5:50.0,,,63-73,2,B. Lopez makes 2-pt shot from 2 ft (assist by M. Brown)
5:50.0,,,63-73,,Shooting foul by W. Johnson (drawn by B. Lopez)
5:50.0,,,63-73,,Brooklyn full timeout
5:50.0,,,63-74,1,B. Lopez makes free throw 1 of 1
5:34.0,J. Clarkson makes 2-pt shot from 3 ft,2,65-74,,
5:08.0,,,65-74,,B. Lopez misses 2-pt shot from 7 ft (block by R. Kelly)
5:07.0,,,65-74,,Offensive rebound by B. Lopez
5:06.0,,,65-74,,B. Lopez misses 2-pt shot from 2 ft
5:03.0,Defensive rebound by R. Kelly,,65-74,,
4:56.0,T. Black makes 2-pt shot at rim (assist by J. Clarkson),2,67-74,,
4:33.0,,,67-77,3,J. Johnson makes 3-pt shot from 24 ft (assist by D. Williams)
4:15.0,Turnover by W. Johnson (lost ball; steal by A. Anderson),,67-77,,
4:09.0,,,67-77,,J. Johnson misses 3-pt shot from 24 ft
4:07.0,Defensive rebound by W. Johnson,,67-77,,
3:56.0,W. Ellington misses 2-pt shot from 5 ft,,67-77,,
3:55.0,,,67-77,,Defensive rebound by J. Johnson
3:42.0,,,67-77,,D. Williams misses 2-pt shot from 4 ft
3:41.0,Defensive rebound by J. Clarkson,,67-77,,
3:36.0,LA Lakers full timeout,,67-77,,
3:36.0,J. Hill enters the game for R. Kelly,,67-77,,
3:36.0,J. Brown enters the game for J. Clarkson,,67-77,,
3:25.0,J. Hill makes 2-pt shot from 18 ft (assist by W. Ellington),2,69-77,,
3:04.0,,,69-79,2,D. Williams makes 2-pt shot from 1 ft
2:41.0,W. Johnson makes 2-pt shot from 1 ft,2,71-79,,
2:22.0,,,71-79,,J. Johnson misses 3-pt shot from 24 ft
2:19.0,Defensive rebound by J. Hill,,71-79,,
2:17.0,Turnover by J. Hill (lost ball; steal by M. Brown),,71-79,,
2:14.0,,,71-79,,Shooting foul by J. Hill (drawn by M. Brown)
2:14.0,,,71-79,,M. Brown misses free throw 1 of 2
2:14.0,,,71-79,,Offensive rebound by Team
2:14.0,,,71-79,,E. Clark enters the game for J. Johnson
2:14.0,,,71-79,,J. Jack enters the game for D. Williams
2:14.0,,,71-80,1,M. Brown makes free throw 2 of 2
1:52.0,J. Hill misses 2-pt shot from 18 ft (block by E. Clark),,71-80,,
1:49.0,,,71-80,,Defensive rebound by B. Lopez
1:38.0,,,71-82,2,A. Anderson makes 2-pt shot at rim (assist by M. Brown)
1:20.0,,,71-82,,Personal foul by E. Clark (drawn by J. Hill)
1:15.0,J. Hill makes 2-pt shot from 2 ft (assist by W. Johnson),2,73-82,,
1:15.0,Shooting foul by A. Anderson (drawn by J. Hill),,73-82,,
1:15.0,J. Hill makes free throw 1 of 1,1,74-82,,
1:04.0,,,74-82,,B. Lopez misses 2-pt shot from 1 ft (block by J. Hill)
1:02.0,,,74-82,,Offensive rebound by B. Lopez
1:01.0,,,74-82,,B. Lopez misses 2-pt shot from 1 ft
1:00.0,Defensive rebound by W. Johnson,,74-82,,
0:47.0,J. Brown misses 3-pt shot from 24 ft,,74-82,,
0:46.0,,,74-82,,Defensive rebound by J. Jack
0:39.0,,,74-82,,J. Jack misses 2-pt shot from 5 ft
0:38.0,Defensive rebound by J. Brown,,74-82,,
0:32.0,J. Brown misses 2-pt shot from 4 ft,,74-82,,
0:31.0,,,74-82,,Defensive rebound by E. Clark
0:07.0,,,74-85,3,A. Anderson makes 3-pt shot from 22 ft
0:02.0,J. Brown misses 2-pt shot from 2 ft,,74-85,,
0:01.0,,,74-85,,Defensive rebound by M. Brown
0:00.0,,,74-85,,M. Brown misses 3-pt shot from 54 ft
0:00.0,,,74-85,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,74-88,3,J. Jack makes 3-pt shot from 23 ft (assist by A. Anderson)
11:15.0,W. Johnson misses 2-pt shot from 17 ft,,74-88,,
11:14.0,,,74-88,,Defensive rebound by E. Clark
11:04.0,,,74-88,,E. Clark misses 2-pt shot from 20 ft
11:04.0,Defensive rebound by W. Ellington,,74-88,,
10:54.0,W. Ellington misses 2-pt shot from 1 ft,,74-88,,
10:53.0,Offensive rebound by J. Hill,,74-88,,
10:52.0,J. Hill makes 2-pt shot at rim,2,76-88,,
10:39.0,,,76-88,,Turnover by J. Jack (lost ball; steal by J. Brown)
10:36.0,J. Brown misses 2-pt shot at rim,,76-88,,
10:35.0,,,76-88,,Defensive rebound by J. Jack
10:27.0,,,76-88,,E. Clark misses 2-pt shot from 21 ft
10:26.0,Defensive rebound by W. Johnson,,76-88,,
10:13.0,J. Hill makes 2-pt shot from 5 ft,2,78-88,,
9:59.0,,,78-90,2,B. Lopez makes 2-pt shot from 9 ft
9:35.0,W. Ellington makes 3-pt shot from 24 ft (assist by J. Brown),3,81-90,,
9:21.0,,,81-90,,Turnover by J. Jack (lost ball; steal by J. Brown)
9:13.0,W. Ellington misses 2-pt shot from 2 ft (block by B. Lopez),,81-90,,
9:12.0,,,81-90,,Defensive rebound by B. Lopez
9:02.0,,,81-92,2,A. Anderson makes 2-pt shot from 2 ft (assist by J. Jack)
8:47.0,Turnover by R. Sacre (bad pass; steal by A. Anderson),,81-92,,
8:37.0,,,81-92,,E. Clark misses 3-pt shot from 24 ft
8:36.0,Defensive rebound by J. Hill,,81-92,,
8:26.0,W. Johnson makes 3-pt shot from 25 ft (assist by J. Brown),3,84-92,,
8:23.0,,,84-92,,Brooklyn full timeout
8:23.0,R. Kelly enters the game for W. Ellington,,84-92,,
8:23.0,J. Clarkson enters the game for W. Johnson,,84-92,,
8:23.0,,,84-92,,M. Plumlee enters the game for B. Lopez
8:23.0,,,84-92,,J. Johnson enters the game for M. Brown
8:05.0,,,84-92,,E. Clark misses 2-pt shot from 19 ft
8:04.0,Defensive rebound by J. Hill,,84-92,,
7:51.0,J. Brown makes 3-pt shot from 24 ft (assist by R. Kelly),3,87-92,,
7:26.0,,,87-92,,A. Anderson misses 2-pt shot from 4 ft (block by J. Brown)
7:25.0,Defensive rebound by J. Hill,,87-92,,
7:17.0,J. Brown misses 2-pt shot from 1 ft,,87-92,,
7:16.0,,,87-92,,Defensive rebound by M. Plumlee
7:07.0,,,87-92,,Shooting foul by J. Hill (drawn by M. Plumlee)
7:07.0,,,87-93,1,M. Plumlee makes free throw 1 of 2
7:07.0,,,87-93,,D. Williams enters the game for J. Jack
7:07.0,,,87-93,,B. Bogdanovic enters the game for A. Anderson
7:07.0,,,87-94,1,M. Plumlee makes free throw 2 of 2
6:49.0,R. Sacre misses 2-pt shot from 8 ft,,87-94,,
6:48.0,,,87-94,,Defensive rebound by E. Clark
6:33.0,,,87-94,,Turnover by D. Williams (bad pass; steal by R. Sacre)
6:18.0,R. Kelly misses 3-pt shot from 22 ft,,87-94,,
6:17.0,Offensive rebound by Team,,87-94,,
6:02.0,J. Hill misses 2-pt shot from 15 ft,,87-94,,
6:01.0,,,87-94,,Defensive rebound by J. Johnson
5:45.0,,,87-94,,B. Bogdanovic misses 2-pt shot from 10 ft
5:44.0,Defensive rebound by J. Clarkson,,87-94,,
5:41.0,Shooting foul by D. Williams (drawn by J. Clarkson),,87-94,,
5:41.0,Official timeout,,87-94,,
5:41.0,,,87-94,,B. Lopez enters the game for E. Clark
5:41.0,J. Clarkson makes free throw 1 of 2,1,88-94,,
5:41.0,J. Clarkson makes free throw 2 of 2,1,89-94,,
5:26.0,,,89-96,2,M. Plumlee makes 2-pt shot at rim
5:06.0,J. Hill misses 2-pt shot from 15 ft,,89-96,,
5:05.0,,,89-96,,Defensive rebound by J. Johnson
4:45.0,,,89-96,,J. Johnson misses 3-pt shot from 23 ft
4:44.0,Defensive rebound by J. Clarkson,,89-96,,
4:35.0,R. Sacre makes 2-pt shot from 5 ft (assist by J. Clarkson),2,91-96,,
4:10.0,T. Black enters the game for R. Sacre,,91-96,,
4:10.0,Jump ball: J. Brown vs. J. Johnson (J. Clarkson gains possession),,,,Jump ball: J. Brown vs. J. Johnson (J. Clarkson gains possession)
4:10.0,,,91-96,,Turnover by J. Johnson (lost ball; steal by J. Brown)
4:02.0,J. Brown misses 3-pt shot from 24 ft,,91-96,,
4:01.0,Offensive rebound by J. Hill,,91-96,,
3:49.0,J. Hill makes 2-pt shot from 10 ft (assist by J. Clarkson),2,93-96,,
3:47.0,,,93-96,,Brooklyn full timeout
3:47.0,,,93-96,,A. Anderson enters the game for M. Plumlee
3:47.0,,,93-96,,M. Brown enters the game for B. Bogdanovic
3:37.0,,,93-98,2,B. Lopez makes 2-pt shot at rim (assist by D. Williams)
3:15.0,J. Hill misses 2-pt shot from 19 ft,,93-98,,
3:14.0,,,93-98,,Defensive rebound by A. Anderson
2:58.0,,,93-98,,M. Brown misses 3-pt shot from 24 ft
2:57.0,Defensive rebound by J. Hill,,93-98,,
2:46.0,J. Hill misses 2-pt shot from 17 ft,,93-98,,
2:45.0,,,93-98,,Defensive rebound by D. Williams
2:29.0,,,93-98,,B. Lopez misses 2-pt shot from 12 ft
2:28.0,Defensive rebound by R. Kelly,,93-98,,
2:23.0,LA Lakers full timeout,,93-98,,
2:14.0,Jump ball: J. Clarkson vs. B. Lopez (A. Anderson gains possession),,,,Jump ball: J. Clarkson vs. B. Lopez (A. Anderson gains possession)
2:14.0,Turnover by J. Clarkson (lost ball; steal by D. Williams),,93-98,,
1:57.0,,,93-101,3,J. Johnson makes 3-pt shot from 22 ft (assist by B. Lopez)
1:39.0,T. Black makes 2-pt shot from 4 ft (assist by J. Hill),2,95-101,,
1:22.0,,,95-101,,D. Williams misses 2-pt shot from 4 ft
1:21.0,Defensive rebound by Team,,95-101,,
1:02.0,J. Hill makes 2-pt shot from 21 ft (assist by R. Kelly),2,97-101,,
0:45.0,,,97-101,,Shooting foul by T. Black (drawn by B. Lopez)
0:45.0,,,97-102,1,B. Lopez makes free throw 1 of 2
0:45.0,,,97-103,1,B. Lopez makes free throw 2 of 2
0:45.0,LA Lakers full timeout,,97-103,,
0:45.0,W. Johnson enters the game for T. Black,,97-103,,
0:41.0,R. Kelly misses 2-pt shot from 17 ft,,97-103,,
0:40.0,,,97-103,,Defensive rebound by J. Johnson
0:35.0,Personal foul by R. Kelly (drawn by M. Brown),,97-103,,
0:35.0,,,97-104,1,M. Brown makes free throw 1 of 2
0:35.0,,,97-105,1,M. Brown makes free throw 2 of 2
0:35.0,LA Lakers full timeout,,97-105,,
0:31.0,J. Clarkson makes 2-pt shot from 1 ft,2,99-105,,
0:26.0,Personal foul by J. Clarkson (drawn by D. Williams),,99-105,,
0:26.0,,,99-106,1,D. Williams makes free throw 1 of 2
0:26.0,,,99-107,1,D. Williams makes free throw 2 of 2
