time,Miami,pts.away,score,pts.home,Indiana
1:12.0,Defensive rebound by U. Haslem,,16-20,,
0:52.0,Turnover by U. Haslem (bad pass; steal by P. George),,16-20,,
0:49.0,,,16-20,,P. George misses 2-pt shot from 2 ft
0:48.0,,,16-20,,Offensive rebound by L. Scola
0:48.0,,,16-22,2,L. Scola makes 2-pt shot at rim
0:31.0,U. Haslem misses 3-pt shot from 23 ft,,16-22,,
0:30.0,,,16-22,,Defensive rebound by I. Mahinmi
0:26.0,,,16-22,,R. Stuckey misses 2-pt shot at rim
0:24.0,Defensive rebound by U. Haslem,,16-22,,
0:10.0,G. Dragic makes 2-pt shot at rim,2,18-22,,
0:10.0,,,18-22,,Shooting block foul by I. Mahinmi (drawn by G. Dragic)
0:10.0,,,18-22,,C. Miles enters the game for I. Mahinmi
0:10.0,G. Dragic makes free throw 1 of 1,1,19-22,,
0:00.0,,,19-22,,L. Scola misses 2-pt shot from 18 ft
0:00.0,,,19-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,Turnover by M. Beasley (traveling),,19-22,,
11:20.0,,,19-25,3,P. George makes 3-pt shot from 23 ft (assist by I. Mahinmi)
11:11.0,G. Dragic makes 2-pt shot from 22 ft (assist by J. Ennis),2,21-25,,
10:54.0,,,21-28,3,D. Sloan makes 3-pt shot from 23 ft (assist by P. George)
10:36.0,D. Wade misses 2-pt shot from 2 ft (block by I. Mahinmi),,21-28,,
10:35.0,,,21-28,,Defensive rebound by I. Mahinmi
10:32.0,,,21-28,,Offensive charge foul by P. George
10:32.0,,,21-28,,Turnover by P. George (offensive foul)
10:32.0,,,21-28,,Violation by Team (delay of game)
10:32.0,,,21-28,,S. Hill enters the game for P. George
10:17.0,M. Beasley misses 2-pt shot from 18 ft,,21-28,,
10:16.0,,,21-28,,Defensive rebound by L. Scola
10:04.0,,,21-30,2,R. Stuckey makes 2-pt shot from 1 ft (assist by L. Scola)
10:03.0,Miami full timeout,,21-30,,
9:54.0,G. Dragic makes 2-pt shot at rim (assist by D. Wade),2,23-30,,
9:35.0,,,23-30,,L. Scola misses 2-pt shot from 1 ft
9:33.0,,,23-30,,Offensive rebound by L. Scola
9:32.0,,,23-32,2,L. Scola makes 2-pt shot from 1 ft
9:18.0,Turnover by M. Chalmers (lost ball; steal by I. Mahinmi),,23-32,,
9:07.0,,,23-32,,R. Stuckey misses 3-pt shot from 23 ft
9:06.0,Defensive rebound by M. Beasley,,23-32,,
8:53.0,M. Beasley makes 2-pt shot from 21 ft (assist by G. Dragic),2,25-32,,
8:38.0,,,25-32,,S. Hill misses 2-pt shot from 6 ft
8:37.0,Defensive rebound by M. Beasley,,25-32,,
8:32.0,G. Dragic misses 2-pt shot from 1 ft,,25-32,,
8:29.0,,,25-32,,Defensive rebound by R. Stuckey
8:27.0,Personal take foul by M. Chalmers (drawn by R. Stuckey),,25-32,,
8:19.0,,,25-32,,Shooting foul by J. Ennis (drawn by I. Mahinmi)
8:19.0,,,25-32,,I. Mahinmi misses free throw 1 of 2
8:19.0,,,25-32,,Offensive rebound by Team
8:19.0,,,25-32,,I. Mahinmi misses free throw 2 of 2
8:19.0,Defensive rebound by M. Beasley,,25-32,,
7:59.0,Turnover by D. Wade (bad pass; steal by I. Mahinmi),,25-32,,
7:53.0,,,25-32,,D. Sloan misses 3-pt shot from 24 ft
7:52.0,Defensive rebound by G. Dragic,,25-32,,
7:42.0,D. Wade makes 2-pt shot from 11 ft,2,27-32,,
7:30.0,,,27-32,,Turnover by I. Mahinmi (bad pass)
7:30.0,,,27-32,,C. Miles enters the game for S. Hill
7:22.0,Shooting foul by C. Miles (drawn by D. Wade),,27-32,,
7:22.0,D. Wade makes free throw 1 of 2,1,28-32,,
7:22.0,,,28-32,,L. Allen enters the game for I. Mahinmi
7:22.0,T. Johnson enters the game for G. Dragic,,28-32,,
7:22.0,D. Wade makes free throw 2 of 2,1,29-32,,
7:08.0,,,29-35,3,C. Miles makes 3-pt shot from 23 ft (assist by R. Stuckey)
6:53.0,D. Wade makes 2-pt shot at rim,2,31-35,,
6:34.0,,,31-38,3,C. Miles makes 3-pt shot from 23 ft (assist by R. Stuckey)
6:17.0,M. Beasley makes 2-pt shot from 6 ft,2,33-38,,
6:17.0,Shooting foul by L. Allen (drawn by M. Beasley),,33-38,,
6:17.0,M. Beasley misses free throw 1 of 1,,33-38,,
6:17.0,,,33-38,,Defensive rebound by L. Scola
6:01.0,,,33-38,,C. Miles misses 3-pt shot from 26 ft
6:00.0,Defensive rebound by J. Ennis,,33-38,,
5:48.0,J. Ennis misses 2-pt shot at rim (block by C. Miles),,33-38,,
5:46.0,,,33-38,,Defensive rebound by L. Scola
5:41.0,,,33-38,,C. Miles misses 3-pt shot from 23 ft
5:39.0,,,33-38,,Offensive rebound by L. Scola
5:39.0,,,33-40,2,L. Scola makes 2-pt shot from 1 ft
5:22.0,J. Ennis makes 2-pt shot from 1 ft (assist by T. Johnson),2,35-40,,
5:22.0,Shooting foul by L. Scola (drawn by J. Ennis),,35-40,,
5:22.0,Official timeout,,35-40,,
5:22.0,J. Ennis makes free throw 1 of 1,1,36-40,,
5:03.0,,,36-40,,C. Miles misses 3-pt shot from 26 ft
5:02.0,Defensive rebound by T. Johnson,,36-40,,
4:49.0,T. Johnson misses 3-pt shot from 26 ft,,36-40,,
4:48.0,,,36-40,,Defensive rebound by L. Allen
4:39.0,,,36-40,,C. Miles misses 2-pt shot from 17 ft
4:38.0,,,36-40,,Offensive rebound by L. Allen
4:32.0,,,36-40,,Turnover by R. Stuckey (bad pass; steal by M. Chalmers)
4:32.0,,,36-40,,Loose ball foul by L. Allen (drawn by M. Chalmers)
4:32.0,L. Deng enters the game for J. Ennis,,36-40,,
4:32.0,,,36-40,,G. Hill enters the game for D. Sloan
4:10.0,L. Deng misses 2-pt shot from 12 ft,,36-40,,
4:10.0,,,36-40,,Defensive rebound by L. Allen
4:01.0,,,36-40,,Turnover by L. Allen (bad pass; steal by T. Johnson)
3:56.0,D. Wade makes 2-pt shot from 20 ft,2,38-40,,
3:39.0,,,38-40,,Turnover by C. Miles (bad pass; steal by D. Wade)
3:34.0,T. Johnson makes 2-pt shot at rim (assist by D. Wade),2,40-40,,
3:34.0,,,40-40,,Indiana full timeout
3:34.0,G. Dragic enters the game for D. Wade,,40-40,,
3:34.0,J. Ennis enters the game for M. Chalmers,,40-40,,
3:34.0,,,40-40,,D. West enters the game for R. Stuckey
3:34.0,,,40-40,,S. Hill enters the game for L. Scola
3:24.0,Personal foul by M. Beasley (drawn by L. Allen),,40-40,,
3:24.0,U. Haslem enters the game for M. Beasley,,40-40,,
3:24.0,,,40-40,,R. Hibbert enters the game for L. Allen
3:12.0,,,40-43,3,C. Miles makes 3-pt shot from 25 ft
2:54.0,U. Haslem misses 2-pt shot at rim (block by R. Hibbert),,40-43,,
2:53.0,Offensive rebound by J. Ennis,,40-43,,
2:52.0,Shooting foul by D. West (drawn by J. Ennis),,40-43,,
2:52.0,J. Ennis makes 2-pt shot from 1 ft,2,42-43,,
2:52.0,J. Ennis makes free throw 1 of 1,1,43-43,,
2:30.0,,,43-43,,R. Hibbert misses 2-pt shot from 8 ft
2:29.0,Defensive rebound by J. Ennis,,43-43,,
2:20.0,Turnover by G. Dragic (bad pass; steal by G. Hill),,43-43,,
2:14.0,,,43-43,,G. Hill misses 2-pt shot from 1 ft (block by T. Johnson)
2:13.0,,,43-43,,Offensive rebound by G. Hill
2:11.0,,,43-43,,G. Hill misses 2-pt shot from 3 ft (block by L. Deng)
2:10.0,Defensive rebound by G. Dragic,,43-43,,
2:08.0,Shooting foul by C. Miles (drawn by J. Ennis),,43-43,,
2:08.0,J. Ennis makes free throw 1 of 2,1,44-43,,
2:08.0,,,44-43,,D. Rudez enters the game for C. Miles
2:08.0,J. Ennis makes free throw 2 of 2,1,45-43,,
1:58.0,Personal foul by T. Johnson (drawn by G. Hill),,45-43,,
1:46.0,,,45-46,3,S. Hill makes 3-pt shot from 23 ft (assist by G. Hill)
1:27.0,G. Dragic makes 2-pt shot from 1 ft,2,47-46,,
1:14.0,,,47-46,,G. Hill misses 2-pt shot from 16 ft
1:12.0,,,47-46,,Offensive rebound by R. Hibbert
0:59.0,,,47-46,,D. Rudez misses 2-pt shot from 19 ft
0:58.0,,,47-46,,Offensive rebound by S. Hill
0:50.0,Personal foul by J. Ennis (drawn by D. West),,47-46,,
0:50.0,,,47-46,,D. West misses free throw 1 of 2
0:50.0,,,47-46,,Offensive rebound by Team
0:50.0,D. Wade enters the game for T. Johnson,,47-46,,
0:50.0,M. Chalmers enters the game for J. Ennis,,47-46,,
0:50.0,,,47-46,,R. Stuckey enters the game for G. Hill
0:50.0,,,47-46,,D. Sloan enters the game for D. Rudez
0:50.0,,,47-47,1,D. West makes free throw 2 of 2
0:37.0,L. Deng misses 3-pt shot from 25 ft,,47-47,,
0:36.0,,,47-47,,Defensive rebound by R. Hibbert
0:27.0,,,47-49,2,R. Stuckey makes 2-pt shot from 1 ft
0:27.0,Shooting block foul by U. Haslem (drawn by R. Stuckey),,47-49,,
0:27.0,,,47-49,,R. Stuckey misses free throw 1 of 1
0:27.0,,,47-49,,Offensive rebound by D. West
0:20.0,,,47-49,,Indiana full timeout
0:20.0,H. Walker enters the game for U. Haslem,,47-49,,
0:20.0,,,47-49,,G. Hill enters the game for S. Hill
0:06.0,Personal foul by M. Chalmers (drawn by D. West),,47-49,,
0:06.0,,,47-50,1,D. West makes free throw 1 of 2
0:06.0,,,47-50,,I. Mahinmi enters the game for R. Hibbert
0:06.0,,,47-50,,S. Hill enters the game for G. Hill
0:06.0,U. Haslem enters the game for H. Walker,,47-50,,
0:06.0,,,47-51,1,D. West makes free throw 2 of 2
0:00.0,M. Chalmers misses 2-pt shot from 16 ft,,47-51,,
0:00.0,Offensive rebound by Team,,47-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,D. Wade misses 3-pt shot from 23 ft,,47-51,,
11:36.0,,,47-51,,Defensive rebound by G. Hill
11:21.0,,,47-51,,Turnover by C. Miles (bad pass; steal by H. Walker)
11:09.0,L. Deng misses 2-pt shot from 4 ft,,47-51,,
11:08.0,,,47-51,,Defensive rebound by G. Hill
10:51.0,,,47-51,,R. Hibbert misses 2-pt shot from 20 ft
10:49.0,Defensive rebound by U. Haslem,,47-51,,
10:36.0,U. Haslem misses 2-pt shot from 1 ft,,47-51,,
10:35.0,,,47-51,,Defensive rebound by D. West
10:21.0,,,47-51,,R. Hibbert misses 2-pt shot from 7 ft
10:20.0,Defensive rebound by L. Deng,,47-51,,
10:04.0,D. Wade makes 2-pt shot at rim,2,49-51,,
9:44.0,,,49-53,2,C. Miles makes 2-pt shot from 19 ft (assist by G. Hill)
9:31.0,,,49-53,,Personal foul by R. Hibbert (drawn by G. Dragic)
9:21.0,H. Walker makes 2-pt shot from 18 ft (assist by G. Dragic),2,51-53,,
9:07.0,,,51-53,,S. Hill misses 3-pt shot from 24 ft
9:06.0,,,51-53,,Offensive rebound by R. Hibbert
9:06.0,,,51-53,,R. Hibbert misses 2-pt shot from 1 ft
9:04.0,,,51-53,,Offensive rebound by S. Hill
9:04.0,Personal foul by H. Walker (drawn by S. Hill),,51-53,,
8:54.0,,,51-55,2,S. Hill makes 2-pt shot from 1 ft (assist by D. West)
8:32.0,D. Wade misses 2-pt shot from 21 ft,,51-55,,
8:31.0,Offensive rebound by Team,,51-55,,
8:31.0,,,51-55,,Loose ball foul by R. Hibbert (drawn by U. Haslem)
8:22.0,D. Wade makes 2-pt shot from 11 ft (assist by G. Dragic),2,53-55,,
8:02.0,,,53-57,2,R. Hibbert makes 2-pt shot from 8 ft
7:42.0,G. Dragic misses 2-pt shot from 11 ft,,53-57,,
7:40.0,,,53-57,,Defensive rebound by D. West
7:38.0,Personal foul by G. Dragic (drawn by C. Miles),,53-57,,
7:28.0,,,53-57,,G. Hill misses 3-pt shot from 23 ft
7:27.0,Defensive rebound by L. Deng,,53-57,,
7:16.0,D. Wade makes 2-pt shot from 15 ft,2,55-57,,
6:52.0,,,55-57,,G. Hill misses 3-pt shot from 22 ft
6:50.0,,,55-57,,Offensive rebound by R. Hibbert
6:32.0,,,55-57,,R. Hibbert misses 2-pt shot from 4 ft
6:31.0,Defensive rebound by Team,,55-57,,
6:18.0,D. Wade misses 2-pt shot from 9 ft,,55-57,,
6:17.0,,,55-57,,Defensive rebound by G. Hill
6:07.0,,,55-57,,S. Hill misses 2-pt shot from 1 ft (block by D. Wade)
6:05.0,Defensive rebound by D. Wade,,55-57,,
5:54.0,G. Dragic makes 3-pt shot from 26 ft (assist by D. Wade),3,58-57,,
5:47.0,,,58-57,,Indiana full timeout
5:47.0,M. Chalmers enters the game for D. Wade,,58-57,,
5:34.0,,,58-60,3,S. Hill makes 3-pt shot from 23 ft (assist by C. Miles)
5:15.0,M. Chalmers misses 2-pt shot from 1 ft (block by R. Hibbert),,58-60,,
5:15.0,Offensive rebound by Team,,58-60,,
5:13.0,Turnover by G. Dragic (offensive foul),,58-60,,
5:13.0,,,58-61,1,D. West makes flagrant free throw 1 of 2
5:13.0,,,58-62,1,D. West makes flagrant free throw 2 of 2
4:56.0,,,58-62,,D. West misses 2-pt shot from 11 ft
4:55.0,,,58-62,,Offensive rebound by R. Hibbert
4:52.0,,,58-65,3,C. Miles makes 3-pt shot from 27 ft (assist by R. Hibbert)
4:32.0,U. Haslem makes 2-pt shot from 3 ft (assist by M. Chalmers),2,60-65,,
4:10.0,,,60-67,2,S. Hill makes 2-pt shot from 1 ft
3:52.0,M. Chalmers misses 2-pt shot from 1 ft,,60-67,,
3:51.0,,,60-67,,Defensive rebound by D. West
3:45.0,,,60-67,,C. Miles misses 3-pt shot from 28 ft
3:42.0,Defensive rebound by U. Haslem,,60-67,,
3:35.0,M. Chalmers misses 3-pt shot from 24 ft,,60-67,,
3:32.0,,,60-67,,Defensive rebound by S. Hill
3:18.0,,,60-67,,Shooting foul by U. Haslem (drawn by R. Hibbert)
3:18.0,,,60-68,1,R. Hibbert makes free throw 1 of 2
3:18.0,,,60-68,,L. Scola enters the game for C. Miles
3:18.0,J. Ennis enters the game for H. Walker,,60-68,,
3:18.0,,,60-68,,P. George enters the game for S. Hill
3:18.0,,,60-69,1,R. Hibbert makes free throw 2 of 2
3:18.0,Miami full timeout,,60-69,,
3:18.0,,,60-69,,I. Mahinmi enters the game for R. Hibbert
3:18.0,,,60-69,,R. Stuckey enters the game for L. Scola
2:58.0,G. Dragic misses 2-pt shot from 5 ft (block by I. Mahinmi),,60-69,,
2:57.0,,,60-69,,Defensive rebound by I. Mahinmi
2:57.0,Personal foul by G. Dragic (drawn by I. Mahinmi),,60-69,,
2:57.0,,,60-69,,I. Mahinmi misses free throw 1 of 2
2:57.0,,,60-69,,Offensive rebound by Team
2:57.0,,,60-70,1,I. Mahinmi makes free throw 2 of 2
2:39.0,J. Ennis makes 2-pt shot from 19 ft,2,62-70,,
2:25.0,,,62-72,2,D. West makes 2-pt shot at rim (assist by R. Stuckey)
2:03.0,L. Deng misses 3-pt shot from 26 ft,,62-72,,
2:02.0,,,62-72,,Defensive rebound by G. Hill
1:55.0,,,62-72,,Offensive foul by I. Mahinmi
1:55.0,,,62-72,,Turnover by I. Mahinmi (offensive foul)
1:55.0,M. Beasley enters the game for U. Haslem,,62-72,,
1:55.0,D. Wade enters the game for G. Dragic,,62-72,,
1:42.0,M. Beasley makes 2-pt shot from 11 ft (assist by M. Chalmers),2,64-72,,
1:18.0,,,64-72,,Shooting foul by J. Ennis (drawn by I. Mahinmi)
1:18.0,,,64-72,,I. Mahinmi misses free throw 1 of 2
1:18.0,,,64-72,,Offensive rebound by Team
1:18.0,,,64-72,,I. Mahinmi misses free throw 2 of 2
1:18.0,Defensive rebound by L. Deng,,64-72,,
0:59.0,D. Wade misses 3-pt shot from 26 ft,,64-72,,
0:57.0,,,64-72,,Defensive rebound by D. West
0:55.0,Personal take foul by M. Chalmers (drawn by D. West),,64-72,,
0:55.0,Miami full timeout,,64-72,,
0:55.0,,,64-73,1,D. West makes free throw 1 of 2
0:55.0,H. Walker enters the game for L. Deng,,64-73,,
0:55.0,,,64-74,1,D. West makes free throw 2 of 2
0:38.0,D. Wade misses 2-pt shot from 16 ft,,64-74,,
0:37.0,,,64-74,,Defensive rebound by I. Mahinmi
0:20.0,,,64-76,2,P. George makes 2-pt shot from 16 ft (assist by R. Stuckey)
0:05.0,D. Wade makes 2-pt shot from 17 ft,2,66-76,,
0:01.0,Personal foul by M. Chalmers (drawn by G. Hill),,66-76,,
0:01.0,,,66-77,1,G. Hill makes free throw 1 of 2
0:01.0,,,66-77,,G. Hill misses free throw 2 of 2
0:01.0,Defensive rebound by J. Ennis,,66-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,66-77,,P. George misses 2-pt shot at rim
11:45.0,Defensive rebound by J. Ennis,,66-77,,
11:23.0,M. Beasley makes 2-pt shot from 20 ft (assist by H. Walker),2,68-77,,
10:57.0,,,68-79,2,L. Scola makes 2-pt shot from 1 ft
10:35.0,D. Wade makes 2-pt shot from 6 ft,2,70-79,,
10:35.0,Shooting foul by R. Stuckey (drawn by D. Wade),,70-79,,
10:35.0,U. Haslem enters the game for M. Beasley,,70-79,,
10:35.0,D. Wade makes free throw 1 of 1,1,71-79,,
10:19.0,,,71-79,,L. Scola misses 2-pt shot from 1 ft (block by H. Walker)
10:19.0,,,71-79,,Offensive rebound by Team
10:17.0,,,71-82,3,P. George makes 3-pt shot from 26 ft (assist by R. Stuckey)
10:00.0,Turnover by D. Wade (bad pass; steal by P. George),,71-82,,
9:57.0,,,71-82,,Turnover by P. George (offensive foul)
9:57.0,,,71-82,,Offensive charge foul by P. George
9:47.0,Turnover by M. Chalmers (bad pass),,71-82,,
9:34.0,,,71-85,3,P. George makes 3-pt shot from 26 ft (assist by R. Stuckey)
9:33.0,Miami full timeout,,71-85,,
9:33.0,L. Deng enters the game for J. Ennis,,71-85,,
9:33.0,G. Dragic enters the game for H. Walker,,71-85,,
9:19.0,D. Wade misses 2-pt shot from 19 ft,,71-85,,
9:18.0,,,71-85,,Defensive rebound by I. Mahinmi
8:56.0,,,71-85,,P. George misses 3-pt shot from 23 ft
8:55.0,,,71-85,,Offensive rebound by L. Scola
8:52.0,,,71-85,,L. Scola misses 2-pt shot at rim (block by U. Haslem)
8:51.0,,,71-85,,Offensive rebound by L. Scola
8:49.0,,,71-87,2,L. Scola makes 2-pt shot at rim
8:34.0,Turnover by D. Wade (bad pass),,71-87,,
8:28.0,,,71-89,2,L. Scola makes 2-pt shot from 5 ft (assist by P. George)
8:26.0,Miami full timeout,,71-89,,
8:10.0,D. Wade makes 2-pt shot from 6 ft,2,73-89,,
7:47.0,,,73-89,,P. George misses 3-pt shot from 27 ft
7:46.0,,,73-89,,Offensive rebound by L. Scola
7:46.0,,,73-91,2,L. Scola makes 2-pt shot from 4 ft
7:46.0,,,73-91,,Shooting foul by U. Haslem (drawn by L. Scola)
7:46.0,,,73-91,,C. Miles enters the game for P. George
7:46.0,J. Ennis enters the game for L. Deng,,73-91,,
7:46.0,,,73-92,1,L. Scola makes free throw 1 of 1
7:30.0,Shooting foul by I. Mahinmi (drawn by D. Wade),,73-92,,
7:30.0,D. Wade makes free throw 1 of 2,1,74-92,,
7:30.0,D. Wade makes free throw 2 of 2,1,75-92,,
7:10.0,,,75-94,2,D. Sloan makes 2-pt shot from 1 ft
7:00.0,J. Ennis makes 3-pt shot from 28 ft (assist by G. Dragic),3,78-94,,
6:40.0,,,78-94,,Shooting foul by M. Chalmers (drawn by L. Scola)
6:40.0,,,78-95,1,L. Scola makes free throw 1 of 2
6:40.0,T. Johnson enters the game for M. Chalmers,,78-95,,
6:40.0,,,78-96,1,L. Scola makes free throw 2 of 2
6:22.0,U. Haslem misses 2-pt shot at rim (block by I. Mahinmi),,78-96,,
6:20.0,,,78-96,,Defensive rebound by I. Mahinmi
6:17.0,,,78-98,2,L. Scola makes 2-pt shot at rim (assist by R. Stuckey)
6:03.0,D. Wade misses 2-pt shot from 5 ft,,78-98,,
6:02.0,Offensive rebound by Team,,78-98,,
6:02.0,,,78-98,,Loose ball foul by L. Scola (drawn by U. Haslem)
5:51.0,J. Ennis misses 3-pt shot from 28 ft,,78-98,,
5:49.0,,,78-98,,Defensive rebound by I. Mahinmi
5:25.0,,,78-98,,L. Scola misses 2-pt shot from 14 ft
