time,Brooklyn,pts.away,score,pts.home,San Antonio
0:38.0,Offensive rebound by Team,,16-23,,
0:30.0,M. Teletovic misses 3-pt shot from 24 ft,,16-23,,
0:29.0,,,16-23,,Defensive rebound by D. Green
0:07.0,,,16-25,2,A. Baynes makes 2-pt shot from 4 ft
0:00.0,J. Jack makes 2-pt shot from 17 ft,2,18-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,M. Plumlee misses 2-pt shot from 3 ft (block by T. Duncan),,18-25,,
11:39.0,,,18-25,,Defensive rebound by T. Duncan
11:21.0,,,18-28,3,T. Parker makes 3-pt shot from 23 ft (assist by M. Ginobili)
10:55.0,M. Plumlee misses 2-pt shot from 3 ft (block by T. Duncan),,18-28,,
10:55.0,Offensive rebound by M. Plumlee,,18-28,,
10:55.0,Turnover by Team (shot clock),,18-28,,
10:36.0,,,18-30,2,A. Baynes makes 2-pt shot from 3 ft (assist by T. Parker)
10:19.0,B. Lopez misses 2-pt shot from 5 ft,,18-30,,
10:17.0,Offensive rebound by A. Anderson,,18-30,,
10:17.0,A. Anderson misses 2-pt shot from 2 ft,,18-30,,
10:16.0,,,18-30,,Defensive rebound by A. Baynes
10:03.0,,,18-33,3,D. Green makes 3-pt shot from 25 ft (assist by T. Parker)
10:02.0,Brooklyn full timeout,,18-33,,
10:02.0,Technical foul by J. Jack,,18-33,,
10:02.0,,,18-33,,M. Belinelli enters the game for M. Ginobili
10:02.0,D. Williams enters the game for B. Bogdanovic,,18-33,,
10:02.0,,,18-34,1,T. Parker makes technical free throw
9:38.0,M. Plumlee misses 2-pt shot from 3 ft,,18-34,,
9:37.0,,,18-34,,Defensive rebound by A. Baynes
9:27.0,,,18-36,2,A. Baynes makes 2-pt shot at rim (assist by T. Duncan)
9:06.0,Shooting foul by M. Belinelli (drawn by J. Jack),,18-36,,
9:06.0,J. Jack makes free throw 1 of 2,1,19-36,,
9:06.0,J. Jack makes free throw 2 of 2,1,20-36,,
8:59.0,Personal foul by M. Plumlee (drawn by M. Belinelli),,20-36,,
8:51.0,,,20-36,,T. Parker misses 2-pt shot from 9 ft
8:50.0,,,20-36,,Offensive rebound by A. Baynes
8:47.0,,,20-36,,M. Belinelli misses 3-pt shot from 24 ft
8:46.0,,,20-36,,Offensive rebound by T. Duncan
8:39.0,,,20-36,,T. Parker misses 3-pt shot from 24 ft
8:38.0,Defensive rebound by A. Anderson,,20-36,,
8:29.0,B. Lopez misses 2-pt shot from 10 ft,,20-36,,
8:28.0,,,20-36,,Defensive rebound by M. Belinelli
8:06.0,,,20-38,2,T. Duncan makes 2-pt shot from 13 ft (assist by D. Green)
7:50.0,D. Williams makes 2-pt shot from 18 ft (assist by B. Lopez),2,22-38,,
7:33.0,,,22-38,,A. Baynes misses 2-pt shot from 14 ft
7:31.0,Defensive rebound by J. Jack,,22-38,,
7:23.0,Turnover by J. Jack (bad pass; steal by T. Duncan),,22-38,,
7:17.0,,,22-40,2,D. Green makes 2-pt shot from 1 ft (assist by M. Belinelli)
6:59.0,A. Anderson misses 3-pt shot from 25 ft,,22-40,,
6:57.0,,,22-40,,Defensive rebound by T. Parker
6:36.0,,,22-40,,D. Green misses 3-pt shot from 24 ft
6:35.0,Defensive rebound by A. Anderson,,22-40,,
6:22.0,D. Williams makes 3-pt shot from 24 ft (assist by J. Jack),3,25-40,,
6:21.0,,,25-40,,San Antonio full timeout
6:21.0,,,25-40,,M. Ginobili enters the game for D. Green
6:21.0,,,25-40,,K. Leonard enters the game for T. Parker
6:21.0,J. Johnson enters the game for M. Plumlee,,25-40,,
6:21.0,C. Jefferson enters the game for A. Anderson,,25-40,,
6:21.0,,,25-40,,B. Diaw enters the game for A. Baynes
6:06.0,,,25-40,,T. Duncan misses 2-pt shot from 17 ft
6:05.0,Defensive rebound by J. Jack,,25-40,,
5:43.0,C. Jefferson misses 2-pt shot from 4 ft,,25-40,,
5:42.0,,,25-40,,Defensive rebound by M. Belinelli
5:30.0,,,25-40,,M. Belinelli misses 3-pt shot from 24 ft
5:29.0,Defensive rebound by D. Williams,,25-40,,
5:23.0,D. Williams makes 2-pt shot from 18 ft,2,27-40,,
5:10.0,,,27-42,2,B. Diaw makes 2-pt shot from 2 ft
4:58.0,D. Williams misses 2-pt shot from 7 ft,,27-42,,
4:57.0,,,27-42,,Defensive rebound by T. Duncan
4:54.0,,,27-44,2,K. Leonard makes 2-pt shot from 2 ft (assist by T. Duncan)
4:54.0,,,27-44,,Shooting foul by J. Johnson (drawn by K. Leonard)
4:54.0,,,27-44,,T. Parker enters the game for M. Belinelli
4:54.0,M. Teletovic enters the game for C. Jefferson,,27-44,,
4:54.0,,,27-45,1,K. Leonard makes free throw 1 of 1
4:41.0,J. Johnson misses 2-pt shot from 19 ft,,27-45,,
4:40.0,Offensive rebound by J. Jack,,27-45,,
4:36.0,J. Jack makes 2-pt shot from 1 ft,2,29-45,,
4:23.0,Personal block foul by D. Williams (drawn by M. Ginobili),,29-45,,
4:13.0,,,29-45,,B. Diaw misses 2-pt shot from 19 ft
4:12.0,Defensive rebound by J. Jack,,29-45,,
3:52.0,D. Williams makes 3-pt shot from 24 ft (assist by J. Jack),3,32-45,,
3:35.0,,,32-45,,T. Parker misses 2-pt shot from 5 ft (block by J. Jack)
3:34.0,Defensive rebound by M. Teletovic,,32-45,,
3:28.0,Turnover by D. Williams (bad pass; steal by K. Leonard),,32-45,,
3:21.0,,,32-45,,A. Baynes enters the game for T. Duncan
3:11.0,,,32-45,,Turnover by B. Diaw (bad pass)
2:55.0,B. Lopez misses 2-pt shot from 10 ft,,32-45,,
2:54.0,,,32-45,,Defensive rebound by M. Ginobili
2:45.0,Personal foul by B. Lopez (drawn by A. Baynes),,32-45,,
2:45.0,Official timeout,,32-45,,
2:38.0,,,32-47,2,K. Leonard makes 2-pt shot at rim (assist by A. Baynes)
2:19.0,Turnover by J. Johnson (traveling),,32-47,,
2:03.0,,,32-49,2,K. Leonard makes 2-pt shot from 13 ft
1:49.0,J. Johnson misses 2-pt shot from 7 ft,,32-49,,
1:48.0,Offensive rebound by B. Lopez,,32-49,,
1:47.0,B. Lopez makes 2-pt shot from 1 ft,2,34-49,,
1:28.0,,,34-51,2,T. Parker makes 2-pt shot from 4 ft
1:15.0,Offensive foul by M. Teletovic,,34-51,,
1:15.0,Turnover by M. Teletovic (offensive foul),,34-51,,
1:15.0,,,34-51,,D. Green enters the game for M. Ginobili
0:58.0,,,34-51,,Turnover by K. Leonard (lost ball; steal by J. Jack)
0:48.0,B. Lopez makes 2-pt shot from 7 ft (assist by J. Johnson),2,36-51,,
0:31.0,,,36-51,,T. Parker misses 2-pt shot from 3 ft
0:30.0,Defensive rebound by M. Teletovic,,36-51,,
0:13.0,M. Teletovic misses 3-pt shot from 23 ft,,36-51,,
0:12.0,Offensive rebound by J. Johnson,,36-51,,
0:08.0,J. Johnson misses 3-pt shot from 24 ft,,36-51,,
0:07.0,,,36-51,,Defensive rebound by B. Diaw
0:00.0,,,36-51,,T. Parker misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by D. Williams,,36-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,B. Bogdanovic misses 3-pt shot from 24 ft,,36-51,,
11:35.0,Offensive rebound by M. Teletovic,,36-51,,
11:34.0,Shooting foul by T. Duncan (drawn by B. Bogdanovic),,36-51,,
11:34.0,B. Bogdanovic makes free throw 1 of 2,1,37-51,,
11:34.0,B. Bogdanovic makes free throw 2 of 2,1,38-51,,
11:17.0,,,38-51,,K. Leonard misses 2-pt shot from 19 ft
11:16.0,Defensive rebound by D. Williams,,38-51,,
10:54.0,D. Williams misses 3-pt shot from 23 ft,,38-51,,
10:53.0,Offensive rebound by B. Lopez,,38-51,,
10:42.0,J. Johnson misses 2-pt shot from 12 ft,,38-51,,
10:40.0,Offensive rebound by J. Johnson,,38-51,,
10:40.0,J. Johnson misses 2-pt shot from 3 ft,,38-51,,
10:39.0,,,38-51,,Defensive rebound by T. Duncan
10:25.0,,,38-53,2,T. Parker makes 2-pt shot from 3 ft (assist by D. Green)
10:25.0,,,38-53,,Shooting foul by B. Lopez (drawn by T. Parker)
10:25.0,J. Jack enters the game for D. Williams,,38-53,,
10:25.0,,,38-54,1,T. Parker makes free throw 1 of 1
10:11.0,M. Teletovic makes 2-pt shot from 16 ft (assist by J. Johnson),2,40-54,,
9:51.0,,,40-54,,T. Parker misses 3-pt shot from 24 ft
9:49.0,,,40-54,,Offensive rebound by T. Duncan
9:45.0,,,40-54,,Turnover by T. Parker (lost ball)
9:35.0,M. Teletovic makes 2-pt shot from 6 ft (assist by J. Johnson),2,42-54,,
9:35.0,Shooting foul by B. Diaw (drawn by M. Teletovic),,42-54,,
9:35.0,M. Teletovic makes free throw 1 of 1,1,43-54,,
9:22.0,Personal foul by B. Lopez (drawn by T. Duncan),,43-54,,
9:17.0,,,43-54,,T. Parker misses 2-pt shot from 16 ft
9:16.0,Defensive rebound by J. Jack,,43-54,,
9:11.0,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Jack),3,46-54,,
9:10.0,,,46-54,,San Antonio full timeout
8:47.0,,,46-57,3,D. Green makes 3-pt shot from 24 ft (assist by T. Duncan)
8:34.0,J. Johnson makes 3-pt shot from 24 ft (assist by J. Jack),3,49-57,,
8:20.0,,,49-57,,B. Diaw misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by B. Bogdanovic,,49-57,,
8:12.0,Offensive charge foul by J. Jack,,49-57,,
8:12.0,Turnover by J. Jack (offensive foul),,49-57,,
7:58.0,,,49-57,,B. Diaw misses 2-pt shot from 6 ft (block by B. Lopez)
7:57.0,Defensive rebound by M. Teletovic,,49-57,,
7:48.0,M. Teletovic misses 3-pt shot from 22 ft,,49-57,,
7:47.0,,,49-57,,Defensive rebound by T. Parker
7:43.0,,,49-59,2,T. Parker makes 2-pt shot at rim
7:42.0,Brooklyn full timeout,,49-59,,
7:34.0,J. Jack misses 2-pt shot from 18 ft,,49-59,,
7:33.0,,,49-59,,Defensive rebound by D. Green
7:18.0,,,49-62,3,D. Green makes 3-pt shot from 24 ft (assist by T. Duncan)
7:01.0,M. Teletovic makes 3-pt shot from 24 ft (assist by J. Johnson),3,52-62,,
6:38.0,,,52-64,2,B. Diaw makes 2-pt shot from 6 ft
6:21.0,J. Jack misses 2-pt shot from 11 ft,,52-64,,
6:20.0,,,52-64,,Defensive rebound by T. Duncan
6:03.0,,,52-66,2,B. Diaw makes 2-pt shot from 3 ft
5:36.0,B. Bogdanovic misses 3-pt shot from 26 ft,,52-66,,
5:35.0,,,52-66,,Defensive rebound by K. Leonard
5:25.0,,,52-66,,Shooting foul by J. Johnson (drawn by T. Duncan)
5:25.0,,,52-67,1,T. Duncan makes free throw 1 of 2
5:25.0,,,52-67,,M. Ginobili enters the game for T. Parker
5:25.0,D. Williams enters the game for B. Bogdanovic,,52-67,,
5:25.0,J. Jordan enters the game for B. Lopez,,52-67,,
5:25.0,,,52-67,,T. Duncan misses free throw 2 of 2
5:24.0,Defensive rebound by M. Teletovic,,52-67,,
5:04.0,J. Johnson makes 2-pt shot from 9 ft,2,54-67,,
4:52.0,,,54-67,,A. Baynes enters the game for T. Duncan
4:52.0,A. Anderson enters the game for J. Johnson,,54-67,,
4:40.0,,,54-69,2,B. Diaw makes 2-pt shot from 5 ft (assist by M. Ginobili)
4:25.0,M. Teletovic misses 3-pt shot from 25 ft,,54-69,,
4:24.0,Offensive rebound by D. Williams,,54-69,,
4:11.0,D. Williams misses 2-pt shot from 18 ft,,54-69,,
4:10.0,,,54-69,,Defensive rebound by K. Leonard
3:57.0,,,54-69,,A. Baynes misses 2-pt shot from 2 ft (block by D. Williams)
3:56.0,Defensive rebound by D. Williams,,54-69,,
3:37.0,J. Jack misses 2-pt shot from 15 ft,,54-69,,
3:36.0,,,54-69,,Defensive rebound by K. Leonard
3:28.0,,,54-69,,K. Leonard misses 2-pt shot from 16 ft
3:27.0,Defensive rebound by J. Jack,,54-69,,
3:23.0,J. Jack misses 2-pt shot from 1 ft (block by D. Green),,54-69,,
3:23.0,Offensive rebound by Team,,54-69,,
3:23.0,Brooklyn full timeout,,54-69,,
3:23.0,,,54-69,,T. Parker enters the game for K. Leonard
3:17.0,J. Jordan makes 2-pt shot at rim (assist by D. Williams),2,56-69,,
3:17.0,Shooting foul by B. Diaw (drawn by J. Jordan),,56-69,,
3:17.0,J. Jordan makes free throw 1 of 1,1,57-69,,
3:07.0,,,57-69,,Turnover by A. Baynes (offensive foul)
3:07.0,,,57-69,,Offensive foul by A. Baynes
2:53.0,Turnover by M. Teletovic (lost ball; steal by T. Parker),,57-69,,
2:44.0,,,57-72,3,D. Green makes 3-pt shot from 23 ft (assist by M. Ginobili)
2:32.0,D. Williams misses 2-pt shot from 15 ft,,57-72,,
2:31.0,,,57-72,,Defensive rebound by A. Baynes
2:22.0,,,57-75,3,M. Ginobili makes 3-pt shot from 23 ft (assist by T. Parker)
2:02.0,M. Teletovic makes 2-pt shot from 3 ft (assist by D. Williams),2,59-75,,
2:02.0,,,59-75,,Shooting block foul by A. Baynes (drawn by M. Teletovic)
2:02.0,,,59-75,,A. Daye enters the game for B. Diaw
2:02.0,J. Johnson enters the game for J. Jack,,59-75,,
2:02.0,M. Teletovic makes free throw 1 of 1,1,60-75,,
1:44.0,,,60-75,,Turnover by A. Daye (lost ball)
1:44.0,C. Jefferson enters the game for M. Teletovic,,60-75,,
1:44.0,,,60-75,,K. Leonard enters the game for D. Green
1:32.0,D. Williams misses 3-pt shot from 26 ft,,60-75,,
1:31.0,,,60-75,,Defensive rebound by K. Leonard
1:26.0,,,60-77,2,K. Leonard makes 2-pt shot at rim (assist by T. Parker)
1:03.0,D. Williams makes 2-pt shot at rim (assist by C. Jefferson),2,62-77,,
0:49.0,,,62-79,2,A. Baynes makes 2-pt shot at rim (assist by T. Parker)
0:41.0,Turnover by D. Williams (bad pass; steal by A. Baynes),,62-79,,
0:37.0,,,62-79,,Turnover by T. Parker (bad pass; steal by A. Anderson)
0:33.0,D. Williams makes 2-pt shot at rim (assist by J. Johnson),2,64-79,,
0:11.0,,,64-79,,A. Baynes misses 2-pt shot from 2 ft
0:11.0,Defensive rebound by J. Jordan,,64-79,,
0:04.0,J. Johnson misses 3-pt shot from 25 ft,,64-79,,
0:03.0,,,64-79,,Defensive rebound by A. Baynes
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,Shooting block foul by C. Jefferson (drawn by A. Baynes),,64-79,,
11:38.0,,,64-80,1,A. Baynes makes free throw 1 of 2
11:38.0,,,64-81,1,A. Baynes makes free throw 2 of 2
11:24.0,J. Johnson makes 3-pt shot from 26 ft (assist by D. Williams),3,67-81,,
11:02.0,,,67-81,,K. Leonard misses 3-pt shot from 24 ft
11:01.0,Defensive rebound by A. Anderson,,67-81,,
10:44.0,J. Johnson misses 3-pt shot from 23 ft,,67-81,,
10:42.0,,,67-81,,Defensive rebound by A. Daye
10:26.0,,,67-81,,K. Leonard misses 2-pt shot from 19 ft
10:25.0,Defensive rebound by J. Jordan,,67-81,,
10:08.0,A. Anderson misses 2-pt shot from 8 ft,,67-81,,
10:07.0,,,67-81,,Defensive rebound by A. Daye
9:46.0,,,67-81,,A. Daye misses 3-pt shot from 23 ft
9:44.0,Defensive rebound by J. Jordan,,67-81,,
9:40.0,Shooting foul by T. Parker (drawn by D. Williams),,67-81,,
9:40.0,D. Williams makes free throw 1 of 2,1,68-81,,
9:40.0,,,68-81,,B. Diaw enters the game for A. Baynes
9:40.0,D. Williams makes free throw 2 of 2,1,69-81,,
9:25.0,,,69-81,,Turnover by M. Ginobili (lost ball)
9:25.0,,,69-81,,D. Green enters the game for M. Ginobili
9:25.0,M. Teletovic enters the game for J. Jordan,,69-81,,
9:25.0,B. Bogdanovic enters the game for C. Jefferson,,69-81,,
9:04.0,J. Johnson misses 2-pt shot from 6 ft,,69-81,,
9:03.0,Offensive rebound by A. Anderson,,69-81,,
9:00.0,B. Bogdanovic misses 2-pt shot from 12 ft (block by A. Daye),,69-81,,
8:57.0,,,69-81,,Defensive rebound by K. Leonard
8:53.0,,,69-81,,Shooting foul by D. Williams (drawn by K. Leonard)
8:53.0,Official timeout,,69-81,,
8:53.0,,,69-82,1,K. Leonard makes free throw 1 of 2
8:53.0,,,69-82,,K. Leonard misses free throw 2 of 2
8:53.0,Defensive rebound by J. Johnson,,69-82,,
8:31.0,J. Johnson misses 2-pt shot from 10 ft,,69-82,,
8:30.0,Offensive rebound by A. Anderson,,69-82,,
8:17.0,D. Williams misses 2-pt shot from 2 ft,,69-82,,
8:15.0,,,69-82,,Defensive rebound by A. Daye
7:58.0,,,69-84,2,T. Parker makes 2-pt shot from 6 ft (assist by B. Diaw)
7:58.0,Shooting block foul by A. Anderson (drawn by T. Parker),,69-84,,
7:58.0,,,69-85,1,T. Parker makes free throw 1 of 1
7:41.0,D. Williams makes 2-pt shot from 2 ft,2,71-85,,
7:16.0,,,71-85,,K. Leonard misses 2-pt shot from 13 ft (block by J. Johnson)
7:15.0,,,71-85,,Offensive rebound by K. Leonard
7:14.0,,,71-85,,Turnover by Team (shot clock)
6:51.0,D. Williams makes 2-pt shot from 21 ft,2,73-85,,
6:35.0,,,73-85,,T. Parker misses 2-pt shot from 17 ft
6:34.0,Defensive rebound by J. Johnson,,73-85,,
6:23.0,A. Anderson makes 2-pt shot at rim,2,75-85,,
6:23.0,,,75-85,,San Antonio full timeout
6:04.0,,,75-85,,Turnover by T. Parker (bad pass)
6:04.0,,,75-85,,M. Ginobili enters the game for A. Daye
5:47.0,J. Johnson makes 2-pt shot from 9 ft (assist by D. Williams),2,77-85,,
5:29.0,,,77-88,3,D. Green makes 3-pt shot from 23 ft (assist by K. Leonard)
5:10.0,D. Williams makes 2-pt shot from 2 ft,2,79-88,,
4:44.0,,,79-90,2,M. Ginobili makes 2-pt shot from 1 ft
4:24.0,A. Anderson misses 2-pt shot from 6 ft (block by D. Green),,79-90,,
4:23.0,Offensive rebound by A. Anderson,,79-90,,
4:19.0,B. Bogdanovic misses 3-pt shot from 23 ft,,79-90,,
4:18.0,,,79-90,,Defensive rebound by M. Ginobili
4:04.0,,,79-92,2,K. Leonard makes 2-pt shot from 6 ft
3:49.0,D. Williams misses 2-pt shot at rim,,79-92,,
3:49.0,,,79-92,,Defensive rebound by D. Green
3:29.0,,,79-94,2,D. Green makes 2-pt shot from 4 ft (assist by M. Ginobili)
3:29.0,Brooklyn full timeout,,79-94,,
3:29.0,J. Jack enters the game for B. Bogdanovic,,79-94,,
3:12.0,J. Johnson misses 3-pt shot from 23 ft,,79-94,,
3:11.0,,,79-94,,Defensive rebound by M. Ginobili
2:58.0,,,79-94,,Turnover by K. Leonard (lost ball; steal by A. Anderson)
2:46.0,D. Williams misses 2-pt shot from 1 ft,,79-94,,
2:44.0,,,79-94,,Defensive rebound by K. Leonard
2:30.0,,,79-94,,K. Leonard misses 2-pt shot from 12 ft
2:30.0,Defensive rebound by Team,,79-94,,
2:30.0,M. Plumlee enters the game for J. Johnson,,79-94,,
2:30.0,C. Jefferson enters the game for M. Teletovic,,79-94,,
2:30.0,M. Brown enters the game for D. Williams,,79-94,,
2:30.0,S. Karasev enters the game for J. Jack,,79-94,,
2:30.0,J. Gutierrez enters the game for A. Anderson,,79-94,,
2:30.0,,,79-94,,J. Ayres enters the game for B. Diaw
2:30.0,,,79-94,,K. Anderson enters the game for T. Parker
2:30.0,,,79-94,,A. Daye enters the game for M. Ginobili
2:17.0,C. Jefferson makes 2-pt shot from 10 ft (assist by S. Karasev),2,81-94,,
2:02.0,,,81-96,2,K. Leonard makes 2-pt shot from 8 ft
2:02.0,,,81-96,,Shooting foul by S. Karasev (drawn by K. Leonard)
2:02.0,,,81-97,1,K. Leonard makes free throw 1 of 1
1:58.0,,,81-97,,Personal take foul by D. Green (drawn by J. Gutierrez)
1:58.0,,,81-97,,A. Baynes enters the game for K. Leonard
1:42.0,M. Brown misses 2-pt shot from 15 ft,,81-97,,
1:41.0,,,81-97,,Defensive rebound by D. Green
1:29.0,,,81-97,,A. Daye misses 2-pt shot from 18 ft
1:28.0,Defensive rebound by J. Gutierrez,,81-97,,
1:20.0,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Gutierrez),2,83-97,,
1:20.0,Shooting foul by J. Ayres (drawn by M. Plumlee),,83-97,,
1:20.0,M. Plumlee makes free throw 1 of 1,1,84-97,,
0:58.0,,,84-97,,A. Daye misses 2-pt shot from 12 ft
0:57.0,Defensive rebound by J. Gutierrez,,84-97,,
0:47.0,S. Karasev misses 3-pt shot from 25 ft,,84-97,,
0:46.0,,,84-97,,Defensive rebound by A. Baynes
0:24.0,,,84-99,2,D. Green makes 2-pt shot from 15 ft (assist by K. Anderson)
0:12.0,M. Brown makes 3-pt shot from 25 ft (assist by S. Karasev),3,87-99,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
