time,Chicago,pts.away,score,pts.home,Oklahoma City
4:34.0,N. Mirotic makes 2-pt shot from 22 ft,2,34-36,,
4:13.0,,,34-36,,E. Kanter misses 2-pt shot from 2 ft (block by P. Gasol)
4:11.0,,,34-36,,Offensive rebound by S. Adams
4:09.0,,,34-36,,S. Adams misses 2-pt shot from 1 ft
4:06.0,,,34-36,,Offensive rebound by S. Adams
4:06.0,,,34-38,2,S. Adams makes 2-pt shot at rim
3:49.0,E. Moore misses 3-pt shot from 22 ft,,34-38,,
3:48.0,,,34-38,,Defensive rebound by E. Kanter
3:41.0,,,34-40,2,D. Waiters makes 2-pt shot from 1 ft
3:36.0,Chicago full timeout,,34-40,,
3:29.0,A. Brooks misses 3-pt shot from 24 ft,,34-40,,
3:28.0,Offensive rebound by N. Mirotic,,34-40,,
3:25.0,N. Mirotic makes 2-pt shot from 13 ft,2,36-40,,
3:07.0,,,36-40,,Turnover by R. Westbrook (traveling)
2:59.0,,,36-40,,Personal foul by S. Adams (drawn by P. Gasol)
2:49.0,N. Mirotic makes 2-pt shot from 9 ft,2,38-40,,
2:34.0,,,38-42,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
2:15.0,Offensive foul by N. Mirotic,,38-42,,
2:15.0,Turnover by N. Mirotic (offensive foul),,38-42,,
2:15.0,,,38-42,,A. Morrow enters the game for D. Augustin
1:59.0,,,38-44,2,D. Waiters makes 2-pt shot from 20 ft (assist by S. Adams)
1:33.0,A. Brooks makes 2-pt shot from 9 ft,2,40-44,,
1:12.0,,,40-44,,A. Morrow misses 2-pt shot from 16 ft
1:11.0,Defensive rebound by E. Moore,,40-44,,
1:04.0,A. Brooks makes 2-pt shot from 2 ft,2,42-44,,
0:49.0,,,42-44,,Turnover by E. Kanter (lost ball; steal by E. Moore)
0:43.0,A. Brooks makes 2-pt shot from 1 ft (assist by E. Moore),2,44-44,,
0:39.0,,,44-44,,Oklahoma City full timeout
0:33.0,,,44-44,,Offensive foul by S. Adams
0:33.0,,,44-44,,Turnover by S. Adams (offensive foul)
0:33.0,,,44-44,,N. Collison enters the game for S. Adams
0:33.0,,,44-44,,A. Roberson enters the game for A. Morrow
0:20.0,E. Moore makes 3-pt shot from 25 ft (assist by N. Mirotic),3,47-44,,
0:04.0,,,47-47,3,R. Westbrook makes 3-pt shot from 24 ft
0:00.0,E. Moore misses 2-pt shot from 10 ft,,47-47,,
0:00.0,,,47-47,,Defensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,A. Brooks makes 2-pt shot from 2 ft,2,49-47,,
11:33.0,,,49-47,,Shooting foul by A. Brooks (drawn by D. Waiters)
11:33.0,,,49-48,1,D. Waiters makes free throw 1 of 2
11:33.0,,,49-48,,D. Waiters misses free throw 2 of 2
11:32.0,,,49-48,,Offensive rebound by Team
11:32.0,Loose ball foul by J. Noah (drawn by S. Adams),,49-48,,
11:26.0,,,49-48,,R. Westbrook misses 2-pt shot from 13 ft
11:25.0,,,49-48,,Offensive rebound by Team
11:25.0,,,49-48,,Offensive foul by E. Kanter
11:25.0,,,49-48,,Turnover by E. Kanter (offensive foul)
11:04.0,M. Dunleavy misses 2-pt shot from 1 ft (block by A. Roberson),,49-48,,
11:03.0,,,49-48,,Defensive rebound by R. Westbrook
10:54.0,Personal foul by M. Dunleavy (drawn by D. Waiters),,49-48,,
10:46.0,,,49-48,,D. Waiters misses 2-pt shot from 18 ft
10:46.0,Defensive rebound by Team,,49-48,,
10:26.0,A. Brooks misses 3-pt shot from 26 ft,,49-48,,
10:25.0,,,49-48,,Defensive rebound by D. Waiters
10:14.0,,,49-48,,R. Westbrook misses 2-pt shot from 16 ft
10:14.0,Defensive rebound by M. Dunleavy,,49-48,,
10:02.0,P. Gasol misses 2-pt shot from 14 ft,,49-48,,
10:01.0,,,49-48,,Defensive rebound by R. Westbrook
9:54.0,,,49-48,,R. Westbrook misses 2-pt shot from 14 ft
9:54.0,Defensive rebound by J. Noah,,49-48,,
9:44.0,T. Snell misses 2-pt shot from 15 ft,,49-48,,
9:43.0,,,49-48,,Defensive rebound by S. Adams
9:23.0,,,49-48,,Shooting foul by T. Snell (drawn by R. Westbrook)
9:23.0,,,49-49,1,R. Westbrook makes free throw 1 of 2
9:23.0,,,49-50,1,R. Westbrook makes free throw 2 of 2
9:08.0,Turnover by M. Dunleavy (offensive foul),,49-50,,
9:08.0,Offensive foul by M. Dunleavy,,49-50,,
8:53.0,,,49-52,2,E. Kanter makes 2-pt shot from 18 ft (assist by R. Westbrook)
8:51.0,Chicago full timeout,,49-52,,
8:30.0,T. Snell makes 3-pt shot from 22 ft (assist by P. Gasol),3,52-52,,
8:14.0,,,52-54,2,S. Adams makes 2-pt shot from 1 ft (assist by D. Waiters)
7:47.0,T. Snell misses 3-pt shot from 24 ft,,52-54,,
7:46.0,,,52-54,,Defensive rebound by Team
7:30.0,,,52-54,,D. Waiters misses 2-pt shot from 15 ft
7:29.0,Defensive rebound by P. Gasol,,52-54,,
7:21.0,A. Brooks misses 2-pt shot from 2 ft (block by S. Adams),,52-54,,
7:20.0,,,52-54,,Defensive rebound by Team
7:17.0,,,52-54,,Shooting foul by M. Dunleavy (drawn by S. Adams)
7:17.0,,,52-55,1,S. Adams makes free throw 1 of 2
7:17.0,E. Moore enters the game for M. Dunleavy,,52-55,,
7:17.0,,,52-55,,S. Adams misses free throw 2 of 2
7:16.0,Defensive rebound by P. Gasol,,52-55,,
6:54.0,P. Gasol misses 2-pt shot from 13 ft,,52-55,,
6:52.0,Offensive rebound by J. Noah,,52-55,,
6:51.0,J. Noah makes 2-pt shot from 1 ft,2,54-55,,
6:33.0,,,54-55,,R. Westbrook misses 2-pt shot from 11 ft
6:32.0,,,54-55,,Offensive rebound by Team
6:32.0,,,54-55,,Turnover by R. Westbrook (traveling)
6:21.0,P. Gasol makes 3-pt shot from 23 ft (assist by A. Brooks),3,57-55,,
6:05.0,,,57-55,,E. Kanter misses 2-pt shot from 15 ft
6:03.0,Defensive rebound by T. Snell,,57-55,,
5:42.0,P. Gasol misses 2-pt shot from 3 ft (block by S. Adams),,57-55,,
5:40.0,,,57-55,,Defensive rebound by E. Kanter
5:34.0,,,57-55,,D. Waiters misses 3-pt shot from 22 ft
5:32.0,,,57-55,,Offensive rebound by S. Adams
5:31.0,,,57-57,2,S. Adams makes 2-pt shot from 4 ft
5:12.0,E. Moore misses 3-pt shot from 24 ft,,57-57,,
5:11.0,,,57-57,,Defensive rebound by R. Westbrook
4:58.0,,,57-60,3,R. Westbrook makes 3-pt shot from 24 ft (assist by A. Roberson)
4:46.0,A. Brooks makes 2-pt shot from 10 ft,2,59-60,,
4:29.0,,,59-62,2,E. Kanter makes 2-pt shot from 3 ft
4:13.0,A. Brooks misses 3-pt shot from 28 ft,,59-62,,
4:12.0,,,59-62,,Defensive rebound by S. Adams
3:52.0,,,59-64,2,E. Kanter makes 2-pt shot at rim
3:35.0,E. Moore makes 3-pt shot from 23 ft (assist by T. Snell),3,62-64,,
3:21.0,,,62-64,,Turnover by R. Westbrook (lost ball; steal by P. Gasol)
3:13.0,T. Snell makes 3-pt shot from 24 ft (assist by A. Brooks),3,65-64,,
3:12.0,,,65-64,,Oklahoma City full timeout
3:12.0,,,65-64,,A. Morrow enters the game for D. Waiters
3:12.0,,,65-64,,N. Collison enters the game for S. Adams
3:12.0,,,65-64,,K. Singler enters the game for A. Roberson
3:12.0,N. Mirotic enters the game for J. Noah,,65-64,,
2:57.0,,,65-66,2,E. Kanter makes 2-pt shot from 1 ft
2:29.0,Turnover by A. Brooks (bad pass; steal by E. Kanter),,65-66,,
2:18.0,,,65-68,2,R. Westbrook makes 2-pt shot from 15 ft
2:02.0,,,65-68,,Personal foul by N. Collison (drawn by N. Mirotic)
2:02.0,K. Hinrich enters the game for A. Brooks,,65-68,,
1:47.0,N. Mirotic misses 2-pt shot from 22 ft,,65-68,,
1:46.0,Offensive rebound by P. Gasol,,65-68,,
1:42.0,Shooting foul by E. Kanter (drawn by P. Gasol),,65-68,,
1:42.0,P. Gasol makes free throw 1 of 2,1,66-68,,
1:42.0,P. Gasol misses free throw 2 of 2,,66-68,,
1:41.0,,,66-68,,Defensive rebound by A. Morrow
1:25.0,,,66-68,,R. Westbrook misses 2-pt shot from 14 ft
1:24.0,Defensive rebound by K. Hinrich,,66-68,,
1:04.0,P. Gasol makes 2-pt shot from 4 ft,2,68-68,,
0:45.0,,,68-70,2,R. Westbrook makes 2-pt shot from 1 ft
0:37.0,Turnover by N. Mirotic (discontinued dribble),,68-70,,
0:32.0,,,68-72,2,R. Westbrook makes 2-pt shot from 15 ft
0:10.0,T. Snell makes 2-pt shot at rim,2,70-72,,
0:01.0,Personal foul by N. Mirotic (drawn by R. Westbrook),,70-72,,
0:01.0,,,70-73,1,R. Westbrook makes free throw 1 of 2
0:01.0,,,70-73,,R. Westbrook misses free throw 2 of 2
0:00.0,,,70-73,,Offensive rebound by E. Kanter
0:00.0,,,70-75,2,E. Kanter makes 2-pt shot from 1 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,70-75,,Turnover by D. Augustin (discontinued dribble)
11:24.0,N. Mirotic makes 3-pt shot from 24 ft (assist by J. Noah),3,73-75,,
11:05.0,,,73-75,,K. Singler misses 3-pt shot from 24 ft
11:04.0,Defensive rebound by E. Moore,,73-75,,
10:48.0,J. Noah makes 2-pt shot from 2 ft (assist by T. Snell),2,75-75,,
10:47.0,,,75-75,,Oklahoma City full timeout
10:32.0,,,75-75,,K. Singler misses 3-pt shot from 24 ft
10:31.0,Defensive rebound by K. Hinrich,,75-75,,
10:20.0,Shooting foul by N. Collison (drawn by J. Noah),,75-75,,
10:20.0,J. Noah misses free throw 1 of 2,,75-75,,
10:20.0,Offensive rebound by Team,,75-75,,
10:20.0,J. Noah makes free throw 2 of 2,1,76-75,,
10:03.0,,,76-78,3,D. Augustin makes 3-pt shot from 23 ft
9:50.0,Shooting foul by N. Collison (drawn by N. Mirotic),,76-78,,
9:50.0,N. Mirotic makes free throw 1 of 2,1,77-78,,
9:50.0,N. Mirotic makes free throw 2 of 2,1,78-78,,
9:42.0,Personal block foul by K. Hinrich (drawn by D. Augustin),,78-78,,
9:38.0,,,78-78,,Offensive foul by D. Augustin
9:38.0,,,78-78,,Turnover by D. Augustin (offensive foul)
9:27.0,J. Noah makes 2-pt shot from 1 ft,2,80-78,,
9:14.0,Personal block foul by K. Hinrich (drawn by D. Augustin),,80-78,,
9:14.0,,,80-78,,R. Westbrook enters the game for K. Singler
9:14.0,,,80-78,,S. Adams enters the game for M. McGary
9:08.0,,,80-78,,D. Augustin misses 3-pt shot from 24 ft
9:06.0,,,80-78,,Offensive rebound by N. Collison
9:03.0,,,80-81,3,A. Morrow makes 3-pt shot from 24 ft (assist by N. Collison)
8:45.0,N. Mirotic misses 3-pt shot from 24 ft,,80-81,,
8:44.0,,,80-81,,Defensive rebound by R. Westbrook
8:31.0,,,80-81,,A. Morrow misses 3-pt shot from 24 ft
8:30.0,Defensive rebound by Team,,80-81,,
8:22.0,Shooting foul by D. Augustin (drawn by K. Hinrich),,80-81,,
8:22.0,K. Hinrich makes free throw 1 of 2,1,81-81,,
8:22.0,K. Hinrich misses free throw 2 of 2,,81-81,,
8:22.0,,,81-81,,Defensive rebound by N. Collison
8:11.0,,,81-83,2,R. Westbrook makes 2-pt shot from 5 ft
7:57.0,K. Hinrich misses 2-pt shot from 5 ft,,81-83,,
7:56.0,,,81-83,,Defensive rebound by S. Adams
7:31.0,,,81-83,,A. Morrow misses 3-pt shot from 25 ft
7:30.0,Defensive rebound by K. Hinrich,,81-83,,
7:27.0,Shooting foul by N. Collison (drawn by E. Moore),,81-83,,
7:27.0,E. Moore misses free throw 1 of 2,,81-83,,
7:27.0,Offensive rebound by Team,,81-83,,
7:27.0,,,81-83,,E. Kanter enters the game for N. Collison
7:27.0,E. Moore makes free throw 2 of 2,1,82-83,,
7:14.0,,,82-85,2,R. Westbrook makes 2-pt shot from 15 ft
6:57.0,Turnover by K. Hinrich (bad pass; steal by S. Adams),,82-85,,
6:55.0,,,82-85,,Turnover by D. Augustin (bad pass; steal by N. Mirotic)
6:52.0,N. Mirotic misses 3-pt shot from 25 ft,,82-85,,
6:51.0,Offensive rebound by E. Moore,,82-85,,
6:45.0,E. Moore makes 2-pt shot from 6 ft (assist by J. Noah),2,84-85,,
6:26.0,,,84-85,,R. Westbrook misses 2-pt shot from 2 ft
6:25.0,,,84-85,,Offensive rebound by E. Kanter
6:25.0,,,84-87,2,E. Kanter makes 2-pt shot at rim
6:22.0,Chicago full timeout,,84-87,,
6:22.0,P. Gasol enters the game for J. Noah,,84-87,,
6:22.0,A. Brooks enters the game for K. Hinrich,,84-87,,
6:06.0,P. Gasol misses 2-pt shot from 4 ft,,84-87,,
6:05.0,Offensive rebound by N. Mirotic,,84-87,,
5:56.0,Shooting foul by S. Adams (drawn by N. Mirotic),,84-87,,
5:56.0,N. Mirotic makes free throw 1 of 2,1,85-87,,
5:56.0,N. Mirotic makes free throw 2 of 2,1,86-87,,
5:33.0,,,86-89,2,S. Adams makes 2-pt shot from 1 ft (assist by R. Westbrook)
5:18.0,N. Mirotic makes 3-pt shot from 24 ft (assist by T. Snell),3,89-89,,
5:00.0,,,89-92,3,D. Augustin makes 3-pt shot from 24 ft (assist by R. Westbrook)
4:43.0,N. Mirotic misses 2-pt shot from 3 ft,,89-92,,
4:42.0,,,89-92,,Defensive rebound by S. Adams
4:38.0,,,89-92,,Offensive charge foul by E. Kanter
4:38.0,,,89-92,,Turnover by E. Kanter (offensive foul)
4:30.0,Shooting foul by S. Adams (drawn by A. Brooks),,89-92,,
4:30.0,A. Brooks makes free throw 1 of 2,1,90-92,,
4:30.0,A. Brooks misses free throw 2 of 2,,90-92,,
4:29.0,,,90-92,,Defensive rebound by E. Kanter
4:16.0,,,90-94,2,R. Westbrook makes 2-pt shot from 2 ft
4:06.0,Chicago full timeout,,90-94,,
3:48.0,A. Brooks misses 3-pt shot from 24 ft,,90-94,,
3:48.0,,,90-94,,Defensive rebound by Team
3:38.0,,,90-94,,Shooting foul by N. Mirotic (drawn by S. Adams)
3:38.0,,,90-94,,S. Adams misses free throw 1 of 2
3:38.0,,,90-94,,Offensive rebound by Team
3:38.0,,,90-94,,S. Adams misses free throw 2 of 2
3:36.0,,,90-94,,Offensive rebound by E. Kanter
3:36.0,,,90-94,,E. Kanter misses 2-pt shot from 1 ft
3:35.0,Defensive rebound by E. Moore,,90-94,,
3:26.0,N. Mirotic misses 3-pt shot from 23 ft,,90-94,,
3:25.0,,,90-94,,Defensive rebound by A. Morrow
3:10.0,,,90-94,,S. Adams misses 2-pt shot from 3 ft
3:10.0,Defensive rebound by Team,,90-94,,
3:10.0,,,90-94,,Loose ball foul by S. Adams (drawn by N. Mirotic)
3:10.0,N. Mirotic makes free throw 1 of 2,1,91-94,,
3:10.0,N. Mirotic makes free throw 2 of 2,1,92-94,,
3:01.0,,,92-94,,R. Westbrook misses 2-pt shot from 1 ft
3:00.0,Defensive rebound by N. Mirotic,,92-94,,
2:55.0,N. Mirotic misses 2-pt shot from 1 ft,,92-94,,
2:52.0,,,92-94,,Defensive rebound by E. Kanter
2:37.0,,,92-94,,R. Westbrook misses 2-pt shot at rim
2:37.0,,,92-94,,Offensive rebound by Team
2:37.0,Loose ball foul by E. Moore (drawn by S. Adams),,92-94,,
