time,Indiana,pts.away,score,pts.home,New Orleans
1:50.0,,,28-14,,Offensive rebound by Team
1:50.0,,,28-14,,O. Asik misses free throw 2 of 2
1:49.0,Defensive rebound by I. Mahinmi,,28-14,,
1:40.0,,,28-14,,Personal foul by T. Douglas (drawn by C. Watson)
1:40.0,C. Watson makes free throw 1 of 2,1,29-14,,
1:40.0,,,29-14,,D. Cunningham enters the game for O. Asik
1:40.0,C. Watson makes free throw 2 of 2,1,30-14,,
1:23.0,,,30-16,2,T. Douglas makes 2-pt shot from 21 ft
1:07.0,C. Miles misses 2-pt shot from 2 ft,,30-16,,
1:06.0,,,30-16,,Defensive rebound by L. Babbitt
0:53.0,,,30-18,2,Q. Pondexter makes 2-pt shot from 2 ft
0:41.0,I. Mahinmi misses 2-pt shot from 19 ft,,30-18,,
0:40.0,,,30-18,,Defensive rebound by Q. Pondexter
0:16.0,,,30-18,,T. Douglas misses 2-pt shot from 15 ft
0:16.0,,,30-18,,Offensive rebound by Team
0:16.0,,,30-18,,Turnover by Team (shot clock)
0:16.0,D. Rudez enters the game for C. Miles,,30-18,,
0:16.0,L. Scola enters the game for D. West,,30-18,,
0:01.0,R. Stuckey makes 2-pt shot from 1 ft,2,32-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,Personal foul by I. Mahinmi (drawn by J. Withey),,32-18,,
11:38.0,,,32-18,,J. Withey misses 2-pt shot from 6 ft
11:37.0,Defensive rebound by C. Watson,,32-18,,
11:16.0,Turnover by L. Scola (bad pass; steal by D. Cunningham),,32-18,,
11:05.0,,,32-18,,Q. Pondexter misses 2-pt shot from 19 ft
11:04.0,Defensive rebound by L. Scola,,32-18,,
10:58.0,R. Stuckey makes 2-pt shot from 1 ft (assist by C. Watson),2,34-18,,
10:37.0,,,34-18,,Offensive foul by D. Cunningham
10:37.0,,,34-18,,Turnover by D. Cunningham (offensive foul)
10:37.0,,,34-18,,A. Ajinca enters the game for J. Withey
10:37.0,,,34-18,,J. Fredette enters the game for D. Cunningham
10:22.0,R. Stuckey misses 2-pt shot from 16 ft,,34-18,,
10:21.0,Offensive rebound by L. Scola,,34-18,,
10:13.0,L. Scola misses 2-pt shot from 14 ft,,34-18,,
10:13.0,Offensive rebound by Team,,34-18,,
10:13.0,Turnover by Team (shot clock),,34-18,,
10:03.0,,,34-18,,Shooting foul by I. Mahinmi (drawn by A. Ajinca)
10:03.0,,,34-19,1,A. Ajinca makes free throw 1 of 2
10:03.0,,,34-20,1,A. Ajinca makes free throw 2 of 2
9:43.0,R. Stuckey makes 3-pt shot from 23 ft (assist by D. Rudez),3,37-20,,
9:28.0,,,37-22,2,J. Fredette makes 2-pt shot from 2 ft
9:07.0,L. Scola misses 2-pt shot from 2 ft (block by Q. Pondexter),,37-22,,
9:05.0,,,37-22,,Defensive rebound by A. Ajinca
8:57.0,,,37-22,,Turnover by J. Fredette (bad pass)
8:57.0,Official timeout,,37-22,,
8:57.0,R. Hibbert enters the game for I. Mahinmi,,37-22,,
8:34.0,R. Stuckey makes 3-pt shot from 24 ft (assist by L. Scola),3,40-22,,
8:20.0,,,40-22,,Turnover by T. Douglas (bad pass)
8:00.0,D. Rudez misses 2-pt shot from 15 ft,,40-22,,
7:59.0,,,40-22,,Defensive rebound by L. Babbitt
7:46.0,,,40-22,,T. Douglas misses 2-pt shot from 12 ft
7:45.0,Defensive rebound by R. Hibbert,,40-22,,
7:40.0,Indiana full timeout,,40-22,,
7:40.0,,,40-22,,T. Evans enters the game for T. Douglas
7:40.0,,,40-22,,E. Gordon enters the game for Q. Pondexter
7:40.0,S. Hill enters the game for R. Stuckey,,40-22,,
7:40.0,G. Hill enters the game for D. Rudez,,40-22,,
7:25.0,G. Hill makes 3-pt shot from 23 ft (assist by C. Watson),3,43-22,,
7:08.0,,,43-22,,L. Babbitt misses 2-pt shot from 4 ft
7:07.0,,,43-22,,Offensive rebound by A. Ajinca
7:04.0,,,43-22,,A. Ajinca misses 2-pt shot from 4 ft
7:01.0,,,43-22,,Offensive rebound by A. Ajinca
6:59.0,,,43-22,,A. Ajinca misses 2-pt shot from 2 ft (block by R. Hibbert)
6:58.0,Defensive rebound by R. Hibbert,,43-22,,
6:41.0,C. Watson misses 3-pt shot from 26 ft,,43-22,,
6:40.0,,,43-22,,Defensive rebound by A. Ajinca
6:31.0,,,43-22,,E. Gordon misses 3-pt shot from 26 ft
6:30.0,Defensive rebound by L. Scola,,43-22,,
6:16.0,Shooting foul by A. Ajinca (drawn by R. Hibbert),,43-22,,
6:16.0,R. Hibbert makes free throw 1 of 2,1,44-22,,
6:16.0,,,44-22,,O. Asik enters the game for A. Ajinca
6:16.0,R. Hibbert makes free throw 2 of 2,1,45-22,,
6:00.0,,,45-25,3,L. Babbitt makes 3-pt shot from 22 ft (assist by T. Evans)
5:44.0,L. Scola misses 2-pt shot from 18 ft,,45-25,,
5:43.0,,,45-25,,Defensive rebound by L. Babbitt
5:37.0,,,45-27,2,T. Evans makes 2-pt shot from 1 ft
5:20.0,R. Hibbert misses 2-pt shot from 3 ft,,45-27,,
5:18.0,,,45-27,,Defensive rebound by O. Asik
5:11.0,,,45-29,2,J. Fredette makes 2-pt shot from 7 ft (assist by T. Evans)
5:11.0,,,45-29,,Shooting foul by C. Watson (drawn by J. Fredette)
5:11.0,,,45-30,1,J. Fredette makes free throw 1 of 1
4:56.0,C. Watson makes 2-pt shot from 16 ft,2,47-30,,
4:37.0,,,47-30,,J. Fredette misses 2-pt shot from 16 ft
4:36.0,Defensive rebound by L. Scola,,47-30,,
4:30.0,C. Watson misses 2-pt shot from 14 ft (block by O. Asik),,47-30,,
4:30.0,,,47-30,,Defensive rebound by Team
4:30.0,Loose ball foul by R. Hibbert (drawn by O. Asik),,47-30,,
4:30.0,I. Mahinmi enters the game for R. Hibbert,,47-30,,
4:16.0,,,47-32,2,O. Asik makes 2-pt shot from 1 ft (assist by T. Evans)
3:50.0,Turnover by Team (shot clock),,47-32,,
3:50.0,D. West enters the game for L. Scola,,47-32,,
3:50.0,C. Miles enters the game for C. Watson,,47-32,,
3:38.0,,,47-32,,Turnover by T. Evans (bad pass; steal by G. Hill)
3:21.0,S. Hill misses 3-pt shot from 25 ft,,47-32,,
3:19.0,Offensive rebound by I. Mahinmi,,47-32,,
3:06.0,C. Miles misses 3-pt shot from 23 ft,,47-32,,
3:04.0,,,47-32,,Defensive rebound by J. Fredette
2:48.0,,,47-32,,Turnover by T. Evans (bad pass; steal by G. Hill)
2:29.0,G. Hill misses 2-pt shot from 20 ft,,47-32,,
2:26.0,Offensive rebound by I. Mahinmi,,47-32,,
2:09.0,Turnover by I. Mahinmi (lost ball; steal by T. Evans),,47-32,,
2:05.0,,,47-32,,Turnover by J. Fredette (lost ball)
2:05.0,,,47-32,,New Orleans full timeout
1:55.0,Shooting foul by E. Gordon (drawn by S. Hill),,47-32,,
1:55.0,S. Hill makes free throw 1 of 2,1,48-32,,
1:55.0,S. Hill makes free throw 2 of 2,1,49-32,,
1:35.0,,,49-32,,T. Evans misses 2-pt shot from 6 ft
1:33.0,Defensive rebound by G. Hill,,49-32,,
1:22.0,G. Hill makes 3-pt shot from 24 ft (assist by D. West),3,52-32,,
1:03.0,,,52-32,,Turnover by E. Gordon (bad pass; steal by D. West)
0:48.0,I. Mahinmi makes 2-pt shot from 2 ft (assist by D. West),2,54-32,,
0:35.0,,,54-35,3,E. Gordon makes 3-pt shot from 22 ft (assist by T. Evans)
0:15.0,G. Hill makes 3-pt shot from 25 ft (assist by D. West),3,57-35,,
0:02.0,,,57-35,,T. Evans misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by S. Hill,,57-35,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,57-38,3,E. Gordon makes 3-pt shot from 25 ft (assist by T. Evans)
11:24.0,C. Miles makes 2-pt shot from 15 ft (assist by S. Hill),2,59-38,,
11:09.0,,,59-38,,A. Ajinca misses 2-pt shot from 11 ft
11:07.0,,,59-38,,Offensive rebound by Team
10:50.0,,,59-40,2,O. Asik makes 2-pt shot at rim (assist by A. Ajinca)
10:26.0,C. Miles misses 3-pt shot from 30 ft,,59-40,,
10:24.0,,,59-40,,Defensive rebound by E. Gordon
10:14.0,,,59-40,,E. Gordon misses 3-pt shot from 24 ft
10:12.0,Defensive rebound by S. Hill,,59-40,,
9:52.0,R. Hibbert makes 2-pt shot from 3 ft (assist by G. Hill),2,61-40,,
9:52.0,Shooting foul by T. Evans (drawn by R. Hibbert),,61-40,,
9:52.0,R. Hibbert makes free throw 1 of 1,1,62-40,,
9:31.0,,,62-42,2,A. Ajinca makes 2-pt shot from 2 ft (assist by E. Gordon)
9:10.0,D. West misses 2-pt shot from 16 ft,,62-42,,
9:10.0,,,62-42,,Defensive rebound by Team
9:10.0,Loose ball foul by R. Hibbert (drawn by D. Cunningham),,62-42,,
9:10.0,I. Mahinmi enters the game for R. Hibbert,,62-42,,
8:58.0,,,62-42,,E. Gordon misses 2-pt shot from 17 ft
8:57.0,,,62-42,,Offensive rebound by Team
8:57.0,Loose ball foul by S. Hill (drawn by A. Ajinca),,62-42,,
8:52.0,,,62-42,,E. Gordon misses 3-pt shot from 25 ft
8:50.0,Defensive rebound by G. Hill,,62-42,,
8:41.0,S. Hill makes 2-pt shot from 2 ft (assist by G. Hill),2,64-42,,
8:20.0,,,64-42,,A. Ajinca misses 2-pt shot from 16 ft
8:18.0,,,64-42,,Offensive rebound by Team
8:18.0,Loose ball foul by I. Mahinmi (drawn by O. Asik),,64-42,,
8:08.0,,,64-42,,T. Evans misses 3-pt shot from 23 ft
8:07.0,Defensive rebound by Team,,64-42,,
7:44.0,G. Hill makes 2-pt shot from 4 ft (assist by D. West),2,66-42,,
7:27.0,,,66-42,,D. Cunningham misses 2-pt shot from 17 ft
7:26.0,Defensive rebound by I. Mahinmi,,66-42,,
7:19.0,D. West makes 2-pt shot from 17 ft (assist by G. Hill),2,68-42,,
7:00.0,,,68-42,,T. Evans misses 2-pt shot from 2 ft
6:56.0,Defensive rebound by I. Mahinmi,,68-42,,
6:47.0,G. Hill makes 3-pt shot from 27 ft,3,71-42,,
6:46.0,,,71-42,,New Orleans full timeout
6:46.0,,,71-42,,L. Babbitt enters the game for D. Cunningham
6:31.0,,,71-42,,E. Gordon misses 2-pt shot from 7 ft
6:30.0,,,71-42,,Offensive rebound by O. Asik
6:27.0,,,71-44,2,O. Asik makes 2-pt shot from 1 ft
6:03.0,G. Hill misses 3-pt shot from 24 ft,,71-44,,
6:02.0,,,71-44,,Defensive rebound by O. Asik
5:48.0,,,71-44,,Turnover by L. Babbitt (bad pass; steal by C. Miles)
5:41.0,C. Miles makes 2-pt shot from 2 ft (assist by G. Hill),2,73-44,,
5:16.0,,,73-44,,Turnover by Team (shot clock)
5:05.0,Turnover by G. Hill (bad pass; steal by E. Gordon),,73-44,,
4:54.0,,,73-46,2,A. Ajinca makes 2-pt shot from 18 ft (assist by T. Evans)
4:42.0,Shooting foul by T. Evans (drawn by G. Hill),,73-46,,
4:42.0,G. Hill makes 2-pt shot from 2 ft,2,75-46,,
4:42.0,,,75-46,,T. Douglas enters the game for T. Evans
4:42.0,R. Stuckey enters the game for C. Miles,,75-46,,
4:42.0,G. Hill makes free throw 1 of 1,1,76-46,,
4:23.0,,,76-46,,T. Douglas misses 2-pt shot from 7 ft
4:21.0,Defensive rebound by I. Mahinmi,,76-46,,
4:15.0,Turnover by D. West (traveling),,76-46,,
4:15.0,C. Watson enters the game for G. Hill,,76-46,,
4:03.0,Personal foul by S. Hill (drawn by E. Gordon),,76-46,,
3:50.0,,,76-46,,O. Asik misses 2-pt shot from 1 ft
3:50.0,,,76-46,,Offensive rebound by A. Ajinca
3:50.0,,,76-46,,Shooting foul by I. Mahinmi (drawn by A. Ajinca)
3:50.0,,,76-47,1,A. Ajinca makes free throw 1 of 2
3:50.0,L. Scola enters the game for I. Mahinmi,,76-47,,
3:50.0,,,76-47,,D. Cunningham enters the game for E. Gordon
3:50.0,,,76-47,,Q. Pondexter enters the game for O. Asik
3:50.0,,,76-48,1,A. Ajinca makes free throw 2 of 2
3:36.0,Turnover by L. Scola (lost ball),,76-48,,
3:23.0,Personal foul by S. Hill (drawn by L. Babbitt),,76-48,,
3:23.0,,,76-49,1,L. Babbitt makes free throw 1 of 2
3:23.0,D. Rudez enters the game for S. Hill,,76-49,,
3:23.0,,,76-50,1,L. Babbitt makes free throw 2 of 2
3:16.0,,,76-50,,Personal foul by T. Douglas (drawn by R. Stuckey)
3:04.0,D. West makes 2-pt shot from 17 ft (assist by C. Watson),2,78-50,,
2:45.0,,,78-50,,L. Babbitt misses 3-pt shot from 25 ft
2:43.0,,,78-50,,Offensive rebound by L. Babbitt
2:37.0,,,78-52,2,L. Babbitt makes 2-pt shot from 6 ft
2:20.0,R. Stuckey makes 2-pt shot from 2 ft,2,80-52,,
2:12.0,Personal foul by R. Stuckey (drawn by T. Douglas),,80-52,,
2:12.0,Indiana full timeout,,80-52,,
2:12.0,,,80-52,,T. Douglas misses free throw 1 of 2
2:12.0,,,80-52,,Offensive rebound by Team
2:12.0,,,80-53,1,T. Douglas makes free throw 2 of 2
2:01.0,R. Stuckey makes 2-pt shot from 1 ft (assist by D. West),2,82-53,,
1:52.0,Personal foul by D. West (drawn by A. Ajinca),,82-53,,
1:52.0,,,82-54,1,A. Ajinca makes free throw 1 of 2
1:52.0,,,82-55,1,A. Ajinca makes free throw 2 of 2
1:29.0,R. Stuckey misses 3-pt shot from 24 ft,,82-55,,
1:27.0,,,82-55,,Defensive rebound by T. Douglas
1:19.0,,,82-58,3,Q. Pondexter makes 3-pt shot from 24 ft (assist by T. Douglas)
1:00.0,D. Rudez makes 2-pt shot from 2 ft (assist by D. West),2,84-58,,
0:48.0,,,84-58,,Q. Pondexter misses 2-pt shot from 22 ft
0:46.0,Defensive rebound by D. West,,84-58,,
0:33.0,L. Scola makes 2-pt shot from 3 ft,2,86-58,,
0:33.0,Shooting foul by A. Ajinca (drawn by L. Scola),,86-58,,
0:33.0,,,86-58,,J. Withey enters the game for A. Ajinca
0:33.0,L. Scola makes free throw 1 of 1,1,87-58,,
0:22.0,,,87-60,2,T. Douglas makes 2-pt shot from 2 ft
0:03.0,R. Stuckey misses 2-pt shot from 2 ft,,87-60,,
0:03.0,Offensive rebound by D. West,,87-60,,
0:03.0,D. West makes 2-pt shot from 1 ft,2,89-60,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,Shooting foul by D. Cunningham (drawn by L. Scola),,89-60,,
11:37.0,L. Scola makes free throw 1 of 2,1,90-60,,
11:37.0,L. Scola makes free throw 2 of 2,1,91-60,,
11:24.0,,,91-60,,Turnover by T. Douglas (bad pass; steal by R. Hibbert)
11:04.0,D. Rudez makes 2-pt shot at rim (assist by G. Hill),2,93-60,,
10:47.0,,,93-60,,O. Asik enters the game for J. Withey
10:38.0,,,93-60,,D. Cunningham misses 2-pt shot from 14 ft
10:38.0,Defensive rebound by R. Hibbert,,93-60,,
10:15.0,R. Hibbert misses 2-pt shot from 12 ft,,93-60,,
10:14.0,,,93-60,,Defensive rebound by O. Asik
9:55.0,,,93-60,,Q. Pondexter misses 2-pt shot from 2 ft
9:53.0,Defensive rebound by L. Scola,,93-60,,
9:39.0,R. Hibbert misses 2-pt shot from 1 ft,,93-60,,
9:38.0,,,93-60,,Defensive rebound by L. Babbitt
9:26.0,,,93-62,2,Q. Pondexter makes 2-pt shot from 2 ft (assist by T. Douglas)
9:06.0,R. Hibbert makes 2-pt shot from 7 ft,2,95-62,,
8:48.0,,,95-62,,T. Douglas misses 2-pt shot from 20 ft
8:46.0,Defensive rebound by R. Hibbert,,95-62,,
8:32.0,C. Watson misses 3-pt shot from 23 ft,,95-62,,
8:31.0,,,95-62,,Defensive rebound by L. Babbitt
8:22.0,,,95-64,2,Q. Pondexter makes 2-pt shot from 10 ft
8:13.0,Offensive foul by R. Hibbert,,95-64,,
8:13.0,Turnover by R. Hibbert (offensive foul),,95-64,,
8:13.0,Official timeout,,95-64,,
8:13.0,I. Mahinmi enters the game for R. Hibbert,,95-64,,
8:13.0,,,95-64,,J. Fredette enters the game for D. Cunningham
7:59.0,,,95-64,,Shooting foul by C. Watson (drawn by O. Asik)
7:59.0,,,95-65,1,O. Asik makes free throw 1 of 2
7:59.0,,,95-65,,O. Asik misses free throw 2 of 2
7:57.0,Defensive rebound by L. Scola,,95-65,,
7:35.0,G. Hill misses 2-pt shot from 14 ft,,95-65,,
7:34.0,Offensive rebound by I. Mahinmi,,95-65,,
7:33.0,L. Scola makes 2-pt shot from 7 ft (assist by I. Mahinmi),2,97-65,,
7:08.0,,,97-68,3,L. Babbitt makes 3-pt shot from 25 ft (assist by J. Fredette)
6:54.0,D. Rudez makes 2-pt shot from 12 ft (assist by G. Hill),2,99-68,,
6:37.0,,,99-68,,J. Fredette misses 2-pt shot from 19 ft
6:36.0,Defensive rebound by L. Scola,,99-68,,
6:21.0,L. Scola misses 2-pt shot from 16 ft,,99-68,,
6:20.0,,,99-68,,Defensive rebound by O. Asik
6:07.0,,,99-68,,Shooting foul by C. Watson (drawn by T. Douglas)
6:07.0,,,99-68,,T. Douglas misses free throw 1 of 2
6:07.0,,,99-68,,Offensive rebound by Team
6:07.0,,,99-68,,J. Withey enters the game for Q. Pondexter
6:07.0,,,99-68,,A. Ajinca enters the game for O. Asik
6:07.0,D. Sloan enters the game for G. Hill,,99-68,,
6:07.0,,,99-69,1,T. Douglas makes free throw 2 of 2
5:58.0,Turnover by I. Mahinmi (lost ball),,99-69,,
5:58.0,,,99-69,,New Orleans full timeout
5:58.0,S. Whittington enters the game for I. Mahinmi,,99-69,,
5:58.0,C. Copeland enters the game for L. Scola,,99-69,,
5:46.0,,,99-71,2,J. Withey makes 2-pt shot at rim (assist by A. Ajinca)
5:35.0,Offensive foul by D. Rudez,,99-71,,
5:35.0,Turnover by D. Rudez (offensive foul),,99-71,,
5:16.0,,,99-73,2,J. Fredette makes 2-pt shot from 2 ft (assist by T. Douglas)
5:00.0,Turnover by C. Watson (lost ball; steal by T. Douglas),,99-73,,
4:55.0,,,99-75,2,L. Babbitt makes 2-pt shot at rim (assist by T. Douglas)
4:47.0,,,99-75,,Personal foul by T. Douglas (drawn by D. Sloan)
4:32.0,D. Rudez misses 2-pt shot from 21 ft,,99-75,,
4:31.0,,,99-75,,Defensive rebound by J. Withey
4:22.0,,,99-77,2,J. Withey makes 2-pt shot at rim (assist by J. Fredette)
4:05.0,C. Watson makes 3-pt shot from 25 ft (assist by D. Sloan),3,102-77,,
3:39.0,,,102-79,2,T. Douglas makes 2-pt shot from 3 ft (assist by J. Fredette)
3:20.0,C. Watson misses 2-pt shot from 21 ft,,102-79,,
3:19.0,,,102-79,,Defensive rebound by L. Babbitt
3:12.0,Violation by S. Whittington (kicked ball),,102-79,,
3:05.0,,,102-79,,Shooting foul by C. Copeland (drawn by T. Douglas)
3:05.0,,,102-80,1,T. Douglas makes free throw 1 of 2
3:05.0,,,102-80,,T. Douglas misses free throw 2 of 2
3:04.0,Defensive rebound by Team,,102-80,,
2:47.0,C. Copeland misses 3-pt shot from 27 ft,,102-80,,
2:45.0,,,102-80,,Defensive rebound by J. Withey
2:38.0,,,102-80,,A. Ajinca misses 2-pt shot from 5 ft
2:38.0,,,102-80,,Offensive rebound by Team
2:38.0,Loose ball foul by S. Whittington (drawn by J. Withey),,102-80,,
2:38.0,Indiana full timeout,,102-80,,
2:38.0,S. Hill enters the game for C. Watson,,102-80,,
2:31.0,Personal foul by S. Whittington (drawn by A. Ajinca),,102-80,,
2:31.0,,,102-81,1,A. Ajinca makes free throw 1 of 2
2:31.0,,,102-82,1,A. Ajinca makes free throw 2 of 2
2:18.0,Shooting foul by A. Ajinca (drawn by S. Whittington),,102-82,,
2:18.0,S. Whittington makes free throw 1 of 2,1,103-82,,
2:18.0,S. Whittington makes free throw 2 of 2,1,104-82,,
2:06.0,,,104-82,,J. Fredette misses 3-pt shot from 25 ft
2:04.0,Defensive rebound by S. Whittington,,104-82,,
1:52.0,S. Whittington misses 2-pt shot from 5 ft,,104-82,,
1:51.0,,,104-82,,Defensive rebound by J. Withey
1:47.0,,,104-84,2,T. Douglas makes 2-pt shot from 1 ft
1:32.0,C. Copeland misses 3-pt shot from 25 ft,,104-84,,
1:31.0,,,104-84,,Defensive rebound by L. Babbitt
1:27.0,,,104-86,2,J. Withey makes 2-pt shot at rim (assist by T. Douglas)
1:15.0,Turnover by S. Hill (lost ball; steal by J. Fredette),,104-86,,
1:11.0,,,104-88,2,J. Withey makes 2-pt shot from 2 ft (assist by J. Fredette)
0:58.0,Shooting foul by J. Fredette (drawn by S. Whittington),,104-88,,
0:58.0,S. Whittington makes free throw 1 of 2,1,105-88,,
0:58.0,S. Whittington makes free throw 2 of 2,1,106-88,,
0:42.0,,,106-90,2,J. Fredette makes 2-pt shot from 1 ft
0:23.0,S. Whittington misses 2-pt shot from 3 ft,,106-90,,
0:22.0,,,106-90,,Defensive rebound by J. Withey
0:13.0,,,106-93,3,T. Douglas makes 3-pt shot from 24 ft (assist by J. Fredette)
0:00.0,End of 4th quarter,,,,End of 4th quarter
