time,Minnesota,pts.away,score,pts.home,Denver
5:05.0,,,18-13,1,J. Hickson makes free throw 1 of 2
5:05.0,,,18-14,1,J. Hickson makes free throw 2 of 2
4:46.0,T. Young misses 2-pt shot at rim,,18-14,,
4:45.0,Offensive rebound by M. Williams,,18-14,,
4:41.0,M. Williams misses 2-pt shot from 18 ft,,18-14,,
4:41.0,,,18-14,,Defensive rebound by Team
4:33.0,,,18-14,,J. Hickson misses 2-pt shot from 6 ft
4:32.0,,,18-14,,Offensive rebound by Team
4:32.0,Loose ball foul by R. Hummel (drawn by J. Nurkic),,18-14,,
4:26.0,,,18-14,,J. Hickson misses 2-pt shot from 4 ft
4:25.0,,,18-14,,Offensive rebound by J. Nurkic
4:24.0,,,18-16,2,J. Nurkic makes 2-pt shot from 2 ft
4:08.0,A. Wiggins makes 3-pt shot from 24 ft (assist by M. Williams),3,21-16,,
3:55.0,,,21-18,2,T. Lawson makes 2-pt shot from 5 ft
3:42.0,Shooting foul by J. Nurkic (drawn by T. Young),,21-18,,
3:42.0,T. Young makes free throw 1 of 2,1,22-18,,
3:42.0,C. Budinger enters the game for R. Hummel,,22-18,,
3:42.0,,,22-18,,D. Arthur enters the game for J. Nurkic
3:42.0,T. Young makes free throw 2 of 2,1,23-18,,
3:32.0,Violation by G. Dieng (kicked ball),,23-18,,
3:32.0,A. Bennett enters the game for T. Young,,23-18,,
3:29.0,,,23-20,2,J. Hickson makes 2-pt shot at rim (assist by T. Lawson)
3:29.0,,,23-20,,Shooting foul by C. Budinger (drawn by J. Hickson)
3:29.0,,,23-21,1,J. Hickson makes free throw 1 of 1
3:19.0,Turnover by M. Williams (bad pass),,23-21,,
3:00.0,,,23-21,,W. Chandler misses 3-pt shot from 26 ft
2:59.0,Defensive rebound by A. Wiggins,,23-21,,
2:51.0,M. Williams makes 2-pt shot from 1 ft,2,25-21,,
2:39.0,,,25-23,2,D. Arthur makes 2-pt shot from 17 ft (assist by T. Lawson)
2:24.0,A. Wiggins makes 3-pt shot from 24 ft (assist by M. Williams),3,28-23,,
2:11.0,,,28-23,,T. Lawson misses 2-pt shot from 16 ft
2:10.0,Defensive rebound by G. Dieng,,28-23,,
1:56.0,A. Bennett misses 2-pt shot from 19 ft,,28-23,,
1:55.0,,,28-23,,Defensive rebound by A. Afflalo
1:49.0,,,28-25,2,A. Afflalo makes 2-pt shot from 19 ft
1:42.0,Minnesota full timeout,,28-25,,
1:42.0,,,28-25,,R. Foye enters the game for W. Chandler
1:42.0,,,28-25,,K. Faried enters the game for A. Afflalo
1:30.0,A. Wiggins makes 2-pt shot from 19 ft (assist by M. Williams),2,30-25,,
1:14.0,,,30-25,,Turnover by T. Lawson (bad pass; steal by A. Wiggins)
0:59.0,C. Budinger makes 3-pt shot from 25 ft (assist by G. Dieng),3,33-25,,
0:44.0,,,33-25,,R. Foye misses 2-pt shot from 20 ft (block by A. Wiggins)
0:42.0,,,33-25,,Offensive rebound by T. Lawson
0:36.0,,,33-25,,T. Lawson misses 2-pt shot from 2 ft
0:36.0,Defensive rebound by Team,,33-25,,
0:36.0,R. Hummel enters the game for A. Wiggins,,33-25,,
0:36.0,,,33-25,,J. Nelson enters the game for T. Lawson
0:26.0,A. Bennett makes 2-pt shot from 11 ft (assist by G. Dieng),2,35-25,,
0:06.0,,,35-25,,Turnover by D. Arthur (lost ball)
0:06.0,Z. LaVine enters the game for G. Dieng,,35-25,,
0:03.0,,,35-25,,Personal foul by R. Foye (drawn by Z. LaVine)
0:03.0,G. Dieng enters the game for Z. LaVine,,35-25,,
0:02.0,A. Wiggins enters the game for R. Hummel,,35-25,,
0:01.0,A. Wiggins misses 2-pt shot from 7 ft,,35-25,,
0:00.0,Offensive rebound by A. Bennett,,35-25,,
0:00.0,A. Bennett makes 2-pt shot at rim,2,37-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,37-25,,J. Hickson misses 2-pt shot from 8 ft
11:37.0,Defensive rebound by A. Bennett,,37-25,,
11:25.0,R. Hummel misses 2-pt shot from 19 ft,,37-25,,
11:24.0,,,37-25,,Defensive rebound by D. Arthur
11:23.0,,,37-25,,Turnover by D. Arthur (lost ball)
11:23.0,T. Young enters the game for G. Dieng,,37-25,,
11:08.0,A. Bennett makes 2-pt shot from 16 ft (assist by Z. LaVine),2,39-25,,
11:01.0,,,39-25,,Offensive foul by J. Nelson
11:01.0,,,39-25,,Turnover by J. Nelson (offensive foul)
10:51.0,Turnover by Z. LaVine (bad pass; steal by D. Arthur),,39-25,,
10:47.0,,,39-27,2,D. Arthur makes 2-pt shot at rim
10:22.0,Turnover by Z. LaVine (bad pass; steal by D. Arthur),,39-27,,
10:15.0,,,39-29,2,D. Arthur makes 2-pt shot from 2 ft (assist by J. Nelson)
10:15.0,Minnesota full timeout,,39-29,,
9:56.0,C. Budinger misses 2-pt shot from 3 ft (block by R. Foye),,39-29,,
9:56.0,Offensive rebound by Team,,39-29,,
9:50.0,T. Young makes 2-pt shot from 4 ft,2,41-29,,
9:35.0,,,41-29,,R. Foye misses 2-pt shot from 22 ft
9:33.0,Defensive rebound by A. Bennett,,41-29,,
9:26.0,Z. LaVine misses 2-pt shot from 17 ft,,41-29,,
9:25.0,,,41-29,,Defensive rebound by J. Hickson
9:18.0,,,41-32,3,J. Nelson makes 3-pt shot from 25 ft
8:55.0,R. Hummel makes 2-pt shot from 19 ft (assist by T. Young),2,43-32,,
8:41.0,,,43-34,2,J. Hickson makes 2-pt shot at rim (assist by J. Nelson)
8:23.0,Shooting foul by D. Arthur (drawn by A. Bennett),,43-34,,
8:23.0,A. Bennett makes free throw 1 of 2,1,44-34,,
8:23.0,A. Bennett misses free throw 2 of 2,,44-34,,
8:21.0,,,44-34,,Defensive rebound by J. Hickson
8:09.0,,,44-36,2,A. Gee makes 2-pt shot from 1 ft (assist by J. Nelson)
7:52.0,C. Budinger misses 3-pt shot from 24 ft (block by R. Foye),,44-36,,
7:50.0,,,44-36,,Defensive rebound by J. Hickson
7:41.0,,,44-38,2,J. Nelson makes 2-pt shot from 18 ft
7:27.0,R. Hummel misses 2-pt shot from 3 ft,,44-38,,
7:25.0,,,44-38,,Defensive rebound by J. Hickson
7:19.0,,,44-40,2,D. Arthur makes 2-pt shot from 21 ft (assist by R. Foye)
7:12.0,Minnesota full timeout,,44-40,,
7:10.0,M. Williams enters the game for C. Budinger,,44-40,,
7:10.0,A. Wiggins enters the game for Z. LaVine,,44-40,,
6:53.0,R. Hummel makes 2-pt shot from 18 ft (assist by T. Young),2,46-40,,
6:45.0,,,46-40,,J. Nelson misses 3-pt shot from 25 ft
6:42.0,,,46-40,,Offensive rebound by J. Hickson
6:42.0,,,46-40,,J. Hickson misses 2-pt shot at rim
6:37.0,Defensive rebound by R. Hummel,,46-40,,
6:22.0,A. Bennett misses 2-pt shot from 16 ft,,46-40,,
6:21.0,,,46-40,,Defensive rebound by J. Hickson
6:11.0,,,46-40,,R. Foye misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by A. Wiggins,,46-40,,
5:59.0,A. Wiggins makes 2-pt shot from 2 ft,2,48-40,,
5:53.0,,,48-40,,Shooting foul by R. Hummel (drawn by A. Gee)
5:53.0,Official timeout,,48-40,,
5:53.0,G. Dieng enters the game for A. Bennett,,48-40,,
5:53.0,,,48-40,,T. Lawson enters the game for J. Hickson
5:53.0,,,48-40,,A. Afflalo enters the game for D. Arthur
5:53.0,,,48-40,,J. Nurkic enters the game for R. Foye
5:53.0,,,48-40,,K. Faried enters the game for J. Nelson
5:53.0,,,48-41,1,A. Gee makes free throw 1 of 2
5:53.0,,,48-42,1,A. Gee makes free throw 2 of 2
5:38.0,Turnover by M. Williams (bad pass; steal by T. Lawson),,48-42,,
5:32.0,,,48-42,,A. Gee misses 2-pt shot from 2 ft
5:31.0,,,48-42,,Offensive rebound by J. Nurkic
5:24.0,,,48-45,3,A. Gee makes 3-pt shot from 22 ft (assist by J. Nurkic)
4:59.0,T. Young misses 2-pt shot from 20 ft,,48-45,,
4:58.0,,,48-45,,Defensive rebound by J. Nurkic
4:47.0,,,48-47,2,T. Lawson makes 2-pt shot from 17 ft
4:47.0,,,48-47,,Shooting foul by M. Williams (drawn by T. Lawson)
4:47.0,,,48-47,,W. Chandler enters the game for A. Gee
4:47.0,,,48-48,1,T. Lawson makes free throw 1 of 1
4:23.0,T. Young makes 2-pt shot from 2 ft,2,50-48,,
4:12.0,,,50-48,,J. Nurkic misses 2-pt shot from 4 ft
4:11.0,,,50-48,,Offensive rebound by K. Faried
4:05.0,,,50-48,,T. Lawson misses 3-pt shot from 26 ft
4:04.0,Defensive rebound by G. Dieng,,50-48,,
3:44.0,Turnover by A. Wiggins (bad pass; steal by T. Lawson),,50-48,,
3:39.0,,,50-50,2,K. Faried makes 2-pt shot at rim (assist by W. Chandler)
3:13.0,Turnover by M. Williams (bad pass),,50-50,,
2:52.0,,,50-53,3,A. Afflalo makes 3-pt shot from 24 ft (assist by W. Chandler)
2:29.0,A. Wiggins misses 2-pt shot from 20 ft,,50-53,,
2:28.0,,,50-53,,Defensive rebound by J. Nurkic
2:22.0,,,50-55,2,W. Chandler makes 2-pt shot from 16 ft (assist by T. Lawson)
2:21.0,Minnesota full timeout,,50-55,,
2:09.0,Shooting foul by J. Nurkic (drawn by A. Wiggins),,50-55,,
2:09.0,A. Wiggins makes free throw 1 of 2,1,51-55,,
2:09.0,,,51-55,,J. Hickson enters the game for J. Nurkic
2:09.0,A. Wiggins makes free throw 2 of 2,1,52-55,,
1:56.0,,,52-57,2,T. Lawson makes 2-pt shot from 18 ft
1:38.0,,,52-57,,Personal foul by W. Chandler (drawn by A. Wiggins)
1:29.0,M. Williams misses 3-pt shot from 25 ft,,52-57,,
1:28.0,,,52-57,,Defensive rebound by K. Faried
1:12.0,,,52-57,,J. Hickson misses 2-pt shot from 2 ft
1:11.0,Defensive rebound by G. Dieng,,52-57,,
1:00.0,R. Hummel misses 3-pt shot from 23 ft,,52-57,,
0:58.0,Offensive rebound by T. Young,,52-57,,
0:58.0,T. Young makes 2-pt shot at rim,2,54-57,,
0:41.0,,,54-59,2,J. Hickson makes 2-pt shot from 4 ft (assist by T. Lawson)
0:20.0,T. Young makes 2-pt shot from 1 ft (assist by A. Wiggins),2,56-59,,
0:00.0,,,56-59,,T. Lawson misses 2-pt shot from 19 ft
0:00.0,,,56-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,56-59,,W. Chandler misses 2-pt shot from 9 ft
11:46.0,Defensive rebound by R. Hummel,,56-59,,
11:25.0,T. Young makes 2-pt shot from 7 ft,2,58-59,,
11:08.0,,,58-59,,Turnover by K. Faried (bad pass; steal by T. Young)
11:03.0,T. Young misses 2-pt shot from 1 ft,,58-59,,
11:02.0,,,58-59,,Defensive rebound by A. Afflalo
10:57.0,Personal foul by A. Wiggins (drawn by J. Nurkic),,58-59,,
10:42.0,,,58-59,,J. Nurkic misses 2-pt shot from 5 ft
10:40.0,Defensive rebound by M. Williams,,58-59,,
10:21.0,M. Williams misses 3-pt shot from 26 ft,,58-59,,
10:20.0,,,58-59,,Defensive rebound by K. Faried
10:13.0,,,58-59,,A. Afflalo misses 3-pt shot from 25 ft
10:11.0,,,58-59,,Offensive rebound by A. Afflalo
9:56.0,,,58-59,,J. Nurkic misses 2-pt shot from 1 ft
9:53.0,,,58-59,,Offensive rebound by J. Nurkic
9:53.0,,,58-59,,J. Nurkic misses 2-pt shot at rim
9:51.0,Defensive rebound by R. Hummel,,58-59,,
9:40.0,R. Hummel misses 2-pt shot from 19 ft,,58-59,,
9:39.0,,,58-59,,Defensive rebound by A. Afflalo
9:33.0,,,58-61,2,W. Chandler makes 2-pt shot from 1 ft (assist by A. Afflalo)
9:16.0,,,58-61,,Personal foul by J. Nurkic (drawn by G. Dieng)
9:16.0,,,58-61,,J. Hickson enters the game for J. Nurkic
9:08.0,G. Dieng misses 2-pt shot from 1 ft,,58-61,,
9:07.0,,,58-61,,Defensive rebound by K. Faried
8:58.0,,,58-61,,T. Lawson misses 2-pt shot from 16 ft
8:57.0,Defensive rebound by Team,,58-61,,
8:57.0,,,58-61,,Loose ball foul by J. Hickson (drawn by T. Young)
8:39.0,Turnover by G. Dieng (3 sec),,58-61,,
8:25.0,,,58-61,,A. Afflalo misses 2-pt shot from 11 ft (block by A. Wiggins)
8:23.0,,,58-61,,Offensive rebound by J. Hickson
8:23.0,,,58-61,,Shooting foul by G. Dieng (drawn by J. Hickson)
8:23.0,,,58-62,1,J. Hickson makes free throw 1 of 2
8:23.0,,,58-63,1,J. Hickson makes free throw 2 of 2
8:14.0,Turnover by M. Williams (lost ball; steal by K. Faried),,58-63,,
8:12.0,,,58-65,2,K. Faried makes 2-pt shot at rim
8:12.0,Minnesota full timeout,,58-65,,
7:52.0,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng),2,60-65,,
7:52.0,Shooting foul by A. Afflalo (drawn by A. Wiggins),,60-65,,
7:52.0,A. Wiggins makes free throw 1 of 1,1,61-65,,
7:31.0,,,61-67,2,W. Chandler makes 2-pt shot from 6 ft
7:05.0,R. Hummel misses 2-pt shot from 17 ft,,61-67,,
7:04.0,,,61-67,,Defensive rebound by A. Afflalo
6:58.0,,,61-67,,Shooting foul by G. Dieng (drawn by T. Lawson)
6:58.0,,,61-68,1,T. Lawson makes free throw 1 of 2
6:58.0,,,61-69,1,T. Lawson makes free throw 2 of 2
6:36.0,T. Young makes 2-pt shot from 5 ft (assist by M. Williams),2,63-69,,
6:25.0,,,63-71,2,J. Hickson makes 2-pt shot from 1 ft (assist by T. Lawson)
6:25.0,,,63-71,,Shooting foul by T. Young (drawn by J. Hickson)
6:25.0,,,63-72,1,J. Hickson makes free throw 1 of 1
6:05.0,Shooting foul by J. Hickson (drawn by R. Hummel),,63-72,,
6:05.0,R. Hummel makes free throw 1 of 2,1,64-72,,
6:05.0,R. Hummel makes free throw 2 of 2,1,65-72,,
6:00.0,,,65-72,,A. Afflalo misses 3-pt shot from 23 ft
5:58.0,Defensive rebound by T. Young,,65-72,,
5:42.0,Shooting foul by W. Chandler (drawn by G. Dieng),,65-72,,
5:42.0,G. Dieng makes free throw 1 of 2,1,66-72,,
5:42.0,G. Dieng makes free throw 2 of 2,1,67-72,,
5:36.0,,,67-72,,W. Chandler misses 3-pt shot from 23 ft
5:35.0,Defensive rebound by G. Dieng,,67-72,,
5:14.0,T. Young makes 2-pt shot from 1 ft,2,69-72,,
4:58.0,,,69-72,,W. Chandler misses 3-pt shot from 25 ft
4:56.0,,,69-72,,Offensive rebound by T. Lawson
4:52.0,,,69-74,2,T. Lawson makes 2-pt shot from 1 ft
4:29.0,Turnover by G. Dieng (bad pass; steal by K. Faried),,69-74,,
4:26.0,,,69-74,,Turnover by K. Faried (lost ball; steal by G. Dieng)
4:21.0,A. Wiggins makes 2-pt shot from 2 ft (assist by T. Young),2,71-74,,
4:09.0,,,71-77,3,T. Lawson makes 3-pt shot from 25 ft
3:50.0,G. Dieng misses 2-pt shot from 18 ft,,71-77,,
3:49.0,,,71-77,,Defensive rebound by K. Faried
3:36.0,,,71-77,,Turnover by A. Afflalo (bad pass; steal by T. Young)
3:23.0,R. Hummel makes 2-pt shot from 23 ft (assist by G. Dieng),2,73-77,,
3:22.0,,,73-77,,Denver full timeout
3:22.0,Z. LaVine enters the game for M. Williams,,73-77,,
3:22.0,,,73-77,,D. Arthur enters the game for K. Faried
3:22.0,,,73-77,,J. Nelson enters the game for A. Afflalo
3:07.0,,,73-77,,D. Arthur misses 2-pt shot from 8 ft
3:06.0,Defensive rebound by T. Young,,73-77,,
2:43.0,R. Hummel misses 2-pt shot from 13 ft,,73-77,,
2:42.0,,,73-77,,Defensive rebound by T. Lawson
2:27.0,,,73-77,,J. Nelson misses 3-pt shot from 27 ft
2:26.0,,,73-77,,Offensive rebound by J. Hickson
2:23.0,,,73-77,,J. Hickson misses 2-pt shot from 4 ft (block by R. Hummel)
2:21.0,Defensive rebound by T. Young,,73-77,,
2:09.0,Shooting foul by D. Arthur (drawn by G. Dieng),,73-77,,
2:09.0,G. Dieng makes free throw 1 of 2,1,74-77,,
2:09.0,G. Dieng makes free throw 2 of 2,1,75-77,,
1:55.0,,,75-77,,D. Arthur misses 3-pt shot from 23 ft
1:54.0,Defensive rebound by R. Hummel,,75-77,,
1:45.0,A. Wiggins makes 3-pt shot from 27 ft (assist by Z. LaVine),3,78-77,,
1:33.0,,,78-77,,Shooting foul by Z. LaVine (drawn by T. Lawson)
1:33.0,,,78-77,,T. Lawson misses free throw 1 of 2
1:33.0,,,78-77,,Offensive rebound by Team
1:33.0,C. Budinger enters the game for G. Dieng,,78-77,,
1:33.0,A. Bennett enters the game for R. Hummel,,78-77,,
1:33.0,,,78-77,,A. Gee enters the game for W. Chandler
1:33.0,,,78-78,1,T. Lawson makes free throw 2 of 2
1:22.0,Turnover by A. Wiggins (lost ball; steal by D. Arthur),,78-78,,
1:17.0,,,78-78,,Turnover by D. Arthur (bad pass; steal by Z. LaVine)
1:13.0,C. Budinger makes 2-pt shot from 2 ft (assist by A. Wiggins),2,80-78,,
1:13.0,Shooting foul by A. Gee (drawn by C. Budinger),,80-78,,
1:13.0,C. Budinger makes free throw 1 of 1,1,81-78,,
1:00.0,,,81-81,3,J. Nelson makes 3-pt shot from 27 ft (assist by T. Lawson)
0:46.0,T. Young makes 2-pt shot from 6 ft (assist by Z. LaVine),2,83-81,,
0:41.0,,,83-81,,Turnover by J. Nelson (lost ball; steal by T. Young)
0:37.0,Z. LaVine makes 2-pt shot at rim,2,85-81,,
0:22.0,,,85-81,,D. Arthur misses 3-pt shot from 25 ft
0:18.0,Defensive rebound by A. Wiggins,,85-81,,
0:09.0,T. Young misses 3-pt shot from 22 ft,,85-81,,
0:07.0,,,85-81,,Defensive rebound by J. Hickson
0:00.0,,,85-83,2,J. Nelson makes 2-pt shot from 5 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,A. Wiggins misses 2-pt shot from 20 ft,,85-83,,
11:43.0,Offensive rebound by Z. LaVine,,85-83,,
11:42.0,Turnover by Z. LaVine (lost ball),,85-83,,
11:19.0,,,85-83,,A. Afflalo misses 3-pt shot from 26 ft
11:19.0,Defensive rebound by Team,,85-83,,
11:19.0,R. Hummel enters the game for A. Wiggins,,85-83,,
10:53.0,T. Young makes 2-pt shot from 2 ft,2,87-83,,
10:45.0,Personal foul by Z. LaVine (drawn by J. Nelson),,87-83,,
10:38.0,,,87-85,2,J. Nelson makes 2-pt shot from 21 ft (assist by J. Hickson)
10:21.0,,,87-85,,Personal foul by A. Afflalo (drawn by A. Bennett)
10:13.0,T. Young misses 2-pt shot from 2 ft (block by D. Arthur),,87-85,,
10:11.0,,,87-85,,Defensive rebound by A. Gee
10:04.0,,,87-85,,D. Arthur misses 2-pt shot from 16 ft
10:01.0,Defensive rebound by R. Hummel,,87-85,,
9:55.0,Z. LaVine makes 2-pt shot at rim,2,89-85,,
9:37.0,,,89-87,2,J. Nelson makes 2-pt shot from 1 ft
9:09.0,Z. LaVine makes 3-pt shot from 26 ft,3,92-87,,
8:55.0,,,92-87,,Shooting foul by R. Hummel (drawn by A. Afflalo)
8:55.0,Official timeout,,92-87,,
8:55.0,,,92-87,,K. Faried enters the game for D. Arthur
8:55.0,G. Dieng enters the game for T. Young,,92-87,,
8:55.0,,,92-88,1,A. Afflalo makes free throw 1 of 2
8:55.0,,,92-89,1,A. Afflalo makes free throw 2 of 2
8:43.0,Turnover by G. Dieng (3 sec),,92-89,,
8:32.0,Personal foul by Z. LaVine (drawn by J. Nelson),,92-89,,
8:32.0,A. Wiggins enters the game for Z. LaVine,,92-89,,
8:32.0,M. Williams enters the game for C. Budinger,,92-89,,
8:25.0,,,92-89,,J. Nelson misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by A. Wiggins,,92-89,,
8:08.0,A. Wiggins misses 2-pt shot from 5 ft,,92-89,,
8:07.0,,,92-89,,Defensive rebound by A. Afflalo
8:01.0,,,92-92,3,A. Afflalo makes 3-pt shot from 23 ft (assist by J. Nelson)
7:43.0,Turnover by R. Hummel (bad pass; steal by A. Afflalo),,92-92,,
7:36.0,,,92-92,,Turnover by A. Afflalo (lost ball)
7:23.0,M. Williams misses 3-pt shot from 24 ft,,92-92,,
7:22.0,,,92-92,,Defensive rebound by Team
7:14.0,,,92-92,,W. Chandler enters the game for J. Hickson
7:07.0,,,92-92,,W. Chandler misses 2-pt shot from 15 ft
7:05.0,Defensive rebound by R. Hummel,,92-92,,
6:51.0,A. Bennett misses 2-pt shot from 21 ft,,92-92,,
6:49.0,Offensive rebound by G. Dieng,,92-92,,
6:45.0,G. Dieng misses 2-pt shot from 20 ft,,92-92,,
6:44.0,,,92-92,,Defensive rebound by K. Faried
6:43.0,Personal foul by A. Bennett (drawn by K. Faried),,92-92,,
6:43.0,T. Young enters the game for A. Bennett,,92-92,,
6:35.0,Personal foul by G. Dieng (drawn by A. Gee),,92-92,,
6:35.0,,,92-93,1,A. Gee makes free throw 1 of 2
6:35.0,,,92-93,,A. Gee misses free throw 2 of 2
6:33.0,Defensive rebound by G. Dieng,,92-93,,
6:09.0,A. Wiggins misses 2-pt shot from 15 ft,,92-93,,
6:07.0,Offensive rebound by R. Hummel,,92-93,,
6:07.0,R. Hummel makes 2-pt shot at rim,2,94-93,,
5:55.0,,,94-95,2,J. Nelson makes 2-pt shot from 2 ft
5:27.0,T. Young misses 2-pt shot from 6 ft,,94-95,,
5:25.0,Offensive rebound by R. Hummel,,94-95,,
5:25.0,R. Hummel makes 2-pt shot at rim,2,96-95,,
5:11.0,,,96-95,,A. Gee misses 3-pt shot from 23 ft
5:10.0,Defensive rebound by T. Young,,96-95,,
5:08.0,Shooting foul by W. Chandler (drawn by T. Young),,96-95,,
5:08.0,,,96-95,,Denver full timeout
5:08.0,,,96-95,,T. Lawson enters the game for A. Gee
5:08.0,T. Young makes free throw 1 of 2,1,97-95,,
5:08.0,T. Young makes free throw 2 of 2,1,98-95,,
4:49.0,,,98-95,,A. Afflalo misses 2-pt shot from 19 ft
4:48.0,Defensive rebound by G. Dieng,,98-95,,
4:31.0,G. Dieng makes 2-pt shot from 17 ft (assist by A. Wiggins),2,100-95,,
4:16.0,,,100-95,,W. Chandler misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by R. Hummel,,100-95,,
4:04.0,A. Wiggins makes 2-pt shot from 4 ft (assist by M. Williams),2,102-95,,
4:04.0,Shooting foul by W. Chandler (drawn by A. Wiggins),,102-95,,
4:04.0,,,102-95,,J. Hickson enters the game for J. Nelson
4:04.0,A. Wiggins makes free throw 1 of 1,1,103-95,,
3:44.0,,,103-97,2,T. Lawson makes 2-pt shot from 6 ft
3:17.0,A. Wiggins misses 3-pt shot from 26 ft,,103-97,,
3:14.0,,,103-97,,Defensive rebound by J. Hickson
3:04.0,,,103-100,3,W. Chandler makes 3-pt shot from 23 ft (assist by A. Afflalo)
2:40.0,M. Williams makes 3-pt shot from 25 ft (assist by T. Young),3,106-100,,
2:28.0,,,106-100,,W. Chandler misses 3-pt shot from 25 ft
2:26.0,Defensive rebound by A. Wiggins,,106-100,,
2:07.0,G. Dieng makes 2-pt shot from 13 ft,2,108-100,,
2:07.0,,,108-100,,Denver full timeout
1:50.0,,,108-100,,T. Lawson misses 3-pt shot from 24 ft
1:48.0,Defensive rebound by G. Dieng,,108-100,,
