time,Orlando,pts.away,score,pts.home,Washington
5:13.0,V. Oladipo makes 2-pt shot from 18 ft (assist by T. Harris),2,30-40,,
5:01.0,Violation by N. Vucevic (kicked ball),,30-40,,
5:01.0,,,30-40,,J. Wall enters the game for A. Miller
5:01.0,,,30-40,,N. Hilario enters the game for K. Humphries
5:01.0,,,30-40,,P. Pierce enters the game for O. Porter
4:51.0,,,30-40,,K. Seraphin misses 2-pt shot from 5 ft
4:50.0,Defensive rebound by V. Oladipo,,30-40,,
4:40.0,N. Vucevic makes 2-pt shot from 1 ft (assist by V. Oladipo),2,32-40,,
4:22.0,,,32-40,,N. Hilario misses 2-pt shot from 15 ft
4:21.0,Defensive rebound by M. Harkless,,32-40,,
4:14.0,Shooting foul by P. Pierce (drawn by V. Oladipo),,32-40,,
4:14.0,V. Oladipo makes free throw 1 of 2,1,33-40,,
4:14.0,,,33-40,,M. Gortat enters the game for K. Seraphin
4:14.0,V. Oladipo makes free throw 2 of 2,1,34-40,,
3:53.0,,,34-42,2,M. Gortat makes 2-pt shot from 3 ft (assist by P. Pierce)
3:40.0,V. Oladipo misses 2-pt shot from 2 ft (block by M. Gortat),,34-42,,
3:38.0,Offensive rebound by N. Vucevic,,34-42,,
3:36.0,N. Vucevic makes 2-pt shot at rim,2,36-42,,
3:18.0,,,36-44,2,N. Hilario makes 2-pt shot at rim
3:00.0,V. Oladipo misses 2-pt shot from 19 ft,,36-44,,
2:59.0,,,36-44,,Defensive rebound by J. Wall
2:51.0,,,36-44,,J. Wall misses 2-pt shot from 1 ft
2:50.0,Defensive rebound by N. Vucevic,,36-44,,
2:31.0,Shooting foul by M. Gortat (drawn by V. Oladipo),,36-44,,
2:31.0,,,36-44,,Washington full timeout
2:31.0,C. Frye enters the game for E. Fournier,,36-44,,
2:31.0,V. Oladipo misses free throw 1 of 2,,36-44,,
2:31.0,Offensive rebound by Team,,36-44,,
2:31.0,V. Oladipo misses free throw 2 of 2,,36-44,,
2:30.0,,,36-44,,Defensive rebound by M. Gortat
2:16.0,,,36-46,2,N. Hilario makes 2-pt shot from 4 ft (assist by P. Pierce)
1:54.0,T. Harris makes 2-pt shot at rim (assist by C. Frye),2,38-46,,
1:37.0,,,38-46,,N. Hilario misses 2-pt shot from 8 ft
1:36.0,Defensive rebound by N. Vucevic,,38-46,,
1:28.0,V. Oladipo misses 2-pt shot from 2 ft (block by N. Hilario),,38-46,,
1:26.0,Offensive rebound by Team,,38-46,,
1:19.0,V. Oladipo misses 3-pt shot from 24 ft,,38-46,,
1:18.0,,,38-46,,Defensive rebound by R. Butler
1:01.0,,,38-48,2,J. Wall makes 2-pt shot from 17 ft
0:44.0,Turnover by M. Harkless (bad pass),,38-48,,
0:44.0,,,38-48,,K. Seraphin enters the game for M. Gortat
0:35.0,,,38-48,,J. Wall misses 2-pt shot from 19 ft
0:34.0,,,38-48,,Offensive rebound by Team
0:09.0,,,38-48,,P. Pierce misses 2-pt shot from 12 ft
0:08.0,Defensive rebound by C. Frye,,38-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Turnover by V. Oladipo (bad pass; steal by M. Gortat),,38-48,,
11:41.0,,,38-50,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
11:39.0,Orlando full timeout,,38-50,,
11:19.0,N. Vucevic makes 2-pt shot from 15 ft (assist by V. Oladipo),2,40-50,,
10:57.0,,,40-50,,M. Gortat misses 2-pt shot from 4 ft
10:56.0,Defensive rebound by V. Oladipo,,40-50,,
10:47.0,V. Oladipo misses 2-pt shot from 19 ft,,40-50,,
10:46.0,,,40-50,,Defensive rebound by P. Pierce
10:40.0,,,40-50,,Turnover by J. Wall (traveling)
10:25.0,C. Frye misses 3-pt shot from 25 ft,,40-50,,
10:24.0,,,40-50,,Defensive rebound by M. Gortat
10:18.0,,,40-50,,Shooting foul by T. Harris (drawn by P. Pierce)
10:18.0,,,40-51,1,P. Pierce makes free throw 1 of 2
10:18.0,,,40-52,1,P. Pierce makes free throw 2 of 2
10:01.0,Shooting foul by P. Pierce (drawn by T. Harris),,40-52,,
10:01.0,T. Harris makes free throw 1 of 2,1,41-52,,
10:01.0,T. Harris makes free throw 2 of 2,1,42-52,,
9:55.0,,,42-52,,Turnover by N. Hilario (bad pass)
9:38.0,Turnover by C. Frye (lost ball; steal by N. Hilario),,42-52,,
9:31.0,,,42-52,,G. Temple misses 2-pt shot from 4 ft (block by N. Vucevic)
9:30.0,Defensive rebound by T. Harris,,42-52,,
9:14.0,C. Frye makes 3-pt shot from 23 ft (assist by V. Oladipo),3,45-52,,
8:58.0,,,45-52,,P. Pierce misses 3-pt shot from 26 ft
8:57.0,,,45-52,,Offensive rebound by Team
8:51.0,,,45-52,,M. Gortat misses 2-pt shot from 17 ft
8:50.0,Defensive rebound by N. Vucevic,,45-52,,
8:28.0,N. Vucevic misses 2-pt shot from 14 ft,,45-52,,
8:27.0,,,45-52,,Defensive rebound by P. Pierce
8:13.0,,,45-52,,J. Wall misses 3-pt shot from 25 ft
8:12.0,,,45-52,,Offensive rebound by N. Hilario
8:05.0,Personal foul by E. Fournier (drawn by N. Hilario),,45-52,,
7:54.0,,,45-52,,P. Pierce misses 3-pt shot from 24 ft
7:53.0,Defensive rebound by N. Vucevic,,45-52,,
7:42.0,E. Fournier makes 3-pt shot from 26 ft (assist by V. Oladipo),3,48-52,,
7:42.0,,,48-52,,Washington full timeout
7:31.0,,,48-52,,J. Wall misses 2-pt shot from 16 ft
7:30.0,Defensive rebound by N. Vucevic,,48-52,,
7:11.0,E. Fournier misses 3-pt shot from 23 ft,,48-52,,
7:10.0,,,48-52,,Defensive rebound by M. Gortat
7:00.0,,,48-52,,P. Pierce misses 3-pt shot from 26 ft
6:59.0,,,48-52,,Offensive rebound by N. Hilario
6:49.0,,,48-54,2,P. Pierce makes 2-pt shot from 7 ft (assist by G. Temple)
6:33.0,,,48-54,,Personal foul by N. Hilario (drawn by C. Frye)
6:22.0,Shooting foul by N. Hilario (drawn by V. Oladipo),,48-54,,
6:22.0,V. Oladipo makes free throw 1 of 2,1,49-54,,
6:22.0,V. Oladipo makes free throw 2 of 2,1,50-54,,
6:14.0,Shooting block foul by N. Vucevic (drawn by P. Pierce),,50-54,,
6:14.0,,,50-55,1,P. Pierce makes free throw 1 of 2
6:14.0,,,50-56,1,P. Pierce makes free throw 2 of 2
6:00.0,Offensive foul by C. Frye,,50-56,,
6:00.0,Turnover by C. Frye (offensive foul),,50-56,,
5:38.0,,,50-56,,J. Wall misses 2-pt shot from 16 ft
5:36.0,Defensive rebound by T. Harris,,50-56,,
5:27.0,T. Harris makes 2-pt shot from 14 ft,2,52-56,,
5:14.0,,,52-56,,N. Hilario misses 2-pt shot from 15 ft
5:13.0,Defensive rebound by V. Oladipo,,52-56,,
5:04.0,V. Oladipo makes 2-pt shot from 12 ft,2,54-56,,
4:41.0,,,54-56,,J. Wall misses 2-pt shot from 19 ft
4:40.0,Defensive rebound by C. Frye,,54-56,,
4:29.0,V. Oladipo misses 3-pt shot from 26 ft,,54-56,,
4:28.0,,,54-56,,Defensive rebound by G. Temple
4:17.0,,,54-58,2,N. Hilario makes 2-pt shot from 14 ft
4:17.0,,,54-58,,Shooting foul by C. Frye (drawn by N. Hilario)
4:17.0,E. Payton enters the game for V. Oladipo,,54-58,,
4:17.0,,,54-58,,N. Hilario misses free throw 1 of 1
4:16.0,Defensive rebound by N. Vucevic,,54-58,,
3:57.0,T. Harris makes 2-pt shot at rim,2,56-58,,
3:39.0,,,56-60,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Wall)
3:15.0,,,56-60,,Personal foul by G. Temple (drawn by C. Frye)
3:15.0,,,56-60,,K. Humphries enters the game for N. Hilario
3:15.0,,,56-60,,O. Porter enters the game for P. Pierce
3:15.0,A. Gordon enters the game for C. Frye,,56-60,,
3:10.0,E. Fournier makes 2-pt shot from 6 ft,2,58-60,,
3:10.0,Shooting foul by G. Temple (drawn by E. Fournier),,58-60,,
3:10.0,E. Fournier makes free throw 1 of 1,1,59-60,,
3:01.0,,,59-62,2,O. Porter makes 2-pt shot from 21 ft (assist by J. Wall)
2:38.0,N. Vucevic misses 2-pt shot from 10 ft,,59-62,,
2:37.0,Offensive rebound by E. Payton,,59-62,,
2:31.0,Offensive foul by N. Vucevic,,59-62,,
2:31.0,Turnover by N. Vucevic (offensive foul),,59-62,,
2:31.0,Orlando full timeout,,59-62,,
2:31.0,C. Frye enters the game for N. Vucevic,,59-62,,
2:31.0,W. Green enters the game for E. Fournier,,59-62,,
2:21.0,,,59-64,2,O. Porter makes 2-pt shot from 17 ft (assist by J. Wall)
1:54.0,C. Frye makes 3-pt shot from 25 ft (assist by W. Green),3,62-64,,
1:39.0,,,62-66,2,M. Gortat makes 2-pt shot at rim (assist by J. Wall)
1:17.0,Turnover by T. Harris (lost ball; steal by O. Porter),,62-66,,
1:11.0,,,62-66,,K. Seraphin enters the game for M. Gortat
1:07.0,,,62-69,3,J. Wall makes 3-pt shot from 23 ft (assist by O. Porter)
0:48.0,E. Payton misses 2-pt shot from 5 ft,,62-69,,
0:47.0,,,62-69,,Defensive rebound by Team
0:39.0,,,62-69,,J. Wall misses 2-pt shot from 4 ft
0:38.0,Defensive rebound by C. Frye,,62-69,,
0:25.0,T. Harris misses 2-pt shot from 1 ft (block by G. Temple),,62-69,,
0:23.0,,,62-69,,Defensive rebound by G. Temple
0:02.0,,,62-69,,J. Wall misses 2-pt shot from 15 ft
0:01.0,Defensive rebound by T. Harris,,62-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,62-71,2,O. Porter makes 2-pt shot from 19 ft (assist by K. Seraphin)
11:23.0,Offensive foul by E. Fournier,,62-71,,
11:23.0,Turnover by E. Fournier (offensive foul),,62-71,,
11:10.0,,,62-71,,Turnover by K. Seraphin (discontinued dribble)
10:50.0,W. Green makes 2-pt shot from 20 ft,2,64-71,,
10:31.0,,,64-73,2,K. Seraphin makes 2-pt shot from 20 ft (assist by R. Butler)
10:16.0,W. Green makes 2-pt shot from 20 ft,2,66-73,,
9:52.0,,,66-76,3,R. Butler makes 3-pt shot from 23 ft
9:36.0,E. Payton makes 2-pt shot from 12 ft,2,68-76,,
9:09.0,,,68-76,,A. Miller misses 2-pt shot from 3 ft
9:08.0,Defensive rebound by C. Frye,,68-76,,
9:02.0,,,68-76,,Personal foul by K. Humphries (drawn by A. Gordon)
9:02.0,A. Gordon misses free throw 1 of 2,,68-76,,
9:02.0,Offensive rebound by Team,,68-76,,
9:02.0,A. Gordon misses free throw 2 of 2,,68-76,,
9:01.0,,,68-76,,Defensive rebound by K. Humphries
8:44.0,,,68-78,2,R. Butler makes 2-pt shot at rim (assist by A. Miller)
8:37.0,Orlando full timeout,,68-78,,
8:37.0,N. Vucevic enters the game for A. Gordon,,68-78,,
8:37.0,V. Oladipo enters the game for E. Payton,,68-78,,
8:25.0,V. Oladipo misses 2-pt shot at rim,,68-78,,
8:24.0,Offensive rebound by N. Vucevic,,68-78,,
8:23.0,N. Vucevic makes 2-pt shot at rim,2,70-78,,
8:09.0,,,70-80,2,K. Humphries makes 2-pt shot from 20 ft (assist by K. Seraphin)
7:55.0,V. Oladipo makes 2-pt shot from 19 ft,2,72-80,,
7:34.0,,,72-82,2,K. Humphries makes 2-pt shot from 19 ft (assist by O. Porter)
7:07.0,E. Fournier makes 3-pt shot from 24 ft,3,75-82,,
6:45.0,,,75-82,,K. Humphries misses 2-pt shot from 20 ft
6:43.0,Defensive rebound by V. Oladipo,,75-82,,
6:36.0,N. Vucevic makes 2-pt shot from 5 ft (assist by V. Oladipo),2,77-82,,
6:12.0,,,77-84,2,K. Humphries makes 2-pt shot from 12 ft (assist by R. Butler)
5:46.0,W. Green misses 2-pt shot from 6 ft,,77-84,,
5:45.0,,,77-84,,Defensive rebound by K. Humphries
5:39.0,,,77-86,2,O. Porter makes 2-pt shot from 18 ft (assist by A. Miller)
5:37.0,Orlando full timeout,,77-86,,
5:37.0,,,77-86,,J. Wall enters the game for A. Miller
5:37.0,T. Harris enters the game for W. Green,,77-86,,
5:37.0,,,77-86,,N. Hilario enters the game for K. Seraphin
5:25.0,Offensive foul by N. Vucevic,,77-86,,
5:25.0,Turnover by N. Vucevic (offensive foul),,77-86,,
5:10.0,,,77-88,2,O. Porter makes 2-pt shot from 10 ft
4:57.0,E. Fournier makes 2-pt shot at rim,2,79-88,,
4:37.0,,,79-88,,O. Porter misses 2-pt shot from 19 ft
4:36.0,,,79-88,,Offensive rebound by Team
4:30.0,,,79-88,,J. Wall misses 2-pt shot from 20 ft
4:29.0,Defensive rebound by T. Harris,,79-88,,
4:17.0,V. Oladipo makes 2-pt shot from 2 ft,2,81-88,,
4:17.0,Shooting foul by J. Wall (drawn by V. Oladipo),,81-88,,
4:17.0,V. Oladipo misses free throw 1 of 1,,81-88,,
4:16.0,,,81-88,,Defensive rebound by O. Porter
3:55.0,,,81-90,2,R. Butler makes 2-pt shot from 1 ft (assist by N. Hilario)
3:37.0,E. Fournier misses 2-pt shot from 1 ft,,81-90,,
3:36.0,,,81-90,,Defensive rebound by N. Hilario
3:33.0,,,81-92,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
3:23.0,Turnover by C. Frye (bad pass),,81-92,,
3:12.0,Personal foul by V. Oladipo (drawn by O. Porter),,81-92,,
3:05.0,,,81-92,,N. Hilario misses 2-pt shot from 4 ft (block by N. Vucevic)
3:03.0,Defensive rebound by T. Harris,,81-92,,
3:00.0,E. Fournier misses 2-pt shot from 3 ft (block by J. Wall),,81-92,,
2:57.0,Offensive rebound by V. Oladipo,,81-92,,
2:56.0,V. Oladipo makes 2-pt shot from 2 ft,2,83-92,,
2:46.0,Personal foul by T. Harris (drawn by O. Porter),,83-92,,
2:46.0,Official timeout,,83-92,,
2:30.0,,,83-92,,Turnover by Team (shot clock)
2:10.0,T. Harris makes 2-pt shot from 6 ft,2,85-92,,
1:51.0,,,85-94,2,N. Hilario makes 2-pt shot from 14 ft (assist by J. Wall)
1:34.0,Shooting foul by R. Butler (drawn by N. Vucevic),,85-94,,
1:34.0,N. Vucevic makes free throw 1 of 2,1,86-94,,
1:34.0,N. Vucevic makes free throw 2 of 2,1,87-94,,
1:12.0,,,87-94,,N. Hilario misses 2-pt shot from 16 ft
1:11.0,Defensive rebound by C. Frye,,87-94,,
1:05.0,E. Fournier makes 2-pt shot at rim (assist by C. Frye),2,89-94,,
0:42.0,,,89-96,2,K. Humphries makes 2-pt shot from 1 ft (assist by J. Wall)
0:36.0,V. Oladipo makes 2-pt shot from 13 ft,2,91-96,,
0:24.0,Personal take foul by T. Harris (drawn by K. Humphries),,91-96,,
0:24.0,A. Gordon enters the game for C. Frye,,91-96,,
0:24.0,M. Harkless enters the game for T. Harris,,91-96,,
0:24.0,,,91-96,,P. Pierce enters the game for K. Humphries
0:24.0,E. Payton enters the game for N. Vucevic,,91-96,,
0:21.0,Personal take foul by V. Oladipo (drawn by O. Porter),,91-96,,
0:21.0,,,91-96,,O. Porter misses free throw 1 of 2
0:21.0,,,91-96,,Offensive rebound by Team
0:21.0,,,91-96,,K. Humphries enters the game for P. Pierce
0:21.0,T. Harris enters the game for E. Payton,,91-96,,
0:21.0,N. Vucevic enters the game for A. Gordon,,91-96,,
0:21.0,C. Frye enters the game for M. Harkless,,91-96,,
0:21.0,,,91-97,1,O. Porter makes free throw 2 of 2
0:21.0,Orlando full timeout,,91-97,,
0:21.0,,,91-97,,G. Temple enters the game for K. Humphries
0:16.0,C. Frye misses 2-pt shot from 19 ft,,91-97,,
0:15.0,Offensive rebound by V. Oladipo,,91-97,,
0:13.0,Turnover by V. Oladipo (bad pass; steal by G. Temple),,91-97,,
0:12.0,Personal take foul by T. Harris (drawn by G. Temple),,91-97,,
0:12.0,,,91-97,,G. Temple misses free throw 1 of 2
0:12.0,,,91-97,,Offensive rebound by Team
0:12.0,,,91-98,1,G. Temple makes free throw 2 of 2
0:07.0,V. Oladipo makes 2-pt shot at rim,2,93-98,,
