time,New Orleans,pts.away,score,pts.home,LA Lakers
5:08.0,,,17-20,2,T. Black makes 2-pt shot at rim (assist by J. Clarkson)
4:46.0,O. Asik makes 2-pt shot from 1 ft (assist by D. Cunningham),2,19-20,,
4:37.0,,,19-20,,Shooting foul by T. Evans (drawn by W. Johnson)
4:37.0,,,19-21,1,W. Johnson makes free throw 1 of 2
4:37.0,,,19-21,,W. Johnson misses free throw 2 of 2
4:36.0,Defensive rebound by O. Asik,,19-21,,
4:13.0,T. Evans misses 2-pt shot from 1 ft,,19-21,,
4:12.0,Offensive rebound by O. Asik,,19-21,,
4:12.0,O. Asik misses 2-pt shot from 1 ft,,19-21,,
4:08.0,,,19-21,,Defensive rebound by J. Clarkson
4:03.0,,,19-21,,R. Kelly misses 3-pt shot from 25 ft
3:59.0,Defensive rebound by T. Evans,,19-21,,
3:57.0,A. Ajinca enters the game for O. Asik,,19-21,,
3:57.0,,,19-21,,W. Ellington enters the game for W. Johnson
3:47.0,D. Cunningham misses 2-pt shot from 19 ft,,19-21,,
3:46.0,,,19-21,,Defensive rebound by W. Ellington
3:35.0,,,19-21,,W. Ellington misses 3-pt shot from 26 ft
3:34.0,Defensive rebound by A. Ajinca,,19-21,,
3:19.0,E. Gordon misses 2-pt shot from 18 ft,,19-21,,
3:17.0,,,19-21,,Defensive rebound by J. Clarkson
3:07.0,,,19-23,2,T. Black makes 2-pt shot from 1 ft (assist by J. Clarkson)
2:54.0,Turnover by E. Gordon (discontinued dribble),,19-23,,
2:54.0,,,19-23,,LA Lakers full timeout
2:54.0,,,19-23,,J. Hill enters the game for T. Black
2:54.0,N. Cole enters the game for T. Evans,,19-23,,
2:46.0,,,19-23,,Turnover by J. Clarkson (lost ball; steal by N. Cole)
2:32.0,Shooting foul by R. Kelly (drawn by E. Gordon),,19-23,,
2:32.0,E. Gordon makes free throw 1 of 2,1,20-23,,
2:32.0,E. Gordon makes free throw 2 of 2,1,21-23,,
2:14.0,,,21-23,,J. Hill misses 2-pt shot from 15 ft
2:13.0,Defensive rebound by A. Davis,,21-23,,
1:59.0,D. Cunningham makes 2-pt shot from 20 ft (assist by A. Davis),2,23-23,,
1:44.0,,,23-25,2,J. Clarkson makes 2-pt shot from 2 ft
1:21.0,D. Cunningham makes 2-pt shot at rim (assist by A. Davis),2,25-25,,
1:06.0,,,25-25,,Shooting foul by E. Gordon (drawn by J. Brown)
1:06.0,,,25-26,1,J. Brown makes free throw 1 of 2
1:06.0,,,25-26,,C. Boozer enters the game for R. Kelly
1:06.0,R. Anderson enters the game for A. Davis,,25-26,,
1:06.0,T. Douglas enters the game for E. Gordon,,25-26,,
1:06.0,,,25-26,,J. Brown misses free throw 2 of 2
1:05.0,Defensive rebound by N. Cole,,25-26,,
0:53.0,A. Ajinca misses 2-pt shot from 6 ft,,25-26,,
0:52.0,Offensive rebound by Team,,25-26,,
0:44.0,N. Cole makes 2-pt shot from 6 ft,2,27-26,,
0:31.0,,,27-26,,J. Brown misses 3-pt shot from 24 ft
0:29.0,,,27-26,,Offensive rebound by J. Hill
0:28.0,,,27-26,,Shooting foul by A. Ajinca (drawn by J. Hill)
0:28.0,,,27-28,2,J. Hill makes 2-pt shot from 1 ft
0:28.0,,,27-29,1,J. Hill makes free throw 1 of 1
0:07.0,N. Cole makes 2-pt shot from 22 ft,2,29-29,,
0:01.0,,,29-29,,Shooting foul by T. Douglas (drawn by J. Clarkson)
0:01.0,,,29-30,1,J. Clarkson makes free throw 1 of 2
0:01.0,,,29-31,1,J. Clarkson makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,29-31,,Personal foul by W. Ellington (drawn by R. Anderson)
11:40.0,R. Anderson misses 2-pt shot from 16 ft,,29-31,,
11:36.0,Offensive rebound by N. Cole,,29-31,,
11:25.0,Shooting foul by C. Boozer (drawn by A. Ajinca),,29-31,,
11:25.0,A. Ajinca makes free throw 1 of 2,1,30-31,,
11:25.0,A. Ajinca makes free throw 2 of 2,1,31-31,,
11:07.0,,,31-31,,W. Ellington misses 2-pt shot from 18 ft
11:05.0,Defensive rebound by D. Cunningham,,31-31,,
10:55.0,A. Ajinca makes 2-pt shot at rim (assist by N. Cole),2,33-31,,
10:46.0,Personal foul by T. Douglas (drawn by J. Lin),,33-31,,
10:39.0,,,33-33,2,J. Lin makes 2-pt shot from 16 ft
10:24.0,R. Anderson makes 2-pt shot at rim (assist by N. Cole),2,35-33,,
10:06.0,,,35-33,,C. Boozer misses 2-pt shot from 18 ft
10:05.0,,,35-33,,Offensive rebound by J. Hill
9:57.0,,,35-35,2,J. Hill makes 2-pt shot from 16 ft (assist by W. Ellington)
9:38.0,D. Cunningham makes 2-pt shot at rim (assist by A. Ajinca),2,37-35,,
9:12.0,,,37-35,,C. Boozer misses 2-pt shot from 10 ft
9:09.0,Defensive rebound by A. Ajinca,,37-35,,
8:58.0,A. Ajinca misses 2-pt shot from 7 ft,,37-35,,
8:52.0,,,37-35,,Defensive rebound by C. Boozer
8:43.0,,,37-35,,J. Hill misses 2-pt shot from 15 ft
8:42.0,Defensive rebound by T. Douglas,,37-35,,
8:31.0,N. Cole makes 2-pt shot from 9 ft,2,39-35,,
8:30.0,,,39-35,,LA Lakers full timeout
8:30.0,T. Evans enters the game for A. Ajinca,,39-35,,
8:30.0,A. Davis enters the game for T. Douglas,,39-35,,
8:11.0,,,39-35,,Turnover by J. Hill (bad pass; steal by A. Davis)
8:05.0,T. Evans makes 2-pt shot at rim,2,41-35,,
7:44.0,,,41-35,,J. Hill misses 2-pt shot from 5 ft (block by A. Davis)
7:42.0,Defensive rebound by A. Davis,,41-35,,
7:40.0,Shooting foul by J. Hill (drawn by A. Davis),,41-35,,
7:40.0,A. Davis makes free throw 1 of 2,1,42-35,,
7:40.0,A. Davis makes free throw 2 of 2,1,43-35,,
7:18.0,,,43-35,,J. Lin misses 2-pt shot from 11 ft
7:16.0,,,43-35,,Offensive rebound by J. Hill
7:15.0,,,43-37,2,J. Hill makes 2-pt shot at rim
6:52.0,R. Anderson misses 2-pt shot from 1 ft,,43-37,,
6:50.0,,,43-37,,Defensive rebound by C. Boozer
6:31.0,,,43-37,,C. Boozer misses 2-pt shot from 7 ft
6:30.0,,,43-37,,Offensive rebound by J. Hill
6:26.0,,,43-37,,Turnover by Team (back court)
6:26.0,,,43-37,,T. Black enters the game for J. Brown
6:26.0,,,43-37,,R. Kelly enters the game for J. Hill
6:26.0,,,43-37,,W. Johnson enters the game for C. Boozer
6:26.0,E. Gordon enters the game for D. Cunningham,,43-37,,
6:26.0,O. Asik enters the game for R. Anderson,,43-37,,
6:11.0,T. Evans misses 3-pt shot from 23 ft,,43-37,,
6:10.0,Offensive rebound by O. Asik,,43-37,,
6:08.0,O. Asik makes 2-pt shot from 1 ft,2,45-37,,
5:52.0,,,45-40,3,W. Ellington makes 3-pt shot from 25 ft (assist by R. Kelly)
5:29.0,A. Davis misses 2-pt shot from 12 ft,,45-40,,
5:28.0,,,45-40,,Defensive rebound by W. Johnson
5:20.0,,,45-40,,J. Lin misses 2-pt shot from 2 ft (block by A. Davis)
5:18.0,Defensive rebound by T. Evans,,45-40,,
4:58.0,N. Cole misses 2-pt shot from 18 ft,,45-40,,
4:57.0,,,45-40,,Defensive rebound by J. Lin
4:53.0,,,45-40,,J. Lin misses 2-pt shot from 2 ft (block by N. Cole)
4:53.0,Defensive rebound by Team,,45-40,,
4:53.0,Official timeout,,45-40,,
4:37.0,A. Davis makes 2-pt shot from 15 ft (assist by E. Gordon),2,47-40,,
4:17.0,,,47-42,2,R. Kelly makes 2-pt shot from 10 ft (assist by J. Lin)
3:59.0,E. Gordon makes 3-pt shot from 23 ft (assist by T. Evans),3,50-42,,
3:38.0,,,50-44,2,T. Black makes 2-pt shot at rim (assist by W. Johnson)
3:06.0,E. Gordon misses 2-pt shot from 7 ft,,50-44,,
3:05.0,Offensive rebound by O. Asik,,50-44,,
3:02.0,O. Asik misses 2-pt shot from 1 ft (block by T. Black),,50-44,,
2:59.0,Offensive rebound by O. Asik,,50-44,,
2:47.0,A. Davis misses 2-pt shot from 17 ft,,50-44,,
2:46.0,Offensive rebound by O. Asik,,50-44,,
2:44.0,O. Asik misses 2-pt shot at rim,,50-44,,
2:43.0,,,50-44,,Defensive rebound by W. Johnson
2:24.0,,,50-44,,J. Lin misses 2-pt shot from 1 ft (block by O. Asik)
2:22.0,,,50-44,,Offensive rebound by T. Black
2:22.0,,,50-44,,T. Black misses 2-pt shot from 13 ft
2:22.0,,,50-44,,Offensive rebound by Team
2:22.0,,,50-44,,Turnover by Team (shot clock)
2:22.0,New Orleans full timeout,,50-44,,
2:22.0,Q. Pondexter enters the game for N. Cole,,50-44,,
2:22.0,,,50-44,,J. Clarkson enters the game for J. Lin
2:00.0,T. Evans makes 2-pt shot from 2 ft,2,52-44,,
1:33.0,,,52-47,3,W. Ellington makes 3-pt shot from 24 ft (assist by R. Kelly)
1:23.0,,,52-47,,Personal foul by J. Clarkson (drawn by T. Evans)
1:23.0,R. Anderson enters the game for O. Asik,,52-47,,
1:10.0,R. Anderson makes 3-pt shot from 27 ft (assist by T. Evans),3,55-47,,
0:53.0,Personal foul by T. Evans (drawn by T. Black),,55-47,,
0:44.0,,,55-47,,W. Ellington misses 3-pt shot from 23 ft
0:43.0,,,55-47,,Offensive rebound by W. Johnson
0:40.0,,,55-47,,W. Johnson misses 2-pt shot from 14 ft
0:40.0,Defensive rebound by Team,,55-47,,
0:27.0,R. Anderson makes 3-pt shot from 24 ft (assist by T. Evans),3,58-47,,
0:07.0,,,58-49,2,J. Clarkson makes 2-pt shot from 2 ft
0:00.0,T. Evans makes 2-pt shot from 1 ft,2,60-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,A. Davis makes 2-pt shot from 1 ft (assist by Q. Pondexter),2,62-49,,
11:30.0,,,62-51,2,R. Kelly makes 2-pt shot from 17 ft (assist by J. Lin)
11:14.0,Q. Pondexter makes 2-pt shot from 22 ft (assist by T. Evans),2,64-51,,
10:50.0,,,64-51,,T. Black misses 2-pt shot from 6 ft
10:47.0,Defensive rebound by O. Asik,,64-51,,
10:36.0,,,64-51,,Shooting block foul by T. Black (drawn by E. Gordon)
10:36.0,E. Gordon misses free throw 1 of 2,,64-51,,
10:36.0,Offensive rebound by Team,,64-51,,
10:36.0,E. Gordon makes free throw 2 of 2,1,65-51,,
10:17.0,,,65-53,2,R. Kelly makes 2-pt shot from 21 ft (assist by J. Clarkson)
9:52.0,Q. Pondexter makes 2-pt shot from 1 ft (assist by A. Davis),2,67-53,,
9:44.0,,,67-56,3,R. Kelly makes 3-pt shot from 23 ft (assist by J. Clarkson)
9:26.0,T. Evans misses 3-pt shot from 24 ft,,67-56,,
9:25.0,,,67-56,,Defensive rebound by W. Johnson
9:12.0,,,67-56,,J. Lin misses 2-pt shot from 10 ft
9:11.0,Defensive rebound by O. Asik,,67-56,,
9:05.0,Turnover by T. Evans (lost ball; steal by J. Lin),,67-56,,
8:59.0,,,67-56,,Shooting foul by E. Gordon (drawn by J. Lin)
8:59.0,,,67-56,,J. Lin misses free throw 1 of 2
8:59.0,,,67-56,,Offensive rebound by Team
8:59.0,,,67-57,1,J. Lin makes free throw 2 of 2
8:44.0,A. Davis makes 2-pt shot at rim (assist by T. Evans),2,69-57,,
8:33.0,Personal foul by E. Gordon (drawn by J. Lin),,69-57,,
8:28.0,Personal foul by T. Evans (drawn by J. Clarkson),,69-57,,
8:22.0,,,69-57,,W. Johnson misses 2-pt shot from 20 ft
8:21.0,Defensive rebound by O. Asik,,69-57,,
8:10.0,Q. Pondexter makes 3-pt shot from 24 ft (assist by T. Evans),3,72-57,,
7:58.0,,,72-57,,R. Kelly misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by E. Gordon,,72-57,,
7:51.0,,,72-57,,Personal foul by R. Kelly (drawn by A. Davis)
7:39.0,T. Evans makes 2-pt shot from 1 ft (assist by A. Davis),2,74-57,,
7:23.0,,,74-57,,R. Kelly misses 3-pt shot from 25 ft
7:22.0,,,74-57,,Offensive rebound by J. Lin
7:20.0,,,74-57,,J. Lin misses 2-pt shot from 4 ft
7:19.0,Defensive rebound by Team,,74-57,,
7:04.0,A. Davis makes 2-pt shot from 17 ft (assist by E. Gordon),2,76-57,,
6:56.0,,,76-57,,LA Lakers full timeout
6:56.0,,,76-57,,J. Brown enters the game for J. Lin
6:39.0,,,76-59,2,T. Black makes 2-pt shot from 7 ft
6:23.0,O. Asik makes 2-pt shot from 2 ft,2,78-59,,
6:07.0,,,78-59,,J. Clarkson misses 2-pt shot from 18 ft
6:06.0,Defensive rebound by A. Davis,,78-59,,
5:51.0,E. Gordon misses 3-pt shot from 23 ft,,78-59,,
5:50.0,,,78-59,,Defensive rebound by J. Clarkson
5:45.0,,,78-61,2,J. Brown makes 2-pt shot from 21 ft (assist by J. Clarkson)
5:25.0,E. Gordon makes 3-pt shot from 26 ft (assist by T. Evans),3,81-61,,
5:01.0,,,81-61,,W. Johnson misses 2-pt shot from 16 ft
5:00.0,Defensive rebound by E. Gordon,,81-61,,
4:49.0,Turnover by A. Davis (traveling),,81-61,,
4:43.0,,,81-61,,Shooting foul by T. Evans (drawn by J. Clarkson)
4:43.0,,,81-62,1,J. Clarkson makes free throw 1 of 2
4:43.0,N. Cole enters the game for T. Evans,,81-62,,
4:43.0,,,81-62,,J. Clarkson misses free throw 2 of 2
4:41.0,Defensive rebound by O. Asik,,81-62,,
4:29.0,,,81-62,,Shooting block foul by J. Brown (drawn by E. Gordon)
4:29.0,E. Gordon makes free throw 1 of 2,1,82-62,,
4:29.0,E. Gordon misses free throw 2 of 2,,82-62,,
4:26.0,,,82-62,,Defensive rebound by Team
4:10.0,,,82-62,,W. Johnson misses 3-pt shot from 24 ft
4:09.0,Defensive rebound by A. Davis,,82-62,,
3:56.0,Q. Pondexter misses 3-pt shot from 25 ft,,82-62,,
3:56.0,Offensive rebound by Team,,82-62,,
3:56.0,,,82-62,,Loose ball foul by T. Black (drawn by O. Asik)
3:56.0,,,82-62,,J. Hill enters the game for R. Kelly
3:56.0,,,82-62,,C. Boozer enters the game for T. Black
3:44.0,Turnover by E. Gordon (bad pass; steal by C. Boozer),,82-62,,
3:39.0,,,82-64,2,W. Johnson makes 2-pt shot at rim (assist by C. Boozer)
3:23.0,A. Davis makes 2-pt shot from 16 ft (assist by N. Cole),2,84-64,,
3:01.0,,,84-64,,J. Brown misses 2-pt shot from 12 ft
3:00.0,,,84-64,,Offensive rebound by J. Clarkson
2:56.0,,,84-64,,J. Hill misses 2-pt shot from 17 ft
2:55.0,,,84-64,,Offensive rebound by W. Johnson
2:55.0,,,84-66,2,W. Johnson makes 2-pt shot at rim
2:44.0,New Orleans full timeout,,84-66,,
2:44.0,D. Cunningham enters the game for Q. Pondexter,,84-66,,
2:44.0,A. Ajinca enters the game for O. Asik,,84-66,,
2:27.0,A. Davis misses 2-pt shot from 15 ft,,84-66,,
2:25.0,,,84-66,,Defensive rebound by W. Johnson
2:13.0,,,84-66,,C. Boozer misses 2-pt shot from 1 ft (block by A. Davis)
2:10.0,Defensive rebound by A. Davis,,84-66,,
2:03.0,N. Cole makes 2-pt shot from 18 ft,2,86-66,,
1:46.0,,,86-68,2,C. Boozer makes 2-pt shot from 1 ft (assist by J. Clarkson)
1:32.0,,,86-68,,Violation by W. Johnson (lane)
1:32.0,R. Anderson enters the game for A. Davis,,86-68,,
1:32.0,T. Douglas enters the game for E. Gordon,,86-68,,
1:23.0,N. Cole misses 2-pt shot from 9 ft,,86-68,,
1:22.0,Offensive rebound by A. Ajinca,,86-68,,
1:17.0,A. Ajinca makes 2-pt shot from 5 ft,2,88-68,,
1:06.0,,,88-70,2,J. Clarkson makes 2-pt shot from 6 ft
0:44.0,A. Ajinca misses 2-pt shot from 8 ft,,88-70,,
0:43.0,,,88-70,,Defensive rebound by J. Hill
0:25.0,,,88-70,,C. Boozer misses 2-pt shot from 17 ft
0:24.0,Defensive rebound by T. Douglas,,88-70,,
0:02.0,N. Cole makes 2-pt shot from 1 ft,2,90-70,,
0:00.0,,,90-70,,W. Johnson misses 3-pt shot from 41 ft
0:00.0,,,90-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,,,90-70,,J. Hill misses 2-pt shot from 7 ft
11:33.0,Defensive rebound by R. Anderson,,90-70,,
11:18.0,R. Anderson makes 2-pt shot from 18 ft (assist by N. Cole),2,92-70,,
10:54.0,,,92-70,,Turnover by J. Hill (bad pass; steal by T. Douglas)
10:49.0,N. Cole makes 3-pt shot from 23 ft (assist by T. Douglas),3,95-70,,
10:29.0,,,95-70,,W. Ellington misses 3-pt shot from 24 ft
10:28.0,,,95-70,,Offensive rebound by Team
10:24.0,,,95-70,,Turnover by W. Ellington (bad pass)
10:04.0,R. Anderson misses 2-pt shot from 16 ft,,95-70,,
10:02.0,,,95-70,,Defensive rebound by C. Boozer
9:54.0,,,95-72,2,J. Clarkson makes 2-pt shot from 20 ft
9:36.0,N. Cole makes 2-pt shot from 12 ft (assist by R. Anderson),2,97-72,,
9:12.0,,,97-72,,C. Boozer misses 2-pt shot from 2 ft
9:11.0,Defensive rebound by R. Anderson,,97-72,,
9:06.0,T. Douglas misses 2-pt shot from 11 ft,,97-72,,
9:03.0,,,97-72,,Defensive rebound by J. Hill
8:51.0,,,97-74,2,W. Ellington makes 2-pt shot from 1 ft
8:25.0,A. Ajinca misses 2-pt shot from 10 ft,,97-74,,
8:21.0,,,97-74,,Defensive rebound by J. Hill
8:20.0,,,97-76,2,J. Hill makes 2-pt shot from 1 ft (assist by J. Clarkson)
8:20.0,,,97-76,,Shooting foul by R. Anderson (drawn by J. Hill)
8:20.0,A. Davis enters the game for A. Ajinca,,97-76,,
8:20.0,,,97-77,1,J. Hill makes free throw 1 of 1
8:01.0,N. Cole makes 2-pt shot from 1 ft (assist by A. Davis),2,99-77,,
7:49.0,Personal foul by T. Douglas (drawn by J. Brown),,99-77,,
7:44.0,Violation by T. Douglas (kicked ball),,99-77,,
7:32.0,,,99-79,2,W. Ellington makes 2-pt shot from 1 ft
7:12.0,Shooting foul by W. Ellington (drawn by R. Anderson),,99-79,,
7:12.0,R. Anderson makes free throw 1 of 2,1,100-79,,
7:12.0,,,100-79,,J. Lin enters the game for J. Clarkson
7:12.0,R. Anderson makes free throw 2 of 2,1,101-79,,
6:58.0,,,101-82,3,J. Brown makes 3-pt shot from 25 ft (assist by W. Ellington)
6:35.0,N. Cole misses 2-pt shot from 2 ft (block by J. Hill),,101-82,,
6:35.0,,,101-82,,Defensive rebound by Team
6:17.0,,,101-82,,W. Ellington misses 2-pt shot from 21 ft
6:16.0,Defensive rebound by D. Cunningham,,101-82,,
6:04.0,R. Anderson misses 3-pt shot from 25 ft,,101-82,,
6:02.0,Offensive rebound by T. Douglas,,101-82,,
5:58.0,A. Davis makes 2-pt shot at rim (assist by T. Douglas),2,103-82,,
5:48.0,,,103-84,2,C. Boozer makes 2-pt shot from 16 ft (assist by J. Lin)
5:30.0,,,103-84,,Loose ball foul by C. Boozer (drawn by A. Davis)
5:30.0,,,103-84,,LA Lakers full timeout
5:30.0,T. Evans enters the game for D. Cunningham,,103-84,,
5:22.0,Turnover by T. Douglas (bad pass; steal by C. Boozer),,103-84,,
5:17.0,,,103-84,,C. Boozer misses 2-pt shot from 1 ft
5:14.0,Defensive rebound by R. Anderson,,103-84,,
5:00.0,T. Evans misses 2-pt shot from 2 ft,,103-84,,
4:59.0,,,103-84,,Defensive rebound by J. Lin
4:49.0,,,103-84,,J. Hill misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by T. Douglas,,103-84,,
4:33.0,Shooting foul by C. Boozer (drawn by R. Anderson),,103-84,,
4:33.0,R. Anderson makes free throw 1 of 2,1,104-84,,
4:33.0,,,104-84,,T. Black enters the game for J. Hill
4:33.0,,,104-84,,R. Kelly enters the game for C. Boozer
4:33.0,R. Anderson misses free throw 2 of 2,,104-84,,
4:31.0,,,104-84,,Defensive rebound by R. Kelly
4:11.0,,,104-86,2,T. Black makes 2-pt shot from 1 ft
3:56.0,R. Anderson misses 3-pt shot from 24 ft,,104-86,,
3:55.0,Offensive rebound by A. Davis,,104-86,,
3:38.0,N. Cole misses 3-pt shot from 25 ft,,104-86,,
3:37.0,,,104-86,,Defensive rebound by T. Black
3:30.0,,,104-86,,J. Brown misses 2-pt shot from 2 ft (block by A. Davis)
3:25.0,Defensive rebound by T. Douglas,,104-86,,
3:25.0,Shooting foul by J. Lin (drawn by T. Evans),,104-86,,
3:25.0,T. Evans makes free throw 1 of 2,1,105-86,,
3:25.0,J. Withey enters the game for A. Davis,,105-86,,
3:25.0,T. Evans makes free throw 2 of 2,1,106-86,,
3:05.0,,,106-88,2,J. Lin makes 2-pt shot from 3 ft (assist by J. Brown)
2:45.0,Shooting foul by R. Kelly (drawn by R. Anderson),,106-88,,
2:45.0,New Orleans full timeout,,106-88,,
2:45.0,L. Babbitt enters the game for T. Evans,,106-88,,
2:45.0,R. Anderson makes free throw 1 of 2,1,107-88,,
2:45.0,R. Anderson makes free throw 2 of 2,1,108-88,,
2:31.0,,,108-88,,R. Kelly misses 2-pt shot from 17 ft
2:30.0,Defensive rebound by T. Douglas,,108-88,,
2:12.0,R. Anderson misses 2-pt shot from 15 ft,,108-88,,
2:10.0,,,108-88,,Defensive rebound by W. Ellington
2:02.0,,,108-88,,Turnover by J. Brown (step out of bounds)
2:02.0,J. Fredette enters the game for N. Cole,,108-88,,
1:38.0,T. Douglas misses 2-pt shot from 14 ft,,108-88,,
1:38.0,Offensive rebound by Team,,108-88,,
1:38.0,Turnover by Team (shot clock),,108-88,,
1:30.0,,,108-88,,Shooting foul by J. Withey (drawn by J. Lin)
1:30.0,,,108-89,1,J. Lin makes free throw 1 of 2
1:30.0,,,108-90,1,J. Lin makes free throw 2 of 2
1:15.0,Turnover by J. Withey (bad pass; steal by W. Ellington),,108-90,,
1:15.0,Personal foul by J. Withey (drawn by W. Ellington),,108-90,,
1:15.0,,,108-90,,W. Ellington misses free throw 1 of 2
1:15.0,,,108-90,,Offensive rebound by Team
1:15.0,,,108-91,1,W. Ellington makes free throw 2 of 2
1:05.0,Shooting foul by T. Black (drawn by J. Withey),,108-91,,
1:05.0,J. Withey misses free throw 1 of 2,,108-91,,
1:05.0,Offensive rebound by Team,,108-91,,
1:05.0,J. Withey makes free throw 2 of 2,1,109-91,,
0:59.0,Personal foul by T. Douglas (drawn by J. Lin),,109-91,,
0:59.0,,,109-91,,J. Lin misses free throw 1 of 2
0:59.0,,,109-91,,Offensive rebound by Team
0:59.0,,,109-92,1,J. Lin makes free throw 2 of 2
0:49.0,R. Anderson makes 2-pt shot from 21 ft (assist by J. Fredette),2,111-92,,
0:34.0,,,111-92,,W. Ellington misses 3-pt shot from 25 ft
0:32.0,,,111-92,,Offensive rebound by Team
0:25.0,,,111-92,,J. Brown misses 2-pt shot from 1 ft (block by J. Withey)
0:22.0,Defensive rebound by T. Douglas,,111-92,,
0:21.0,T. Douglas makes 2-pt shot from 1 ft,2,113-92,,
0:21.0,Shooting foul by R. Kelly (drawn by T. Douglas),,113-92,,
0:21.0,T. Douglas misses free throw 1 of 1,,113-92,,
0:19.0,,,113-92,,Defensive rebound by T. Black
0:02.0,,,113-92,,J. Brown misses 2-pt shot from 2 ft
0:01.0,,,113-92,,Offensive rebound by J. Brown
0:01.0,,,113-92,,J. Brown misses 2-pt shot at rim
0:01.0,Defensive rebound by J. Withey,,113-92,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
