time,Golden State,pts.away,score,pts.home,Memphis
3:36.0,Defensive rebound by Team,,27-14,,
3:36.0,Golden State full timeout,,27-14,,
3:23.0,K. Thompson misses 2-pt shot from 11 ft,,27-14,,
3:20.0,,,27-14,,Defensive rebound by C. Lee
3:01.0,,,27-14,,M. Conley misses 3-pt shot from 26 ft
3:00.0,Defensive rebound by D. Green,,27-14,,
2:49.0,K. Thompson makes 2-pt shot from 14 ft (assist by H. Barnes),2,29-14,,
2:42.0,,,29-14,,Shooting foul by D. Green (drawn by M. Conley)
2:42.0,,,29-14,,M. Conley misses free throw 1 of 2
2:42.0,,,29-14,,Offensive rebound by Team
2:42.0,S. Livingston enters the game for K. Thompson,,29-14,,
2:42.0,D. Lee enters the game for H. Barnes,,29-14,,
2:42.0,,,29-15,1,M. Conley makes free throw 2 of 2
2:22.0,Turnover by S. Livingston (step out of bounds),,29-15,,
2:22.0,,,29-15,,K. Koufos enters the game for Z. Randolph
2:04.0,,,29-15,,M. Conley misses 3-pt shot from 25 ft
2:03.0,,,29-15,,Offensive rebound by K. Koufos
2:00.0,,,29-17,2,K. Koufos makes 2-pt shot from 7 ft
1:51.0,S. Curry makes 3-pt shot from 24 ft,3,32-17,,
1:41.0,Personal foul by S. Livingston (drawn by M. Conley),,32-17,,
1:27.0,,,32-17,,M. Gasol misses 2-pt shot from 8 ft
1:25.0,,,32-17,,Offensive rebound by M. Gasol
1:25.0,,,32-17,,M. Gasol misses 2-pt shot from 1 ft
1:23.0,Defensive rebound by D. Lee,,32-17,,
1:15.0,S. Curry misses 3-pt shot from 26 ft,,32-17,,
1:14.0,,,32-17,,Defensive rebound by K. Koufos
1:01.0,Personal foul by D. Lee (drawn by M. Gasol),,32-17,,
1:01.0,,,32-18,1,M. Gasol makes free throw 1 of 2
1:01.0,,,32-18,,V. Carter enters the game for C. Lee
1:01.0,,,32-19,1,M. Gasol makes free throw 2 of 2
0:51.0,Turnover by S. Livingston (bad pass; steal by M. Conley),,32-19,,
0:42.0,,,32-19,,Turnover by M. Conley (lost ball)
0:32.0,S. Curry misses 2-pt shot from 22 ft,,32-19,,
0:31.0,,,32-19,,Defensive rebound by M. Conley
0:11.0,,,32-19,,V. Carter misses 2-pt shot from 19 ft
0:10.0,,,32-19,,Offensive rebound by J. Green
0:01.0,,,32-19,,M. Conley misses 2-pt shot from 7 ft
0:00.0,Defensive rebound by A. Iguodala,,32-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,32-19,,J. Green misses 2-pt shot at rim
11:46.0,Defensive rebound by Team,,32-19,,
11:29.0,D. Lee misses 2-pt shot from 15 ft,,32-19,,
11:28.0,,,32-19,,Defensive rebound by J. Green
11:18.0,Personal foul by H. Barnes (drawn by M. Gasol),,32-19,,
11:12.0,,,32-21,2,B. Udrih makes 2-pt shot from 15 ft
10:56.0,A. Iguodala misses 3-pt shot from 24 ft,,32-21,,
10:55.0,,,32-21,,Defensive rebound by K. Koufos
10:45.0,,,32-21,,V. Carter misses 3-pt shot from 25 ft
10:44.0,,,32-21,,Offensive rebound by J. Green
10:40.0,,,32-21,,Shooting foul by D. Lee (drawn by V. Carter)
10:40.0,,,32-23,2,V. Carter makes 2-pt shot at rim (assist by J. Green)
10:40.0,,,32-23,,V. Carter misses free throw 1 of 1
10:39.0,Defensive rebound by D. Lee,,32-23,,
10:28.0,S. Livingston makes 2-pt shot at rim,2,34-23,,
10:12.0,Violation by D. Lee (kicked ball),,34-23,,
10:03.0,,,34-25,2,M. Gasol makes 2-pt shot from 6 ft (assist by K. Koufos)
9:44.0,A. Iguodala misses 3-pt shot from 26 ft,,34-25,,
9:43.0,,,34-25,,Defensive rebound by K. Koufos
9:34.0,,,34-25,,B. Udrih misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by H. Barnes,,34-25,,
9:20.0,S. Livingston makes 2-pt shot from 15 ft (assist by A. Iguodala),2,36-25,,
8:59.0,,,36-25,,B. Udrih misses 2-pt shot from 20 ft
8:58.0,Defensive rebound by A. Iguodala,,36-25,,
8:53.0,D. Lee makes 2-pt shot at rim (assist by A. Iguodala),2,38-25,,
8:46.0,,,38-25,,Memphis full timeout
8:46.0,A. Bogut enters the game for H. Barnes,,38-25,,
8:46.0,,,38-25,,Z. Randolph enters the game for M. Gasol
8:40.0,Violation by S. Livingston (kicked ball),,38-25,,
8:30.0,,,38-27,2,K. Koufos makes 2-pt shot from 10 ft (assist by Z. Randolph)
8:14.0,K. Thompson misses 2-pt shot from 16 ft,,38-27,,
8:13.0,,,38-27,,Defensive rebound by J. Green
8:06.0,,,38-29,2,J. Green makes 2-pt shot from 17 ft
7:47.0,S. Livingston makes 2-pt shot from 10 ft (assist by K. Thompson),2,40-29,,
7:37.0,,,40-31,2,B. Udrih makes 2-pt shot from 12 ft
7:24.0,K. Thompson makes 2-pt shot from 15 ft (assist by A. Bogut),2,42-31,,
7:09.0,,,42-31,,Shooting foul by A. Bogut (drawn by V. Carter)
7:09.0,,,42-32,1,V. Carter makes free throw 1 of 2
7:09.0,,,42-32,,M. Conley enters the game for B. Udrih
7:09.0,S. Curry enters the game for A. Iguodala,,42-32,,
7:09.0,D. Green enters the game for D. Lee,,42-32,,
7:09.0,,,42-33,1,V. Carter makes free throw 2 of 2
6:52.0,A. Bogut makes 2-pt shot from 1 ft (assist by D. Green),2,44-33,,
6:43.0,,,44-33,,Turnover by Z. Randolph (bad pass; steal by D. Green)
6:37.0,Turnover by K. Thompson (bad pass; steal by K. Koufos),,44-33,,
6:26.0,,,44-33,,Z. Randolph misses 2-pt shot from 14 ft
6:25.0,,,44-33,,Offensive rebound by K. Koufos
6:21.0,,,44-33,,Shooting foul by A. Bogut (drawn by V. Carter)
6:21.0,,,44-34,1,V. Carter makes free throw 1 of 2
6:21.0,,,44-34,,C. Lee enters the game for K. Koufos
6:21.0,H. Barnes enters the game for A. Bogut,,44-34,,
6:21.0,,,44-35,1,V. Carter makes free throw 2 of 2
6:05.0,S. Curry misses 3-pt shot from 26 ft,,44-35,,
6:05.0,,,44-35,,Defensive rebound by Z. Randolph
5:58.0,,,44-35,,J. Green misses 2-pt shot from 5 ft
5:58.0,Defensive rebound by Team,,44-35,,
5:58.0,,,44-35,,Loose ball foul by Z. Randolph (drawn by D. Green)
5:58.0,Golden State full timeout,,44-35,,
5:50.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,46-35,,
5:31.0,,,46-35,,M. Conley misses 2-pt shot from 1 ft
5:29.0,Defensive rebound by D. Green,,46-35,,
5:19.0,S. Curry makes 2-pt shot from 21 ft,2,48-35,,
5:11.0,,,48-35,,Shooting foul by S. Curry (drawn by Z. Randolph)
5:11.0,,,48-35,,Z. Randolph misses free throw 1 of 2
5:11.0,,,48-35,,Offensive rebound by Team
5:11.0,,,48-35,,M. Gasol enters the game for J. Green
5:11.0,,,48-36,1,Z. Randolph makes free throw 2 of 2
5:02.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,50-36,,
4:45.0,,,50-39,3,V. Carter makes 3-pt shot from 26 ft (assist by M. Conley)
4:34.0,Turnover by S. Curry (traveling),,50-39,,
4:15.0,,,50-39,,Z. Randolph misses 2-pt shot from 7 ft
4:13.0,Defensive rebound by D. Green,,50-39,,
4:08.0,,,50-39,,Personal foul by M. Conley (drawn by K. Thompson)
4:08.0,Golden State full timeout,,50-39,,
4:00.0,D. Green misses 3-pt shot from 25 ft,,50-39,,
3:59.0,Offensive rebound by K. Thompson,,50-39,,
3:57.0,A. Iguodala enters the game for S. Livingston,,50-39,,
3:49.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,52-39,,
3:25.0,,,52-39,,C. Lee misses 2-pt shot from 19 ft
3:23.0,,,52-39,,Offensive rebound by Team
3:14.0,,,52-39,,C. Lee misses 2-pt shot from 2 ft (block by D. Green)
3:11.0,Defensive rebound by D. Green,,52-39,,
3:07.0,H. Barnes misses 3-pt shot from 25 ft,,52-39,,
3:05.0,,,52-39,,Defensive rebound by M. Gasol
2:53.0,,,52-39,,M. Gasol misses 2-pt shot from 9 ft
2:53.0,,,52-39,,Offensive rebound by Team
2:53.0,Loose ball foul by A. Iguodala (drawn by Z. Randolph),,52-39,,
2:53.0,,,52-40,1,Z. Randolph makes free throw 1 of 2
2:53.0,,,52-40,,J. Green enters the game for C. Lee
2:53.0,,,52-41,1,Z. Randolph makes free throw 2 of 2
2:35.0,D. Green makes 2-pt shot from 2 ft (assist by A. Iguodala),2,54-41,,
2:13.0,,,54-43,2,M. Gasol makes 2-pt shot from 5 ft (assist by M. Conley)
1:56.0,S. Curry misses 2-pt shot from 10 ft,,54-43,,
1:54.0,,,54-43,,Defensive rebound by M. Gasol
1:47.0,,,54-43,,M. Gasol misses 2-pt shot from 15 ft
1:46.0,Defensive rebound by S. Curry,,54-43,,
1:40.0,Shooting foul by Z. Randolph (drawn by D. Green),,54-43,,
1:40.0,D. Green misses free throw 1 of 2,,54-43,,
1:40.0,Offensive rebound by Team,,54-43,,
1:40.0,,,54-43,,C. Lee enters the game for Z. Randolph
1:40.0,D. Green makes free throw 2 of 2,1,55-43,,
1:28.0,,,55-45,2,M. Gasol makes 2-pt shot at rim (assist by M. Conley)
1:16.0,K. Thompson misses 3-pt shot from 24 ft,,55-45,,
1:14.0,,,55-45,,Defensive rebound by Team
1:06.0,,,55-45,,M. Conley misses 2-pt shot from 1 ft
1:04.0,Defensive rebound by K. Thompson,,55-45,,
0:59.0,K. Thompson makes 2-pt shot from 1 ft,2,57-45,,
0:59.0,Shooting foul by V. Carter (drawn by K. Thompson),,57-45,,
0:59.0,K. Thompson makes free throw 1 of 1,1,58-45,,
0:46.0,Personal foul by D. Green (drawn by M. Gasol),,58-45,,
0:46.0,,,58-46,1,M. Gasol makes free throw 1 of 2
0:46.0,D. Lee enters the game for D. Green,,58-46,,
0:46.0,,,58-46,,N. Calathes enters the game for M. Conley
0:46.0,,,58-47,1,M. Gasol makes free throw 2 of 2
0:23.0,K. Thompson misses 2-pt shot from 13 ft,,58-47,,
0:22.0,,,58-47,,Defensive rebound by N. Calathes
0:16.0,,,58-47,,Memphis full timeout
0:16.0,,,58-47,,M. Conley enters the game for N. Calathes
0:01.0,,,58-49,2,C. Lee makes 2-pt shot from 21 ft (assist by V. Carter)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,58-51,2,M. Gasol makes 2-pt shot from 15 ft (assist by M. Conley)
11:29.0,K. Thompson misses 2-pt shot from 9 ft,,58-51,,
11:27.0,,,58-51,,Defensive rebound by M. Gasol
11:11.0,,,58-53,2,M. Gasol makes 2-pt shot from 7 ft
11:00.0,,,58-53,,Personal foul by C. Lee (drawn by K. Thompson)
10:46.0,D. Green misses 3-pt shot from 24 ft,,58-53,,
10:45.0,,,58-53,,Defensive rebound by M. Gasol
10:34.0,,,58-53,,M. Gasol misses 2-pt shot from 12 ft
10:32.0,Defensive rebound by S. Curry,,58-53,,
10:23.0,A. Bogut misses 2-pt shot from 8 ft (block by M. Gasol),,58-53,,
10:23.0,Offensive rebound by Team,,58-53,,
10:17.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,61-53,,
9:57.0,,,61-53,,M. Gasol misses 2-pt shot from 18 ft
9:56.0,Defensive rebound by K. Thompson,,61-53,,
9:42.0,S. Curry misses 2-pt shot at rim,,61-53,,
9:41.0,,,61-53,,Defensive rebound by M. Gasol
9:34.0,,,61-53,,C. Lee misses 3-pt shot from 26 ft
9:33.0,Defensive rebound by K. Thompson,,61-53,,
9:10.0,S. Curry misses 2-pt shot at rim (block by M. Gasol),,61-53,,
9:07.0,,,61-53,,Defensive rebound by Z. Randolph
8:58.0,,,61-53,,Z. Randolph misses 2-pt shot from 2 ft (block by H. Barnes)
8:56.0,,,61-53,,Offensive rebound by Z. Randolph
8:56.0,,,61-53,,Z. Randolph misses 2-pt shot from 5 ft (block by A. Bogut)
8:53.0,Defensive rebound by K. Thompson,,61-53,,
8:45.0,,,61-53,,Personal foul by J. Green (drawn by D. Green)
8:37.0,H. Barnes misses 3-pt shot from 26 ft,,61-53,,
8:36.0,,,61-53,,Defensive rebound by M. Gasol
8:23.0,,,61-53,,Shooting foul by A. Bogut (drawn by Z. Randolph)
8:23.0,,,61-54,1,Z. Randolph makes free throw 1 of 2
8:23.0,D. Lee enters the game for A. Bogut,,61-54,,
8:23.0,,,61-55,1,Z. Randolph makes free throw 2 of 2
8:11.0,S. Curry misses 2-pt shot from 15 ft,,61-55,,
8:09.0,,,61-55,,Defensive rebound by Z. Randolph
7:54.0,,,61-55,,J. Green misses 2-pt shot from 22 ft
7:54.0,Defensive rebound by S. Curry,,61-55,,
7:40.0,D. Green misses 3-pt shot from 26 ft,,61-55,,
7:39.0,Offensive rebound by D. Lee,,61-55,,
7:34.0,D. Lee misses 2-pt shot from 2 ft (block by M. Gasol),,61-55,,
7:34.0,,,61-55,,Defensive rebound by Team
7:10.0,,,61-55,,Z. Randolph misses 2-pt shot from 15 ft
7:09.0,Defensive rebound by D. Green,,61-55,,
7:00.0,S. Curry misses 2-pt shot from 22 ft,,61-55,,
6:58.0,Offensive rebound by H. Barnes,,61-55,,
6:49.0,S. Curry misses 2-pt shot from 14 ft,,61-55,,
6:45.0,,,61-55,,Defensive rebound by J. Green
6:32.0,,,61-57,2,Z. Randolph makes 2-pt shot at rim (assist by M. Conley)
6:32.0,Golden State full timeout,,61-57,,
6:19.0,Turnover by D. Green (traveling),,61-57,,
5:58.0,,,61-57,,Shooting foul by D. Green (drawn by M. Gasol)
5:58.0,,,61-58,1,M. Gasol makes free throw 1 of 2
5:58.0,A. Iguodala enters the game for H. Barnes,,61-58,,
5:58.0,,,61-58,,M. Gasol misses free throw 2 of 2
5:57.0,Defensive rebound by D. Green,,61-58,,
5:46.0,K. Thompson makes 2-pt shot from 10 ft (assist by S. Curry),2,63-58,,
5:18.0,,,63-58,,M. Conley misses 3-pt shot from 27 ft
5:17.0,Defensive rebound by K. Thompson,,63-58,,
5:02.0,D. Green misses 2-pt shot from 1 ft (block by M. Gasol),,63-58,,
5:00.0,,,63-58,,Defensive rebound by M. Gasol
4:51.0,,,63-60,2,Z. Randolph makes 2-pt shot from 1 ft (assist by M. Gasol)
4:37.0,K. Thompson misses 3-pt shot from 26 ft,,63-60,,
4:36.0,,,63-60,,Defensive rebound by Z. Randolph
4:23.0,,,63-60,,M. Conley misses 3-pt shot from 23 ft
4:22.0,,,63-60,,Offensive rebound by Z. Randolph
4:20.0,,,63-60,,Z. Randolph misses 2-pt shot at rim (block by D. Lee)
4:18.0,Defensive rebound by D. Lee,,63-60,,
4:10.0,Turnover by S. Curry (lost ball),,63-60,,
3:59.0,Personal foul by S. Curry (drawn by M. Gasol),,63-60,,
3:59.0,S. Livingston enters the game for K. Thompson,,63-60,,
3:55.0,Shooting block foul by D. Green (drawn by J. Green),,63-60,,
3:55.0,,,63-61,1,J. Green makes free throw 1 of 2
3:55.0,Golden State full timeout,,63-61,,
3:55.0,F. Ezeli enters the game for D. Green,,63-61,,
3:55.0,H. Barnes enters the game for D. Lee,,63-61,,
3:55.0,,,63-62,1,J. Green makes free throw 2 of 2
3:43.0,H. Barnes makes 2-pt shot from 15 ft (assist by S. Curry),2,65-62,,
3:20.0,,,65-64,2,J. Green makes 2-pt shot from 19 ft
3:00.0,S. Livingston misses 2-pt shot from 20 ft,,65-64,,
2:59.0,,,65-64,,Defensive rebound by J. Green
2:49.0,,,65-64,,J. Green misses 3-pt shot from 26 ft
2:47.0,Defensive rebound by H. Barnes,,65-64,,
2:38.0,A. Iguodala makes 3-pt shot from 26 ft (assist by S. Curry),3,68-64,,
2:13.0,,,68-64,,M. Gasol misses 2-pt shot from 8 ft
2:11.0,Defensive rebound by S. Curry,,68-64,,
2:01.0,F. Ezeli makes 2-pt shot at rim (assist by S. Curry),2,70-64,,
1:33.0,,,70-66,2,Z. Randolph makes 2-pt shot from 1 ft (assist by C. Lee)
1:26.0,,,70-66,,Personal foul by Z. Randolph (drawn by S. Curry)
1:26.0,,,70-66,,K. Koufos enters the game for Z. Randolph
1:26.0,D. Lee enters the game for F. Ezeli,,70-66,,
1:19.0,A. Iguodala makes 3-pt shot from 25 ft (assist by S. Curry),3,73-66,,
1:19.0,Shooting foul by M. Gasol (drawn by A. Iguodala),,73-66,,
1:19.0,A. Iguodala misses free throw 1 of 1,,73-66,,
1:18.0,,,73-66,,Defensive rebound by M. Gasol
1:06.0,,,73-66,,M. Conley misses 2-pt shot from 1 ft
1:05.0,Defensive rebound by A. Iguodala,,73-66,,
0:54.0,Offensive charge foul by S. Curry,,73-66,,
0:54.0,Turnover by S. Curry (offensive foul),,73-66,,
0:54.0,,,73-66,,V. Carter enters the game for C. Lee
0:42.0,,,73-66,,M. Gasol misses 2-pt shot from 17 ft
0:41.0,,,73-66,,Offensive rebound by K. Koufos
0:41.0,,,73-68,2,K. Koufos makes 2-pt shot from 8 ft
0:29.0,H. Barnes misses 2-pt shot from 19 ft,,73-68,,
0:28.0,Offensive rebound by D. Lee,,73-68,,
0:08.0,H. Barnes misses 3-pt shot from 26 ft,,73-68,,
0:07.0,,,73-68,,Defensive rebound by J. Green
0:02.0,,,73-68,,J. Green misses 3-pt shot from 27 ft (block by A. Iguodala)
0:01.0,Defensive rebound by S. Curry,,73-68,,
0:00.0,S. Curry makes 3-pt shot from 62 ft,3,76-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,H. Barnes makes 2-pt shot from 8 ft,2,78-68,,
11:10.0,,,78-68,,M. Gasol misses 2-pt shot from 14 ft
11:08.0,Defensive rebound by H. Barnes,,78-68,,
10:54.0,A. Iguodala makes 3-pt shot from 26 ft (assist by H. Barnes),3,81-68,,
10:36.0,,,81-68,,K. Koufos misses 2-pt shot from 5 ft
10:34.0,Defensive rebound by S. Livingston,,81-68,,
10:30.0,Shooting foul by V. Carter (drawn by S. Livingston),,81-68,,
10:30.0,S. Livingston makes free throw 1 of 2,1,82-68,,
10:30.0,,,82-68,,C. Lee enters the game for J. Green
10:30.0,S. Livingston makes free throw 2 of 2,1,83-68,,
10:09.0,,,83-70,2,C. Lee makes 2-pt shot from 20 ft (assist by M. Gasol)
9:54.0,S. Livingston makes 2-pt shot at rim,2,85-70,,
9:46.0,Personal foul by L. Barbosa (drawn by B. Udrih),,85-70,,
9:38.0,Personal foul by S. Livingston (drawn by B. Udrih),,85-70,,
9:28.0,,,85-70,,B. Udrih misses 2-pt shot from 13 ft
9:27.0,,,85-70,,Offensive rebound by K. Koufos
9:27.0,,,85-72,2,K. Koufos makes 2-pt shot from 1 ft
9:05.0,H. Barnes makes 2-pt shot from 20 ft,2,87-72,,
8:55.0,,,87-72,,B. Udrih misses 2-pt shot from 14 ft
8:52.0,Defensive rebound by L. Barbosa,,87-72,,
8:37.0,S. Livingston misses 2-pt shot from 14 ft (block by M. Gasol),,87-72,,
8:36.0,,,87-72,,Defensive rebound by K. Koufos
8:31.0,,,87-72,,Memphis full timeout
8:31.0,,,87-72,,M. Conley enters the game for B. Udrih
8:17.0,,,87-72,,M. Gasol misses 2-pt shot from 4 ft
8:17.0,Defensive rebound by Team,,87-72,,
8:00.0,Turnover by H. Barnes (lost ball; steal by V. Carter),,87-72,,
7:52.0,,,87-74,2,V. Carter makes 2-pt shot from 1 ft
7:31.0,Shooting foul by V. Carter (drawn by H. Barnes),,87-74,,
7:31.0,H. Barnes misses free throw 1 of 2,,87-74,,
7:31.0,Offensive rebound by Team,,87-74,,
7:31.0,K. Thompson enters the game for L. Barbosa,,87-74,,
7:31.0,S. Curry enters the game for A. Iguodala,,87-74,,
7:31.0,H. Barnes makes free throw 2 of 2,1,88-74,,
7:24.0,,,88-74,,M. Gasol misses 2-pt shot from 12 ft
7:22.0,,,88-74,,Offensive rebound by M. Gasol
7:21.0,,,88-74,,M. Gasol misses 2-pt shot from 5 ft (block by S. Livingston)
7:21.0,,,88-74,,Offensive rebound by Team
7:11.0,Personal foul by H. Barnes (drawn by K. Koufos),,88-74,,
7:03.0,,,88-74,,Shooting foul by K. Thompson (drawn by M. Conley)
7:03.0,,,88-75,1,M. Conley makes free throw 1 of 2
7:03.0,,,88-75,,Z. Randolph enters the game for K. Koufos
7:03.0,,,88-76,1,M. Conley makes free throw 2 of 2
6:47.0,H. Barnes misses 2-pt shot from 9 ft,,88-76,,
6:45.0,,,88-76,,Defensive rebound by V. Carter
6:45.0,,,88-76,,Turnover by V. Carter (lost ball)
6:45.0,D. Green enters the game for S. Livingston,,88-76,,
6:39.0,Turnover by K. Thompson (lost ball; steal by Z. Randolph),,88-76,,
6:26.0,,,88-78,2,M. Conley makes 2-pt shot from 12 ft
6:10.0,S. Curry misses 2-pt shot from 9 ft,,88-78,,
6:08.0,,,88-78,,Defensive rebound by M. Gasol
6:03.0,,,88-80,2,C. Lee makes 2-pt shot from 17 ft (assist by M. Conley)
5:53.0,,,88-80,,Personal foul by C. Lee (drawn by K. Thompson)
5:53.0,Golden State full timeout,,88-80,,
5:53.0,A. Iguodala enters the game for H. Barnes,,88-80,,
5:46.0,S. Curry makes 3-pt shot from 25 ft (assist by A. Iguodala),3,91-80,,
5:18.0,,,91-80,,Z. Randolph misses 2-pt shot from 21 ft
5:15.0,,,91-80,,Offensive rebound by V. Carter
5:15.0,,,91-82,2,V. Carter makes 2-pt shot from 1 ft
4:59.0,S. Curry makes 3-pt shot from 23 ft (assist by A. Iguodala),3,94-82,,
4:34.0,,,94-82,,Shooting foul by A. Bogut (drawn by M. Conley)
4:34.0,,,94-84,2,M. Conley makes 2-pt shot from 21 ft
4:34.0,,,94-85,1,M. Conley makes free throw 1 of 1
4:19.0,D. Green makes 3-pt shot from 26 ft (assist by A. Iguodala),3,97-85,,
3:58.0,,,97-87,2,Z. Randolph makes 2-pt shot from 5 ft (assist by C. Lee)
3:39.0,S. Curry makes 3-pt shot from 26 ft,3,100-87,,
3:23.0,Personal foul by D. Green (drawn by M. Gasol),,100-87,,
3:23.0,,,100-88,1,M. Gasol makes free throw 1 of 2
3:23.0,,,100-89,1,M. Gasol makes free throw 2 of 2
3:11.0,A. Iguodala misses 3-pt shot from 24 ft,,100-89,,
3:10.0,,,100-89,,Defensive rebound by M. Gasol
2:53.0,,,100-89,,M. Gasol misses 2-pt shot from 20 ft
2:51.0,Defensive rebound by A. Iguodala,,100-89,,
2:45.0,Golden State full timeout,,100-89,,
2:35.0,S. Curry makes 2-pt shot from 20 ft (assist by A. Iguodala),2,102-89,,
2:10.0,,,102-92,3,C. Lee makes 3-pt shot from 25 ft (assist by V. Carter)
1:47.0,S. Curry misses 2-pt shot from 21 ft,,102-92,,
1:46.0,,,102-92,,Defensive rebound by V. Carter
1:39.0,,,102-92,,M. Conley misses 3-pt shot from 27 ft
1:38.0,,,102-92,,Offensive rebound by M. Gasol
1:30.0,,,102-92,,Shooting foul by A. Bogut (drawn by M. Gasol)
1:30.0,H. Barnes enters the game for A. Bogut,,102-92,,
1:30.0,,,102-92,,M. Gasol misses free throw 1 of 2
1:30.0,,,102-92,,Offensive rebound by Team
1:30.0,,,102-92,,J. Green enters the game for Z. Randolph
1:30.0,,,102-92,,M. Gasol misses free throw 2 of 2
1:29.0,Defensive rebound by A. Iguodala,,102-92,,
