time,San Antonio,pts.away,score,pts.home,Portland
0:00.0,,,20-23,3,W. Barton makes 3-pt shot from 23 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,20-25,2,C. Kaman makes 2-pt shot at rim (assist by W. Barton)
11:31.0,M. Belinelli misses 2-pt shot from 8 ft (block by A. Crabbe),,20-25,,
11:30.0,Offensive rebound by C. Joseph,,20-25,,
11:27.0,J. Ayres makes 2-pt shot at rim (assist by C. Joseph),2,22-25,,
11:01.0,,,22-25,,J. Freeland misses 2-pt shot from 18 ft
11:00.0,Defensive rebound by A. Daye,,22-25,,
10:53.0,,,22-25,,Personal foul by A. Crabbe (drawn by M. Belinelli)
10:47.0,,,22-25,,Personal foul by A. Crabbe (drawn by M. Belinelli)
10:33.0,C. Joseph misses 2-pt shot from 21 ft,,22-25,,
10:33.0,,,22-25,,Defensive rebound by J. Freeland
10:26.0,,,22-25,,W. Barton misses 2-pt shot from 10 ft
10:24.0,,,22-25,,Offensive rebound by J. Freeland
10:24.0,,,22-27,2,J. Freeland makes 2-pt shot from 2 ft
10:04.0,A. Daye misses 3-pt shot from 25 ft,,22-27,,
10:02.0,Offensive rebound by M. Belinelli,,22-27,,
10:01.0,Turnover by M. Belinelli (lost ball),,22-27,,
9:39.0,,,22-27,,C. Kaman misses 2-pt shot from 20 ft
9:38.0,Defensive rebound by A. Daye,,22-27,,
9:21.0,M. Belinelli misses 3-pt shot from 25 ft (block by A. Crabbe),,22-27,,
9:20.0,Offensive rebound by M. Belinelli,,22-27,,
9:16.0,J. Ayres makes 2-pt shot from 19 ft (assist by M. Belinelli),2,24-27,,
9:02.0,,,24-27,,Turnover by W. Barton (bad pass; steal by C. Joseph)
8:59.0,,,24-27,,Violation by J. Freeland (def goaltending)
8:59.0,C. Joseph makes 2-pt shot at rim,2,26-27,,
8:41.0,,,26-27,,J. Freeland misses 2-pt shot from 19 ft
8:40.0,Defensive rebound by J. Ayres,,26-27,,
8:34.0,,,26-27,,Personal foul by W. Barton (drawn by K. Anderson)
8:34.0,Official timeout,,26-27,,
8:24.0,M. Belinelli misses 2-pt shot from 21 ft,,26-27,,
8:23.0,,,26-27,,Defensive rebound by S. Blake
8:11.0,,,26-30,3,A. Crabbe makes 3-pt shot from 23 ft (assist by S. Blake)
7:57.0,A. Daye misses 2-pt shot from 20 ft,,26-30,,
7:53.0,,,26-30,,Defensive rebound by S. Blake
7:46.0,Personal foul by M. Belinelli (drawn by S. Blake),,26-30,,
7:46.0,K. Leonard enters the game for M. Belinelli,,26-30,,
7:37.0,,,26-30,,Shooting foul by A. Daye (drawn by C. Kaman)
7:37.0,,,26-31,1,C. Kaman makes free throw 1 of 2
7:37.0,,,26-32,1,C. Kaman makes free throw 2 of 2
7:25.0,,,26-32,,D. Lillard enters the game for W. Barton
7:25.0,,,26-32,,W. Matthews enters the game for S. Blake
7:25.0,,,26-32,,N. Batum enters the game for A. Crabbe
