time,Utah,pts.away,score,pts.home,Chicago
6:39.0,,,10-8,,Offensive rebound by J. Noah
6:33.0,,,10-8,,D. Rose misses 2-pt shot from 19 ft
6:32.0,Defensive rebound by R. Gobert,,10-8,,
6:23.0,T. Booker makes 2-pt shot from 15 ft (assist by G. Hayward),2,12-8,,
6:01.0,,,12-8,,Shooting foul by D. Exum (drawn by P. Gasol)
6:01.0,,,12-9,1,P. Gasol makes free throw 1 of 2
6:01.0,,,12-10,1,P. Gasol makes free throw 2 of 2
5:42.0,T. Burke misses 2-pt shot from 19 ft,,12-10,,
5:40.0,,,12-10,,Defensive rebound by D. Rose
5:29.0,,,12-10,,J. Noah misses 2-pt shot from 17 ft
5:28.0,,,12-10,,Offensive rebound by D. Rose
5:25.0,,,12-10,,D. Rose misses 2-pt shot from 12 ft
5:23.0,,,12-10,,Offensive rebound by D. Rose
5:23.0,,,12-10,,D. Rose misses 2-pt shot from 1 ft (block by R. Gobert)
5:22.0,,,12-10,,Offensive rebound by J. Noah
5:14.0,,,12-10,,J. Butler misses 2-pt shot from 16 ft (block by T. Booker)
5:11.0,Defensive rebound by R. Gobert,,12-10,,
4:59.0,G. Hayward misses 3-pt shot from 24 ft,,12-10,,
4:58.0,,,12-10,,Defensive rebound by J. Butler
4:54.0,,,12-12,2,J. Butler makes 2-pt shot from 1 ft (assist by J. Noah)
4:46.0,Utah full timeout,,12-12,,
4:46.0,,,12-12,,T. Gibson enters the game for J. Noah
4:46.0,E. Millsap enters the game for T. Burke,,12-12,,
4:34.0,Shooting foul by P. Gasol (drawn by R. Gobert),,12-12,,
4:34.0,R. Gobert misses free throw 1 of 2,,12-12,,
4:34.0,Offensive rebound by Team,,12-12,,
4:34.0,R. Gobert makes free throw 2 of 2,1,13-12,,
4:25.0,,,13-12,,Turnover by D. Rose (bad pass; steal by G. Hayward)
4:22.0,Shooting foul by J. Butler (drawn by G. Hayward),,13-12,,
4:22.0,G. Hayward makes free throw 1 of 2,1,14-12,,
4:22.0,G. Hayward makes free throw 2 of 2,1,15-12,,
4:05.0,,,15-12,,K. Hinrich misses 2-pt shot from 1 ft
4:04.0,,,15-12,,Offensive rebound by T. Gibson
4:04.0,,,15-14,2,T. Gibson makes 2-pt shot from 2 ft
3:42.0,,,15-14,,Personal foul by J. Butler (drawn by G. Hayward)
3:42.0,,,15-14,,A. Brooks enters the game for D. Rose
3:42.0,,,15-14,,N. Mirotic enters the game for K. Hinrich
3:36.0,Turnover by E. Millsap (bad pass; steal by T. Gibson),,15-14,,
3:19.0,,,15-14,,Turnover by N. Mirotic (lost ball)
3:05.0,G. Hayward makes 2-pt shot from 1 ft,2,17-14,,
2:49.0,Personal foul by G. Hayward (drawn by J. Butler),,17-14,,
2:49.0,,,17-14,,Chicago full timeout
2:39.0,,,17-14,,P. Gasol misses 2-pt shot from 4 ft (block by R. Gobert)
2:38.0,,,17-14,,Offensive rebound by T. Gibson
2:36.0,,,17-14,,J. Butler misses 2-pt shot from 2 ft (block by E. Millsap)
2:36.0,,,17-14,,Offensive rebound by Team
2:35.0,,,17-14,,Turnover by Team (shot clock)
2:16.0,G. Hayward misses 2-pt shot from 15 ft,,17-14,,
2:15.0,,,17-14,,Defensive rebound by P. Gasol
2:10.0,,,17-14,,Turnover by T. Gibson (lost ball)
1:55.0,D. Exum misses 3-pt shot from 26 ft,,17-14,,
1:55.0,,,17-14,,Defensive rebound by Team
1:34.0,,,17-14,,P. Gasol misses 2-pt shot from 2 ft
1:33.0,Defensive rebound by R. Gobert,,17-14,,
1:29.0,G. Hayward makes 2-pt shot from 1 ft (assist by D. Exum),2,19-14,,
1:05.0,,,19-16,2,T. Gibson makes 2-pt shot from 1 ft (assist by P. Gasol)
0:42.0,T. Booker makes 3-pt shot from 25 ft (assist by D. Exum),3,22-16,,
0:30.0,,,22-16,,A. Brooks misses 2-pt shot from 3 ft (block by R. Gobert)
0:29.0,Defensive rebound by T. Booker,,22-16,,
0:03.0,T. Booker misses 2-pt shot from 21 ft,,22-16,,
0:03.0,Offensive rebound by Team,,22-16,,
0:01.0,T. Booker misses 2-pt shot from 10 ft,,22-16,,
0:00.0,,,22-16,,Defensive rebound by A. Brooks
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,22-16,,T. Gibson misses 2-pt shot from 14 ft
11:42.0,Defensive rebound by E. Millsap,,22-16,,
11:19.0,Turnover by Team (shot clock),,22-16,,
11:19.0,,,22-16,,T. Snell enters the game for J. Butler
11:03.0,,,22-16,,A. Brooks misses 2-pt shot from 11 ft
11:02.0,Defensive rebound by T. Burke,,22-16,,
10:47.0,T. Burke makes 2-pt shot from 18 ft,2,24-16,,
10:29.0,,,24-16,,T. Snell misses 2-pt shot from 2 ft
10:28.0,Defensive rebound by T. Burke,,24-16,,
10:25.0,Offensive charge foul by E. Millsap,,24-16,,
10:25.0,Turnover by E. Millsap (offensive foul),,24-16,,
10:25.0,J. Ingles enters the game for D. Exum,,24-16,,
10:10.0,,,24-18,2,N. Mirotic makes 2-pt shot from 17 ft (assist by T. Gibson)
9:55.0,T. Booker misses 2-pt shot from 1 ft (block by J. Noah),,24-18,,
9:53.0,Offensive rebound by T. Booker,,24-18,,
9:52.0,T. Booker misses 2-pt shot from 2 ft (block by N. Mirotic),,24-18,,
9:50.0,,,24-18,,Defensive rebound by T. Gibson
9:40.0,,,24-20,2,T. Gibson makes 2-pt shot from 3 ft (assist by A. Brooks)
9:23.0,D. Favors misses 2-pt shot from 12 ft,,24-20,,
9:22.0,,,24-20,,Defensive rebound by J. Noah
9:12.0,,,24-22,2,A. Brooks makes 2-pt shot from 2 ft
8:49.0,E. Millsap misses 3-pt shot from 23 ft,,24-22,,
8:48.0,Offensive rebound by D. Favors,,24-22,,
8:37.0,T. Burke misses 2-pt shot from 18 ft,,24-22,,
8:36.0,,,24-22,,Defensive rebound by A. Brooks
8:27.0,,,24-22,,N. Mirotic misses 2-pt shot from 2 ft
8:26.0,Defensive rebound by E. Millsap,,24-22,,
8:21.0,Shooting foul by T. Snell (drawn by E. Millsap),,24-22,,
8:21.0,Utah full timeout,,24-22,,
8:21.0,R. Gobert enters the game for T. Booker,,24-22,,
8:21.0,E. Millsap misses free throw 1 of 2,,24-22,,
8:21.0,Offensive rebound by Team,,24-22,,
8:21.0,E. Millsap misses free throw 2 of 2,,24-22,,
8:20.0,,,24-22,,Defensive rebound by N. Mirotic
8:01.0,,,24-22,,T. Gibson misses 2-pt shot from 19 ft
8:00.0,,,24-22,,Offensive rebound by T. Snell
7:51.0,,,24-22,,A. Brooks misses 3-pt shot from 25 ft
7:50.0,Defensive rebound by D. Favors,,24-22,,
7:27.0,Turnover by E. Millsap (bad pass),,24-22,,
7:11.0,,,24-22,,N. Mirotic misses 2-pt shot from 10 ft
7:10.0,Defensive rebound by D. Favors,,24-22,,
6:55.0,J. Ingles misses 2-pt shot from 2 ft,,24-22,,
6:54.0,,,24-22,,Defensive rebound by T. Snell
6:49.0,Personal foul by E. Millsap (drawn by T. Snell),,24-22,,
6:49.0,I. Clark enters the game for E. Millsap,,24-22,,
6:49.0,,,24-22,,D. Rose enters the game for A. Brooks
6:44.0,,,24-24,2,T. Gibson makes 2-pt shot from 16 ft (assist by J. Noah)
6:19.0,I. Clark misses 2-pt shot from 15 ft,,24-24,,
6:18.0,,,24-24,,Defensive rebound by J. Noah
6:11.0,,,24-24,,Shooting foul by T. Burke (drawn by D. Rose)
6:11.0,,,24-24,,D. Rose misses free throw 1 of 2
6:11.0,,,24-24,,Offensive rebound by Team
6:11.0,,,24-24,,J. Butler enters the game for T. Snell
6:11.0,G. Hayward enters the game for I. Clark,,24-24,,
6:11.0,T. Booker enters the game for D. Favors,,24-24,,
6:11.0,,,24-25,1,D. Rose makes free throw 2 of 2
5:57.0,,,24-25,,Chicago full timeout
5:50.0,R. Gobert misses 2-pt shot from 7 ft,,24-25,,
5:48.0,Offensive rebound by R. Gobert,,24-25,,
5:28.0,J. Ingles makes 3-pt shot from 24 ft (assist by T. Burke),3,27-25,,
5:10.0,,,27-25,,N. Mirotic misses 3-pt shot from 24 ft
5:09.0,Defensive rebound by T. Booker,,27-25,,
5:02.0,Shooting foul by D. Rose (drawn by T. Burke),,27-25,,
5:02.0,T. Burke makes free throw 1 of 2,1,28-25,,
5:02.0,,,28-25,,K. Hinrich enters the game for N. Mirotic
5:02.0,,,28-25,,P. Gasol enters the game for J. Noah
5:02.0,D. Exum enters the game for J. Ingles,,28-25,,
5:02.0,T. Burke misses free throw 2 of 2,,28-25,,
4:59.0,Offensive rebound by R. Gobert,,28-25,,
4:54.0,G. Hayward misses 3-pt shot from 25 ft,,28-25,,
4:52.0,Offensive rebound by T. Booker,,28-25,,
4:43.0,Turnover by T. Burke (back court),,28-25,,
4:43.0,D. Favors enters the game for T. Booker,,28-25,,
4:20.0,,,28-25,,D. Rose misses 2-pt shot from 3 ft
4:19.0,Defensive rebound by D. Favors,,28-25,,
3:58.0,T. Burke misses 3-pt shot from 23 ft,,28-25,,
3:57.0,,,28-25,,Defensive rebound by J. Butler
3:52.0,,,28-25,,D. Rose misses 2-pt shot from 2 ft
3:52.0,Defensive rebound by Team,,28-25,,
3:39.0,G. Hayward misses 2-pt shot from 2 ft,,28-25,,
3:37.0,,,28-25,,Defensive rebound by J. Butler
3:26.0,,,28-25,,D. Rose misses 2-pt shot from 13 ft (block by R. Gobert)
3:25.0,,,28-25,,Offensive rebound by P. Gasol
3:24.0,,,28-27,2,P. Gasol makes 2-pt shot from 1 ft
3:24.0,Utah full timeout,,28-27,,
3:12.0,D. Favors misses 2-pt shot from 12 ft,,28-27,,
3:11.0,,,28-27,,Defensive rebound by Team
2:51.0,,,28-27,,K. Hinrich misses 2-pt shot from 20 ft
2:51.0,Defensive rebound by Team,,28-27,,
2:51.0,,,28-27,,Loose ball foul by P. Gasol (drawn by D. Favors)
2:30.0,D. Favors misses 2-pt shot from 1 ft,,28-27,,
2:28.0,Offensive rebound by D. Favors,,28-27,,
2:28.0,D. Favors misses 2-pt shot from 1 ft,,28-27,,
2:26.0,,,28-27,,Defensive rebound by K. Hinrich
2:08.0,,,28-30,3,J. Butler makes 3-pt shot from 25 ft (assist by P. Gasol)
1:56.0,D. Favors makes 2-pt shot from 3 ft (assist by G. Hayward),2,30-30,,
1:38.0,,,30-30,,P. Gasol misses 2-pt shot from 20 ft
1:37.0,Defensive rebound by D. Favors,,30-30,,
1:25.0,D. Favors makes 2-pt shot from 1 ft (assist by D. Exum),2,32-30,,
1:03.0,,,32-32,2,T. Gibson makes 2-pt shot from 12 ft (assist by J. Butler)
0:49.0,R. Gobert makes 2-pt shot at rim (assist by D. Favors),2,34-32,,
0:35.0,,,34-32,,P. Gasol misses 2-pt shot from 2 ft
0:34.0,Defensive rebound by D. Favors,,34-32,,
0:10.0,T. Burke misses 2-pt shot from 19 ft,,34-32,,
0:09.0,Offensive rebound by T. Burke,,34-32,,
0:08.0,T. Burke makes 2-pt shot from 1 ft,2,36-32,,
0:01.0,,,36-32,,D. Rose misses 2-pt shot from 1 ft
0:00.0,,,36-32,,Offensive rebound by J. Butler
0:00.0,,,36-32,,J. Butler misses 2-pt shot from 17 ft
0:00.0,,,36-32,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,36-32,,Turnover by D. Rose (bad pass; steal by R. Gobert)
11:34.0,Turnover by G. Hayward (step out of bounds),,36-32,,
11:16.0,,,36-34,2,P. Gasol makes 2-pt shot at rim (assist by J. Butler)
11:01.0,T. Burke makes 3-pt shot from 23 ft (assist by G. Hayward),3,39-34,,
10:48.0,Violation by D. Favors (kicked ball),,39-34,,
10:37.0,,,39-34,,J. Butler misses 2-pt shot from 19 ft
10:36.0,Defensive rebound by R. Gobert,,39-34,,
10:31.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,41-34,,
10:15.0,,,41-34,,P. Gasol misses 2-pt shot from 4 ft
10:15.0,Defensive rebound by D. Favors,,41-34,,
10:07.0,G. Hayward misses 3-pt shot from 23 ft,,41-34,,
10:07.0,Offensive rebound by R. Gobert,,41-34,,
10:04.0,Shooting foul by K. Hinrich (drawn by G. Hayward),,41-34,,
10:04.0,G. Hayward makes free throw 1 of 2,1,42-34,,
10:04.0,G. Hayward makes free throw 2 of 2,1,43-34,,
9:46.0,,,43-34,,D. Rose misses 2-pt shot from 13 ft
9:46.0,Defensive rebound by Team,,43-34,,
9:46.0,,,43-34,,Loose ball foul by J. Noah (drawn by D. Favors)
9:30.0,T. Burke misses 3-pt shot from 25 ft,,43-34,,
9:29.0,Offensive rebound by R. Gobert,,43-34,,
9:23.0,,,43-34,,Personal foul by K. Hinrich (drawn by R. Gobert)
9:13.0,Turnover by G. Hayward (bad pass),,43-34,,
9:05.0,Personal foul by G. Hayward (drawn by J. Butler),,43-34,,
9:01.0,,,43-36,2,D. Rose makes 2-pt shot from 1 ft
8:42.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,45-36,,
8:22.0,,,45-36,,Shooting foul by R. Gobert (drawn by J. Butler)
8:22.0,,,45-36,,J. Butler misses free throw 1 of 2
8:22.0,,,45-36,,Offensive rebound by Team
8:22.0,,,45-37,1,J. Butler makes free throw 2 of 2
8:14.0,D. Favors makes 2-pt shot at rim (assist by T. Burke),2,47-37,,
7:53.0,,,47-37,,P. Gasol misses 2-pt shot from 3 ft
7:52.0,Defensive rebound by D. Favors,,47-37,,
7:38.0,T. Burke makes 2-pt shot from 1 ft,2,49-37,,
7:30.0,,,49-37,,Chicago full timeout
7:22.0,Personal foul by D. Favors (drawn by J. Butler),,49-37,,
7:17.0,,,49-40,3,P. Gasol makes 3-pt shot from 23 ft (assist by D. Rose)
7:01.0,D. Favors misses 2-pt shot from 18 ft,,49-40,,
7:00.0,,,49-40,,Defensive rebound by P. Gasol
6:55.0,,,49-42,2,D. Rose makes 2-pt shot from 1 ft
6:34.0,G. Hayward misses 2-pt shot from 4 ft (block by J. Noah),,49-42,,
6:34.0,,,49-42,,Defensive rebound by Team
6:21.0,,,49-44,2,D. Rose makes 2-pt shot from 2 ft (assist by J. Butler)
6:06.0,Turnover by T. Burke (bad pass; steal by J. Butler),,49-44,,
6:02.0,,,49-46,2,J. Butler makes 2-pt shot at rim
6:02.0,Utah full timeout,,49-46,,
5:47.0,Offensive charge foul by J. Ingles,,49-46,,
5:47.0,Turnover by J. Ingles (offensive foul),,49-46,,
5:37.0,,,49-46,,Turnover by D. Rose (bad pass)
5:37.0,D. Exum enters the game for T. Burke,,49-46,,
5:19.0,G. Hayward misses 3-pt shot from 23 ft,,49-46,,
5:18.0,,,49-46,,Defensive rebound by J. Butler
5:08.0,,,49-46,,Turnover by J. Noah (bad pass)
4:53.0,Shooting foul by K. Hinrich (drawn by D. Favors),,49-46,,
4:53.0,D. Favors makes free throw 1 of 2,1,50-46,,
4:53.0,,,50-46,,T. Gibson enters the game for J. Noah
4:53.0,D. Favors makes free throw 2 of 2,1,51-46,,
4:40.0,,,51-46,,P. Gasol misses 2-pt shot from 21 ft
4:39.0,Defensive rebound by J. Ingles,,51-46,,
4:27.0,G. Hayward makes 2-pt shot from 3 ft (assist by D. Favors),2,53-46,,
4:27.0,Shooting foul by K. Hinrich (drawn by G. Hayward),,53-46,,
4:27.0,G. Hayward misses free throw 1 of 1,,53-46,,
4:25.0,,,53-46,,Defensive rebound by P. Gasol
4:13.0,,,53-46,,K. Hinrich misses 3-pt shot from 23 ft
4:11.0,,,53-46,,Offensive rebound by T. Gibson
4:11.0,,,53-48,2,T. Gibson makes 2-pt shot at rim
3:49.0,D. Favors misses 2-pt shot from 14 ft,,53-48,,
3:48.0,,,53-48,,Defensive rebound by J. Butler
3:42.0,,,53-48,,T. Snell enters the game for K. Hinrich
3:39.0,Jump ball: J. Butler vs. D. Favors (D. Exum gains possession),,,,Jump ball: J. Butler vs. D. Favors (D. Exum gains possession)
3:39.0,,,53-48,,Turnover by J. Butler (lost ball; steal by D. Favors)
3:27.0,J. Ingles makes 2-pt shot from 8 ft,2,55-48,,
3:07.0,,,55-48,,D. Rose misses 2-pt shot from 2 ft
3:06.0,,,55-48,,Offensive rebound by T. Gibson
3:06.0,,,55-48,,T. Gibson misses 2-pt shot from 1 ft
3:05.0,Defensive rebound by G. Hayward,,55-48,,
2:54.0,D. Exum misses 3-pt shot from 24 ft,,55-48,,
2:53.0,,,55-48,,Defensive rebound by D. Rose
2:44.0,,,55-48,,T. Gibson misses 2-pt shot from 5 ft (block by R. Gobert)
2:44.0,,,55-48,,Offensive rebound by Team
2:44.0,T. Booker enters the game for R. Gobert,,55-48,,
2:44.0,E. Millsap enters the game for J. Ingles,,55-48,,
2:44.0,,,55-48,,A. Brooks enters the game for P. Gasol
2:44.0,,,55-48,,N. Mirotic enters the game for D. Rose
2:28.0,,,55-48,,A. Brooks misses 2-pt shot from 10 ft
2:27.0,Defensive rebound by G. Hayward,,55-48,,
2:18.0,Shooting foul by A. Brooks (drawn by G. Hayward),,55-48,,
2:18.0,G. Hayward makes free throw 1 of 2,1,56-48,,
2:18.0,G. Hayward makes free throw 2 of 2,1,57-48,,
2:04.0,,,57-48,,N. Mirotic misses 3-pt shot from 22 ft
2:03.0,,,57-48,,Offensive rebound by J. Butler
2:02.0,,,57-48,,J. Butler misses 2-pt shot from 2 ft (block by G. Hayward)
2:00.0,,,57-48,,Offensive rebound by T. Snell
1:59.0,,,57-50,2,T. Snell makes 2-pt shot from 2 ft
1:38.0,D. Favors makes 2-pt shot from 14 ft,2,59-50,,
1:24.0,,,59-50,,Turnover by N. Mirotic (traveling)
1:11.0,,,59-50,,Personal foul by T. Gibson (drawn by D. Favors)
1:11.0,D. Favors makes free throw 1 of 2,1,60-50,,
1:11.0,D. Favors makes free throw 2 of 2,1,61-50,,
1:00.0,,,61-50,,N. Mirotic misses 3-pt shot from 24 ft
1:00.0,,,61-50,,Offensive rebound by T. Gibson
1:00.0,,,61-50,,Shooting foul by E. Millsap (drawn by T. Gibson)
1:00.0,,,61-51,1,T. Gibson makes free throw 1 of 2
1:00.0,,,61-51,,T. Gibson misses free throw 2 of 2
0:58.0,Defensive rebound by T. Booker,,61-51,,
0:43.0,D. Favors makes 2-pt shot from 1 ft (assist by T. Booker),2,63-51,,
0:31.0,,,63-51,,Turnover by T. Snell (bad pass; steal by G. Hayward)
0:06.0,E. Millsap misses 2-pt shot from 1 ft,,63-51,,
0:04.0,Offensive rebound by T. Booker,,63-51,,
0:02.0,Turnover by E. Millsap (3 sec),,63-51,,
0:00.0,,,63-51,,J. Butler misses 3-pt shot from 49 ft
0:00.0,,,63-51,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,D. Exum makes 2-pt shot at rim,2,65-51,,
11:28.0,,,65-51,,N. Mirotic misses 3-pt shot from 22 ft
11:27.0,Defensive rebound by R. Gobert,,65-51,,
11:07.0,T. Booker makes 2-pt shot from 17 ft (assist by T. Burke),2,67-51,,
10:57.0,,,67-51,,A. Brooks misses 2-pt shot from 3 ft
10:56.0,Defensive rebound by R. Gobert,,67-51,,
10:56.0,,,67-51,,Personal foul by J. Noah (drawn by R. Gobert)
10:37.0,T. Burke misses 2-pt shot from 22 ft,,67-51,,
10:36.0,Offensive rebound by T. Booker,,67-51,,
10:36.0,T. Booker makes 2-pt shot from 1 ft,2,69-51,,
10:36.0,Shooting foul by N. Mirotic (drawn by T. Booker),,69-51,,
10:36.0,T. Booker makes free throw 1 of 1,1,70-51,,
10:24.0,,,70-54,3,A. Brooks makes 3-pt shot from 24 ft (assist by D. Rose)
10:03.0,T. Burke makes 3-pt shot from 23 ft (assist by E. Millsap),3,73-54,,
9:47.0,,,73-54,,Turnover by J. Noah (bad pass; steal by E. Millsap)
9:45.0,E. Millsap makes 2-pt shot at rim,2,75-54,,
9:31.0,,,75-54,,D. Rose misses 2-pt shot from 17 ft
9:30.0,Defensive rebound by T. Booker,,75-54,,
9:13.0,Shooting foul by A. Brooks (drawn by T. Burke),,75-54,,
9:13.0,T. Burke makes free throw 1 of 2,1,76-54,,
9:13.0,J. Ingles enters the game for D. Exum,,76-54,,
9:13.0,T. Burke makes free throw 2 of 2,1,77-54,,
9:04.0,,,77-54,,Turnover by A. Brooks (lost ball)
8:51.0,J. Ingles misses 2-pt shot from 2 ft (block by J. Noah),,77-54,,
8:50.0,,,77-54,,Defensive rebound by J. Noah
8:45.0,Personal foul by T. Burke (drawn by A. Brooks),,77-54,,
8:45.0,,,77-54,,Chicago full timeout
8:38.0,,,77-54,,Offensive foul by J. Noah
8:38.0,,,77-54,,Turnover by J. Noah (offensive foul)
8:17.0,J. Ingles makes 2-pt shot from 20 ft,2,79-54,,
8:01.0,,,79-57,3,A. Brooks makes 3-pt shot from 24 ft (assist by N. Mirotic)
7:42.0,R. Gobert makes 2-pt shot at rim (assist by T. Burke),2,81-57,,
7:26.0,,,81-57,,Shooting foul by T. Burke (drawn by A. Brooks)
7:26.0,,,81-58,1,A. Brooks makes free throw 1 of 2
7:26.0,D. Favors enters the game for R. Gobert,,81-58,,
7:26.0,,,81-59,1,A. Brooks makes free throw 2 of 2
7:19.0,,,81-59,,Personal foul by A. Brooks (drawn by T. Burke)
7:01.0,T. Booker makes 2-pt shot from 21 ft (assist by J. Ingles),2,83-59,,
6:48.0,,,83-59,,A. Brooks misses 3-pt shot from 22 ft
6:47.0,Defensive rebound by D. Favors,,83-59,,
6:43.0,Shooting foul by D. Rose (drawn by T. Booker),,83-59,,
6:43.0,T. Booker makes free throw 1 of 2,1,84-59,,
6:43.0,T. Booker makes free throw 2 of 2,1,85-59,,
6:32.0,,,85-59,,J. Noah misses 2-pt shot from 2 ft
6:31.0,Defensive rebound by J. Ingles,,85-59,,
6:17.0,J. Ingles misses 3-pt shot from 23 ft,,85-59,,
6:14.0,,,85-59,,Defensive rebound by J. Noah
6:11.0,,,85-59,,Shooting foul by E. Millsap (drawn by T. Gibson)
6:11.0,,,85-60,1,T. Gibson makes free throw 1 of 2
6:11.0,,,85-60,,J. Butler enters the game for J. Noah
6:11.0,,,85-60,,K. Hinrich enters the game for D. Rose
6:11.0,G. Hayward enters the game for E. Millsap,,85-60,,
6:11.0,,,85-61,1,T. Gibson makes free throw 2 of 2
5:53.0,T. Burke makes 2-pt shot from 19 ft,2,87-61,,
5:31.0,,,87-64,3,J. Butler makes 3-pt shot from 24 ft (assist by K. Hinrich)
5:08.0,T. Booker misses 2-pt shot from 9 ft,,87-64,,
5:07.0,,,87-64,,Defensive rebound by J. Butler
5:00.0,,,87-64,,J. Butler misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by G. Hayward,,87-64,,
4:42.0,Shooting foul by N. Mirotic (drawn by T. Booker),,87-64,,
4:42.0,,,87-64,,Chicago full timeout
4:42.0,D. Exum enters the game for T. Burke,,87-64,,
4:42.0,T. Booker makes free throw 1 of 2,1,88-64,,
4:42.0,T. Booker misses free throw 2 of 2,,88-64,,
4:40.0,,,88-64,,Defensive rebound by J. Butler
4:29.0,,,88-64,,Turnover by A. Brooks (bad pass; steal by D. Favors)
4:14.0,D. Favors makes 2-pt shot from 7 ft,2,90-64,,
3:59.0,,,90-64,,Shooting foul by D. Favors (drawn by J. Butler)
3:59.0,,,90-65,1,J. Butler makes free throw 1 of 2
3:59.0,R. Gobert enters the game for T. Booker,,90-65,,
3:59.0,,,90-66,1,J. Butler makes free throw 2 of 2
3:33.0,J. Ingles misses 3-pt shot from 25 ft,,90-66,,
3:33.0,,,90-66,,Defensive rebound by A. Brooks
3:28.0,,,90-66,,A. Brooks misses 2-pt shot from 1 ft
3:27.0,Defensive rebound by R. Gobert,,90-66,,
3:22.0,Utah full timeout,,90-66,,
3:22.0,,,90-66,,E. Moore enters the game for J. Butler
3:22.0,,,90-66,,C. Bairstow enters the game for T. Gibson
3:22.0,,,90-66,,T. Snell enters the game for K. Hinrich
3:22.0,T. Burke enters the game for D. Exum,,90-66,,
3:06.0,G. Hayward makes 2-pt shot from 18 ft,2,92-66,,
2:51.0,,,92-66,,Shooting foul by R. Gobert (drawn by A. Brooks)
2:51.0,,,92-67,1,A. Brooks makes free throw 1 of 2
