time,Brooklyn,pts.away,score,pts.home,Sacramento
5:15.0,Defensive rebound by J. Jack,,20-17,,
5:01.0,J. Johnson misses 3-pt shot from 23 ft,,20-17,,
5:00.0,,,20-17,,Defensive rebound by D. Cousins
4:48.0,,,20-17,,D. Collison misses 2-pt shot from 4 ft
4:46.0,,,20-17,,Offensive rebound by Team
4:42.0,,,20-17,,R. Gay misses 2-pt shot from 4 ft (block by B. Lopez)
4:42.0,,,20-17,,Offensive rebound by Team
4:38.0,,,20-17,,D. Cousins misses 2-pt shot from 19 ft
4:37.0,Defensive rebound by B. Bogdanovic,,20-17,,
4:34.0,Offensive foul by B. Lopez,,20-17,,
4:34.0,Turnover by B. Lopez (offensive foul),,20-17,,
4:15.0,,,20-17,,D. Cousins misses 2-pt shot from 13 ft
4:15.0,Defensive rebound by J. Johnson,,20-17,,
4:10.0,B. Bogdanovic makes 2-pt shot at rim (assist by J. Johnson),2,22-17,,
3:46.0,,,22-19,2,R. Gay makes 2-pt shot at rim (assist by D. Collison)
3:32.0,Offensive foul by M. Plumlee,,22-19,,
3:32.0,Turnover by M. Plumlee (offensive foul),,22-19,,
3:32.0,M. Teletovic enters the game for M. Plumlee,,22-19,,
3:16.0,,,22-19,,R. Gay misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by Team,,22-19,,
3:05.0,B. Bogdanovic makes 2-pt shot from 2 ft (assist by J. Johnson),2,24-19,,
2:48.0,,,24-22,3,D. Collison makes 3-pt shot from 25 ft
2:40.0,Brooklyn full timeout,,24-22,,
2:40.0,,,24-22,,D. Williams enters the game for D. Cousins
2:29.0,B. Bogdanovic misses 2-pt shot from 10 ft,,24-22,,
2:28.0,,,24-22,,Defensive rebound by D. Collison
2:28.0,,,24-22,,Turnover by D. Collison (bad pass; steal by B. Lopez)
2:28.0,B. Lopez makes 2-pt shot from 7 ft,2,26-22,,
2:28.0,Shooting foul by J. Thompson (drawn by B. Lopez),,26-22,,
2:28.0,A. Anderson enters the game for J. Johnson,,26-22,,
2:28.0,B. Lopez makes free throw 1 of 1,1,27-22,,
2:18.0,,,27-22,,Shooting foul by M. Teletovic (drawn by D. Williams)
2:18.0,,,27-22,,D. Williams misses free throw 1 of 2
2:18.0,,,27-22,,Offensive rebound by Team
2:18.0,M. Brown enters the game for B. Bogdanovic,,27-22,,
2:18.0,,,27-23,1,D. Williams makes free throw 2 of 2
2:00.0,B. Lopez misses 2-pt shot from 7 ft,,27-23,,
1:59.0,Offensive rebound by M. Teletovic,,27-23,,
1:52.0,A. Anderson makes 2-pt shot from 6 ft,2,29-23,,
1:43.0,,,29-23,,D. Collison misses 3-pt shot from 24 ft
1:42.0,Defensive rebound by A. Anderson,,29-23,,
1:37.0,B. Lopez makes 2-pt shot from 2 ft (assist by J. Jack),2,31-23,,
1:19.0,Def 3 sec tech foul by J. Jack,,31-23,,
1:19.0,,,31-24,1,R. Gay makes technical free throw
1:19.0,,,31-24,,R. Sessions enters the game for D. Collison
1:13.0,,,31-24,,R. Gay misses 2-pt shot from 5 ft (block by B. Lopez)
1:11.0,Defensive rebound by M. Brown,,31-24,,
1:01.0,M. Brown makes 3-pt shot from 25 ft (assist by A. Anderson),3,34-24,,
0:45.0,,,34-24,,R. Sessions misses 2-pt shot from 4 ft (block by B. Lopez)
0:44.0,Defensive rebound by M. Teletovic,,34-24,,
0:39.0,J. Jack makes 2-pt shot from 9 ft,2,36-24,,
0:21.0,,,36-24,,D. Williams misses 2-pt shot from 19 ft
0:21.0,Defensive rebound by A. Anderson,,36-24,,
0:01.0,J. Jack misses 2-pt shot from 2 ft,,36-24,,
0:00.0,,,36-24,,Defensive rebound by R. Gay
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,36-26,2,R. Sessions makes 2-pt shot from 20 ft (assist by D. Cousins)
11:27.0,M. Brown misses 2-pt shot from 18 ft,,36-26,,
11:26.0,,,36-26,,Defensive rebound by O. Casspi
11:13.0,,,36-28,2,O. Casspi makes 2-pt shot from 4 ft (assist by R. Sessions)
10:55.0,M. Teletovic makes 3-pt shot from 26 ft (assist by J. Jack),3,39-28,,
10:30.0,,,39-28,,D. Cousins misses 2-pt shot from 9 ft
10:30.0,,,39-28,,Offensive rebound by D. Cousins
10:26.0,,,39-28,,D. Cousins misses 2-pt shot from 5 ft
10:25.0,Defensive rebound by B. Lopez,,39-28,,
10:17.0,M. Teletovic makes 2-pt shot from 3 ft (assist by J. Jack),2,41-28,,
10:01.0,,,41-28,,D. Cousins misses 2-pt shot from 1 ft
10:00.0,Defensive rebound by B. Lopez,,41-28,,
9:40.0,B. Lopez makes 2-pt shot from 11 ft (assist by A. Anderson),2,43-28,,
9:19.0,,,43-28,,D. Cousins misses 2-pt shot from 15 ft
9:17.0,Defensive rebound by M. Brown,,43-28,,
9:13.0,M. Brown misses 2-pt shot from 1 ft,,43-28,,
9:12.0,,,43-28,,Defensive rebound by R. Sessions
9:08.0,,,43-30,2,D. Williams makes 2-pt shot from 3 ft
9:08.0,,,43-30,,Shooting foul by M. Teletovic (drawn by D. Williams)
9:08.0,J. Johnson enters the game for J. Jack,,43-30,,
9:08.0,D. Morris enters the game for M. Brown,,43-30,,
9:08.0,,,43-31,1,D. Williams makes free throw 1 of 1
8:52.0,J. Johnson misses 2-pt shot from 3 ft,,43-31,,
8:51.0,Offensive rebound by J. Johnson,,43-31,,
8:48.0,J. Johnson makes 2-pt shot from 4 ft,2,45-31,,
8:28.0,,,45-31,,Turnover by R. Sessions (bad pass; steal by J. Johnson)
8:20.0,B. Lopez makes 2-pt shot from 4 ft (assist by D. Morris),2,47-31,,
8:20.0,Shooting foul by R. Sessions (drawn by B. Lopez),,47-31,,
8:20.0,Official timeout,,47-31,,
8:20.0,,,47-31,,R. Gay enters the game for D. Williams
8:20.0,B. Lopez misses free throw 1 of 1,,47-31,,
8:19.0,,,47-31,,Defensive rebound by D. Cousins
8:00.0,,,47-31,,D. Cousins misses 2-pt shot from 3 ft
7:59.0,Defensive rebound by M. Teletovic,,47-31,,
7:43.0,D. Morris makes 2-pt shot from 4 ft,2,49-31,,
7:20.0,,,49-31,,R. Sessions misses 2-pt shot from 6 ft (block by B. Lopez)
7:19.0,Defensive rebound by M. Teletovic,,49-31,,
7:15.0,D. Morris misses 2-pt shot from 2 ft,,49-31,,
7:13.0,Offensive rebound by J. Johnson,,49-31,,
7:13.0,J. Johnson misses 2-pt shot at rim,,49-31,,
7:12.0,,,49-31,,Defensive rebound by R. Gay
7:05.0,,,49-33,2,O. Casspi makes 2-pt shot from 3 ft (assist by R. Gay)
6:45.0,J. Johnson makes 2-pt shot from 4 ft (assist by B. Lopez),2,51-33,,
6:29.0,,,51-33,,D. Cousins misses 2-pt shot from 21 ft
6:28.0,Defensive rebound by A. Anderson,,51-33,,
6:18.0,A. Anderson makes 2-pt shot at rim (assist by J. Johnson),2,53-33,,
6:17.0,,,53-33,,Sacramento full timeout
6:17.0,,,53-33,,D. Collison enters the game for R. Sessions
6:05.0,,,53-33,,Turnover by D. Cousins (bad pass)
5:50.0,D. Morris misses 3-pt shot from 22 ft,,53-33,,
5:48.0,Offensive rebound by M. Teletovic,,53-33,,
5:48.0,M. Teletovic misses 2-pt shot from 3 ft,,53-33,,
5:47.0,,,53-33,,Defensive rebound by R. Gay
5:35.0,,,53-33,,R. Gay misses 2-pt shot from 7 ft
5:35.0,Defensive rebound by M. Teletovic,,53-33,,
5:26.0,A. Anderson makes 2-pt shot from 6 ft,2,55-33,,
5:07.0,,,55-35,2,D. Collison makes 2-pt shot from 2 ft
4:47.0,B. Lopez misses 2-pt shot from 10 ft,,55-35,,
4:47.0,Offensive rebound by D. Morris,,55-35,,
4:45.0,,,55-35,,R. Evans enters the game for D. Cousins
4:40.0,B. Lopez misses 2-pt shot from 2 ft,,55-35,,
4:39.0,Offensive rebound by J. Johnson,,55-35,,
4:39.0,J. Johnson makes 2-pt shot from 1 ft,2,57-35,,
4:20.0,,,57-35,,O. Casspi misses 2-pt shot from 12 ft
4:18.0,,,57-35,,Offensive rebound by O. Casspi
4:18.0,,,57-37,2,O. Casspi makes 2-pt shot from 2 ft
3:57.0,A. Anderson makes 3-pt shot from 23 ft (assist by M. Teletovic),3,60-37,,
3:54.0,,,60-37,,Shooting foul by J. Johnson (drawn by B. McLemore)
3:54.0,,,60-38,1,B. McLemore makes free throw 1 of 2
3:54.0,J. Jack enters the game for D. Morris,,60-38,,
3:54.0,,,60-38,,B. McLemore misses free throw 2 of 2
3:52.0,Defensive rebound by J. Jack,,60-38,,
3:42.0,A. Anderson misses 3-pt shot from 24 ft,,60-38,,
3:41.0,,,60-38,,Defensive rebound by O. Casspi
3:35.0,,,60-40,2,D. Collison makes 2-pt shot from 12 ft (assist by O. Casspi)
3:26.0,Brooklyn full timeout,,60-40,,
3:26.0,Turnover by J. Jack (offensive foul),,60-40,,
3:26.0,,,60-40,,O. Casspi misses flagrant free throw 1 of 2
3:26.0,,,60-40,,Offensive rebound by Team
3:26.0,,,60-40,,O. Casspi misses flagrant free throw 2 of 2
3:26.0,,,60-40,,Offensive rebound by Team
3:26.0,B. Bogdanovic enters the game for A. Anderson,,60-40,,
3:11.0,,,60-40,,Shooting foul by J. Johnson (drawn by R. Gay)
3:11.0,,,60-41,1,R. Gay makes free throw 1 of 2
3:11.0,,,60-42,1,R. Gay makes free throw 2 of 2
2:50.0,J. Johnson misses 2-pt shot from 8 ft,,60-42,,
2:49.0,,,60-42,,Defensive rebound by R. Evans
2:48.0,,,60-42,,Turnover by R. Evans (bad pass)
2:41.0,B. Lopez makes 2-pt shot from 15 ft (assist by J. Jack),2,62-42,,
2:26.0,,,62-42,,D. Collison misses 3-pt shot from 23 ft
2:25.0,Defensive rebound by B. Bogdanovic,,62-42,,
2:10.0,B. Bogdanovic misses 3-pt shot from 25 ft,,62-42,,
2:09.0,,,62-42,,Defensive rebound by Team
2:09.0,A. Anderson enters the game for J. Johnson,,62-42,,
1:55.0,,,62-42,,Turnover by D. Collison (bad pass)
1:55.0,,,62-42,,D. Cousins enters the game for R. Evans
1:47.0,Turnover by M. Teletovic (lost ball),,62-42,,
1:33.0,,,62-42,,D. Cousins misses 2-pt shot from 3 ft (block by B. Lopez)
1:31.0,Defensive rebound by M. Teletovic,,62-42,,
1:16.0,B. Bogdanovic misses 2-pt shot from 16 ft,,62-42,,
1:15.0,,,62-42,,Defensive rebound by R. Gay
1:05.0,,,62-44,2,O. Casspi makes 2-pt shot at rim (assist by R. Gay)
0:52.0,Turnover by J. Jack (bad pass; steal by D. Collison),,62-44,,
0:49.0,,,62-46,2,O. Casspi makes 2-pt shot at rim (assist by D. Collison)
0:27.0,J. Jack misses 2-pt shot from 7 ft,,62-46,,
0:26.0,,,62-46,,Defensive rebound by O. Casspi
0:04.0,,,62-46,,R. Gay misses 3-pt shot from 25 ft
0:03.0,Defensive rebound by B. Lopez,,62-46,,
0:00.0,J. Jack misses 3-pt shot from 39 ft,,62-46,,
0:00.0,Offensive rebound by Team,,62-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Personal foul by B. Bogdanovic (drawn by R. Gay),,62-46,,
11:36.0,,,62-46,,B. McLemore misses 2-pt shot from 11 ft
11:35.0,Defensive rebound by K. Garnett,,62-46,,
11:18.0,Shooting foul by J. Thompson (drawn by M. Plumlee),,62-46,,
11:18.0,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Jack),2,64-46,,
11:18.0,M. Plumlee misses free throw 1 of 1,,64-46,,
11:18.0,,,64-46,,Defensive rebound by B. McLemore
10:56.0,,,64-48,2,R. Gay makes 2-pt shot from 15 ft
10:34.0,K. Garnett misses 2-pt shot from 20 ft,,64-48,,
10:34.0,,,64-48,,Defensive rebound by D. Cousins
10:25.0,Personal block foul by M. Plumlee (drawn by D. Cousins),,64-48,,
10:15.0,,,64-50,2,J. Thompson makes 2-pt shot from 15 ft (assist by R. Gay)
9:55.0,J. Johnson misses 3-pt shot from 24 ft,,64-50,,
9:54.0,,,64-50,,Defensive rebound by Team
9:41.0,,,64-50,,B. McLemore misses 3-pt shot from 24 ft
9:40.0,Defensive rebound by Team,,64-50,,
9:21.0,Offensive charge foul by M. Plumlee,,64-50,,
9:21.0,Turnover by M. Plumlee (offensive foul),,64-50,,
9:21.0,B. Lopez enters the game for M. Plumlee,,64-50,,
9:09.0,,,64-52,2,D. Cousins makes 2-pt shot from 17 ft (assist by D. Collison)
8:54.0,J. Jack makes 2-pt shot from 19 ft,2,66-52,,
8:33.0,,,66-54,2,R. Gay makes 2-pt shot from 6 ft (assist by D. Cousins)
8:21.0,J. Jack makes 2-pt shot from 18 ft,2,68-54,,
8:01.0,,,68-56,2,D. Cousins makes 2-pt shot from 14 ft
7:51.0,,,68-56,,Personal foul by D. Collison (drawn by J. Jack)
7:35.0,K. Garnett makes 2-pt shot from 22 ft (assist by J. Jack),2,70-56,,
7:16.0,,,70-56,,B. McLemore misses 2-pt shot from 8 ft
7:16.0,Defensive rebound by K. Garnett,,70-56,,
7:08.0,J. Johnson misses 2-pt shot from 17 ft,,70-56,,
7:08.0,,,70-56,,Defensive rebound by D. Cousins
6:50.0,,,70-56,,D. Cousins misses 2-pt shot from 7 ft
6:49.0,Defensive rebound by K. Garnett,,70-56,,
6:35.0,Turnover by B. Bogdanovic (traveling),,70-56,,
6:19.0,,,70-56,,D. Collison misses 2-pt shot from 7 ft
6:18.0,,,70-56,,Offensive rebound by D. Cousins
6:14.0,,,70-58,2,D. Collison makes 2-pt shot from 13 ft (assist by D. Cousins)
5:56.0,Turnover by B. Bogdanovic (bad pass; steal by R. Gay),,70-58,,
5:52.0,,,70-60,2,B. McLemore makes 2-pt shot from 1 ft (assist by R. Gay)
5:52.0,Brooklyn full timeout,,70-60,,
5:37.0,B. Lopez misses 2-pt shot from 19 ft,,70-60,,
5:36.0,,,70-60,,Defensive rebound by J. Thompson
5:25.0,,,70-60,,D. Collison misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by J. Jack,,70-60,,
5:17.0,B. Lopez makes 2-pt shot from 6 ft (assist by J. Jack),2,72-60,,
5:17.0,Shooting foul by D. Cousins (drawn by B. Lopez),,72-60,,
5:17.0,B. Lopez makes free throw 1 of 1,1,73-60,,
4:58.0,,,73-63,3,B. McLemore makes 3-pt shot from 23 ft (assist by D. Collison)
4:41.0,J. Johnson makes 2-pt shot from 6 ft (assist by B. Lopez),2,75-63,,
4:23.0,,,75-63,,B. McLemore misses 3-pt shot from 25 ft
4:23.0,Defensive rebound by J. Jack,,75-63,,
4:14.0,Shooting foul by D. Collison (drawn by J. Jack),,75-63,,
4:14.0,J. Jack makes free throw 1 of 2,1,76-63,,
4:14.0,A. Anderson enters the game for B. Bogdanovic,,76-63,,
4:14.0,J. Jack makes free throw 2 of 2,1,77-63,,
4:03.0,,,77-63,,R. Gay misses 2-pt shot from 18 ft
4:02.0,Defensive rebound by K. Garnett,,77-63,,
3:51.0,Shooting foul by J. Thompson (drawn by B. Lopez),,77-63,,
3:51.0,B. Lopez makes free throw 1 of 2,1,78-63,,
3:51.0,B. Lopez makes free throw 2 of 2,1,79-63,,
3:40.0,Personal foul by K. Garnett (drawn by D. Cousins),,79-63,,
3:27.0,,,79-63,,Turnover by J. Thompson (lost ball)
3:27.0,M. Teletovic enters the game for K. Garnett,,79-63,,
3:16.0,,,79-63,,D. Williams enters the game for J. Thompson
3:04.0,M. Teletovic misses 3-pt shot from 25 ft,,79-63,,
3:02.0,,,79-63,,Defensive rebound by B. McLemore
2:46.0,,,79-65,2,D. Cousins makes 2-pt shot from 2 ft
2:29.0,Shooting foul by D. Collison (drawn by B. Lopez),,79-65,,
2:29.0,,,79-65,,Sacramento full timeout
2:29.0,,,79-65,,R. Sessions enters the game for R. Gay
2:29.0,,,79-65,,O. Casspi enters the game for D. Collison
2:29.0,B. Lopez makes free throw 1 of 2,1,80-65,,
2:29.0,D. Morris enters the game for J. Johnson,,80-65,,
2:29.0,B. Bogdanovic enters the game for J. Jack,,80-65,,
2:29.0,B. Lopez makes free throw 2 of 2,1,81-65,,
2:13.0,,,81-67,2,D. Cousins makes 2-pt shot from 9 ft (assist by R. Sessions)
1:56.0,B. Bogdanovic misses 2-pt shot from 11 ft,,81-67,,
1:55.0,,,81-67,,Defensive rebound by D. Williams
1:51.0,,,81-69,2,D. Williams makes 2-pt shot at rim (assist by B. McLemore)
1:31.0,Turnover by B. Lopez (lost ball; steal by D. Cousins),,81-69,,
1:30.0,,,81-69,,Turnover by O. Casspi (lost ball)
1:12.0,M. Teletovic misses 2-pt shot from 21 ft,,81-69,,
1:12.0,,,81-69,,Defensive rebound by R. Sessions
1:05.0,Personal foul by B. Bogdanovic (drawn by R. Sessions),,81-69,,
0:50.0,,,81-69,,O. Casspi misses 2-pt shot from 5 ft
0:49.0,Defensive rebound by B. Bogdanovic,,81-69,,
0:36.0,B. Lopez misses 2-pt shot from 19 ft,,81-69,,
0:35.0,,,81-69,,Defensive rebound by O. Casspi
0:14.0,,,81-69,,R. Sessions misses 2-pt shot from 20 ft
0:13.0,Defensive rebound by D. Morris,,81-69,,
0:02.0,,,81-69,,Shooting block foul by D. Cousins (drawn by D. Morris)
0:02.0,D. Morris misses free throw 1 of 2,,81-69,,
0:02.0,Offensive rebound by Team,,81-69,,
0:02.0,J. Jordan enters the game for B. Lopez,,81-69,,
0:02.0,D. Morris makes free throw 2 of 2,1,82-69,,
0:00.0,,,82-69,,B. McLemore misses 3-pt shot from 59 ft
0:00.0,,,82-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,J. Jordan misses 2-pt shot from 6 ft (block by R. Gay),,82-69,,
11:34.0,,,82-69,,Defensive rebound by R. Gay
11:31.0,,,82-69,,Turnover by O. Casspi (lost ball; steal by B. Bogdanovic)
11:13.0,A. Anderson misses 3-pt shot from 24 ft,,82-69,,
11:13.0,Offensive rebound by J. Jordan,,82-69,,
11:12.0,Shooting foul by O. Casspi (drawn by A. Anderson),,82-69,,
11:12.0,A. Anderson makes free throw 1 of 2,1,83-69,,
11:12.0,J. Johnson enters the game for B. Bogdanovic,,83-69,,
11:12.0,A. Anderson makes free throw 2 of 2,1,84-69,,
11:00.0,Personal block foul by A. Anderson (drawn by R. Sessions),,84-69,,
10:47.0,,,84-69,,D. Williams misses 2-pt shot from 19 ft
10:43.0,Defensive rebound by A. Anderson,,84-69,,
10:33.0,D. Morris makes 2-pt shot from 3 ft,2,86-69,,
10:25.0,,,86-69,,Sacramento full timeout
10:25.0,,,86-69,,D. Collison enters the game for J. Thompson
10:25.0,,,86-69,,D. Cousins enters the game for D. Williams
10:15.0,Personal foul by J. Jordan (drawn by D. Cousins),,86-69,,
10:15.0,J. Jack enters the game for M. Teletovic,,86-69,,
10:04.0,,,86-69,,R. Gay misses 2-pt shot from 10 ft
10:03.0,,,86-69,,Offensive rebound by D. Cousins
10:01.0,,,86-71,2,D. Cousins makes 2-pt shot from 3 ft
10:01.0,,,86-71,,Shooting foul by J. Jordan (drawn by D. Cousins)
10:01.0,B. Lopez enters the game for J. Jordan,,86-71,,
10:01.0,,,86-71,,D. Cousins misses free throw 1 of 1
10:00.0,Defensive rebound by J. Johnson,,86-71,,
9:36.0,B. Lopez misses 3-pt shot from 28 ft,,86-71,,
9:36.0,Offensive rebound by Team,,86-71,,
9:36.0,Turnover by Team (shot clock),,86-71,,
9:23.0,,,86-71,,D. Collison misses 3-pt shot from 23 ft
9:22.0,,,86-71,,Offensive rebound by R. Gay
9:20.0,,,86-71,,Turnover by R. Gay (lost ball; steal by J. Jack)
9:15.0,Turnover by J. Jack (lost ball; steal by D. Collison),,86-71,,
9:06.0,,,86-71,,O. Casspi misses 2-pt shot from 11 ft
9:01.0,,,86-71,,Offensive rebound by D. Cousins
9:01.0,,,86-73,2,D. Cousins makes 2-pt shot from 1 ft
8:49.0,Turnover by A. Anderson (palming),,86-73,,
8:39.0,,,86-73,,D. Cousins misses 2-pt shot from 8 ft (block by B. Lopez)
8:38.0,Defensive rebound by B. Lopez,,86-73,,
8:21.0,D. Morris makes 2-pt shot from 12 ft,2,88-73,,
8:06.0,,,88-73,,Turnover by D. Collison (traveling)
7:48.0,J. Johnson misses 2-pt shot from 10 ft,,88-73,,
7:46.0,,,88-73,,Defensive rebound by R. Gay
7:35.0,,,88-75,2,R. Gay makes 2-pt shot from 2 ft
7:35.0,,,88-75,,Shooting foul by J. Johnson (drawn by R. Gay)
7:35.0,,,88-75,,B. McLemore enters the game for O. Casspi
7:35.0,,,88-76,1,R. Gay makes free throw 1 of 1
7:10.0,D. Morris misses 3-pt shot from 26 ft,,88-76,,
7:09.0,,,88-76,,Defensive rebound by B. McLemore
6:54.0,,,88-79,3,R. Gay makes 3-pt shot from 24 ft (assist by B. McLemore)
6:54.0,Brooklyn full timeout,,88-79,,
6:54.0,B. Bogdanovic enters the game for D. Morris,,88-79,,
6:30.0,J. Johnson misses 3-pt shot from 25 ft,,88-79,,
6:30.0,,,88-79,,Defensive rebound by D. Cousins
6:13.0,,,88-81,2,R. Gay makes 2-pt shot from 6 ft
5:42.0,A. Anderson misses 2-pt shot from 13 ft,,88-81,,
5:42.0,,,88-81,,Defensive rebound by B. McLemore
5:29.0,,,88-81,,D. Cousins misses 2-pt shot from 13 ft
5:29.0,Defensive rebound by J. Johnson,,88-81,,
5:17.0,J. Jack makes 3-pt shot from 25 ft,3,91-81,,
5:06.0,,,91-83,2,R. Gay makes 2-pt shot from 2 ft (assist by R. Sessions)
4:43.0,Turnover by B. Lopez (lost ball; steal by D. Cousins),,91-83,,
4:40.0,,,91-85,2,R. Gay makes 2-pt shot at rim
4:39.0,Brooklyn full timeout,,91-85,,
4:26.0,Shooting foul by R. Sessions (drawn by A. Anderson),,91-85,,
4:26.0,A. Anderson makes free throw 1 of 3,1,92-85,,
4:26.0,A. Anderson makes free throw 2 of 3,1,93-85,,
4:26.0,A. Anderson makes free throw 3 of 3,1,94-85,,
4:18.0,Personal foul by A. Anderson (drawn by D. Collison),,94-85,,
4:18.0,,,94-86,1,D. Collison makes free throw 1 of 2
4:18.0,,,94-87,1,D. Collison makes free throw 2 of 2
3:54.0,B. Lopez misses 2-pt shot from 12 ft,,94-87,,
3:53.0,,,94-87,,Defensive rebound by R. Gay
3:42.0,,,94-87,,Shooting foul by B. Lopez (drawn by D. Cousins)
3:42.0,,,94-88,1,D. Cousins makes free throw 1 of 2
3:42.0,,,94-88,,D. Cousins misses free throw 2 of 2
3:40.0,Defensive rebound by J. Johnson,,94-88,,
3:30.0,,,94-88,,Personal foul by D. Cousins (drawn by J. Johnson)
3:23.0,J. Johnson misses 2-pt shot from 7 ft,,94-88,,
3:22.0,,,94-88,,Defensive rebound by R. Sessions
3:18.0,,,94-88,,Turnover by R. Sessions (lost ball; steal by A. Anderson)
3:01.0,J. Jack misses 3-pt shot from 24 ft,,94-88,,
3:00.0,Offensive rebound by B. Lopez,,94-88,,
3:00.0,,,94-88,,Violation by D. Cousins (def goaltending)
3:00.0,B. Lopez makes 2-pt shot from 1 ft,2,96-88,,
2:50.0,,,96-90,2,R. Gay makes 2-pt shot from 8 ft (assist by R. Sessions)
2:28.0,B. Bogdanovic misses 3-pt shot from 25 ft,,96-90,,
2:27.0,,,96-90,,Defensive rebound by R. Sessions
2:04.0,,,96-90,,D. Cousins misses 2-pt shot from 2 ft
2:03.0,,,96-90,,Offensive rebound by D. Collison
2:03.0,,,96-92,2,D. Collison makes 2-pt shot from 1 ft
1:40.0,A. Anderson misses 2-pt shot from 6 ft,,96-92,,
1:39.0,,,96-92,,Defensive rebound by D. Cousins
