time,Miami,pts.away,score,pts.home,Boston
5:37.0,Defensive rebound by C. Andersen,,13-7,,
5:20.0,Turnover by S. Williams (bad pass; steal by M. Thornton),,13-7,,
5:11.0,,,13-7,,M. Thornton misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by S. Napier,,13-7,,
5:05.0,,,13-7,,Personal foul by A. Bradley (drawn by S. Napier)
4:50.0,S. Williams misses 3-pt shot from 23 ft,,13-7,,
4:49.0,,,13-7,,Defensive rebound by E. Turner
4:40.0,,,13-7,,B. Bass misses 2-pt shot from 7 ft
4:38.0,,,13-7,,Offensive rebound by A. Bradley
4:35.0,,,13-9,2,A. Bradley makes 2-pt shot at rim
4:03.0,M. Chalmers misses 3-pt shot from 22 ft,,13-9,,
4:02.0,Offensive rebound by D. Granger,,13-9,,
4:01.0,D. Granger makes 2-pt shot at rim,2,15-9,,
3:48.0,,,15-9,,E. Turner misses 3-pt shot from 25 ft
3:47.0,Defensive rebound by S. Napier,,15-9,,
3:47.0,,,15-9,,Personal foul by M. Thornton (drawn by S. Napier)
3:47.0,,,15-9,,M. Smart enters the game for A. Bradley
3:26.0,Shooting foul by J. Sullinger (drawn by D. Granger),,15-9,,
3:26.0,D. Granger makes free throw 1 of 2,1,16-9,,
3:26.0,T. Johnson enters the game for M. Chalmers,,16-9,,
3:26.0,N. Cole enters the game for S. Napier,,16-9,,
3:26.0,D. Granger makes free throw 2 of 2,1,17-9,,
3:15.0,,,17-9,,Shooting foul by S. Williams (drawn by B. Bass)
3:15.0,,,17-9,,B. Bass misses free throw 1 of 2
3:15.0,,,17-9,,Offensive rebound by Team
3:15.0,C. Bosh enters the game for S. Williams,,17-9,,
3:15.0,,,17-10,1,B. Bass makes free throw 2 of 2
2:58.0,D. Granger misses 3-pt shot from 26 ft,,17-10,,
2:58.0,Offensive rebound by Team,,17-10,,
2:58.0,,,17-10,,Personal foul by M. Smart (drawn by T. Johnson)
2:58.0,Miami full timeout,,17-10,,
2:58.0,T. Johnson makes free throw 1 of 2,1,18-10,,
2:58.0,T. Johnson misses free throw 2 of 2,,18-10,,
2:57.0,,,18-10,,Defensive rebound by E. Turner
2:35.0,,,18-10,,B. Bass misses 2-pt shot at rim
2:34.0,,,18-10,,Offensive rebound by M. Smart
2:31.0,,,18-13,3,M. Thornton makes 3-pt shot from 24 ft (assist by M. Smart)
2:05.0,C. Bosh makes 2-pt shot from 17 ft,2,20-13,,
1:42.0,,,20-13,,J. Sullinger misses 2-pt shot from 10 ft
1:41.0,Defensive rebound by C. Andersen,,20-13,,
1:35.0,N. Cole misses 2-pt shot from 2 ft,,20-13,,
1:34.0,,,20-13,,Defensive rebound by B. Bass
1:23.0,,,20-13,,M. Thornton misses 3-pt shot from 23 ft
1:22.0,Defensive rebound by C. Bosh,,20-13,,
1:09.0,Turnover by N. Cole (bad pass),,20-13,,
1:09.0,J. Ennis enters the game for D. Granger,,20-13,,
1:09.0,,,20-13,,J. Young enters the game for E. Turner
0:48.0,,,20-13,,J. Sullinger misses 2-pt shot from 7 ft
0:47.0,,,20-13,,Offensive rebound by M. Thornton
0:46.0,,,20-15,2,M. Thornton makes 2-pt shot from 6 ft
0:31.0,Shooting foul by B. Bass (drawn by C. Bosh),,20-15,,
0:31.0,C. Bosh makes free throw 1 of 2,1,21-15,,
0:31.0,C. Bosh makes free throw 2 of 2,1,22-15,,
0:15.0,,,22-15,,B. Bass misses 2-pt shot from 13 ft
0:14.0,Defensive rebound by N. Cole,,22-15,,
0:02.0,C. Andersen makes 3-pt shot from 22 ft (assist by N. Cole),3,25-15,,
0:01.0,,,25-15,,M. Thornton misses 3-pt shot from 29 ft (block by T. Johnson)
0:00.0,,,25-15,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Personal foul by C. Andersen (drawn by T. Zeller),,25-15,,
11:33.0,,,25-17,2,T. Zeller makes 2-pt shot from 7 ft
11:13.0,C. Andersen makes 2-pt shot at rim (assist by T. Johnson),2,27-17,,
10:46.0,,,27-19,2,M. Thornton makes 2-pt shot from 19 ft (assist by T. Zeller)
10:29.0,J. Ennis misses 3-pt shot from 24 ft,,27-19,,
10:28.0,,,27-19,,Defensive rebound by M. Smart
10:16.0,,,27-19,,M. Thornton misses 2-pt shot from 13 ft (block by T. Johnson)
10:15.0,Defensive rebound by T. Johnson,,27-19,,
10:14.0,Turnover by T. Johnson (bad pass),,27-19,,
10:02.0,,,27-19,,G. Wallace misses 2-pt shot from 1 ft
10:00.0,Defensive rebound by T. Johnson,,27-19,,
9:50.0,C. Bosh misses 3-pt shot from 24 ft,,27-19,,
9:48.0,,,27-19,,Defensive rebound by T. Zeller
9:42.0,Personal foul by N. Cole (drawn by M. Thornton),,27-19,,
9:36.0,,,27-21,2,J. Young makes 2-pt shot from 17 ft (assist by M. Smart)
9:14.0,C. Bosh misses 2-pt shot from 14 ft,,27-21,,
9:12.0,,,27-21,,Defensive rebound by M. Smart
9:06.0,,,27-23,2,T. Zeller makes 2-pt shot at rim (assist by M. Smart)
9:04.0,Miami full timeout,,27-23,,
8:46.0,C. Bosh misses 2-pt shot from 7 ft,,27-23,,
8:44.0,,,27-23,,Defensive rebound by J. Young
8:39.0,,,27-23,,T. Zeller misses 2-pt shot from 1 ft (block by C. Bosh)
8:36.0,Defensive rebound by T. Johnson,,27-23,,
8:31.0,N. Cole makes 2-pt shot from 15 ft (assist by T. Johnson),2,29-23,,
8:12.0,,,29-23,,T. Zeller misses 2-pt shot from 6 ft
8:11.0,Defensive rebound by C. Bosh,,29-23,,
8:02.0,C. Bosh misses 3-pt shot from 25 ft,,29-23,,
8:01.0,,,29-23,,Defensive rebound by G. Wallace
7:55.0,,,29-23,,Turnover by M. Thornton (lost ball; steal by J. Ennis)
7:50.0,T. Johnson misses 2-pt shot at rim (block by M. Smart),,29-23,,
7:48.0,,,29-23,,Defensive rebound by M. Thornton
7:40.0,,,29-23,,J. Young misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by T. Johnson,,29-23,,
7:17.0,T. Johnson makes 2-pt shot from 22 ft (assist by C. Andersen),2,31-23,,
7:05.0,,,31-23,,Turnover by M. Smart (bad pass; steal by T. Johnson)
7:04.0,,,31-23,,Clear path foul by M. Thornton
7:04.0,T. Johnson makes clear path free throw 1 of 2,1,32-23,,
7:04.0,T. Johnson makes clear path free throw 2 of 2,1,33-23,,
7:04.0,,,33-23,,A. Bradley enters the game for T. Zeller
7:04.0,,,33-23,,J. Sullinger enters the game for M. Thornton
7:04.0,M. Chalmers enters the game for C. Bosh,,33-23,,
7:04.0,H. Whiteside enters the game for C. Andersen,,33-23,,
7:04.0,S. Williams enters the game for N. Cole,,33-23,,
6:41.0,H. Whiteside makes 2-pt shot from 11 ft (assist by T. Johnson),2,35-23,,
6:27.0,,,35-25,2,A. Bradley makes 2-pt shot from 3 ft (assist by M. Smart)
6:11.0,H. Whiteside misses 2-pt shot from 3 ft,,35-25,,
6:10.0,,,35-25,,Defensive rebound by J. Young
6:02.0,,,35-25,,J. Sullinger misses 3-pt shot from 25 ft
6:01.0,Defensive rebound by H. Whiteside,,35-25,,
5:50.0,H. Whiteside misses 2-pt shot from 4 ft,,35-25,,
5:48.0,,,35-25,,Defensive rebound by J. Sullinger
5:40.0,,,35-25,,M. Smart misses 2-pt shot from 6 ft
5:38.0,Defensive rebound by J. Ennis,,35-25,,
5:20.0,J. Ennis makes 2-pt shot from 17 ft (assist by M. Chalmers),2,37-25,,
5:16.0,,,37-25,,Turnover by G. Wallace (bad pass; steal by M. Chalmers)
5:08.0,T. Johnson misses 3-pt shot from 24 ft,,37-25,,
5:07.0,Offensive rebound by M. Chalmers,,37-25,,
4:57.0,Offensive charge foul by M. Chalmers,,37-25,,
4:57.0,Turnover by M. Chalmers (offensive foul),,37-25,,
4:57.0,Official timeout,,37-25,,
4:57.0,,,37-25,,J. Crowder enters the game for G. Wallace
4:57.0,,,37-25,,B. Bass enters the game for J. Young
4:57.0,,,37-25,,E. Turner enters the game for M. Smart
4:57.0,S. Napier enters the game for T. Johnson,,37-25,,
4:43.0,,,37-27,2,J. Sullinger makes 2-pt shot from 12 ft (assist by A. Bradley)
4:15.0,S. Napier misses 2-pt shot from 20 ft,,37-27,,
4:13.0,,,37-27,,Defensive rebound by B. Bass
4:06.0,Personal foul by S. Williams (drawn by J. Sullinger),,37-27,,
4:06.0,C. Bosh enters the game for S. Williams,,37-27,,
3:56.0,,,37-27,,B. Bass misses 2-pt shot from 1 ft (block by H. Whiteside)
3:53.0,Defensive rebound by S. Napier,,37-27,,
3:45.0,C. Bosh misses 2-pt shot from 10 ft,,37-27,,
3:45.0,,,37-27,,Defensive rebound by E. Turner
3:39.0,,,37-27,,Offensive charge foul by J. Sullinger
3:39.0,,,37-27,,Turnover by J. Sullinger (offensive foul)
3:25.0,Turnover by M. Chalmers (step out of bounds),,37-27,,
3:18.0,,,37-27,,E. Turner misses 2-pt shot from 1 ft
3:17.0,Defensive rebound by S. Napier,,37-27,,
3:06.0,C. Bosh misses 2-pt shot from 13 ft,,37-27,,
3:05.0,,,37-27,,Defensive rebound by E. Turner
2:49.0,,,37-27,,A. Bradley misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by C. Bosh,,37-27,,
2:37.0,H. Whiteside makes 2-pt shot from 3 ft (assist by S. Napier),2,39-27,,
2:35.0,,,39-27,,Boston full timeout
2:35.0,D. Granger enters the game for J. Ennis,,39-27,,
2:16.0,,,39-29,2,B. Bass makes 2-pt shot from 16 ft (assist by E. Turner)
1:57.0,C. Bosh makes 3-pt shot from 23 ft (assist by S. Napier),3,42-29,,
1:44.0,,,42-29,,Turnover by J. Sullinger (bad pass)
1:44.0,C. Andersen enters the game for H. Whiteside,,42-29,,
1:44.0,,,42-29,,P. Pressey enters the game for E. Turner
1:24.0,M. Chalmers makes 2-pt shot from 1 ft,2,44-29,,
1:11.0,,,44-29,,J. Sullinger misses 3-pt shot from 24 ft
1:10.0,Defensive rebound by C. Andersen,,44-29,,
0:57.0,Turnover by C. Bosh (lost ball),,44-29,,
0:43.0,,,44-31,2,J. Sullinger makes 2-pt shot from 7 ft (assist by P. Pressey)
0:22.0,C. Bosh misses 2-pt shot from 20 ft,,44-31,,
0:21.0,,,44-31,,Defensive rebound by J. Crowder
0:20.0,,,44-31,,Turnover by J. Crowder (bad pass; steal by S. Napier)
0:15.0,Miami full timeout,,44-31,,
0:15.0,T. Johnson enters the game for C. Andersen,,44-31,,
0:03.0,S. Napier misses 2-pt shot from 18 ft,,44-31,,
0:02.0,Offensive rebound by Team,,44-31,,
0:02.0,,,44-31,,Loose ball foul by J. Crowder (drawn by C. Bosh)
0:02.0,,,44-31,,M. Smart enters the game for P. Pressey
0:00.0,M. Chalmers misses 2-pt shot from 20 ft,,44-31,,
0:00.0,Offensive rebound by Team,,44-31,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,44-33,2,A. Bradley makes 2-pt shot from 22 ft (assist by T. Zeller)
11:30.0,C. Bosh makes 2-pt shot from 13 ft,2,46-33,,
11:17.0,,,46-35,2,A. Bradley makes 2-pt shot from 20 ft (assist by T. Zeller)
10:50.0,Turnover by C. Bosh (lost ball; steal by A. Bradley),,46-35,,
10:49.0,Loose ball foul by C. Bosh (drawn by A. Bradley),,46-35,,
10:36.0,,,46-37,2,B. Bass makes 2-pt shot from 16 ft (assist by A. Bradley)
10:15.0,Shooting foul by B. Bass (drawn by C. Bosh),,46-37,,
10:15.0,C. Bosh makes free throw 1 of 2,1,47-37,,
10:15.0,C. Bosh misses free throw 2 of 2,,47-37,,
10:14.0,,,47-37,,Defensive rebound by J. Crowder
10:06.0,,,47-40,3,J. Crowder makes 3-pt shot from 24 ft (assist by M. Smart)
10:02.0,C. Andersen enters the game for H. Whiteside,,47-40,,
9:43.0,D. Granger makes 2-pt shot from 11 ft,2,49-40,,
9:25.0,,,49-42,2,A. Bradley makes 2-pt shot from 21 ft (assist by M. Smart)
8:59.0,Turnover by Team (shot clock),,49-42,,
8:50.0,,,49-42,,Offensive foul by T. Zeller
8:50.0,,,49-42,,Turnover by T. Zeller (offensive foul)
8:25.0,C. Bosh misses 2-pt shot from 16 ft,,49-42,,
8:24.0,Offensive rebound by Team,,49-42,,
8:11.0,S. Napier misses 3-pt shot from 24 ft,,49-42,,
8:11.0,,,49-42,,Defensive rebound by Team
8:11.0,Loose ball foul by D. Granger (drawn by M. Smart),,49-42,,
7:52.0,,,49-42,,Shooting foul by C. Andersen (drawn by T. Zeller)
7:52.0,,,49-42,,T. Zeller misses free throw 1 of 2
7:52.0,,,49-42,,Offensive rebound by Team
7:52.0,,,49-43,1,T. Zeller makes free throw 2 of 2
7:33.0,S. Napier makes 2-pt shot from 17 ft (assist by M. Chalmers),2,51-43,,
7:20.0,,,51-45,2,B. Bass makes 2-pt shot from 16 ft (assist by M. Smart)
7:02.0,D. Granger misses 3-pt shot from 25 ft,,51-45,,
7:00.0,,,51-45,,Defensive rebound by A. Bradley
6:47.0,,,51-47,2,T. Zeller makes 2-pt shot from 3 ft (assist by J. Crowder)
6:47.0,Miami full timeout,,51-47,,
6:26.0,C. Bosh misses 2-pt shot from 16 ft,,51-47,,
6:25.0,Offensive rebound by M. Chalmers,,51-47,,
6:17.0,Shooting foul by M. Smart (drawn by C. Bosh),,51-47,,
6:17.0,C. Bosh makes free throw 1 of 2,1,52-47,,
6:17.0,C. Bosh makes free throw 2 of 2,1,53-47,,
5:54.0,,,53-47,,M. Smart misses 3-pt shot from 28 ft
5:53.0,,,53-47,,Offensive rebound by T. Zeller
5:40.0,,,53-47,,T. Zeller misses 2-pt shot from 4 ft
5:39.0,Defensive rebound by C. Andersen,,53-47,,
5:27.0,D. Granger misses 3-pt shot from 23 ft,,53-47,,
5:26.0,,,53-47,,Defensive rebound by B. Bass
5:11.0,,,53-47,,J. Crowder misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by C. Andersen,,53-47,,
4:55.0,Turnover by C. Bosh (bad pass; steal by A. Bradley),,53-47,,
4:50.0,,,53-49,2,A. Bradley makes 2-pt shot at rim
4:23.0,S. Napier misses 3-pt shot from 25 ft,,53-49,,
4:22.0,Offensive rebound by Team,,53-49,,
4:22.0,Turnover by Team (shot clock),,53-49,,
4:22.0,T. Johnson enters the game for S. Napier,,53-49,,
4:22.0,H. Whiteside enters the game for C. Andersen,,53-49,,
4:09.0,,,53-51,2,B. Bass makes 2-pt shot from 5 ft
3:48.0,H. Whiteside makes 2-pt shot from 8 ft (assist by C. Bosh),2,55-51,,
3:23.0,,,55-51,,A. Bradley misses 2-pt shot from 19 ft
3:21.0,,,55-51,,Offensive rebound by B. Bass
3:21.0,,,55-51,,B. Bass misses 2-pt shot from 1 ft
3:19.0,Defensive rebound by C. Bosh,,55-51,,
3:13.0,Turnover by M. Chalmers (bad pass),,55-51,,
3:13.0,,,55-51,,J. Sullinger enters the game for T. Zeller
3:13.0,J. Ennis enters the game for D. Granger,,55-51,,
3:01.0,,,55-53,2,A. Bradley makes 2-pt shot from 22 ft (assist by J. Sullinger)
3:01.0,Miami full timeout,,55-53,,
3:01.0,,,55-53,,M. Thornton enters the game for J. Crowder
3:01.0,S. Williams enters the game for C. Bosh,,55-53,,
2:46.0,Turnover by M. Chalmers (bad pass; steal by M. Thornton),,55-53,,
2:42.0,,,55-53,,Shooting foul by T. Johnson (drawn by M. Thornton)
2:42.0,,,55-54,1,M. Thornton makes free throw 1 of 2
2:42.0,N. Cole enters the game for M. Chalmers,,55-54,,
2:42.0,,,55-55,1,M. Thornton makes free throw 2 of 2
2:27.0,J. Ennis makes 2-pt shot from 2 ft,2,57-55,,
2:12.0,,,57-55,,M. Thornton misses 2-pt shot from 1 ft (block by H. Whiteside)
2:11.0,Defensive rebound by T. Johnson,,57-55,,
1:59.0,T. Johnson misses 2-pt shot from 3 ft (block by B. Bass),,57-55,,
1:58.0,Offensive rebound by T. Johnson,,57-55,,
1:56.0,Offensive foul by J. Ennis,,57-55,,
1:56.0,Turnover by J. Ennis (offensive foul),,57-55,,
1:43.0,,,57-55,,J. Sullinger misses 2-pt shot from 2 ft (block by H. Whiteside)
1:42.0,,,57-55,,Offensive rebound by Team
1:41.0,Personal foul by S. Williams (drawn by J. Sullinger),,57-55,,
1:41.0,,,57-55,,J. Sullinger misses free throw 1 of 2
1:41.0,,,57-55,,Offensive rebound by Team
1:41.0,,,57-55,,P. Pressey enters the game for A. Bradley
1:41.0,,,57-56,1,J. Sullinger makes free throw 2 of 2
1:21.0,H. Whiteside makes 2-pt shot from 6 ft,2,59-56,,
1:02.0,,,59-58,2,J. Sullinger makes 2-pt shot from 12 ft (assist by M. Smart)
0:42.0,T. Johnson misses 3-pt shot from 24 ft,,59-58,,
0:41.0,,,59-58,,Defensive rebound by Team
0:41.0,Loose ball foul by S. Williams (drawn by P. Pressey),,59-58,,
0:41.0,,,59-58,,P. Pressey misses free throw 1 of 2
0:41.0,,,59-58,,Offensive rebound by Team
0:41.0,C. Bosh enters the game for S. Williams,,59-58,,
0:41.0,,,59-58,,T. Zeller enters the game for B. Bass
0:41.0,,,59-59,1,P. Pressey makes free throw 2 of 2
0:22.0,N. Cole misses 2-pt shot from 4 ft,,59-59,,
0:21.0,Offensive rebound by H. Whiteside,,59-59,,
0:21.0,H. Whiteside makes 2-pt shot at rim,2,61-59,,
0:03.0,,,61-59,,J. Sullinger misses 2-pt shot from 8 ft
0:02.0,,,61-59,,Offensive rebound by T. Zeller
0:00.0,,,61-59,,T. Zeller misses 2-pt shot from 4 ft
0:00.0,,,61-59,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,H. Whiteside makes 2-pt shot from 4 ft (assist by N. Cole),2,63-59,,
11:19.0,,,63-59,,P. Pressey misses 2-pt shot from 12 ft
11:18.0,,,63-59,,Offensive rebound by Team
11:18.0,,,63-59,,Turnover by Team (shot clock)
10:57.0,C. Bosh misses 2-pt shot from 17 ft,,63-59,,
10:55.0,,,63-59,,Defensive rebound by J. Sullinger
10:43.0,,,63-59,,M. Thornton misses 2-pt shot from 7 ft
10:41.0,,,63-59,,Offensive rebound by J. Sullinger
10:38.0,,,63-59,,J. Sullinger misses 2-pt shot from 16 ft
10:37.0,Defensive rebound by Team,,63-59,,
10:37.0,,,63-59,,Loose ball foul by M. Thornton (drawn by T. Johnson)
10:17.0,H. Whiteside makes 2-pt shot from 16 ft (assist by T. Johnson),2,65-59,,
10:01.0,,,65-59,,Turnover by J. Sullinger (bad pass)
10:01.0,,,65-59,,E. Turner enters the game for M. Thornton
9:45.0,H. Whiteside makes 2-pt shot from 14 ft,2,67-59,,
9:29.0,,,67-59,,J. Sullinger misses 2-pt shot from 14 ft
9:28.0,Defensive rebound by J. Ennis,,67-59,,
9:19.0,H. Whiteside misses 2-pt shot from 15 ft,,67-59,,
9:18.0,Offensive rebound by C. Bosh,,67-59,,
9:17.0,C. Bosh makes 2-pt shot at rim,2,69-59,,
9:17.0,Shooting foul by J. Sullinger (drawn by C. Bosh),,69-59,,
9:17.0,,,69-59,,B. Bass enters the game for J. Sullinger
9:17.0,C. Bosh misses free throw 1 of 1,,69-59,,
9:16.0,,,69-59,,Defensive rebound by J. Crowder
9:02.0,,,69-59,,P. Pressey misses 2-pt shot from 21 ft
9:01.0,,,69-59,,Offensive rebound by Team
8:54.0,,,69-61,2,T. Zeller makes 2-pt shot from 7 ft (assist by P. Pressey)
8:33.0,T. Johnson makes 3-pt shot from 25 ft (assist by C. Bosh),3,72-61,,
8:16.0,,,72-61,,B. Bass misses 2-pt shot from 15 ft
8:15.0,Defensive rebound by H. Whiteside,,72-61,,
8:02.0,J. Ennis misses 3-pt shot from 25 ft,,72-61,,
8:01.0,Offensive rebound by T. Johnson,,72-61,,
7:55.0,C. Bosh misses 3-pt shot from 25 ft,,72-61,,
7:54.0,,,72-61,,Defensive rebound by T. Zeller
7:41.0,,,72-63,2,B. Bass makes 2-pt shot from 1 ft
7:18.0,Turnover by Team (back court),,72-63,,
7:18.0,Official timeout,,72-63,,
7:18.0,,,72-63,,A. Bradley enters the game for J. Crowder
7:18.0,,,72-63,,M. Smart enters the game for P. Pressey
7:18.0,U. Haslem enters the game for C. Bosh,,72-63,,
7:11.0,,,72-65,2,B. Bass makes 2-pt shot from 15 ft (assist by M. Smart)
6:46.0,J. Ennis misses 2-pt shot from 18 ft,,72-65,,
6:45.0,,,72-65,,Defensive rebound by M. Smart
6:40.0,,,72-65,,T. Zeller misses 2-pt shot from 2 ft (block by U. Haslem)
6:38.0,Defensive rebound by T. Johnson,,72-65,,
6:33.0,J. Ennis makes 2-pt shot from 1 ft (assist by N. Cole),2,74-65,,
6:21.0,Personal foul by N. Cole (drawn by B. Bass),,74-65,,
6:15.0,,,74-65,,A. Bradley misses 2-pt shot from 14 ft
6:14.0,Defensive rebound by Team,,74-65,,
6:02.0,N. Cole misses 2-pt shot from 3 ft (block by B. Bass),,74-65,,
6:00.0,Offensive rebound by H. Whiteside,,74-65,,
5:58.0,H. Whiteside misses 2-pt shot from 1 ft,,74-65,,
5:56.0,,,74-65,,Defensive rebound by M. Smart
5:40.0,,,74-65,,M. Smart misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by N. Cole,,74-65,,
5:24.0,H. Whiteside misses 2-pt shot from 12 ft,,74-65,,
5:23.0,,,74-65,,Defensive rebound by B. Bass
5:07.0,,,74-65,,M. Smart misses 2-pt shot from 5 ft
5:06.0,Defensive rebound by H. Whiteside,,74-65,,
5:01.0,T. Johnson makes 2-pt shot from 3 ft (assist by N. Cole),2,76-65,,
5:00.0,,,76-65,,Boston full timeout
5:00.0,,,76-65,,J. Crowder enters the game for E. Turner
4:44.0,,,76-65,,A. Bradley misses 2-pt shot from 3 ft
4:42.0,Defensive rebound by J. Ennis,,76-65,,
4:26.0,Turnover by J. Ennis (traveling),,76-65,,
4:19.0,,,76-65,,Turnover by A. Bradley (bad pass)
4:03.0,T. Johnson misses 2-pt shot from 19 ft,,76-65,,
4:02.0,,,76-65,,Defensive rebound by J. Crowder
3:44.0,,,76-68,3,A. Bradley makes 3-pt shot from 24 ft (assist by J. Crowder)
3:22.0,H. Whiteside misses 2-pt shot from 17 ft,,76-68,,
3:20.0,,,76-68,,Defensive rebound by B. Bass
3:15.0,,,76-68,,Turnover by T. Zeller (lost ball; steal by T. Johnson)
3:15.0,,,76-68,,Loose ball foul by T. Zeller (drawn by T. Johnson)
3:15.0,C. Bosh enters the game for U. Haslem,,76-68,,
2:54.0,T. Johnson makes 2-pt shot from 2 ft,2,78-68,,
2:42.0,,,78-70,2,T. Zeller makes 2-pt shot from 6 ft (assist by B. Bass)
2:27.0,Miami full timeout,,78-70,,
2:16.0,Shooting foul by A. Bradley (drawn by J. Ennis),,78-70,,
2:16.0,J. Ennis makes free throw 1 of 2,1,79-70,,
2:16.0,J. Ennis makes free throw 2 of 2,1,80-70,,
2:07.0,,,80-70,,A. Bradley misses 3-pt shot from 25 ft
2:06.0,,,80-70,,Offensive rebound by T. Zeller
2:01.0,,,80-73,3,M. Smart makes 3-pt shot from 24 ft (assist by T. Zeller)
1:36.0,Turnover by C. Bosh (3 sec),,80-73,,
1:36.0,,,80-73,,Boston full timeout
1:32.0,,,80-73,,Shooting foul by H. Whiteside (drawn by T. Zeller)
1:32.0,,,80-73,,T. Zeller misses free throw 1 of 2
1:32.0,,,80-73,,Offensive rebound by Team
1:32.0,,,80-74,1,T. Zeller makes free throw 2 of 2
1:29.0,Turnover by J. Ennis (bad pass; steal by M. Smart),,80-74,,
