time,LA Lakers,pts.away,score,pts.home,Toronto
7:45.0,,,11-7,,Defensive rebound by J. Valanciunas
7:30.0,,,11-9,2,A. Johnson makes 2-pt shot from 4 ft (assist by D. DeRozan)
7:07.0,W. Johnson misses 3-pt shot from 23 ft,,11-9,,
7:06.0,Offensive rebound by T. Black,,11-9,,
6:59.0,J. Clarkson misses 2-pt shot from 5 ft,,11-9,,
6:58.0,Offensive rebound by T. Black,,11-9,,
6:53.0,R. Kelly makes 2-pt shot from 18 ft (assist by T. Black),2,13-9,,
6:46.0,,,13-9,,Toronto full timeout
6:46.0,,,13-9,,P. Patterson enters the game for J. Valanciunas
6:29.0,,,13-11,2,A. Johnson makes 2-pt shot at rim (assist by G. Vasquez)
6:03.0,J. Lin makes 3-pt shot from 27 ft,3,16-11,,
5:49.0,,,16-11,,Shooting foul by T. Black (drawn by D. DeRozan)
5:49.0,,,16-11,,D. DeRozan misses free throw 1 of 2
5:49.0,,,16-11,,Offensive rebound by Team
5:49.0,W. Ellington enters the game for J. Clarkson,,16-11,,
5:49.0,R. Sacre enters the game for T. Black,,16-11,,
5:49.0,,,16-12,1,D. DeRozan makes free throw 2 of 2
5:27.0,W. Johnson misses 2-pt shot from 19 ft,,16-12,,
5:26.0,,,16-12,,Defensive rebound by G. Vasquez
5:16.0,,,16-12,,D. DeRozan misses 2-pt shot from 2 ft
5:15.0,Defensive rebound by W. Johnson,,16-12,,
5:06.0,W. Johnson misses 2-pt shot from 16 ft,,16-12,,
5:05.0,,,16-12,,Defensive rebound by P. Patterson
4:54.0,,,16-14,2,A. Johnson makes 2-pt shot from 1 ft (assist by P. Patterson)
4:37.0,W. Ellington misses 3-pt shot from 22 ft,,16-14,,
4:36.0,,,16-14,,Defensive rebound by P. Patterson
4:24.0,,,16-14,,Turnover by P. Patterson (lost ball; steal by R. Sacre)
4:10.0,W. Johnson misses 3-pt shot from 25 ft,,16-14,,
4:10.0,,,16-14,,Defensive rebound by T. Ross
3:58.0,,,16-14,,Turnover by A. Johnson (lost ball)
3:50.0,J. Lin makes 2-pt shot from 1 ft (assist by W. Johnson),2,18-14,,
3:21.0,,,18-14,,G. Vasquez misses 3-pt shot from 27 ft
3:19.0,Defensive rebound by W. Johnson,,18-14,,
2:57.0,W. Ellington misses 2-pt shot from 4 ft,,18-14,,
2:55.0,Offensive rebound by R. Sacre,,18-14,,
2:55.0,Turnover by Team (shot clock),,18-14,,
2:55.0,LA Lakers full timeout,,18-14,,
2:55.0,,,18-14,,T. Hansbrough enters the game for A. Johnson
2:55.0,,,18-14,,L. Williams enters the game for G. Vasquez
2:55.0,E. Davis enters the game for W. Johnson,,18-14,,
2:55.0,J. Brown enters the game for R. Kelly,,18-14,,
2:31.0,,,18-14,,D. DeRozan misses 2-pt shot from 17 ft
2:30.0,Defensive rebound by R. Sacre,,18-14,,
2:08.0,R. Sacre misses 2-pt shot from 16 ft,,18-14,,
2:06.0,Offensive rebound by Team,,18-14,,
2:06.0,,,18-14,,Violation by T. Ross (kicked ball)
1:58.0,Shooting foul by D. DeRozan (drawn by E. Davis),,18-14,,
1:58.0,E. Davis makes free throw 1 of 2,1,19-14,,
1:58.0,E. Davis makes free throw 2 of 2,1,20-14,,
1:45.0,,,20-14,,T. Ross misses 2-pt shot from 16 ft
1:44.0,Defensive rebound by E. Davis,,20-14,,
1:34.0,J. Lin misses 2-pt shot from 18 ft,,20-14,,
1:33.0,,,20-14,,Defensive rebound by Team
1:33.0,Loose ball foul by E. Davis (drawn by D. DeRozan),,20-14,,
1:33.0,,,20-14,,J. Johnson enters the game for T. Ross
1:21.0,,,20-14,,L. Williams misses 2-pt shot from 12 ft
1:20.0,,,20-14,,Offensive rebound by T. Hansbrough
1:17.0,,,20-14,,T. Hansbrough misses 2-pt shot from 1 ft
1:16.0,Defensive rebound by E. Davis,,20-14,,
1:12.0,J. Brown makes 2-pt shot from 1 ft (assist by J. Lin),2,22-14,,
0:56.0,,,22-14,,P. Patterson misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by Team,,22-14,,
0:43.0,J. Brown misses 3-pt shot from 24 ft,,22-14,,
0:42.0,Offensive rebound by R. Sacre,,22-14,,
0:38.0,R. Sacre makes 2-pt shot from 4 ft,2,24-14,,
0:35.0,,,24-14,,Shooting foul by J. Lin (drawn by L. Williams)
0:35.0,,,24-15,1,L. Williams makes free throw 1 of 3
0:35.0,,,24-16,1,L. Williams makes free throw 2 of 3
0:35.0,,,24-17,1,L. Williams makes free throw 3 of 3
0:25.0,Turnover by J. Brown (bad pass; steal by D. DeRozan),,24-17,,
0:01.0,,,24-17,,Turnover by Team (shot clock)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,R. Sacre misses 2-pt shot from 17 ft,,24-17,,
11:43.0,,,24-17,,Defensive rebound by J. Johnson
11:36.0,,,24-19,2,L. Williams makes 2-pt shot from 3 ft
11:17.0,Offensive foul by R. Sacre,,24-19,,
11:17.0,Turnover by R. Sacre (offensive foul),,24-19,,
11:03.0,,,24-21,2,J. Valanciunas makes 2-pt shot at rim (assist by L. Williams)
10:43.0,J. Clarkson misses 2-pt shot from 4 ft,,24-21,,
10:42.0,Offensive rebound by E. Davis,,24-21,,
10:37.0,E. Davis makes 2-pt shot from 2 ft,2,26-21,,
10:30.0,,,26-21,,L. Williams misses 3-pt shot from 27 ft
10:28.0,Defensive rebound by E. Davis,,26-21,,
10:26.0,Turnover by E. Davis (bad pass; steal by J. Johnson),,26-21,,
10:22.0,,,26-23,2,J. Johnson makes 2-pt shot at rim
9:58.0,W. Ellington makes 2-pt shot from 17 ft (assist by E. Davis),2,28-23,,
9:41.0,,,28-25,2,J. Johnson makes 2-pt shot from 4 ft
9:29.0,W. Ellington makes 3-pt shot from 24 ft,3,31-25,,
9:09.0,,,31-25,,P. Patterson misses 3-pt shot from 24 ft
9:08.0,Defensive rebound by J. Clarkson,,31-25,,
8:56.0,E. Davis misses 2-pt shot from 2 ft,,31-25,,
8:55.0,Offensive rebound by J. Clarkson,,31-25,,
8:53.0,J. Clarkson misses 2-pt shot from 1 ft,,31-25,,
8:53.0,Offensive rebound by Team,,31-25,,
8:53.0,Official timeout,,31-25,,
8:53.0,,,31-25,,A. Johnson enters the game for P. Patterson
8:43.0,R. Sacre misses 2-pt shot from 17 ft,,31-25,,
8:42.0,Offensive rebound by E. Davis,,31-25,,
8:39.0,Turnover by E. Davis (bad pass),,31-25,,
8:24.0,,,31-27,2,J. Valanciunas makes 2-pt shot at rim (assist by J. Johnson)
8:09.0,Shooting foul by J. Valanciunas (drawn by J. Brown),,31-27,,
8:09.0,J. Brown misses free throw 1 of 2,,31-27,,
8:09.0,Offensive rebound by Team,,31-27,,
8:09.0,T. Black enters the game for R. Sacre,,31-27,,
8:09.0,J. Brown makes free throw 2 of 2,1,32-27,,
7:57.0,,,32-30,3,L. Williams makes 3-pt shot from 26 ft (assist by G. Vasquez)
7:33.0,T. Black misses 2-pt shot from 3 ft,,32-30,,
7:32.0,,,32-30,,Defensive rebound by J. Valanciunas
7:32.0,Jump ball: T. Black vs. J. Valanciunas (A. Johnson gains possession),,,,Jump ball: T. Black vs. J. Valanciunas (A. Johnson gains possession)
7:13.0,,,32-30,,Shooting foul by T. Black (drawn by J. Valanciunas)
7:13.0,,,32-31,1,J. Valanciunas makes free throw 1 of 2
7:13.0,R. Kelly enters the game for E. Davis,,32-31,,
7:13.0,,,32-31,,J. Valanciunas misses free throw 2 of 2
7:12.0,,,32-31,,Offensive rebound by J. Johnson
7:10.0,,,32-31,,Shooting foul by T. Black (drawn by J. Johnson)
7:10.0,,,32-31,,J. Johnson misses free throw 1 of 2
7:10.0,,,32-31,,Offensive rebound by Team
7:10.0,R. Sacre enters the game for T. Black,,32-31,,
7:10.0,,,32-32,1,J. Johnson makes free throw 2 of 2
6:50.0,Shooting foul by J. Johnson (drawn by R. Sacre),,32-32,,
6:50.0,R. Sacre makes free throw 1 of 2,1,33-32,,
6:50.0,W. Johnson enters the game for J. Brown,,33-32,,
6:50.0,R. Sacre makes free throw 2 of 2,1,34-32,,
6:40.0,,,34-34,2,J. Johnson makes 2-pt shot at rim (assist by G. Vasquez)
6:23.0,W. Johnson misses 2-pt shot from 19 ft,,34-34,,
6:22.0,Offensive rebound by R. Sacre,,34-34,,
6:19.0,R. Sacre makes 2-pt shot at rim,2,36-34,,
6:10.0,,,36-34,,Turnover by L. Williams (bad pass; steal by J. Clarkson)
6:08.0,,,36-34,,Personal foul by G. Vasquez (drawn by J. Clarkson)
6:03.0,Offensive foul by J. Clarkson,,36-34,,
6:03.0,Turnover by J. Clarkson (offensive foul),,36-34,,
6:03.0,,,36-34,,D. DeRozan enters the game for L. Williams
5:50.0,,,36-36,2,G. Vasquez makes 2-pt shot from 10 ft (assist by J. Johnson)
5:31.0,J. Clarkson makes 2-pt shot from 6 ft (assist by R. Sacre),2,38-36,,
5:08.0,,,38-36,,D. DeRozan misses 2-pt shot from 16 ft
5:07.0,Defensive rebound by W. Johnson,,38-36,,
4:46.0,R. Kelly misses 2-pt shot from 5 ft,,38-36,,
4:45.0,,,38-36,,Defensive rebound by A. Johnson
4:33.0,,,38-36,,Shooting foul by W. Johnson (drawn by J. Johnson)
4:33.0,,,38-36,,Toronto full timeout
4:33.0,J. Lin enters the game for W. Ellington,,38-36,,
4:33.0,,,38-37,1,J. Johnson makes free throw 1 of 2
4:33.0,,,38-38,1,J. Johnson makes free throw 2 of 2
4:21.0,R. Kelly misses 2-pt shot from 20 ft,,38-38,,
4:20.0,Offensive rebound by J. Lin,,38-38,,
4:14.0,W. Johnson makes 2-pt shot from 14 ft (assist by J. Lin),2,40-38,,
3:53.0,,,40-40,2,J. Johnson makes 2-pt shot from 1 ft (assist by D. DeRozan)
3:36.0,R. Sacre misses 2-pt shot from 11 ft,,40-40,,
3:35.0,,,40-40,,Defensive rebound by A. Johnson
3:26.0,,,40-40,,Shooting foul by R. Sacre (drawn by J. Valanciunas)
3:26.0,,,40-41,1,J. Valanciunas makes free throw 1 of 2
3:26.0,,,40-41,,L. Williams enters the game for G. Vasquez
3:26.0,,,40-42,1,J. Valanciunas makes free throw 2 of 2
3:06.0,J. Lin misses 2-pt shot from 18 ft,,40-42,,
3:05.0,,,40-42,,Defensive rebound by D. DeRozan
2:50.0,,,40-42,,A. Johnson misses 2-pt shot from 3 ft
2:49.0,,,40-42,,Offensive rebound by J. Valanciunas
2:49.0,,,40-42,,J. Valanciunas misses 2-pt shot at rim
2:48.0,Defensive rebound by J. Lin,,40-42,,
2:41.0,J. Clarkson makes 2-pt shot at rim (assist by W. Johnson),2,42-42,,
2:30.0,,,42-44,2,J. Valanciunas makes 2-pt shot from 3 ft (assist by D. DeRozan)
2:01.0,R. Sacre misses 2-pt shot from 18 ft,,42-44,,
2:00.0,,,42-44,,Defensive rebound by D. DeRozan
1:47.0,,,42-44,,Turnover by J. Valanciunas (lost ball; steal by R. Kelly)
1:43.0,J. Clarkson makes 2-pt shot at rim (assist by W. Johnson),2,44-44,,
1:43.0,,,44-44,,Violation by J. Johnson (def goaltending)
1:22.0,,,44-44,,J. Johnson misses 2-pt shot from 4 ft
1:21.0,Defensive rebound by J. Lin,,44-44,,
1:08.0,W. Johnson makes 2-pt shot from 17 ft,2,46-44,,
1:02.0,,,46-44,,Toronto full timeout
1:02.0,LA Lakers full timeout,,46-44,,
1:02.0,,,46-44,,T. Ross enters the game for J. Johnson
1:02.0,E. Davis enters the game for R. Sacre,,46-44,,
1:02.0,,,46-44,,P. Patterson enters the game for J. Valanciunas
0:52.0,,,46-44,,T. Ross misses 3-pt shot from 26 ft
0:51.0,Defensive rebound by J. Lin,,46-44,,
0:47.0,E. Davis makes 2-pt shot at rim (assist by J. Lin),2,48-44,,
0:42.0,Violation by J. Clarkson (def goaltending),,48-44,,
0:42.0,,,48-46,2,A. Johnson makes 2-pt shot from 1 ft (assist by P. Patterson)
0:22.0,J. Clarkson misses 2-pt shot from 2 ft,,48-46,,
0:21.0,,,48-46,,Defensive rebound by A. Johnson
0:01.0,,,48-46,,L. Williams misses 2-pt shot from 7 ft
0:00.0,Defensive rebound by E. Davis,,48-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,R. Kelly misses 3-pt shot from 27 ft,,48-46,,
11:40.0,,,48-46,,Defensive rebound by D. DeRozan
11:28.0,,,48-46,,G. Vasquez misses 3-pt shot from 25 ft
11:27.0,Defensive rebound by T. Black,,48-46,,
11:15.0,,,48-46,,Personal foul by A. Johnson (drawn by R. Kelly)
11:02.0,J. Lin misses 2-pt shot from 20 ft,,48-46,,
11:01.0,,,48-46,,Defensive rebound by J. Valanciunas
10:53.0,Personal foul by R. Kelly (drawn by A. Johnson),,48-46,,
10:43.0,,,48-46,,D. DeRozan misses 2-pt shot at rim
10:42.0,Defensive rebound by W. Johnson,,48-46,,
10:35.0,Shooting foul by A. Johnson (drawn by T. Black),,48-46,,
10:35.0,T. Black makes free throw 1 of 2,1,49-46,,
10:35.0,T. Black makes free throw 2 of 2,1,50-46,,
10:15.0,,,50-46,,T. Ross misses 2-pt shot from 13 ft
10:14.0,Defensive rebound by W. Johnson,,50-46,,
9:57.0,W. Johnson misses 2-pt shot from 2 ft (block by A. Johnson),,50-46,,
9:54.0,,,50-46,,Defensive rebound by J. Valanciunas
9:35.0,,,50-48,2,T. Ross makes 2-pt shot from 3 ft (assist by G. Vasquez)
9:19.0,R. Kelly makes 2-pt shot at rim,2,52-48,,
9:04.0,Personal foul by R. Kelly (drawn by A. Johnson),,52-48,,
9:04.0,,,52-48,,P. Patterson enters the game for A. Johnson
8:51.0,,,52-51,3,T. Ross makes 3-pt shot from 22 ft (assist by D. DeRozan)
8:37.0,J. Clarkson makes 2-pt shot from 1 ft (assist by J. Lin),2,54-51,,
8:19.0,,,54-54,3,T. Ross makes 3-pt shot from 23 ft (assist by P. Patterson)
8:05.0,,,54-54,,Personal foul by G. Vasquez (drawn by J. Clarkson)
7:49.0,R. Kelly makes 3-pt shot from 24 ft (assist by T. Black),3,57-54,,
7:22.0,,,57-56,2,J. Valanciunas makes 2-pt shot at rim (assist by P. Patterson)
7:10.0,Turnover by J. Lin (bad pass; steal by P. Patterson),,57-56,,
7:09.0,Personal foul by R. Kelly (drawn by P. Patterson),,57-56,,
6:57.0,,,57-56,,J. Valanciunas misses 2-pt shot from 2 ft
6:55.0,Defensive rebound by T. Black,,57-56,,
6:35.0,J. Clarkson misses 2-pt shot from 14 ft,,57-56,,
6:34.0,,,57-56,,Defensive rebound by Team
6:34.0,Loose ball foul by W. Johnson (drawn by J. Valanciunas),,57-56,,
6:17.0,,,57-58,2,T. Ross makes 2-pt shot from 13 ft
5:56.0,Turnover by T. Black (lost ball; steal by T. Ross),,57-58,,
5:49.0,,,57-61,3,G. Vasquez makes 3-pt shot from 25 ft (assist by T. Ross)
5:25.0,Shooting foul by J. Valanciunas (drawn by T. Black),,57-61,,
5:25.0,,,57-61,,Toronto full timeout
5:25.0,W. Ellington enters the game for J. Clarkson,,57-61,,
5:25.0,T. Black misses free throw 1 of 2,,57-61,,
5:25.0,Offensive rebound by Team,,57-61,,
5:25.0,T. Black misses free throw 2 of 2,,57-61,,
5:25.0,,,57-61,,Defensive rebound by P. Patterson
5:07.0,,,57-61,,Turnover by J. Valanciunas (step out of bounds)
5:07.0,R. Sacre enters the game for T. Black,,57-61,,
4:54.0,Shooting foul by P. Patterson (drawn by J. Lin),,57-61,,
4:54.0,J. Lin makes free throw 1 of 2,1,58-61,,
4:54.0,J. Lin makes free throw 2 of 2,1,59-61,,
4:40.0,,,59-61,,T. Ross misses 3-pt shot from 25 ft
4:39.0,,,59-61,,Offensive rebound by P. Patterson
4:37.0,,,59-61,,P. Patterson misses 2-pt shot from 2 ft
4:37.0,,,59-61,,Offensive rebound by J. Valanciunas
4:35.0,,,59-63,2,J. Valanciunas makes 2-pt shot at rim
4:21.0,J. Lin misses 2-pt shot from 14 ft,,59-63,,
4:20.0,,,59-63,,Defensive rebound by D. DeRozan
4:11.0,,,59-63,,P. Patterson misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by W. Johnson,,59-63,,
3:57.0,J. Lin misses 2-pt shot from 3 ft,,59-63,,
3:56.0,Offensive rebound by W. Johnson,,59-63,,
3:48.0,W. Ellington misses 3-pt shot from 25 ft,,59-63,,
3:48.0,Offensive rebound by Team,,59-63,,
3:48.0,,,59-63,,Loose ball foul by D. DeRozan (drawn by R. Sacre)
3:48.0,R. Sacre misses free throw 1 of 2,,59-63,,
3:48.0,Offensive rebound by Team,,59-63,,
3:48.0,,,59-63,,L. Williams enters the game for G. Vasquez
3:48.0,R. Sacre makes free throw 2 of 2,1,60-63,,
3:34.0,,,60-63,,A. Johnson enters the game for J. Valanciunas
3:34.0,E. Davis enters the game for R. Kelly,,60-63,,
3:29.0,,,60-65,2,P. Patterson makes 2-pt shot from 20 ft
3:02.0,J. Lin misses 3-pt shot from 26 ft,,60-65,,
3:01.0,,,60-65,,Defensive rebound by Team
3:01.0,Loose ball foul by R. Sacre (drawn by A. Johnson),,60-65,,
3:01.0,,,60-66,1,A. Johnson makes free throw 1 of 2
3:01.0,J. Brown enters the game for W. Johnson,,60-66,,
3:01.0,,,60-66,,A. Johnson misses free throw 2 of 2
3:00.0,Defensive rebound by R. Sacre,,60-66,,
2:37.0,J. Brown makes 2-pt shot from 2 ft,2,62-66,,
2:11.0,,,62-68,2,P. Patterson makes 2-pt shot from 11 ft
1:53.0,W. Ellington makes 2-pt shot from 20 ft (assist by R. Sacre),2,64-68,,
1:40.0,,,64-68,,D. DeRozan misses 2-pt shot from 3 ft (block by R. Sacre)
1:40.0,Defensive rebound by Team,,64-68,,
1:40.0,LA Lakers full timeout,,64-68,,
1:40.0,,,64-68,,J. Johnson enters the game for T. Ross
1:30.0,E. Davis misses 2-pt shot from 2 ft (block by P. Patterson),,64-68,,
1:30.0,Offensive rebound by Team,,64-68,,
1:21.0,J. Lin misses 3-pt shot from 27 ft,,64-68,,
1:20.0,Offensive rebound by E. Davis,,64-68,,
1:14.0,J. Lin misses 3-pt shot from 26 ft,,64-68,,
1:13.0,,,64-68,,Defensive rebound by A. Johnson
0:55.0,,,64-68,,A. Johnson misses 2-pt shot from 14 ft
0:54.0,,,64-68,,Offensive rebound by J. Johnson
0:53.0,,,64-68,,J. Johnson misses 2-pt shot from 1 ft
0:53.0,,,64-68,,Offensive rebound by Team
0:38.0,,,64-71,3,L. Williams makes 3-pt shot from 23 ft (assist by J. Johnson)
0:31.0,J. Brown misses 3-pt shot from 29 ft,,64-71,,
0:29.0,,,64-71,,Defensive rebound by J. Johnson
0:06.0,,,64-71,,L. Williams misses 3-pt shot from 29 ft
0:05.0,Defensive rebound by J. Brown,,64-71,,
0:02.0,,,64-71,,Personal foul by D. DeRozan (drawn by J. Brown)
0:02.0,J. Brown makes free throw 1 of 2,1,65-71,,
0:02.0,J. Brown makes free throw 2 of 2,1,66-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,,,66-71,,Shooting foul by J. Lin (drawn by D. DeRozan)
11:49.0,,,66-72,1,D. DeRozan makes free throw 1 of 2
11:49.0,,,66-73,1,D. DeRozan makes free throw 2 of 2
11:33.0,W. Ellington misses 3-pt shot from 26 ft,,66-73,,
11:32.0,,,66-73,,Defensive rebound by P. Patterson
11:21.0,,,66-76,3,P. Patterson makes 3-pt shot from 22 ft (assist by L. Williams)
11:03.0,W. Ellington makes 2-pt shot from 2 ft (assist by R. Sacre),2,68-76,,
10:59.0,,,68-76,,Turnover by P. Patterson (inbound)
10:51.0,J. Lin makes 2-pt shot from 12 ft,2,70-76,,
10:29.0,,,70-76,,L. Williams misses 3-pt shot from 23 ft
10:29.0,Defensive rebound by J. Lin,,70-76,,
10:22.0,J. Brown misses 2-pt shot at rim,,70-76,,
10:21.0,,,70-76,,Defensive rebound by T. Hansbrough
10:16.0,,,70-78,2,J. Johnson makes 2-pt shot from 1 ft (assist by D. DeRozan)
10:06.0,E. Davis makes 2-pt shot from 1 ft (assist by J. Lin),2,72-78,,
9:42.0,,,72-78,,T. Hansbrough misses 2-pt shot at rim
9:40.0,,,72-78,,Offensive rebound by T. Hansbrough
9:37.0,,,72-80,2,J. Johnson makes 2-pt shot from 9 ft (assist by T. Hansbrough)
9:26.0,Turnover by J. Lin (bad pass; steal by L. Williams),,72-80,,
9:08.0,Personal block foul by E. Davis (drawn by L. Williams),,72-80,,
9:08.0,,,72-80,,A. Johnson enters the game for P. Patterson
8:56.0,,,72-82,2,D. DeRozan makes 2-pt shot from 17 ft
8:41.0,Turnover by J. Brown (bad pass; steal by L. Williams),,72-82,,
8:36.0,,,72-82,,L. Williams misses 2-pt shot from 1 ft
8:35.0,,,72-82,,Offensive rebound by D. DeRozan
8:35.0,,,72-82,,D. DeRozan misses 2-pt shot at rim
8:35.0,Defensive rebound by Team,,72-82,,
8:35.0,Official timeout,,72-82,,
8:35.0,T. Black enters the game for J. Lin,,72-82,,
8:35.0,J. Clarkson enters the game for R. Sacre,,72-82,,
8:15.0,W. Ellington misses 2-pt shot from 21 ft,,72-82,,
8:14.0,,,72-82,,Defensive rebound by D. DeRozan
7:58.0,,,72-82,,A. Johnson misses 2-pt shot from 2 ft (block by E. Davis)
7:56.0,Defensive rebound by T. Black,,72-82,,
7:49.0,Shooting foul by A. Johnson (drawn by T. Black),,72-82,,
7:49.0,T. Black misses free throw 1 of 2,,72-82,,
7:49.0,Offensive rebound by Team,,72-82,,
7:49.0,T. Black misses free throw 2 of 2,,72-82,,
7:48.0,,,72-82,,Defensive rebound by J. Johnson
7:33.0,,,72-84,2,L. Williams makes 2-pt shot from 15 ft
7:19.0,Turnover by J. Brown (bad pass),,72-84,,
7:01.0,,,72-84,,A. Johnson misses 2-pt shot from 15 ft
7:00.0,Defensive rebound by J. Clarkson,,72-84,,
6:43.0,E. Davis misses 2-pt shot from 4 ft,,72-84,,
6:42.0,Offensive rebound by T. Black,,72-84,,
6:38.0,W. Ellington misses 3-pt shot from 26 ft,,72-84,,
6:38.0,Offensive rebound by Team,,72-84,,
6:38.0,,,72-84,,Loose ball foul by T. Hansbrough (drawn by E. Davis)
6:38.0,R. Kelly enters the game for E. Davis,,72-84,,
6:38.0,W. Johnson enters the game for J. Brown,,72-84,,
6:31.0,W. Ellington misses 2-pt shot from 4 ft,,72-84,,
6:30.0,Offensive rebound by W. Ellington,,72-84,,
6:16.0,W. Ellington misses 2-pt shot from 15 ft,,72-84,,
6:15.0,,,72-84,,Defensive rebound by D. DeRozan
6:04.0,,,72-84,,Shooting foul by T. Black (drawn by T. Hansbrough)
6:04.0,,,72-85,1,T. Hansbrough makes free throw 1 of 2
6:04.0,,,72-85,,T. Hansbrough misses free throw 2 of 2
6:04.0,Defensive rebound by R. Kelly,,72-85,,
5:41.0,W. Johnson misses 2-pt shot from 18 ft,,72-85,,
5:40.0,,,72-85,,Defensive rebound by A. Johnson
5:17.0,,,72-87,2,J. Johnson makes 2-pt shot from 19 ft (assist by L. Williams)
5:16.0,LA Lakers full timeout,,72-87,,
5:00.0,W. Ellington misses 2-pt shot from 20 ft,,72-87,,
4:59.0,,,72-87,,Defensive rebound by A. Johnson
4:45.0,,,72-87,,D. DeRozan misses 2-pt shot from 16 ft
4:44.0,Defensive rebound by W. Ellington,,72-87,,
4:28.0,R. Kelly misses 2-pt shot from 10 ft,,72-87,,
4:26.0,,,72-87,,Defensive rebound by L. Williams
4:10.0,,,72-89,2,A. Johnson makes 2-pt shot from 4 ft (assist by L. Williams)
3:54.0,Shooting foul by D. DeRozan (drawn by W. Johnson),,72-89,,
3:54.0,W. Johnson makes free throw 1 of 2,1,73-89,,
3:54.0,J. Lin enters the game for W. Ellington,,73-89,,
3:54.0,W. Johnson makes free throw 2 of 2,1,74-89,,
3:36.0,,,74-89,,Turnover by L. Williams (bad pass; steal by W. Johnson)
3:31.0,J. Clarkson misses 2-pt shot from 1 ft,,74-89,,
3:30.0,,,74-89,,Defensive rebound by J. Johnson
3:16.0,,,74-91,2,L. Williams makes 2-pt shot at rim
3:03.0,W. Johnson misses 2-pt shot from 20 ft,,74-91,,
3:01.0,,,74-91,,Defensive rebound by D. DeRozan
2:44.0,,,74-91,,L. Williams misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by T. Black,,74-91,,
2:31.0,,,74-91,,Toronto full timeout
2:31.0,,,74-91,,J. Valanciunas enters the game for A. Johnson
2:31.0,T. Black makes flagrant free throw 1 of 2,1,75-91,,
2:31.0,T. Black makes flagrant free throw 2 of 2,1,76-91,,
2:20.0,J. Lin makes 2-pt shot from 9 ft,2,78-91,,
2:00.0,,,78-91,,D. DeRozan misses 2-pt shot from 14 ft
1:59.0,Defensive rebound by W. Johnson,,78-91,,
