time,Cleveland,pts.away,score,pts.home,Sacramento
5:56.0,,,36-42,,Defensive rebound by C. Landry
5:48.0,,,36-42,,Shooting foul by T. Thompson (drawn by D. Cousins)
5:48.0,,,36-42,,Sacramento full timeout
5:48.0,,,36-42,,R. Gay enters the game for N. Stauskas
5:48.0,,,36-42,,B. McLemore enters the game for C. Landry
5:48.0,,,36-42,,J. Thompson enters the game for D. Williams
5:48.0,K. Irving enters the game for K. Love,,36-42,,
5:48.0,J. Smith enters the game for J. Jones,,36-42,,
5:48.0,T. Mozgov enters the game for M. Dellavedova,,36-42,,
5:48.0,,,36-42,,D. Cousins misses free throw 1 of 2
5:48.0,,,36-42,,Offensive rebound by Team
5:48.0,,,36-43,1,D. Cousins makes free throw 2 of 2
5:34.0,Shooting foul by R. McCallum (drawn by K. Irving),,36-43,,
5:34.0,K. Irving makes free throw 1 of 2,1,37-43,,
5:34.0,K. Irving misses free throw 2 of 2,,37-43,,
5:33.0,,,37-43,,Defensive rebound by J. Thompson
5:16.0,,,37-43,,Shooting foul by T. Thompson (drawn by J. Thompson)
5:16.0,,,37-44,1,J. Thompson makes free throw 1 of 2
5:16.0,,,37-44,,D. Collison enters the game for R. McCallum
5:16.0,,,37-44,,J. Thompson misses free throw 2 of 2
5:15.0,Defensive rebound by T. Mozgov,,37-44,,
5:00.0,J. Smith misses 2-pt shot from 20 ft,,37-44,,
5:00.0,,,37-44,,Defensive rebound by Team
5:00.0,Loose ball foul by T. Mozgov (drawn by D. Cousins),,37-44,,
4:46.0,,,37-46,2,R. Gay makes 2-pt shot from 13 ft (assist by B. McLemore)
4:34.0,K. Irving misses 2-pt shot from 4 ft (block by D. Cousins),,37-46,,
4:33.0,Offensive rebound by T. Mozgov,,37-46,,
4:30.0,T. Mozgov makes 2-pt shot from 2 ft,2,39-46,,
4:13.0,,,39-46,,D. Cousins misses 2-pt shot from 3 ft (block by T. Mozgov)
4:13.0,,,39-46,,Offensive rebound by Team
4:13.0,K. Love enters the game for J. Harris,,39-46,,
4:13.0,M. Miller enters the game for T. Thompson,,39-46,,
4:06.0,,,39-48,2,D. Cousins makes 2-pt shot from 16 ft
3:43.0,K. Irving makes 2-pt shot from 16 ft,2,41-48,,
3:25.0,,,41-50,2,R. Gay makes 2-pt shot from 15 ft
3:14.0,K. Irving misses 2-pt shot from 7 ft,,41-50,,
3:13.0,,,41-50,,Defensive rebound by D. Cousins
3:05.0,,,41-52,2,B. McLemore makes 2-pt shot from 3 ft (assist by D. Collison)
2:58.0,Cleveland full timeout,,41-52,,
2:49.0,K. Love makes 3-pt shot from 24 ft (assist by K. Irving),3,44-52,,
2:32.0,,,44-55,3,B. McLemore makes 3-pt shot from 25 ft (assist by D. Cousins)
2:09.0,K. Love misses 3-pt shot from 23 ft,,44-55,,
2:08.0,,,44-55,,Defensive rebound by D. Cousins
1:57.0,,,44-57,2,R. Gay makes 2-pt shot from 9 ft
1:36.0,K. Irving misses 2-pt shot from 11 ft (block by R. Gay),,44-57,,
1:34.0,,,44-57,,Defensive rebound by J. Thompson
1:27.0,,,44-57,,J. Thompson misses 2-pt shot from 2 ft
1:26.0,Defensive rebound by K. Love,,44-57,,
1:10.0,Turnover by K. Love (bad pass; steal by D. Cousins),,44-57,,
0:55.0,,,44-57,,D. Collison misses 3-pt shot from 23 ft
0:54.0,Defensive rebound by J. Smith,,44-57,,
0:49.0,,,44-57,,Personal foul by D. Cousins (drawn by T. Mozgov)
0:32.0,Turnover by J. Smith (bad pass),,44-57,,
0:13.0,,,44-59,2,D. Cousins makes 2-pt shot at rim (assist by D. Collison)
0:01.0,K. Irving misses 2-pt shot from 2 ft,,44-59,,
0:00.0,,,44-59,,Defensive rebound by J. Thompson
0:00.0,,,44-59,,R. Gay misses 3-pt shot from 40 ft
0:00.0,,,44-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,44-59,,B. McLemore misses 3-pt shot from 23 ft
11:38.0,Defensive rebound by J. Smith,,44-59,,
11:23.0,K. Love misses 3-pt shot from 24 ft,,44-59,,
11:23.0,,,44-59,,Defensive rebound by R. Gay
11:15.0,,,44-59,,D. Cousins misses 2-pt shot from 3 ft (block by K. Love)
11:14.0,Defensive rebound by T. Mozgov,,44-59,,
11:06.0,K. Irving misses 2-pt shot from 19 ft,,44-59,,
11:05.0,,,44-59,,Defensive rebound by J. Thompson
10:41.0,,,44-59,,Turnover by Team (shot clock)
10:32.0,Turnover by K. Irving (bad pass; steal by D. Cousins),,44-59,,
10:29.0,,,44-61,2,D. Cousins makes 2-pt shot at rim
10:01.0,K. Love misses 3-pt shot from 23 ft,,44-61,,
10:01.0,,,44-61,,Defensive rebound by B. McLemore
9:54.0,,,44-63,2,D. Collison makes 2-pt shot from 18 ft (assist by B. McLemore)
9:33.0,Shooting foul by D. Cousins (drawn by T. Mozgov),,44-63,,
9:33.0,T. Mozgov misses free throw 1 of 2,,44-63,,
9:33.0,Offensive rebound by Team,,44-63,,
9:33.0,T. Mozgov misses free throw 2 of 2,,44-63,,
9:32.0,,,44-63,,Defensive rebound by D. Cousins
9:11.0,,,44-63,,Turnover by D. Cousins (bad pass; steal by K. Love)
8:52.0,M. Miller misses 3-pt shot from 24 ft,,44-63,,
8:52.0,Offensive rebound by T. Mozgov,,44-63,,
8:44.0,Turnover by K. Irving (bad pass),,44-63,,
8:32.0,,,44-63,,B. McLemore misses 3-pt shot from 25 ft
8:31.0,Defensive rebound by J. Smith,,44-63,,
8:20.0,Turnover by K. Love (bad pass; steal by R. Gay),,44-63,,
8:17.0,,,44-63,,Shooting foul by J. Smith (drawn by R. Gay)
8:17.0,,,44-64,1,R. Gay makes free throw 1 of 2
8:17.0,,,44-65,1,R. Gay makes free throw 2 of 2
8:01.0,K. Love makes 2-pt shot from 6 ft (assist by K. Irving),2,46-65,,
7:52.0,,,46-67,2,D. Collison makes 2-pt shot from 2 ft
7:35.0,T. Mozgov makes 2-pt shot at rim (assist by K. Love),2,48-67,,
7:23.0,,,48-67,,J. Thompson misses 2-pt shot from 15 ft
7:22.0,Defensive rebound by K. Love,,48-67,,
7:09.0,J. Smith makes 2-pt shot from 3 ft,2,50-67,,
6:45.0,,,50-69,2,D. Cousins makes 2-pt shot from 5 ft (assist by D. Collison)
6:16.0,K. Love misses 2-pt shot from 5 ft,,50-69,,
6:15.0,Offensive rebound by T. Mozgov,,50-69,,
6:15.0,T. Mozgov makes 2-pt shot from 2 ft,2,52-69,,
5:59.0,,,52-69,,Sacramento full timeout
5:54.0,,,52-69,,D. Collison misses 2-pt shot from 14 ft
5:53.0,,,52-69,,Offensive rebound by D. Cousins
5:53.0,,,52-69,,D. Cousins misses 2-pt shot from 2 ft
5:52.0,Defensive rebound by T. Mozgov,,52-69,,
5:47.0,J. Smith misses 2-pt shot from 8 ft,,52-69,,
5:44.0,,,52-69,,Defensive rebound by D. Cousins
5:39.0,,,52-69,,Shooting foul by J. Smith (drawn by D. Cousins)
5:39.0,,,52-70,1,D. Cousins makes free throw 1 of 2
5:39.0,M. Dellavedova enters the game for J. Smith,,52-70,,
5:39.0,,,52-71,1,D. Cousins makes free throw 2 of 2
5:27.0,Turnover by M. Dellavedova (bad pass; steal by D. Cousins),,52-71,,
5:12.0,,,52-74,3,R. Gay makes 3-pt shot from 24 ft
4:57.0,K. Irving misses 3-pt shot from 25 ft,,52-74,,
4:57.0,,,52-74,,Defensive rebound by Team
4:57.0,Loose ball foul by T. Mozgov (drawn by B. McLemore),,52-74,,
4:57.0,J. Harris enters the game for M. Miller,,52-74,,
4:57.0,,,52-74,,C. Landry enters the game for D. Cousins
4:44.0,,,52-74,,C. Landry misses 2-pt shot from 20 ft
4:43.0,Defensive rebound by T. Mozgov,,52-74,,
4:37.0,M. Dellavedova misses 3-pt shot from 24 ft,,52-74,,
4:36.0,,,52-74,,Defensive rebound by J. Thompson
4:19.0,,,52-74,,J. Thompson misses 2-pt shot from 2 ft
4:18.0,Defensive rebound by K. Love,,52-74,,
4:08.0,Shooting foul by B. McLemore (drawn by K. Irving),,52-74,,
4:08.0,K. Irving makes free throw 1 of 2,1,53-74,,
4:08.0,K. Irving makes free throw 2 of 2,1,54-74,,
3:52.0,,,54-76,2,R. Gay makes 2-pt shot from 8 ft (assist by B. McLemore)
3:29.0,J. Harris misses 3-pt shot from 23 ft,,54-76,,
3:28.0,,,54-76,,Defensive rebound by D. Collison
3:27.0,Personal foul by K. Irving (drawn by D. Collison),,54-76,,
3:27.0,,,54-76,,R. McCallum enters the game for B. McLemore
3:10.0,,,54-76,,J. Thompson misses 2-pt shot from 18 ft
3:09.0,Defensive rebound by K. Irving,,54-76,,
3:04.0,T. Mozgov makes 2-pt shot from 1 ft (assist by K. Irving),2,56-76,,
2:46.0,,,56-78,2,C. Landry makes 2-pt shot from 2 ft (assist by R. Gay)
2:46.0,,,56-78,,Shooting foul by T. Mozgov (drawn by C. Landry)
2:46.0,Cleveland full timeout,,56-78,,
2:46.0,,,56-79,1,C. Landry makes free throw 1 of 1
2:35.0,Turnover by J. Harris (step out of bounds),,56-79,,
2:18.0,,,56-81,2,R. Gay makes 2-pt shot from 18 ft
2:01.0,K. Love makes 3-pt shot from 25 ft (assist by K. Irving),3,59-81,,
1:44.0,,,59-83,2,C. Landry makes 2-pt shot from 17 ft (assist by R. Gay)
1:30.0,K. Love makes 3-pt shot from 24 ft (assist by K. Irving),3,62-83,,
1:06.0,,,62-83,,J. Thompson misses 2-pt shot from 19 ft
1:05.0,Defensive rebound by K. Love,,62-83,,
0:58.0,K. Irving misses 2-pt shot from 3 ft,,62-83,,
0:57.0,,,62-83,,Defensive rebound by J. Thompson
0:53.0,,,62-83,,Turnover by R. McCallum (traveling)
0:53.0,J. Smith enters the game for J. Harris,,62-83,,
0:53.0,,,62-83,,D. Williams enters the game for J. Thompson
0:34.0,Shooting foul by C. Landry (drawn by T. Mozgov),,62-83,,
0:34.0,T. Mozgov makes free throw 1 of 2,1,63-83,,
0:34.0,T. Mozgov makes free throw 2 of 2,1,64-83,,
0:16.0,,,64-85,2,D. Collison makes 2-pt shot from 14 ft
0:04.0,T. Mozgov misses 2-pt shot from 7 ft,,64-85,,
0:03.0,,,64-85,,Defensive rebound by D. Williams
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,K. Irving makes 2-pt shot from 6 ft,2,66-85,,
11:17.0,,,66-87,2,D. Cousins makes 2-pt shot from 7 ft (assist by R. McCallum)
10:59.0,J. Smith misses 2-pt shot from 11 ft,,66-87,,
10:57.0,,,66-87,,Defensive rebound by D. Cousins
10:52.0,,,66-87,,R. McCallum misses 2-pt shot from 3 ft (block by K. Irving)
10:50.0,Defensive rebound by M. Dellavedova,,66-87,,
10:41.0,T. Thompson misses 2-pt shot from 8 ft,,66-87,,
10:41.0,,,66-87,,Defensive rebound by D. Cousins
10:28.0,,,66-87,,Turnover by R. McCallum (bad pass)
10:13.0,K. Love misses 2-pt shot from 12 ft,,66-87,,
10:13.0,,,66-87,,Defensive rebound by D. Cousins
9:57.0,,,66-87,,D. Cousins misses 2-pt shot from 6 ft
9:56.0,Defensive rebound by K. Irving,,66-87,,
9:50.0,J. Smith misses 3-pt shot from 25 ft,,66-87,,
9:49.0,,,66-87,,Defensive rebound by Team
9:24.0,,,66-87,,R. McCallum misses 2-pt shot from 14 ft
9:24.0,Defensive rebound by T. Thompson,,66-87,,
9:14.0,K. Irving misses 3-pt shot from 25 ft,,66-87,,
9:13.0,Offensive rebound by K. Love,,66-87,,
9:11.0,K. Love makes 2-pt shot from 6 ft,2,68-87,,
9:11.0,Shooting foul by D. Cousins (drawn by K. Love),,68-87,,
9:11.0,,,68-87,,D. Collison enters the game for N. Stauskas
9:11.0,K. Love makes free throw 1 of 1,1,69-87,,
8:51.0,Official timeout,,69-87,,
8:51.0,T. Mozgov enters the game for K. Love,,69-87,,
8:47.0,,,69-87,,D. Cousins misses 2-pt shot from 15 ft
8:46.0,Defensive rebound by J. Smith,,69-87,,
8:30.0,J. Smith misses 3-pt shot from 24 ft,,69-87,,
8:30.0,,,69-87,,Defensive rebound by D. Collison
8:22.0,,,69-87,,Shooting foul by K. Irving (drawn by D. Cousins)
8:22.0,,,69-88,1,D. Cousins makes free throw 1 of 2
8:22.0,,,69-88,,D. Cousins misses free throw 2 of 2
8:21.0,Defensive rebound by T. Mozgov,,69-88,,
8:07.0,,,69-88,,B. McLemore enters the game for C. Landry
8:07.0,,,69-88,,R. Gay enters the game for R. McCallum
8:07.0,,,69-88,,J. Thompson enters the game for D. Williams
8:05.0,K. Irving misses 2-pt shot from 16 ft,,69-88,,
8:04.0,,,69-88,,Defensive rebound by D. Cousins
7:58.0,Personal foul by M. Dellavedova (drawn by D. Cousins),,69-88,,
7:42.0,,,69-88,,B. McLemore misses 3-pt shot from 24 ft
7:39.0,Defensive rebound by T. Mozgov,,69-88,,
7:21.0,J. Smith misses 3-pt shot from 25 ft,,69-88,,
7:21.0,Offensive rebound by Team,,69-88,,
7:17.0,J. Smith misses 2-pt shot from 17 ft,,69-88,,
7:16.0,,,69-88,,Defensive rebound by B. McLemore
7:12.0,Personal foul by M. Dellavedova (drawn by B. McLemore),,69-88,,
7:02.0,,,69-88,,D. Cousins misses 2-pt shot from 19 ft
7:02.0,Defensive rebound by K. Irving,,69-88,,
6:39.0,M. Dellavedova misses 3-pt shot from 23 ft,,69-88,,
6:38.0,,,69-88,,Defensive rebound by R. Gay
6:28.0,,,69-88,,R. Gay misses 2-pt shot at rim
6:27.0,,,69-88,,Offensive rebound by R. Gay
6:27.0,,,69-90,2,R. Gay makes 2-pt shot at rim
6:12.0,Turnover by J. Smith (bad pass),,69-90,,
6:12.0,M. Miller enters the game for J. Smith,,69-90,,
5:55.0,,,69-93,3,D. Collison makes 3-pt shot from 23 ft (assist by D. Cousins)
5:46.0,,,69-93,,Personal foul by D. Collison (drawn by K. Irving)
5:46.0,,,69-93,,Sacramento full timeout
5:46.0,J. Harris enters the game for T. Mozgov,,69-93,,
5:46.0,B. Haywood enters the game for K. Irving,,69-93,,
5:36.0,B. Haywood misses 2-pt shot from 6 ft (block by D. Cousins),,69-93,,
5:35.0,,,69-93,,Defensive rebound by D. Cousins
5:25.0,,,69-96,3,D. Collison makes 3-pt shot from 25 ft (assist by D. Cousins)
5:09.0,Turnover by M. Miller (bad pass; steal by J. Thompson),,69-96,,
5:07.0,Personal foul by M. Dellavedova (drawn by D. Collison),,69-96,,
5:07.0,,,69-96,,R. McCallum enters the game for R. Gay
5:07.0,,,69-96,,R. Hollins enters the game for J. Thompson
5:07.0,,,69-96,,N. Stauskas enters the game for D. Cousins
5:07.0,,,69-96,,D. Williams enters the game for B. McLemore
5:07.0,,,69-96,,C. Landry enters the game for D. Collison
4:54.0,,,69-96,,R. Hollins misses 2-pt shot from 14 ft
4:54.0,Defensive rebound by B. Haywood,,69-96,,
4:44.0,T. Thompson makes 2-pt shot from 4 ft (assist by M. Dellavedova),2,71-96,,
4:25.0,,,71-96,,D. Williams misses 3-pt shot from 24 ft
4:24.0,Defensive rebound by B. Haywood,,71-96,,
4:14.0,M. Miller misses 3-pt shot from 24 ft,,71-96,,
4:14.0,,,71-96,,Defensive rebound by R. McCallum
3:51.0,,,71-96,,R. McCallum misses 2-pt shot from 2 ft
3:50.0,Defensive rebound by B. Haywood,,71-96,,
3:32.0,M. Miller makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,74-96,,
3:06.0,,,74-98,2,C. Landry makes 2-pt shot from 13 ft (assist by R. McCallum)
2:49.0,J. Harris misses 3-pt shot from 25 ft,,74-98,,
2:48.0,,,74-98,,Defensive rebound by R. Hollins
2:29.0,,,74-98,,D. Williams misses 2-pt shot from 17 ft
2:28.0,Defensive rebound by B. Haywood,,74-98,,
2:18.0,M. Dellavedova makes 3-pt shot from 24 ft,3,77-98,,
1:58.0,,,77-98,,N. Stauskas misses 2-pt shot from 20 ft
1:57.0,Defensive rebound by M. Dellavedova,,77-98,,
1:51.0,B. Haywood makes 2-pt shot at rim (assist by M. Dellavedova),2,79-98,,
1:33.0,,,79-98,,D. Williams misses 2-pt shot from 2 ft (block by B. Haywood)
1:32.0,,,79-98,,Offensive rebound by R. Hollins
1:32.0,,,79-98,,Shooting foul by T. Thompson (drawn by R. Hollins)
1:32.0,Cleveland full timeout,,79-98,,
1:32.0,,,79-98,,R. Hollins misses free throw 1 of 2
1:32.0,,,79-98,,Offensive rebound by Team
1:32.0,,,79-99,1,R. Hollins makes free throw 2 of 2
1:18.0,J. Harris misses 3-pt shot from 24 ft,,79-99,,
1:17.0,,,79-99,,Defensive rebound by C. Landry
1:00.0,,,79-101,2,R. Hollins makes 2-pt shot from 7 ft
0:48.0,M. Dellavedova makes 3-pt shot from 24 ft,3,82-101,,
0:34.0,,,82-103,2,D. Williams makes 2-pt shot from 3 ft (assist by R. McCallum)
0:23.0,T. Thompson makes 2-pt shot from 6 ft (assist by M. Dellavedova),2,84-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
