time,Utah,pts.away,score,pts.home,Denver
1:05.0,E. Millsap makes 2-pt shot from 2 ft (assist by G. Hayward),2,18-20,,
0:46.0,,,18-20,,W. Barton misses 2-pt shot from 15 ft
0:44.0,Defensive rebound by T. Burke,,18-20,,
0:20.0,E. Millsap makes 2-pt shot from 16 ft,2,20-20,,
0:01.0,,,20-22,2,J. Nelson makes 2-pt shot from 12 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,20-22,,Personal foul by W. Barton (drawn by G. Hayward)
11:37.0,G. Hayward misses 3-pt shot from 24 ft,,20-22,,
11:36.0,,,20-22,,Defensive rebound by J. Nurkic
11:25.0,,,20-22,,J. Hickson misses 2-pt shot from 1 ft (block by D. Favors)
11:24.0,,,20-22,,Offensive rebound by Team
11:24.0,E. Millsap enters the game for G. Hayward,,20-22,,
11:15.0,,,20-22,,J. Hickson misses 2-pt shot at rim (block by T. Booker)
11:12.0,Defensive rebound by T. Burke,,20-22,,
10:57.0,D. Favors misses 2-pt shot from 14 ft,,20-22,,
10:55.0,,,20-22,,Defensive rebound by W. Barton
10:46.0,,,20-22,,Turnover by W. Barton (lost ball; steal by T. Burke)
10:42.0,Shooting foul by W. Barton (drawn by E. Millsap),,20-22,,
10:42.0,E. Millsap makes free throw 1 of 2,1,21-22,,
10:42.0,C. Johnson enters the game for J. Ingles,,21-22,,
10:42.0,E. Millsap misses free throw 2 of 2,,21-22,,
10:41.0,,,21-22,,Defensive rebound by J. Nurkic
10:22.0,,,21-25,3,J. Nelson makes 3-pt shot from 23 ft
10:07.0,T. Burke misses 2-pt shot from 17 ft,,21-25,,
10:05.0,,,21-25,,Defensive rebound by W. Barton
9:53.0,,,21-27,2,J. Nurkic makes 2-pt shot from 2 ft (assist by J. Nelson)
9:45.0,,,21-27,,Personal foul by J. Nelson (drawn by E. Millsap)
9:45.0,D. Exum enters the game for E. Millsap,,21-27,,
9:45.0,,,21-27,,W. Chandler enters the game for W. Barton
9:36.0,D. Favors misses 2-pt shot from 15 ft,,21-27,,
9:35.0,,,21-27,,Defensive rebound by T. Lawson
9:27.0,,,21-30,3,J. Nelson makes 3-pt shot from 25 ft (assist by W. Chandler)
9:08.0,Turnover by D. Exum (bad pass; steal by J. Hickson),,21-30,,
9:04.0,,,21-32,2,J. Hickson makes 2-pt shot at rim
8:42.0,Official timeout,,21-32,,
8:42.0,,,21-32,,K. Faried enters the game for J. Hickson
8:42.0,B. Cotton enters the game for T. Burke,,21-32,,
8:37.0,T. Booker misses 2-pt shot from 12 ft,,21-32,,
8:35.0,,,21-32,,Defensive rebound by J. Nurkic
8:27.0,Personal foul by B. Cotton (drawn by J. Nelson),,21-32,,
8:17.0,,,21-32,,W. Chandler misses 2-pt shot from 19 ft
8:16.0,Defensive rebound by D. Favors,,21-32,,
8:05.0,,,21-32,,Personal foul by J. Nurkic (drawn by D. Favors)
7:56.0,Turnover by D. Favors (lost ball; steal by W. Chandler),,21-32,,
7:48.0,,,21-34,2,T. Lawson makes 2-pt shot from 16 ft
7:44.0,Turnover by D. Favors (bad pass; steal by T. Lawson),,21-34,,
7:42.0,,,21-34,,Shooting foul by D. Favors (drawn by J. Nurkic)
7:42.0,,,21-34,,J. Nurkic misses free throw 1 of 2
7:42.0,,,21-34,,Offensive rebound by Team
7:42.0,T. Burke enters the game for B. Cotton,,21-34,,
7:42.0,R. Gobert enters the game for D. Favors,,21-34,,
7:42.0,J. Ingles enters the game for C. Johnson,,21-34,,
7:42.0,,,21-35,1,J. Nurkic makes free throw 2 of 2
7:25.0,,,21-35,,Personal foul by W. Chandler (drawn by J. Ingles)
7:25.0,J. Ingles misses free throw 1 of 2,,21-35,,
7:25.0,Offensive rebound by Team,,21-35,,
7:25.0,J. Ingles makes free throw 2 of 2,1,22-35,,
7:07.0,,,22-35,,T. Lawson misses 2-pt shot from 2 ft
7:06.0,,,22-35,,Offensive rebound by K. Faried
7:01.0,,,22-35,,W. Chandler misses 3-pt shot from 23 ft
6:59.0,,,22-35,,Offensive rebound by J. Nelson
6:58.0,,,22-35,,Offensive charge foul by K. Faried
6:58.0,,,22-35,,Turnover by K. Faried (offensive foul)
6:58.0,,,22-35,,J. Lauvergne enters the game for K. Faried
6:34.0,J. Ingles misses 2-pt shot from 9 ft,,22-35,,
6:32.0,,,22-35,,Defensive rebound by J. Lauvergne
6:28.0,,,22-35,,Turnover by J. Lauvergne (bad pass; steal by T. Booker)
6:25.0,T. Burke makes 2-pt shot from 1 ft (assist by T. Booker),2,24-35,,
6:15.0,,,24-35,,Turnover by T. Lawson (bad pass)
5:55.0,T. Booker makes 2-pt shot at rim (assist by R. Gobert),2,26-35,,
5:40.0,,,26-35,,J. Nurkic misses 2-pt shot from 3 ft
5:39.0,Defensive rebound by R. Gobert,,26-35,,
5:31.0,,,26-35,,Shooting block foul by J. Nurkic (drawn by R. Gobert)
5:31.0,,,26-35,,Denver full timeout
5:31.0,,,26-35,,R. Foye enters the game for J. Nelson
5:31.0,J. Evans enters the game for T. Booker,,26-35,,
5:31.0,R. Gobert makes free throw 1 of 2,1,27-35,,
5:31.0,R. Gobert makes free throw 2 of 2,1,28-35,,
5:16.0,,,28-35,,R. Foye misses 3-pt shot from 24 ft
5:15.0,Defensive rebound by T. Burke,,28-35,,
5:00.0,J. Ingles makes 3-pt shot from 25 ft (assist by T. Burke),3,31-35,,
4:55.0,,,31-35,,Denver full timeout
4:55.0,,,31-35,,D. Gallinari enters the game for J. Nurkic
4:55.0,G. Hayward enters the game for D. Exum,,31-35,,
4:47.0,,,31-35,,D. Gallinari misses 2-pt shot from 2 ft
4:46.0,,,31-35,,Offensive rebound by D. Gallinari
4:45.0,,,31-37,2,D. Gallinari makes 2-pt shot from 2 ft
4:30.0,Turnover by R. Gobert (bad pass; steal by W. Chandler),,31-37,,
4:25.0,,,31-39,2,T. Lawson makes 2-pt shot from 1 ft (assist by W. Chandler)
4:16.0,G. Hayward misses 2-pt shot from 2 ft (block by T. Lawson),,31-39,,
4:15.0,,,31-39,,Defensive rebound by Team
3:57.0,,,31-42,3,D. Gallinari makes 3-pt shot from 26 ft (assist by T. Lawson)
3:32.0,G. Hayward misses 2-pt shot from 4 ft,,31-42,,
3:31.0,,,31-42,,Defensive rebound by W. Chandler
3:25.0,,,31-42,,Turnover by J. Lauvergne (3 sec)
3:25.0,E. Millsap enters the game for J. Evans,,31-42,,
3:09.0,J. Ingles misses 3-pt shot from 25 ft,,31-42,,
3:07.0,,,31-42,,Defensive rebound by T. Lawson
3:01.0,,,31-45,3,R. Foye makes 3-pt shot from 23 ft (assist by T. Lawson)
3:01.0,Utah full timeout,,31-45,,
2:49.0,Shooting foul by D. Gallinari (drawn by E. Millsap),,31-45,,
2:49.0,E. Millsap misses free throw 1 of 2,,31-45,,
2:49.0,Offensive rebound by Team,,31-45,,
2:49.0,E. Millsap makes free throw 2 of 2,1,32-45,,
2:42.0,Personal foul by J. Ingles (drawn by D. Gallinari),,32-45,,
2:29.0,,,32-45,,D. Gallinari misses 3-pt shot from 25 ft (block by E. Millsap)
2:28.0,,,32-45,,Offensive rebound by Team
2:24.0,,,32-45,,D. Gallinari misses 3-pt shot from 28 ft
2:23.0,Defensive rebound by G. Hayward,,32-45,,
2:11.0,R. Gobert makes 2-pt shot at rim (assist by T. Burke),2,34-45,,
1:57.0,,,34-45,,Shooting foul by E. Millsap (drawn by T. Lawson)
1:57.0,,,34-46,1,T. Lawson makes free throw 1 of 2
1:57.0,J. Cooley enters the game for R. Gobert,,34-46,,
1:57.0,,,34-46,,J. Hickson enters the game for J. Lauvergne
1:57.0,,,34-47,1,T. Lawson makes free throw 2 of 2
1:49.0,T. Burke misses 2-pt shot from 2 ft,,34-47,,
1:49.0,,,34-47,,Defensive rebound by Team
1:49.0,Loose ball foul by J. Cooley (drawn by D. Gallinari),,34-47,,
1:49.0,,,34-47,,J. Hickson misses free throw 1 of 2
1:49.0,,,34-47,,Offensive rebound by Team
1:49.0,R. Gobert enters the game for J. Cooley,,34-47,,
1:49.0,,,34-48,1,J. Hickson makes free throw 2 of 2
1:33.0,Turnover by E. Millsap (bad pass; steal by D. Gallinari),,34-48,,
1:27.0,,,34-50,2,J. Hickson makes 2-pt shot at rim (assist by T. Lawson)
1:11.0,T. Burke misses 3-pt shot from 24 ft,,34-50,,
1:10.0,,,34-50,,Defensive rebound by T. Lawson
1:04.0,,,34-50,,T. Lawson misses 2-pt shot from 11 ft
1:02.0,Defensive rebound by R. Gobert,,34-50,,
0:53.0,Shooting foul by D. Gallinari (drawn by G. Hayward),,34-50,,
0:53.0,G. Hayward makes free throw 1 of 2,1,35-50,,
0:53.0,G. Hayward makes free throw 2 of 2,1,36-50,,
0:43.0,,,36-50,,Shooting foul by E. Millsap (drawn by D. Gallinari)
0:43.0,,,36-51,1,D. Gallinari makes free throw 1 of 2
0:43.0,T. Booker enters the game for E. Millsap,,36-51,,
0:43.0,,,36-52,1,D. Gallinari makes free throw 2 of 2
0:33.0,G. Hayward makes 3-pt shot from 25 ft (assist by T. Booker),3,39-52,,
0:27.0,,,39-52,,Shooting foul by J. Ingles (drawn by J. Hickson)
0:27.0,,,39-52,,J. Hickson misses free throw 1 of 2
0:27.0,,,39-52,,Offensive rebound by Team
0:27.0,,,39-52,,W. Barton enters the game for D. Gallinari
0:27.0,,,39-52,,G. Harris enters the game for W. Chandler
0:27.0,,,39-52,,J. Hickson misses free throw 2 of 2
0:26.0,Defensive rebound by G. Hayward,,39-52,,
0:04.0,T. Booker misses 3-pt shot from 23 ft,,39-52,,
0:03.0,Offensive rebound by T. Booker,,39-52,,
0:01.0,T. Booker misses 2-pt shot from 9 ft,,39-52,,
0:00.0,Offensive rebound by Team,,39-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,D. Favors misses 2-pt shot from 2 ft,,39-52,,
11:43.0,Offensive rebound by Team,,39-52,,
11:43.0,,,39-52,,Loose ball foul by D. Gallinari (drawn by D. Favors)
11:28.0,Shooting foul by W. Chandler (drawn by D. Favors),,39-52,,
11:28.0,D. Favors makes free throw 1 of 2,1,40-52,,
11:28.0,D. Favors misses free throw 2 of 2,,40-52,,
11:26.0,,,40-52,,Defensive rebound by D. Gallinari
11:03.0,,,40-52,,D. Gallinari misses 2-pt shot from 22 ft
11:02.0,Defensive rebound by D. Favors,,40-52,,
10:51.0,D. Favors makes 2-pt shot from 15 ft (assist by T. Burke),2,42-52,,
10:41.0,,,42-52,,T. Lawson misses 2-pt shot from 1 ft
10:39.0,,,42-52,,Offensive rebound by W. Chandler
10:37.0,,,42-52,,D. Gallinari misses 3-pt shot from 25 ft
10:35.0,,,42-52,,Offensive rebound by K. Faried
10:30.0,Violation by R. Gobert (def goaltending),,42-52,,
10:30.0,,,42-54,2,T. Lawson makes 2-pt shot from 2 ft
10:17.0,Turnover by D. Favors (lost ball),,42-54,,
9:58.0,,,42-54,,Turnover by T. Lawson (lost ball; steal by G. Hayward)
9:54.0,G. Hayward makes 2-pt shot at rim,2,44-54,,
9:37.0,,,44-57,3,R. Foye makes 3-pt shot from 25 ft (assist by W. Chandler)
9:20.0,T. Burke makes 2-pt shot from 2 ft,2,46-57,,
9:16.0,Violation by D. Favors (kicked ball),,46-57,,
9:09.0,,,46-59,2,K. Faried makes 2-pt shot from 3 ft (assist by T. Lawson)
8:44.0,D. Favors makes 2-pt shot from 1 ft (assist by T. Burke),2,48-59,,
8:26.0,,,48-59,,D. Gallinari misses 2-pt shot from 21 ft
8:25.0,Defensive rebound by R. Gobert,,48-59,,
8:12.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,50-59,,
8:07.0,,,50-59,,Denver full timeout
7:53.0,,,50-59,,K. Faried misses 2-pt shot from 1 ft
7:52.0,Defensive rebound by D. Favors,,50-59,,
7:42.0,D. Favors misses 2-pt shot from 15 ft,,50-59,,
7:39.0,Offensive rebound by R. Gobert,,50-59,,
7:39.0,R. Gobert misses 2-pt shot at rim,,50-59,,
7:37.0,,,50-59,,Defensive rebound by K. Faried
7:34.0,Personal foul by G. Hayward (drawn by T. Lawson),,50-59,,
7:19.0,,,50-59,,D. Gallinari misses 2-pt shot from 19 ft
7:18.0,Defensive rebound by T. Burke,,50-59,,
7:05.0,T. Burke misses 3-pt shot from 25 ft,,50-59,,
7:03.0,,,50-59,,Defensive rebound by R. Foye
6:54.0,,,50-59,,T. Lawson misses 2-pt shot from 15 ft
6:51.0,Defensive rebound by G. Hayward,,50-59,,
6:44.0,G. Hayward makes 2-pt shot from 14 ft,2,52-59,,
6:26.0,Personal foul by D. Favors (drawn by D. Gallinari),,52-59,,
6:26.0,B. Cotton enters the game for T. Burke,,52-59,,
6:26.0,T. Booker enters the game for D. Favors,,52-59,,
6:14.0,,,52-61,2,T. Lawson makes 2-pt shot from 11 ft
5:56.0,J. Ingles misses 2-pt shot from 17 ft,,52-61,,
5:53.0,,,52-61,,Defensive rebound by K. Faried
5:48.0,,,52-64,3,R. Foye makes 3-pt shot from 25 ft (assist by K. Faried)
5:28.0,G. Hayward misses 3-pt shot from 22 ft,,52-64,,
5:26.0,,,52-64,,Defensive rebound by W. Chandler
5:20.0,,,52-64,,R. Foye misses 3-pt shot from 22 ft
5:17.0,Defensive rebound by R. Gobert,,52-64,,
5:06.0,Turnover by G. Hayward (bad pass; steal by T. Lawson),,52-64,,
5:01.0,,,52-66,2,W. Chandler makes 2-pt shot at rim (assist by R. Foye)
4:35.0,J. Ingles makes 2-pt shot from 18 ft,2,54-66,,
4:13.0,,,54-66,,Turnover by T. Lawson (bad pass; steal by J. Ingles)
4:08.0,B. Cotton makes 2-pt shot at rim (assist by T. Booker),2,56-66,,
3:49.0,,,56-66,,R. Foye misses 2-pt shot from 2 ft (block by G. Hayward)
3:47.0,Defensive rebound by R. Gobert,,56-66,,
3:40.0,B. Cotton misses 2-pt shot from 20 ft,,56-66,,
3:38.0,,,56-66,,Defensive rebound by D. Gallinari
3:38.0,Personal foul by T. Booker (drawn by D. Gallinari),,56-66,,
3:38.0,C. Johnson enters the game for R. Gobert,,56-66,,
3:38.0,E. Millsap enters the game for J. Ingles,,56-66,,
3:38.0,,,56-66,,J. Nelson enters the game for R. Foye
3:38.0,,,56-66,,J. Hickson enters the game for K. Faried
3:26.0,,,56-66,,Turnover by D. Gallinari (bad pass; steal by E. Millsap)
3:20.0,C. Johnson misses 3-pt shot from 23 ft,,56-66,,
3:17.0,Offensive rebound by B. Cotton,,56-66,,
3:14.0,B. Cotton makes 2-pt shot from 16 ft,2,58-66,,
3:06.0,,,58-68,2,T. Lawson makes 2-pt shot from 2 ft
3:06.0,,,58-68,,Shooting foul by E. Millsap (drawn by T. Lawson)
3:06.0,,,58-68,,T. Lawson misses free throw 1 of 1
3:05.0,Defensive rebound by G. Hayward,,58-68,,
2:51.0,,,58-68,,Shooting block foul by W. Chandler (drawn by G. Hayward)
2:51.0,Utah full timeout,,58-68,,
2:51.0,,,58-68,,E. Green enters the game for T. Lawson
2:51.0,T. Burke enters the game for B. Cotton,,58-68,,
2:51.0,G. Hayward makes free throw 1 of 2,1,59-68,,
2:51.0,G. Hayward makes free throw 2 of 2,1,60-68,,
2:39.0,,,60-68,,J. Nelson misses 2-pt shot from 2 ft
2:37.0,,,60-68,,Offensive rebound by J. Hickson
2:37.0,,,60-70,2,J. Hickson makes 2-pt shot at rim
2:17.0,T. Burke misses 2-pt shot from 13 ft,,60-70,,
2:16.0,,,60-70,,Defensive rebound by J. Hickson
2:05.0,,,60-73,3,J. Nelson makes 3-pt shot from 26 ft (assist by J. Hickson)
1:48.0,G. Hayward misses 3-pt shot from 24 ft,,60-73,,
1:46.0,Offensive rebound by Team,,60-73,,
1:46.0,J. Evans enters the game for G. Hayward,,60-73,,
1:46.0,,,60-73,,W. Barton enters the game for W. Chandler
1:35.0,T. Burke misses 3-pt shot from 25 ft,,60-73,,
1:33.0,,,60-73,,Defensive rebound by W. Barton
1:13.0,,,60-73,,D. Gallinari misses 3-pt shot from 26 ft
1:11.0,,,60-73,,Offensive rebound by W. Barton
1:07.0,,,60-75,2,W. Barton makes 2-pt shot from 2 ft
0:56.0,,,60-75,,Personal foul by W. Barton (drawn by J. Evans)
0:56.0,R. Gobert enters the game for T. Booker,,60-75,,
0:46.0,E. Millsap makes 3-pt shot from 25 ft (assist by J. Evans),3,63-75,,
0:31.0,,,63-75,,J. Nelson misses 2-pt shot from 22 ft
0:30.0,Defensive rebound by E. Millsap,,63-75,,
0:11.0,Turnover by E. Millsap (bad pass),,63-75,,
0:01.0,,,63-75,,Turnover by J. Nelson (lost ball)
0:01.0,,,63-75,,J. Lauvergne enters the game for D. Gallinari
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,63-75,,E. Green misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by R. Gobert,,63-75,,
11:27.0,R. Gobert makes 2-pt shot at rim (assist by D. Favors),2,65-75,,
11:09.0,,,65-75,,W. Barton misses 2-pt shot from 2 ft (block by D. Favors)
11:07.0,,,65-75,,Offensive rebound by W. Barton
11:02.0,,,65-77,2,W. Barton makes 2-pt shot from 5 ft (assist by E. Green)
10:48.0,J. Ingles misses 3-pt shot from 24 ft,,65-77,,
10:47.0,,,65-77,,Defensive rebound by J. Hickson
10:41.0,,,65-79,2,E. Green makes 2-pt shot at rim (assist by J. Nelson)
10:34.0,Utah full timeout,,65-79,,
10:34.0,J. Evans enters the game for D. Favors,,65-79,,
10:16.0,Turnover by C. Johnson (step out of bounds),,65-79,,
10:00.0,,,65-81,2,J. Nelson makes 2-pt shot from 21 ft
9:40.0,T. Burke makes 2-pt shot from 14 ft (assist by R. Gobert),2,67-81,,
9:23.0,,,67-84,3,W. Barton makes 3-pt shot from 24 ft
9:08.0,C. Johnson makes 3-pt shot from 23 ft (assist by J. Ingles),3,70-84,,
8:54.0,,,70-84,,Turnover by J. Nelson (bad pass; steal by C. Johnson)
8:46.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,72-84,,
8:24.0,,,72-84,,J. Lauvergne misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by J. Evans,,72-84,,
8:07.0,J. Ingles misses 3-pt shot from 25 ft,,72-84,,
8:06.0,,,72-84,,Defensive rebound by W. Barton
8:02.0,,,72-84,,W. Barton misses 2-pt shot from 1 ft (block by R. Gobert)
8:01.0,,,72-84,,Offensive rebound by Team
8:01.0,G. Hayward enters the game for T. Burke,,72-84,,
8:01.0,B. Cotton enters the game for C. Johnson,,72-84,,
8:01.0,,,72-84,,K. Faried enters the game for J. Hickson
8:01.0,,,72-84,,W. Chandler enters the game for J. Lauvergne
7:57.0,,,72-84,,Shooting foul by J. Evans (drawn by K. Faried)
7:57.0,,,72-85,1,K. Faried makes free throw 1 of 2
7:57.0,,,72-86,1,K. Faried makes free throw 2 of 2
7:50.0,,,72-86,,Personal block foul by J. Nelson (drawn by G. Hayward)
7:33.0,J. Ingles misses 3-pt shot from 22 ft,,72-86,,
7:32.0,Offensive rebound by R. Gobert,,72-86,,
7:29.0,Shooting foul by K. Faried (drawn by G. Hayward),,72-86,,
7:29.0,G. Hayward makes free throw 1 of 2,1,73-86,,
7:29.0,G. Hayward misses free throw 2 of 2,,73-86,,
7:27.0,,,73-86,,Defensive rebound by W. Barton
7:15.0,,,73-88,2,J. Nelson makes 2-pt shot from 21 ft
6:59.0,G. Hayward misses 3-pt shot from 25 ft,,73-88,,
6:58.0,,,73-88,,Defensive rebound by W. Barton
6:52.0,,,73-88,,W. Barton misses 2-pt shot from 18 ft
6:48.0,Defensive rebound by G. Hayward,,73-88,,
6:43.0,G. Hayward misses 2-pt shot from 15 ft,,73-88,,
6:42.0,Offensive rebound by J. Evans,,73-88,,
6:34.0,J. Ingles misses 3-pt shot from 25 ft,,73-88,,
6:33.0,,,73-88,,Defensive rebound by W. Barton
6:18.0,,,73-88,,Shooting foul by J. Evans (drawn by W. Chandler)
6:18.0,,,73-89,1,W. Chandler makes free throw 1 of 2
6:18.0,,,73-89,,T. Lawson enters the game for E. Green
6:18.0,T. Booker enters the game for J. Ingles,,73-89,,
6:18.0,C. Johnson enters the game for J. Evans,,73-89,,
6:18.0,J. Cooley enters the game for R. Gobert,,73-89,,
6:18.0,,,73-90,1,W. Chandler makes free throw 2 of 2
5:54.0,B. Cotton misses 2-pt shot from 16 ft,,73-90,,
5:53.0,Offensive rebound by T. Booker,,73-90,,
5:50.0,T. Booker makes 2-pt shot from 2 ft,2,75-90,,
5:29.0,,,75-92,2,W. Chandler makes 2-pt shot at rim (assist by T. Lawson)
5:18.0,B. Cotton misses 3-pt shot from 25 ft,,75-92,,
5:15.0,Offensive rebound by T. Booker,,75-92,,
5:03.0,G. Hayward makes 2-pt shot from 18 ft (assist by T. Booker),2,77-92,,
4:43.0,,,77-92,,Turnover by T. Lawson (bad pass; steal by T. Booker)
4:38.0,G. Hayward makes 2-pt shot from 1 ft (assist by T. Booker),2,79-92,,
4:17.0,,,79-95,3,J. Nelson makes 3-pt shot from 25 ft (assist by W. Barton)
4:12.0,Turnover by G. Hayward (bad pass; steal by T. Lawson),,79-95,,
4:07.0,,,79-98,3,W. Barton makes 3-pt shot from 24 ft (assist by T. Lawson)
4:07.0,Utah full timeout,,79-98,,
4:07.0,Official timeout,,79-98,,
