time,LA Lakers,pts.away,score,pts.home,Cleveland
8:32.0,W. Ellington enters the game for W. Johnson,,36-42,,
8:32.0,C. Boozer makes free throw 1 of 1,1,37-42,,
8:16.0,Personal foul by N. Young (drawn by T. Thompson),,37-42,,
8:16.0,,,37-42,,K. Irving enters the game for M. Dellavedova
8:14.0,,,37-44,2,I. Shumpert makes 2-pt shot at rim (assist by K. Irving)
7:43.0,W. Ellington misses 3-pt shot from 24 ft,,37-44,,
7:42.0,,,37-44,,Defensive rebound by K. Love
7:36.0,Personal foul by C. Boozer (drawn by T. Thompson),,37-44,,
7:36.0,,,37-44,,J. Smith enters the game for L. James
7:27.0,,,37-44,,I. Shumpert misses 2-pt shot from 9 ft
7:27.0,,,37-44,,Offensive rebound by Team
7:27.0,Personal foul by C. Boozer (drawn by T. Thompson),,37-44,,
7:27.0,T. Black enters the game for C. Boozer,,37-44,,
7:22.0,,,37-44,,K. Irving misses 3-pt shot from 24 ft
7:21.0,Defensive rebound by W. Ellington,,37-44,,
7:02.0,J. Lin misses 2-pt shot from 10 ft,,37-44,,
7:00.0,,,37-44,,Defensive rebound by T. Thompson
6:52.0,Personal foul by T. Black (drawn by T. Thompson),,37-44,,
6:52.0,,,37-44,,T. Thompson misses free throw 1 of 2
6:52.0,,,37-44,,Offensive rebound by Team
6:52.0,R. Sacre enters the game for E. Davis,,37-44,,
6:52.0,,,37-44,,T. Thompson misses free throw 2 of 2
6:51.0,Defensive rebound by R. Sacre,,37-44,,
6:30.0,T. Black makes 2-pt shot at rim (assist by J. Lin),2,39-44,,
6:18.0,,,39-44,,J. Smith misses 2-pt shot from 18 ft
6:16.0,Defensive rebound by W. Ellington,,39-44,,
6:09.0,W. Ellington misses 2-pt shot from 1 ft,,39-44,,
6:07.0,Offensive rebound by T. Black,,39-44,,
6:07.0,T. Black makes 2-pt shot at rim,2,41-44,,
6:04.0,,,41-44,,Cleveland full timeout
6:04.0,J. Clarkson enters the game for J. Lin,,41-44,,
6:04.0,,,41-44,,T. Mozgov enters the game for T. Thompson
5:52.0,,,41-46,2,T. Mozgov makes 2-pt shot from 9 ft (assist by K. Love)
5:33.0,W. Ellington misses 3-pt shot from 25 ft,,41-46,,
5:32.0,,,41-46,,Defensive rebound by K. Love
5:23.0,,,41-46,,K. Irving misses 2-pt shot from 14 ft
5:23.0,Defensive rebound by J. Clarkson,,41-46,,
5:23.0,,,41-46,,Personal foul by K. Irving (drawn by J. Clarkson)
5:05.0,W. Ellington misses 2-pt shot from 5 ft,,41-46,,
5:02.0,,,41-46,,Defensive rebound by K. Love
4:50.0,,,41-48,2,K. Love makes 2-pt shot at rim (assist by K. Irving)
4:27.0,Turnover by N. Young (lost ball; steal by I. Shumpert),,41-48,,
4:22.0,,,41-50,2,I. Shumpert makes 2-pt shot at rim (assist by K. Irving)
4:16.0,Technical foul by N. Young,,41-50,,
4:16.0,,,41-50,,K. Irving misses technical free throw
4:16.0,Offensive rebound by Team,,41-50,,
4:16.0,W. Johnson enters the game for N. Young,,41-50,,
4:16.0,,,41-50,,L. James enters the game for I. Shumpert
4:05.0,J. Clarkson misses 2-pt shot from 9 ft,,41-50,,
4:04.0,,,41-50,,Defensive rebound by L. James
3:41.0,,,41-53,3,K. Love makes 3-pt shot from 25 ft (assist by J. Smith)
3:08.0,W. Johnson misses 3-pt shot from 24 ft,,41-53,,
3:04.0,,,41-53,,Defensive rebound by K. Irving
2:55.0,,,41-56,3,K. Love makes 3-pt shot from 24 ft (assist by J. Smith)
2:47.0,LA Lakers full timeout,,41-56,,
2:47.0,,,41-56,,M. Dellavedova enters the game for K. Irving
2:26.0,W. Ellington makes 2-pt shot from 7 ft,2,43-56,,
2:14.0,,,43-59,3,K. Love makes 3-pt shot from 24 ft (assist by L. James)
1:48.0,T. Black misses 2-pt shot from 5 ft,,43-59,,
1:47.0,,,43-59,,Defensive rebound by K. Love
1:34.0,,,43-62,3,K. Love makes 3-pt shot from 25 ft (assist by L. James)
1:15.0,R. Sacre misses 2-pt shot from 5 ft,,43-62,,
1:12.0,,,43-62,,Defensive rebound by T. Mozgov
1:02.0,,,43-64,2,T. Mozgov makes 2-pt shot at rim (assist by L. James)
0:46.0,J. Clarkson misses 2-pt shot from 6 ft (block by T. Mozgov),,43-64,,
0:43.0,Offensive rebound by T. Black,,43-64,,
0:40.0,R. Sacre makes 2-pt shot from 8 ft (assist by T. Black),2,45-64,,
0:35.0,,,45-64,,Turnover by L. James (lost ball; steal by T. Black)
0:29.0,Shooting foul by K. Love (drawn by J. Clarkson),,45-64,,
0:29.0,J. Clarkson makes free throw 1 of 2,1,46-64,,
0:29.0,,,46-64,,I. Shumpert enters the game for M. Dellavedova
0:29.0,E. Davis enters the game for R. Sacre,,46-64,,
0:29.0,J. Clarkson makes free throw 2 of 2,1,47-64,,
