time,Denver,pts.away,score,pts.home,Utah
4:09.0,D. Gallinari misses 3-pt shot from 24 ft,,14-14,,
4:08.0,,,14-14,,Defensive rebound by R. Gobert
3:53.0,,,14-14,,D. Favors misses 2-pt shot from 15 ft
3:50.0,Defensive rebound by R. Foye,,14-14,,
3:35.0,K. Faried makes 2-pt shot from 3 ft,2,16-14,,
3:12.0,,,16-14,,G. Hayward misses 2-pt shot from 4 ft
3:11.0,,,16-14,,Offensive rebound by R. Gobert
3:11.0,,,16-14,,Shooting foul by K. Faried (drawn by R. Gobert)
3:11.0,,,16-15,1,R. Gobert makes free throw 1 of 2
3:11.0,J. Nelson enters the game for R. Foye,,16-15,,
3:11.0,J. Lauvergne enters the game for K. Faried,,16-15,,
3:11.0,,,16-16,1,R. Gobert makes free throw 2 of 2
2:59.0,W. Barton misses 2-pt shot from 2 ft,,16-16,,
2:57.0,Offensive rebound by J. Lauvergne,,16-16,,
2:56.0,J. Lauvergne misses 2-pt shot from 2 ft (block by R. Gobert),,16-16,,
2:54.0,,,16-16,,Defensive rebound by D. Favors
2:48.0,,,16-18,2,R. Gobert makes 2-pt shot from 2 ft (assist by G. Hayward)
2:36.0,D. Gallinari makes 3-pt shot from 25 ft,3,19-18,,
2:28.0,,,19-18,,Utah full timeout
2:28.0,Denver full timeout,,19-18,,
2:28.0,,,19-18,,T. Booker enters the game for R. Gobert
2:28.0,,,19-18,,T. Burke enters the game for D. Exum
2:10.0,,,19-20,2,D. Favors makes 2-pt shot from 18 ft (assist by T. Booker)
1:49.0,J. Nelson misses 2-pt shot from 21 ft,,19-20,,
1:48.0,Offensive rebound by Team,,19-20,,
1:48.0,,,19-20,,Personal foul by D. Favors (drawn by J. Lauvergne)
1:48.0,J. Nurkic enters the game for D. Gallinari,,19-20,,
1:48.0,,,19-20,,J. Evans enters the game for D. Favors
1:38.0,J. Lauvergne makes 2-pt shot from 1 ft,2,21-20,,
1:24.0,,,21-20,,C. Johnson misses 3-pt shot from 22 ft (block by J. Nelson)
1:21.0,Defensive rebound by J. Lauvergne,,21-20,,
1:14.0,T. Lawson makes 2-pt shot from 2 ft,2,23-20,,
0:56.0,,,23-20,,T. Booker misses 2-pt shot from 1 ft
0:55.0,Defensive rebound by J. Lauvergne,,23-20,,
0:44.0,J. Nelson makes 3-pt shot from 24 ft,3,26-20,,
0:30.0,,,26-20,,T. Booker misses 2-pt shot from 2 ft
0:29.0,,,26-20,,Offensive rebound by J. Evans
0:29.0,,,26-22,2,J. Evans makes 2-pt shot from 2 ft
0:07.0,J. Nelson misses 3-pt shot from 26 ft,,26-22,,
0:05.0,Offensive rebound by W. Barton,,26-22,,
0:00.0,W. Barton makes 3-pt shot from 25 ft,3,29-22,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:36.0,,,29-24,2,T. Booker makes 2-pt shot from 9 ft
11:18.0,W. Barton misses 2-pt shot from 3 ft,,29-24,,
11:17.0,,,29-24,,Defensive rebound by T. Booker
11:12.0,,,29-26,2,T. Burke makes 2-pt shot from 2 ft
11:00.0,J. Lauvergne misses 3-pt shot from 25 ft,,29-26,,
10:57.0,Offensive rebound by J. Nelson,,29-26,,
10:52.0,W. Barton makes 2-pt shot from 1 ft,2,31-26,,
10:30.0,,,31-26,,E. Millsap misses 2-pt shot from 3 ft
10:29.0,Defensive rebound by J. Lauvergne,,31-26,,
10:19.0,J. Nelson misses 2-pt shot from 22 ft,,31-26,,
10:19.0,Offensive rebound by Team,,31-26,,
10:19.0,,,31-26,,Personal foul by J. Evans (drawn by J. Lauvergne)
10:13.0,G. Harris misses 3-pt shot from 24 ft,,31-26,,
10:11.0,,,31-26,,Defensive rebound by E. Millsap
9:53.0,,,31-26,,Turnover by T. Booker (lost ball; steal by G. Harris)
9:52.0,,,31-26,,Personal foul by J. Ingles (drawn by G. Harris)
9:52.0,,,31-26,,D. Exum enters the game for J. Ingles
9:50.0,Turnover by J. Nurkic (lost ball; steal by E. Millsap),,31-26,,
9:38.0,,,31-29,3,T. Burke makes 3-pt shot from 25 ft (assist by T. Booker)
9:16.0,J. Lauvergne makes 2-pt shot from 2 ft,2,33-29,,
8:55.0,,,33-32,3,T. Burke makes 3-pt shot from 23 ft (assist by D. Exum)
8:48.0,Denver full timeout,,33-32,,
8:48.0,,,33-32,,R. Gobert enters the game for J. Evans
8:30.0,J. Nelson misses 3-pt shot from 24 ft,,33-32,,
8:30.0,,,33-32,,Defensive rebound by Team
8:30.0,I. Clark enters the game for W. Barton,,33-32,,
8:29.0,Jump ball: R. Gobert vs. J. Nurkic (T. Burke gains possession),,,,Jump ball: R. Gobert vs. J. Nurkic (T. Burke gains possession)
8:14.0,Personal foul by I. Clark (drawn by T. Burke),,33-32,,
8:06.0,Personal foul by I. Clark (drawn by R. Gobert),,33-32,,
8:03.0,Personal foul by J. Nurkic (drawn by R. Gobert),,33-32,,
8:03.0,K. Faried enters the game for J. Nurkic,,33-32,,
7:54.0,,,33-34,2,T. Burke makes 2-pt shot from 14 ft
7:35.0,G. Harris misses 2-pt shot from 19 ft,,33-34,,
7:34.0,,,33-34,,Defensive rebound by Team
7:16.0,,,33-37,3,T. Booker makes 3-pt shot from 23 ft (assist by T. Burke)
7:00.0,,,33-37,,Personal foul by E. Millsap (drawn by G. Harris)
7:00.0,,,33-37,,D. Favors enters the game for T. Booker
6:55.0,G. Harris misses 2-pt shot from 1 ft,,33-37,,
6:53.0,Offensive rebound by J. Lauvergne,,33-37,,
6:51.0,J. Lauvergne misses 2-pt shot from 1 ft (block by D. Favors),,33-37,,
6:49.0,,,33-37,,Defensive rebound by D. Favors
6:43.0,,,33-39,2,D. Favors makes 2-pt shot at rim (assist by E. Millsap)
6:22.0,J. Nelson misses 2-pt shot from 13 ft,,33-39,,
6:20.0,Offensive rebound by K. Faried,,33-39,,
6:20.0,K. Faried misses 2-pt shot from 3 ft,,33-39,,
6:18.0,,,33-39,,Defensive rebound by D. Favors
6:11.0,,,33-39,,Shooting foul by I. Clark (drawn by R. Gobert)
6:11.0,,,33-39,,R. Gobert misses free throw 1 of 2
6:11.0,,,33-39,,Offensive rebound by Team
6:11.0,,,33-39,,G. Hayward enters the game for T. Burke
6:11.0,W. Chandler enters the game for I. Clark,,33-39,,
6:11.0,T. Lawson enters the game for G. Harris,,33-39,,
6:11.0,R. Foye enters the game for J. Lauvergne,,33-39,,
6:11.0,,,33-40,1,R. Gobert makes free throw 2 of 2
5:58.0,W. Chandler misses 2-pt shot from 15 ft,,33-40,,
5:57.0,,,33-40,,Defensive rebound by E. Millsap
5:40.0,,,33-40,,D. Exum misses 3-pt shot from 25 ft
5:39.0,Defensive rebound by W. Chandler,,33-40,,
5:31.0,T. Lawson makes 2-pt shot from 13 ft,2,35-40,,
5:14.0,,,35-42,2,D. Favors makes 2-pt shot from 14 ft (assist by D. Exum)
5:06.0,Shooting foul by D. Favors (drawn by T. Lawson),,35-42,,
5:06.0,Official timeout,,35-42,,
5:06.0,,,35-42,,J. Ingles enters the game for D. Favors
5:06.0,T. Lawson makes free throw 1 of 2,1,36-42,,
5:06.0,T. Lawson misses free throw 2 of 2,,36-42,,
5:05.0,,,36-42,,Defensive rebound by R. Gobert
4:48.0,,,36-44,2,E. Millsap makes 2-pt shot from 19 ft (assist by R. Gobert)
4:21.0,Turnover by R. Foye (lost ball; steal by G. Hayward),,36-44,,
4:11.0,,,36-46,2,R. Gobert makes 2-pt shot at rim (assist by D. Exum)
3:58.0,T. Lawson makes 2-pt shot from 16 ft,2,38-46,,
3:44.0,,,38-49,3,J. Ingles makes 3-pt shot from 24 ft (assist by D. Exum)
3:26.0,W. Chandler misses 3-pt shot from 24 ft,,38-49,,
3:23.0,,,38-49,,Defensive rebound by E. Millsap
3:15.0,Technical foul by K. Faried,,38-49,,
3:15.0,,,38-50,1,G. Hayward makes technical free throw
3:15.0,D. Gallinari enters the game for J. Nelson,,38-50,,
3:08.0,,,38-52,2,R. Gobert makes 2-pt shot from 2 ft (assist by D. Exum)
3:08.0,,,38-52,,Shooting foul by W. Chandler (drawn by R. Gobert)
3:08.0,,,38-52,,R. Gobert misses free throw 1 of 1
3:06.0,,,38-52,,Offensive rebound by E. Millsap
3:00.0,,,38-52,,Turnover by E. Millsap (traveling)
2:46.0,Shooting foul by R. Gobert (drawn by K. Faried),,38-52,,
2:46.0,,,38-52,,Utah full timeout
2:46.0,,,38-52,,T. Burke enters the game for D. Exum
2:46.0,,,38-52,,T. Booker enters the game for R. Gobert
2:46.0,K. Faried makes free throw 1 of 2,1,39-52,,
2:46.0,K. Faried makes free throw 2 of 2,1,40-52,,
2:32.0,,,40-52,,T. Burke misses 2-pt shot from 7 ft (block by K. Faried)
2:30.0,Defensive rebound by K. Faried,,40-52,,
2:19.0,D. Gallinari misses 3-pt shot from 25 ft,,40-52,,
2:18.0,,,40-52,,Defensive rebound by T. Burke
2:12.0,,,40-52,,T. Burke misses 2-pt shot from 17 ft
2:11.0,Defensive rebound by K. Faried,,40-52,,
1:53.0,D. Gallinari misses 3-pt shot from 24 ft,,40-52,,
1:52.0,,,40-52,,Defensive rebound by E. Millsap
1:32.0,,,40-52,,T. Burke misses 3-pt shot from 24 ft
1:31.0,,,40-52,,Offensive rebound by Team
1:31.0,Personal foul by K. Faried (drawn by T. Booker),,40-52,,
1:31.0,,,40-52,,T. Booker misses free throw 1 of 2
1:31.0,,,40-52,,Offensive rebound by Team
1:31.0,W. Barton enters the game for W. Chandler,,40-52,,
1:31.0,,,40-52,,D. Exum enters the game for T. Burke
1:31.0,,,40-53,1,T. Booker makes free throw 2 of 2
1:15.0,W. Barton misses 3-pt shot from 24 ft,,40-53,,
1:14.0,,,40-53,,Defensive rebound by J. Ingles
1:06.0,,,40-53,,J. Ingles misses 2-pt shot from 17 ft
1:05.0,Defensive rebound by T. Lawson,,40-53,,
0:57.0,R. Foye misses 3-pt shot from 22 ft,,40-53,,
0:56.0,,,40-53,,Defensive rebound by D. Exum
0:54.0,,,40-53,,Turnover by D. Exum (bad pass; steal by W. Barton)
0:50.0,K. Faried makes 2-pt shot at rim (assist by W. Barton),2,42-53,,
0:36.0,,,42-53,,Shooting foul by T. Lawson (drawn by T. Booker)
0:36.0,,,42-54,1,T. Booker makes free throw 1 of 2
0:36.0,J. Lauvergne enters the game for K. Faried,,42-54,,
0:36.0,,,42-54,,C. Johnson enters the game for J. Ingles
0:36.0,,,42-54,,T. Booker misses free throw 2 of 2
0:35.0,,,42-54,,Offensive rebound by E. Millsap
0:29.0,,,42-54,,G. Hayward misses 2-pt shot from 14 ft
0:27.0,Defensive rebound by W. Barton,,42-54,,
0:09.0,T. Lawson misses 2-pt shot from 2 ft,,42-54,,
0:08.0,,,42-54,,Defensive rebound by E. Millsap
0:03.0,,,42-54,,C. Johnson misses 3-pt shot from 23 ft
0:02.0,Defensive rebound by D. Gallinari,,42-54,,
0:01.0,D. Gallinari misses 3-pt shot from 51 ft,,42-54,,
0:00.0,Offensive rebound by Team,,42-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,42-56,2,D. Favors makes 2-pt shot from 11 ft (assist by D. Exum)
11:27.0,R. Foye misses 3-pt shot from 24 ft,,42-56,,
11:26.0,,,42-56,,Defensive rebound by R. Gobert
11:15.0,,,42-56,,D. Favors misses 2-pt shot from 16 ft
11:14.0,Defensive rebound by K. Faried,,42-56,,
11:03.0,K. Faried makes 2-pt shot from 3 ft (assist by R. Foye),2,44-56,,
10:41.0,,,44-56,,J. Ingles misses 2-pt shot from 17 ft
10:38.0,,,44-56,,Offensive rebound by D. Favors
10:33.0,,,44-59,3,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors)
10:18.0,Shooting foul by D. Favors (drawn by K. Faried),,44-59,,
10:18.0,K. Faried makes free throw 1 of 2,1,45-59,,
10:18.0,,,45-59,,T. Booker enters the game for D. Favors
10:18.0,K. Faried makes free throw 2 of 2,1,46-59,,
10:04.0,,,46-61,2,G. Hayward makes 2-pt shot from 5 ft
9:56.0,Turnover by T. Lawson (bad pass; steal by R. Gobert),,46-61,,
9:48.0,,,46-63,2,T. Booker makes 2-pt shot from 2 ft (assist by D. Exum)
9:33.0,T. Lawson misses 2-pt shot from 5 ft,,46-63,,
9:32.0,,,46-63,,Defensive rebound by G. Hayward
9:27.0,,,46-63,,G. Hayward misses 2-pt shot from 17 ft
9:26.0,Defensive rebound by K. Faried,,46-63,,
9:14.0,T. Lawson misses 2-pt shot from 2 ft,,46-63,,
9:12.0,Offensive rebound by K. Faried,,46-63,,
9:12.0,K. Faried misses 2-pt shot from 2 ft,,46-63,,
9:11.0,,,46-63,,Defensive rebound by R. Gobert
9:01.0,,,46-63,,Shooting foul by D. Gallinari (drawn by G. Hayward)
9:01.0,,,46-64,1,G. Hayward makes free throw 1 of 2
9:01.0,,,46-65,1,G. Hayward makes free throw 2 of 2
8:48.0,K. Faried misses 2-pt shot from 6 ft,,46-65,,
8:47.0,,,46-65,,Defensive rebound by R. Gobert
8:39.0,,,46-65,,Offensive charge foul by R. Gobert
8:39.0,,,46-65,,Turnover by R. Gobert (offensive foul)
8:27.0,D. Gallinari makes 2-pt shot from 22 ft (assist by R. Foye),2,48-65,,
8:05.0,,,48-65,,Turnover by J. Ingles (bad pass)
7:56.0,W. Chandler misses 3-pt shot from 24 ft,,48-65,,
7:53.0,,,48-65,,Defensive rebound by R. Gobert
7:35.0,,,48-65,,T. Booker misses 2-pt shot from 11 ft
7:34.0,Defensive rebound by D. Gallinari,,48-65,,
7:20.0,T. Lawson makes 2-pt shot from 2 ft,2,50-65,,
7:20.0,Shooting foul by D. Exum (drawn by T. Lawson),,50-65,,
7:20.0,T. Lawson makes free throw 1 of 1,1,51-65,,
7:05.0,,,51-65,,T. Booker misses 3-pt shot from 24 ft
7:04.0,,,51-65,,Offensive rebound by R. Gobert
6:49.0,,,51-65,,T. Booker misses 2-pt shot from 5 ft
6:48.0,Defensive rebound by K. Faried,,51-65,,
6:39.0,D. Gallinari misses 2-pt shot from 20 ft,,51-65,,
6:37.0,,,51-65,,Defensive rebound by J. Ingles
6:24.0,,,51-65,,Turnover by D. Exum (bad pass; steal by R. Foye)
6:16.0,,,51-65,,Personal foul by D. Exum (drawn by W. Chandler)
6:16.0,,,51-65,,T. Burke enters the game for D. Exum
6:10.0,W. Chandler misses 2-pt shot from 1 ft,,51-65,,
6:09.0,,,51-65,,Defensive rebound by Team
5:47.0,,,51-65,,T. Burke misses 3-pt shot from 22 ft
5:45.0,Defensive rebound by W. Chandler,,51-65,,
5:43.0,Turnover by W. Chandler (lost ball; steal by T. Booker),,51-65,,
5:41.0,Personal foul by D. Gallinari (drawn by J. Ingles),,51-65,,
5:41.0,,,51-65,,Utah full timeout
5:30.0,,,51-68,3,G. Hayward makes 3-pt shot from 24 ft (assist by T. Burke)
5:08.0,T. Lawson misses 2-pt shot from 14 ft,,51-68,,
5:07.0,Offensive rebound by K. Faried,,51-68,,
5:07.0,K. Faried misses 2-pt shot from 2 ft,,51-68,,
5:04.0,Offensive rebound by K. Faried,,51-68,,
5:04.0,K. Faried makes 2-pt shot from 2 ft,2,53-68,,
4:51.0,,,53-68,,T. Burke misses 2-pt shot from 11 ft
4:48.0,Defensive rebound by R. Foye,,53-68,,
4:43.0,R. Foye misses 3-pt shot from 24 ft,,53-68,,
4:41.0,,,53-68,,Defensive rebound by T. Burke
4:30.0,,,53-68,,Shooting foul by K. Faried (drawn by G. Hayward)
4:30.0,,,53-69,1,G. Hayward makes free throw 1 of 2
4:30.0,,,53-70,1,G. Hayward makes free throw 2 of 2
4:11.0,T. Lawson misses 2-pt shot from 17 ft,,53-70,,
4:10.0,,,53-70,,Defensive rebound by R. Gobert
4:01.0,,,53-72,2,T. Burke makes 2-pt shot from 15 ft
3:42.0,D. Gallinari makes 3-pt shot from 26 ft,3,56-72,,
3:23.0,,,56-72,,T. Burke misses 3-pt shot from 26 ft
3:21.0,,,56-72,,Offensive rebound by T. Booker
3:03.0,,,56-75,3,J. Ingles makes 3-pt shot from 23 ft (assist by G. Hayward)
2:47.0,R. Foye misses 3-pt shot from 24 ft,,56-75,,
2:45.0,,,56-75,,Defensive rebound by T. Burke
2:43.0,Violation by W. Chandler (kicked ball),,56-75,,
2:43.0,Denver full timeout,,56-75,,
2:43.0,J. Nelson enters the game for W. Chandler,,56-75,,
2:43.0,,,56-75,,C. Johnson enters the game for J. Ingles
2:38.0,Personal foul by R. Foye (drawn by G. Hayward),,56-75,,
2:25.0,,,56-77,2,C. Johnson makes 2-pt shot from 3 ft
2:03.0,T. Lawson makes 3-pt shot from 24 ft (assist by D. Gallinari),3,59-77,,
1:35.0,,,59-77,,C. Johnson misses 3-pt shot from 22 ft
1:33.0,Defensive rebound by J. Nelson,,59-77,,
1:29.0,,,59-77,,Personal foul by C. Johnson (drawn by J. Nelson)
1:29.0,,,59-77,,E. Millsap enters the game for G. Hayward
1:20.0,D. Gallinari misses 2-pt shot from 8 ft,,59-77,,
1:20.0,,,59-77,,Defensive rebound by Team
1:20.0,Personal foul by K. Faried (drawn by R. Gobert),,59-77,,
1:20.0,,,59-77,,R. Gobert misses free throw 1 of 2
1:20.0,,,59-77,,Offensive rebound by Team
1:20.0,J. Lauvergne enters the game for K. Faried,,59-77,,
1:20.0,,,59-78,1,R. Gobert makes free throw 2 of 2
1:06.0,D. Gallinari misses 3-pt shot from 24 ft,,59-78,,
1:04.0,Offensive rebound by R. Foye,,59-78,,
0:57.0,D. Gallinari misses 2-pt shot from 6 ft,,59-78,,
0:55.0,,,59-78,,Defensive rebound by E. Millsap
0:30.0,,,59-78,,T. Booker misses 3-pt shot from 24 ft
0:28.0,,,59-78,,Offensive rebound by R. Gobert
0:26.0,,,59-80,2,R. Gobert makes 2-pt shot from 2 ft
0:26.0,,,59-80,,Shooting foul by J. Lauvergne (drawn by R. Gobert)
0:26.0,W. Chandler enters the game for D. Gallinari,,59-80,,
0:26.0,,,59-81,1,R. Gobert makes free throw 1 of 1
0:26.0,Denver full timeout,,59-81,,
0:26.0,W. Barton enters the game for J. Lauvergne,,59-81,,
0:05.0,R. Foye misses 3-pt shot from 24 ft,,59-81,,
0:03.0,,,59-81,,Defensive rebound by R. Gobert
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,W. Chandler misses 3-pt shot from 24 ft,,59-81,,
11:35.0,,,59-81,,Defensive rebound by C. Johnson
11:21.0,,,59-81,,T. Burke misses 2-pt shot from 19 ft
11:20.0,Defensive rebound by W. Barton,,59-81,,
11:15.0,R. Foye misses 3-pt shot from 24 ft,,59-81,,
11:13.0,,,59-81,,Defensive rebound by T. Booker
10:56.0,,,59-81,,E. Millsap misses 2-pt shot from 23 ft
10:55.0,Defensive rebound by W. Barton,,59-81,,
10:46.0,W. Chandler misses 2-pt shot from 17 ft,,59-81,,
10:44.0,,,59-81,,Defensive rebound by Team
10:44.0,J. Nurkic enters the game for R. Foye,,59-81,,
10:22.0,,,59-81,,E. Millsap misses 2-pt shot from 2 ft (block by J. Lauvergne)
10:19.0,,,59-81,,Offensive rebound by E. Millsap
10:19.0,,,59-81,,Turnover by Team (shot clock)
10:07.0,J. Nurkic misses 2-pt shot from 4 ft (block by T. Booker),,59-81,,
10:07.0,Offensive rebound by Team,,59-81,,
9:55.0,W. Chandler makes 2-pt shot from 19 ft,2,61-81,,
9:36.0,Personal foul by J. Nurkic (drawn by E. Millsap),,61-81,,
9:36.0,,,61-81,,J. Ingles enters the game for C. Johnson
9:26.0,,,61-81,,Turnover by J. Ingles (bad pass)
9:12.0,J. Nelson misses 3-pt shot from 28 ft,,61-81,,
9:10.0,,,61-81,,Defensive rebound by D. Favors
8:54.0,Personal foul by J. Nelson (drawn by T. Booker),,61-81,,
8:54.0,Official timeout,,61-81,,
8:39.0,,,61-81,,D. Favors misses 2-pt shot from 4 ft
8:37.0,Defensive rebound by J. Lauvergne,,61-81,,
8:19.0,,,61-81,,Violation by T. Booker (kicked ball)
8:12.0,J. Lauvergne misses 2-pt shot from 3 ft (block by D. Favors),,61-81,,
8:10.0,,,61-81,,Defensive rebound by T. Booker
8:03.0,,,61-84,3,J. Ingles makes 3-pt shot from 24 ft (assist by T. Burke)
7:46.0,J. Nelson misses 3-pt shot from 24 ft,,61-84,,
7:45.0,Offensive rebound by Team,,61-84,,
7:45.0,G. Harris enters the game for W. Chandler,,61-84,,
7:38.0,G. Harris misses 2-pt shot from 18 ft,,61-84,,
7:36.0,,,61-84,,Defensive rebound by T. Burke
7:20.0,,,61-84,,D. Favors misses 2-pt shot from 7 ft
7:18.0,Defensive rebound by J. Lauvergne,,61-84,,
7:07.0,W. Barton misses 2-pt shot from 14 ft,,61-84,,
7:06.0,,,61-84,,Defensive rebound by T. Burke
6:57.0,,,61-84,,E. Millsap misses 3-pt shot from 23 ft
6:55.0,,,61-84,,Offensive rebound by D. Favors
6:54.0,,,61-86,2,D. Favors makes 2-pt shot at rim
6:53.0,Denver full timeout,,61-86,,
6:53.0,E. Green enters the game for J. Nelson,,61-86,,
6:53.0,,,61-86,,G. Hayward enters the game for E. Millsap
6:31.0,Turnover by J. Nurkic (bad pass),,61-86,,
6:15.0,,,61-86,,D. Favors misses 2-pt shot from 4 ft (block by J. Lauvergne)
6:14.0,Defensive rebound by W. Barton,,61-86,,
6:09.0,W. Barton misses 2-pt shot from 2 ft,,61-86,,
6:08.0,Offensive rebound by G. Harris,,61-86,,
5:57.0,W. Barton makes 2-pt shot at rim,2,63-86,,
5:36.0,,,63-86,,Turnover by T. Burke (lost ball; steal by W. Barton)
5:31.0,W. Barton makes 2-pt shot at rim (assist by E. Green),2,65-86,,
5:19.0,,,65-86,,Shooting foul by J. Nurkic (drawn by D. Favors)
5:19.0,,,65-86,,D. Favors misses free throw 1 of 2
5:19.0,,,65-86,,Offensive rebound by Team
5:19.0,,,65-86,,D. Exum enters the game for T. Burke
5:19.0,,,65-86,,E. Millsap enters the game for J. Ingles
5:19.0,,,65-87,1,D. Favors makes free throw 2 of 2
5:02.0,G. Harris makes 2-pt shot at rim (assist by J. Lauvergne),2,67-87,,
4:50.0,,,67-89,2,D. Favors makes 2-pt shot at rim (assist by D. Exum)
4:33.0,E. Green makes 3-pt shot from 25 ft (assist by J. Nurkic),3,70-89,,
4:13.0,,,70-89,,Turnover by E. Millsap (bad pass)
3:59.0,Shooting foul by T. Booker (drawn by J. Lauvergne),,70-89,,
3:59.0,J. Lauvergne makes free throw 1 of 2,1,71-89,,
3:59.0,,,71-89,,R. Gobert enters the game for T. Booker
3:59.0,,,71-89,,T. Burke enters the game for E. Millsap
3:59.0,J. Lauvergne makes free throw 2 of 2,1,72-89,,
3:48.0,,,72-89,,Turnover by D. Favors (bad pass)
3:42.0,E. Green makes 2-pt shot from 16 ft,2,74-89,,
3:40.0,,,74-89,,Utah full timeout
3:25.0,Violation by J. Nurkic (kicked ball),,74-89,,
3:17.0,,,74-91,2,D. Favors makes 2-pt shot at rim (assist by T. Burke)
3:02.0,J. Nurkic makes 2-pt shot from 2 ft (assist by W. Barton),2,76-91,,
2:28.0,,,76-91,,D. Exum misses 2-pt shot from 5 ft
2:26.0,,,76-91,,Offensive rebound by D. Favors
2:22.0,,,76-91,,Turnover by D. Favors (bad pass; steal by E. Green)
2:18.0,E. Green misses 2-pt shot from 2 ft (block by G. Hayward),,76-91,,
2:17.0,,,76-91,,Defensive rebound by Team
2:17.0,Denver full timeout,,76-91,,
2:17.0,I. Clark enters the game for J. Nurkic,,76-91,,
2:17.0,,,76-91,,J. Ingles enters the game for R. Gobert
2:02.0,Violation by G. Harris (kicked ball),,76-91,,
