time,Sacramento,pts.away,score,pts.home,Portland
1:34.0,Turnover by D. Collison (lost ball; steal by W. Matthews),,49-50,,
1:26.0,,,49-50,,Turnover by D. Wright (lost ball; steal by O. Casspi)
1:21.0,D. Williams makes 2-pt shot from 1 ft (assist by D. Collison),2,51-50,,
1:02.0,,,51-50,,D. Wright misses 3-pt shot from 26 ft
1:01.0,Defensive rebound by D. Collison,,51-50,,
0:50.0,R. Gay makes 2-pt shot from 3 ft,2,53-50,,
0:33.0,,,53-50,,D. Wright misses 3-pt shot from 24 ft
0:32.0,Defensive rebound by O. Casspi,,53-50,,
0:27.0,,,53-50,,Personal foul by M. Leonard (drawn by O. Casspi)
0:27.0,O. Casspi misses free throw 1 of 2,,53-50,,
0:27.0,Offensive rebound by Team,,53-50,,
0:27.0,R. McCallum enters the game for R. Gay,,53-50,,
0:27.0,,,53-50,,T. Robinson enters the game for M. Leonard
0:27.0,O. Casspi makes free throw 2 of 2,1,54-50,,
0:07.0,,,54-50,,Shooting foul by D. Collison (drawn by D. Lillard)
0:07.0,,,54-50,,D. Lillard misses free throw 1 of 2
0:07.0,,,54-50,,Offensive rebound by Team
0:07.0,,,54-50,,S. Blake enters the game for D. Wright
0:07.0,,,54-51,1,D. Lillard makes free throw 2 of 2
0:02.0,O. Casspi misses 2-pt shot at rim,,54-51,,
0:01.0,Offensive rebound by D. Cousins,,54-51,,
0:01.0,D. Cousins makes 2-pt shot at rim,2,56-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,56-51,,C. Kaman misses 2-pt shot at rim
11:43.0,Defensive rebound by J. Thompson,,56-51,,
11:33.0,D. Cousins misses 2-pt shot from 1 ft,,56-51,,
11:31.0,,,56-51,,Defensive rebound by V. Claver
11:22.0,,,56-51,,W. Matthews misses 2-pt shot from 16 ft
11:21.0,,,56-51,,Offensive rebound by C. Kaman
11:18.0,,,56-51,,C. Kaman misses 2-pt shot from 1 ft (block by D. Cousins)
11:17.0,Defensive rebound by R. Gay,,56-51,,
11:01.0,J. Thompson misses 2-pt shot from 20 ft,,56-51,,
11:00.0,Offensive rebound by D. Collison,,56-51,,
10:56.0,D. Collison makes 2-pt shot from 20 ft,2,58-51,,
10:46.0,,,58-54,3,D. Lillard makes 3-pt shot from 24 ft
10:46.0,,,58-54,,Shooting foul by D. Collison (drawn by D. Lillard)
10:46.0,,,58-55,1,D. Lillard makes free throw 1 of 1
10:32.0,D. Cousins misses 2-pt shot from 1 ft,,58-55,,
10:31.0,,,58-55,,Defensive rebound by C. Kaman
10:24.0,,,58-55,,D. Lillard misses 3-pt shot from 24 ft
10:23.0,Defensive rebound by D. Collison,,58-55,,
10:03.0,R. Gay makes 2-pt shot from 2 ft,2,60-55,,
9:48.0,,,60-55,,N. Batum misses 3-pt shot from 24 ft
9:46.0,,,60-55,,Offensive rebound by V. Claver
9:38.0,,,60-57,2,C. Kaman makes 2-pt shot from 18 ft (assist by W. Matthews)
9:17.0,D. Collison misses 2-pt shot from 20 ft,,60-57,,
9:17.0,,,60-57,,Defensive rebound by N. Batum
9:07.0,,,60-57,,N. Batum misses 2-pt shot from 16 ft
9:07.0,Defensive rebound by J. Thompson,,60-57,,
8:54.0,Shooting foul by V. Claver (drawn by R. Gay),,60-57,,
8:54.0,R. Gay makes free throw 1 of 2,1,61-57,,
8:54.0,R. Gay makes free throw 2 of 2,1,62-57,,
8:38.0,,,62-57,,W. Matthews misses 3-pt shot from 23 ft
8:37.0,Defensive rebound by J. Thompson,,62-57,,
8:19.0,D. Cousins misses 2-pt shot from 8 ft,,62-57,,
8:18.0,Offensive rebound by D. Cousins,,62-57,,
8:17.0,Shooting foul by V. Claver (drawn by D. Cousins),,62-57,,
8:17.0,D. Cousins makes free throw 1 of 2,1,63-57,,
8:17.0,D. Cousins makes free throw 2 of 2,1,64-57,,
7:56.0,,,64-57,,Turnover by C. Kaman (lost ball; steal by D. Collison)
7:53.0,B. McLemore misses 2-pt shot from 1 ft,,64-57,,
7:52.0,,,64-57,,Defensive rebound by W. Matthews
7:29.0,,,64-57,,N. Batum misses 3-pt shot from 26 ft
7:27.0,Defensive rebound by D. Cousins,,64-57,,
7:16.0,J. Thompson makes 2-pt shot from 16 ft (assist by D. Collison),2,66-57,,
7:15.0,,,66-57,,Portland full timeout
7:01.0,,,66-57,,V. Claver misses 3-pt shot from 26 ft
7:00.0,Defensive rebound by B. McLemore,,66-57,,
6:38.0,R. Gay makes 2-pt shot from 17 ft,2,68-57,,
6:18.0,,,68-57,,C. Kaman misses 2-pt shot from 17 ft
6:18.0,Defensive rebound by D. Cousins,,68-57,,
6:08.0,D. Collison misses 3-pt shot from 24 ft,,68-57,,
6:08.0,,,68-57,,Defensive rebound by W. Matthews
5:58.0,,,68-57,,N. Batum misses 2-pt shot from 20 ft
5:57.0,Defensive rebound by D. Cousins,,68-57,,
5:46.0,B. McLemore misses 2-pt shot from 13 ft,,68-57,,
5:46.0,,,68-57,,Defensive rebound by V. Claver
5:33.0,,,68-60,3,V. Claver makes 3-pt shot from 22 ft (assist by C. Kaman)
5:08.0,R. Gay makes 3-pt shot from 24 ft (assist by D. Collison),3,71-60,,
4:50.0,,,71-60,,W. Matthews misses 3-pt shot from 24 ft
4:50.0,Defensive rebound by J. Thompson,,71-60,,
4:32.0,R. Gay misses 2-pt shot from 1 ft (block by C. Kaman),,71-60,,
4:31.0,,,71-60,,Defensive rebound by C. Kaman
4:31.0,Personal foul by D. Cousins (drawn by C. Kaman),,71-60,,
4:31.0,,,71-60,,D. Wright enters the game for N. Batum
4:31.0,,,71-60,,M. Leonard enters the game for C. Kaman
4:31.0,,,71-60,,T. Robinson enters the game for V. Claver
4:19.0,,,71-60,,D. Lillard misses 3-pt shot from 24 ft
4:17.0,Defensive rebound by Team,,71-60,,
4:00.0,R. Gay misses 2-pt shot from 1 ft,,71-60,,
3:58.0,,,71-60,,Defensive rebound by D. Wright
3:48.0,,,71-60,,W. Matthews misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by D. Cousins,,71-60,,
3:36.0,D. Collison misses 2-pt shot from 22 ft,,71-60,,
3:36.0,Offensive rebound by Team,,71-60,,
3:34.0,Turnover by R. Gay (bad pass; steal by D. Lillard),,71-60,,
3:30.0,,,71-62,2,W. Matthews makes 2-pt shot from 1 ft (assist by D. Lillard)
3:28.0,Sacramento full timeout,,71-62,,
3:28.0,,,71-62,,W. Barton enters the game for W. Matthews
3:28.0,D. Williams enters the game for R. Gay,,71-62,,
3:10.0,,,71-62,,Personal foul by D. Lillard (drawn by D. Collison)
2:56.0,Turnover by Team (shot clock),,71-62,,
2:37.0,,,71-62,,W. Barton misses 2-pt shot from 16 ft
2:37.0,,,71-62,,Offensive rebound by Team
2:37.0,Loose ball foul by D. Cousins (drawn by M. Leonard),,71-62,,
2:37.0,R. McCallum enters the game for D. Collison,,71-62,,
2:29.0,,,71-62,,D. Wright misses 2-pt shot from 18 ft
2:27.0,,,71-62,,Offensive rebound by T. Robinson
2:21.0,,,71-62,,Turnover by D. Wright (lost ball; steal by R. McCallum)
2:03.0,D. Williams misses 3-pt shot from 24 ft,,71-62,,
2:02.0,Offensive rebound by D. Cousins,,71-62,,
2:02.0,Shooting foul by T. Robinson (drawn by D. Cousins),,71-62,,
2:02.0,D. Cousins makes free throw 1 of 2,1,72-62,,
2:02.0,R. Evans enters the game for J. Thompson,,72-62,,
2:02.0,D. Cousins makes free throw 2 of 2,1,73-62,,
1:44.0,,,73-64,2,D. Lillard makes 2-pt shot from 2 ft
1:24.0,D. Cousins misses 2-pt shot from 20 ft,,73-64,,
1:23.0,,,73-64,,Defensive rebound by W. Barton
1:18.0,,,73-64,,W. Barton misses 2-pt shot from 2 ft (block by D. Cousins)
1:16.0,Defensive rebound by B. McLemore,,73-64,,
1:09.0,B. McLemore misses 3-pt shot from 23 ft,,73-64,,
1:08.0,,,73-64,,Defensive rebound by D. Lillard
1:04.0,,,73-64,,W. Barton misses 2-pt shot from 1 ft (block by B. McLemore)
1:01.0,Defensive rebound by D. Cousins,,73-64,,
1:00.0,D. Williams makes 2-pt shot at rim (assist by D. Cousins),2,75-64,,
0:47.0,,,75-64,,D. Lillard misses 3-pt shot from 24 ft
0:46.0,Defensive rebound by R. Evans,,75-64,,
0:28.0,R. McCallum misses 2-pt shot from 21 ft,,75-64,,
0:25.0,,,75-64,,Defensive rebound by T. Robinson
0:03.0,,,75-67,3,D. Wright makes 3-pt shot from 22 ft (assist by W. Barton)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:49.0,R. Gay misses 2-pt shot from 19 ft,,75-67,,
11:49.0,,,75-67,,Defensive rebound by Team
11:49.0,Loose ball foul by R. McCallum (drawn by D. Wright),,75-67,,
11:29.0,,,75-69,2,W. Barton makes 2-pt shot at rim (assist by M. Leonard)
11:06.0,D. Williams misses 2-pt shot from 20 ft,,75-69,,
11:04.0,Offensive rebound by Team,,75-69,,
10:46.0,R. Gay makes 2-pt shot from 1 ft,2,77-69,,
10:29.0,,,77-72,3,S. Blake makes 3-pt shot from 24 ft (assist by D. Wright)
10:10.0,O. Casspi makes 2-pt shot from 1 ft,2,79-72,,
9:53.0,,,79-72,,S. Blake misses 3-pt shot from 24 ft
9:52.0,Defensive rebound by R. Evans,,79-72,,
9:44.0,,,79-72,,T. Robinson enters the game for M. Leonard
9:44.0,,,79-72,,N. Batum enters the game for D. Wright
9:34.0,R. McCallum makes 2-pt shot from 1 ft,2,81-72,,
9:19.0,,,81-72,,W. Matthews misses 2-pt shot from 19 ft
9:18.0,,,81-72,,Offensive rebound by Team
9:17.0,,,81-74,2,W. Barton makes 2-pt shot from 4 ft (assist by N. Batum)
9:17.0,,,81-74,,Shooting foul by O. Casspi (drawn by W. Barton)
9:17.0,,,81-74,,W. Barton misses free throw 1 of 1
9:16.0,Defensive rebound by R. Evans,,81-74,,
8:56.0,R. Gay misses 2-pt shot from 15 ft,,81-74,,
8:54.0,,,81-74,,Defensive rebound by S. Blake
8:43.0,Official timeout,,81-74,,
8:33.0,,,81-74,,W. Matthews misses 3-pt shot from 24 ft
8:33.0,Defensive rebound by R. Evans,,81-74,,
8:14.0,R. McCallum misses 3-pt shot from 24 ft,,81-74,,
8:13.0,Offensive rebound by R. Evans,,81-74,,
8:11.0,R. Evans misses 2-pt shot from 2 ft (block by W. Barton),,81-74,,
8:09.0,,,81-74,,Defensive rebound by N. Batum
8:03.0,,,81-77,3,W. Matthews makes 3-pt shot from 23 ft (assist by N. Batum)
7:41.0,R. McCallum makes 2-pt shot at rim,2,83-77,,
7:16.0,,,83-77,,W. Matthews misses 3-pt shot from 24 ft
7:15.0,,,83-77,,Offensive rebound by T. Robinson
7:13.0,,,83-79,2,T. Robinson makes 2-pt shot from 1 ft
6:47.0,R. Evans misses 2-pt shot at rim,,83-79,,
6:45.0,,,83-79,,Defensive rebound by T. Robinson
6:39.0,,,83-81,2,W. Barton makes 2-pt shot from 2 ft
6:38.0,Sacramento full timeout,,83-81,,
6:38.0,D. Collison enters the game for R. McCallum,,83-81,,
6:38.0,D. Cousins enters the game for R. Evans,,83-81,,
6:38.0,B. McLemore enters the game for O. Casspi,,83-81,,
6:38.0,,,83-81,,D. Lillard enters the game for S. Blake
6:20.0,Turnover by D. Cousins (lost ball; steal by T. Robinson),,83-81,,
6:09.0,,,83-81,,D. Lillard misses 3-pt shot from 25 ft
6:08.0,,,83-81,,Offensive rebound by D. Lillard
6:00.0,,,83-81,,W. Matthews misses 2-pt shot from 2 ft (block by D. Cousins)
5:58.0,Defensive rebound by D. Cousins,,83-81,,
5:56.0,,,83-81,,Personal foul by T. Robinson (drawn by D. Cousins)
5:46.0,R. Gay misses 2-pt shot from 21 ft,,83-81,,
5:46.0,,,83-81,,Defensive rebound by N. Batum
5:37.0,,,83-81,,W. Matthews misses 3-pt shot from 24 ft
5:35.0,Defensive rebound by D. Cousins,,83-81,,
5:21.0,Turnover by D. Collison (bad pass; steal by T. Robinson),,83-81,,
5:03.0,,,83-84,3,N. Batum makes 3-pt shot from 24 ft
4:42.0,D. Cousins makes 2-pt shot from 19 ft (assist by D. Collison),2,85-84,,
4:28.0,,,85-84,,T. Robinson misses 2-pt shot from 3 ft
4:26.0,Defensive rebound by Team,,85-84,,
4:15.0,D. Collison makes 2-pt shot from 1 ft,2,87-84,,
3:55.0,,,87-84,,W. Matthews misses 3-pt shot from 24 ft
3:54.0,Defensive rebound by D. Collison,,87-84,,
3:42.0,,,87-84,,Portland full timeout
3:27.0,,,87-84,,Shooting foul by D. Cousins (drawn by T. Robinson)
3:27.0,,,87-85,1,T. Robinson makes free throw 1 of 2
3:27.0,,,87-86,1,T. Robinson makes free throw 2 of 2
3:08.0,Offensive charge foul by D. Cousins,,87-86,,
3:08.0,Turnover by D. Cousins (offensive foul),,87-86,,
2:52.0,,,87-86,,W. Barton misses 2-pt shot from 11 ft
2:51.0,Defensive rebound by D. Cousins,,87-86,,
2:43.0,Turnover by D. Collison (lost ball; steal by W. Matthews),,87-86,,
2:36.0,,,87-86,,D. Lillard misses 3-pt shot from 25 ft
