time,Charlotte,pts.away,score,pts.home,Chicago
8:20.0,Charlotte full timeout,,28-26,,
8:20.0,M. Kidd-Gilchrist misses free throw 1 of 2,,28-26,,
8:20.0,Offensive rebound by Team,,28-26,,
8:20.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,29-26,,
8:04.0,,,29-29,3,T. Snell makes 3-pt shot from 23 ft (assist by J. Noah)
7:39.0,L. Stephenson misses 2-pt shot from 16 ft,,29-29,,
7:38.0,,,29-29,,Defensive rebound by J. Noah
7:21.0,,,29-29,,Turnover by N. Mirotic (bad pass; steal by J. Maxiell)
7:19.0,Shooting foul by T. Snell (drawn by M. Kidd-Gilchrist),,29-29,,
7:19.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,30-29,,
7:19.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,31-29,,
7:07.0,,,31-31,2,T. Snell makes 2-pt shot from 3 ft
6:41.0,L. Stephenson misses 3-pt shot from 25 ft,,31-31,,
6:40.0,,,31-31,,Defensive rebound by T. Gibson
6:39.0,A. Jefferson enters the game for J. Maxiell,,31-31,,
6:21.0,,,31-33,2,K. Hinrich makes 2-pt shot from 12 ft (assist by N. Mirotic)
6:07.0,A. Jefferson misses 2-pt shot from 1 ft,,31-33,,
6:06.0,Offensive rebound by A. Jefferson,,31-33,,
6:06.0,A. Jefferson misses 2-pt shot from 1 ft,,31-33,,
6:04.0,Offensive rebound by A. Jefferson,,31-33,,
5:55.0,L. Stephenson misses 2-pt shot from 12 ft,,31-33,,
5:53.0,,,31-33,,Defensive rebound by K. Hinrich
5:44.0,,,31-33,,Turnover by J. Noah (bad pass; steal by M. Williams)
5:29.0,B. Roberts makes 3-pt shot from 23 ft,3,34-33,,
5:13.0,,,34-35,2,N. Mirotic makes 2-pt shot from 18 ft (assist by K. Hinrich)
4:48.0,M. Kidd-Gilchrist makes 2-pt shot from 17 ft (assist by B. Roberts),2,36-35,,
4:31.0,,,36-35,,Chicago full timeout
4:31.0,,,36-35,,P. Gasol enters the game for J. Noah
4:31.0,,,36-35,,J. Butler enters the game for K. Hinrich
4:31.0,,,36-35,,A. Brooks enters the game for N. Mirotic
4:31.0,C. Zeller enters the game for M. Williams,,36-35,,
4:31.0,G. Henderson enters the game for B. Roberts,,36-35,,
4:31.0,M. Williams enters the game for L. Stephenson,,36-35,,
4:25.0,,,36-37,2,P. Gasol makes 2-pt shot from 3 ft (assist by A. Brooks)
4:13.0,G. Henderson makes 2-pt shot at rim,2,38-37,,
3:45.0,,,38-37,,A. Brooks misses 2-pt shot from 16 ft
3:43.0,,,38-37,,Offensive rebound by T. Snell
3:41.0,,,38-40,3,T. Snell makes 3-pt shot from 23 ft
3:18.0,C. Zeller misses 2-pt shot from 3 ft (block by P. Gasol),,38-40,,
3:14.0,,,38-40,,Defensive rebound by J. Butler
3:05.0,,,38-40,,P. Gasol misses 2-pt shot from 22 ft
3:04.0,Defensive rebound by G. Henderson,,38-40,,
3:00.0,Shooting foul by P. Gasol (drawn by A. Jefferson),,38-40,,
3:00.0,A. Jefferson makes free throw 1 of 2,1,39-40,,
3:00.0,A. Jefferson makes free throw 2 of 2,1,40-40,,
2:41.0,,,40-40,,J. Butler misses 2-pt shot from 3 ft
2:40.0,Defensive rebound by C. Zeller,,40-40,,
2:36.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by M. Williams),2,42-40,,
2:19.0,,,42-40,,Turnover by J. Butler (traveling)
2:19.0,Charlotte full timeout,,42-40,,
2:19.0,,,42-40,,J. Noah enters the game for T. Gibson
2:19.0,B. Roberts enters the game for M. Williams,,42-40,,
2:04.0,G. Henderson misses 3-pt shot from 25 ft,,42-40,,
2:03.0,,,42-40,,Defensive rebound by J. Noah
1:42.0,,,42-42,2,P. Gasol makes 2-pt shot from 19 ft (assist by J. Butler)
1:25.0,G. Henderson misses 2-pt shot from 8 ft,,42-42,,
1:24.0,,,42-42,,Defensive rebound by P. Gasol
1:07.0,,,42-44,2,J. Butler makes 2-pt shot from 2 ft
0:46.0,A. Jefferson misses 2-pt shot from 20 ft (block by J. Noah),,42-44,,
0:44.0,Offensive rebound by M. Kidd-Gilchrist,,42-44,,
0:43.0,A. Jefferson misses 2-pt shot from 2 ft,,42-44,,
0:41.0,Offensive rebound by A. Jefferson,,42-44,,
0:41.0,A. Jefferson makes 2-pt shot from 2 ft,2,44-44,,
0:23.0,,,44-44,,J. Butler misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by Team,,44-44,,
0:23.0,,,44-44,,T. Gibson enters the game for P. Gasol
0:23.0,,,44-44,,K. Hinrich enters the game for A. Brooks
0:23.0,M. Williams enters the game for C. Zeller,,44-44,,
0:07.0,,,44-44,,Personal foul by K. Hinrich (drawn by B. Roberts)
0:00.0,B. Roberts misses 3-pt shot from 23 ft,,44-44,,
0:00.0,Offensive rebound by Team,,44-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,44-44,,A. Brooks misses 2-pt shot from 11 ft
11:40.0,Defensive rebound by A. Jefferson,,44-44,,
11:34.0,M. Williams makes 2-pt shot from 20 ft,2,46-44,,
11:18.0,,,46-44,,Turnover by J. Butler (lost ball; steal by G. Henderson)
11:15.0,Turnover by G. Henderson (bad pass; steal by A. Brooks),,46-44,,
11:04.0,,,46-44,,Turnover by M. Dunleavy (bad pass)
10:52.0,M. Williams misses 3-pt shot from 25 ft,,46-44,,
10:51.0,,,46-44,,Defensive rebound by J. Butler
10:43.0,,,46-46,2,P. Gasol makes 2-pt shot from 20 ft (assist by J. Butler)
10:23.0,G. Henderson misses 2-pt shot from 16 ft,,46-46,,
10:22.0,,,46-46,,Defensive rebound by P. Gasol
10:12.0,,,46-46,,A. Brooks misses 2-pt shot from 16 ft
10:11.0,Defensive rebound by A. Jefferson,,46-46,,
10:00.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,46-46,,
9:59.0,,,46-46,,Defensive rebound by J. Noah
9:49.0,,,46-48,2,J. Noah makes 2-pt shot from 11 ft (assist by J. Butler)
9:24.0,M. Williams makes 2-pt shot from 21 ft (assist by G. Henderson),2,48-48,,
9:09.0,,,48-48,,M. Dunleavy misses 2-pt shot from 14 ft
9:06.0,Defensive rebound by A. Jefferson,,48-48,,
9:01.0,M. Williams makes 3-pt shot from 22 ft (assist by G. Henderson),3,51-48,,
8:35.0,,,51-48,,Shooting foul by G. Henderson (drawn by J. Butler)
8:35.0,,,51-49,1,J. Butler makes free throw 1 of 2
8:35.0,,,51-49,,J. Butler misses free throw 2 of 2
8:34.0,Defensive rebound by M. Kidd-Gilchrist,,51-49,,
8:16.0,A. Jefferson makes 2-pt shot from 8 ft,2,53-49,,
8:04.0,,,53-51,2,P. Gasol makes 2-pt shot from 15 ft (assist by A. Brooks)
7:49.0,A. Jefferson misses 2-pt shot from 14 ft (block by J. Noah),,53-51,,
7:47.0,,,53-51,,Defensive rebound by P. Gasol
7:36.0,,,53-51,,P. Gasol misses 2-pt shot from 3 ft
7:35.0,,,53-51,,Offensive rebound by J. Noah
7:35.0,,,53-51,,J. Noah misses 2-pt shot from 2 ft (block by G. Henderson)
7:33.0,,,53-51,,Offensive rebound by P. Gasol
7:33.0,,,53-51,,P. Gasol misses 2-pt shot from 2 ft
7:31.0,Defensive rebound by M. Kidd-Gilchrist,,53-51,,
7:26.0,C. Zeller misses 2-pt shot at rim,,53-51,,
7:24.0,Offensive rebound by M. Kidd-Gilchrist,,53-51,,
7:13.0,M. Kidd-Gilchrist misses 2-pt shot from 19 ft,,53-51,,
7:12.0,,,53-51,,Defensive rebound by P. Gasol
7:00.0,,,53-53,2,P. Gasol makes 2-pt shot from 18 ft (assist by A. Brooks)
6:43.0,M. Williams misses 2-pt shot from 22 ft,,53-53,,
6:41.0,,,53-53,,Defensive rebound by P. Gasol
6:38.0,,,53-53,,Shooting foul by M. Williams (drawn by A. Brooks)
6:38.0,,,53-53,,A. Brooks misses free throw 1 of 2
6:38.0,,,53-53,,Offensive rebound by Team
6:38.0,,,53-53,,A. Brooks misses free throw 2 of 2
6:36.0,Defensive rebound by M. Kidd-Gilchrist,,53-53,,
6:22.0,Turnover by C. Zeller (bad pass; steal by A. Brooks),,53-53,,
6:19.0,,,53-53,,Shooting foul by C. Zeller (drawn by A. Brooks)
6:19.0,,,53-53,,A. Brooks misses free throw 1 of 2
6:19.0,,,53-53,,Offensive rebound by Team
6:19.0,,,53-54,1,A. Brooks makes free throw 2 of 2
6:04.0,G. Henderson makes 2-pt shot from 18 ft (assist by M. Williams),2,55-54,,
6:04.0,Shooting foul by P. Gasol (drawn by G. Henderson),,55-54,,
6:04.0,G. Henderson makes free throw 1 of 1,1,56-54,,
5:41.0,,,56-54,,P. Gasol misses 2-pt shot from 1 ft
5:40.0,,,56-54,,Offensive rebound by P. Gasol
5:40.0,,,56-56,2,P. Gasol makes 2-pt shot from 1 ft
5:28.0,A. Jefferson misses 2-pt shot from 20 ft,,56-56,,
5:27.0,Offensive rebound by C. Zeller,,56-56,,
5:13.0,M. Kidd-Gilchrist misses 2-pt shot from 21 ft,,56-56,,
5:12.0,Offensive rebound by A. Jefferson,,56-56,,
4:52.0,Turnover by C. Zeller (lost ball; steal by M. Dunleavy),,56-56,,
4:39.0,,,56-56,,A. Brooks misses 2-pt shot from 2 ft
4:33.0,Defensive rebound by Team,,56-56,,
4:33.0,,,56-56,,Chicago full timeout
4:33.0,,,56-56,,T. Gibson enters the game for J. Noah
4:31.0,Jump ball: A. Brooks vs. C. Zeller (G. Henderson gains possession),,,,Jump ball: A. Brooks vs. C. Zeller (G. Henderson gains possession)
4:17.0,C. Zeller makes 2-pt shot from 2 ft (assist by M. Williams),2,58-56,,
4:00.0,Personal foul by C. Zeller (drawn by P. Gasol),,58-56,,
4:00.0,M. Williams enters the game for C. Zeller,,58-56,,
3:57.0,Personal foul by A. Jefferson (drawn by P. Gasol),,58-56,,
3:57.0,,,58-56,,P. Gasol misses free throw 1 of 2
3:57.0,,,58-56,,Offensive rebound by Team
3:57.0,L. Stephenson enters the game for G. Henderson,,58-56,,
3:57.0,,,58-57,1,P. Gasol makes free throw 2 of 2
3:44.0,M. Williams makes 2-pt shot from 19 ft,2,60-57,,
3:23.0,,,60-57,,Shooting foul by M. Kidd-Gilchrist (drawn by J. Butler)
3:23.0,,,60-58,1,J. Butler makes free throw 1 of 2
3:23.0,,,60-58,,K. Hinrich enters the game for A. Brooks
3:23.0,,,60-58,,T. Snell enters the game for M. Dunleavy
3:23.0,,,60-59,1,J. Butler makes free throw 2 of 2
3:09.0,M. Williams makes 2-pt shot from 7 ft,2,62-59,,
2:57.0,,,62-59,,P. Gasol misses 2-pt shot from 18 ft
2:55.0,Defensive rebound by L. Stephenson,,62-59,,
2:42.0,M. Williams misses 3-pt shot from 24 ft,,62-59,,
2:39.0,,,62-59,,Defensive rebound by T. Snell
2:32.0,,,62-61,2,T. Gibson makes 2-pt shot from 1 ft (assist by P. Gasol)
2:11.0,M. Williams makes 3-pt shot from 24 ft (assist by M. Williams),3,65-61,,
1:51.0,,,65-61,,T. Snell misses 3-pt shot from 24 ft
1:51.0,Defensive rebound by Team,,65-61,,
1:51.0,,,65-61,,Loose ball foul by T. Gibson (drawn by M. Kidd-Gilchrist)
1:51.0,Charlotte full timeout,,65-61,,
1:51.0,J. Maxiell enters the game for A. Jefferson,,65-61,,
1:33.0,M. Williams makes 2-pt shot from 21 ft,2,67-61,,
1:08.0,Personal foul by M. Williams (drawn by T. Gibson),,67-61,,
1:08.0,,,67-62,1,T. Gibson makes free throw 1 of 2
1:08.0,,,67-63,1,T. Gibson makes free throw 2 of 2
0:56.0,Turnover by M. Williams (lost ball; steal by J. Butler),,67-63,,
0:52.0,,,67-65,2,K. Hinrich makes 2-pt shot from 22 ft (assist by J. Butler)
0:29.0,L. Stephenson misses 3-pt shot from 25 ft,,67-65,,
0:28.0,,,67-65,,Defensive rebound by T. Gibson
0:19.0,,,67-65,,Turnover by T. Snell (lost ball; steal by M. Kidd-Gilchrist)
0:15.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by K. Hinrich),,67-65,,
0:13.0,,,67-65,,Defensive rebound by T. Snell
0:01.0,,,67-65,,K. Hinrich misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by M. Williams,,67-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,L. Stephenson makes 2-pt shot from 9 ft,2,69-65,,
11:27.0,,,69-67,2,T. Gibson makes 2-pt shot at rim (assist by J. Noah)
11:11.0,Shooting foul by K. Hinrich (drawn by J. Maxiell),,69-67,,
11:11.0,J. Maxiell makes free throw 1 of 2,1,70-67,,
11:11.0,J. Maxiell makes free throw 2 of 2,1,71-67,,
10:59.0,,,71-69,2,K. Hinrich makes 2-pt shot from 6 ft
10:50.0,,,71-69,,Personal foul by K. Hinrich (drawn by B. Roberts)
10:44.0,L. Stephenson makes 2-pt shot from 15 ft,2,73-69,,
10:26.0,Personal foul by G. Henderson (drawn by N. Mirotic),,73-69,,
10:19.0,,,73-69,,N. Mirotic misses 3-pt shot from 26 ft
10:18.0,Defensive rebound by B. Roberts,,73-69,,
10:10.0,B. Roberts makes 3-pt shot from 26 ft,3,76-69,,
9:45.0,,,76-69,,K. Hinrich misses 2-pt shot from 1 ft
9:45.0,,,76-69,,Offensive rebound by J. Noah
9:45.0,,,76-69,,Shooting foul by J. Maxiell (drawn by J. Noah)
9:45.0,,,76-70,1,J. Noah makes free throw 1 of 2
9:45.0,,,76-71,1,J. Noah makes free throw 2 of 2
9:34.0,L. Stephenson misses 2-pt shot from 1 ft,,76-71,,
9:33.0,,,76-71,,Defensive rebound by T. Gibson
9:28.0,,,76-71,,K. Hinrich misses 2-pt shot from 3 ft (block by M. Williams)
9:27.0,Defensive rebound by G. Henderson,,76-71,,
9:27.0,,,76-71,,Personal foul by N. Mirotic (drawn by G. Henderson)
9:27.0,C. Zeller enters the game for M. Williams,,76-71,,
9:09.0,J. Maxiell misses 2-pt shot from 17 ft,,76-71,,
9:08.0,,,76-71,,Defensive rebound by T. Gibson
8:56.0,,,76-73,2,K. Hinrich makes 2-pt shot from 16 ft (assist by J. Noah)
8:43.0,,,76-73,,Personal foul by T. Gibson (drawn by G. Henderson)
8:43.0,Charlotte full timeout,,76-73,,
8:36.0,C. Zeller makes 2-pt shot from 2 ft (assist by B. Roberts),2,78-73,,
8:13.0,,,78-73,,Shooting foul by J. Maxiell (drawn by T. Gibson)
8:13.0,,,78-73,,T. Gibson misses free throw 1 of 2
8:13.0,,,78-73,,Offensive rebound by Team
8:13.0,,,78-74,1,T. Gibson makes free throw 2 of 2
7:54.0,L. Stephenson misses 2-pt shot from 15 ft,,78-74,,
7:54.0,Offensive rebound by J. Maxiell,,78-74,,
7:54.0,,,78-74,,Personal foul by J. Noah (drawn by J. Maxiell)
7:54.0,J. Maxiell makes free throw 1 of 2,1,79-74,,
7:54.0,M. Kidd-Gilchrist enters the game for G. Henderson,,79-74,,
7:54.0,J. Maxiell misses free throw 2 of 2,,79-74,,
7:52.0,,,79-74,,Defensive rebound by N. Mirotic
7:40.0,,,79-74,,Turnover by K. Hinrich (lost ball)
7:40.0,A. Jefferson enters the game for J. Maxiell,,79-74,,
7:40.0,,,79-74,,J. Butler enters the game for N. Mirotic
7:16.0,A. Jefferson makes 2-pt shot from 13 ft,2,81-74,,
6:56.0,,,81-74,,K. Hinrich misses 3-pt shot from 22 ft
6:55.0,Defensive rebound by C. Zeller,,81-74,,
6:42.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by C. Zeller),2,83-74,,
6:42.0,,,83-74,,Chicago full timeout
6:42.0,,,83-74,,A. Brooks enters the game for K. Hinrich
6:26.0,Personal foul by L. Stephenson (drawn by J. Butler),,83-74,,
6:26.0,,,83-74,,P. Gasol enters the game for J. Noah
6:20.0,,,83-74,,A. Brooks misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by C. Zeller,,83-74,,
6:04.0,A. Jefferson misses 2-pt shot from 11 ft,,83-74,,
6:01.0,Offensive rebound by M. Kidd-Gilchrist,,83-74,,
6:01.0,M. Kidd-Gilchrist makes 2-pt shot at rim,2,85-74,,
5:44.0,,,85-76,2,J. Butler makes 2-pt shot from 2 ft
5:32.0,B. Roberts makes 2-pt shot from 7 ft (assist by L. Stephenson),2,87-76,,
5:17.0,,,87-78,2,J. Butler makes 2-pt shot from 2 ft
4:57.0,A. Jefferson misses 2-pt shot from 7 ft (block by P. Gasol),,87-78,,
4:57.0,Offensive rebound by Team,,87-78,,
4:57.0,M. Williams enters the game for B. Roberts,,87-78,,
4:52.0,M. Williams misses 2-pt shot from 2 ft (block by T. Gibson),,87-78,,
4:50.0,,,87-78,,Defensive rebound by J. Butler
4:45.0,,,87-78,,A. Brooks misses 3-pt shot from 24 ft
4:44.0,Defensive rebound by M. Kidd-Gilchrist,,87-78,,
4:26.0,A. Jefferson makes 2-pt shot from 11 ft,2,89-78,,
4:08.0,,,89-78,,Turnover by P. Gasol (bad pass)
3:54.0,A. Jefferson makes 2-pt shot from 1 ft,2,91-78,,
3:53.0,,,91-78,,Chicago full timeout
3:53.0,,,91-78,,J. Noah enters the game for T. Gibson
3:53.0,,,91-78,,M. Dunleavy enters the game for T. Snell
3:53.0,G. Henderson enters the game for L. Stephenson,,91-78,,
3:43.0,,,91-78,,J. Butler misses 2-pt shot from 19 ft
3:42.0,Defensive rebound by C. Zeller,,91-78,,
3:26.0,M. Kidd-Gilchrist makes 2-pt shot from 3 ft (assist by C. Zeller),2,93-78,,
3:06.0,,,93-78,,M. Dunleavy misses 3-pt shot from 24 ft
3:05.0,,,93-78,,Offensive rebound by J. Noah
3:04.0,,,93-78,,J. Noah misses 2-pt shot from 2 ft
3:03.0,Defensive rebound by C. Zeller,,93-78,,
2:52.0,Offensive foul by G. Henderson,,93-78,,
2:52.0,Turnover by G. Henderson (offensive foul),,93-78,,
2:43.0,,,93-78,,M. Dunleavy misses 2-pt shot from 17 ft
2:42.0,Defensive rebound by M. Williams,,93-78,,
2:25.0,A. Jefferson makes 2-pt shot from 5 ft,2,95-78,,
2:10.0,,,95-80,2,A. Brooks makes 2-pt shot from 1 ft
1:48.0,,,95-80,,Personal foul by J. Noah (drawn by A. Jefferson)
1:48.0,A. Jefferson misses free throw 1 of 2,,95-80,,
1:48.0,Offensive rebound by Team,,95-80,,
1:48.0,A. Jefferson misses free throw 2 of 2,,95-80,,
1:47.0,,,95-80,,Defensive rebound by J. Noah
1:38.0,,,95-80,,Shooting foul by A. Jefferson (drawn by P. Gasol)
1:38.0,,,95-81,1,P. Gasol makes free throw 1 of 2
1:38.0,,,95-81,,T. Snell enters the game for M. Dunleavy
1:38.0,,,95-82,1,P. Gasol makes free throw 2 of 2
1:35.0,,,95-82,,Personal foul by A. Brooks (drawn by M. Williams)
