time,Phoenix,pts.away,score,pts.home,LA Lakers
3:59.0,,,45-51,,K. Bryant misses 3-pt shot from 25 ft
3:58.0,Defensive rebound by A. Len,,45-51,,
3:54.0,Turnover by M. Morris (bad pass; steal by K. Bryant),,45-51,,
3:41.0,,,45-51,,K. Bryant misses 2-pt shot from 5 ft
3:40.0,Defensive rebound by E. Bledsoe,,45-51,,
3:32.0,M. Morris makes 2-pt shot from 3 ft (assist by E. Bledsoe),2,47-51,,
3:13.0,,,47-51,,Shooting foul by M. Morris (drawn by J. Hill)
3:13.0,,,47-52,1,J. Hill makes free throw 1 of 2
3:13.0,,,47-52,,W. Johnson enters the game for N. Young
3:13.0,G. Dragic enters the game for M. Morris,,47-52,,
3:13.0,,,47-53,1,J. Hill makes free throw 2 of 2
2:56.0,A. Len misses 2-pt shot from 12 ft,,47-53,,
2:55.0,,,47-53,,Defensive rebound by K. Bryant
2:39.0,,,47-53,,J. Hill misses 2-pt shot from 7 ft
2:38.0,Defensive rebound by M. Morris,,47-53,,
2:32.0,E. Bledsoe misses 2-pt shot from 2 ft,,47-53,,
2:32.0,,,47-53,,Defensive rebound by Team
2:32.0,,,47-53,,LA Lakers full timeout
2:22.0,Def 3 sec tech foul by A. Len,,47-53,,
2:22.0,,,47-54,1,K. Bryant makes technical free throw
2:14.0,,,47-54,,Turnover by R. Price (bad pass; steal by A. Len)
2:09.0,G. Dragic makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,49-54,,
1:53.0,,,49-54,,Turnover by E. Davis (lost ball; steal by I. Thomas)
1:47.0,E. Bledsoe makes 2-pt shot from 1 ft (assist by I. Thomas),2,51-54,,
1:37.0,Personal foul by E. Bledsoe (drawn by K. Bryant),,51-54,,
1:22.0,,,51-54,,R. Price misses 2-pt shot from 18 ft
1:20.0,Defensive rebound by E. Bledsoe,,51-54,,
1:13.0,M. Morris misses 3-pt shot from 25 ft,,51-54,,
1:12.0,,,51-54,,Defensive rebound by R. Price
1:07.0,,,51-54,,R. Price misses 2-pt shot from 5 ft
1:06.0,,,51-54,,Offensive rebound by W. Johnson
1:06.0,,,51-56,2,W. Johnson makes 2-pt shot at rim
0:53.0,Phoenix full timeout,,51-56,,
0:46.0,G. Dragic makes 3-pt shot from 25 ft (assist by E. Bledsoe),3,54-56,,
0:26.0,,,54-56,,K. Bryant misses 2-pt shot from 14 ft
0:23.0,Defensive rebound by E. Bledsoe,,54-56,,
0:20.0,Shooting foul by R. Price (drawn by I. Thomas),,54-56,,
0:20.0,I. Thomas misses free throw 1 of 2,,54-56,,
0:20.0,Offensive rebound by Team,,54-56,,
0:20.0,M. Plumlee enters the game for M. Morris,,54-56,,
0:20.0,I. Thomas makes free throw 2 of 2,1,55-56,,
0:07.0,,,55-56,,J. Hill misses 2-pt shot from 4 ft
0:05.0,Defensive rebound by M. Plumlee,,55-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,55-58,2,K. Bryant makes 2-pt shot from 18 ft
11:23.0,Turnover by G. Dragic (lost ball; steal by W. Johnson),,55-58,,
11:23.0,Violation by E. Bledsoe (def goaltending),,55-58,,
11:23.0,,,55-60,2,E. Davis makes 2-pt shot from 1 ft
11:03.0,E. Bledsoe makes 2-pt shot from 1 ft,2,57-60,,
10:52.0,,,57-60,,Shooting foul by A. Len (drawn by E. Davis)
10:52.0,,,57-60,,E. Davis misses free throw 1 of 2
10:52.0,,,57-60,,Offensive rebound by Team
10:52.0,,,57-61,1,E. Davis makes free throw 2 of 2
10:35.0,A. Len misses 2-pt shot from 7 ft,,57-61,,
10:32.0,,,57-61,,Defensive rebound by J. Hill
10:24.0,,,57-61,,Turnover by E. Davis (3 sec)
10:18.0,,,57-61,,Personal foul by R. Price (drawn by E. Bledsoe)
10:14.0,G. Dragic misses 2-pt shot from 15 ft,,57-61,,
10:13.0,,,57-61,,Defensive rebound by E. Davis
9:59.0,Personal foul by G. Dragic (drawn by E. Davis),,57-61,,
9:57.0,,,57-61,,Turnover by W. Johnson (bad pass; steal by E. Bledsoe)
9:53.0,E. Bledsoe makes 2-pt shot at rim,2,59-61,,
9:31.0,,,59-61,,K. Bryant misses 2-pt shot from 10 ft (block by A. Len)
9:29.0,Defensive rebound by P. Tucker,,59-61,,
