time,Boston,pts.away,score,pts.home,Orlando
8:37.0,Defensive rebound by J. Crowder,,9-3,,
8:30.0,M. Smart misses 3-pt shot from 25 ft,,9-3,,
8:29.0,,,9-3,,Defensive rebound by D. Dedmon
8:12.0,,,9-3,,E. Payton misses 3-pt shot from 24 ft
8:11.0,Defensive rebound by J. Crowder,,9-3,,
8:03.0,M. Smart makes 3-pt shot from 24 ft,3,12-3,,
7:45.0,,,12-5,2,T. Harris makes 2-pt shot from 6 ft (assist by C. Frye)
7:45.0,,,12-5,,Shooting foul by T. Zeller (drawn by T. Harris)
7:45.0,,,12-6,1,T. Harris makes free throw 1 of 1
7:34.0,T. Zeller misses 2-pt shot from 7 ft,,12-6,,
7:32.0,Offensive rebound by B. Bass,,12-6,,
7:32.0,B. Bass makes 2-pt shot at rim,2,14-6,,
7:23.0,,,14-8,2,C. Frye makes 2-pt shot from 2 ft
7:11.0,M. Smart makes 3-pt shot from 25 ft (assist by B. Bass),3,17-8,,
6:44.0,,,17-8,,C. Frye misses 3-pt shot from 28 ft
6:43.0,,,17-8,,Offensive rebound by D. Dedmon
6:36.0,,,17-8,,V. Oladipo misses 2-pt shot from 1 ft
6:36.0,,,17-8,,Offensive rebound by D. Dedmon
6:36.0,,,17-8,,Shooting foul by T. Zeller (drawn by D. Dedmon)
6:36.0,,,17-8,,D. Dedmon misses free throw 1 of 2
6:36.0,,,17-8,,Offensive rebound by Team
6:36.0,K. Olynyk enters the game for T. Zeller,,17-8,,
6:36.0,I. Thomas enters the game for E. Turner,,17-8,,
6:36.0,,,17-9,1,D. Dedmon makes free throw 2 of 2
6:21.0,M. Smart misses 2-pt shot from 18 ft,,17-9,,
6:20.0,,,17-9,,Defensive rebound by T. Harris
5:56.0,,,17-9,,Turnover by C. Frye (bad pass; steal by I. Thomas)
5:55.0,,,17-9,,Personal take foul by V. Oladipo (drawn by I. Thomas)
5:55.0,,,17-9,,Orlando full timeout
5:55.0,,,17-9,,A. Nicholson enters the game for C. Frye
5:50.0,K. Olynyk misses 3-pt shot from 26 ft,,17-9,,
5:49.0,,,17-9,,Defensive rebound by V. Oladipo
5:26.0,,,17-9,,T. Harris misses 2-pt shot from 15 ft
5:25.0,Defensive rebound by J. Crowder,,17-9,,
5:14.0,I. Thomas misses 3-pt shot from 26 ft,,17-9,,
5:13.0,,,17-9,,Defensive rebound by D. Dedmon
5:05.0,,,17-9,,E. Payton misses 2-pt shot from 1 ft
5:04.0,Defensive rebound by B. Bass,,17-9,,
4:55.0,M. Smart misses 3-pt shot from 26 ft,,17-9,,
4:53.0,Offensive rebound by J. Crowder,,17-9,,
4:49.0,J. Crowder misses 3-pt shot from 23 ft,,17-9,,
4:48.0,Offensive rebound by B. Bass,,17-9,,
4:39.0,,,17-9,,K. O'Quinn enters the game for D. Dedmon
4:39.0,,,17-9,,B. Gordon enters the game for E. Payton
4:32.0,I. Thomas makes 2-pt shot from 16 ft,2,19-9,,
4:17.0,,,19-9,,Offensive foul by K. O'Quinn
4:17.0,,,19-9,,Turnover by K. O'Quinn (offensive foul)
4:03.0,B. Bass misses 2-pt shot from 2 ft (block by A. Nicholson),,19-9,,
4:01.0,Offensive rebound by K. Olynyk,,19-9,,
3:59.0,K. Olynyk makes 2-pt shot from 1 ft,2,21-9,,
3:48.0,,,21-9,,Turnover by V. Oladipo (lost ball; steal by M. Smart)
3:42.0,Turnover by B. Bass (offensive foul),,21-9,,
3:42.0,Offensive foul by B. Bass,,21-9,,
3:28.0,,,21-11,2,A. Nicholson makes 2-pt shot from 22 ft (assist by B. Gordon)
3:12.0,B. Bass makes 2-pt shot from 14 ft (assist by I. Thomas),2,23-11,,
2:57.0,,,23-11,,A. Nicholson misses 2-pt shot from 20 ft
2:55.0,,,23-11,,Offensive rebound by K. O'Quinn
2:43.0,,,23-11,,Turnover by A. Nicholson (bad pass; steal by M. Smart)
2:38.0,J. Crowder makes 2-pt shot at rim (assist by I. Thomas),2,25-11,,
2:09.0,,,25-14,3,V. Oladipo makes 3-pt shot from 24 ft (assist by A. Nicholson)
1:55.0,M. Smart makes 3-pt shot from 25 ft (assist by B. Bass),3,28-14,,
1:28.0,,,28-14,,B. Gordon misses 3-pt shot from 27 ft
1:26.0,,,28-14,,Offensive rebound by K. O'Quinn
1:20.0,,,28-17,3,T. Harris makes 3-pt shot from 25 ft (assist by B. Gordon)
0:56.0,I. Thomas makes 3-pt shot from 25 ft (assist by K. Olynyk),3,31-17,,
0:41.0,,,31-17,,Turnover by A. Nicholson (bad pass)
0:41.0,Boston full timeout,,31-17,,
0:41.0,E. Turner enters the game for J. Crowder,,31-17,,
0:41.0,J. Jerebko enters the game for B. Bass,,31-17,,
0:41.0,,,31-17,,A. Gordon enters the game for T. Harris
0:41.0,,,31-17,,E. Payton enters the game for V. Oladipo
0:32.0,K. Olynyk misses 2-pt shot from 2 ft,,31-17,,
0:30.0,,,31-17,,Defensive rebound by E. Payton
0:17.0,,,31-17,,Turnover by B. Gordon (traveling)
0:03.0,I. Thomas misses 3-pt shot from 25 ft,,31-17,,
0:01.0,,,31-17,,Defensive rebound by K. O'Quinn
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,31-17,,Turnover by A. Nicholson (lost ball; steal by J. Jerebko)
11:36.0,,,31-17,,Clear path foul by C. Frye
11:36.0,E. Turner makes clear path free throw 1 of 2,1,32-17,,
11:36.0,E. Turner makes clear path free throw 2 of 2,1,33-17,,
11:20.0,J. Jerebko makes 3-pt shot from 26 ft (assist by I. Thomas),3,36-17,,
11:00.0,,,36-17,,Turnover by B. Gordon (bad pass; steal by I. Thomas)
10:57.0,,,36-17,,Shooting block foul by C. Frye (drawn by J. Jerebko)
10:57.0,J. Jerebko makes free throw 1 of 2,1,37-17,,
10:57.0,,,37-17,,V. Oladipo enters the game for B. Gordon
10:57.0,,,37-17,,T. Harris enters the game for C. Frye
10:57.0,J. Jerebko misses free throw 2 of 2,,37-17,,
10:55.0,,,37-17,,Defensive rebound by T. Harris
10:43.0,,,37-19,2,A. Nicholson makes 2-pt shot at rim (assist by E. Payton)
10:24.0,Turnover by I. Thomas (bad pass),,37-19,,
10:12.0,,,37-21,2,A. Nicholson makes 2-pt shot from 13 ft (assist by E. Payton)
9:54.0,E. Turner misses 2-pt shot from 8 ft,,37-21,,
9:53.0,,,37-21,,Defensive rebound by E. Payton
9:46.0,,,37-21,,A. Nicholson misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by E. Turner,,37-21,,
9:35.0,J. Young misses 3-pt shot from 25 ft,,37-21,,
9:34.0,Offensive rebound by J. Young,,37-21,,
9:17.0,T. Zeller misses 2-pt shot from 8 ft (block by T. Harris),,37-21,,
9:15.0,Offensive rebound by T. Zeller,,37-21,,
9:13.0,T. Zeller misses 2-pt shot from 6 ft,,37-21,,
9:12.0,,,37-21,,Defensive rebound by A. Nicholson
9:04.0,,,37-21,,T. Harris misses 3-pt shot from 25 ft
9:03.0,Defensive rebound by T. Zeller,,37-21,,
8:56.0,I. Thomas misses 2-pt shot from 22 ft,,37-21,,
8:54.0,Offensive rebound by E. Turner,,37-21,,
8:53.0,E. Turner makes 2-pt shot from 8 ft,2,39-21,,
8:53.0,,,39-21,,Orlando full timeout
8:53.0,,,39-21,,M. Harkless enters the game for A. Nicholson
8:53.0,,,39-21,,D. Dedmon enters the game for A. Gordon
8:35.0,,,39-23,2,T. Harris makes 2-pt shot from 2 ft (assist by V. Oladipo)
8:12.0,Turnover by T. Zeller (lost ball; steal by T. Harris),,39-23,,
7:58.0,,,39-25,2,M. Harkless makes 2-pt shot from 8 ft (assist by V. Oladipo)
7:43.0,E. Turner misses 2-pt shot from 11 ft,,39-25,,
7:41.0,,,39-25,,Defensive rebound by D. Dedmon
7:32.0,M. Smart enters the game for I. Thomas,,39-25,,
7:20.0,,,39-27,2,E. Payton makes 2-pt shot from 9 ft
6:56.0,M. Smart misses 3-pt shot from 26 ft,,39-27,,
6:52.0,,,39-27,,Defensive rebound by M. Harkless
6:47.0,,,39-27,,Turnover by E. Payton (bad pass; steal by E. Turner)
6:47.0,,,39-27,,Personal foul by E. Payton (drawn by E. Turner)
6:26.0,J. Young misses 2-pt shot from 21 ft,,39-27,,
6:25.0,,,39-27,,Defensive rebound by E. Payton
6:12.0,,,39-29,2,D. Dedmon makes 2-pt shot at rim (assist by T. Harris)
6:09.0,Boston full timeout,,39-29,,
6:09.0,J. Crowder enters the game for J. Jerebko,,39-29,,
6:09.0,B. Bass enters the game for J. Young,,39-29,,
5:55.0,T. Zeller makes 2-pt shot at rim (assist by E. Turner),2,41-29,,
5:31.0,,,41-31,2,E. Payton makes 2-pt shot from 2 ft
5:17.0,Turnover by E. Turner (bad pass; steal by E. Payton),,41-31,,
5:16.0,Personal foul by B. Bass (drawn by E. Payton),,41-31,,
5:01.0,,,41-33,2,T. Harris makes 2-pt shot from 19 ft
4:40.0,J. Crowder misses 3-pt shot from 26 ft,,41-33,,
4:38.0,,,41-33,,Defensive rebound by D. Dedmon
4:15.0,,,41-33,,E. Payton misses 2-pt shot from 19 ft
4:13.0,Defensive rebound by B. Bass,,41-33,,
4:02.0,E. Turner makes 3-pt shot from 25 ft (assist by M. Smart),3,44-33,,
3:50.0,,,44-35,2,E. Payton makes 2-pt shot from 9 ft
3:24.0,J. Crowder misses 2-pt shot from 19 ft,,44-35,,
3:22.0,Offensive rebound by B. Bass,,44-35,,
3:13.0,Turnover by M. Smart (lost ball; steal by M. Harkless),,44-35,,
3:10.0,,,44-35,,Shooting foul by E. Turner (drawn by V. Oladipo)
3:10.0,,,44-36,1,V. Oladipo makes free throw 1 of 2
3:10.0,K. Olynyk enters the game for T. Zeller,,44-36,,
3:10.0,I. Thomas enters the game for E. Turner,,44-36,,
3:10.0,,,44-37,1,V. Oladipo makes free throw 2 of 2
2:53.0,K. Olynyk misses 2-pt shot from 1 ft (block by T. Harris),,44-37,,
2:51.0,Offensive rebound by B. Bass,,44-37,,
2:51.0,Turnover by B. Bass (bad pass; steal by V. Oladipo),,44-37,,
2:46.0,,,44-37,,E. Payton misses 2-pt shot from 2 ft
2:44.0,,,44-37,,Offensive rebound by D. Dedmon
2:44.0,,,44-39,2,D. Dedmon makes 2-pt shot at rim
2:19.0,Turnover by Team (shot clock),,44-39,,
2:19.0,Official timeout,,44-39,,
2:10.0,,,44-41,2,T. Harris makes 2-pt shot from 18 ft (assist by E. Payton)
1:57.0,I. Thomas makes 2-pt shot from 18 ft,2,46-41,,
1:29.0,,,46-41,,T. Harris misses 3-pt shot from 25 ft
1:28.0,Defensive rebound by I. Thomas,,46-41,,
1:27.0,,,46-41,,Personal foul by E. Payton (drawn by I. Thomas)
1:08.0,I. Thomas misses 2-pt shot from 2 ft (block by D. Dedmon),,46-41,,
1:06.0,Offensive rebound by B. Bass,,46-41,,
1:03.0,I. Thomas makes 3-pt shot from 23 ft (assist by B. Bass),3,49-41,,
0:50.0,,,49-41,,M. Harkless misses 3-pt shot from 23 ft
0:49.0,Defensive rebound by B. Bass,,49-41,,
0:31.0,J. Crowder misses 2-pt shot from 10 ft,,49-41,,
0:29.0,Offensive rebound by M. Smart,,49-41,,
0:24.0,M. Smart misses 3-pt shot from 24 ft,,49-41,,
0:23.0,,,49-41,,Defensive rebound by M. Harkless
0:23.0,,,49-43,2,V. Oladipo makes 2-pt shot from 1 ft (assist by M. Harkless)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,49-43,,D. Dedmon misses 2-pt shot from 7 ft
11:46.0,Defensive rebound by J. Crowder,,49-43,,
11:32.0,T. Zeller misses 2-pt shot from 8 ft,,49-43,,
11:31.0,,,49-43,,Defensive rebound by D. Dedmon
11:16.0,,,49-43,,M. Harkless misses 2-pt shot from 4 ft
11:14.0,Defensive rebound by T. Zeller,,49-43,,
11:01.0,M. Smart misses 2-pt shot from 9 ft,,49-43,,
10:59.0,Offensive rebound by B. Bass,,49-43,,
10:57.0,B. Bass misses 2-pt shot from 1 ft,,49-43,,
10:54.0,,,49-43,,Defensive rebound by D. Dedmon
10:43.0,,,49-43,,T. Harris misses 2-pt shot from 3 ft
10:42.0,,,49-43,,Offensive rebound by D. Dedmon
10:42.0,,,49-43,,D. Dedmon misses 2-pt shot at rim
10:41.0,Defensive rebound by M. Smart,,49-43,,
10:41.0,Turnover by E. Turner (bad pass),,49-43,,
10:23.0,,,49-45,2,D. Dedmon makes 2-pt shot from 8 ft (assist by E. Payton)
10:08.0,M. Smart makes 2-pt shot from 2 ft,2,51-45,,
9:53.0,,,51-45,,T. Harris misses 3-pt shot from 26 ft
9:52.0,,,51-45,,Offensive rebound by D. Dedmon
9:44.0,,,51-45,,E. Payton misses 2-pt shot from 2 ft
9:43.0,Defensive rebound by Team,,51-45,,
9:26.0,Turnover by J. Crowder (bad pass; steal by M. Harkless),,51-45,,
9:20.0,,,51-45,,V. Oladipo misses 2-pt shot from 2 ft
9:19.0,,,51-45,,Offensive rebound by D. Dedmon
9:11.0,Personal foul by J. Crowder (drawn by E. Payton),,51-45,,
8:56.0,,,51-45,,T. Harris misses 2-pt shot from 22 ft
8:54.0,Defensive rebound by T. Zeller,,51-45,,
8:48.0,,,51-45,,Violation by T. Harris (kicked ball)
8:37.0,J. Crowder misses 2-pt shot from 13 ft,,51-45,,
8:35.0,Offensive rebound by M. Smart,,51-45,,
8:35.0,M. Smart makes 2-pt shot from 2 ft,2,53-45,,
8:19.0,,,53-48,3,M. Harkless makes 3-pt shot from 23 ft (assist by V. Oladipo)
7:56.0,T. Zeller makes 2-pt shot from 1 ft (assist by E. Turner),2,55-48,,
7:37.0,Personal foul by T. Zeller (drawn by D. Dedmon),,55-48,,
7:30.0,,,55-50,2,V. Oladipo makes 2-pt shot from 6 ft
7:30.0,,,55-50,,Shooting foul by B. Bass (drawn by V. Oladipo)
7:30.0,,,55-51,1,V. Oladipo makes free throw 1 of 1
7:10.0,J. Crowder misses 2-pt shot from 20 ft,,55-51,,
7:08.0,Offensive rebound by B. Bass,,55-51,,
7:08.0,B. Bass misses 2-pt shot at rim,,55-51,,
7:06.0,,,55-51,,Defensive rebound by E. Payton
6:59.0,,,55-51,,V. Oladipo misses 3-pt shot from 25 ft
6:58.0,Defensive rebound by M. Smart,,55-51,,
6:54.0,E. Turner misses 2-pt shot from 2 ft,,55-51,,
6:52.0,,,55-51,,Defensive rebound by V. Oladipo
6:47.0,,,55-51,,T. Harris misses 3-pt shot from 23 ft
6:46.0,Defensive rebound by T. Zeller,,55-51,,
6:37.0,M. Smart misses 2-pt shot from 2 ft,,55-51,,
6:34.0,Offensive rebound by T. Zeller,,55-51,,
6:34.0,T. Zeller misses 2-pt shot from 4 ft (block by M. Harkless),,55-51,,
6:31.0,,,55-51,,Defensive rebound by E. Payton
6:30.0,,,55-51,,Shooting foul by E. Turner (drawn by E. Payton)
6:30.0,,,55-52,1,E. Payton makes free throw 1 of 2
6:30.0,I. Thomas enters the game for M. Smart,,55-52,,
6:30.0,K. Olynyk enters the game for T. Zeller,,55-52,,
6:30.0,,,55-52,,E. Payton misses free throw 2 of 2
6:29.0,Defensive rebound by B. Bass,,55-52,,
6:13.0,Shooting foul by V. Oladipo (drawn by I. Thomas),,55-52,,
6:13.0,I. Thomas makes free throw 1 of 2,1,56-52,,
6:13.0,I. Thomas makes free throw 2 of 2,1,57-52,,
5:49.0,,,57-54,2,T. Harris makes 2-pt shot from 5 ft (assist by V. Oladipo)
5:30.0,Turnover by I. Thomas (bad pass; steal by V. Oladipo),,57-54,,
5:21.0,,,57-56,2,E. Payton makes 2-pt shot from 5 ft
5:05.0,B. Bass makes 2-pt shot from 19 ft (assist by I. Thomas),2,59-56,,
4:51.0,,,59-58,2,V. Oladipo makes 2-pt shot from 2 ft (assist by M. Harkless)
4:51.0,,,59-58,,Shooting foul by J. Crowder (drawn by V. Oladipo)
4:51.0,,,59-58,,Orlando full timeout
4:51.0,,,59-58,,C. Frye enters the game for D. Dedmon
4:51.0,,,59-58,,A. Gordon enters the game for M. Harkless
4:51.0,,,59-59,1,V. Oladipo makes free throw 1 of 1
4:33.0,J. Crowder misses 3-pt shot from 26 ft,,59-59,,
4:32.0,,,59-59,,Defensive rebound by T. Harris
4:12.0,,,59-61,2,V. Oladipo makes 2-pt shot from 1 ft
4:02.0,E. Turner misses 2-pt shot from 21 ft,,59-61,,
4:01.0,,,59-61,,Defensive rebound by E. Payton
3:54.0,,,59-63,2,E. Payton makes 2-pt shot from 5 ft
3:41.0,B. Bass makes 2-pt shot from 15 ft (assist by I. Thomas),2,61-63,,
3:24.0,,,61-63,,C. Frye misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by I. Thomas,,61-63,,
3:04.0,I. Thomas misses 3-pt shot from 25 ft,,61-63,,
3:02.0,,,61-63,,Defensive rebound by V. Oladipo
2:54.0,,,61-63,,T. Harris misses 2-pt shot from 5 ft
2:53.0,Defensive rebound by K. Olynyk,,61-63,,
2:42.0,K. Olynyk misses 2-pt shot from 1 ft,,61-63,,
2:41.0,,,61-63,,Defensive rebound by V. Oladipo
2:29.0,,,61-66,3,V. Oladipo makes 3-pt shot from 25 ft
2:22.0,Boston full timeout,,61-66,,
2:22.0,J. Jerebko enters the game for J. Crowder,,61-66,,
2:22.0,M. Smart enters the game for E. Turner,,61-66,,
2:22.0,L. Datome enters the game for K. Olynyk,,61-66,,
2:22.0,,,61-66,,M. Harkless enters the game for E. Payton
2:16.0,I. Thomas misses 3-pt shot from 25 ft,,61-66,,
2:14.0,,,61-66,,Defensive rebound by T. Harris
1:58.0,,,61-66,,V. Oladipo misses 2-pt shot from 2 ft (block by L. Datome)
1:58.0,,,61-66,,Offensive rebound by Team
1:53.0,,,61-66,,C. Frye misses 2-pt shot from 19 ft
1:52.0,Defensive rebound by I. Thomas,,61-66,,
1:45.0,L. Datome makes 3-pt shot from 26 ft (assist by J. Jerebko),3,64-66,,
1:34.0,,,64-66,,Offensive foul by M. Harkless
1:34.0,,,64-66,,Turnover by M. Harkless (offensive foul)
1:25.0,M. Smart makes 3-pt shot from 25 ft (assist by I. Thomas),3,67-66,,
1:00.0,,,67-69,3,C. Frye makes 3-pt shot from 25 ft (assist by M. Harkless)
0:48.0,J. Jerebko misses 2-pt shot from 12 ft,,67-69,,
0:46.0,,,67-69,,Defensive rebound by A. Gordon
0:30.0,,,67-69,,V. Oladipo misses 2-pt shot from 9 ft
0:29.0,Defensive rebound by B. Bass,,67-69,,
0:24.0,Shooting foul by M. Harkless (drawn by I. Thomas),,67-69,,
0:24.0,I. Thomas misses free throw 1 of 3,,67-69,,
0:24.0,Offensive rebound by Team,,67-69,,
0:24.0,I. Thomas makes free throw 2 of 3,1,68-69,,
0:24.0,,,68-69,,B. Gordon enters the game for A. Gordon
0:24.0,I. Thomas makes free throw 3 of 3,1,69-69,,
0:02.0,,,69-69,,V. Oladipo misses 2-pt shot from 8 ft
0:01.0,,,69-69,,Offensive rebound by M. Harkless
0:00.0,,,69-69,,M. Harkless misses 2-pt shot from 2 ft
0:00.0,,,69-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,L. Datome misses 2-pt shot from 22 ft,,69-69,,
11:43.0,,,69-69,,Defensive rebound by A. Gordon
11:25.0,,,69-69,,B. Gordon misses 2-pt shot from 18 ft
11:24.0,Defensive rebound by M. Smart,,69-69,,
10:59.0,T. Zeller misses 2-pt shot from 13 ft (block by C. Frye),,69-69,,
10:54.0,,,69-69,,Defensive rebound by C. Frye
10:50.0,,,69-69,,A. Gordon misses 3-pt shot from 24 ft
10:49.0,Defensive rebound by I. Thomas,,69-69,,
10:39.0,L. Datome makes 2-pt shot at rim (assist by I. Thomas),2,71-69,,
10:26.0,Personal foul by I. Thomas (drawn by B. Gordon),,71-69,,
10:19.0,,,71-71,2,E. Payton makes 2-pt shot from 1 ft
10:08.0,,,71-71,,Personal foul by A. Gordon (drawn by I. Thomas)
9:58.0,J. Jerebko makes 3-pt shot from 26 ft (assist by I. Thomas),3,74-71,,
9:40.0,,,74-73,2,A. Gordon makes 2-pt shot from 5 ft
9:11.0,Turnover by Team (shot clock),,74-73,,
8:59.0,Personal foul by T. Zeller (drawn by E. Payton),,74-73,,
8:59.0,Official timeout,,74-73,,
8:51.0,,,74-73,,E. Payton misses 2-pt shot from 9 ft
8:50.0,,,74-73,,Offensive rebound by B. Gordon
8:45.0,,,74-73,,B. Gordon misses 2-pt shot from 11 ft
8:44.0,,,74-73,,Offensive rebound by C. Frye
8:44.0,,,74-73,,C. Frye misses 2-pt shot at rim
8:42.0,,,74-73,,Offensive rebound by E. Payton
8:34.0,,,74-73,,Shooting foul by T. Zeller (drawn by B. Gordon)
8:34.0,,,74-73,,B. Gordon misses free throw 1 of 2
8:34.0,,,74-73,,Offensive rebound by Team
8:34.0,B. Bass enters the game for T. Zeller,,74-73,,
8:34.0,,,74-73,,B. Gordon misses free throw 2 of 2
8:33.0,Defensive rebound by L. Datome,,74-73,,
8:15.0,I. Thomas misses 3-pt shot from 26 ft,,74-73,,
8:13.0,,,74-73,,Defensive rebound by C. Frye
8:05.0,,,74-73,,A. Gordon misses 3-pt shot from 23 ft
8:04.0,Defensive rebound by I. Thomas,,74-73,,
8:02.0,Shooting foul by E. Payton (drawn by I. Thomas),,74-73,,
8:02.0,I. Thomas makes free throw 1 of 3,1,75-73,,
8:02.0,I. Thomas makes free throw 2 of 3,1,76-73,,
8:02.0,,,76-73,,T. Harris enters the game for A. Gordon
8:02.0,,,76-73,,D. Dedmon enters the game for C. Frye
8:02.0,,,76-73,,V. Oladipo enters the game for B. Gordon
8:02.0,I. Thomas makes free throw 3 of 3,1,77-73,,
7:44.0,,,77-73,,V. Oladipo misses 2-pt shot from 2 ft (block by M. Smart)
7:43.0,,,77-73,,Offensive rebound by V. Oladipo
7:39.0,,,77-75,2,M. Harkless makes 2-pt shot at rim
7:39.0,,,77-75,,Shooting foul by L. Datome (drawn by M. Harkless)
7:39.0,,,77-75,,M. Harkless misses free throw 1 of 1
7:38.0,Defensive rebound by J. Jerebko,,77-75,,
7:24.0,L. Datome makes 3-pt shot from 25 ft (assist by M. Smart),3,80-75,,
7:05.0,,,80-75,,M. Harkless misses 2-pt shot from 2 ft
7:03.0,,,80-75,,Offensive rebound by M. Harkless
7:03.0,,,80-75,,M. Harkless misses 2-pt shot from 1 ft
7:02.0,Defensive rebound by J. Jerebko,,80-75,,
7:01.0,Turnover by J. Jerebko (lost ball; steal by T. Harris),,80-75,,
7:01.0,,,80-75,,Shooting foul by J. Jerebko (drawn by T. Harris)
7:01.0,,,80-76,1,T. Harris makes free throw 1 of 2
7:01.0,,,80-77,1,T. Harris makes free throw 2 of 2
6:45.0,,,80-77,,Personal foul by E. Payton (drawn by B. Bass)
6:30.0,J. Jerebko misses 3-pt shot from 25 ft,,80-77,,
6:29.0,Offensive rebound by B. Bass,,80-77,,
6:29.0,,,80-77,,Personal foul by V. Oladipo (drawn by B. Bass)
6:19.0,B. Bass misses 2-pt shot from 2 ft (block by D. Dedmon),,80-77,,
6:16.0,,,80-77,,Defensive rebound by E. Payton
6:12.0,,,80-77,,E. Payton misses 2-pt shot from 2 ft (block by L. Datome)
6:12.0,,,80-77,,Offensive rebound by D. Dedmon
6:12.0,Personal foul by B. Bass (drawn by D. Dedmon),,80-77,,
6:12.0,,,80-77,,D. Dedmon misses free throw 1 of 2
6:12.0,,,80-77,,Offensive rebound by Team
6:12.0,J. Crowder enters the game for L. Datome,,80-77,,
6:12.0,E. Turner enters the game for I. Thomas,,80-77,,
6:12.0,,,80-78,1,D. Dedmon makes free throw 2 of 2
5:53.0,M. Smart misses 3-pt shot from 26 ft,,80-78,,
5:52.0,,,80-78,,Defensive rebound by D. Dedmon
5:37.0,Violation by J. Crowder (kicked ball),,80-78,,
5:37.0,,,80-78,,Orlando full timeout
5:28.0,,,80-78,,E. Payton misses 2-pt shot from 9 ft
5:26.0,Defensive rebound by J. Crowder,,80-78,,
5:09.0,B. Bass makes 2-pt shot from 1 ft (assist by E. Turner),2,82-78,,
4:44.0,,,82-80,2,E. Payton makes 2-pt shot from 16 ft
4:23.0,Turnover by B. Bass (traveling),,82-80,,
4:06.0,,,82-80,,Turnover by T. Harris (lost ball; steal by M. Smart)
4:03.0,I. Thomas enters the game for J. Jerebko,,82-80,,
3:52.0,I. Thomas misses 2-pt shot from 2 ft,,82-80,,
3:50.0,Offensive rebound by B. Bass,,82-80,,
3:50.0,B. Bass makes 2-pt shot from 1 ft,2,84-80,,
3:32.0,,,84-83,3,M. Harkless makes 3-pt shot from 24 ft (assist by E. Payton)
3:14.0,J. Crowder misses 3-pt shot from 25 ft,,84-83,,
3:13.0,,,84-83,,Defensive rebound by D. Dedmon
3:06.0,,,84-83,,Shooting foul by I. Thomas (drawn by E. Payton)
3:06.0,,,84-84,1,E. Payton makes free throw 1 of 2
3:06.0,,,84-84,,A. Gordon enters the game for D. Dedmon
3:06.0,,,84-85,1,E. Payton makes free throw 2 of 2
2:45.0,Turnover by I. Thomas (lost ball),,84-85,,
2:45.0,Boston full timeout,,84-85,,
