time,LA Clippers,pts.away,score,pts.home,Sacramento
6:30.0,J. Redick misses 3-pt shot from 25 ft,,13-17,,
6:29.0,,,13-17,,Defensive rebound by J. Thompson
6:21.0,,,13-19,2,B. McLemore makes 2-pt shot from 16 ft (assist by J. Thompson)
6:13.0,Turnover by J. Redick (offensive foul),,13-19,,
6:13.0,Offensive charge foul by J. Redick,,13-19,,
6:13.0,J. Crawford enters the game for J. Redick,,13-19,,
6:00.0,Personal foul by M. Barnes (drawn by D. Williams),,13-19,,
5:47.0,,,13-19,,D. Williams misses 3-pt shot from 25 ft
5:47.0,,,13-19,,Offensive rebound by R. Hollins
5:42.0,,,13-19,,D. Williams misses 2-pt shot from 1 ft
5:41.0,,,13-19,,Offensive rebound by D. Williams
5:41.0,,,13-21,2,D. Williams makes 2-pt shot from 1 ft
5:34.0,LA Clippers full timeout,,13-21,,
5:17.0,J. Crawford misses 3-pt shot from 24 ft,,13-21,,
5:17.0,Offensive rebound by D. Jordan,,13-21,,
5:12.0,M. Barnes makes 3-pt shot from 24 ft (assist by C. Paul),3,16-21,,
4:51.0,,,16-23,2,J. Thompson makes 2-pt shot from 17 ft (assist by D. Collison)
4:36.0,B. Griffin makes 2-pt shot from 9 ft,2,18-23,,
4:26.0,,,18-23,,Turnover by D. Collison (bad pass; steal by M. Barnes)
4:21.0,M. Barnes makes 2-pt shot from 3 ft (assist by J. Crawford),2,20-23,,
4:03.0,,,20-23,,R. Hollins misses 2-pt shot from 20 ft
4:02.0,Defensive rebound by M. Barnes,,20-23,,
3:55.0,D. Jordan misses 2-pt shot from 4 ft,,20-23,,
3:52.0,Offensive rebound by M. Barnes,,20-23,,
3:52.0,M. Barnes makes 2-pt shot from 1 ft,2,22-23,,
3:43.0,,,22-23,,D. Collison misses 2-pt shot from 2 ft (block by D. Jordan)
3:43.0,,,22-23,,Offensive rebound by Team
3:42.0,,,22-23,,Offensive foul by D. Williams
3:42.0,,,22-23,,Turnover by D. Williams (offensive foul)
3:19.0,B. Griffin misses 2-pt shot from 17 ft,,22-23,,
3:18.0,,,22-23,,Defensive rebound by Team
3:18.0,,,22-23,,O. Casspi enters the game for D. Williams
3:18.0,,,22-23,,R. Evans enters the game for R. Hollins
2:56.0,,,22-23,,O. Casspi misses 2-pt shot from 7 ft
2:55.0,Defensive rebound by D. Jordan,,22-23,,
2:44.0,B. Griffin makes 2-pt shot from 17 ft,2,24-23,,
2:35.0,Personal foul by M. Barnes (drawn by O. Casspi),,24-23,,
2:35.0,,,24-23,,Sacramento full timeout
2:35.0,A. Rivers enters the game for D. Jordan,,24-23,,
2:35.0,S. Hawes enters the game for M. Barnes,,24-23,,
2:35.0,D. Jones enters the game for C. Paul,,24-23,,
2:35.0,,,24-23,,R. Gay enters the game for O. Casspi
2:23.0,,,24-25,2,J. Thompson makes 2-pt shot from 15 ft
2:06.0,B. Griffin makes 2-pt shot from 2 ft (assist by S. Hawes),2,26-25,,
1:41.0,,,26-25,,D. Collison misses 2-pt shot from 22 ft (block by A. Rivers)
1:39.0,,,26-25,,Offensive rebound by D. Collison
1:39.0,,,26-25,,D. Collison misses 3-pt shot from 26 ft
1:39.0,,,26-25,,Offensive rebound by Team
1:39.0,,,26-25,,Turnover by Team (shot clock)
1:21.0,B. Griffin makes 2-pt shot from 1 ft,2,28-25,,
1:05.0,,,28-27,2,B. McLemore makes 2-pt shot from 22 ft (assist by R. Gay)
0:41.0,D. Jones misses 3-pt shot from 23 ft,,28-27,,
0:39.0,,,28-27,,Defensive rebound by J. Thompson
0:25.0,,,28-27,,Shooting foul by B. Griffin (drawn by J. Thompson)
0:25.0,,,28-28,1,J. Thompson makes free throw 1 of 2
0:25.0,,,28-28,,R. McCallum enters the game for D. Collison
0:25.0,,,28-28,,J. Thompson misses free throw 2 of 2
0:24.0,,,28-28,,Offensive rebound by R. Evans
0:07.0,,,28-28,,Turnover by R. Gay (bad pass)
0:02.0,,,28-28,,Personal take foul by B. McLemore (drawn by J. Crawford)
0:00.0,J. Crawford misses 3-pt shot from 24 ft,,28-28,,
0:00.0,Offensive rebound by Team,,28-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,28-30,2,R. Gay makes 2-pt shot from 9 ft
11:25.0,A. Rivers misses 2-pt shot from 4 ft,,28-30,,
11:23.0,Offensive rebound by Team,,28-30,,
11:21.0,J. Crawford makes 2-pt shot from 15 ft (assist by A. Rivers),2,30-30,,
11:09.0,Personal foul by D. Jones (drawn by R. Gay),,30-30,,
10:53.0,,,30-32,2,R. McCallum makes 2-pt shot from 13 ft
10:36.0,D. Jones misses 2-pt shot from 11 ft,,30-32,,
10:35.0,Offensive rebound by S. Hawes,,30-32,,
10:35.0,S. Hawes makes 2-pt shot from 2 ft,2,32-32,,
10:19.0,Personal foul by D. Jones (drawn by R. Gay),,32-32,,
10:19.0,M. Barnes enters the game for D. Jones,,32-32,,
10:12.0,,,32-34,2,B. McLemore makes 2-pt shot from 14 ft (assist by R. Gay)
9:57.0,A. Rivers misses 2-pt shot from 5 ft,,32-34,,
9:57.0,Offensive rebound by Team,,32-34,,
9:57.0,,,32-34,,Loose ball foul by D. Williams (drawn by S. Hawes)
9:50.0,S. Hawes misses 2-pt shot from 17 ft,,32-34,,
9:49.0,,,32-34,,Defensive rebound by R. Gay
9:32.0,,,32-34,,R. Gay misses 2-pt shot from 17 ft
9:31.0,Defensive rebound by Team,,32-34,,
9:31.0,,,32-34,,R. Hollins enters the game for D. Williams
9:18.0,J. Crawford makes 2-pt shot from 5 ft,2,34-34,,
8:52.0,,,34-34,,R. McCallum misses 2-pt shot from 17 ft (block by M. Barnes)
8:52.0,Defensive rebound by J. Crawford,,34-34,,
8:47.0,J. Crawford misses 2-pt shot from 2 ft,,34-34,,
8:47.0,Offensive rebound by Team,,34-34,,
8:47.0,Official timeout,,34-34,,
8:47.0,,,34-34,,D. Collison enters the game for B. McLemore
8:39.0,S. Hawes misses 2-pt shot from 11 ft,,34-34,,
8:38.0,,,34-34,,Defensive rebound by R. Evans
8:20.0,,,34-36,2,R. McCallum makes 2-pt shot from 15 ft
8:06.0,Turnover by J. Crawford (lost ball; steal by R. McCallum),,34-36,,
7:55.0,,,34-36,,D. Collison misses 3-pt shot from 25 ft
7:55.0,Defensive rebound by J. Crawford,,34-36,,
7:47.0,M. Barnes misses 3-pt shot from 22 ft,,34-36,,
7:47.0,Offensive rebound by M. Barnes,,34-36,,
7:43.0,M. Barnes makes 2-pt shot at rim,2,36-36,,
7:20.0,,,36-38,2,R. Gay makes 2-pt shot from 19 ft
7:01.0,G. Davis misses 2-pt shot from 2 ft,,36-38,,
7:00.0,,,36-38,,Defensive rebound by R. Evans
6:50.0,,,36-38,,R. Gay misses 2-pt shot from 18 ft
6:50.0,Defensive rebound by Team,,36-38,,
6:50.0,,,36-38,,Loose ball foul by R. Evans (drawn by S. Hawes)
6:50.0,B. Griffin enters the game for S. Hawes,,36-38,,
6:50.0,D. Jordan enters the game for A. Rivers,,36-38,,
6:50.0,C. Paul enters the game for G. Davis,,36-38,,
6:42.0,J. Crawford misses 2-pt shot from 14 ft,,36-38,,
6:41.0,,,36-38,,Defensive rebound by D. Collison
6:36.0,,,36-38,,Turnover by D. Collison (lost ball)
6:36.0,,,36-38,,J. Thompson enters the game for R. Evans
6:35.0,Jump ball: M. Barnes vs. D. Collison (D. Jordan gains possession),,,,Jump ball: M. Barnes vs. D. Collison (D. Jordan gains possession)
6:21.0,C. Paul misses 2-pt shot from 16 ft,,36-38,,
6:20.0,,,36-38,,Defensive rebound by J. Thompson
6:11.0,,,36-38,,D. Collison misses 2-pt shot from 21 ft
6:10.0,Defensive rebound by J. Crawford,,36-38,,
6:00.0,M. Barnes makes 3-pt shot from 23 ft (assist by C. Paul),3,39-38,,
5:37.0,,,39-38,,R. Gay misses 2-pt shot from 18 ft
5:36.0,Defensive rebound by D. Jordan,,39-38,,
5:27.0,B. Griffin misses 2-pt shot from 18 ft,,39-38,,
5:27.0,Offensive rebound by C. Paul,,39-38,,
5:17.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,41-38,,
5:10.0,,,41-38,,Sacramento full timeout
5:10.0,J. Redick enters the game for J. Crawford,,41-38,,
4:59.0,,,41-38,,J. Thompson misses 2-pt shot at rim
4:58.0,Defensive rebound by B. Griffin,,41-38,,
4:51.0,J. Redick misses 2-pt shot from 21 ft,,41-38,,
4:50.0,,,41-38,,Defensive rebound by J. Thompson
4:37.0,,,41-40,2,R. Gay makes 2-pt shot from 7 ft (assist by R. McCallum)
4:23.0,B. Griffin makes 2-pt shot from 3 ft (assist by C. Paul),2,43-40,,
4:08.0,,,43-42,2,R. McCallum makes 2-pt shot from 17 ft
3:47.0,Jump ball: B. Griffin vs. J. Thompson (M. Barnes gains possession),,,,Jump ball: B. Griffin vs. J. Thompson (M. Barnes gains possession)
3:42.0,M. Barnes misses 3-pt shot from 25 ft,,43-42,,
3:40.0,Offensive rebound by D. Jordan,,43-42,,
3:40.0,D. Jordan misses 2-pt shot from 1 ft,,43-42,,
3:39.0,,,43-42,,Defensive rebound by J. Thompson
3:29.0,,,43-42,,Turnover by R. Hollins (lost ball)
3:23.0,M. Barnes makes 3-pt shot from 23 ft (assist by C. Paul),3,46-42,,
3:07.0,,,46-42,,D. Collison misses 2-pt shot from 18 ft
3:06.0,Defensive rebound by B. Griffin,,46-42,,
2:58.0,J. Redick misses 3-pt shot from 23 ft,,46-42,,
2:57.0,Offensive rebound by B. Griffin,,46-42,,
2:52.0,C. Paul misses 2-pt shot from 10 ft,,46-42,,
2:49.0,Offensive rebound by D. Jordan,,46-42,,
2:47.0,D. Jordan misses 2-pt shot from 2 ft,,46-42,,
2:44.0,,,46-42,,Defensive rebound by R. Hollins
2:39.0,Violation by D. Jordan (def goaltending),,46-42,,
2:39.0,,,46-44,2,D. Collison makes 2-pt shot from 2 ft (assist by J. Thompson)
2:28.0,,,46-44,,Personal foul by J. Thompson (drawn by B. Griffin)
2:28.0,LA Clippers full timeout,,46-44,,
2:20.0,C. Paul makes 2-pt shot from 12 ft,2,48-44,,
1:55.0,,,48-44,,R. Gay misses 2-pt shot from 8 ft
1:54.0,,,48-44,,Offensive rebound by J. Thompson
1:54.0,,,48-46,2,J. Thompson makes 2-pt shot at rim
1:30.0,M. Barnes makes 3-pt shot from 25 ft (assist by B. Griffin),3,51-46,,
1:09.0,,,51-49,3,R. Gay makes 3-pt shot from 23 ft (assist by R. McCallum)
0:50.0,J. Redick misses 3-pt shot from 25 ft,,51-49,,
0:50.0,,,51-49,,Defensive rebound by R. Hollins
0:43.0,,,51-49,,Offensive foul by J. Thompson
0:43.0,,,51-49,,Turnover by J. Thompson (offensive foul)
0:43.0,J. Crawford enters the game for J. Redick,,51-49,,
0:32.0,Shooting foul by R. Hollins (drawn by D. Jordan),,51-49,,
0:32.0,D. Jordan misses free throw 1 of 2,,51-49,,
0:32.0,Offensive rebound by Team,,51-49,,
0:32.0,D. Jones enters the game for M. Barnes,,51-49,,
0:32.0,,,51-49,,Q. Miller enters the game for R. Hollins
0:32.0,D. Jordan makes free throw 2 of 2,1,52-49,,
0:09.0,,,52-49,,R. Gay misses 2-pt shot from 7 ft
0:08.0,,,52-49,,Offensive rebound by R. Gay
0:03.0,,,52-52,3,R. Gay makes 3-pt shot from 23 ft
0:00.0,Jump ball: Q. Miller vs. C. Paul,,,,Jump ball: Q. Miller vs. C. Paul
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,52-52,,R. Gay misses 2-pt shot from 22 ft
11:45.0,,,52-52,,Offensive rebound by D. Collison
11:37.0,,,52-54,2,D. Collison makes 2-pt shot from 8 ft
11:16.0,J. Redick makes 2-pt shot from 18 ft,2,54-54,,
10:50.0,,,54-54,,J. Thompson misses 2-pt shot from 21 ft
10:49.0,Defensive rebound by M. Barnes,,54-54,,
10:43.0,Turnover by B. Griffin (bad pass; steal by B. McLemore),,54-54,,
10:37.0,,,54-54,,B. McLemore misses 3-pt shot from 25 ft
10:36.0,Defensive rebound by M. Barnes,,54-54,,
10:23.0,C. Paul misses 3-pt shot from 24 ft,,54-54,,
10:22.0,,,54-54,,Defensive rebound by J. Thompson
10:14.0,,,54-54,,Sacramento full timeout
10:03.0,,,54-54,,Shooting foul by B. Griffin (drawn by R. Hollins)
10:03.0,,,54-54,,R. Hollins misses free throw 1 of 2
10:03.0,,,54-54,,Offensive rebound by Team
10:03.0,,,54-54,,R. Hollins misses free throw 2 of 2
10:02.0,Defensive rebound by D. Jordan,,54-54,,
9:49.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,56-54,,
9:37.0,Personal foul by D. Jordan (drawn by R. Hollins),,56-54,,
9:25.0,,,56-56,2,D. Collison makes 2-pt shot from 17 ft
9:07.0,B. Griffin misses 2-pt shot from 9 ft (block by J. Thompson),,56-56,,
9:07.0,Offensive rebound by Team,,56-56,,
9:04.0,,,56-56,,Personal foul by J. Thompson (drawn by B. Griffin)
8:54.0,M. Barnes misses 3-pt shot from 24 ft,,56-56,,
8:54.0,,,56-56,,Defensive rebound by J. Thompson
8:38.0,,,56-56,,Turnover by R. Gay (lost ball; steal by M. Barnes)
8:29.0,C. Paul misses 2-pt shot from 20 ft,,56-56,,
8:29.0,,,56-56,,Defensive rebound by J. Thompson
8:26.0,Loose ball foul by D. Jordan (drawn by R. Hollins),,56-56,,
8:17.0,,,56-58,2,B. McLemore makes 2-pt shot from 9 ft
8:06.0,J. Redick misses 2-pt shot from 3 ft,,56-58,,
8:06.0,,,56-58,,Defensive rebound by Team
8:06.0,Loose ball foul by D. Jordan (drawn by R. Hollins),,56-58,,
7:56.0,,,56-58,,Turnover by R. Hollins (lost ball; steal by D. Jordan)
7:51.0,Shooting foul by R. Hollins (drawn by B. Griffin),,56-58,,
7:51.0,B. Griffin makes free throw 1 of 2,1,57-58,,
7:51.0,B. Griffin misses free throw 2 of 2,,57-58,,
7:50.0,,,57-58,,Defensive rebound by R. Gay
7:39.0,,,57-58,,Turnover by D. Collison (bad pass)
7:31.0,Turnover by M. Barnes (traveling),,57-58,,
7:18.0,,,57-58,,R. Gay misses 2-pt shot from 10 ft
7:18.0,,,57-58,,Offensive rebound by J. Thompson
7:12.0,,,57-60,2,J. Thompson makes 2-pt shot from 7 ft
7:02.0,J. Redick makes 3-pt shot from 24 ft (assist by M. Barnes),3,60-60,,
7:02.0,,,60-60,,Away from play foul by R. Hollins (drawn by B. Griffin)
7:02.0,,,60-60,,R. Evans enters the game for R. Hollins
7:02.0,B. Griffin misses free throw 1 of 1,,60-60,,
7:01.0,,,60-60,,Defensive rebound by J. Thompson
6:53.0,,,60-60,,Offensive foul by R. Evans
6:53.0,,,60-60,,Turnover by R. Evans (offensive foul)
6:41.0,J. Redick misses 3-pt shot from 22 ft,,60-60,,
6:40.0,,,60-60,,Defensive rebound by R. Evans
6:23.0,,,60-60,,Shooting foul by M. Barnes (drawn by R. Gay)
6:23.0,,,60-61,1,R. Gay makes free throw 1 of 2
6:23.0,,,60-62,1,R. Gay makes free throw 2 of 2
6:15.0,Shooting foul by R. Gay (drawn by B. Griffin),,60-62,,
6:15.0,B. Griffin makes free throw 1 of 2,1,61-62,,
6:15.0,B. Griffin makes free throw 2 of 2,1,62-62,,
6:03.0,,,62-62,,R. Gay misses 3-pt shot from 24 ft
6:03.0,Defensive rebound by M. Barnes,,62-62,,
5:59.0,M. Barnes makes 2-pt shot at rim,2,64-62,,
5:33.0,,,64-64,2,B. McLemore makes 2-pt shot from 15 ft
5:27.0,,,64-64,,Personal foul by B. McLemore (drawn by C. Paul)
5:27.0,C. Paul makes free throw 1 of 2,1,65-64,,
5:27.0,C. Paul makes free throw 2 of 2,1,66-64,,
5:08.0,,,66-64,,D. Collison misses 3-pt shot from 26 ft
5:08.0,Defensive rebound by C. Paul,,66-64,,
4:59.0,C. Paul misses 3-pt shot from 22 ft,,66-64,,
4:57.0,Offensive rebound by D. Jordan,,66-64,,
4:52.0,J. Redick makes 3-pt shot from 24 ft (assist by D. Jordan),3,69-64,,
4:39.0,,,69-64,,Turnover by D. Collison (bad pass; steal by C. Paul)
4:36.0,B. Griffin makes 2-pt shot at rim (assist by C. Paul),2,71-64,,
4:35.0,,,71-64,,Sacramento full timeout
4:35.0,,,71-64,,D. Williams enters the game for R. Gay
4:21.0,,,71-64,,D. Williams misses 2-pt shot from 5 ft (block by D. Jordan)
4:19.0,Defensive rebound by M. Barnes,,71-64,,
4:14.0,D. Jordan makes 2-pt shot at rim (assist by J. Redick),2,73-64,,
3:56.0,,,73-64,,B. McLemore misses 3-pt shot from 24 ft
3:55.0,Defensive rebound by D. Jordan,,73-64,,
3:38.0,C. Paul misses 2-pt shot from 8 ft,,73-64,,
3:38.0,Offensive rebound by C. Paul,,73-64,,
3:36.0,C. Paul makes 2-pt shot from 7 ft,2,75-64,,
3:12.0,,,75-66,2,R. Evans makes 2-pt shot from 4 ft (assist by D. Williams)
2:57.0,Shooting foul by J. Thompson (drawn by B. Griffin),,75-66,,
2:57.0,B. Griffin makes free throw 1 of 2,1,76-66,,
2:57.0,,,76-66,,R. McCallum enters the game for J. Thompson
2:57.0,,,76-66,,Q. Miller enters the game for D. Collison
2:57.0,J. Crawford enters the game for M. Barnes,,76-66,,
2:57.0,B. Griffin makes free throw 2 of 2,1,77-66,,
2:44.0,,,77-66,,R. Evans misses 2-pt shot from 6 ft
2:42.0,Defensive rebound by C. Paul,,77-66,,
2:35.0,B. Griffin makes 2-pt shot from 1 ft (assist by J. Crawford),2,79-66,,
2:14.0,,,79-68,2,D. Williams makes 2-pt shot from 15 ft
2:00.0,C. Paul misses 2-pt shot from 6 ft,,79-68,,
2:00.0,,,79-68,,Defensive rebound by Q. Miller
1:54.0,,,79-70,2,D. Williams makes 2-pt shot from 1 ft (assist by Q. Miller)
1:54.0,LA Clippers full timeout,,79-70,,
1:54.0,S. Hawes enters the game for D. Jordan,,79-70,,
1:54.0,A. Rivers enters the game for C. Paul,,79-70,,
1:48.0,,,79-70,,Personal foul by R. Evans (drawn by B. Griffin)
1:48.0,B. Griffin makes free throw 1 of 2,1,80-70,,
1:48.0,B. Griffin makes free throw 2 of 2,1,81-70,,
1:35.0,,,81-70,,Q. Miller misses 2-pt shot from 20 ft
1:35.0,,,81-70,,Offensive rebound by Team
1:35.0,Loose ball foul by S. Hawes (drawn by R. Evans),,81-70,,
1:35.0,,,81-71,1,R. Evans makes free throw 1 of 2
1:35.0,,,81-72,1,R. Evans makes free throw 2 of 2
1:28.0,A. Rivers misses 2-pt shot from 3 ft,,81-72,,
1:28.0,Offensive rebound by Team,,81-72,,
1:20.0,J. Redick misses 3-pt shot from 25 ft,,81-72,,
1:19.0,,,81-72,,Defensive rebound by R. Evans
1:07.0,,,81-72,,Shooting foul by S. Hawes (drawn by D. Williams)
1:07.0,,,81-73,1,D. Williams makes free throw 1 of 2
1:07.0,,,81-74,1,D. Williams makes free throw 2 of 2
0:55.0,B. Griffin makes 2-pt shot from 5 ft,2,83-74,,
0:46.0,,,83-76,2,R. Evans makes 2-pt shot from 2 ft (assist by Q. Miller)
0:32.0,B. Griffin misses 2-pt shot from 14 ft,,83-76,,
0:30.0,,,83-76,,Defensive rebound by Team
0:30.0,G. Davis enters the game for B. Griffin,,83-76,,
0:05.0,,,83-76,,D. Williams misses 3-pt shot from 24 ft
0:05.0,,,83-76,,Offensive rebound by R. Evans
0:04.0,,,83-78,2,R. Evans makes 2-pt shot from 2 ft
0:00.0,J. Crawford misses 3-pt shot from 48 ft,,83-78,,
0:00.0,Offensive rebound by Team,,83-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,J. Crawford misses 2-pt shot from 19 ft,,83-78,,
11:47.0,,,83-78,,Defensive rebound by R. McCallum
11:27.0,,,83-78,,Q. Miller misses 3-pt shot from 22 ft
11:26.0,,,83-78,,Offensive rebound by R. Gay
11:23.0,,,83-78,,R. Gay misses 2-pt shot from 3 ft
11:23.0,Defensive rebound by S. Hawes,,83-78,,
11:11.0,J. Crawford makes 2-pt shot from 4 ft,2,85-78,,
10:56.0,,,85-78,,R. Gay misses 2-pt shot from 4 ft
10:55.0,Defensive rebound by S. Hawes,,85-78,,
10:45.0,S. Hawes misses 2-pt shot from 8 ft,,85-78,,
10:45.0,,,85-78,,Defensive rebound by R. Evans
10:35.0,,,85-78,,Q. Miller misses 2-pt shot from 18 ft
10:34.0,,,85-78,,Offensive rebound by R. McCallum
10:32.0,,,85-78,,R. McCallum misses 2-pt shot from 17 ft
10:32.0,,,85-78,,Offensive rebound by Q. Miller
10:32.0,,,85-78,,Shooting foul by M. Barnes (drawn by Q. Miller)
10:32.0,,,85-78,,Q. Miller misses free throw 1 of 2
10:32.0,,,85-78,,Offensive rebound by Team
10:32.0,,,85-78,,Technical foul by R. Gay
10:32.0,J. Crawford makes technical free throw,1,86-78,,
10:32.0,,,86-79,1,Q. Miller makes free throw 2 of 2
10:18.0,J. Crawford makes 2-pt shot from 21 ft,2,88-79,,
10:18.0,Shooting foul by R. McCallum (drawn by J. Crawford),,88-79,,
10:18.0,J. Crawford makes free throw 1 of 1,1,89-79,,
10:02.0,,,89-79,,R. Evans misses 2-pt shot from 2 ft (block by S. Hawes)
10:00.0,Defensive rebound by M. Barnes,,89-79,,
9:52.0,J. Crawford misses 3-pt shot from 22 ft,,89-79,,
9:51.0,,,89-79,,Defensive rebound by R. Evans
9:47.0,,,89-79,,Turnover by R. McCallum (lost ball)
9:47.0,,,89-79,,D. Collison enters the game for Q. Miller
9:25.0,S. Hawes makes 2-pt shot from 18 ft (assist by J. Crawford),2,91-79,,
9:13.0,,,91-79,,Shooting foul by G. Davis (drawn by D. Williams)
9:13.0,,,91-79,,D. Williams misses free throw 1 of 2
9:13.0,,,91-79,,Offensive rebound by Team
9:13.0,,,91-80,1,D. Williams makes free throw 2 of 2
9:03.0,Shooting foul by R. Evans (drawn by A. Rivers),,91-80,,
9:03.0,A. Rivers misses free throw 1 of 2,,91-80,,
9:03.0,Offensive rebound by Team,,91-80,,
9:03.0,A. Rivers makes free throw 2 of 2,1,92-80,,
8:47.0,Personal foul by G. Davis (drawn by R. Evans),,92-80,,
8:47.0,Official timeout,,92-80,,
8:47.0,,,92-80,,J. Thompson enters the game for R. Evans
8:34.0,,,92-83,3,D. Collison makes 3-pt shot from 25 ft (assist by R. Gay)
8:15.0,G. Davis makes 2-pt shot from 4 ft (assist by J. Crawford),2,94-83,,
8:05.0,,,94-85,2,J. Thompson makes 2-pt shot from 20 ft (assist by R. McCallum)
7:55.0,Shooting foul by J. Thompson (drawn by G. Davis),,94-85,,
7:55.0,G. Davis misses free throw 1 of 2,,94-85,,
7:55.0,Offensive rebound by Team,,94-85,,
7:55.0,G. Davis makes free throw 2 of 2,1,95-85,,
7:37.0,,,95-85,,J. Thompson misses 2-pt shot from 5 ft
7:35.0,,,95-85,,Offensive rebound by R. McCallum
7:33.0,,,95-87,2,R. McCallum makes 2-pt shot from 9 ft
7:18.0,M. Barnes misses 3-pt shot from 24 ft,,95-87,,
7:18.0,,,95-87,,Defensive rebound by J. Thompson
7:09.0,,,95-87,,R. McCallum misses 3-pt shot from 23 ft
7:09.0,Defensive rebound by M. Barnes,,95-87,,
6:45.0,G. Davis makes 2-pt shot from 1 ft (assist by J. Crawford),2,97-87,,
6:30.0,,,97-87,,D. Collison misses 2-pt shot from 6 ft
6:29.0,,,97-87,,Offensive rebound by J. Thompson
6:29.0,,,97-89,2,J. Thompson makes 2-pt shot from 1 ft
6:12.0,Shooting foul by R. Gay (drawn by M. Barnes),,97-89,,
6:12.0,M. Barnes makes free throw 1 of 2,1,98-89,,
6:12.0,,,98-89,,B. McLemore enters the game for R. McCallum
6:12.0,C. Paul enters the game for S. Hawes,,98-89,,
6:12.0,D. Jordan enters the game for A. Rivers,,98-89,,
6:12.0,B. Griffin enters the game for G. Davis,,98-89,,
6:12.0,M. Barnes makes free throw 2 of 2,1,99-89,,
6:08.0,,,99-91,2,D. Collison makes 2-pt shot at rim
5:50.0,J. Crawford makes 3-pt shot from 24 ft,3,102-91,,
5:34.0,,,102-91,,Turnover by B. McLemore (lost ball)
