time,Cleveland,pts.away,score,pts.home,Orlando
6:46.0,L. James makes 2-pt shot from 1 ft,2,9-10,,
6:38.0,,,9-12,2,T. Harris makes 2-pt shot from 1 ft (assist by E. Payton)
6:23.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,11-12,,
6:10.0,,,11-14,2,N. Vucevic makes 2-pt shot from 16 ft (assist by E. Payton)
5:57.0,K. Irving makes 2-pt shot from 2 ft,2,13-14,,
5:54.0,,,13-14,,Orlando full timeout
5:54.0,K. Perkins enters the game for L. James,,13-14,,
5:54.0,I. Shumpert enters the game for T. Mozgov,,13-14,,
5:36.0,,,13-14,,V. Oladipo misses 2-pt shot from 23 ft
5:35.0,,,13-14,,Offensive rebound by N. Vucevic
5:31.0,,,13-16,2,V. Oladipo makes 2-pt shot from 2 ft (assist by N. Vucevic)
5:05.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving),3,16-16,,
4:49.0,,,16-18,2,T. Harris makes 2-pt shot from 2 ft (assist by E. Payton)
4:39.0,,,16-18,,C. Frye enters the game for D. Dedmon
4:39.0,J. Jones enters the game for T. Thompson,,16-18,,
4:36.0,Jump ball: K. Irving vs. E. Payton (C. Frye gains possession),,,,Jump ball: K. Irving vs. E. Payton (C. Frye gains possession)
4:36.0,Turnover by K. Irving (lost ball; steal by E. Payton),,16-18,,
4:24.0,,,16-18,,V. Oladipo misses 2-pt shot from 2 ft
4:23.0,,,16-18,,Offensive rebound by N. Vucevic
4:23.0,,,16-18,,N. Vucevic misses 2-pt shot from 2 ft
4:21.0,,,16-18,,Offensive rebound by N. Vucevic
4:21.0,,,16-18,,N. Vucevic misses 2-pt shot from 2 ft
4:19.0,,,16-18,,Offensive rebound by N. Vucevic
4:15.0,,,16-21,3,V. Oladipo makes 3-pt shot from 25 ft (assist by C. Frye)
4:02.0,K. Perkins makes 2-pt shot from 1 ft (assist by J. Smith),2,18-21,,
3:48.0,,,18-21,,C. Frye misses 2-pt shot from 2 ft
3:47.0,,,18-21,,Offensive rebound by N. Vucevic
3:47.0,,,18-21,,N. Vucevic misses 2-pt shot from 2 ft
3:45.0,Defensive rebound by K. Irving,,18-21,,
3:31.0,I. Shumpert misses 2-pt shot from 2 ft,,18-21,,
3:28.0,,,18-21,,Defensive rebound by C. Frye
3:20.0,,,18-21,,V. Oladipo misses 2-pt shot from 2 ft
3:19.0,Defensive rebound by K. Perkins,,18-21,,
3:09.0,J. Smith misses 3-pt shot from 24 ft,,18-21,,
3:07.0,,,18-21,,Defensive rebound by N. Vucevic
3:00.0,,,18-24,3,T. Harris makes 3-pt shot from 23 ft (assist by E. Payton)
2:51.0,Cleveland full timeout,,18-24,,
2:51.0,,,18-24,,A. Nicholson enters the game for N. Vucevic
2:51.0,L. James enters the game for J. Smith,,18-24,,
2:51.0,M. Dellavedova enters the game for K. Irving,,18-24,,
2:39.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by I. Shumpert),3,21-24,,
2:24.0,,,21-24,,Turnover by A. Nicholson (bad pass; steal by L. James)
2:19.0,L. James makes 2-pt shot from 2 ft,2,23-24,,
2:02.0,,,23-24,,V. Oladipo misses 2-pt shot from 2 ft (block by K. Perkins)
2:00.0,Defensive rebound by I. Shumpert,,23-24,,
1:55.0,J. Jones misses 3-pt shot from 24 ft,,23-24,,
1:54.0,,,23-24,,Defensive rebound by E. Payton
1:46.0,,,23-24,,Shooting foul by M. Dellavedova (drawn by E. Payton)
1:46.0,,,23-24,,E. Payton misses free throw 1 of 2
1:46.0,,,23-24,,Offensive rebound by Team
1:46.0,,,23-24,,E. Payton misses free throw 2 of 2
1:45.0,Defensive rebound by I. Shumpert,,23-24,,
1:22.0,L. James misses 3-pt shot from 25 ft,,23-24,,
1:20.0,,,23-24,,Defensive rebound by A. Nicholson
1:10.0,,,23-27,3,V. Oladipo makes 3-pt shot from 25 ft (assist by E. Payton)
0:51.0,M. Dellavedova misses 3-pt shot from 25 ft,,23-27,,
0:50.0,,,23-27,,Defensive rebound by C. Frye
0:40.0,,,23-27,,V. Oladipo misses 2-pt shot from 2 ft (block by I. Shumpert)
0:40.0,Defensive rebound by Team,,23-27,,
0:40.0,,,23-27,,L. Ridnour enters the game for E. Payton
0:36.0,L. James makes 2-pt shot from 4 ft,2,25-27,,
0:36.0,Shooting foul by C. Frye (drawn by L. James),,25-27,,
0:36.0,L. James makes free throw 1 of 1,1,26-27,,
0:31.0,,,26-27,,Shooting foul by L. James (drawn by T. Harris)
0:31.0,,,26-28,1,T. Harris makes free throw 1 of 2
0:31.0,,,26-28,,T. Harris misses free throw 2 of 2
0:31.0,Defensive rebound by J. Jones,,26-28,,
0:15.0,L. James misses 2-pt shot from 11 ft,,26-28,,
0:14.0,,,26-28,,Defensive rebound by T. Harris
0:05.0,,,26-28,,Offensive foul by A. Nicholson
0:05.0,,,26-28,,Turnover by A. Nicholson (offensive foul)
0:00.0,I. Shumpert misses 3-pt shot from 23 ft,,26-28,,
0:00.0,Offensive rebound by Team,,26-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,J. Jones makes 3-pt shot from 25 ft (assist by L. James),3,29-28,,
11:34.0,,,29-28,,C. Frye misses 3-pt shot from 25 ft
11:32.0,Defensive rebound by L. James,,29-28,,
11:25.0,J. Jones misses 3-pt shot from 25 ft,,29-28,,
11:24.0,Offensive rebound by I. Shumpert,,29-28,,
11:24.0,I. Shumpert makes 2-pt shot from 1 ft,2,31-28,,
11:24.0,Shooting foul by L. Ridnour (drawn by I. Shumpert),,31-28,,
11:24.0,I. Shumpert makes free throw 1 of 1,1,32-28,,
11:07.0,,,32-28,,L. Ridnour misses 3-pt shot from 25 ft
11:06.0,Defensive rebound by Team,,32-28,,
10:55.0,,,32-28,,Personal foul by C. Frye (drawn by T. Mozgov)
10:41.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by J. Jones),3,35-28,,
10:20.0,,,35-28,,M. Harkless misses 2-pt shot from 2 ft
10:17.0,Defensive rebound by I. Shumpert,,35-28,,
10:10.0,L. James makes 2-pt shot from 2 ft (assist by I. Shumpert),2,37-28,,
10:08.0,,,37-28,,Orlando full timeout
10:08.0,,,37-28,,D. Dedmon enters the game for C. Frye
10:08.0,,,37-28,,T. Harris enters the game for A. Nicholson
9:57.0,,,37-30,2,T. Harris makes 2-pt shot from 2 ft (assist by L. Ridnour)
9:37.0,T. Mozgov misses 2-pt shot from 8 ft,,37-30,,
9:34.0,,,37-30,,Defensive rebound by T. Harris
9:27.0,,,37-30,,T. Harris misses 2-pt shot from 17 ft
9:26.0,Defensive rebound by J. Jones,,37-30,,
9:12.0,J. Jones misses 3-pt shot from 26 ft,,37-30,,
9:10.0,,,37-30,,Defensive rebound by A. Gordon
9:01.0,,,37-32,2,L. Ridnour makes 2-pt shot from 18 ft
8:50.0,,,37-32,,Personal foul by A. Gordon (drawn by L. James)
8:50.0,K. Irving enters the game for M. Dellavedova,,37-32,,
8:35.0,Turnover by T. Mozgov (3 sec),,37-32,,
8:23.0,,,37-32,,Turnover by A. Gordon (bad pass; steal by I. Shumpert)
8:20.0,I. Shumpert makes 2-pt shot at rim,2,39-32,,
8:03.0,,,39-34,2,L. Ridnour makes 2-pt shot from 16 ft
7:47.0,K. Irving makes 2-pt shot from 21 ft,2,41-34,,
7:30.0,,,41-34,,Turnover by A. Gordon (bad pass; steal by I. Shumpert)
7:24.0,Turnover by I. Shumpert (bad pass; steal by A. Gordon),,41-34,,
7:19.0,,,41-37,3,L. Ridnour makes 3-pt shot from 25 ft
6:53.0,T. Mozgov makes 2-pt shot at rim (assist by L. James),2,43-37,,
6:47.0,,,43-37,,Orlando full timeout
6:47.0,T. Thompson enters the game for L. James,,43-37,,
6:47.0,J. Smith enters the game for J. Jones,,43-37,,
6:47.0,,,43-37,,E. Payton enters the game for D. Dedmon
6:47.0,,,43-37,,N. Vucevic enters the game for M. Harkless
6:47.0,,,43-37,,V. Oladipo enters the game for A. Gordon
6:39.0,,,43-37,,Shooting foul by T. Thompson (drawn by T. Harris)
6:39.0,,,43-38,1,T. Harris makes free throw 1 of 2
6:39.0,,,43-39,1,T. Harris makes free throw 2 of 2
6:19.0,J. Smith makes 3-pt shot from 25 ft (assist by I. Shumpert),3,46-39,,
6:05.0,,,46-41,2,N. Vucevic makes 2-pt shot from 2 ft (assist by V. Oladipo)
6:05.0,,,46-41,,Shooting foul by K. Irving (drawn by N. Vucevic)
6:05.0,,,46-41,,N. Vucevic misses free throw 1 of 1
6:04.0,,,46-41,,Offensive rebound by E. Payton
6:04.0,,,46-43,2,E. Payton makes 2-pt shot from 1 ft
5:47.0,K. Irving makes 2-pt shot from 2 ft,2,48-43,,
5:27.0,,,48-43,,Turnover by N. Vucevic (3 sec)
5:27.0,Official timeout,,48-43,,
5:03.0,Turnover by I. Shumpert (bad pass; steal by L. Ridnour),,48-43,,
4:51.0,,,48-45,2,N. Vucevic makes 2-pt shot from 8 ft (assist by E. Payton)
4:34.0,K. Irving makes 2-pt shot from 2 ft,2,50-45,,
4:17.0,,,50-47,2,N. Vucevic makes 2-pt shot from 18 ft (assist by V. Oladipo)
4:00.0,,,50-47,,Personal foul by T. Harris (drawn by K. Irving)
3:52.0,K. Irving makes 3-pt shot from 25 ft,3,53-47,,
3:35.0,,,53-50,3,L. Ridnour makes 3-pt shot from 23 ft (assist by E. Payton)
3:18.0,J. Smith makes 2-pt shot from 16 ft,2,55-50,,
3:08.0,Violation by J. Smith (kicked ball),,55-50,,
3:08.0,L. James enters the game for I. Shumpert,,55-50,,
2:55.0,,,55-50,,V. Oladipo misses 2-pt shot from 16 ft
2:52.0,,,55-50,,Offensive rebound by E. Payton
2:48.0,,,55-50,,T. Harris misses 3-pt shot from 25 ft
2:46.0,Defensive rebound by J. Smith,,55-50,,
2:39.0,Cleveland full timeout,,55-50,,
2:39.0,,,55-50,,D. Dedmon enters the game for L. Ridnour
2:28.0,T. Mozgov misses 2-pt shot from 2 ft (block by N. Vucevic),,55-50,,
2:25.0,,,55-50,,Defensive rebound by E. Payton
2:16.0,,,55-50,,Shooting foul by J. Smith (drawn by E. Payton)
2:16.0,,,55-50,,E. Payton misses free throw 1 of 2
2:16.0,,,55-50,,Offensive rebound by Team
2:16.0,,,55-51,1,E. Payton makes free throw 2 of 2
1:55.0,T. Thompson makes 2-pt shot from 15 ft (assist by L. James),2,57-51,,
1:34.0,,,57-51,,N. Vucevic misses 2-pt shot from 19 ft
1:33.0,Defensive rebound by L. James,,57-51,,
1:25.0,T. Mozgov makes 2-pt shot from 20 ft (assist by L. James),2,59-51,,
1:05.0,,,59-53,2,N. Vucevic makes 2-pt shot from 8 ft (assist by V. Oladipo)
0:50.0,J. Smith makes 3-pt shot from 24 ft (assist by L. James),3,62-53,,
0:32.0,J. Jones enters the game for T. Thompson,,62-53,,
0:30.0,,,62-53,,N. Vucevic misses 2-pt shot from 21 ft
0:28.0,Defensive rebound by J. Smith,,62-53,,
0:25.0,L. James makes 2-pt shot at rim (assist by J. Smith),2,64-53,,
0:07.0,,,64-55,2,V. Oladipo makes 2-pt shot from 18 ft
0:01.0,Shooting foul by V. Oladipo (drawn by J. Smith),,64-55,,
0:01.0,J. Smith makes free throw 1 of 3,1,65-55,,
0:01.0,J. Smith makes free throw 2 of 3,1,66-55,,
0:01.0,J. Smith misses free throw 3 of 3,,66-55,,
0:00.0,,,66-55,,Defensive rebound by D. Dedmon
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:34.0,T. Mozgov misses 2-pt shot from 5 ft,,66-55,,
11:33.0,,,66-55,,Defensive rebound by D. Dedmon
11:14.0,,,66-57,2,N. Vucevic makes 2-pt shot from 8 ft (assist by V. Oladipo)
10:55.0,K. Irving makes 3-pt shot from 25 ft (assist by L. James),3,69-57,,
10:41.0,,,69-57,,Shooting foul by J. Smith (drawn by V. Oladipo)
10:41.0,,,69-58,1,V. Oladipo makes free throw 1 of 2
10:41.0,,,69-59,1,V. Oladipo makes free throw 2 of 2
10:29.0,T. Mozgov makes 2-pt shot at rim (assist by K. Irving),2,71-59,,
10:07.0,,,71-59,,V. Oladipo misses 2-pt shot from 11 ft
10:06.0,Defensive rebound by T. Thompson,,71-59,,
9:59.0,Shooting foul by E. Payton (drawn by K. Irving),,71-59,,
9:59.0,K. Irving makes free throw 1 of 2,1,72-59,,
9:59.0,K. Irving makes free throw 2 of 2,1,73-59,,
9:46.0,,,73-61,2,E. Payton makes 2-pt shot from 8 ft
9:33.0,K. Irving makes 3-pt shot from 25 ft (assist by T. Mozgov),3,76-61,,
9:23.0,,,76-64,3,T. Harris makes 3-pt shot from 23 ft (assist by E. Payton)
9:07.0,K. Irving misses 3-pt shot from 26 ft,,76-64,,
9:05.0,,,76-64,,Defensive rebound by D. Dedmon
8:56.0,Personal foul by K. Irving (drawn by D. Dedmon),,76-64,,
8:49.0,,,76-64,,V. Oladipo misses 2-pt shot from 16 ft (block by J. Smith)
8:49.0,,,76-64,,Offensive rebound by Team
8:48.0,,,76-64,,Turnover by T. Harris (bad pass; steal by J. Smith)
8:42.0,Turnover by J. Smith (bad pass; steal by V. Oladipo),,76-64,,
8:37.0,,,76-64,,E. Payton misses 2-pt shot from 2 ft
8:35.0,Defensive rebound by J. Smith,,76-64,,
8:29.0,K. Irving makes 2-pt shot from 2 ft,2,78-64,,
8:13.0,,,78-64,,Shooting foul by L. James (drawn by D. Dedmon)
8:13.0,,,78-65,1,D. Dedmon makes free throw 1 of 2
8:13.0,,,78-65,,D. Dedmon misses free throw 2 of 2
8:12.0,,,78-65,,Offensive rebound by N. Vucevic
7:58.0,,,78-65,,N. Vucevic misses 2-pt shot from 8 ft
7:57.0,Defensive rebound by T. Mozgov,,78-65,,
7:45.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,81-65,,
7:45.0,,,81-65,,Orlando full timeout
7:45.0,,,81-65,,A. Gordon enters the game for D. Dedmon
7:30.0,,,81-68,3,V. Oladipo makes 3-pt shot from 25 ft (assist by A. Gordon)
7:08.0,Turnover by K. Irving (bad pass),,81-68,,
6:54.0,,,81-68,,A. Gordon misses 3-pt shot from 24 ft
6:53.0,Defensive rebound by L. James,,81-68,,
6:49.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,84-68,,
6:26.0,Personal foul by T. Thompson (drawn by T. Harris),,84-68,,
6:26.0,J. Jones enters the game for T. Mozgov,,84-68,,
6:21.0,,,84-68,,V. Oladipo misses 2-pt shot from 2 ft
6:20.0,Defensive rebound by T. Thompson,,84-68,,
6:14.0,L. James makes 2-pt shot from 9 ft,2,86-68,,
6:14.0,Shooting foul by A. Gordon (drawn by L. James),,86-68,,
6:14.0,L. James misses free throw 1 of 1,,86-68,,
6:12.0,,,86-68,,Defensive rebound by T. Harris
5:50.0,,,86-70,2,T. Harris makes 2-pt shot from 19 ft (assist by V. Oladipo)
5:44.0,Turnover by L. James (bad pass; steal by E. Payton),,86-70,,
5:38.0,,,86-70,,V. Oladipo misses 3-pt shot from 25 ft
5:37.0,Defensive rebound by L. James,,86-70,,
5:27.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,88-70,,
5:13.0,,,88-70,,A. Gordon misses 3-pt shot from 24 ft
5:11.0,Defensive rebound by L. James,,88-70,,
5:05.0,J. Jones misses 3-pt shot from 25 ft,,88-70,,
5:04.0,,,88-70,,Defensive rebound by N. Vucevic
4:53.0,Violation by L. James (def goaltending),,88-70,,
4:53.0,,,88-72,2,N. Vucevic makes 2-pt shot from 3 ft (assist by V. Oladipo)
4:36.0,Turnover by K. Irving (lost ball; steal by T. Harris),,88-72,,
4:32.0,,,88-72,,Shooting foul by J. Jones (drawn by E. Payton)
4:32.0,,,88-72,,E. Payton misses free throw 1 of 2
4:32.0,,,88-72,,Offensive rebound by Team
4:32.0,,,88-72,,C. Frye enters the game for N. Vucevic
4:32.0,,,88-72,,L. Ridnour enters the game for V. Oladipo
4:32.0,I. Shumpert enters the game for L. James,,88-72,,
4:32.0,,,88-73,1,E. Payton makes free throw 2 of 2
4:21.0,J. Smith misses 3-pt shot from 25 ft,,88-73,,
4:20.0,,,88-73,,Defensive rebound by T. Harris
4:03.0,,,88-73,,E. Payton misses 2-pt shot from 2 ft (block by T. Thompson)
4:01.0,Defensive rebound by K. Irving,,88-73,,
3:52.0,T. Thompson misses 2-pt shot from 5 ft,,88-73,,
3:51.0,,,88-73,,Defensive rebound by E. Payton
3:48.0,,,88-73,,Turnover by E. Payton (lost ball)
3:37.0,K. Irving makes 2-pt shot from 1 ft,2,90-73,,
3:14.0,,,90-75,2,L. Ridnour makes 2-pt shot from 17 ft
2:54.0,K. Irving misses 2-pt shot from 19 ft,,90-75,,
2:53.0,,,90-75,,Defensive rebound by L. Ridnour
2:43.0,,,90-77,2,A. Gordon makes 2-pt shot at rim
2:43.0,Cleveland full timeout,,90-77,,
2:43.0,,,90-77,,V. Oladipo enters the game for E. Payton
2:19.0,K. Irving makes 2-pt shot from 6 ft,2,92-77,,
2:09.0,,,92-79,2,V. Oladipo makes 2-pt shot from 1 ft
2:09.0,,,92-79,,Shooting foul by T. Thompson (drawn by V. Oladipo)
2:09.0,,,92-80,1,V. Oladipo makes free throw 1 of 1
1:47.0,J. Jones makes 3-pt shot from 22 ft (assist by J. Smith),3,95-80,,
1:36.0,,,95-80,,V. Oladipo misses 2-pt shot from 2 ft (block by T. Thompson)
1:35.0,Defensive rebound by K. Irving,,95-80,,
1:31.0,Shooting foul by L. Ridnour (drawn by K. Irving),,95-80,,
1:31.0,K. Irving makes free throw 1 of 2,1,96-80,,
1:31.0,M. Dellavedova enters the game for J. Smith,,96-80,,
1:31.0,K. Irving makes free throw 2 of 2,1,97-80,,
1:16.0,,,97-80,,T. Harris misses 3-pt shot from 25 ft
1:14.0,Defensive rebound by K. Irving,,97-80,,
1:07.0,Turnover by K. Irving (lost ball; steal by L. Ridnour),,97-80,,
1:07.0,Loose ball foul by K. Irving (drawn by L. Ridnour),,97-80,,
1:07.0,,,97-81,1,L. Ridnour makes free throw 1 of 2
1:07.0,J. Smith enters the game for K. Irving,,97-81,,
1:07.0,,,97-81,,L. Ridnour misses free throw 2 of 2
1:06.0,Defensive rebound by T. Thompson,,97-81,,
0:51.0,J. Smith misses 3-pt shot from 27 ft,,97-81,,
0:50.0,,,97-81,,Defensive rebound by V. Oladipo
0:35.0,,,97-83,2,V. Oladipo makes 2-pt shot from 1 ft
0:35.0,,,97-83,,Shooting foul by T. Thompson (drawn by V. Oladipo)
0:35.0,,,97-83,,V. Oladipo misses free throw 1 of 1
0:35.0,Defensive rebound by J. Smith,,97-83,,
0:29.0,Turnover by J. Smith (bad pass; steal by V. Oladipo),,97-83,,
0:29.0,Personal foul by J. Smith (drawn by V. Oladipo),,97-83,,
0:29.0,,,97-83,,V. Oladipo misses free throw 1 of 2
0:29.0,,,97-83,,Offensive rebound by Team
0:29.0,,,97-84,1,V. Oladipo makes free throw 2 of 2
0:10.0,J. Smith makes 3-pt shot from 25 ft (assist by M. Dellavedova),3,100-84,,
0:02.0,,,100-86,2,V. Oladipo makes 2-pt shot at rim
0:00.0,J. Smith misses 3-pt shot from 34 ft,,100-86,,
0:00.0,Offensive rebound by Team,,100-86,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Personal foul by I. Shumpert (drawn by V. Oladipo),,100-86,,
11:32.0,,,100-86,,T. Harris misses 3-pt shot from 25 ft
11:30.0,Defensive rebound by Team,,100-86,,
11:19.0,Shooting foul by M. Harkless (drawn by J. Smith),,100-86,,
11:19.0,J. Smith makes free throw 1 of 3,1,101-86,,
11:19.0,J. Smith makes free throw 2 of 3,1,102-86,,
11:19.0,J. Smith makes free throw 3 of 3,1,103-86,,
11:09.0,,,103-86,,Shooting foul by M. Dellavedova (drawn by L. Ridnour)
11:09.0,,,103-87,1,L. Ridnour makes free throw 1 of 2
11:09.0,,,103-88,1,L. Ridnour makes free throw 2 of 2
10:50.0,Turnover by M. Dellavedova (bad pass; steal by L. Ridnour),,103-88,,
10:46.0,,,103-88,,Turnover by L. Ridnour (bad pass)
10:34.0,L. James misses 2-pt shot from 19 ft,,103-88,,
10:33.0,Offensive rebound by Team,,103-88,,
10:20.0,K. Perkins makes 2-pt shot from 7 ft,2,105-88,,
10:11.0,Personal foul by K. Perkins (drawn by C. Frye),,105-88,,
10:11.0,,,105-88,,E. Payton enters the game for L. Ridnour
10:04.0,,,105-88,,C. Frye misses 3-pt shot from 25 ft
10:03.0,,,105-88,,Offensive rebound by Team
9:56.0,,,105-90,2,E. Payton makes 2-pt shot from 1 ft
9:43.0,Turnover by K. Perkins (bad pass),,105-90,,
9:43.0,,,105-90,,N. Vucevic enters the game for C. Frye
9:24.0,,,105-90,,E. Payton misses 2-pt shot from 1 ft
9:22.0,,,105-90,,Offensive rebound by N. Vucevic
9:00.0,,,105-92,2,M. Harkless makes 2-pt shot from 7 ft
8:42.0,Shooting foul by N. Vucevic (drawn by K. Perkins),,105-92,,
8:42.0,Official timeout,,105-92,,
8:42.0,K. Perkins makes free throw 1 of 2,1,106-92,,
8:42.0,K. Perkins makes free throw 2 of 2,1,107-92,,
8:26.0,,,107-92,,T. Harris misses 2-pt shot from 8 ft
8:25.0,,,107-92,,Offensive rebound by N. Vucevic
8:25.0,,,107-92,,N. Vucevic misses 2-pt shot at rim
8:22.0,,,107-92,,Offensive rebound by M. Harkless
8:22.0,,,107-94,2,M. Harkless makes 2-pt shot from 2 ft
8:02.0,M. Dellavedova misses 3-pt shot from 24 ft,,107-94,,
8:01.0,Offensive rebound by K. Perkins,,107-94,,
7:46.0,Turnover by M. Dellavedova (step out of bounds),,107-94,,
7:46.0,K. Irving enters the game for M. Dellavedova,,107-94,,
7:28.0,,,107-97,3,E. Payton makes 3-pt shot from 24 ft (assist by N. Vucevic)
7:10.0,I. Shumpert makes 3-pt shot from 24 ft (assist by K. Irving),3,110-97,,
6:52.0,,,110-97,,E. Payton misses 2-pt shot at rim (block by L. James)
6:50.0,Defensive rebound by K. Perkins,,110-97,,
6:40.0,J. Smith misses 3-pt shot from 27 ft,,110-97,,
6:39.0,,,110-97,,Defensive rebound by N. Vucevic
6:23.0,,,110-99,2,N. Vucevic makes 2-pt shot from 16 ft
6:09.0,Turnover by K. Perkins (offensive foul),,110-99,,
6:09.0,Offensive foul by K. Perkins,,110-99,,
6:09.0,T. Thompson enters the game for K. Perkins,,110-99,,
5:59.0,Personal foul by L. James (drawn by N. Vucevic),,110-99,,
5:59.0,,,110-99,,Orlando full timeout
5:59.0,J. Jones enters the game for J. Smith,,110-99,,
5:54.0,,,110-101,2,T. Harris makes 2-pt shot from 2 ft (assist by N. Vucevic)
5:29.0,L. James makes 2-pt shot at rim,2,112-101,,
5:13.0,,,112-101,,Shooting foul by I. Shumpert (drawn by V. Oladipo)
5:13.0,,,112-102,1,V. Oladipo makes free throw 1 of 2
5:13.0,,,112-103,1,V. Oladipo makes free throw 2 of 2
4:50.0,L. James misses 3-pt shot from 23 ft,,112-103,,
4:48.0,,,112-103,,Defensive rebound by T. Harris
4:35.0,,,112-103,,Turnover by E. Payton (bad pass; steal by L. James)
4:19.0,L. James makes 2-pt shot from 16 ft,2,114-103,,
4:02.0,,,114-103,,E. Payton misses 2-pt shot from 18 ft
4:01.0,Defensive rebound by I. Shumpert,,114-103,,
3:37.0,I. Shumpert misses 2-pt shot from 21 ft,,114-103,,
3:37.0,Offensive rebound by Team,,114-103,,
3:37.0,Turnover by Team (shot clock),,114-103,,
3:30.0,,,114-103,,Turnover by E. Payton (bad pass; steal by K. Irving)
3:22.0,J. Jones makes 3-pt shot from 25 ft (assist by L. James),3,117-103,,
3:22.0,,,117-103,,Orlando full timeout
3:11.0,,,117-103,,Shooting foul by J. Jones (drawn by V. Oladipo)
3:11.0,,,117-103,,V. Oladipo misses free throw 1 of 2
3:11.0,,,117-103,,Offensive rebound by Team
3:11.0,,,117-103,,V. Oladipo misses free throw 2 of 2
3:10.0,Defensive rebound by L. James,,117-103,,
2:53.0,K. Irving makes 3-pt shot from 23 ft (assist by L. James),3,120-103,,
2:36.0,,,120-105,2,N. Vucevic makes 2-pt shot from 9 ft (assist by T. Harris)
2:17.0,J. Jones makes 3-pt shot from 26 ft (assist by L. James),3,123-105,,
