time,LA Clippers,pts.away,score,pts.home,San Antonio
8:42.0,,,32-32,,Defensive rebound by T. Duncan
8:30.0,,,32-34,2,B. Diaw makes 2-pt shot from 4 ft
8:13.0,J. Redick makes 3-pt shot from 25 ft (assist by G. Davis),3,35-34,,
8:00.0,,,35-36,2,B. Diaw makes 2-pt shot from 8 ft
7:42.0,G. Davis makes 2-pt shot from 16 ft (assist by A. Rivers),2,37-36,,
7:27.0,,,37-36,,K. Leonard misses 3-pt shot from 25 ft
7:26.0,,,37-36,,Offensive rebound by T. Duncan
7:14.0,,,37-36,,T. Duncan misses 2-pt shot from 12 ft
7:13.0,Defensive rebound by B. Griffin,,37-36,,
7:12.0,Turnover by B. Griffin (bad pass; steal by T. Duncan),,37-36,,
7:10.0,,,37-36,,Shooting foul by G. Davis (drawn by T. Duncan)
7:10.0,,,37-36,,T. Duncan misses free throw 1 of 2
7:10.0,,,37-36,,Offensive rebound by Team
7:10.0,M. Barnes enters the game for J. Crawford,,37-36,,
7:10.0,,,37-36,,T. Parker enters the game for P. Mills
7:10.0,,,37-36,,T. Splitter enters the game for B. Diaw
7:10.0,C. Paul enters the game for A. Rivers,,37-36,,
7:10.0,D. Jordan enters the game for G. Davis,,37-36,,
7:10.0,,,37-36,,T. Duncan misses free throw 2 of 2
7:08.0,Defensive rebound by D. Jordan,,37-36,,
6:46.0,B. Griffin misses 2-pt shot from 15 ft,,37-36,,
6:45.0,Offensive rebound by B. Griffin,,37-36,,
6:41.0,B. Griffin makes 2-pt shot from 1 ft,2,39-36,,
6:23.0,,,39-36,,T. Parker misses 2-pt shot from 6 ft (block by C. Paul)
6:23.0,Defensive rebound by Team,,39-36,,
6:23.0,,,39-36,,M. Belinelli enters the game for D. Green
6:14.0,J. Redick misses 2-pt shot from 20 ft,,39-36,,
6:13.0,,,39-36,,Defensive rebound by K. Leonard
5:58.0,,,39-36,,T. Duncan misses 2-pt shot from 6 ft (block by D. Jordan)
5:56.0,Defensive rebound by J. Redick,,39-36,,
5:48.0,Offensive charge foul by M. Barnes,,39-36,,
5:48.0,Turnover by M. Barnes (offensive foul),,39-36,,
5:48.0,Official timeout,,39-36,,
5:30.0,,,39-36,,M. Belinelli misses 3-pt shot from 25 ft
5:28.0,,,39-36,,Offensive rebound by T. Duncan
5:28.0,,,39-36,,T. Duncan misses 2-pt shot from 1 ft
5:26.0,,,39-36,,Offensive rebound by T. Splitter
5:26.0,,,39-36,,T. Splitter misses 2-pt shot from 2 ft
5:25.0,Defensive rebound by D. Jordan,,39-36,,
5:13.0,C. Paul makes 2-pt shot from 7 ft,2,41-36,,
5:02.0,,,41-38,2,T. Duncan makes 2-pt shot from 1 ft (assist by K. Leonard)
4:39.0,C. Paul misses 3-pt shot from 24 ft,,41-38,,
4:38.0,,,41-38,,Defensive rebound by T. Splitter
4:19.0,,,41-38,,T. Parker misses 3-pt shot from 22 ft
4:18.0,Defensive rebound by B. Griffin,,41-38,,
4:04.0,,,41-38,,Personal foul by T. Splitter (drawn by B. Griffin)
4:04.0,,,41-38,,B. Diaw enters the game for T. Splitter
4:04.0,,,41-38,,M. Ginobili enters the game for M. Belinelli
3:50.0,J. Redick misses 2-pt shot from 6 ft,,41-38,,
3:49.0,,,41-38,,Defensive rebound by T. Duncan
3:41.0,,,41-40,2,M. Ginobili makes 2-pt shot from 1 ft
3:39.0,LA Clippers full timeout,,41-40,,
3:24.0,,,41-40,,Personal foul by M. Ginobili (drawn by B. Griffin)
3:10.0,C. Paul makes 3-pt shot from 25 ft (assist by B. Griffin),3,44-40,,
2:46.0,,,44-42,2,M. Ginobili makes 2-pt shot from 3 ft (assist by K. Leonard)
2:39.0,M. Barnes misses 3-pt shot from 25 ft,,44-42,,
2:36.0,,,44-42,,Defensive rebound by B. Diaw
2:22.0,,,44-42,,Turnover by M. Ginobili (bad pass; steal by J. Redick)
2:13.0,J. Redick makes 2-pt shot from 1 ft (assist by C. Paul),2,46-42,,
1:57.0,,,46-45,3,K. Leonard makes 3-pt shot from 24 ft (assist by M. Ginobili)
1:38.0,Shooting foul by T. Duncan (drawn by J. Redick),,46-45,,
1:38.0,J. Redick makes free throw 1 of 2,1,47-45,,
1:38.0,J. Crawford enters the game for B. Griffin,,47-45,,
1:38.0,G. Davis enters the game for M. Barnes,,47-45,,
1:38.0,J. Redick makes free throw 2 of 2,1,48-45,,
1:22.0,,,48-45,,T. Parker misses 3-pt shot from 23 ft
1:21.0,Defensive rebound by D. Jordan,,48-45,,
1:14.0,C. Paul makes 3-pt shot from 24 ft,3,51-45,,
0:54.0,,,51-47,2,T. Parker makes 2-pt shot from 2 ft (assist by B. Diaw)
0:34.0,C. Paul misses 3-pt shot from 25 ft,,51-47,,
0:33.0,,,51-47,,Defensive rebound by M. Ginobili
0:27.0,,,51-47,,Turnover by M. Ginobili (lost ball; steal by D. Jordan)
0:24.0,LA Clippers full timeout,,51-47,,
0:24.0,M. Barnes enters the game for D. Jordan,,51-47,,
0:24.0,,,51-47,,D. Green enters the game for T. Duncan
0:24.0,B. Griffin enters the game for G. Davis,,51-47,,
0:04.0,J. Crawford misses 2-pt shot from 20 ft,,51-47,,
0:03.0,,,51-47,,Defensive rebound by M. Ginobili
0:02.0,Personal foul by M. Barnes (drawn by M. Ginobili),,51-47,,
0:02.0,D. Jordan enters the game for M. Barnes,,51-47,,
0:02.0,A. Rivers enters the game for B. Griffin,,51-47,,
0:00.0,,,51-47,,T. Parker misses 3-pt shot from 28 ft
0:00.0,,,51-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,Turnover by Team (shot clock),,51-47,,
11:16.0,,,51-49,2,T. Duncan makes 2-pt shot from 4 ft (assist by D. Green)
11:07.0,B. Griffin makes 2-pt shot from 2 ft (assist by D. Jordan),2,53-49,,
10:42.0,,,53-49,,T. Duncan misses 2-pt shot from 8 ft
10:41.0,Defensive rebound by B. Griffin,,53-49,,
10:35.0,C. Paul misses 2-pt shot from 16 ft,,53-49,,
10:34.0,,,53-49,,Defensive rebound by K. Leonard
10:26.0,,,53-49,,K. Leonard misses 2-pt shot from 12 ft
10:24.0,,,53-49,,Offensive rebound by K. Leonard
10:15.0,,,53-51,2,T. Parker makes 2-pt shot from 2 ft
9:57.0,C. Paul misses 2-pt shot from 2 ft,,53-51,,
9:57.0,,,53-51,,Defensive rebound by T. Splitter
9:46.0,,,53-51,,T. Parker misses 2-pt shot from 19 ft
9:45.0,Defensive rebound by D. Jordan,,53-51,,
9:37.0,B. Griffin makes 2-pt shot from 5 ft (assist by C. Paul),2,55-51,,
9:37.0,Shooting foul by T. Splitter (drawn by B. Griffin),,55-51,,
9:37.0,,,55-51,,B. Diaw enters the game for T. Splitter
9:37.0,B. Griffin makes free throw 1 of 1,1,56-51,,
9:23.0,,,56-51,,Turnover by D. Green (bad pass)
9:09.0,,,56-51,,Personal foul by T. Parker (drawn by C. Paul)
8:56.0,M. Barnes misses 3-pt shot from 25 ft,,56-51,,
8:55.0,Offensive rebound by D. Jordan,,56-51,,
8:55.0,D. Jordan misses 2-pt shot from 2 ft (block by T. Duncan),,56-51,,
8:54.0,,,56-51,,Defensive rebound by T. Duncan
8:48.0,Personal foul by C. Paul (drawn by T. Parker),,56-51,,
8:35.0,,,56-51,,K. Leonard misses 2-pt shot from 14 ft
8:34.0,,,56-51,,Offensive rebound by T. Duncan
8:34.0,,,56-53,2,T. Duncan makes 2-pt shot from 1 ft
8:23.0,M. Barnes misses 2-pt shot from 6 ft (block by K. Leonard),,56-53,,
8:21.0,,,56-53,,Defensive rebound by K. Leonard
8:16.0,,,56-53,,Shooting foul by J. Redick (drawn by T. Duncan)
8:16.0,,,56-54,1,T. Duncan makes free throw 1 of 2
8:16.0,,,56-54,,P. Mills enters the game for T. Parker
