time,Cleveland,pts.away,score,pts.home,Memphis
3:30.0,,,16-13,,Defensive rebound by J. Green
3:16.0,,,16-13,,Z. Randolph misses 2-pt shot at rim
3:15.0,Defensive rebound by I. Shumpert,,16-13,,
3:05.0,K. Irving misses 2-pt shot from 2 ft (block by V. Carter),,16-13,,
3:02.0,,,16-13,,Defensive rebound by M. Conley
2:52.0,,,16-15,2,Z. Randolph makes 2-pt shot from 6 ft
2:35.0,,,16-15,,Personal foul by J. Green (drawn by J. Smith)
2:35.0,Cleveland full timeout,,16-15,,
2:35.0,,,16-15,,K. Koufos enters the game for M. Gasol
2:26.0,K. Love makes 2-pt shot at rim (assist by I. Shumpert),2,18-15,,
2:11.0,,,18-15,,J. Green misses 2-pt shot from 1 ft (block by I. Shumpert)
2:09.0,Defensive rebound by K. Love,,18-15,,
1:59.0,I. Shumpert misses 2-pt shot from 18 ft,,18-15,,
1:57.0,,,18-15,,Defensive rebound by J. Green
1:40.0,,,18-15,,J. Green misses 3-pt shot from 22 ft
1:39.0,Defensive rebound by K. Love,,18-15,,
1:28.0,K. Irving makes 2-pt shot at rim,2,20-15,,
1:13.0,,,20-17,2,M. Conley makes 2-pt shot from 7 ft
1:00.0,K. Irving misses 3-pt shot from 26 ft,,20-17,,
0:59.0,,,20-17,,Defensive rebound by K. Koufos
0:54.0,,,20-19,2,J. Green makes 2-pt shot at rim (assist by M. Conley)
0:34.0,K. Irving makes 2-pt shot from 20 ft,2,22-19,,
0:25.0,,,22-19,,Turnover by M. Conley (bad pass; steal by J. Smith)
0:03.0,K. Irving misses 2-pt shot from 1 ft,,22-19,,
0:02.0,,,22-19,,Defensive rebound by Z. Randolph
0:00.0,,,22-19,,Z. Randolph misses 3-pt shot from 55 ft
0:00.0,,,22-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,22-19,,Shooting foul by L. James (drawn by J. Green)
11:37.0,,,22-20,1,J. Green makes free throw 1 of 2
11:37.0,,,22-20,,J. Green misses free throw 2 of 2
11:37.0,Defensive rebound by T. Thompson,,22-20,,
11:25.0,T. Mozgov misses 2-pt shot from 18 ft,,22-20,,
11:25.0,Offensive rebound by Team,,22-20,,
11:25.0,,,22-20,,Loose ball foul by V. Carter (drawn by T. Thompson)
11:12.0,I. Shumpert makes 2-pt shot from 15 ft,2,24-20,,
10:55.0,,,24-22,2,B. Udrih makes 2-pt shot from 17 ft (assist by N. Calathes)
10:44.0,Shooting foul by J. Green (drawn by L. James),,24-22,,
10:44.0,L. James makes free throw 1 of 2,1,25-22,,
10:44.0,L. James makes free throw 2 of 2,1,26-22,,
10:28.0,,,26-22,,V. Carter misses 3-pt shot from 24 ft
10:27.0,Defensive rebound by T. Thompson,,26-22,,
10:18.0,L. James makes 3-pt shot from 26 ft,3,29-22,,
10:01.0,,,29-22,,B. Udrih misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by T. Mozgov,,29-22,,
9:51.0,L. James misses 3-pt shot from 26 ft,,29-22,,
9:49.0,,,29-22,,Defensive rebound by J. Green
9:42.0,,,29-22,,Shooting foul by T. Mozgov (drawn by J. Green)
9:42.0,,,29-23,1,J. Green makes free throw 1 of 2
9:42.0,,,29-23,,T. Allen enters the game for N. Calathes
9:42.0,,,29-24,1,J. Green makes free throw 2 of 2
9:27.0,M. Dellavedova makes 3-pt shot from 26 ft,3,32-24,,
9:10.0,,,32-24,,J. Green misses 2-pt shot from 6 ft
9:09.0,Defensive rebound by T. Mozgov,,32-24,,
9:00.0,Turnover by T. Mozgov (bad pass; steal by J. Green),,32-24,,
8:56.0,Personal foul by M. Dellavedova (drawn by B. Udrih),,32-24,,
8:56.0,,,32-24,,Memphis full timeout
8:45.0,,,32-24,,T. Allen misses 2-pt shot from 1 ft (block by T. Mozgov)
8:43.0,Defensive rebound by T. Thompson,,32-24,,
8:36.0,L. James misses 2-pt shot from 3 ft (block by J. Green),,32-24,,
8:34.0,,,32-24,,Defensive rebound by B. Udrih
8:31.0,,,32-24,,T. Allen misses 2-pt shot from 1 ft
8:27.0,Defensive rebound by T. Thompson,,32-24,,
8:08.0,L. James misses 2-pt shot from 18 ft,,32-24,,
8:07.0,Offensive rebound by Team,,32-24,,
8:07.0,,,32-24,,Loose ball foul by V. Carter (drawn by T. Thompson)
8:01.0,L. James misses 3-pt shot from 24 ft,,32-24,,
8:00.0,Offensive rebound by T. Mozgov,,32-24,,
7:58.0,T. Mozgov makes 2-pt shot at rim,2,34-24,,
7:43.0,,,34-26,2,B. Udrih makes 2-pt shot from 14 ft
7:29.0,T. Mozgov makes 2-pt shot at rim (assist by M. Dellavedova),2,36-26,,
7:15.0,,,36-26,,T. Allen misses 2-pt shot from 1 ft
7:14.0,,,36-26,,Offensive rebound by T. Allen
7:14.0,,,36-28,2,T. Allen makes 2-pt shot from 1 ft
7:00.0,M. Dellavedova misses 2-pt shot from 9 ft (block by K. Koufos),,36-28,,
6:59.0,,,36-28,,Defensive rebound by B. Udrih
6:57.0,,,36-28,,Turnover by B. Udrih (bad pass; steal by I. Shumpert)
6:52.0,M. Dellavedova misses 3-pt shot from 23 ft,,36-28,,
6:50.0,,,36-28,,Defensive rebound by T. Allen
6:39.0,,,36-30,2,K. Koufos makes 2-pt shot from 6 ft (assist by T. Allen)
6:14.0,I. Shumpert misses 3-pt shot from 25 ft,,36-30,,
6:13.0,,,36-30,,Defensive rebound by K. Koufos
6:01.0,Personal foul by T. Thompson (drawn by V. Carter),,36-30,,
6:01.0,,,36-30,,M. Gasol enters the game for K. Koufos
6:01.0,K. Love enters the game for T. Mozgov,,36-30,,
6:01.0,K. Irving enters the game for M. Dellavedova,,36-30,,
5:56.0,,,36-30,,M. Gasol misses 2-pt shot from 2 ft
5:55.0,Defensive rebound by I. Shumpert,,36-30,,
5:44.0,K. Irving makes 2-pt shot from 13 ft,2,38-30,,
5:37.0,,,38-30,,Memphis full timeout
5:37.0,,,38-30,,C. Lee enters the game for V. Carter
5:37.0,,,38-30,,M. Conley enters the game for B. Udrih
5:37.0,J. Smith enters the game for L. James,,38-30,,
5:24.0,,,38-32,2,M. Gasol makes 2-pt shot at rim
5:06.0,K. Irving misses 2-pt shot from 20 ft,,38-32,,
5:04.0,,,38-32,,Defensive rebound by T. Allen
4:55.0,,,38-32,,M. Conley misses 3-pt shot from 25 ft
4:54.0,,,38-32,,Offensive rebound by M. Gasol
4:48.0,,,38-34,2,M. Gasol makes 2-pt shot from 17 ft
4:32.0,J. Smith makes 2-pt shot from 19 ft (assist by K. Love),2,40-34,,
4:11.0,Def 3 sec tech foul by J. Smith,,40-34,,
4:11.0,,,40-34,,C. Lee misses technical free throw
4:11.0,,,40-34,,Offensive rebound by Team
4:04.0,,,40-36,2,J. Green makes 2-pt shot at rim
3:43.0,K. Irving makes 3-pt shot from 23 ft (assist by K. Love),3,43-36,,
3:30.0,,,43-36,,M. Gasol misses 2-pt shot from 1 ft
3:29.0,Defensive rebound by K. Love,,43-36,,
3:29.0,,,43-36,,Personal foul by J. Green (drawn by K. Love)
3:29.0,T. Mozgov enters the game for T. Thompson,,43-36,,
3:29.0,,,43-36,,Z. Randolph enters the game for J. Green
3:13.0,J. Smith misses 2-pt shot from 8 ft (block by M. Gasol),,43-36,,
3:13.0,Jump ball: M. Gasol vs. J. Smith (K. Irving gains possession),,,,Jump ball: M. Gasol vs. J. Smith (K. Irving gains possession)
3:13.0,Offensive rebound by Team,,43-36,,
3:08.0,K. Love misses 3-pt shot from 23 ft,,43-36,,
3:08.0,,,43-36,,Defensive rebound by Team
3:08.0,Personal foul by T. Mozgov (drawn by M. Gasol),,43-36,,
3:08.0,,,43-37,1,M. Gasol makes free throw 1 of 2
3:08.0,L. James enters the game for I. Shumpert,,43-37,,
3:08.0,,,43-37,,M. Gasol misses free throw 2 of 2
3:06.0,Defensive rebound by K. Irving,,43-37,,
2:58.0,Cleveland full timeout,,43-37,,
2:42.0,L. James makes 3-pt shot from 25 ft,3,46-37,,
2:18.0,,,46-40,3,T. Allen makes 3-pt shot from 23 ft (assist by M. Conley)
2:00.0,T. Mozgov misses 2-pt shot at rim,,46-40,,
1:59.0,Offensive rebound by Team,,46-40,,
1:59.0,,,46-40,,Loose ball foul by M. Gasol (drawn by T. Mozgov)
1:59.0,T. Mozgov makes free throw 1 of 2,1,47-40,,
1:59.0,T. Mozgov makes free throw 2 of 2,1,48-40,,
1:50.0,,,48-40,,Z. Randolph misses 2-pt shot from 19 ft
1:49.0,Defensive rebound by L. James,,48-40,,
1:38.0,K. Irving misses 2-pt shot from 13 ft,,48-40,,
1:36.0,,,48-40,,Defensive rebound by T. Allen
1:28.0,,,48-40,,M. Gasol misses 2-pt shot from 2 ft (block by J. Smith)
1:26.0,Defensive rebound by J. Smith,,48-40,,
1:22.0,K. Love makes 2-pt shot at rim (assist by J. Smith),2,50-40,,
1:01.0,Personal foul by J. Smith (drawn by M. Gasol),,50-40,,
1:01.0,,,50-41,1,M. Gasol makes free throw 1 of 2
1:01.0,T. Thompson enters the game for T. Mozgov,,50-41,,
1:01.0,,,50-42,1,M. Gasol makes free throw 2 of 2
0:45.0,J. Smith misses 3-pt shot from 24 ft,,50-42,,
0:44.0,Offensive rebound by T. Thompson,,50-42,,
0:39.0,K. Irving makes 2-pt shot from 16 ft (assist by T. Thompson),2,52-42,,
0:27.0,,,52-42,,M. Gasol misses 2-pt shot from 9 ft
0:26.0,,,52-42,,Offensive rebound by T. Allen
0:21.0,,,52-42,,Z. Randolph misses 2-pt shot at rim
0:20.0,Defensive rebound by Team,,52-42,,
0:20.0,Cleveland full timeout,,52-42,,
0:20.0,,,52-42,,N. Calathes enters the game for M. Conley
0:01.0,K. Irving makes 2-pt shot from 7 ft,2,54-42,,
0:01.0,Shooting foul by C. Lee (drawn by K. Irving),,54-42,,
0:01.0,I. Shumpert enters the game for L. James,,54-42,,
0:01.0,,,54-42,,M. Conley enters the game for T. Allen
0:01.0,K. Irving makes free throw 1 of 1,1,55-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,55-45,3,M. Conley makes 3-pt shot from 25 ft (assist by M. Gasol)
11:28.0,,,55-45,,Personal foul by T. Allen (drawn by L. James)
11:14.0,Turnover by L. James (bad pass; steal by C. Lee),,55-45,,
11:10.0,,,55-45,,T. Allen misses 2-pt shot at rim
11:09.0,Defensive rebound by L. James,,55-45,,
10:57.0,,,55-45,,Personal foul by C. Lee (drawn by K. Love)
10:42.0,L. James misses 2-pt shot from 19 ft,,55-45,,
10:41.0,,,55-45,,Defensive rebound by M. Gasol
10:41.0,Personal foul by T. Mozgov (drawn by M. Gasol),,55-45,,
10:25.0,,,55-45,,C. Lee misses 3-pt shot from 23 ft
10:24.0,Defensive rebound by K. Love,,55-45,,
10:19.0,J. Smith makes 2-pt shot at rim (assist by L. James),2,57-45,,
10:07.0,,,57-47,2,M. Gasol makes 2-pt shot from 5 ft (assist by Z. Randolph)
9:52.0,K. Irving misses 3-pt shot from 26 ft,,57-47,,
9:51.0,Offensive rebound by T. Mozgov,,57-47,,
9:47.0,K. Love makes 2-pt shot from 20 ft (assist by T. Mozgov),2,59-47,,
9:46.0,,,59-47,,Memphis full timeout
9:46.0,,,59-47,,Technical foul by V. Carter
9:46.0,,,59-47,,Technical foul by V. Carter
9:46.0,K. Irving misses technical free throw,,59-47,,
9:46.0,,,59-47,,Offensive rebound by Team
9:46.0,K. Irving makes technical free throw,1,60-47,,
9:30.0,,,60-50,3,M. Conley makes 3-pt shot from 24 ft (assist by C. Lee)
9:15.0,K. Love makes 2-pt shot from 18 ft (assist by K. Irving),2,62-50,,
9:03.0,,,62-50,,Shooting foul by J. Smith (drawn by Z. Randolph)
9:03.0,,,62-50,,Z. Randolph misses free throw 1 of 2
9:03.0,,,62-50,,Offensive rebound by Team
9:03.0,,,62-51,1,Z. Randolph makes free throw 2 of 2
8:51.0,Turnover by K. Irving (3 sec),,62-51,,
8:40.0,,,62-51,,Z. Randolph misses 2-pt shot from 13 ft
8:37.0,Defensive rebound by L. James,,62-51,,
8:28.0,K. Love makes 2-pt shot at rim (assist by T. Mozgov),2,64-51,,
8:10.0,,,64-53,2,M. Gasol makes 2-pt shot from 4 ft
8:03.0,Turnover by K. Irving (lost ball; steal by M. Gasol),,64-53,,
7:55.0,,,64-53,,C. Lee misses 3-pt shot from 23 ft
7:54.0,Defensive rebound by L. James,,64-53,,
7:32.0,L. James makes 3-pt shot from 22 ft (assist by J. Smith),3,67-53,,
7:12.0,,,67-53,,C. Lee misses 3-pt shot from 26 ft
7:10.0,Defensive rebound by T. Mozgov,,67-53,,
7:00.0,,,67-53,,Personal foul by C. Lee (drawn by K. Irving)
7:00.0,,,67-53,,J. Green enters the game for Z. Randolph
7:00.0,M. Dellavedova enters the game for K. Irving,,67-53,,
6:46.0,K. Love makes 2-pt shot from 7 ft (assist by J. Smith),2,69-53,,
6:31.0,Jump ball: T. Allen vs. L. James (T. Mozgov gains possession),,,,Jump ball: T. Allen vs. L. James (T. Mozgov gains possession)
6:31.0,,,69-53,,Turnover by T. Allen (lost ball)
6:11.0,T. Mozgov makes 2-pt shot at rim (assist by K. Love),2,71-53,,
6:11.0,,,71-53,,Memphis full timeout
6:11.0,,,71-53,,N. Calathes enters the game for C. Lee
5:57.0,,,71-53,,T. Allen misses 2-pt shot from 2 ft
5:57.0,Defensive rebound by K. Love,,71-53,,
5:38.0,M. Dellavedova makes 3-pt shot from 25 ft (assist by J. Smith),3,74-53,,
5:22.0,,,74-53,,N. Calathes misses 3-pt shot from 25 ft
5:21.0,Defensive rebound by K. Love,,74-53,,
5:13.0,J. Smith makes 3-pt shot from 26 ft (assist by L. James),3,77-53,,
4:52.0,,,77-53,,N. Calathes misses 2-pt shot at rim
4:51.0,Defensive rebound by T. Mozgov,,77-53,,
4:47.0,Shooting foul by M. Gasol (drawn by T. Mozgov),,77-53,,
4:47.0,T. Mozgov makes free throw 1 of 2,1,78-53,,
4:47.0,T. Mozgov makes free throw 2 of 2,1,79-53,,
4:34.0,,,79-55,2,M. Conley makes 2-pt shot from 1 ft
4:22.0,K. Love makes 2-pt shot at rim (assist by L. James),2,81-55,,
4:09.0,,,81-55,,J. Green misses 3-pt shot from 25 ft
4:08.0,Defensive rebound by Team,,81-55,,
4:08.0,K. Irving enters the game for L. James,,81-55,,
3:51.0,T. Mozgov makes 2-pt shot at rim (assist by M. Dellavedova),2,83-55,,
3:28.0,,,83-55,,M. Conley misses 2-pt shot from 6 ft
3:27.0,Defensive rebound by K. Love,,83-55,,
3:15.0,Turnover by T. Mozgov (step out of bounds),,83-55,,
3:15.0,,,83-55,,B. Udrih enters the game for M. Conley
3:02.0,,,83-55,,T. Allen misses 2-pt shot at rim
3:01.0,Defensive rebound by K. Love,,83-55,,
2:41.0,Turnover by K. Love (bad pass; steal by M. Gasol),,83-55,,
2:35.0,,,83-57,2,B. Udrih makes 2-pt shot from 17 ft (assist by N. Calathes)
2:33.0,Cleveland full timeout,,83-57,,
2:33.0,T. Thompson enters the game for K. Love,,83-57,,
2:33.0,J. Jones enters the game for T. Mozgov,,83-57,,
2:33.0,,,83-57,,J. Adams enters the game for T. Allen
2:21.0,J. Jones misses 3-pt shot from 25 ft,,83-57,,
2:20.0,,,83-57,,Defensive rebound by N. Calathes
2:05.0,,,83-57,,J. Green misses 2-pt shot from 18 ft
2:04.0,Defensive rebound by T. Thompson,,83-57,,
1:52.0,M. Dellavedova makes 3-pt shot from 23 ft (assist by K. Irving),3,86-57,,
1:36.0,Personal foul by T. Thompson (drawn by M. Gasol),,86-57,,
1:36.0,I. Shumpert enters the game for J. Smith,,86-57,,
1:21.0,,,86-59,2,B. Udrih makes 2-pt shot from 16 ft
1:03.0,K. Irving misses 3-pt shot from 26 ft,,86-59,,
1:02.0,,,86-59,,Defensive rebound by Team
0:52.0,,,86-61,2,B. Udrih makes 2-pt shot from 13 ft (assist by M. Gasol)
0:52.0,,,86-61,,Shooting foul by M. Dellavedova (drawn by B. Udrih)
0:52.0,,,86-62,1,B. Udrih makes free throw 1 of 1
0:39.0,K. Irving makes 3-pt shot from 24 ft (assist by M. Dellavedova),3,89-62,,
0:29.0,,,89-64,2,B. Udrih makes 2-pt shot from 15 ft
0:11.0,K. Irving misses 3-pt shot from 25 ft,,89-64,,
0:10.0,,,89-64,,Defensive rebound by J. Green
0:05.0,,,89-66,2,J. Green makes 2-pt shot at rim
0:00.0,K. Irving makes 2-pt shot at rim (assist by M. Dellavedova),2,91-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,L. James misses 2-pt shot from 18 ft,,91-66,,
11:36.0,Offensive rebound by T. Thompson,,91-66,,
11:30.0,I. Shumpert misses 3-pt shot from 23 ft,,91-66,,
11:29.0,Offensive rebound by T. Thompson,,91-66,,
11:23.0,Turnover by T. Thompson (bad pass; steal by N. Calathes),,91-66,,
11:16.0,,,91-66,,J. Green misses 2-pt shot from 8 ft
11:14.0,Defensive rebound by K. Irving,,91-66,,
10:54.0,Turnover by K. Irving (bad pass; steal by K. Koufos),,91-66,,
10:50.0,,,91-68,2,N. Calathes makes 2-pt shot from 1 ft (assist by B. Udrih)
10:46.0,,,91-68,,Violation by Team (delay of game)
10:24.0,K. Irving misses 3-pt shot from 22 ft,,91-68,,
10:24.0,Offensive rebound by Team,,91-68,,
10:24.0,,,91-68,,Loose ball foul by J. Green (drawn by T. Thompson)
10:13.0,J. Jones misses 3-pt shot from 23 ft,,91-68,,
10:10.0,Offensive rebound by J. Jones,,91-68,,
9:49.0,Offensive charge foul by K. Irving,,91-68,,
9:49.0,Turnover by K. Irving (offensive foul),,91-68,,
9:39.0,,,91-68,,J. Green misses 2-pt shot from 1 ft
9:37.0,Defensive rebound by T. Thompson,,91-68,,
9:30.0,T. Thompson makes 2-pt shot from 4 ft,2,93-68,,
9:13.0,,,93-70,2,N. Calathes makes 2-pt shot at rim (assist by J. Green)
8:48.0,L. James makes 2-pt shot at rim,2,95-70,,
8:37.0,,,95-70,,B. Udrih misses 2-pt shot from 12 ft
8:36.0,Defensive rebound by T. Thompson,,95-70,,
8:18.0,I. Shumpert misses 3-pt shot from 23 ft,,95-70,,
8:17.0,,,95-70,,Defensive rebound by N. Calathes
8:08.0,Personal foul by J. Jones (drawn by K. Koufos),,95-70,,
8:08.0,,,95-70,,Memphis full timeout
8:08.0,K. Love enters the game for J. Jones,,95-70,,
7:59.0,,,95-72,2,K. Koufos makes 2-pt shot at rim (assist by N. Calathes)
7:40.0,Turnover by K. Love (traveling),,95-72,,
7:40.0,Violation by Team (delay of game),,95-72,,
7:18.0,,,95-72,,N. Calathes misses 2-pt shot from 16 ft
7:16.0,Defensive rebound by I. Shumpert,,95-72,,
7:05.0,I. Shumpert misses 3-pt shot from 23 ft,,95-72,,
7:04.0,,,95-72,,Defensive rebound by N. Calathes
6:57.0,,,95-74,2,B. Udrih makes 2-pt shot from 13 ft (assist by N. Calathes)
6:30.0,L. James makes 2-pt shot from 16 ft,2,97-74,,
6:22.0,Personal foul by I. Shumpert (drawn by J. Adams),,97-74,,
6:22.0,J. Smith enters the game for I. Shumpert,,97-74,,
6:12.0,,,97-74,,N. Calathes misses 3-pt shot from 25 ft
6:11.0,Defensive rebound by L. James,,97-74,,
5:59.0,K. Love makes 3-pt shot from 24 ft (assist by J. Smith),3,100-74,,
5:41.0,Personal foul by K. Irving (drawn by B. Udrih),,100-74,,
5:41.0,,,100-74,,Memphis full timeout
5:41.0,I. Shumpert enters the game for L. James,,100-74,,
5:41.0,,,100-74,,J. Green enters the game for J. Green
5:26.0,,,100-74,,Turnover by B. Udrih (lost ball; steal by K. Irving)
5:22.0,I. Shumpert misses 2-pt shot at rim,,100-74,,
5:19.0,Offensive rebound by K. Irving,,100-74,,
5:17.0,J. Smith misses 3-pt shot from 26 ft,,100-74,,
5:17.0,,,100-74,,Defensive rebound by J. Adams
5:17.0,Loose ball foul by T. Thompson (drawn by K. Koufos),,100-74,,
5:03.0,,,100-74,,B. Udrih misses 3-pt shot from 25 ft
5:02.0,,,100-74,,Offensive rebound by K. Koufos
5:02.0,,,100-76,2,K. Koufos makes 2-pt shot at rim
4:37.0,J. Smith makes 3-pt shot from 25 ft (assist by I. Shumpert),3,103-76,,
4:23.0,,,103-76,,J. Adams misses 2-pt shot from 19 ft
4:22.0,Defensive rebound by T. Thompson,,103-76,,
4:06.0,K. Irving misses 2-pt shot from 6 ft,,103-76,,
4:04.0,Offensive rebound by K. Love,,103-76,,
4:01.0,Turnover by K. Love (lost ball; steal by J. Adams),,103-76,,
3:56.0,,,103-78,2,K. Koufos makes 2-pt shot from 6 ft (assist by J. Adams)
3:53.0,Cleveland full timeout,,103-78,,
3:53.0,,,103-78,,J. Leuer enters the game for K. Koufos
3:53.0,M. Dellavedova enters the game for K. Love,,103-78,,
3:53.0,K. Perkins enters the game for K. Irving,,103-78,,
3:53.0,M. Miller enters the game for T. Thompson,,103-78,,
3:40.0,K. Perkins misses 2-pt shot at rim,,103-78,,
3:40.0,Offensive rebound by K. Perkins,,103-78,,
3:40.0,Turnover by K. Perkins (traveling),,103-78,,
3:31.0,,,103-80,2,N. Calathes makes 2-pt shot from 6 ft
3:12.0,J. Smith makes 3-pt shot from 25 ft,3,106-80,,
2:55.0,,,106-80,,J. Adams misses 2-pt shot from 12 ft
2:54.0,Defensive rebound by K. Perkins,,106-80,,
2:42.0,,,106-80,,Personal foul by N. Calathes (drawn by M. Dellavedova)
2:42.0,S. Marion enters the game for J. Smith,,106-80,,
2:27.0,K. Perkins makes 2-pt shot from 14 ft (assist by I. Shumpert),2,108-80,,
2:11.0,,,108-80,,J. Green misses 2-pt shot from 20 ft
2:10.0,,,108-80,,Offensive rebound by J. Adams
2:08.0,,,108-82,2,J. Adams makes 2-pt shot from 1 ft
1:40.0,I. Shumpert makes 3-pt shot from 26 ft (assist by S. Marion),3,111-82,,
1:24.0,,,111-84,2,J. Green makes 2-pt shot at rim (assist by N. Calathes)
1:10.0,Turnover by K. Perkins (bad pass),,111-84,,
1:00.0,Personal foul by M. Miller (drawn by J. Green),,111-84,,
1:00.0,,,111-85,1,J. Green makes free throw 1 of 2
1:00.0,,,111-86,1,J. Green makes free throw 2 of 2
0:47.0,Turnover by S. Marion (lost ball),,111-86,,
0:28.0,,,111-86,,J. Adams misses 3-pt shot from 23 ft
0:27.0,,,111-86,,Offensive rebound by J. Green
0:19.0,,,111-89,3,J. Adams makes 3-pt shot from 24 ft
0:00.0,End of 4th quarter,,,,End of 4th quarter
