time,San Antonio,pts.away,score,pts.home,New York
2:32.0,Defensive rebound by T. Splitter,,22-20,,
2:19.0,K. Leonard makes 3-pt shot from 25 ft (assist by B. Diaw),3,25-20,,
2:04.0,,,25-20,,S. Larkin misses 2-pt shot from 16 ft
2:03.0,Defensive rebound by M. Belinelli,,25-20,,
1:50.0,K. Leonard misses 2-pt shot from 9 ft,,25-20,,
1:48.0,,,25-20,,Defensive rebound by C. Aldrich
1:39.0,,,25-20,,A. Shved misses 2-pt shot from 1 ft
1:38.0,Defensive rebound by B. Diaw,,25-20,,
1:30.0,Turnover by P. Mills (bad pass; steal by S. Larkin),,25-20,,
1:24.0,,,25-20,,A. Shved misses 2-pt shot from 2 ft
1:23.0,Defensive rebound by M. Belinelli,,25-20,,
1:06.0,P. Mills misses 3-pt shot from 25 ft,,25-20,,
1:05.0,Offensive rebound by T. Splitter,,25-20,,
1:03.0,,,25-20,,Personal foul by C. Aldrich (drawn by T. Splitter)
1:03.0,,,25-20,,L. Galloway enters the game for A. Shved
0:59.0,Shooting foul by T. Wear (drawn by K. Leonard),,25-20,,
0:59.0,K. Leonard makes free throw 1 of 2,1,26-20,,
0:59.0,K. Leonard makes free throw 2 of 2,1,27-20,,
0:43.0,,,27-22,2,S. Larkin makes 2-pt shot from 3 ft (assist by L. Galloway)
0:43.0,,,27-22,,Shooting foul by P. Mills (drawn by S. Larkin)
0:43.0,,,27-23,1,S. Larkin makes free throw 1 of 1
0:36.0,P. Mills misses 2-pt shot from 15 ft (block by S. Larkin),,27-23,,
0:34.0,,,27-23,,Defensive rebound by C. Aldrich
0:22.0,,,27-25,2,L. Galloway makes 2-pt shot from 6 ft
0:05.0,B. Diaw misses 2-pt shot from 4 ft,,27-25,,
0:04.0,Offensive rebound by P. Mills,,27-25,,
0:04.0,P. Mills misses 2-pt shot from 2 ft,,27-25,,
0:02.0,Offensive rebound by T. Splitter,,27-25,,
0:02.0,T. Splitter makes 2-pt shot from 2 ft,2,29-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Shooting foul by S. Larkin (drawn by P. Mills),,29-25,,
11:48.0,P. Mills misses free throw 1 of 2,,29-25,,
11:48.0,Offensive rebound by Team,,29-25,,
11:48.0,D. Green enters the game for M. Belinelli,,29-25,,
11:48.0,P. Mills makes free throw 2 of 2,1,30-25,,
11:24.0,,,30-25,,J. Smith misses 2-pt shot from 15 ft
11:23.0,Defensive rebound by T. Splitter,,30-25,,
11:09.0,P. Mills misses 3-pt shot from 25 ft,,30-25,,
11:08.0,,,30-25,,Defensive rebound by C. Aldrich
10:49.0,,,30-25,,J. Smith misses 2-pt shot from 1 ft
10:48.0,Defensive rebound by T. Splitter,,30-25,,
10:35.0,D. Green misses 3-pt shot from 25 ft,,30-25,,
10:33.0,Offensive rebound by T. Splitter,,30-25,,
10:13.0,K. Leonard misses 2-pt shot from 19 ft,,30-25,,
10:12.0,Offensive rebound by T. Splitter,,30-25,,
10:10.0,B. Diaw misses 3-pt shot from 38 ft,,30-25,,
10:09.0,Offensive rebound by Team,,30-25,,
10:09.0,Turnover by Team (shot clock),,30-25,,
9:52.0,,,30-27,2,J. Smith makes 2-pt shot from 1 ft
9:40.0,B. Diaw makes 2-pt shot at rim (assist by P. Mills),2,32-27,,
9:29.0,,,32-27,,Shooting foul by K. Leonard (drawn by T. Wear)
9:29.0,,,32-28,1,T. Wear makes free throw 1 of 2
9:29.0,M. Bonner enters the game for B. Diaw,,32-28,,
9:29.0,San Antonio full timeout,,32-28,,
9:29.0,,,32-29,1,T. Wear makes free throw 2 of 2
9:14.0,M. Bonner makes 2-pt shot from 8 ft,2,34-29,,
9:03.0,,,34-29,,Offensive foul by T. Wear
9:03.0,,,34-29,,Turnover by T. Wear (offensive foul)
8:50.0,P. Mills misses 2-pt shot from 19 ft,,34-29,,
8:49.0,Offensive rebound by Team,,34-29,,
8:49.0,T. Parker enters the game for P. Mills,,34-29,,
8:41.0,D. Green makes 2-pt shot from 21 ft,2,36-29,,
8:24.0,,,36-29,,J. Smith misses 2-pt shot from 9 ft
8:23.0,Defensive rebound by D. Green,,36-29,,
8:16.0,T. Splitter misses 2-pt shot from 2 ft (block by C. Aldrich),,36-29,,
8:15.0,Offensive rebound by T. Splitter,,36-29,,
8:14.0,Shooting foul by C. Aldrich (drawn by T. Splitter),,36-29,,
8:14.0,T. Splitter makes free throw 1 of 2,1,37-29,,
8:14.0,,,37-29,,A. Bargnani enters the game for C. Aldrich
8:14.0,,,37-29,,A. Shved enters the game for S. Larkin
8:14.0,T. Splitter makes free throw 2 of 2,1,38-29,,
7:56.0,,,38-29,,Turnover by A. Bargnani (bad pass; steal by D. Green)
7:44.0,T. Splitter makes 2-pt shot from 4 ft,2,40-29,,
7:43.0,,,40-29,,New York full timeout
7:43.0,,,40-29,,L. Thomas enters the game for T. Wear
7:24.0,,,40-29,,A. Bargnani misses 2-pt shot from 12 ft
7:23.0,Defensive rebound by D. Green,,40-29,,
7:14.0,T. Splitter makes 2-pt shot from 2 ft (assist by T. Parker),2,42-29,,
6:51.0,,,42-31,2,A. Shved makes 2-pt shot from 2 ft
6:35.0,T. Parker makes 2-pt shot from 5 ft,2,44-31,,
6:19.0,,,44-33,2,A. Shved makes 2-pt shot at rim (assist by A. Bargnani)
5:59.0,T. Splitter misses 2-pt shot at rim,,44-33,,
5:58.0,Offensive rebound by T. Splitter,,44-33,,
5:58.0,T. Splitter misses 2-pt shot at rim,,44-33,,
5:57.0,,,44-33,,Defensive rebound by J. Smith
5:48.0,,,44-33,,J. Smith misses 3-pt shot from 24 ft
5:47.0,Defensive rebound by K. Leonard,,44-33,,
5:34.0,T. Splitter makes 2-pt shot from 4 ft,2,46-33,,
5:13.0,,,46-35,2,L. Thomas makes 2-pt shot from 15 ft (assist by A. Shved)
4:56.0,,,46-35,,Personal foul by L. Thomas (drawn by T. Splitter)
4:56.0,T. Duncan enters the game for T. Splitter,,46-35,,
4:56.0,,,46-35,,L. Amundson enters the game for J. Smith
4:50.0,T. Parker makes 2-pt shot from 4 ft,2,48-35,,
4:34.0,,,48-37,2,A. Shved makes 2-pt shot from 1 ft
4:14.0,T. Duncan misses 2-pt shot from 3 ft,,48-37,,
4:13.0,,,48-37,,Defensive rebound by A. Bargnani
3:58.0,,,48-37,,L. Thomas misses 2-pt shot from 15 ft (block by K. Leonard)
3:57.0,Defensive rebound by Team,,48-37,,
3:57.0,M. Belinelli enters the game for K. Leonard,,48-37,,
3:39.0,M. Bonner misses 2-pt shot from 5 ft,,48-37,,
3:38.0,,,48-37,,Defensive rebound by L. Amundson
3:30.0,,,48-37,,A. Shved misses 3-pt shot from 25 ft
3:29.0,Defensive rebound by T. Parker,,48-37,,
3:21.0,Turnover by T. Parker (bad pass; steal by A. Shved),,48-37,,
3:17.0,Personal foul by M. Belinelli (drawn by A. Shved),,48-37,,
3:17.0,,,48-37,,S. Larkin enters the game for A. Shved
2:58.0,,,48-37,,L. Galloway misses 2-pt shot from 20 ft
2:57.0,Defensive rebound by T. Parker,,48-37,,
2:54.0,,,48-37,,Personal block foul by L. Galloway (drawn by T. Parker)
2:54.0,Official timeout,,48-37,,
2:54.0,C. Joseph enters the game for T. Parker,,48-37,,
2:34.0,D. Green misses 3-pt shot from 25 ft,,48-37,,
2:33.0,,,48-37,,Defensive rebound by L. Amundson
2:23.0,,,48-40,3,L. Galloway makes 3-pt shot from 25 ft
2:01.0,Turnover by M. Belinelli (bad pass; steal by L. Galloway),,48-40,,
1:57.0,,,48-40,,L. Galloway misses 2-pt shot from 2 ft
1:56.0,,,48-40,,Offensive rebound by L. Amundson
1:56.0,,,48-42,2,L. Amundson makes 2-pt shot from 2 ft
1:33.0,T. Duncan makes 2-pt shot from 4 ft,2,50-42,,
1:15.0,,,50-42,,L. Amundson misses 2-pt shot from 13 ft
1:14.0,Defensive rebound by M. Belinelli,,50-42,,
1:05.0,D. Green misses 2-pt shot from 19 ft,,50-42,,
1:04.0,,,50-42,,Defensive rebound by A. Bargnani
0:52.0,,,50-42,,A. Bargnani misses 3-pt shot from 27 ft
0:51.0,Defensive rebound by C. Joseph,,50-42,,
0:33.0,T. Duncan makes 2-pt shot from 4 ft,2,52-42,,
0:26.0,,,52-42,,New York full timeout
0:26.0,B. Diaw enters the game for M. Bonner,,52-42,,
0:26.0,,,52-42,,A. Shved enters the game for S. Larkin
0:16.0,,,52-42,,A. Bargnani misses 2-pt shot from 14 ft
0:14.0,,,52-42,,Offensive rebound by A. Shved
0:10.0,,,52-42,,A. Shved misses 2-pt shot from 3 ft
0:09.0,Defensive rebound by T. Duncan,,52-42,,
0:03.0,C. Joseph misses 2-pt shot from 3 ft (block by A. Bargnani),,52-42,,
0:01.0,,,52-42,,Defensive rebound by L. Amundson
0:00.0,,,52-42,,L. Amundson misses 3-pt shot from 48 ft
0:00.0,,,52-42,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Shooting foul by L. Galloway (drawn by T. Duncan),,52-42,,
11:40.0,T. Duncan makes free throw 1 of 2,1,53-42,,
11:40.0,T. Duncan makes free throw 2 of 2,1,54-42,,
11:26.0,,,54-42,,A. Bargnani misses 2-pt shot from 17 ft
11:25.0,,,54-42,,Offensive rebound by L. Amundson
11:14.0,,,54-44,2,A. Bargnani makes 2-pt shot from 16 ft (assist by A. Shved)
11:07.0,T. Splitter misses 2-pt shot from 1 ft (block by A. Bargnani),,54-44,,
11:06.0,,,54-44,,Defensive rebound by L. Amundson
10:43.0,,,54-44,,Turnover by A. Bargnani (bad pass; steal by T. Parker)
10:34.0,T. Parker misses 2-pt shot at rim (block by L. Amundson),,54-44,,
10:33.0,,,54-44,,Defensive rebound by L. Galloway
10:27.0,,,54-46,2,A. Bargnani makes 2-pt shot from 11 ft (assist by L. Galloway)
10:18.0,Offensive foul by T. Parker,,54-46,,
10:18.0,Turnover by T. Parker (offensive foul),,54-46,,
9:55.0,,,54-46,,L. Galloway misses 2-pt shot from 19 ft
9:54.0,,,54-46,,Offensive rebound by L. Amundson
9:52.0,,,54-46,,L. Amundson misses 2-pt shot from 2 ft (block by D. Green)
9:51.0,,,54-46,,Offensive rebound by L. Amundson
9:38.0,,,54-46,,L. Thomas misses 2-pt shot from 19 ft
9:37.0,Defensive rebound by T. Parker,,54-46,,
9:30.0,T. Splitter makes 2-pt shot at rim (assist by T. Parker),2,56-46,,
9:05.0,,,56-46,,L. Amundson misses 2-pt shot from 6 ft
9:03.0,Defensive rebound by T. Splitter,,56-46,,
8:47.0,D. Green misses 2-pt shot from 14 ft,,56-46,,
8:46.0,,,56-46,,Defensive rebound by L. Amundson
8:38.0,,,56-46,,A. Shved misses 2-pt shot from 4 ft (block by T. Duncan)
8:37.0,Defensive rebound by T. Duncan,,56-46,,
8:28.0,D. Green makes 3-pt shot from 23 ft (assist by T. Parker),3,59-46,,
8:23.0,,,59-46,,New York full timeout
8:23.0,B. Diaw enters the game for T. Splitter,,59-46,,
8:17.0,,,59-49,3,L. Galloway makes 3-pt shot from 25 ft (assist by A. Shved)
8:00.0,B. Diaw misses 2-pt shot from 7 ft,,59-49,,
7:58.0,,,59-49,,Defensive rebound by L. Amundson
7:43.0,,,59-49,,A. Bargnani misses 2-pt shot from 14 ft
7:42.0,,,59-49,,Offensive rebound by L. Amundson
7:42.0,,,59-51,2,L. Amundson makes 2-pt shot from 1 ft
7:27.0,,,59-51,,Personal foul by L. Amundson (drawn by T. Parker)
7:14.0,D. Green misses 2-pt shot at rim,,59-51,,
7:13.0,Offensive rebound by T. Duncan,,59-51,,
7:13.0,T. Duncan makes 2-pt shot from 2 ft,2,61-51,,
6:48.0,,,61-53,2,A. Shved makes 2-pt shot from 1 ft
6:48.0,,,61-53,,Shooting foul by T. Duncan (drawn by A. Shved)
6:48.0,,,61-53,,T. Wear enters the game for L. Thomas
6:48.0,,,61-53,,A. Shved misses free throw 1 of 1
6:47.0,Defensive rebound by T. Duncan,,61-53,,
6:34.0,T. Duncan misses 2-pt shot from 20 ft,,61-53,,
6:33.0,,,61-53,,Defensive rebound by L. Galloway
6:24.0,,,61-55,2,A. Bargnani makes 2-pt shot from 1 ft (assist by L. Galloway)
6:17.0,D. Green makes 2-pt shot from 2 ft (assist by B. Diaw),2,63-55,,
6:17.0,Shooting foul by A. Shved (drawn by D. Green),,63-55,,
6:17.0,D. Green makes free throw 1 of 1,1,64-55,,
6:05.0,,,64-57,2,L. Galloway makes 2-pt shot from 15 ft
5:53.0,Turnover by K. Leonard (lost ball; steal by T. Wear),,64-57,,
5:35.0,,,64-59,2,L. Galloway makes 2-pt shot from 21 ft (assist by T. Wear)
5:20.0,T. Parker misses 2-pt shot from 1 ft (block by L. Amundson),,64-59,,
5:19.0,,,64-59,,Defensive rebound by A. Bargnani
5:15.0,,,64-61,2,L. Galloway makes 2-pt shot from 15 ft
5:14.0,San Antonio full timeout,,64-61,,
4:58.0,K. Leonard misses 2-pt shot from 9 ft,,64-61,,
4:56.0,,,64-61,,Defensive rebound by Team
4:41.0,,,64-61,,T. Wear misses 3-pt shot from 23 ft
4:40.0,Defensive rebound by K. Leonard,,64-61,,
4:33.0,B. Diaw makes 2-pt shot from 2 ft (assist by K. Leonard),2,66-61,,
4:12.0,,,66-63,2,L. Amundson makes 2-pt shot from 11 ft (assist by L. Galloway)
3:55.0,B. Diaw misses 2-pt shot from 19 ft,,66-63,,
3:54.0,,,66-63,,Defensive rebound by T. Wear
3:47.0,,,66-63,,A. Shved misses 3-pt shot from 25 ft
3:46.0,Defensive rebound by D. Green,,66-63,,
3:40.0,Shooting foul by T. Wear (drawn by T. Parker),,66-63,,
3:40.0,T. Parker makes free throw 1 of 2,1,67-63,,
3:40.0,M. Belinelli enters the game for D. Green,,67-63,,
3:40.0,J. Ayres enters the game for T. Duncan,,67-63,,
3:40.0,,,67-63,,J. Smith enters the game for A. Bargnani
3:40.0,T. Parker makes free throw 2 of 2,1,68-63,,
3:20.0,,,68-63,,Turnover by L. Amundson (bad pass; steal by B. Diaw)
3:07.0,B. Diaw makes 2-pt shot from 4 ft,2,70-63,,
2:47.0,,,70-63,,Shooting foul by B. Diaw (drawn by L. Amundson)
2:47.0,,,70-63,,L. Amundson misses free throw 1 of 2
2:47.0,,,70-63,,Offensive rebound by Team
2:47.0,C. Joseph enters the game for T. Parker,,70-63,,
2:47.0,,,70-64,1,L. Amundson makes free throw 2 of 2
2:33.0,M. Belinelli makes 3-pt shot from 25 ft (assist by C. Joseph),3,73-64,,
2:11.0,,,73-64,,J. Smith misses 2-pt shot from 16 ft
2:10.0,Defensive rebound by K. Leonard,,73-64,,
2:00.0,B. Diaw misses 3-pt shot from 24 ft,,73-64,,
1:59.0,Offensive rebound by J. Ayres,,73-64,,
1:52.0,C. Joseph misses 2-pt shot at rim,,73-64,,
1:51.0,Offensive rebound by J. Ayres,,73-64,,
1:51.0,J. Ayres makes 2-pt shot from 2 ft,2,75-64,,
1:26.0,,,75-66,2,A. Shved makes 2-pt shot from 1 ft
1:19.0,K. Leonard misses 2-pt shot from 4 ft,,75-66,,
1:18.0,Offensive rebound by Team,,75-66,,
1:18.0,,,75-66,,C. Aldrich enters the game for L. Amundson
1:18.0,,,75-66,,S. Larkin enters the game for A. Shved
1:18.0,D. Green enters the game for K. Leonard,,75-66,,
1:12.0,Offensive foul by M. Belinelli,,75-66,,
1:12.0,Turnover by M. Belinelli (offensive foul),,75-66,,
1:03.0,,,75-66,,L. Galloway misses 2-pt shot from 17 ft
1:02.0,Defensive rebound by C. Joseph,,75-66,,
0:53.0,J. Ayres misses 2-pt shot from 6 ft,,75-66,,
0:52.0,,,75-66,,Defensive rebound by C. Aldrich
0:32.0,,,75-68,2,L. Galloway makes 2-pt shot from 1 ft
0:19.0,J. Ayres misses 2-pt shot from 1 ft,,75-68,,
0:17.0,,,75-68,,Defensive rebound by J. Smith
0:02.0,,,75-68,,J. Smith misses 2-pt shot from 18 ft
0:00.0,Defensive rebound by M. Belinelli,,75-68,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,75-70,2,T. Wear makes 2-pt shot from 14 ft (assist by A. Shved)
11:33.0,Turnover by D. Green (bad pass; steal by A. Shved),,75-70,,
11:32.0,,,75-70,,New York full timeout
11:14.0,Shooting block foul by J. Ayres (drawn by J. Smith),,75-70,,
11:14.0,,,75-71,1,J. Smith makes free throw 1 of 2
11:14.0,,,75-72,1,J. Smith makes free throw 2 of 2
11:02.0,C. Joseph misses 2-pt shot from 3 ft (block by J. Smith),,75-72,,
11:01.0,Offensive rebound by Team,,75-72,,
10:49.0,D. Green misses 3-pt shot from 23 ft,,75-72,,
10:48.0,,,75-72,,Defensive rebound by A. Shved
10:26.0,,,75-74,2,T. Wear makes 2-pt shot from 17 ft (assist by J. Smith)
10:01.0,B. Diaw misses 2-pt shot from 1 ft,,75-74,,
10:00.0,Offensive rebound by J. Ayres,,75-74,,
10:00.0,J. Ayres makes 2-pt shot at rim,2,77-74,,
9:44.0,,,77-77,3,A. Shved makes 3-pt shot from 24 ft
9:32.0,D. Green misses 2-pt shot from 2 ft (block by C. Aldrich),,77-77,,
9:31.0,Offensive rebound by Team,,77-77,,
9:31.0,T. Splitter enters the game for J. Ayres,,77-77,,
9:31.0,M. Bonner enters the game for B. Diaw,,77-77,,
9:20.0,C. Joseph makes 2-pt shot from 14 ft,2,79-77,,
8:59.0,,,79-77,,Shooting foul by M. Bonner (drawn by C. Aldrich)
8:59.0,Official timeout,,79-77,,
8:59.0,,,79-78,1,C. Aldrich makes free throw 1 of 2
8:59.0,,,79-78,,C. Aldrich misses free throw 2 of 2
8:58.0,Defensive rebound by C. Joseph,,79-78,,
8:43.0,Shooting foul by A. Shved (drawn by M. Belinelli),,79-78,,
8:43.0,M. Belinelli makes free throw 1 of 3,1,80-78,,
8:43.0,M. Belinelli makes free throw 2 of 3,1,81-78,,
8:43.0,T. Parker enters the game for C. Joseph,,81-78,,
8:43.0,M. Belinelli makes free throw 3 of 3,1,82-78,,
8:19.0,,,82-78,,Turnover by Team (shot clock)
8:06.0,Shooting foul by T. Wear (drawn by M. Belinelli),,82-78,,
8:06.0,M. Belinelli makes free throw 1 of 2,1,83-78,,
8:06.0,,,83-78,,L. Galloway enters the game for A. Shved
8:06.0,M. Belinelli makes free throw 2 of 2,1,84-78,,
7:48.0,,,84-80,2,J. Smith makes 2-pt shot from 14 ft (assist by S. Larkin)
7:37.0,D. Green misses 2-pt shot at rim,,84-80,,
7:35.0,,,84-80,,Defensive rebound by L. Galloway
7:29.0,,,84-80,,C. Aldrich misses 2-pt shot from 3 ft
7:28.0,,,84-80,,Offensive rebound by Team
7:28.0,Loose ball foul by M. Belinelli (drawn by J. Smith),,84-80,,
7:17.0,,,84-82,2,L. Galloway makes 2-pt shot from 22 ft
7:04.0,T. Parker misses 3-pt shot from 23 ft,,84-82,,
7:03.0,,,84-82,,Defensive rebound by J. Smith
6:48.0,,,84-84,2,J. Smith makes 2-pt shot from 16 ft (assist by C. Aldrich)
6:31.0,M. Belinelli misses 3-pt shot from 24 ft,,84-84,,
6:30.0,,,84-84,,Defensive rebound by T. Wear
6:07.0,,,84-84,,T. Wear misses 2-pt shot from 21 ft
6:06.0,,,84-84,,Offensive rebound by C. Aldrich
6:02.0,,,84-86,2,C. Aldrich makes 2-pt shot from 4 ft
5:53.0,Shooting foul by S. Larkin (drawn by T. Parker),,84-86,,
5:53.0,,,84-86,,New York full timeout
5:53.0,K. Leonard enters the game for D. Green,,84-86,,
5:53.0,T. Duncan enters the game for M. Bonner,,84-86,,
5:53.0,T. Parker misses free throw 1 of 2,,84-86,,
5:53.0,Offensive rebound by Team,,84-86,,
5:53.0,T. Parker makes free throw 2 of 2,1,85-86,,
5:36.0,,,85-86,,L. Galloway misses 3-pt shot from 25 ft
5:35.0,,,85-86,,Offensive rebound by J. Smith
5:26.0,,,85-88,2,L. Galloway makes 2-pt shot from 19 ft (assist by J. Smith)
4:58.0,T. Parker misses 2-pt shot from 12 ft,,85-88,,
4:57.0,,,85-88,,Defensive rebound by C. Aldrich
4:47.0,,,85-88,,S. Larkin misses 2-pt shot from 8 ft
4:46.0,Defensive rebound by T. Splitter,,85-88,,
4:32.0,T. Parker makes 2-pt shot from 6 ft,2,87-88,,
4:07.0,,,87-90,2,S. Larkin makes 2-pt shot from 3 ft (assist by C. Aldrich)
3:55.0,K. Leonard makes 2-pt shot from 16 ft (assist by T. Duncan),2,89-90,,
3:40.0,,,89-90,,L. Galloway misses 2-pt shot from 11 ft
3:39.0,,,89-90,,Offensive rebound by C. Aldrich
3:39.0,,,89-90,,C. Aldrich misses 2-pt shot from 2 ft
3:38.0,Defensive rebound by K. Leonard,,89-90,,
3:33.0,T. Parker misses 2-pt shot from 9 ft,,89-90,,
3:31.0,,,89-90,,Defensive rebound by T. Wear
3:07.0,,,89-90,,Turnover by Team (shot clock)
3:07.0,San Antonio full timeout,,89-90,,
3:07.0,,,89-90,,L. Amundson enters the game for C. Aldrich
3:07.0,,,89-90,,L. Thomas enters the game for T. Wear
2:54.0,T. Duncan makes 2-pt shot from 6 ft (assist by T. Splitter),2,91-90,,
2:29.0,,,91-92,2,J. Smith makes 2-pt shot from 8 ft
2:12.0,Offensive foul by K. Leonard,,91-92,,
2:12.0,Turnover by K. Leonard (offensive foul),,91-92,,
2:02.0,Violation by T. Splitter (kicked ball),,91-92,,
1:49.0,,,91-92,,Turnover by L. Galloway (lost ball; steal by K. Leonard)
1:40.0,,,91-92,,Violation by L. Amundson (def goaltending)
1:40.0,T. Parker makes 2-pt shot from 1 ft,2,93-92,,
1:40.0,,,93-92,,New York full timeout
1:27.0,,,93-94,2,L. Thomas makes 2-pt shot from 2 ft (assist by S. Larkin)
1:14.0,Shooting foul by L. Thomas (drawn by K. Leonard),,93-94,,
