time,Golden State,pts.away,score,pts.home,Indiana
7:00.0,,,45-41,,S. Hill enters the game for D. Rudez
6:55.0,K. Thompson misses 2-pt shot from 16 ft,,45-41,,
6:51.0,,,45-41,,Defensive rebound by L. Scola
6:33.0,,,45-41,,L. Scola misses 2-pt shot at rim (block by D. Green)
6:33.0,,,45-41,,Offensive rebound by Team
6:31.0,,,45-43,2,R. Hibbert makes 2-pt shot from 16 ft (assist by S. Hill)
6:14.0,S. Livingston misses 2-pt shot from 13 ft,,45-43,,
6:13.0,,,45-43,,Defensive rebound by R. Hibbert
6:01.0,,,45-46,3,C. Watson makes 3-pt shot from 25 ft (assist by L. Scola)
5:37.0,K. Thompson misses 2-pt shot at rim,,45-46,,
5:36.0,Offensive rebound by A. Bogut,,45-46,,
5:36.0,A. Bogut makes 2-pt shot at rim,2,47-46,,
5:16.0,,,47-48,2,L. Scola makes 2-pt shot from 1 ft
4:55.0,A. Bogut misses 2-pt shot from 1 ft (block by R. Hibbert),,47-48,,
4:53.0,,,47-48,,Defensive rebound by C. Watson
4:47.0,,,47-48,,S. Hill misses 3-pt shot from 27 ft
4:47.0,Defensive rebound by Team,,47-48,,
4:47.0,,,47-48,,Loose ball foul by R. Hibbert (drawn by A. Bogut)
4:31.0,Offensive foul by S. Livingston,,47-48,,
4:31.0,Turnover by S. Livingston (offensive foul),,47-48,,
4:22.0,Personal foul by S. Livingston (drawn by C. Watson),,47-48,,
4:18.0,,,47-50,2,G. Hill makes 2-pt shot from 10 ft
4:04.0,K. Thompson makes 2-pt shot from 16 ft,2,49-50,,
3:52.0,,,49-50,,G. Hill misses 2-pt shot from 16 ft
3:51.0,Defensive rebound by S. Livingston,,49-50,,
3:47.0,K. Thompson misses 3-pt shot from 26 ft,,49-50,,
3:45.0,,,49-50,,Defensive rebound by R. Hibbert
3:34.0,Personal foul by H. Barnes (drawn by R. Hibbert),,49-50,,
3:34.0,,,49-51,1,R. Hibbert makes free throw 1 of 2
3:34.0,,,49-52,1,R. Hibbert makes free throw 2 of 2
3:21.0,Offensive foul by A. Bogut,,49-52,,
3:21.0,Turnover by A. Bogut (offensive foul),,49-52,,
3:21.0,M. Speights enters the game for A. Bogut,,49-52,,
3:21.0,A. Iguodala enters the game for H. Barnes,,49-52,,
3:12.0,,,49-52,,Shooting foul by M. Speights (drawn by R. Hibbert)
3:12.0,,,49-53,1,R. Hibbert makes free throw 1 of 2
3:12.0,,,49-53,,D. West enters the game for L. Scola
3:12.0,,,49-54,1,R. Hibbert makes free throw 2 of 2
2:55.0,S. Livingston makes 2-pt shot at rim (assist by M. Speights),2,51-54,,
2:48.0,,,51-54,,Indiana full timeout
2:48.0,,,51-54,,R. Stuckey enters the game for S. Hill
2:48.0,,,51-54,,C. Miles enters the game for C. Watson
2:38.0,,,51-54,,Turnover by D. West (bad pass; steal by M. Speights)
2:34.0,M. Speights misses 2-pt shot from 2 ft (block by C. Miles),,51-54,,
2:34.0,Offensive rebound by Team,,51-54,,
2:14.0,K. Thompson misses 3-pt shot from 25 ft,,51-54,,
2:14.0,Offensive rebound by Team,,51-54,,
2:14.0,Turnover by Team (shot clock),,51-54,,
1:59.0,,,51-54,,G. Hill misses 2-pt shot from 19 ft
1:58.0,Defensive rebound by D. Green,,51-54,,
1:51.0,Shooting foul by R. Hibbert (drawn by M. Speights),,51-54,,
1:51.0,M. Speights makes free throw 1 of 2,1,52-54,,
1:51.0,M. Speights makes free throw 2 of 2,1,53-54,,
1:37.0,,,53-54,,C. Miles misses 2-pt shot from 17 ft
1:36.0,Defensive rebound by K. Thompson,,53-54,,
1:28.0,A. Iguodala misses 3-pt shot from 24 ft,,53-54,,
1:27.0,,,53-54,,Defensive rebound by D. West
1:13.0,,,53-54,,R. Hibbert misses 2-pt shot from 18 ft
1:12.0,Defensive rebound by D. Green,,53-54,,
1:05.0,M. Speights misses 2-pt shot from 6 ft,,53-54,,
1:04.0,Offensive rebound by M. Speights,,53-54,,
1:03.0,M. Speights misses 2-pt shot from 1 ft,,53-54,,
1:02.0,Offensive rebound by S. Livingston,,53-54,,
1:02.0,S. Livingston makes 2-pt shot at rim,2,55-54,,
0:48.0,,,55-56,2,R. Stuckey makes 2-pt shot from 3 ft
0:44.0,Golden State full timeout,,55-56,,
0:44.0,,,55-56,,I. Mahinmi enters the game for R. Hibbert
0:44.0,L. Barbosa enters the game for S. Livingston,,55-56,,
0:34.0,M. Speights misses 2-pt shot from 5 ft,,55-56,,
0:33.0,,,55-56,,Defensive rebound by R. Stuckey
0:30.0,Personal foul by D. Green (drawn by R. Stuckey),,55-56,,
0:30.0,,,55-57,1,R. Stuckey makes free throw 1 of 2
0:30.0,D. Lee enters the game for D. Green,,55-57,,
0:30.0,,,55-57,,C. Watson enters the game for G. Hill
0:30.0,,,55-58,1,R. Stuckey makes free throw 2 of 2
0:12.0,D. Lee misses 2-pt shot from 20 ft,,55-58,,
0:11.0,Offensive rebound by Team,,55-58,,
0:11.0,,,55-58,,Loose ball foul by D. West (drawn by M. Speights)
0:11.0,M. Speights makes free throw 1 of 2,1,56-58,,
0:11.0,,,56-58,,Indiana full timeout
0:11.0,J. Holiday enters the game for L. Barbosa,,56-58,,
0:11.0,M. Speights makes free throw 2 of 2,1,57-58,,
0:01.0,,,57-58,,R. Stuckey misses 2-pt shot from 19 ft
0:00.0,Defensive rebound by M. Speights,,57-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,Personal foul by D. Green (drawn by D. West),,57-58,,
11:27.0,,,57-58,,G. Hill misses 2-pt shot from 10 ft (block by S. Livingston)
11:26.0,Defensive rebound by S. Livingston,,57-58,,
11:05.0,S. Livingston makes 2-pt shot from 13 ft (assist by H. Barnes),2,59-58,,
10:40.0,,,59-58,,G. Hill misses 2-pt shot from 8 ft
10:38.0,Defensive rebound by K. Thompson,,59-58,,
10:29.0,K. Thompson makes 2-pt shot from 4 ft,2,61-58,,
10:10.0,,,61-58,,R. Hibbert misses 2-pt shot from 17 ft
10:08.0,Defensive rebound by H. Barnes,,61-58,,
10:00.0,K. Thompson misses 2-pt shot from 8 ft,,61-58,,
9:59.0,,,61-58,,Defensive rebound by C. Watson
9:47.0,,,61-58,,R. Hibbert misses 2-pt shot from 8 ft
9:46.0,Defensive rebound by D. Green,,61-58,,
9:26.0,A. Bogut misses 2-pt shot at rim,,61-58,,
9:25.0,Offensive rebound by A. Bogut,,61-58,,
9:25.0,A. Bogut makes 2-pt shot at rim,2,63-58,,
9:07.0,,,63-58,,Turnover by D. West (bad pass; steal by A. Bogut)
9:03.0,K. Thompson misses 2-pt shot from 2 ft (block by D. West),,63-58,,
9:01.0,,,63-58,,Defensive rebound by S. Hill
8:59.0,Personal foul by S. Livingston (drawn by C. Watson),,63-58,,
8:59.0,,,63-58,,C. Miles enters the game for C. Watson
8:49.0,,,63-58,,Offensive foul by R. Hibbert
8:49.0,,,63-58,,Turnover by R. Hibbert (offensive foul)
8:31.0,K. Thompson misses 2-pt shot from 20 ft,,63-58,,
8:31.0,,,63-58,,Defensive rebound by C. Miles
8:14.0,,,63-58,,S. Hill misses 3-pt shot from 26 ft
8:14.0,Defensive rebound by Team,,63-58,,
8:14.0,,,63-58,,Loose ball foul by R. Hibbert (drawn by A. Bogut)
8:14.0,,,63-58,,I. Mahinmi enters the game for R. Hibbert
7:59.0,,,63-58,,Personal foul by I. Mahinmi (drawn by A. Bogut)
7:50.0,Turnover by K. Thompson (step out of bounds),,63-58,,
7:30.0,,,63-58,,Indiana full timeout
7:29.0,,,63-58,,Turnover by G. Hill (step out of bounds)
7:29.0,,,63-58,,Violation by Team (delay of game)
7:13.0,D. Green misses 3-pt shot from 26 ft,,63-58,,
7:12.0,,,63-58,,Defensive rebound by D. West
7:04.0,,,63-60,2,S. Hill makes 2-pt shot from 15 ft
6:55.0,,,63-60,,Personal foul by S. Hill (drawn by S. Livingston)
6:44.0,H. Barnes makes 2-pt shot from 19 ft,2,65-60,,
6:23.0,,,65-63,3,C. Miles makes 3-pt shot from 25 ft
6:09.0,H. Barnes misses 2-pt shot from 2 ft,,65-63,,
6:08.0,,,65-63,,Defensive rebound by C. Miles
6:03.0,,,65-65,2,S. Hill makes 2-pt shot at rim
5:52.0,,,65-65,,Personal foul by G. Hill (drawn by D. Green)
5:52.0,Golden State full timeout,,65-65,,
5:52.0,A. Iguodala enters the game for D. Green,,65-65,,
5:45.0,K. Thompson misses 2-pt shot from 14 ft,,65-65,,
5:44.0,,,65-65,,Defensive rebound by C. Miles
5:25.0,,,65-65,,Turnover by I. Mahinmi (3 sec)
5:14.0,Turnover by S. Livingston (bad pass; steal by I. Mahinmi),,65-65,,
5:02.0,,,65-65,,S. Hill misses 3-pt shot from 25 ft
5:01.0,Defensive rebound by A. Bogut,,65-65,,
4:50.0,K. Thompson makes 3-pt shot from 26 ft (assist by S. Livingston),3,68-65,,
4:34.0,,,68-65,,G. Hill misses 2-pt shot from 19 ft
4:33.0,,,68-65,,Offensive rebound by D. West
4:33.0,Loose ball foul by H. Barnes (drawn by D. West),,68-65,,
4:33.0,,,68-65,,R. Stuckey enters the game for S. Hill
4:33.0,L. Barbosa enters the game for S. Livingston,,68-65,,
4:29.0,,,68-67,2,R. Stuckey makes 2-pt shot from 1 ft (assist by I. Mahinmi)
4:29.0,,,68-67,,Shooting foul by L. Barbosa (drawn by R. Stuckey)
4:29.0,,,68-68,1,R. Stuckey makes free throw 1 of 1
4:16.0,A. Bogut misses 2-pt shot from 1 ft,,68-68,,
4:14.0,Offensive rebound by H. Barnes,,68-68,,
4:14.0,H. Barnes misses 2-pt shot at rim,,68-68,,
4:13.0,,,68-68,,Defensive rebound by D. West
4:06.0,,,68-71,3,G. Hill makes 3-pt shot from 27 ft (assist by R. Stuckey)
3:43.0,K. Thompson makes 3-pt shot from 26 ft,3,71-71,,
3:27.0,,,71-71,,I. Mahinmi misses 2-pt shot at rim
3:26.0,,,71-71,,Offensive rebound by G. Hill
3:12.0,,,71-74,3,R. Stuckey makes 3-pt shot from 26 ft (assist by G. Hill)
2:47.0,L. Barbosa misses 3-pt shot from 26 ft,,71-74,,
2:46.0,Offensive rebound by H. Barnes,,71-74,,
2:27.0,A. Iguodala misses 3-pt shot from 25 ft,,71-74,,
2:26.0,,,71-74,,Defensive rebound by D. West
2:08.0,,,71-74,,C. Miles misses 3-pt shot from 26 ft
2:06.0,Defensive rebound by Team,,71-74,,
2:06.0,D. Lee enters the game for A. Bogut,,71-74,,
2:06.0,,,71-74,,C. Watson enters the game for G. Hill
1:52.0,K. Thompson misses 3-pt shot from 26 ft,,71-74,,
1:51.0,,,71-74,,Defensive rebound by C. Miles
1:38.0,,,71-76,2,I. Mahinmi makes 2-pt shot from 6 ft
1:38.0,,,71-76,,Shooting foul by D. Lee (drawn by I. Mahinmi)
1:38.0,,,71-76,,L. Scola enters the game for D. West
1:38.0,,,71-76,,I. Mahinmi misses free throw 1 of 1
1:38.0,Defensive rebound by D. Lee,,71-76,,
1:22.0,Offensive foul by D. Lee,,71-76,,
1:22.0,Turnover by D. Lee (offensive foul),,71-76,,
1:08.0,,,71-76,,Turnover by R. Stuckey (bad pass; steal by L. Barbosa)
1:04.0,A. Iguodala makes 2-pt shot at rim (assist by L. Barbosa),2,73-76,,
0:48.0,,,73-76,,C. Miles misses 3-pt shot from 23 ft
0:47.0,Defensive rebound by H. Barnes,,73-76,,
0:40.0,K. Thompson makes 3-pt shot from 24 ft (assist by A. Iguodala),3,76-76,,
0:23.0,,,76-78,2,C. Miles makes 2-pt shot at rim (assist by C. Watson)
0:08.0,H. Barnes makes 2-pt shot from 1 ft,2,78-78,,
0:00.0,,,78-81,3,R. Stuckey makes 3-pt shot from 26 ft (assist by C. Watson)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,H. Barnes misses 2-pt shot from 16 ft,,78-81,,
11:40.0,Offensive rebound by D. Lee,,78-81,,
11:27.0,H. Barnes misses 2-pt shot from 16 ft,,78-81,,
11:26.0,,,78-81,,Defensive rebound by I. Mahinmi
11:05.0,,,78-81,,C. Watson misses 3-pt shot from 26 ft
11:04.0,Defensive rebound by D. Lee,,78-81,,
10:48.0,J. Holiday misses 2-pt shot from 18 ft,,78-81,,
10:47.0,,,78-81,,Defensive rebound by L. Scola
10:33.0,,,78-83,2,L. Scola makes 2-pt shot from 19 ft (assist by C. Watson)
10:23.0,Offensive foul by D. Lee,,78-83,,
10:23.0,Turnover by D. Lee (offensive foul),,78-83,,
10:23.0,D. Green enters the game for H. Barnes,,78-83,,
10:13.0,,,78-83,,L. Scola misses 2-pt shot from 18 ft (block by D. Green)
10:13.0,,,78-83,,Offensive rebound by Team
10:05.0,,,78-85,2,C. Watson makes 2-pt shot from 16 ft
10:05.0,,,78-85,,Shooting foul by D. Green (drawn by C. Watson)
10:05.0,,,78-85,,C. Watson misses free throw 1 of 1
10:05.0,Defensive rebound by D. Lee,,78-85,,
9:46.0,J. Holiday makes 2-pt shot from 2 ft (assist by L. Barbosa),2,80-85,,
9:31.0,,,80-87,2,D. Rudez makes 2-pt shot from 18 ft (assist by L. Scola)
9:16.0,,,80-87,,Personal block foul by L. Scola (drawn by J. Holiday)
9:12.0,L. Barbosa misses 2-pt shot from 15 ft,,80-87,,
9:11.0,Offensive rebound by D. Lee,,80-87,,
9:09.0,D. Lee makes 2-pt shot at rim,2,82-87,,
8:51.0,,,82-87,,Offensive foul by I. Mahinmi
8:51.0,,,82-87,,Turnover by I. Mahinmi (offensive foul)
8:51.0,Official timeout,,82-87,,
8:38.0,D. Green misses 3-pt shot from 26 ft,,82-87,,
8:37.0,,,82-87,,Defensive rebound by I. Mahinmi
8:15.0,,,82-87,,I. Mahinmi misses 2-pt shot from 1 ft (block by D. Green)
8:13.0,,,82-87,,Offensive rebound by L. Scola
8:11.0,,,82-87,,L. Scola misses 2-pt shot at rim
8:11.0,Defensive rebound by D. Lee,,82-87,,
7:55.0,D. Green misses 2-pt shot from 17 ft,,82-87,,
7:54.0,,,82-87,,Defensive rebound by R. Stuckey
7:48.0,,,82-87,,R. Stuckey misses 2-pt shot at rim
7:47.0,,,82-87,,Offensive rebound by I. Mahinmi
7:47.0,,,82-89,2,I. Mahinmi makes 2-pt shot at rim
7:25.0,D. Green misses 2-pt shot from 3 ft,,82-89,,
7:24.0,,,82-89,,Defensive rebound by L. Scola
7:15.0,,,82-89,,Turnover by L. Scola (lost ball; steal by A. Iguodala)
7:09.0,A. Iguodala makes 2-pt shot at rim (assist by J. Holiday),2,84-89,,
6:50.0,,,84-89,,Turnover by C. Watson (bad pass; steal by J. Holiday)
6:45.0,L. Barbosa misses 2-pt shot from 1 ft,,84-89,,
6:43.0,,,84-89,,Defensive rebound by I. Mahinmi
6:33.0,,,84-89,,C. Watson misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by A. Iguodala,,84-89,,
6:27.0,Golden State full timeout,,84-89,,
6:27.0,,,84-89,,R. Hibbert enters the game for I. Mahinmi
6:27.0,,,84-89,,G. Hill enters the game for D. Rudez
6:27.0,,,84-89,,C. Miles enters the game for R. Stuckey
6:27.0,K. Thompson enters the game for L. Barbosa,,84-89,,
6:27.0,S. Livingston enters the game for D. Lee,,84-89,,
6:27.0,A. Bogut enters the game for J. Holiday,,84-89,,
6:19.0,K. Thompson makes 2-pt shot from 18 ft (assist by A. Bogut),2,86-89,,
5:54.0,,,86-89,,C. Miles misses 2-pt shot from 4 ft (block by A. Iguodala)
5:53.0,Defensive rebound by A. Iguodala,,86-89,,
5:51.0,Shooting foul by C. Watson (drawn by K. Thompson),,86-89,,
5:51.0,K. Thompson makes free throw 1 of 2,1,87-89,,
5:51.0,K. Thompson makes free throw 2 of 2,1,88-89,,
5:37.0,Personal foul by S. Livingston (drawn by C. Watson),,88-89,,
5:25.0,,,88-89,,Turnover by C. Miles (offensive foul)
5:25.0,,,88-89,,Offensive charge foul by C. Miles
5:09.0,Shooting foul by G. Hill (drawn by K. Thompson),,88-89,,
5:09.0,K. Thompson makes free throw 1 of 2,1,89-89,,
5:09.0,,,89-89,,R. Stuckey enters the game for C. Watson
5:09.0,,,89-89,,D. West enters the game for L. Scola
5:09.0,K. Thompson makes free throw 2 of 2,1,90-89,,
4:55.0,,,90-89,,R. Stuckey misses 2-pt shot from 13 ft
4:54.0,Defensive rebound by A. Bogut,,90-89,,
4:38.0,Turnover by D. Green (bad pass; steal by D. West),,90-89,,
4:16.0,,,90-89,,G. Hill misses 2-pt shot from 18 ft
4:15.0,Defensive rebound by A. Bogut,,90-89,,
4:08.0,A. Iguodala misses 3-pt shot from 24 ft,,90-89,,
4:07.0,,,90-89,,Defensive rebound by C. Miles
4:05.0,,,90-89,,Indiana full timeout
3:56.0,,,90-91,2,R. Stuckey makes 2-pt shot at rim (assist by D. West)
3:29.0,S. Livingston misses 2-pt shot from 15 ft,,90-91,,
3:28.0,,,90-91,,Defensive rebound by C. Miles
3:11.0,,,90-93,2,D. West makes 2-pt shot from 18 ft (assist by R. Stuckey)
3:11.0,Golden State full timeout,,90-93,,
