time,San Antonio,pts.away,score,pts.home,Brooklyn
2:32.0,Offensive rebound by K. Leonard,,11-15,,
2:31.0,K. Leonard makes 2-pt shot from 1 ft,2,13-15,,
2:19.0,Personal foul by M. Ginobili (drawn by A. Anderson),,13-15,,
2:19.0,T. Parker enters the game for C. Joseph,,13-15,,
2:19.0,M. Bonner enters the game for B. Diaw,,13-15,,
2:06.0,,,13-15,,Offensive charge foul by J. Jack
2:06.0,,,13-15,,Turnover by J. Jack (offensive foul)
1:50.0,M. Ginobili makes 2-pt shot from 2 ft,2,15-15,,
1:30.0,,,15-15,,J. Johnson misses 2-pt shot from 4 ft
1:29.0,Defensive rebound by K. Leonard,,15-15,,
1:18.0,M. Bonner misses 3-pt shot from 24 ft,,15-15,,
1:17.0,,,15-15,,Defensive rebound by B. Lopez
1:00.0,,,15-15,,B. Lopez misses 2-pt shot from 9 ft
0:59.0,Defensive rebound by T. Parker,,15-15,,
0:45.0,T. Parker makes 2-pt shot from 19 ft,2,17-15,,
0:37.0,,,17-17,2,M. Teletovic makes 2-pt shot from 5 ft
0:30.0,T. Parker makes 2-pt shot from 14 ft,2,19-17,,
0:20.0,,,19-19,2,J. Jack makes 2-pt shot from 5 ft
0:02.0,M. Ginobili misses 2-pt shot from 2 ft,,19-19,,
0:01.0,Offensive rebound by M. Ginobili,,19-19,,
0:00.0,M. Ginobili misses 2-pt shot from 8 ft,,19-19,,
0:00.0,Offensive rebound by Team,,19-19,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,19-19,,A. Anderson misses 2-pt shot from 8 ft
11:42.0,,,19-19,,Offensive rebound by J. Jordan
11:40.0,,,19-21,2,J. Jordan makes 2-pt shot from 1 ft
11:24.0,M. Belinelli makes 3-pt shot from 24 ft,3,22-21,,
11:13.0,Personal foul by M. Ginobili (drawn by A. Anderson),,22-21,,
11:03.0,,,22-23,2,J. Jack makes 2-pt shot from 13 ft
10:43.0,M. Bonner misses 2-pt shot from 20 ft,,22-23,,
10:42.0,,,22-23,,Defensive rebound by B. Bogdanovic
10:24.0,,,22-23,,Shooting foul by M. Belinelli (drawn by M. Plumlee)
10:24.0,,,22-23,,M. Plumlee misses free throw 1 of 2
10:24.0,,,22-23,,Offensive rebound by Team
10:24.0,C. Joseph enters the game for T. Parker,,22-23,,
10:24.0,D. Green enters the game for M. Ginobili,,22-23,,
10:24.0,,,22-23,,M. Plumlee misses free throw 2 of 2
10:23.0,Defensive rebound by A. Baynes,,22-23,,
10:12.0,C. Joseph makes 2-pt shot from 14 ft,2,24-23,,
10:03.0,,,24-23,,Offensive charge foul by M. Plumlee
10:03.0,,,24-23,,Turnover by M. Plumlee (offensive foul)
9:40.0,C. Joseph misses 2-pt shot from 4 ft,,24-23,,
9:39.0,Offensive rebound by A. Baynes,,24-23,,
9:35.0,A. Baynes makes 2-pt shot from 3 ft,2,26-23,,
9:15.0,,,26-23,,A. Anderson misses 2-pt shot from 2 ft
9:14.0,Defensive rebound by D. Green,,26-23,,
9:04.0,M. Bonner misses 2-pt shot from 20 ft,,26-23,,
9:01.0,,,26-23,,Defensive rebound by Team
8:41.0,Personal foul by C. Joseph (drawn by A. Anderson),,26-23,,
8:41.0,Official timeout,,26-23,,
8:41.0,T. Duncan enters the game for A. Baynes,,26-23,,
8:38.0,,,26-23,,J. Jack misses 2-pt shot from 12 ft
8:37.0,Defensive rebound by D. Green,,26-23,,
8:19.0,Turnover by M. Belinelli (bad pass),,26-23,,
8:05.0,Personal foul by C. Joseph (drawn by J. Jordan),,26-23,,
8:05.0,,,26-23,,D. Williams enters the game for A. Anderson
8:05.0,,,26-23,,J. Johnson enters the game for B. Bogdanovic
8:05.0,,,26-23,,B. Lopez enters the game for M. Plumlee
8:05.0,,,26-23,,M. Teletovic enters the game for J. Jordan
8:05.0,K. Leonard enters the game for D. Green,,26-23,,
8:05.0,T. Parker enters the game for C. Joseph,,26-23,,
7:52.0,,,26-23,,B. Lopez misses 2-pt shot from 18 ft
7:51.0,Defensive rebound by T. Duncan,,26-23,,
7:42.0,Turnover by T. Parker (bad pass; steal by J. Johnson),,26-23,,
7:32.0,,,26-23,,Shooting foul by T. Parker (drawn by B. Lopez)
7:32.0,,,26-24,1,B. Lopez makes free throw 1 of 2
7:32.0,,,26-25,1,B. Lopez makes free throw 2 of 2
7:12.0,T. Duncan makes 2-pt shot from 4 ft (assist by T. Parker),2,28-25,,
6:55.0,,,28-25,,M. Teletovic misses 3-pt shot from 23 ft
6:53.0,,,28-25,,Offensive rebound by M. Teletovic
6:50.0,,,28-27,2,M. Teletovic makes 2-pt shot from 2 ft
6:35.0,M. Bonner makes 3-pt shot from 23 ft (assist by T. Parker),3,31-27,,
6:14.0,,,31-27,,J. Johnson misses 2-pt shot from 4 ft
6:13.0,Defensive rebound by K. Leonard,,31-27,,
6:06.0,T. Parker misses 2-pt shot from 2 ft,,31-27,,
6:04.0,,,31-27,,Defensive rebound by M. Teletovic
5:58.0,,,31-29,2,M. Teletovic makes 2-pt shot at rim (assist by J. Jack)
5:42.0,Turnover by T. Parker (bad pass),,31-29,,
5:42.0,,,31-29,,Brooklyn full timeout
5:42.0,M. Ginobili enters the game for M. Belinelli,,31-29,,
5:35.0,,,31-29,,Turnover by J. Jack (bad pass; steal by K. Leonard)
5:28.0,Shooting foul by B. Lopez (drawn by T. Duncan),,31-29,,
5:28.0,T. Duncan makes free throw 1 of 2,1,32-29,,
5:28.0,B. Diaw enters the game for M. Bonner,,32-29,,
5:28.0,T. Duncan makes free throw 2 of 2,1,33-29,,
5:11.0,,,33-29,,B. Lopez misses 2-pt shot from 6 ft
5:10.0,Defensive rebound by M. Ginobili,,33-29,,
5:01.0,T. Duncan makes 2-pt shot at rim (assist by T. Parker),2,35-29,,
4:59.0,,,35-29,,Brooklyn full timeout
4:44.0,,,35-32,3,D. Williams makes 3-pt shot from 23 ft (assist by J. Johnson)
4:29.0,M. Ginobili misses 3-pt shot from 23 ft,,35-32,,
4:28.0,,,35-32,,Defensive rebound by M. Teletovic
4:13.0,,,35-32,,D. Williams misses 2-pt shot from 18 ft
4:12.0,Defensive rebound by T. Duncan,,35-32,,
4:04.0,K. Leonard misses 3-pt shot from 23 ft,,35-32,,
4:03.0,,,35-32,,Defensive rebound by M. Teletovic
3:57.0,,,35-35,3,M. Teletovic makes 3-pt shot from 24 ft
3:32.0,K. Leonard misses 2-pt shot from 22 ft,,35-35,,
3:31.0,,,35-35,,Defensive rebound by M. Teletovic
3:22.0,,,35-35,,J. Johnson misses 2-pt shot from 2 ft
3:21.0,Defensive rebound by Team,,35-35,,
3:21.0,San Antonio full timeout,,35-35,,
3:10.0,T. Parker makes 2-pt shot from 7 ft,2,37-35,,
2:56.0,,,37-35,,D. Williams misses 2-pt shot from 19 ft
2:55.0,Defensive rebound by B. Diaw,,37-35,,
2:32.0,Offensive charge foul by T. Duncan,,37-35,,
2:32.0,Turnover by T. Duncan (offensive foul),,37-35,,
2:21.0,,,37-35,,Turnover by D. Williams (bad pass; steal by M. Ginobili)
2:17.0,K. Leonard makes 2-pt shot at rim (assist by M. Ginobili),2,39-35,,
1:55.0,,,39-38,3,M. Teletovic makes 3-pt shot from 24 ft (assist by J. Jack)
1:40.0,B. Diaw misses 2-pt shot from 21 ft,,39-38,,
1:39.0,,,39-38,,Defensive rebound by B. Lopez
1:25.0,,,39-38,,D. Williams misses 2-pt shot from 1 ft
1:24.0,,,39-38,,Offensive rebound by B. Lopez
1:22.0,,,39-40,2,B. Lopez makes 2-pt shot from 1 ft
1:04.0,B. Diaw misses 3-pt shot from 24 ft,,39-40,,
1:03.0,,,39-40,,Defensive rebound by J. Johnson
0:43.0,,,39-40,,J. Johnson misses 2-pt shot from 17 ft
0:42.0,,,39-40,,Offensive rebound by B. Lopez
0:35.0,,,39-40,,J. Jack misses 2-pt shot from 15 ft
0:34.0,Defensive rebound by T. Duncan,,39-40,,
0:25.0,M. Ginobili makes 3-pt shot from 24 ft (assist by T. Parker),3,42-40,,
0:03.0,,,42-40,,D. Williams misses 2-pt shot from 18 ft
0:02.0,Defensive rebound by T. Duncan,,42-40,,
0:01.0,T. Duncan misses 3-pt shot from 80 ft,,42-40,,
0:00.0,Offensive rebound by Team,,42-40,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,42-42,2,D. Williams makes 2-pt shot from 4 ft
11:28.0,T. Parker misses 2-pt shot from 20 ft,,42-42,,
11:27.0,,,42-42,,Defensive rebound by B. Lopez
11:06.0,,,42-42,,D. Williams misses 3-pt shot from 25 ft
11:04.0,Defensive rebound by D. Green,,42-42,,
10:54.0,D. Green misses 3-pt shot from 22 ft,,42-42,,
10:52.0,,,42-42,,Defensive rebound by Team
10:34.0,,,42-42,,B. Bogdanovic misses 2-pt shot from 20 ft
10:33.0,Defensive rebound by T. Duncan,,42-42,,
10:27.0,K. Leonard misses 2-pt shot from 19 ft,,42-42,,
10:26.0,,,42-42,,Defensive rebound by B. Lopez
10:12.0,Personal foul by T. Duncan (drawn by J. Johnson),,42-42,,
10:03.0,,,42-42,,B. Lopez misses 2-pt shot from 5 ft
10:02.0,,,42-42,,Offensive rebound by J. Johnson
10:01.0,,,42-42,,J. Johnson misses 2-pt shot from 2 ft
10:00.0,Defensive rebound by K. Leonard,,42-42,,
9:39.0,T. Parker makes 3-pt shot from 24 ft (assist by B. Diaw),3,45-42,,
9:16.0,,,45-44,2,B. Lopez makes 2-pt shot from 6 ft (assist by J. Johnson)
8:50.0,Turnover by B. Diaw (bad pass),,45-44,,
8:27.0,,,45-47,3,M. Teletovic makes 3-pt shot from 23 ft (assist by D. Williams)
8:00.0,T. Duncan misses 2-pt shot from 5 ft,,45-47,,
7:59.0,,,45-47,,Defensive rebound by M. Teletovic
7:53.0,,,45-49,2,D. Williams makes 2-pt shot at rim
7:52.0,San Antonio full timeout,,45-49,,
7:52.0,M. Bonner enters the game for B. Diaw,,45-49,,
7:52.0,M. Ginobili enters the game for D. Green,,45-49,,
7:42.0,,,45-49,,Personal foul by M. Teletovic (drawn by M. Bonner)
7:32.0,Shooting foul by B. Bogdanovic (drawn by M. Ginobili),,45-49,,
7:32.0,M. Ginobili makes free throw 1 of 2,1,46-49,,
7:32.0,M. Ginobili misses free throw 2 of 2,,46-49,,
7:31.0,,,46-49,,Defensive rebound by M. Teletovic
7:17.0,,,46-49,,B. Lopez misses 2-pt shot at rim (block by T. Duncan)
7:15.0,Defensive rebound by T. Duncan,,46-49,,
6:58.0,K. Leonard misses 2-pt shot from 7 ft,,46-49,,
6:57.0,,,46-49,,Defensive rebound by B. Bogdanovic
6:40.0,,,46-49,,J. Johnson misses 2-pt shot from 3 ft (block by T. Duncan)
6:38.0,,,46-49,,Offensive rebound by J. Johnson
6:32.0,,,46-49,,M. Teletovic misses 2-pt shot from 14 ft
6:31.0,Defensive rebound by K. Leonard,,46-49,,
6:27.0,K. Leonard misses 2-pt shot from 1 ft (block by B. Lopez),,46-49,,
6:25.0,Offensive rebound by K. Leonard,,46-49,,
6:20.0,M. Bonner misses 3-pt shot from 25 ft,,46-49,,
6:19.0,,,46-49,,Defensive rebound by B. Bogdanovic
6:04.0,,,46-52,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by B. Lopez)
5:37.0,M. Bonner misses 3-pt shot from 23 ft,,46-52,,
5:36.0,,,46-52,,Defensive rebound by B. Bogdanovic
5:27.0,,,46-52,,Brooklyn full timeout
5:27.0,D. Green enters the game for K. Leonard,,46-52,,
5:27.0,,,46-52,,J. Jordan enters the game for B. Lopez
5:16.0,,,46-54,2,B. Bogdanovic makes 2-pt shot from 2 ft (assist by D. Williams)
5:02.0,T. Parker misses 2-pt shot from 3 ft,,46-54,,
5:01.0,,,46-54,,Defensive rebound by D. Williams
4:55.0,,,46-57,3,M. Teletovic makes 3-pt shot from 25 ft (assist by D. Williams)
4:36.0,Turnover by T. Duncan (bad pass; steal by J. Jordan),,46-57,,
4:22.0,,,46-59,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by M. Teletovic)
4:21.0,San Antonio full timeout,,46-59,,
4:21.0,C. Joseph enters the game for T. Parker,,46-59,,
4:21.0,A. Baynes enters the game for T. Duncan,,46-59,,
4:21.0,M. Belinelli enters the game for M. Ginobili,,46-59,,
4:12.0,Shooting foul by D. Williams (drawn by C. Joseph),,46-59,,
4:12.0,C. Joseph makes free throw 1 of 2,1,47-59,,
4:12.0,C. Joseph misses free throw 2 of 2,,47-59,,
4:11.0,,,47-59,,Defensive rebound by J. Jordan
3:50.0,,,47-62,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by D. Williams)
3:30.0,C. Joseph makes 2-pt shot from 3 ft,2,49-62,,
3:07.0,,,49-62,,J. Johnson misses 2-pt shot from 7 ft
3:06.0,Defensive rebound by M. Belinelli,,49-62,,
2:57.0,D. Green makes 3-pt shot from 24 ft (assist by M. Belinelli),3,52-62,,
2:34.0,,,52-64,2,D. Williams makes 2-pt shot from 2 ft
2:11.0,C. Joseph misses 2-pt shot from 18 ft,,52-64,,
2:10.0,Offensive rebound by D. Green,,52-64,,
2:07.0,D. Green makes 2-pt shot from 1 ft,2,54-64,,
1:55.0,,,54-64,,Turnover by B. Bogdanovic (bad pass; steal by D. Green)
1:45.0,M. Bonner makes 2-pt shot from 6 ft (assist by C. Joseph),2,56-64,,
1:28.0,Personal foul by C. Joseph (drawn by D. Williams),,56-64,,
1:28.0,,,56-64,,J. Jack enters the game for D. Williams
1:28.0,,,56-64,,A. Anderson enters the game for J. Johnson
1:28.0,,,56-64,,M. Plumlee enters the game for M. Teletovic
1:28.0,,,56-64,,B. Lopez enters the game for J. Jordan
1:18.0,,,56-66,2,J. Jack makes 2-pt shot from 9 ft
1:00.0,D. Green misses 3-pt shot from 24 ft,,56-66,,
0:57.0,Offensive rebound by M. Bonner,,56-66,,
0:46.0,M. Belinelli misses 3-pt shot from 25 ft,,56-66,,
0:45.0,,,56-66,,Defensive rebound by B. Bogdanovic
0:45.0,Personal foul by D. Green (drawn by B. Bogdanovic),,56-66,,
0:45.0,,,56-67,1,B. Bogdanovic makes free throw 1 of 2
0:45.0,,,56-68,1,B. Bogdanovic makes free throw 2 of 2
0:32.0,M. Bonner makes 2-pt shot from 8 ft (assist by C. Joseph),2,58-68,,
0:23.0,Personal foul by M. Bonner (drawn by M. Plumlee),,58-68,,
0:23.0,,,58-68,,M. Plumlee misses free throw 1 of 2
0:23.0,,,58-68,,Offensive rebound by Team
0:23.0,,,58-68,,M. Plumlee misses free throw 2 of 2
0:22.0,Defensive rebound by Team,,58-68,,
0:04.0,C. Joseph misses 2-pt shot from 8 ft,,58-68,,
0:02.0,Offensive rebound by A. Baynes,,58-68,,
0:01.0,A. Baynes misses 2-pt shot at rim,,58-68,,
0:01.0,,,58-68,,Defensive rebound by J. Jack
0:00.0,,,58-68,,J. Jack misses 3-pt shot from 56 ft
0:00.0,,,58-68,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,A. Baynes misses 2-pt shot from 3 ft,,58-68,,
11:43.0,,,58-68,,Defensive rebound by M. Plumlee
11:27.0,,,58-70,2,J. Jack makes 2-pt shot from 14 ft
11:08.0,A. Baynes makes 2-pt shot at rim (assist by D. Green),2,60-70,,
10:47.0,,,60-70,,A. Anderson misses 2-pt shot from 7 ft (block by D. Green)
10:46.0,,,60-70,,Offensive rebound by Team
10:43.0,,,60-70,,J. Jack misses 2-pt shot from 15 ft
10:38.0,,,60-70,,Offensive rebound by Team
10:26.0,,,60-70,,J. Jack misses 2-pt shot from 14 ft
10:25.0,Defensive rebound by A. Baynes,,60-70,,
10:13.0,M. Bonner misses 3-pt shot from 24 ft,,60-70,,
10:12.0,,,60-70,,Defensive rebound by B. Lopez
9:58.0,,,60-70,,Turnover by A. Anderson (lost ball; steal by D. Green)
9:54.0,M. Belinelli makes 2-pt shot from 2 ft (assist by D. Green),2,62-70,,
9:35.0,,,62-70,,Shooting foul by A. Baynes (drawn by B. Lopez)
9:35.0,,,62-71,1,B. Lopez makes free throw 1 of 2
9:35.0,,,62-72,1,B. Lopez makes free throw 2 of 2
9:21.0,D. Green misses 3-pt shot from 24 ft,,62-72,,
9:19.0,,,62-72,,Defensive rebound by A. Anderson
9:13.0,,,62-74,2,M. Plumlee makes 2-pt shot at rim (assist by J. Jack)
8:54.0,C. Joseph makes 2-pt shot from 21 ft (assist by A. Baynes),2,64-74,,
8:34.0,,,64-74,,J. Jack misses 2-pt shot from 16 ft
8:33.0,Defensive rebound by D. Green,,64-74,,
8:23.0,M. Bonner misses 3-pt shot from 25 ft,,64-74,,
8:22.0,,,64-74,,Defensive rebound by J. Jack
8:17.0,,,64-74,,M. Plumlee misses 2-pt shot from 2 ft
8:16.0,,,64-74,,Offensive rebound by M. Plumlee
8:15.0,,,64-74,,M. Plumlee misses 2-pt shot at rim (block by D. Green)
8:13.0,Defensive rebound by C. Joseph,,64-74,,
8:07.0,C. Joseph misses 2-pt shot from 2 ft,,64-74,,
8:06.0,,,64-74,,Defensive rebound by M. Plumlee
7:49.0,,,64-76,2,B. Lopez makes 2-pt shot from 4 ft
7:47.0,San Antonio full timeout,,64-76,,
7:47.0,T. Duncan enters the game for A. Baynes,,64-76,,
7:47.0,B. Diaw enters the game for M. Bonner,,64-76,,
7:47.0,T. Parker enters the game for C. Joseph,,64-76,,
7:47.0,K. Leonard enters the game for M. Belinelli,,64-76,,
7:47.0,M. Ginobili enters the game for D. Green,,64-76,,
7:47.0,,,64-76,,M. Teletovic enters the game for M. Plumlee
7:31.0,B. Diaw misses 3-pt shot from 23 ft,,64-76,,
7:30.0,,,64-76,,Defensive rebound by B. Bogdanovic
7:16.0,,,64-78,2,B. Lopez makes 2-pt shot from 3 ft (assist by A. Anderson)
6:54.0,M. Ginobili makes 2-pt shot from 1 ft (assist by K. Leonard),2,66-78,,
6:41.0,,,66-78,,Turnover by A. Anderson (lost ball)
6:41.0,,,66-78,,D. Williams enters the game for B. Bogdanovic
6:41.0,,,66-78,,J. Johnson enters the game for A. Anderson
6:29.0,T. Duncan makes 2-pt shot from 5 ft (assist by B. Diaw),2,68-78,,
6:12.0,,,68-78,,B. Lopez misses 2-pt shot from 18 ft
6:11.0,Defensive rebound by T. Duncan,,68-78,,
5:54.0,T. Duncan misses 2-pt shot from 8 ft,,68-78,,
5:53.0,,,68-78,,Defensive rebound by M. Teletovic
5:40.0,,,68-81,3,M. Teletovic makes 3-pt shot from 25 ft (assist by D. Williams)
5:27.0,M. Ginobili misses 3-pt shot from 23 ft,,68-81,,
5:26.0,,,68-81,,Defensive rebound by M. Teletovic
5:12.0,,,68-81,,Shooting foul by B. Diaw (drawn by D. Williams)
5:12.0,Official timeout,,68-81,,
5:12.0,D. Green enters the game for T. Parker,,68-81,,
5:12.0,C. Joseph enters the game for B. Diaw,,68-81,,
5:12.0,,,68-82,1,D. Williams makes free throw 1 of 2
5:12.0,,,68-82,,D. Williams misses free throw 2 of 2
5:12.0,Defensive rebound by K. Leonard,,68-82,,
4:57.0,D. Green misses 2-pt shot from 9 ft,,68-82,,
4:56.0,Offensive rebound by T. Duncan,,68-82,,
4:54.0,T. Duncan makes 2-pt shot at rim,2,70-82,,
4:33.0,,,70-82,,J. Johnson misses 2-pt shot from 12 ft
4:32.0,Defensive rebound by K. Leonard,,70-82,,
4:23.0,D. Green makes 3-pt shot from 23 ft (assist by M. Ginobili),3,73-82,,
3:56.0,,,73-82,,M. Teletovic misses 2-pt shot from 12 ft
3:55.0,Defensive rebound by T. Duncan,,73-82,,
3:41.0,K. Leonard misses 2-pt shot from 1 ft,,73-82,,
3:40.0,Offensive rebound by T. Duncan,,73-82,,
3:39.0,Shooting foul by J. Johnson (drawn by T. Duncan),,73-82,,
3:39.0,T. Duncan makes free throw 1 of 2,1,74-82,,
3:39.0,T. Duncan makes free throw 2 of 2,1,75-82,,
3:17.0,,,75-82,,B. Lopez misses 2-pt shot from 6 ft (block by T. Duncan)
3:16.0,,,75-82,,Offensive rebound by J. Johnson
3:12.0,,,75-82,,J. Johnson misses 3-pt shot from 23 ft
3:11.0,Defensive rebound by D. Green,,75-82,,
2:59.0,D. Green misses 3-pt shot from 23 ft,,75-82,,
2:58.0,Offensive rebound by K. Leonard,,75-82,,
2:57.0,K. Leonard makes 2-pt shot at rim,2,77-82,,
2:57.0,,,77-82,,Brooklyn full timeout
2:42.0,,,77-84,2,M. Teletovic makes 2-pt shot from 20 ft (assist by D. Williams)
2:28.0,D. Green makes 3-pt shot from 23 ft (assist by M. Ginobili),3,80-84,,
2:11.0,,,80-84,,B. Lopez misses 2-pt shot from 8 ft
2:10.0,Defensive rebound by K. Leonard,,80-84,,
2:01.0,M. Ginobili makes 3-pt shot from 23 ft (assist by C. Joseph),3,83-84,,
1:39.0,,,83-84,,D. Williams misses 2-pt shot from 17 ft
1:38.0,Defensive rebound by M. Ginobili,,83-84,,
1:28.0,D. Green misses 2-pt shot from 2 ft,,83-84,,
1:27.0,,,83-84,,Defensive rebound by B. Lopez
1:04.0,,,83-84,,B. Bogdanovic enters the game for J. Jack
1:02.0,,,83-84,,J. Johnson misses 2-pt shot from 19 ft
1:00.0,Defensive rebound by D. Green,,83-84,,
0:48.0,T. Duncan misses 2-pt shot from 6 ft,,83-84,,
0:47.0,,,83-84,,Defensive rebound by B. Lopez
0:26.0,Personal foul by M. Ginobili (drawn by D. Williams),,83-84,,
0:26.0,,,83-84,,Brooklyn full timeout
0:18.0,,,83-86,2,B. Lopez makes 2-pt shot from 20 ft (assist by D. Williams)
0:18.0,San Antonio full timeout,,83-86,,
0:18.0,,,83-86,,A. Anderson enters the game for M. Teletovic
0:12.0,M. Ginobili makes 2-pt shot at rim,2,85-86,,
0:07.0,Personal foul by T. Duncan (drawn by D. Williams),,85-86,,
0:07.0,,,85-87,1,D. Williams makes free throw 1 of 2
0:07.0,,,85-88,1,D. Williams makes free throw 2 of 2
0:07.0,San Antonio full timeout,,85-88,,
0:02.0,D. Green makes 3-pt shot from 25 ft (assist by M. Ginobili),3,88-88,,
