time,Atlanta,pts.away,score,pts.home,Miami
7:26.0,A. Horford makes 2-pt shot at rim (assist by P. Millsap),2,40-29,,
7:26.0,,,40-29,,Miami full timeout
7:26.0,,,40-29,,J. McRoberts enters the game for C. Bosh
7:06.0,,,40-29,,J. McRoberts misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by K. Korver,,40-29,,
6:59.0,Turnover by J. Teague (bad pass; steal by S. Napier),,40-29,,
6:40.0,,,40-31,2,D. Wade makes 2-pt shot from 3 ft (assist by J. McRoberts)
6:21.0,K. Korver makes 3-pt shot from 24 ft (assist by P. Millsap),3,43-31,,
6:02.0,,,43-31,,L. Deng misses 2-pt shot from 8 ft
6:01.0,Defensive rebound by T. Sefolosha,,43-31,,
5:52.0,P. Millsap makes 2-pt shot from 3 ft (assist by J. Teague),2,45-31,,
5:34.0,Personal foul by K. Korver (drawn by D. Wade),,45-31,,
5:34.0,D. Carroll enters the game for T. Sefolosha,,45-31,,
5:24.0,,,45-33,2,D. Wade makes 2-pt shot from 1 ft (assist by J. McRoberts)
4:58.0,Turnover by Team (shot clock),,45-33,,
4:58.0,P. Antic enters the game for A. Horford,,45-33,,
4:45.0,,,45-35,2,D. Wade makes 2-pt shot from 20 ft (assist by J. McRoberts)
4:39.0,D. Carroll misses 2-pt shot from 1 ft,,45-35,,
4:38.0,,,45-35,,Defensive rebound by S. Williams
4:26.0,,,45-38,3,S. Williams makes 3-pt shot from 24 ft (assist by S. Napier)
4:26.0,Atlanta full timeout,,45-38,,
4:26.0,,,45-38,,M. Chalmers enters the game for S. Napier
4:13.0,K. Korver makes 2-pt shot from 20 ft (assist by P. Millsap),2,47-38,,
3:57.0,,,47-41,3,S. Williams makes 3-pt shot from 24 ft (assist by M. Chalmers)
3:43.0,J. Teague misses 2-pt shot from 6 ft,,47-41,,
3:42.0,,,47-41,,Defensive rebound by M. Chalmers
3:36.0,,,47-41,,S. Williams misses 2-pt shot from 20 ft
3:35.0,,,47-41,,Offensive rebound by D. Wade
3:34.0,,,47-41,,Shooting foul by D. Carroll (drawn by D. Wade)
3:34.0,,,47-42,1,D. Wade makes free throw 1 of 2
3:34.0,,,47-43,1,D. Wade makes free throw 2 of 2
3:20.0,P. Millsap makes 2-pt shot from 1 ft,2,49-43,,
3:20.0,Shooting foul by S. Williams (drawn by P. Millsap),,49-43,,
3:20.0,,,49-43,,C. Bosh enters the game for S. Williams
3:20.0,P. Millsap misses free throw 1 of 1,,49-43,,
3:19.0,,,49-43,,Defensive rebound by L. Deng
2:51.0,,,49-43,,Turnover by J. McRoberts (bad pass)
2:51.0,,,49-43,,Personal foul by J. McRoberts (drawn by J. Teague)
2:51.0,,,49-43,,S. Williams enters the game for J. McRoberts
2:41.0,D. Carroll misses 2-pt shot from 9 ft,,49-43,,
2:40.0,,,49-43,,Defensive rebound by C. Bosh
2:27.0,Personal foul by P. Antic (drawn by M. Chalmers),,49-43,,
2:27.0,,,49-44,1,M. Chalmers makes free throw 1 of 2
2:27.0,,,49-45,1,M. Chalmers makes free throw 2 of 2
2:16.0,P. Millsap misses 2-pt shot from 8 ft (block by D. Wade),,49-45,,
2:15.0,Offensive rebound by Team,,49-45,,
2:02.0,Turnover by Team (shot clock),,49-45,,
2:02.0,A. Horford enters the game for P. Antic,,49-45,,
1:40.0,,,49-45,,Turnover by D. Wade (lost ball; steal by K. Korver)
1:34.0,K. Korver misses 3-pt shot from 24 ft,,49-45,,
1:33.0,,,49-45,,Defensive rebound by C. Bosh
1:23.0,,,49-45,,L. Deng misses 3-pt shot from 23 ft
1:22.0,Defensive rebound by K. Korver,,49-45,,
1:17.0,D. Carroll misses 2-pt shot at rim (block by C. Bosh),,49-45,,
1:16.0,,,49-45,,Defensive rebound by M. Chalmers
1:10.0,,,49-47,2,D. Wade makes 2-pt shot from 15 ft (assist by M. Chalmers)
0:55.0,,,49-47,,Personal foul by C. Bosh (drawn by A. Horford)
0:55.0,,,49-47,,S. Napier enters the game for M. Chalmers
0:51.0,,,49-47,,Personal foul by S. Napier (drawn by J. Teague)
0:51.0,J. Teague makes free throw 1 of 2,1,50-47,,
0:51.0,P. Antic enters the game for P. Millsap,,50-47,,
0:51.0,J. Teague makes free throw 2 of 2,1,51-47,,
0:44.0,,,51-47,,Shooting foul by P. Antic (drawn by C. Bosh)
0:44.0,,,51-47,,C. Bosh misses free throw 1 of 2
0:44.0,,,51-47,,Offensive rebound by Team
0:44.0,,,51-47,,J. Ennis enters the game for S. Napier
0:44.0,,,51-47,,C. Bosh misses free throw 2 of 2
0:43.0,Defensive rebound by D. Carroll,,51-47,,
0:19.0,D. Carroll misses 2-pt shot from 11 ft,,51-47,,
0:18.0,Offensive rebound by Team,,51-47,,
0:18.0,Jump ball: A. Horford vs. S. Williams (D. Carroll gains possession),,,,Jump ball: A. Horford vs. S. Williams (D. Carroll gains possession)
0:17.0,,,51-47,,Personal foul by J. Ennis (drawn by D. Carroll)
0:17.0,D. Carroll makes free throw 1 of 2,1,52-47,,
0:17.0,,,52-47,,S. Napier enters the game for J. Ennis
0:17.0,T. Sefolosha enters the game for K. Korver,,52-47,,
0:17.0,K. Bazemore enters the game for J. Teague,,52-47,,
0:17.0,D. Carroll makes free throw 2 of 2,1,53-47,,
0:15.0,,,53-47,,Miami full timeout
0:15.0,D. Schroder enters the game for A. Horford,,53-47,,
0:15.0,,,53-47,,M. Chalmers enters the game for S. Napier
0:15.0,,,53-47,,Turnover by Team (back court)
0:15.0,Atlanta full timeout,,53-47,,
0:15.0,K. Korver enters the game for T. Sefolosha,,53-47,,
0:15.0,M. Scott enters the game for K. Bazemore,,53-47,,
0:15.0,,,53-47,,J. Ennis enters the game for M. Chalmers
0:02.0,D. Schroder makes 2-pt shot from 8 ft,2,55-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,Turnover by A. Horford (bad pass; steal by J. McRoberts),,55-47,,
11:30.0,,,55-49,2,D. Wade makes 2-pt shot from 2 ft (assist by J. McRoberts)
11:17.0,K. Korver makes 2-pt shot from 16 ft (assist by D. Carroll),2,57-49,,
11:03.0,,,57-51,2,D. Wade makes 2-pt shot from 1 ft (assist by M. Chalmers)
10:48.0,Shooting foul by D. Wade (drawn by A. Horford),,57-51,,
10:48.0,A. Horford makes free throw 1 of 2,1,58-51,,
10:48.0,A. Horford makes free throw 2 of 2,1,59-51,,
10:33.0,,,59-51,,J. Ennis misses 2-pt shot from 2 ft
10:32.0,,,59-51,,Offensive rebound by J. Ennis
10:32.0,Personal foul by D. Carroll (drawn by J. Ennis),,59-51,,
10:29.0,,,59-53,2,M. Chalmers makes 2-pt shot at rim (assist by D. Wade)
10:12.0,Turnover by P. Millsap (bad pass; steal by J. McRoberts),,59-53,,
10:08.0,,,59-53,,Turnover by J. McRoberts (bad pass)
9:53.0,D. Carroll misses 2-pt shot from 20 ft,,59-53,,
9:52.0,,,59-53,,Defensive rebound by C. Bosh
9:41.0,Personal foul by P. Millsap (drawn by J. McRoberts),,59-53,,
9:32.0,,,59-55,2,C. Bosh makes 2-pt shot from 1 ft (assist by M. Chalmers)
9:18.0,J. Teague makes 2-pt shot from 1 ft,2,61-55,,
8:59.0,,,61-55,,Shooting foul by D. Carroll (drawn by D. Wade)
8:59.0,,,61-55,,D. Wade misses free throw 1 of 2
8:59.0,,,61-55,,Offensive rebound by Team
8:59.0,,,61-56,1,D. Wade makes free throw 2 of 2
8:35.0,Turnover by Team (shot clock),,61-56,,
8:12.0,,,61-56,,C. Bosh misses 2-pt shot from 14 ft
8:11.0,Defensive rebound by D. Carroll,,61-56,,
8:03.0,,,61-56,,Personal foul by M. Chalmers (drawn by A. Horford)
7:52.0,K. Korver misses 2-pt shot from 15 ft,,61-56,,
7:51.0,,,61-56,,Defensive rebound by M. Chalmers
7:49.0,,,61-58,2,M. Chalmers makes 2-pt shot from 1 ft
7:49.0,Shooting block foul by K. Korver (drawn by M. Chalmers),,61-58,,
7:49.0,Atlanta full timeout,,61-58,,
7:49.0,,,61-59,1,M. Chalmers makes free throw 1 of 1
7:43.0,J. Teague makes 2-pt shot at rim,2,63-59,,
7:24.0,,,63-62,3,C. Bosh makes 3-pt shot from 24 ft (assist by D. Wade)
7:06.0,D. Carroll misses 3-pt shot from 23 ft,,63-62,,
7:05.0,,,63-62,,Defensive rebound by C. Bosh
6:51.0,,,63-62,,J. Ennis misses 2-pt shot from 18 ft
6:50.0,Defensive rebound by J. Teague,,63-62,,
6:39.0,Turnover by D. Carroll (bad pass; steal by M. Chalmers),,63-62,,
6:36.0,,,63-62,,Turnover by M. Chalmers (traveling)
6:36.0,,,63-62,,S. Napier enters the game for M. Chalmers
6:36.0,,,63-62,,S. Williams enters the game for C. Bosh
6:27.0,Shooting foul by J. Ennis (drawn by K. Korver),,63-62,,
6:27.0,K. Korver makes free throw 1 of 3,1,64-62,,
6:27.0,K. Korver makes free throw 2 of 3,1,65-62,,
6:27.0,K. Korver makes free throw 3 of 3,1,66-62,,
6:19.0,,,66-64,2,S. Napier makes 2-pt shot from 1 ft
6:10.0,P. Millsap makes 2-pt shot from 1 ft (assist by A. Horford),2,68-64,,
5:49.0,,,68-66,2,J. Ennis makes 2-pt shot from 2 ft (assist by D. Wade)
5:31.0,P. Millsap makes 2-pt shot from 5 ft (assist by K. Korver),2,70-66,,
5:23.0,,,70-66,,Miami full timeout
5:23.0,P. Antic enters the game for D. Carroll,,70-66,,
5:23.0,T. Sefolosha enters the game for A. Horford,,70-66,,
5:13.0,Personal foul by T. Sefolosha (drawn by D. Wade),,70-66,,
5:13.0,,,70-66,,D. Wade misses free throw 1 of 2
5:13.0,,,70-66,,Offensive rebound by Team
5:13.0,,,70-67,1,D. Wade makes free throw 2 of 2
5:07.0,J. Teague makes 2-pt shot from 1 ft,2,72-67,,
4:44.0,,,72-67,,S. Williams misses 3-pt shot from 24 ft
4:43.0,Defensive rebound by T. Sefolosha,,72-67,,
4:28.0,P. Millsap makes 2-pt shot from 12 ft,2,74-67,,
4:04.0,,,74-67,,Turnover by J. McRoberts (lost ball; steal by J. Teague)
3:59.0,T. Sefolosha makes 2-pt shot at rim (assist by J. Teague),2,76-67,,
3:37.0,,,76-67,,D. Wade misses 2-pt shot from 17 ft
3:36.0,Defensive rebound by P. Millsap,,76-67,,
3:28.0,,,76-67,,Personal foul by J. McRoberts (drawn by P. Millsap)
3:28.0,,,76-67,,D. Granger enters the game for J. Ennis
3:28.0,,,76-67,,M. Chalmers enters the game for D. Wade
3:28.0,,,76-67,,C. Bosh enters the game for J. McRoberts
3:23.0,Offensive foul by P. Antic,,76-67,,
3:23.0,Turnover by P. Antic (offensive foul),,76-67,,
2:58.0,,,76-69,2,M. Chalmers makes 2-pt shot from 10 ft
2:43.0,J. Teague makes 2-pt shot from 9 ft,2,78-69,,
2:29.0,,,78-69,,Turnover by S. Williams (bad pass; steal by J. Teague)
2:27.0,,,78-69,,Violation by S. Williams (def goaltending)
2:27.0,J. Teague makes 2-pt shot from 1 ft,2,80-69,,
2:14.0,,,80-71,2,C. Bosh makes 2-pt shot from 16 ft (assist by M. Chalmers)
1:59.0,K. Korver misses 3-pt shot from 24 ft,,80-71,,
1:57.0,Offensive rebound by Team,,80-71,,
1:57.0,S. Mack enters the game for J. Teague,,80-71,,
1:57.0,D. Schroder enters the game for K. Korver,,80-71,,
1:40.0,S. Mack makes 3-pt shot from 23 ft (assist by D. Schroder),3,83-71,,
1:13.0,,,83-71,,D. Granger misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by P. Millsap,,83-71,,
1:03.0,Turnover by D. Schroder (lost ball),,83-71,,
0:54.0,Violation by T. Sefolosha (kicked ball),,83-71,,
0:47.0,Shooting block foul by P. Antic (drawn by M. Chalmers),,83-71,,
0:47.0,,,83-71,,M. Chalmers misses free throw 1 of 2
0:47.0,,,83-71,,Offensive rebound by Team
0:47.0,A. Horford enters the game for P. Antic,,83-71,,
0:47.0,,,83-72,1,M. Chalmers makes free throw 2 of 2
0:32.0,,,83-72,,Personal foul by S. Williams (drawn by D. Schroder)
0:32.0,D. Schroder makes free throw 1 of 2,1,84-72,,
0:32.0,M. Scott enters the game for P. Millsap,,84-72,,
0:32.0,D. Schroder makes free throw 2 of 2,1,85-72,,
0:21.0,,,85-72,,S. Williams misses 2-pt shot from 1 ft (block by A. Horford)
0:20.0,Defensive rebound by D. Schroder,,85-72,,
0:02.0,D. Schroder makes 3-pt shot from 25 ft,3,88-72,,
0:00.0,,,88-72,,S. Napier misses 3-pt shot from 63 ft
0:00.0,,,88-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:54.0,Personal foul by D. Schroder (drawn by S. Napier),,88-72,,
11:38.0,,,88-72,,Shooting foul by T. Sefolosha (drawn by S. Napier)
11:38.0,,,88-73,1,S. Napier makes free throw 1 of 2
11:38.0,,,88-74,1,S. Napier makes free throw 2 of 2
11:14.0,S. Mack misses 3-pt shot from 24 ft,,88-74,,
11:13.0,,,88-74,,Defensive rebound by U. Haslem
10:50.0,,,88-74,,M. Chalmers misses 3-pt shot from 25 ft
10:48.0,,,88-74,,Offensive rebound by S. Napier
10:40.0,,,88-76,2,U. Haslem makes 2-pt shot from 1 ft (assist by M. Chalmers)
10:24.0,M. Scott makes 2-pt shot from 1 ft,2,90-76,,
10:08.0,,,90-76,,C. Bosh misses 2-pt shot from 1 ft
10:07.0,Defensive rebound by A. Horford,,90-76,,
10:00.0,,,90-76,,Personal block foul by U. Haslem (drawn by T. Sefolosha)
9:50.0,D. Schroder misses 2-pt shot from 10 ft,,90-76,,
9:49.0,,,90-76,,Defensive rebound by U. Haslem
9:40.0,,,90-78,2,C. Bosh makes 2-pt shot at rim (assist by M. Chalmers)
9:13.0,S. Mack makes 2-pt shot from 7 ft,2,92-78,,
9:02.0,,,92-78,,Shooting foul by A. Horford (drawn by M. Chalmers)
9:02.0,,,92-79,1,M. Chalmers makes free throw 1 of 2
9:02.0,K. Korver enters the game for T. Sefolosha,,92-79,,
9:02.0,,,92-79,,D. Wade enters the game for S. Napier
9:02.0,,,92-79,,M. Chalmers misses free throw 2 of 2
9:01.0,Defensive rebound by K. Korver,,92-79,,
8:43.0,S. Mack misses 3-pt shot from 22 ft,,92-79,,
8:42.0,,,92-79,,Defensive rebound by C. Bosh
8:33.0,,,92-82,3,C. Bosh makes 3-pt shot from 25 ft (assist by D. Wade)
8:11.0,S. Mack misses 2-pt shot from 13 ft,,92-82,,
8:10.0,Offensive rebound by S. Mack,,92-82,,
8:05.0,K. Korver misses 2-pt shot from 18 ft,,92-82,,
8:04.0,,,92-82,,Defensive rebound by C. Bosh
8:00.0,,,92-82,,Turnover by M. Chalmers (bad pass; steal by D. Schroder)
7:58.0,,,92-82,,Personal foul by U. Haslem (drawn by A. Horford)
7:58.0,Official timeout,,92-82,,
7:58.0,J. Teague enters the game for A. Horford,,92-82,,
7:58.0,P. Antic enters the game for S. Mack,,92-82,,
7:58.0,P. Millsap enters the game for M. Scott,,92-82,,
7:58.0,,,92-82,,S. Napier enters the game for M. Chalmers
7:48.0,P. Millsap misses 2-pt shot from 1 ft (block by U. Haslem),,92-82,,
7:47.0,Offensive rebound by Team,,92-82,,
7:46.0,Turnover by P. Millsap (lost ball),,92-82,,
7:34.0,,,92-82,,D. Wade misses 2-pt shot from 15 ft
7:33.0,Defensive rebound by P. Antic,,92-82,,
7:24.0,Shooting foul by D. Wade (drawn by P. Antic),,92-82,,
7:24.0,P. Antic makes free throw 1 of 2,1,93-82,,
7:24.0,P. Antic makes free throw 2 of 2,1,94-82,,
7:09.0,,,94-82,,Shooting foul by K. Korver (drawn by D. Wade)
7:09.0,,,94-83,1,D. Wade makes free throw 1 of 2
7:09.0,,,94-83,,D. Wade misses free throw 2 of 2
7:08.0,Defensive rebound by K. Korver,,94-83,,
6:50.0,J. Teague makes 3-pt shot from 25 ft,3,97-83,,
6:26.0,,,97-83,,D. Granger misses 2-pt shot from 18 ft
6:25.0,Defensive rebound by J. Teague,,97-83,,
6:22.0,Shooting foul by D. Granger (drawn by J. Teague),,97-83,,
6:22.0,J. Teague makes free throw 1 of 2,1,98-83,,
6:22.0,J. Teague makes free throw 2 of 2,1,99-83,,
6:19.0,,,99-83,,Miami full timeout
6:19.0,,,99-83,,M. Chalmers enters the game for D. Granger
6:07.0,Personal foul by P. Millsap (drawn by C. Bosh),,99-83,,
6:07.0,,,99-84,1,C. Bosh makes free throw 1 of 2
6:07.0,,,99-85,1,C. Bosh makes free throw 2 of 2
5:52.0,D. Schroder misses 2-pt shot from 2 ft,,99-85,,
5:51.0,,,99-85,,Defensive rebound by C. Bosh
5:35.0,,,99-87,2,C. Bosh makes 2-pt shot from 2 ft (assist by M. Chalmers)
5:27.0,Shooting foul by S. Napier (drawn by J. Teague),,99-87,,
5:27.0,J. Teague makes free throw 1 of 2,1,100-87,,
5:27.0,J. Teague makes free throw 2 of 2,1,101-87,,
5:13.0,,,101-87,,D. Wade misses 3-pt shot from 24 ft
5:12.0,Defensive rebound by J. Teague,,101-87,,
5:01.0,K. Korver makes 3-pt shot from 24 ft (assist by J. Teague),3,104-87,,
4:49.0,,,104-89,2,D. Wade makes 2-pt shot from 6 ft
4:49.0,Violation by P. Millsap (def goaltending),,104-89,,
4:27.0,Turnover by J. Teague (lost ball; steal by S. Napier),,104-89,,
4:22.0,,,104-89,,D. Wade misses 2-pt shot at rim
4:21.0,Defensive rebound by P. Millsap,,104-89,,
4:14.0,J. Teague makes 3-pt shot from 25 ft (assist by D. Schroder),3,107-89,,
4:00.0,,,107-91,2,M. Chalmers makes 2-pt shot from 1 ft
3:42.0,Shooting foul by U. Haslem (drawn by P. Millsap),,107-91,,
3:42.0,P. Millsap misses free throw 1 of 2,,107-91,,
3:42.0,Offensive rebound by Team,,107-91,,
3:42.0,P. Millsap makes free throw 2 of 2,1,108-91,,
3:35.0,,,108-93,2,D. Wade makes 2-pt shot from 10 ft
3:35.0,,,108-93,,Shooting foul by K. Korver (drawn by D. Wade)
3:35.0,,,108-94,1,D. Wade makes free throw 1 of 1
3:11.0,J. Teague misses 3-pt shot from 25 ft,,108-94,,
3:10.0,,,108-94,,Defensive rebound by C. Bosh
3:02.0,,,108-96,2,D. Wade makes 2-pt shot from 2 ft (assist by M. Chalmers)
3:00.0,Atlanta full timeout,,108-96,,
3:00.0,A. Horford enters the game for P. Antic,,108-96,,
