time,Phoenix,pts.away,score,pts.home,Atlanta
7:16.0,M. Morris misses 2-pt shot from 13 ft,,6-10,,
7:14.0,,,6-10,,Defensive rebound by J. Teague
6:59.0,,,6-10,,Turnover by A. Horford (bad pass; steal by M. Morris)
6:41.0,B. Wright makes 2-pt shot from 1 ft (assist by M. Morris),2,8-10,,
6:27.0,,,8-10,,J. Teague misses 3-pt shot from 24 ft
6:25.0,Defensive rebound by M. Morris,,8-10,,
6:16.0,P. Tucker misses 2-pt shot from 1 ft,,8-10,,
6:14.0,,,8-10,,Defensive rebound by A. Horford
6:08.0,,,8-10,,K. Korver misses 3-pt shot from 24 ft
6:06.0,,,8-10,,Offensive rebound by D. Carroll
6:05.0,,,8-12,2,D. Carroll makes 2-pt shot from 1 ft
5:49.0,M. Morris misses 2-pt shot from 19 ft,,8-12,,
5:49.0,Offensive rebound by Team,,8-12,,
5:49.0,T. Warren enters the game for M. Morris,,8-12,,
5:49.0,,,8-12,,Technical foul by D. Carroll
5:49.0,,,8-12,,P. Antic enters the game for A. Horford
5:49.0,,,8-12,,M. Scott enters the game for M. Muscala
5:49.0,,,8-12,,K. Bazemore enters the game for K. Korver
5:49.0,E. Bledsoe misses technical free throw,,8-12,,
5:49.0,Offensive rebound by Team,,8-12,,
5:44.0,M. Morris misses 2-pt shot from 10 ft,,8-12,,
5:43.0,,,8-12,,Defensive rebound by K. Bazemore
5:32.0,,,8-14,2,D. Carroll makes 2-pt shot from 19 ft (assist by P. Antic)
5:13.0,E. Bledsoe makes 2-pt shot at rim,2,10-14,,
5:13.0,Shooting foul by M. Scott (drawn by E. Bledsoe),,10-14,,
5:13.0,G. Green enters the game for M. Morris,,10-14,,
5:13.0,E. Bledsoe makes free throw 1 of 1,1,11-14,,
5:00.0,,,11-16,2,D. Carroll makes 2-pt shot from 10 ft
4:46.0,G. Green makes 2-pt shot from 12 ft (assist by E. Bledsoe),2,13-16,,
4:35.0,,,13-16,,Turnover by P. Antic (bad pass; steal by P. Tucker)
4:29.0,B. Wright makes 2-pt shot at rim (assist by P. Tucker),2,15-16,,
4:29.0,,,15-16,,Atlanta full timeout
4:29.0,,,15-16,,D. Schroder enters the game for J. Teague
4:29.0,J. McNeal enters the game for E. Bledsoe,,15-16,,
4:12.0,,,15-16,,Turnover by D. Schroder (lost ball; steal by T. Warren)
3:48.0,G. Green misses 3-pt shot from 25 ft,,15-16,,
3:47.0,,,15-16,,Defensive rebound by D. Carroll
3:30.0,,,15-19,3,P. Antic makes 3-pt shot from 25 ft (assist by D. Schroder)
3:09.0,T. Warren misses 2-pt shot at rim,,15-19,,
3:06.0,,,15-19,,Defensive rebound by M. Scott
2:58.0,Personal foul by T. Warren (drawn by P. Antic),,15-19,,
2:58.0,,,15-19,,S. Mack enters the game for D. Carroll
2:51.0,,,15-19,,S. Mack misses 2-pt shot from 7 ft (block by B. Wright)
2:48.0,Defensive rebound by J. McNeal,,15-19,,
2:45.0,J. McNeal misses 2-pt shot at rim,,15-19,,
2:43.0,,,15-19,,Defensive rebound by S. Mack
2:29.0,,,15-21,2,D. Schroder makes 2-pt shot from 19 ft
2:15.0,Turnover by T. Warren (lost ball),,15-21,,
2:04.0,,,15-21,,D. Schroder misses 2-pt shot at rim (block by B. Wright)
2:04.0,,,15-21,,Offensive rebound by P. Antic
2:04.0,,,15-21,,Shooting foul by P. Tucker (drawn by P. Antic)
2:04.0,,,15-22,1,P. Antic makes free throw 1 of 2
2:04.0,M. Morris enters the game for B. Wright,,15-22,,
2:04.0,,,15-23,1,P. Antic makes free throw 2 of 2
1:39.0,P. Tucker misses 2-pt shot from 20 ft,,15-23,,
1:38.0,,,15-23,,Defensive rebound by D. Schroder
1:32.0,,,15-23,,Turnover by D. Schroder (discontinued dribble)
1:21.0,,,15-23,,Personal foul by P. Antic (drawn by M. Morris)
1:21.0,,,15-23,,Technical foul by P. Antic (drawn by M. Morris)
1:21.0,Technical foul by M. Morris,,15-23,,
1:21.0,,,15-23,,A. Horford enters the game for M. Scott
1:21.0,,,15-23,,K. Korver enters the game for S. Mack
1:07.0,T. Warren misses 2-pt shot from 1 ft,,15-23,,
1:06.0,Offensive rebound by T. Warren,,15-23,,
1:06.0,T. Warren misses 2-pt shot from 1 ft,,15-23,,
1:05.0,,,15-23,,Defensive rebound by P. Antic
1:00.0,,,15-23,,Turnover by D. Schroder (bad pass; steal by T. Warren)
0:45.0,Turnover by J. McNeal (bad pass; steal by K. Bazemore),,15-23,,
0:41.0,,,15-23,,Turnover by K. Bazemore (step out of bounds)
0:31.0,G. Green makes 2-pt shot from 2 ft,2,17-23,,
0:31.0,Shooting foul by A. Horford (drawn by G. Green),,17-23,,
0:31.0,G. Green misses free throw 1 of 1,,17-23,,
0:31.0,,,17-23,,Defensive rebound by P. Antic
0:10.0,,,17-23,,A. Horford misses 2-pt shot from 6 ft
0:09.0,,,17-23,,Offensive rebound by K. Bazemore
0:09.0,,,17-23,,Shooting foul by T. Warren (drawn by K. Bazemore)
0:09.0,,,17-24,1,K. Bazemore makes free throw 1 of 2
0:09.0,,,17-24,,K. Bazemore misses free throw 2 of 2
0:09.0,Defensive rebound by M. Morris,,17-24,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Morris makes 3-pt shot from 22 ft (assist by E. Bledsoe),3,20-24,,
11:28.0,,,20-26,2,A. Horford makes 2-pt shot from 6 ft
11:11.0,Shooting foul by M. Muscala (drawn by A. Goodwin),,20-26,,
11:11.0,A. Goodwin makes free throw 1 of 2,1,21-26,,
11:11.0,,,21-26,,T. Sefolosha enters the game for K. Bazemore
11:11.0,A. Goodwin makes free throw 2 of 2,1,22-26,,
10:58.0,,,22-28,2,K. Korver makes 2-pt shot at rim (assist by A. Horford)
10:48.0,G. Green misses 2-pt shot from 6 ft,,22-28,,
10:45.0,Offensive rebound by M. Morris,,22-28,,
10:45.0,,,22-28,,Personal foul by K. Korver (drawn by M. Morris)
10:41.0,Turnover by E. Bledsoe (bad pass),,22-28,,
10:36.0,,,22-28,,K. Korver misses 3-pt shot from 25 ft
10:35.0,Defensive rebound by E. Bledsoe,,22-28,,
10:22.0,A. Goodwin misses 2-pt shot from 2 ft,,22-28,,
10:21.0,,,22-28,,Defensive rebound by M. Muscala
10:10.0,Personal foul by M. Morris (drawn by A. Horford),,22-28,,
10:04.0,,,22-28,,J. Teague misses 2-pt shot from 6 ft (block by M. Morris)
10:02.0,,,22-28,,Offensive rebound by J. Teague
9:59.0,,,22-31,3,J. Teague makes 3-pt shot from 24 ft
9:43.0,M. Morris misses 2-pt shot from 10 ft,,22-31,,
9:41.0,,,22-31,,Defensive rebound by K. Korver
9:33.0,,,22-31,,K. Korver misses 3-pt shot from 28 ft
9:31.0,Defensive rebound by M. Morris,,22-31,,
9:27.0,Turnover by A. Goodwin (bad pass; steal by J. Teague),,22-31,,
9:18.0,,,22-33,2,M. Muscala makes 2-pt shot from 18 ft (assist by J. Teague)
8:56.0,Shooting foul by M. Muscala (drawn by A. Goodwin),,22-33,,
8:56.0,Official timeout,,22-33,,
8:56.0,A. Goodwin makes free throw 1 of 2,1,23-33,,
8:56.0,A. Goodwin makes free throw 2 of 2,1,24-33,,
8:42.0,,,24-33,,T. Sefolosha misses 2-pt shot from 21 ft
8:38.0,Defensive rebound by M. Morris,,24-33,,
8:23.0,G. Green makes 3-pt shot from 24 ft (assist by M. Morris),3,27-33,,
8:07.0,,,27-35,2,A. Horford makes 2-pt shot from 2 ft
7:41.0,A. Goodwin misses 2-pt shot from 16 ft,,27-35,,
7:38.0,,,27-35,,Defensive rebound by T. Sefolosha
7:33.0,,,27-37,2,T. Sefolosha makes 2-pt shot from 1 ft
7:07.0,M. Morris makes 2-pt shot from 7 ft (assist by A. Goodwin),2,29-37,,
6:53.0,,,29-39,2,J. Teague makes 2-pt shot from 1 ft
6:34.0,M. Morris makes 2-pt shot from 17 ft (assist by E. Bledsoe),2,31-39,,
6:27.0,,,31-39,,Atlanta full timeout
6:27.0,,,31-39,,M. Scott enters the game for A. Horford
6:27.0,,,31-39,,D. Carroll enters the game for K. Korver
6:27.0,B. Wright enters the game for M. Morris,,31-39,,
6:13.0,,,31-41,2,M. Muscala makes 2-pt shot from 4 ft
6:01.0,Turnover by E. Bledsoe (lost ball; steal by M. Muscala),,31-41,,
5:56.0,,,31-43,2,J. Teague makes 2-pt shot at rim
5:44.0,M. Morris makes 2-pt shot from 1 ft (assist by G. Green),2,33-43,,
5:30.0,,,33-43,,Turnover by J. Teague (bad pass; steal by M. Morris)
5:26.0,G. Green makes 2-pt shot from 1 ft (assist by M. Morris),2,35-43,,
5:08.0,,,35-43,,T. Sefolosha misses 2-pt shot from 1 ft (block by A. Goodwin)
5:08.0,,,35-43,,Offensive rebound by Team
5:08.0,P. Tucker enters the game for A. Goodwin,,35-43,,
4:55.0,,,35-43,,J. Teague misses 3-pt shot from 25 ft
4:54.0,,,35-43,,Offensive rebound by T. Sefolosha
4:44.0,,,35-43,,M. Scott misses 2-pt shot from 5 ft
4:43.0,Defensive rebound by P. Tucker,,35-43,,
4:38.0,M. Morris misses 2-pt shot at rim,,35-43,,
4:36.0,,,35-43,,Defensive rebound by M. Muscala
4:26.0,,,35-43,,J. Teague misses 2-pt shot from 19 ft
4:24.0,Defensive rebound by P. Tucker,,35-43,,
4:09.0,G. Green misses 3-pt shot from 22 ft,,35-43,,
4:08.0,,,35-43,,Defensive rebound by J. Teague
4:05.0,,,35-43,,Offensive charge foul by M. Scott
4:05.0,,,35-43,,Turnover by M. Scott (offensive foul)
4:05.0,Phoenix full timeout,,35-43,,
4:05.0,M. Morris enters the game for G. Green,,35-43,,
3:55.0,,,35-43,,Personal foul by M. Muscala (drawn by E. Bledsoe)
3:44.0,P. Tucker misses 2-pt shot from 8 ft,,35-43,,
3:41.0,,,35-43,,Defensive rebound by M. Scott
3:22.0,,,35-45,2,M. Scott makes 2-pt shot from 19 ft
3:09.0,,,35-45,,D. Schroder enters the game for J. Teague
3:09.0,Jump ball: M. Muscala vs. B. Wright (T. Sefolosha gains possession),,,,Jump ball: M. Muscala vs. B. Wright (T. Sefolosha gains possession)
3:09.0,Turnover by B. Wright (lost ball; steal by M. Muscala),,35-45,,
2:51.0,,,35-47,2,D. Carroll makes 2-pt shot from 22 ft (assist by D. Schroder)
2:32.0,,,35-47,,Personal foul by T. Sefolosha (drawn by M. Morris)
2:32.0,M. Morris makes free throw 1 of 2,1,36-47,,
2:32.0,M. Morris misses free throw 2 of 2,,36-47,,
2:31.0,,,36-47,,Defensive rebound by M. Scott
2:22.0,,,36-50,3,M. Scott makes 3-pt shot from 25 ft (assist by D. Carroll)
2:20.0,,,36-50,,Technical foul by M. Scott
2:20.0,M. Morris misses technical free throw,,36-50,,
2:20.0,Offensive rebound by Team,,36-50,,
2:20.0,,,36-50,,A. Horford enters the game for M. Muscala
2:20.0,,,36-50,,K. Korver enters the game for T. Sefolosha
1:58.0,M. Morris makes 2-pt shot from 1 ft,2,38-50,,
1:42.0,,,38-50,,Technical foul by Team
1:42.0,P. Tucker makes technical free throw,1,39-50,,
1:35.0,,,39-50,,D. Schroder misses 3-pt shot from 24 ft
1:35.0,,,39-50,,Offensive rebound by Team
1:32.0,,,39-50,,M. Scott misses 3-pt shot from 25 ft
1:31.0,Defensive rebound by E. Bledsoe,,39-50,,
1:20.0,P. Tucker makes 2-pt shot from 2 ft (assist by M. Morris),2,41-50,,
1:09.0,,,41-50,,Turnover by M. Scott (traveling)
0:55.0,M. Morris misses 3-pt shot from 22 ft,,41-50,,
0:53.0,,,41-50,,Defensive rebound by K. Korver
0:39.0,,,41-50,,A. Horford misses 2-pt shot from 18 ft
0:37.0,Defensive rebound by Team,,41-50,,
0:32.0,M. Morris misses 2-pt shot from 19 ft,,41-50,,
0:28.0,,,41-50,,Defensive rebound by M. Scott
0:25.0,,,41-52,2,A. Horford makes 2-pt shot at rim (assist by D. Schroder)
0:01.0,E. Bledsoe makes 2-pt shot from 13 ft,2,43-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,E. Bledsoe misses 2-pt shot from 19 ft,,43-52,,
11:39.0,,,43-52,,Defensive rebound by M. Muscala
11:31.0,,,43-52,,Shooting foul by M. Morris (drawn by A. Horford)
11:31.0,,,43-52,,A. Horford misses free throw 1 of 2
11:31.0,,,43-52,,Offensive rebound by Team
11:31.0,,,43-52,,A. Horford misses free throw 2 of 2
11:29.0,Defensive rebound by M. Morris,,43-52,,
11:12.0,E. Bledsoe makes 2-pt shot from 20 ft (assist by M. Morris),2,45-52,,
10:58.0,,,45-52,,M. Muscala misses 2-pt shot from 19 ft
10:56.0,Defensive rebound by M. Morris,,45-52,,
10:51.0,E. Bledsoe misses 2-pt shot from 20 ft,,45-52,,
10:50.0,Offensive rebound by Team,,45-52,,
10:50.0,,,45-52,,Loose ball foul by K. Korver (drawn by B. Wright)
10:43.0,P. Tucker makes 2-pt shot from 22 ft (assist by E. Bledsoe),2,47-52,,
10:34.0,,,47-52,,Shooting foul by E. Bledsoe (drawn by J. Teague)
10:34.0,,,47-52,,J. Teague misses free throw 1 of 2
10:34.0,,,47-52,,Offensive rebound by Team
10:34.0,,,47-53,1,J. Teague makes free throw 2 of 2
10:14.0,M. Morris misses 2-pt shot from 15 ft,,47-53,,
10:11.0,,,47-53,,Defensive rebound by J. Teague
9:54.0,,,47-53,,D. Carroll misses 3-pt shot from 23 ft
9:53.0,Defensive rebound by B. Wright,,47-53,,
9:41.0,M. Morris misses 2-pt shot from 14 ft,,47-53,,
9:39.0,,,47-53,,Defensive rebound by M. Muscala
9:28.0,,,47-53,,Turnover by A. Horford (back court)
9:18.0,Turnover by E. Bledsoe (bad pass),,47-53,,
9:10.0,Personal foul by P. Tucker (drawn by K. Korver),,47-53,,
8:55.0,,,47-53,,J. Teague misses 2-pt shot from 12 ft
8:54.0,,,47-53,,Offensive rebound by M. Muscala
8:54.0,,,47-55,2,M. Muscala makes 2-pt shot at rim
8:48.0,E. Bledsoe misses 3-pt shot from 24 ft,,47-55,,
8:47.0,,,47-55,,Defensive rebound by D. Carroll
8:37.0,,,47-57,2,D. Carroll makes 2-pt shot from 1 ft (assist by K. Korver)
8:09.0,P. Tucker misses 3-pt shot from 24 ft,,47-57,,
8:09.0,Offensive rebound by Team,,47-57,,
8:09.0,Turnover by Team (shot clock),,47-57,,
7:53.0,,,47-59,2,A. Horford makes 2-pt shot from 11 ft
7:51.0,Phoenix full timeout,,47-59,,
7:51.0,Turnover by E. Bledsoe (bad pass; steal by A. Horford),,47-59,,
7:46.0,,,47-59,,K. Korver misses 3-pt shot from 24 ft
7:44.0,Defensive rebound by Team,,47-59,,
7:42.0,,,47-59,,Loose ball foul by M. Muscala (drawn by P. Tucker)
7:42.0,,,47-59,,M. Scott enters the game for M. Muscala
7:42.0,P. Tucker misses 3-pt shot from 23 ft,,47-59,,
7:41.0,,,47-59,,Defensive rebound by A. Horford
7:19.0,,,47-61,2,D. Carroll makes 2-pt shot from 12 ft (assist by M. Scott)
6:57.0,P. Tucker misses 2-pt shot from 1 ft (block by D. Carroll),,47-61,,
6:56.0,,,47-61,,Defensive rebound by D. Carroll
6:46.0,,,47-63,2,J. Teague makes 2-pt shot at rim (assist by D. Carroll)
6:27.0,,,47-63,,Personal foul by J. Teague (drawn by E. Bledsoe)
6:27.0,,,47-63,,P. Antic enters the game for A. Horford
6:27.0,,,47-63,,K. Bazemore enters the game for K. Korver
6:27.0,G. Green enters the game for M. Morris,,47-63,,
6:27.0,A. Goodwin enters the game for P. Tucker,,47-63,,
6:27.0,G. Green misses 2-pt shot from 18 ft,,47-63,,
6:27.0,,,47-63,,Defensive rebound by D. Carroll
6:15.0,,,47-63,,P. Antic misses 2-pt shot from 19 ft
6:13.0,Defensive rebound by M. Morris,,47-63,,
6:09.0,E. Bledsoe makes 2-pt shot from 19 ft,2,49-63,,
5:58.0,,,49-63,,J. Teague misses 2-pt shot at rim
5:57.0,Defensive rebound by M. Morris,,49-63,,
5:51.0,,,49-63,,Personal foul by P. Antic (drawn by E. Bledsoe)
5:51.0,Technical foul by E. Bledsoe,,49-63,,
5:51.0,Technical foul by E. Bledsoe,,49-63,,
5:51.0,R. Bullock enters the game for E. Bledsoe,,49-63,,
5:51.0,,,49-64,1,J. Teague makes technical free throw
5:51.0,,,49-65,1,J. Teague makes technical free throw
5:34.0,Turnover by R. Bullock (traveling),,49-65,,
5:34.0,,,49-65,,Turnover by P. Antic (bad pass)
5:34.0,G. Green misses 3-pt shot from 23 ft,,49-65,,
5:34.0,,,49-65,,Defensive rebound by K. Bazemore
4:27.0,,,49-65,,Turnover by K. Bazemore (bad pass)
4:15.0,G. Green misses 3-pt shot from 25 ft,,49-65,,
4:13.0,,,49-65,,Defensive rebound by K. Bazemore
4:04.0,,,49-65,,K. Bazemore misses 3-pt shot from 24 ft
4:03.0,,,49-65,,Offensive rebound by P. Antic
4:03.0,,,49-67,2,P. Antic makes 2-pt shot at rim
3:49.0,Turnover by A. Goodwin (bad pass; steal by M. Scott),,49-67,,
3:38.0,,,49-67,,Atlanta full timeout
3:38.0,,,49-67,,D. Schroder enters the game for D. Carroll
3:38.0,,,49-67,,S. Mack enters the game for J. Teague
3:25.0,,,49-67,,Turnover by K. Bazemore (lost ball)
3:06.0,,,49-67,,Personal foul by P. Antic (drawn by M. Morris)
3:06.0,M. Morris makes free throw 1 of 2,1,50-67,,
3:06.0,M. Morris makes free throw 2 of 2,1,51-67,,
2:51.0,,,51-69,2,S. Mack makes 2-pt shot from 10 ft
2:38.0,Shooting foul by D. Schroder (drawn by A. Goodwin),,51-69,,
2:38.0,A. Goodwin makes free throw 1 of 2,1,52-69,,
2:38.0,E. Barron enters the game for M. Morris,,52-69,,
2:38.0,A. Goodwin makes free throw 2 of 2,1,53-69,,
2:14.0,,,53-69,,D. Schroder misses 3-pt shot from 24 ft
2:13.0,Defensive rebound by R. Bullock,,53-69,,
2:03.0,G. Green makes 2-pt shot from 20 ft,2,55-69,,
2:03.0,Shooting foul by K. Bazemore (drawn by G. Green),,55-69,,
2:03.0,G. Green makes free throw 1 of 1,1,56-69,,
1:47.0,,,56-69,,S. Mack misses 3-pt shot from 25 ft
1:45.0,,,56-69,,Offensive rebound by D. Schroder
1:35.0,,,56-69,,M. Scott misses 3-pt shot from 24 ft
1:35.0,Defensive rebound by R. Bullock,,56-69,,
1:24.0,G. Green misses 2-pt shot from 19 ft,,56-69,,
1:23.0,,,56-69,,Defensive rebound by M. Scott
1:12.0,,,56-69,,M. Scott misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by B. Wright,,56-69,,
0:52.0,A. Goodwin misses 3-pt shot from 25 ft,,56-69,,
0:50.0,,,56-69,,Defensive rebound by K. Bazemore
0:42.0,,,56-69,,P. Antic misses 3-pt shot from 25 ft
0:40.0,Defensive rebound by B. Wright,,56-69,,
0:19.0,G. Green misses 2-pt shot from 15 ft,,56-69,,
0:17.0,,,56-69,,Defensive rebound by P. Antic
0:00.0,,,56-69,,K. Bazemore misses 3-pt shot from 25 ft
0:00.0,,,56-69,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,56-71,2,A. Horford makes 2-pt shot from 16 ft (assist by S. Mack)
11:28.0,Turnover by E. Barron (bad pass; steal by M. Muscala),,56-71,,
11:22.0,,,56-71,,Shooting foul by R. Bullock (drawn by M. Muscala)
11:22.0,,,56-72,1,M. Muscala makes free throw 1 of 2
11:22.0,,,56-73,1,M. Muscala makes free throw 2 of 2
11:07.0,Turnover by G. Green (discontinued dribble),,56-73,,
10:57.0,,,56-73,,S. Mack misses 2-pt shot from 4 ft (block by A. Goodwin)
10:56.0,,,56-73,,Offensive rebound by Team
10:45.0,,,56-73,,K. Korver misses 3-pt shot from 27 ft
10:44.0,Defensive rebound by P. Tucker,,56-73,,
10:31.0,G. Green misses 2-pt shot from 14 ft,,56-73,,
10:26.0,,,56-73,,Defensive rebound by A. Horford
10:20.0,,,56-75,2,M. Muscala makes 2-pt shot at rim (assist by T. Sefolosha)
9:53.0,G. Green makes 3-pt shot from 24 ft (assist by E. Barron),3,59-75,,
9:45.0,,,59-77,2,A. Horford makes 2-pt shot from 1 ft (assist by S. Mack)
9:29.0,R. Bullock misses 2-pt shot from 4 ft (block by M. Muscala),,59-77,,
9:26.0,Offensive rebound by R. Bullock,,59-77,,
9:23.0,G. Green misses 3-pt shot from 23 ft,,59-77,,
9:22.0,,,59-77,,Defensive rebound by A. Horford
9:16.0,,,59-79,2,M. Muscala makes 2-pt shot from 1 ft (assist by K. Korver)
9:15.0,Phoenix full timeout,,59-79,,
9:15.0,T. Warren enters the game for G. Green,,59-79,,
8:51.0,A. Goodwin misses 2-pt shot from 8 ft,,59-79,,
8:50.0,Offensive rebound by E. Barron,,59-79,,
8:50.0,E. Barron misses 2-pt shot at rim,,59-79,,
8:49.0,Offensive rebound by E. Barron,,59-79,,
8:49.0,E. Barron misses 2-pt shot at rim,,59-79,,
8:49.0,Offensive rebound by Team,,59-79,,
8:43.0,R. Bullock misses 2-pt shot from 19 ft,,59-79,,
8:42.0,,,59-79,,Defensive rebound by T. Sefolosha
8:29.0,,,59-82,3,K. Korver makes 3-pt shot from 25 ft (assist by A. Horford)
8:12.0,T. Warren misses 2-pt shot from 10 ft,,59-82,,
8:10.0,Offensive rebound by T. Warren,,59-82,,
8:08.0,T. Warren makes 2-pt shot from 8 ft,2,61-82,,
7:52.0,,,61-84,2,M. Muscala makes 2-pt shot at rim (assist by S. Mack)
7:29.0,T. Warren misses 2-pt shot from 8 ft,,61-84,,
7:27.0,,,61-84,,Defensive rebound by A. Horford
7:19.0,,,61-84,,K. Korver misses 2-pt shot from 17 ft
7:18.0,Defensive rebound by R. Bullock,,61-84,,
7:12.0,Turnover by T. Warren (lost ball),,61-84,,
7:12.0,,,61-84,,M. Scott enters the game for A. Horford
6:52.0,,,61-86,2,M. Muscala makes 2-pt shot from 5 ft
6:27.0,P. Tucker misses 2-pt shot from 1 ft (block by K. Korver),,61-86,,
6:25.0,,,61-86,,Defensive rebound by T. Sefolosha
6:21.0,,,61-88,2,S. Mack makes 2-pt shot from 2 ft
6:20.0,Phoenix full timeout,,61-88,,
6:20.0,,,61-88,,E. Brand enters the game for M. Muscala
6:20.0,,,61-88,,D. Schroder enters the game for K. Korver
6:20.0,,,61-88,,K. Bazemore enters the game for S. Mack
6:20.0,M. Thornton enters the game for P. Tucker,,61-88,,
6:04.0,T. Warren misses 2-pt shot from 10 ft,,61-88,,
6:03.0,,,61-88,,Defensive rebound by K. Bazemore
5:43.0,,,61-90,2,M. Scott makes 2-pt shot from 15 ft (assist by D. Schroder)
5:21.0,E. Barron misses 2-pt shot from 1 ft,,61-90,,
5:20.0,,,61-90,,Defensive rebound by K. Bazemore
5:02.0,,,61-90,,Shooting foul by E. Barron (drawn by D. Schroder)
5:02.0,Official timeout,,61-90,,
5:02.0,,,61-91,1,D. Schroder makes free throw 1 of 2
5:02.0,,,61-92,1,D. Schroder makes free throw 2 of 2
4:51.0,M. Thornton makes 3-pt shot from 24 ft (assist by T. Warren),3,64-92,,
4:31.0,,,64-92,,M. Scott misses 3-pt shot from 25 ft
4:30.0,Defensive rebound by M. Thornton,,64-92,,
4:16.0,M. Thornton misses 3-pt shot from 24 ft,,64-92,,
4:15.0,,,64-92,,Defensive rebound by T. Sefolosha
4:02.0,,,64-92,,M. Scott misses 2-pt shot from 17 ft
3:59.0,Defensive rebound by M. Thornton,,64-92,,
3:50.0,E. Barron misses 2-pt shot from 20 ft,,64-92,,
3:49.0,,,64-92,,Defensive rebound by M. Scott
3:35.0,,,64-92,,T. Sefolosha misses 2-pt shot from 20 ft
3:34.0,Defensive rebound by A. Goodwin,,64-92,,
3:24.0,Shooting foul by E. Brand (drawn by E. Barron),,64-92,,
3:24.0,E. Barron misses free throw 1 of 2,,64-92,,
3:24.0,Offensive rebound by Team,,64-92,,
3:24.0,,,64-92,,S. Mack enters the game for T. Sefolosha
3:24.0,E. Barron makes free throw 2 of 2,1,65-92,,
3:12.0,,,65-94,2,D. Schroder makes 2-pt shot from 1 ft
2:49.0,R. Bullock misses 3-pt shot from 23 ft,,65-94,,
2:48.0,,,65-94,,Defensive rebound by K. Bazemore
2:38.0,,,65-94,,M. Scott misses 2-pt shot from 11 ft (block by T. Warren)
2:36.0,Defensive rebound by E. Barron,,65-94,,
2:27.0,M. Thornton makes 2-pt shot from 17 ft,2,67-94,,
2:09.0,,,67-94,,D. Schroder misses 2-pt shot from 17 ft
2:07.0,,,67-94,,Offensive rebound by Team
2:07.0,,,67-94,,Atlanta full timeout
2:07.0,,,67-94,,T. Sefolosha enters the game for D. Schroder
1:48.0,,,67-94,,K. Bazemore misses 3-pt shot from 22 ft
1:46.0,Defensive rebound by T. Warren,,67-94,,
1:22.0,M. Thornton misses 3-pt shot from 25 ft,,67-94,,
1:21.0,,,67-94,,Defensive rebound by E. Brand
