time,Orlando,pts.away,score,pts.home,Minnesota
7:51.0,,,13-6,2,A. Wiggins makes 2-pt shot from 7 ft
7:30.0,N. Vucevic makes 2-pt shot from 1 ft (assist by V. Oladipo),2,15-6,,
7:11.0,,,15-6,,A. Payne misses 2-pt shot from 19 ft
7:09.0,Defensive rebound by E. Payton,,15-6,,
7:05.0,V. Oladipo makes 2-pt shot from 1 ft (assist by E. Payton),2,17-6,,
6:49.0,,,17-6,,Shooting foul by V. Oladipo (drawn by J. Hamilton)
6:49.0,,,17-7,1,J. Hamilton makes free throw 1 of 2
6:49.0,,,17-8,1,J. Hamilton makes free throw 2 of 2
6:40.0,V. Oladipo misses 2-pt shot from 17 ft,,17-8,,
6:39.0,,,17-8,,Defensive rebound by Z. LaVine
6:34.0,,,17-8,,Turnover by Z. LaVine (lost ball; steal by E. Payton)
6:30.0,Turnover by T. Harris (lost ball; steal by A. Wiggins),,17-8,,
6:25.0,,,17-8,,Z. LaVine misses 2-pt shot at rim
6:24.0,Defensive rebound by Team,,17-8,,
6:24.0,,,17-8,,C. Budinger enters the game for A. Payne
5:59.0,V. Oladipo misses 3-pt shot from 24 ft,,17-8,,
5:57.0,Offensive rebound by N. Vucevic,,17-8,,
5:56.0,Shooting foul by C. Budinger (drawn by D. Dedmon),,17-8,,
5:56.0,D. Dedmon misses free throw 1 of 2,,17-8,,
5:56.0,Offensive rebound by Team,,17-8,,
5:56.0,A. Gordon enters the game for T. Harris,,17-8,,
5:56.0,D. Dedmon makes free throw 2 of 2,1,18-8,,
5:44.0,Def 3 sec tech foul by D. Dedmon,,18-8,,
5:44.0,,,18-9,1,K. Martin makes technical free throw
5:33.0,,,18-11,2,A. Wiggins makes 2-pt shot from 9 ft
5:23.0,E. Payton makes 2-pt shot at rim,2,20-11,,
5:05.0,,,20-13,2,J. Hamilton makes 2-pt shot from 6 ft (assist by A. Wiggins)
4:42.0,Turnover by E. Payton (traveling),,20-13,,
4:42.0,,,20-13,,R. Hummel enters the game for K. Martin
4:29.0,,,20-13,,Shooting foul by V. Oladipo (drawn by C. Budinger)
4:29.0,,,20-14,1,C. Budinger makes free throw 1 of 3
4:29.0,,,20-15,1,C. Budinger makes free throw 2 of 3
4:29.0,M. Harkless enters the game for D. Dedmon,,20-15,,
4:29.0,,,20-16,1,C. Budinger makes free throw 3 of 3
4:08.0,A. Gordon misses 2-pt shot from 10 ft,,20-16,,
4:07.0,,,20-16,,Defensive rebound by J. Hamilton
4:00.0,,,20-16,,Z. LaVine misses 2-pt shot from 1 ft
3:59.0,Defensive rebound by N. Vucevic,,20-16,,
3:54.0,A. Gordon makes 2-pt shot at rim (assist by E. Payton),2,22-16,,
3:33.0,,,22-18,2,C. Budinger makes 2-pt shot from 19 ft
3:28.0,Orlando full timeout,,22-18,,
3:28.0,W. Green enters the game for V. Oladipo,,22-18,,
3:20.0,Turnover by W. Green (bad pass; steal by J. Hamilton),,22-18,,
3:14.0,,,22-18,,Turnover by R. Hummel (bad pass; steal by E. Payton)
3:10.0,E. Payton makes 2-pt shot at rim,2,24-18,,
2:51.0,Def 3 sec tech foul by N. Vucevic,,24-18,,
2:51.0,,,24-18,,Z. LaVine misses technical free throw
2:51.0,,,24-18,,Offensive rebound by Team
2:43.0,,,24-18,,A. Wiggins misses 2-pt shot from 16 ft
2:42.0,Defensive rebound by M. Harkless,,24-18,,
2:27.0,N. Vucevic misses 2-pt shot from 4 ft,,24-18,,
2:26.0,,,24-18,,Defensive rebound by R. Hummel
2:15.0,Personal foul by A. Gordon (drawn by A. Wiggins),,24-18,,
2:15.0,,,24-18,,A. Wiggins misses free throw 1 of 2
2:15.0,,,24-18,,Offensive rebound by Team
2:15.0,,,24-19,1,A. Wiggins makes free throw 2 of 2
1:55.0,N. Vucevic makes 2-pt shot from 13 ft,2,26-19,,
1:31.0,,,26-19,,C. Budinger misses 3-pt shot from 24 ft
1:28.0,,,26-19,,Offensive rebound by Z. LaVine
1:28.0,,,26-21,2,Z. LaVine makes 2-pt shot at rim
1:22.0,,,26-21,,Personal foul by Z. LaVine (drawn by E. Payton)
1:22.0,A. Nicholson enters the game for N. Vucevic,,26-21,,
1:12.0,W. Green misses 2-pt shot from 20 ft,,26-21,,
1:08.0,Offensive rebound by A. Nicholson,,26-21,,
0:55.0,Turnover by A. Gordon (bad pass; steal by C. Budinger),,26-21,,
0:47.0,,,26-21,,Turnover by R. Hummel (bad pass; steal by M. Harkless)
0:37.0,W. Green makes 3-pt shot from 23 ft (assist by E. Payton),3,29-21,,
0:31.0,,,29-21,,Z. LaVine misses 3-pt shot from 25 ft
0:31.0,,,29-21,,Offensive rebound by Team
0:31.0,Loose ball foul by A. Nicholson (drawn by J. Hamilton),,29-21,,
0:31.0,,,29-22,1,J. Hamilton makes free throw 1 of 2
0:31.0,,,29-22,,L. Brown enters the game for Z. LaVine
0:31.0,,,29-23,1,J. Hamilton makes free throw 2 of 2
0:12.0,W. Green misses 2-pt shot from 13 ft,,29-23,,
0:12.0,,,29-23,,Defensive rebound by L. Brown
0:01.0,,,29-23,,Turnover by A. Wiggins (lost ball; steal by E. Payton)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,,,29-23,,R. Hummel misses 2-pt shot from 16 ft
11:41.0,Defensive rebound by T. Harris,,29-23,,
11:30.0,T. Harris misses 2-pt shot from 18 ft,,29-23,,
11:29.0,Offensive rebound by A. Gordon,,29-23,,
11:25.0,A. Gordon misses 2-pt shot at rim,,29-23,,
11:22.0,,,29-23,,Defensive rebound by A. Payne
11:04.0,Jump ball: L. Brown vs. A. Gordon (M. Harkless gains possession),,,,Jump ball: L. Brown vs. A. Gordon (M. Harkless gains possession)
11:04.0,,,29-23,,Turnover by L. Brown (lost ball; steal by M. Harkless)
10:52.0,,,29-23,,Violation by A. Payne (def goaltending)
10:52.0,T. Harris makes 2-pt shot at rim,2,31-23,,
10:44.0,,,31-23,,Turnover by K. Martin (traveling)
10:42.0,Turnover by W. Green (traveling),,31-23,,
10:31.0,,,31-23,,K. Martin misses 2-pt shot from 7 ft
10:30.0,Defensive rebound by A. Nicholson,,31-23,,
10:24.0,T. Harris makes 2-pt shot from 5 ft,2,33-23,,
10:24.0,Shooting foul by R. Hummel (drawn by T. Harris),,33-23,,
10:24.0,T. Harris misses free throw 1 of 1,,33-23,,
10:23.0,,,33-23,,Defensive rebound by C. Budinger
10:05.0,,,33-23,,Shooting foul by M. Harkless (drawn by C. Budinger)
10:05.0,,,33-24,1,C. Budinger makes free throw 1 of 2
10:05.0,,,33-25,1,C. Budinger makes free throw 2 of 2
9:50.0,T. Harris makes 2-pt shot from 3 ft (assist by A. Gordon),2,35-25,,
9:35.0,,,35-27,2,A. Payne makes 2-pt shot at rim (assist by K. Martin)
9:13.0,Offensive foul by A. Nicholson,,35-27,,
9:13.0,Turnover by A. Nicholson (offensive foul),,35-27,,
9:02.0,,,35-27,,C. Budinger misses 3-pt shot from 24 ft
9:00.0,Defensive rebound by T. Harris,,35-27,,
8:54.0,T. Harris makes 2-pt shot at rim (assist by W. Green),2,37-27,,
8:34.0,,,37-29,2,A. Payne makes 2-pt shot from 12 ft (assist by K. Martin)
8:27.0,Orlando full timeout,,37-29,,
8:27.0,,,37-29,,Z. LaVine enters the game for L. Brown
8:27.0,,,37-29,,A. Wiggins enters the game for R. Hummel
8:27.0,V. Oladipo enters the game for A. Gordon,,37-29,,
8:13.0,Offensive foul by A. Nicholson,,37-29,,
8:13.0,Turnover by A. Nicholson (offensive foul),,37-29,,
8:13.0,N. Vucevic enters the game for A. Nicholson,,37-29,,
8:00.0,,,37-29,,A. Wiggins misses 2-pt shot from 20 ft
7:59.0,Defensive rebound by W. Green,,37-29,,
7:51.0,,,37-29,,Personal foul by K. Martin (drawn by V. Oladipo)
7:35.0,T. Harris misses 3-pt shot from 25 ft,,37-29,,
7:34.0,Offensive rebound by Team,,37-29,,
7:34.0,,,37-29,,Loose ball foul by K. Martin (drawn by N. Vucevic)
7:16.0,V. Oladipo misses 2-pt shot from 7 ft,,37-29,,
7:15.0,,,37-29,,Defensive rebound by Team
7:05.0,,,37-29,,K. Martin misses 2-pt shot from 18 ft
7:03.0,Defensive rebound by T. Harris,,37-29,,
6:57.0,Shooting foul by C. Budinger (drawn by T. Harris),,37-29,,
6:57.0,T. Harris makes free throw 1 of 2,1,38-29,,
6:57.0,E. Payton enters the game for W. Green,,38-29,,
6:57.0,,,38-29,,Minnesota full timeout
6:57.0,T. Harris makes free throw 2 of 2,1,39-29,,
6:46.0,,,39-29,,Turnover by A. Payne (lost ball; steal by N. Vucevic)
6:38.0,V. Oladipo misses 3-pt shot from 24 ft,,39-29,,
6:36.0,,,39-29,,Defensive rebound by Z. LaVine
6:24.0,,,39-29,,Turnover by A. Wiggins (traveling)
6:24.0,,,39-29,,J. Hamilton enters the game for A. Payne
6:12.0,T. Harris misses 2-pt shot from 8 ft,,39-29,,
6:11.0,,,39-29,,Defensive rebound by J. Hamilton
6:05.0,,,39-31,2,A. Wiggins makes 2-pt shot at rim
5:49.0,N. Vucevic makes 2-pt shot at rim (assist by E. Payton),2,41-31,,
5:31.0,,,41-31,,J. Hamilton misses 2-pt shot from 6 ft
5:30.0,Defensive rebound by N. Vucevic,,41-31,,
5:21.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,43-31,,
5:05.0,,,43-33,2,J. Hamilton makes 2-pt shot at rim (assist by C. Budinger)
4:47.0,Turnover by N. Vucevic (3 sec),,43-33,,
4:28.0,,,43-33,,C. Budinger misses 3-pt shot from 24 ft
4:27.0,Defensive rebound by N. Vucevic,,43-33,,
4:21.0,Turnover by T. Harris (bad pass),,43-33,,
4:09.0,,,43-35,2,Z. LaVine makes 2-pt shot from 21 ft
4:06.0,Orlando full timeout,,43-35,,
4:06.0,A. Gordon enters the game for M. Harkless,,43-35,,
3:48.0,Turnover by N. Vucevic (bad pass; steal by K. Martin),,43-35,,
3:28.0,,,43-35,,K. Martin misses 3-pt shot from 24 ft
3:27.0,Defensive rebound by T. Harris,,43-35,,
3:04.0,A. Gordon misses 3-pt shot from 24 ft,,43-35,,
3:03.0,Offensive rebound by T. Harris,,43-35,,
3:02.0,T. Harris misses 2-pt shot from 1 ft,,43-35,,
3:01.0,Offensive rebound by N. Vucevic,,43-35,,
3:01.0,N. Vucevic makes 2-pt shot at rim,2,45-35,,
2:37.0,,,45-37,2,C. Budinger makes 2-pt shot from 2 ft
2:26.0,V. Oladipo makes 2-pt shot from 18 ft,2,47-37,,
2:06.0,,,47-39,2,Z. LaVine makes 2-pt shot from 22 ft (assist by C. Budinger)
1:55.0,N. Vucevic misses 2-pt shot from 17 ft,,47-39,,
1:54.0,,,47-39,,Defensive rebound by C. Budinger
1:47.0,,,47-39,,Turnover by Z. LaVine (traveling)
1:31.0,V. Oladipo misses 2-pt shot from 2 ft (block by J. Hamilton),,47-39,,
1:29.0,,,47-39,,Defensive rebound by K. Martin
1:23.0,,,47-39,,Turnover by K. Martin (lost ball; steal by T. Harris)
1:17.0,A. Gordon misses 2-pt shot from 1 ft (block by C. Budinger),,47-39,,
1:16.0,Offensive rebound by A. Gordon,,47-39,,
1:15.0,A. Gordon misses 2-pt shot from 1 ft,,47-39,,
1:13.0,Offensive rebound by T. Harris,,47-39,,
1:12.0,Shooting foul by J. Hamilton (drawn by T. Harris),,47-39,,
1:12.0,T. Harris makes free throw 1 of 2,1,48-39,,
1:12.0,W. Green enters the game for V. Oladipo,,48-39,,
1:12.0,,,48-39,,Minnesota full timeout
1:12.0,T. Harris misses free throw 2 of 2,,48-39,,
1:11.0,,,48-39,,Defensive rebound by J. Hamilton
1:00.0,,,48-41,2,A. Wiggins makes 2-pt shot from 18 ft
1:00.0,,,48-41,,Shooting foul by E. Payton (drawn by A. Wiggins)
1:00.0,,,48-41,,A. Payne enters the game for J. Hamilton
1:00.0,,,48-41,,L. Brown enters the game for K. Martin
1:00.0,,,48-41,,R. Hummel enters the game for C. Budinger
1:00.0,,,48-42,1,A. Wiggins makes free throw 1 of 1
0:51.0,T. Harris misses 2-pt shot from 1 ft (block by A. Wiggins),,48-42,,
0:50.0,Offensive rebound by Team,,48-42,,
0:50.0,Orlando full timeout,,48-42,,
0:50.0,V. Oladipo enters the game for W. Green,,48-42,,
0:41.0,N. Vucevic makes 2-pt shot from 12 ft,2,50-42,,
0:41.0,Shooting foul by A. Payne (drawn by N. Vucevic),,50-42,,
0:41.0,W. Green enters the game for V. Oladipo,,50-42,,
0:41.0,N. Vucevic misses free throw 1 of 1,,50-42,,
0:40.0,Offensive rebound by A. Gordon,,50-42,,
0:38.0,Turnover by T. Harris (offensive goaltending),,50-42,,
0:33.0,,,50-42,,Z. LaVine misses 2-pt shot from 19 ft
0:32.0,Defensive rebound by W. Green,,50-42,,
0:10.0,N. Vucevic makes 2-pt shot from 20 ft (assist by E. Payton),2,52-42,,
0:01.0,,,52-42,,Turnover by L. Brown (step out of bounds)
0:01.0,W. Green misses 3-pt shot from 25 ft,,52-42,,
0:00.0,Offensive rebound by Team,,52-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,52-42,,K. Martin misses 2-pt shot from 16 ft
11:48.0,Defensive rebound by E. Payton,,52-42,,
11:30.0,N. Vucevic makes 2-pt shot from 16 ft,2,54-42,,
11:14.0,,,54-44,2,A. Wiggins makes 2-pt shot from 3 ft
10:55.0,Turnover by V. Oladipo (lost ball),,54-44,,
10:44.0,,,54-44,,K. Martin misses 2-pt shot from 19 ft
10:43.0,Defensive rebound by D. Dedmon,,54-44,,
10:38.0,T. Harris makes 2-pt shot from 4 ft,2,56-44,,
10:31.0,,,56-44,,Turnover by Z. LaVine (bad pass)
10:19.0,T. Harris misses 2-pt shot from 7 ft (block by A. Payne),,56-44,,
10:18.0,,,56-44,,Defensive rebound by J. Hamilton
10:13.0,,,56-46,2,K. Martin makes 2-pt shot at rim (assist by Z. LaVine)
9:59.0,N. Vucevic misses 2-pt shot from 19 ft,,56-46,,
9:58.0,Offensive rebound by D. Dedmon,,56-46,,
9:55.0,D. Dedmon misses 2-pt shot from 7 ft,,56-46,,
9:54.0,,,56-46,,Defensive rebound by J. Hamilton
9:49.0,,,56-46,,Turnover by A. Wiggins (bad pass; steal by V. Oladipo)
9:48.0,,,56-46,,Personal foul by K. Martin (drawn by V. Oladipo)
9:38.0,N. Vucevic makes 2-pt shot at rim (assist by V. Oladipo),2,58-46,,
9:37.0,,,58-46,,Minnesota full timeout
9:37.0,,,58-46,,C. Budinger enters the game for K. Martin
9:15.0,,,58-46,,J. Hamilton misses 2-pt shot from 16 ft
9:14.0,Defensive rebound by D. Dedmon,,58-46,,
9:02.0,V. Oladipo misses 3-pt shot from 22 ft,,58-46,,
9:01.0,,,58-46,,Defensive rebound by Z. LaVine
8:53.0,,,58-48,2,A. Payne makes 2-pt shot from 20 ft (assist by J. Hamilton)
8:34.0,V. Oladipo misses 3-pt shot from 24 ft,,58-48,,
8:31.0,Offensive rebound by T. Harris,,58-48,,
8:24.0,Turnover by D. Dedmon (bad pass; steal by J. Hamilton),,58-48,,
8:20.0,,,58-50,2,J. Hamilton makes 2-pt shot at rim
8:04.0,V. Oladipo misses 2-pt shot from 11 ft,,58-50,,
8:03.0,Offensive rebound by Team,,58-50,,
7:55.0,N. Vucevic misses 2-pt shot from 12 ft,,58-50,,
7:53.0,,,58-50,,Defensive rebound by C. Budinger
7:47.0,Personal foul by D. Dedmon (drawn by J. Hamilton),,58-50,,
7:47.0,,,58-50,,J. Hamilton misses free throw 1 of 2
7:47.0,,,58-50,,Offensive rebound by Team
7:47.0,W. Green enters the game for V. Oladipo,,58-50,,
7:47.0,,,58-50,,J. Hamilton misses free throw 2 of 2
7:46.0,Defensive rebound by N. Vucevic,,58-50,,
7:37.0,V. Oladipo enters the game for W. Green,,58-50,,
7:23.0,V. Oladipo misses 2-pt shot from 21 ft,,58-50,,
7:22.0,,,58-50,,Defensive rebound by Team
7:08.0,,,58-50,,Turnover by A. Wiggins (bad pass; steal by E. Payton)
6:56.0,T. Harris misses 3-pt shot from 23 ft,,58-50,,
6:55.0,,,58-50,,Defensive rebound by A. Payne
6:39.0,,,58-50,,Z. LaVine misses 2-pt shot from 13 ft
6:37.0,,,58-50,,Offensive rebound by J. Hamilton
6:33.0,,,58-52,2,A. Payne makes 2-pt shot at rim (assist by J. Hamilton)
6:31.0,Orlando full timeout,,58-52,,
6:16.0,N. Vucevic makes 2-pt shot from 18 ft (assist by D. Dedmon),2,60-52,,
5:59.0,,,60-54,2,A. Payne makes 2-pt shot from 19 ft (assist by Z. LaVine)
5:37.0,T. Harris misses 2-pt shot from 16 ft,,60-54,,
5:36.0,,,60-54,,Defensive rebound by C. Budinger
5:32.0,,,60-54,,Turnover by C. Budinger (bad pass)
5:27.0,Turnover by E. Payton (bad pass; steal by A. Payne),,60-54,,
5:12.0,,,60-54,,A. Payne misses 2-pt shot from 13 ft
5:11.0,Defensive rebound by E. Payton,,60-54,,
5:03.0,D. Dedmon makes 2-pt shot from 15 ft (assist by V. Oladipo),2,62-54,,
4:44.0,,,62-54,,R. Hummel enters the game for A. Payne
4:44.0,A. Gordon enters the game for D. Dedmon,,62-54,,
4:40.0,,,62-54,,A. Wiggins misses 2-pt shot from 1 ft
4:39.0,Defensive rebound by N. Vucevic,,62-54,,
4:35.0,Offensive charge foul by T. Harris,,62-54,,
4:35.0,Turnover by T. Harris (offensive foul),,62-54,,
4:27.0,Personal foul by E. Payton (drawn by R. Hummel),,62-54,,
4:19.0,,,62-54,,Shooting foul by T. Harris (drawn by A. Wiggins)
4:19.0,,,62-55,1,A. Wiggins makes free throw 1 of 2
4:19.0,,,62-56,1,A. Wiggins makes free throw 2 of 2
4:06.0,A. Gordon misses 3-pt shot from 25 ft,,62-56,,
4:04.0,Offensive rebound by N. Vucevic,,62-56,,
4:03.0,N. Vucevic makes 2-pt shot at rim,2,64-56,,
3:42.0,,,64-56,,Z. LaVine misses 3-pt shot from 24 ft
3:39.0,Defensive rebound by E. Payton,,64-56,,
3:30.0,T. Harris makes 3-pt shot from 23 ft (assist by E. Payton),3,67-56,,
3:13.0,,,67-56,,A. Wiggins misses 2-pt shot from 9 ft
3:12.0,Defensive rebound by T. Harris,,67-56,,
3:06.0,V. Oladipo misses 2-pt shot at rim,,67-56,,
3:05.0,,,67-56,,Defensive rebound by A. Wiggins
2:56.0,,,67-58,2,R. Hummel makes 2-pt shot from 20 ft (assist by Z. LaVine)
2:29.0,V. Oladipo misses 3-pt shot from 24 ft,,67-58,,
2:28.0,,,67-58,,Defensive rebound by R. Hummel
2:19.0,,,67-60,2,A. Wiggins makes 2-pt shot from 15 ft
2:04.0,Turnover by E. Payton (step out of bounds),,67-60,,
2:04.0,,,67-60,,K. Martin enters the game for A. Wiggins
1:53.0,,,67-63,3,C. Budinger makes 3-pt shot from 24 ft (assist by Z. LaVine)
1:30.0,W. Green enters the game for V. Oladipo,,67-63,,
1:26.0,E. Payton misses 2-pt shot from 1 ft (block by R. Hummel),,67-63,,
1:25.0,Offensive rebound by E. Payton,,67-63,,
1:24.0,E. Payton makes 2-pt shot at rim,2,69-63,,
1:15.0,,,69-63,,C. Budinger misses 2-pt shot from 8 ft
1:13.0,Defensive rebound by E. Payton,,69-63,,
1:00.0,E. Payton misses 2-pt shot from 7 ft,,69-63,,
0:59.0,Offensive rebound by N. Vucevic,,69-63,,
0:59.0,N. Vucevic misses 2-pt shot at rim,,69-63,,
0:57.0,,,69-63,,Defensive rebound by R. Hummel
0:46.0,Personal foul by N. Vucevic (drawn by J. Hamilton),,69-63,,
0:38.0,,,69-63,,Z. LaVine misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by Team,,69-63,,
0:22.0,A. Gordon makes 3-pt shot from 23 ft (assist by N. Vucevic),3,72-63,,
0:03.0,,,72-65,2,K. Martin makes 2-pt shot from 18 ft (assist by Z. LaVine)
0:01.0,E. Payton misses 3-pt shot from 25 ft,,72-65,,
0:00.0,Offensive rebound by Team,,72-65,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,W. Green misses 3-pt shot from 24 ft,,72-65,,
11:45.0,,,72-65,,Defensive rebound by Z. LaVine
11:27.0,,,72-65,,K. Martin misses 2-pt shot from 21 ft (block by W. Green)
11:24.0,Defensive rebound by V. Oladipo,,72-65,,
11:12.0,Turnover by V. Oladipo (bad pass; steal by K. Martin),,72-65,,
11:09.0,,,72-67,2,Z. LaVine makes 2-pt shot at rim (assist by K. Martin)
10:46.0,A. Gordon misses 2-pt shot from 1 ft,,72-67,,
10:44.0,Offensive rebound by D. Dedmon,,72-67,,
10:43.0,,,72-67,,Personal foul by R. Hummel (drawn by D. Dedmon)
10:43.0,,,72-67,,L. Brown enters the game for Z. LaVine
10:43.0,,,72-67,,A. Payne enters the game for J. Hamilton
10:29.0,W. Green misses 2-pt shot from 13 ft,,72-67,,
10:28.0,,,72-67,,Defensive rebound by L. Brown
10:22.0,,,72-67,,Shooting foul by V. Oladipo (drawn by K. Martin)
10:22.0,,,72-68,1,K. Martin makes free throw 1 of 2
10:22.0,,,72-69,1,K. Martin makes free throw 2 of 2
10:13.0,V. Oladipo misses 2-pt shot from 10 ft,,72-69,,
10:12.0,,,72-69,,Defensive rebound by R. Hummel
9:59.0,,,72-69,,Offensive foul by A. Payne
9:59.0,,,72-69,,Turnover by A. Payne (offensive foul)
9:55.0,Offensive foul by D. Dedmon,,72-69,,
9:55.0,Turnover by D. Dedmon (offensive foul),,72-69,,
9:45.0,,,72-69,,K. Martin misses 2-pt shot from 19 ft
9:44.0,Defensive rebound by D. Dedmon,,72-69,,
9:19.0,D. Dedmon misses 2-pt shot from 7 ft,,72-69,,
9:18.0,Offensive rebound by Team,,72-69,,
9:17.0,Orlando full timeout,,72-69,,
9:17.0,E. Payton enters the game for M. Harkless,,72-69,,
9:17.0,N. Vucevic enters the game for D. Dedmon,,72-69,,
8:59.0,N. Vucevic misses 2-pt shot from 12 ft,,72-69,,
8:58.0,Offensive rebound by A. Gordon,,72-69,,
8:38.0,N. Vucevic makes 2-pt shot from 6 ft (assist by A. Gordon),2,74-69,,
8:14.0,,,74-71,2,A. Payne makes 2-pt shot from 9 ft
7:55.0,E. Payton makes 2-pt shot from 6 ft (assist by V. Oladipo),2,76-71,,
7:30.0,,,76-73,2,K. Martin makes 2-pt shot from 18 ft
7:12.0,V. Oladipo misses 2-pt shot from 14 ft (block by C. Budinger),,76-73,,
7:10.0,,,76-73,,Defensive rebound by R. Hummel
7:01.0,,,76-73,,Turnover by K. Martin (lost ball; steal by V. Oladipo)
6:57.0,Shooting foul by R. Hummel (drawn by W. Green),,76-73,,
6:57.0,W. Green makes free throw 1 of 2,1,77-73,,
6:57.0,,,77-73,,J. Hamilton enters the game for A. Payne
6:57.0,,,77-73,,A. Wiggins enters the game for C. Budinger
6:57.0,W. Green makes free throw 2 of 2,1,78-73,,
6:40.0,,,78-73,,L. Brown misses 2-pt shot from 10 ft
6:38.0,Defensive rebound by N. Vucevic,,78-73,,
6:25.0,Turnover by E. Payton (bad pass; steal by K. Martin),,78-73,,
6:22.0,,,78-73,,Shooting foul by W. Green (drawn by K. Martin)
6:22.0,,,78-74,1,K. Martin makes free throw 1 of 2
6:22.0,,,78-74,,Z. LaVine enters the game for L. Brown
6:22.0,T. Harris enters the game for W. Green,,78-74,,
6:22.0,,,78-74,,K. Martin misses free throw 2 of 2
6:22.0,Defensive rebound by A. Gordon,,78-74,,
6:02.0,,,78-74,,Personal block foul by R. Hummel (drawn by E. Payton)
5:54.0,E. Payton misses 2-pt shot from 8 ft,,78-74,,
5:53.0,Offensive rebound by N. Vucevic,,78-74,,
5:53.0,N. Vucevic makes 2-pt shot at rim,2,80-74,,
5:45.0,,,80-74,,Minnesota full timeout
5:32.0,,,80-74,,Turnover by A. Wiggins (lost ball; steal by A. Gordon)
5:16.0,T. Harris makes 3-pt shot from 23 ft (assist by N. Vucevic),3,83-74,,
5:01.0,Personal foul by A. Gordon (drawn by A. Wiggins),,83-74,,
5:01.0,,,83-74,,C. Budinger enters the game for R. Hummel
4:53.0,,,83-74,,Z. LaVine misses 2-pt shot from 18 ft
4:52.0,Defensive rebound by T. Harris,,83-74,,
4:39.0,T. Harris makes 3-pt shot from 23 ft (assist by E. Payton),3,86-74,,
4:37.0,,,86-74,,Minnesota full timeout
4:28.0,,,86-74,,Shooting foul by V. Oladipo (drawn by K. Martin)
4:28.0,,,86-75,1,K. Martin makes free throw 1 of 2
4:28.0,,,86-76,1,K. Martin makes free throw 2 of 2
4:16.0,N. Vucevic makes 2-pt shot from 5 ft,2,88-76,,
4:16.0,Shooting foul by C. Budinger (drawn by N. Vucevic),,88-76,,
4:16.0,N. Vucevic makes free throw 1 of 1,1,89-76,,
4:02.0,,,89-78,2,J. Hamilton makes 2-pt shot at rim (assist by A. Wiggins)
3:34.0,N. Vucevic makes 2-pt shot from 10 ft (assist by V. Oladipo),2,91-78,,
3:21.0,,,91-78,,Shooting foul by A. Gordon (drawn by A. Wiggins)
3:21.0,,,91-79,1,A. Wiggins makes free throw 1 of 2
3:21.0,,,91-80,1,A. Wiggins makes free throw 2 of 2
3:05.0,E. Payton misses 2-pt shot from 15 ft,,91-80,,
