time,Portland,pts.away,score,pts.home,Memphis
6:51.0,L. Aldridge misses free throw 2 of 2,,8-9,,
6:50.0,,,8-9,,Defensive rebound by Z. Randolph
6:39.0,,,8-11,2,B. Udrih makes 2-pt shot from 16 ft
6:12.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard),3,11-11,,
5:57.0,,,11-13,2,Z. Randolph makes 2-pt shot from 21 ft (assist by C. Lee)
5:47.0,N. Batum misses 2-pt shot from 20 ft,,11-13,,
5:46.0,,,11-13,,Defensive rebound by Z. Randolph
5:30.0,,,11-16,3,C. Lee makes 3-pt shot from 22 ft (assist by M. Gasol)
5:29.0,Portland full timeout,,11-16,,
5:29.0,C. McCollum enters the game for C. Kaman,,11-16,,
5:29.0,M. Leonard enters the game for W. Matthews,,11-16,,
5:10.0,L. Aldridge misses 2-pt shot from 8 ft,,11-16,,
5:09.0,,,11-16,,Defensive rebound by C. Lee
4:54.0,,,11-18,2,M. Gasol makes 2-pt shot from 9 ft (assist by Z. Randolph)
4:31.0,L. Aldridge misses 2-pt shot from 17 ft,,11-18,,
4:28.0,,,11-18,,Defensive rebound by M. Gasol
4:20.0,,,11-18,,Shooting foul by L. Aldridge (drawn by Z. Randolph)
4:20.0,,,11-19,1,Z. Randolph makes free throw 1 of 2
4:20.0,D. Wright enters the game for N. Batum,,11-19,,
4:20.0,,,11-19,,J. Green enters the game for T. Allen
4:20.0,,,11-20,1,Z. Randolph makes free throw 2 of 2
4:00.0,D. Lillard makes 2-pt shot from 2 ft,2,13-20,,
4:00.0,Shooting foul by B. Udrih (drawn by D. Lillard),,13-20,,
4:00.0,D. Lillard makes free throw 1 of 1,1,14-20,,
3:42.0,,,14-22,2,B. Udrih makes 2-pt shot from 20 ft
3:23.0,L. Aldridge makes 2-pt shot from 2 ft,2,16-22,,
3:03.0,,,16-22,,C. Lee misses 3-pt shot from 23 ft
3:02.0,Defensive rebound by D. Wright,,16-22,,
2:57.0,Offensive foul by M. Leonard,,16-22,,
2:57.0,Turnover by M. Leonard (offensive foul),,16-22,,
2:57.0,,,16-22,,Memphis full timeout
2:57.0,S. Blake enters the game for D. Lillard,,16-22,,
2:57.0,,,16-22,,N. Calathes enters the game for M. Gasol
2:57.0,,,16-22,,K. Koufos enters the game for B. Udrih
2:40.0,,,16-22,,J. Green misses 2-pt shot from 16 ft
2:40.0,Defensive rebound by M. Leonard,,16-22,,
2:32.0,M. Leonard misses 3-pt shot from 24 ft,,16-22,,
2:29.0,,,16-22,,Defensive rebound by N. Calathes
2:15.0,,,16-24,2,K. Koufos makes 2-pt shot from 7 ft
1:56.0,L. Aldridge makes 3-pt shot from 22 ft (assist by S. Blake),3,19-24,,
1:40.0,,,19-26,2,C. Lee makes 2-pt shot from 9 ft
1:20.0,L. Aldridge makes 2-pt shot from 18 ft (assist by S. Blake),2,21-26,,
1:08.0,,,21-26,,Z. Randolph misses 2-pt shot from 12 ft
1:01.0,,,21-26,,Offensive rebound by K. Koufos
0:56.0,,,21-26,,Shooting foul by C. McCollum (drawn by Z. Randolph)
0:56.0,,,21-26,,V. Carter enters the game for C. Lee
0:56.0,,,21-27,1,Z. Randolph makes free throw 1 of 2
0:56.0,,,21-28,1,Z. Randolph makes free throw 2 of 2
0:36.0,L. Aldridge makes 2-pt shot from 21 ft (assist by S. Blake),2,23-28,,
0:36.0,,,23-28,,Turnover by K. Koufos (bad pass; steal by C. McCollum)
0:25.0,M. Leonard misses 3-pt shot from 25 ft,,23-28,,
0:23.0,,,23-28,,Defensive rebound by Z. Randolph
0:05.0,,,23-30,2,N. Calathes makes 2-pt shot from 16 ft
0:01.0,M. Leonard misses 3-pt shot from 23 ft,,23-30,,
0:00.0,Offensive rebound by Team,,23-30,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,23-30,,Z. Randolph misses 2-pt shot from 17 ft
11:43.0,Defensive rebound by M. Leonard,,23-30,,
11:32.0,C. Kaman misses 2-pt shot from 12 ft,,23-30,,
11:31.0,,,23-30,,Defensive rebound by Z. Randolph
11:22.0,,,23-33,3,J. Green makes 3-pt shot from 25 ft (assist by N. Calathes)
11:06.0,S. Blake misses 3-pt shot from 26 ft,,23-33,,
11:05.0,,,23-33,,Defensive rebound by K. Koufos
10:58.0,,,23-33,,Offensive foul by K. Koufos
10:58.0,,,23-33,,Turnover by K. Koufos (offensive foul)
10:58.0,,,23-33,,M. Gasol enters the game for Z. Randolph
10:46.0,W. Matthews makes 3-pt shot from 25 ft (assist by S. Blake),3,26-33,,
10:34.0,,,26-33,,Shooting foul by M. Leonard (drawn by V. Carter)
10:34.0,,,26-33,,V. Carter misses free throw 1 of 2
10:34.0,,,26-33,,Offensive rebound by Team
10:34.0,T. Robinson enters the game for M. Leonard,,26-33,,
10:34.0,,,26-33,,V. Carter misses free throw 2 of 2
10:31.0,,,26-33,,Offensive rebound by K. Koufos
10:24.0,,,26-35,2,J. Green makes 2-pt shot at rim (assist by N. Calathes)
10:10.0,W. Matthews misses 3-pt shot from 26 ft,,26-35,,
10:09.0,,,26-35,,Defensive rebound by N. Calathes
10:02.0,,,26-35,,J. Green misses 3-pt shot from 24 ft
10:00.0,Defensive rebound by S. Blake,,26-35,,
9:50.0,T. Robinson makes 2-pt shot from 15 ft (assist by S. Blake),2,28-35,,
9:32.0,,,28-35,,J. Green misses 2-pt shot from 7 ft
9:29.0,,,28-35,,Offensive rebound by Team
9:28.0,D. Lillard enters the game for D. Wright,,28-35,,
9:28.0,N. Batum enters the game for S. Blake,,28-35,,
9:19.0,,,28-35,,V. Carter misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by C. Kaman,,28-35,,
9:01.0,D. Lillard misses 3-pt shot from 24 ft,,28-35,,
8:59.0,,,28-35,,Defensive rebound by K. Koufos
8:49.0,,,28-37,2,V. Carter makes 2-pt shot at rim
8:34.0,T. Robinson misses 2-pt shot from 1 ft,,28-37,,
8:32.0,Offensive rebound by D. Lillard,,28-37,,
8:31.0,,,28-37,,Personal foul by N. Calathes (drawn by W. Matthews)
8:31.0,Portland full timeout,,28-37,,
8:26.0,C. Kaman makes 2-pt shot from 1 ft (assist by N. Batum),2,30-37,,
8:11.0,Personal foul by C. Kaman (drawn by M. Gasol),,30-37,,
8:05.0,,,30-40,3,J. Green makes 3-pt shot from 25 ft (assist by N. Calathes)
7:43.0,W. Matthews misses 2-pt shot from 14 ft,,30-40,,
7:41.0,Offensive rebound by C. Kaman,,30-40,,
7:41.0,C. Kaman misses 2-pt shot at rim,,30-40,,
7:39.0,Offensive rebound by C. Kaman,,30-40,,
7:32.0,Turnover by N. Batum (bad pass; steal by N. Calathes),,30-40,,
7:24.0,,,30-42,2,K. Koufos makes 2-pt shot from 9 ft
7:06.0,D. Lillard misses 2-pt shot from 3 ft,,30-42,,
7:06.0,Offensive rebound by T. Robinson,,30-42,,
7:06.0,Shooting foul by N. Calathes (drawn by T. Robinson),,30-42,,
7:06.0,T. Robinson makes free throw 1 of 2,1,31-42,,
7:06.0,L. Aldridge enters the game for C. Kaman,,31-42,,
7:06.0,T. Robinson makes free throw 2 of 2,1,32-42,,
6:47.0,,,32-45,3,V. Carter makes 3-pt shot from 24 ft (assist by K. Koufos)
6:37.0,Portland full timeout,,32-45,,
6:37.0,C. Kaman enters the game for T. Robinson,,32-45,,
6:23.0,D. Lillard misses 2-pt shot from 1 ft,,32-45,,
6:22.0,,,32-45,,Defensive rebound by M. Gasol
6:15.0,,,32-45,,V. Carter misses 3-pt shot from 26 ft
6:14.0,Defensive rebound by C. Kaman,,32-45,,
6:03.0,L. Aldridge makes 2-pt shot from 20 ft (assist by D. Lillard),2,34-45,,
5:38.0,,,34-45,,M. Gasol misses 2-pt shot from 16 ft
5:37.0,,,34-45,,Offensive rebound by V. Carter
5:37.0,,,34-45,,Shooting foul by W. Matthews (drawn by V. Carter)
5:37.0,,,34-45,,V. Carter misses free throw 1 of 2
5:37.0,,,34-45,,Offensive rebound by Team
5:37.0,,,34-45,,T. Allen enters the game for J. Green
5:37.0,,,34-46,1,V. Carter makes free throw 2 of 2
5:21.0,D. Lillard misses 3-pt shot from 27 ft,,34-46,,
5:19.0,Offensive rebound by C. Kaman,,34-46,,
5:13.0,Shooting foul by K. Koufos (drawn by L. Aldridge),,34-46,,
5:13.0,L. Aldridge makes free throw 1 of 2,1,35-46,,
5:13.0,S. Blake enters the game for N. Batum,,35-46,,
5:13.0,,,35-46,,B. Udrih enters the game for N. Calathes
5:13.0,L. Aldridge makes free throw 2 of 2,1,36-46,,
5:00.0,,,36-48,2,M. Gasol makes 2-pt shot from 6 ft
4:59.0,,,36-48,,Violation by Team (delay of game)
4:45.0,Offensive foul by D. Lillard,,36-48,,
4:45.0,Turnover by D. Lillard (offensive foul),,36-48,,
4:45.0,M. Leonard enters the game for C. Kaman,,36-48,,
4:45.0,,,36-48,,C. Lee enters the game for V. Carter
4:32.0,,,36-51,3,C. Lee makes 3-pt shot from 24 ft (assist by M. Gasol)
4:14.0,W. Matthews misses 3-pt shot from 26 ft,,36-51,,
4:13.0,,,36-51,,Defensive rebound by B. Udrih
4:01.0,,,36-51,,Shooting foul by L. Aldridge (drawn by B. Udrih)
4:01.0,,,36-52,1,B. Udrih makes free throw 1 of 2
4:01.0,,,36-52,,Z. Randolph enters the game for K. Koufos
4:01.0,,,36-53,1,B. Udrih makes free throw 2 of 2
3:49.0,D. Lillard misses 2-pt shot from 1 ft,,36-53,,
3:48.0,,,36-53,,Defensive rebound by Z. Randolph
3:33.0,,,36-53,,C. Lee misses 2-pt shot from 15 ft
3:32.0,Defensive rebound by D. Lillard,,36-53,,
3:32.0,,,36-53,,Loose ball foul by T. Allen (drawn by D. Lillard)
3:18.0,M. Leonard makes 2-pt shot from 11 ft (assist by S. Blake),2,38-53,,
2:57.0,,,38-53,,Shooting foul by M. Leonard (drawn by M. Gasol)
2:57.0,,,38-53,,Memphis full timeout
2:57.0,,,38-54,1,M. Gasol makes free throw 1 of 2
2:57.0,,,38-54,,M. Gasol misses free throw 2 of 2
2:55.0,Defensive rebound by L. Aldridge,,38-54,,
2:43.0,D. Lillard makes 2-pt shot from 20 ft (assist by S. Blake),2,40-54,,
2:18.0,,,40-54,,Offensive charge foul by C. Lee
2:18.0,,,40-54,,Turnover by C. Lee (offensive foul)
2:03.0,L. Aldridge misses 2-pt shot from 14 ft,,40-54,,
2:00.0,,,40-54,,Defensive rebound by T. Allen
1:52.0,,,40-54,,Shooting foul by L. Aldridge (drawn by Z. Randolph)
1:52.0,,,40-55,1,Z. Randolph makes free throw 1 of 2
1:52.0,D. Wright enters the game for L. Aldridge,,40-55,,
1:52.0,,,40-56,1,Z. Randolph makes free throw 2 of 2
1:37.0,D. Lillard makes 2-pt shot from 1 ft,2,42-56,,
1:18.0,,,42-56,,T. Allen misses 2-pt shot from 1 ft
1:16.0,,,42-56,,Offensive rebound by M. Gasol
1:12.0,,,42-56,,C. Lee misses 2-pt shot at rim
1:10.0,,,42-56,,Offensive rebound by Z. Randolph
1:09.0,,,42-56,,Z. Randolph misses 2-pt shot at rim
1:06.0,Defensive rebound by M. Leonard,,42-56,,
1:02.0,D. Wright misses 3-pt shot from 25 ft,,42-56,,
1:01.0,,,42-56,,Defensive rebound by C. Lee
0:52.0,,,42-58,2,Z. Randolph makes 2-pt shot from 6 ft (assist by B. Udrih)
0:33.0,W. Matthews misses 3-pt shot from 24 ft,,42-58,,
0:32.0,,,42-58,,Defensive rebound by Z. Randolph
0:13.0,,,42-58,,Turnover by C. Lee (lost ball; steal by S. Blake)
0:08.0,Turnover by M. Leonard (bad pass),,42-58,,
0:08.0,T. Robinson enters the game for D. Wright,,42-58,,
0:08.0,,,42-58,,V. Carter enters the game for T. Allen
0:04.0,,,42-58,,Memphis full timeout
0:04.0,N. Batum enters the game for D. Lillard,,42-58,,
0:04.0,C. McCollum enters the game for M. Leonard,,42-58,,
0:01.0,,,42-60,2,B. Udrih makes 2-pt shot at rim
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,42-60,,Z. Randolph misses 2-pt shot from 14 ft
11:42.0,Defensive rebound by W. Matthews,,42-60,,
11:36.0,D. Lillard misses 3-pt shot from 25 ft,,42-60,,
11:33.0,,,42-60,,Defensive rebound by Z. Randolph
11:23.0,,,42-60,,Offensive foul by Z. Randolph
11:23.0,,,42-60,,Turnover by Z. Randolph (offensive foul)
11:04.0,L. Aldridge misses 2-pt shot from 5 ft,,42-60,,
11:04.0,Offensive rebound by C. Kaman,,42-60,,
11:01.0,C. Kaman misses 2-pt shot from 1 ft (block by M. Gasol),,42-60,,
10:58.0,,,42-60,,Defensive rebound by M. Gasol
10:45.0,,,42-60,,M. Gasol misses 2-pt shot from 19 ft
10:44.0,,,42-60,,Offensive rebound by Z. Randolph
10:37.0,,,42-60,,Turnover by Z. Randolph (lost ball)
10:22.0,L. Aldridge misses 2-pt shot from 11 ft,,42-60,,
10:21.0,,,42-60,,Defensive rebound by B. Udrih
10:15.0,,,42-60,,C. Lee misses 2-pt shot from 19 ft
10:15.0,Defensive rebound by Team,,42-60,,
10:09.0,Turnover by L. Aldridge (lost ball; steal by T. Allen),,42-60,,
9:53.0,,,42-62,2,B. Udrih makes 2-pt shot from 13 ft
9:37.0,C. Kaman misses 2-pt shot from 12 ft,,42-62,,
9:36.0,,,42-62,,Defensive rebound by B. Udrih
9:26.0,,,42-62,,C. Lee misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by L. Aldridge,,42-62,,
9:18.0,D. Lillard misses 2-pt shot from 12 ft,,42-62,,
9:17.0,Offensive rebound by C. Kaman,,42-62,,
9:17.0,,,42-62,,Personal foul by T. Allen (drawn by C. Kaman)
9:06.0,D. Lillard makes 3-pt shot from 26 ft,3,45-62,,
8:42.0,,,45-64,2,M. Gasol makes 2-pt shot from 1 ft
8:33.0,Shooting foul by T. Allen (drawn by D. Lillard),,45-64,,
8:33.0,D. Lillard makes free throw 1 of 2,1,46-64,,
8:33.0,D. Lillard misses free throw 2 of 2,,46-64,,
8:31.0,,,46-64,,Defensive rebound by T. Allen
8:18.0,,,46-64,,T. Allen misses 3-pt shot from 24 ft
8:16.0,Defensive rebound by L. Aldridge,,46-64,,
8:05.0,D. Lillard misses 2-pt shot from 14 ft,,46-64,,
8:05.0,Offensive rebound by C. Kaman,,46-64,,
8:05.0,,,46-64,,Loose ball foul by M. Gasol (drawn by C. Kaman)
7:58.0,W. Matthews misses 2-pt shot from 13 ft,,46-64,,
7:57.0,,,46-64,,Defensive rebound by M. Gasol
7:46.0,,,46-64,,T. Allen misses 2-pt shot from 1 ft
7:45.0,,,46-64,,Offensive rebound by Z. Randolph
7:42.0,,,46-64,,Z. Randolph misses 2-pt shot from 1 ft
7:41.0,Defensive rebound by L. Aldridge,,46-64,,
7:27.0,N. Batum makes 3-pt shot from 25 ft (assist by W. Matthews),3,49-64,,
7:26.0,,,49-64,,Memphis full timeout
7:26.0,,,49-64,,J. Green enters the game for T. Allen
7:16.0,Personal foul by C. Kaman (drawn by M. Gasol),,49-64,,
7:09.0,,,49-64,,J. Green misses 2-pt shot from 16 ft
7:07.0,Defensive rebound by D. Lillard,,49-64,,
6:58.0,L. Aldridge makes 2-pt shot from 6 ft (assist by D. Lillard),2,51-64,,
6:37.0,,,51-64,,J. Green misses 2-pt shot from 5 ft
6:36.0,Defensive rebound by C. Kaman,,51-64,,
6:26.0,W. Matthews misses 3-pt shot from 25 ft,,51-64,,
6:25.0,Offensive rebound by L. Aldridge,,51-64,,
6:22.0,L. Aldridge makes 2-pt shot from 4 ft,2,53-64,,
6:06.0,,,53-64,,Z. Randolph misses 2-pt shot from 5 ft (block by L. Aldridge)
6:05.0,,,53-64,,Offensive rebound by Team
5:56.0,,,53-66,2,B. Udrih makes 2-pt shot from 18 ft (assist by M. Gasol)
5:35.0,L. Aldridge misses 2-pt shot from 16 ft,,53-66,,
5:34.0,,,53-66,,Defensive rebound by B. Udrih
5:29.0,,,53-66,,Turnover by B. Udrih (bad pass; steal by C. Kaman)
5:20.0,D. Lillard misses 2-pt shot from 8 ft,,53-66,,
5:19.0,,,53-66,,Defensive rebound by Z. Randolph
5:13.0,,,53-66,,Offensive foul by Z. Randolph
5:13.0,,,53-66,,Turnover by Z. Randolph (offensive foul)
5:13.0,S. Blake enters the game for W. Matthews,,53-66,,
5:03.0,Turnover by D. Lillard (lost ball; steal by J. Green),,53-66,,
5:02.0,Personal foul by C. Kaman (drawn by J. Green),,53-66,,
5:02.0,M. Leonard enters the game for C. Kaman,,53-66,,
4:52.0,Personal foul by M. Leonard (drawn by M. Gasol),,53-66,,
4:43.0,,,53-68,2,M. Gasol makes 2-pt shot from 18 ft (assist by B. Udrih)
4:23.0,N. Batum misses 3-pt shot from 25 ft,,53-68,,
4:22.0,,,53-68,,Defensive rebound by B. Udrih
4:14.0,,,53-70,2,Z. Randolph makes 2-pt shot at rim (assist by J. Green)
4:14.0,Portland full timeout,,53-70,,
4:14.0,D. Wright enters the game for N. Batum,,53-70,,
4:00.0,D. Lillard misses 2-pt shot from 2 ft (block by B. Udrih),,53-70,,
4:00.0,Offensive rebound by Team,,53-70,,
3:51.0,S. Blake makes 2-pt shot from 2 ft,2,55-70,,
3:33.0,Personal foul by D. Wright (drawn by J. Green),,55-70,,
3:22.0,,,55-70,,C. Lee misses 2-pt shot from 16 ft
3:20.0,Defensive rebound by M. Leonard,,55-70,,
2:57.0,D. Lillard makes 2-pt shot at rim,2,57-70,,
2:35.0,,,57-70,,M. Gasol misses 2-pt shot from 1 ft (block by L. Aldridge)
2:31.0,,,57-70,,Offensive rebound by J. Green
2:29.0,,,57-73,3,J. Green makes 3-pt shot from 24 ft
2:08.0,L. Aldridge makes 2-pt shot from 22 ft,2,59-73,,
1:47.0,,,59-73,,Turnover by Z. Randolph (3 sec)
1:47.0,W. Matthews enters the game for D. Lillard,,59-73,,
1:47.0,,,59-73,,N. Calathes enters the game for B. Udrih
1:32.0,Shooting foul by Z. Randolph (drawn by L. Aldridge),,59-73,,
1:32.0,L. Aldridge makes free throw 1 of 2,1,60-73,,
1:32.0,L. Aldridge makes free throw 2 of 2,1,61-73,,
1:18.0,,,61-76,3,C. Lee makes 3-pt shot from 26 ft (assist by Z. Randolph)
0:57.0,W. Matthews makes 3-pt shot from 25 ft (assist by L. Aldridge),3,64-76,,
0:46.0,,,64-78,2,Z. Randolph makes 2-pt shot from 5 ft
0:34.0,S. Blake makes 3-pt shot from 26 ft,3,67-78,,
0:20.0,,,67-78,,Shooting foul by L. Aldridge (drawn by Z. Randolph)
0:20.0,,,67-78,,Z. Randolph misses free throw 1 of 2
0:20.0,,,67-78,,Offensive rebound by Team
0:20.0,D. Lillard enters the game for M. Leonard,,67-78,,
0:20.0,,,67-78,,T. Allen enters the game for M. Gasol
0:20.0,,,67-78,,Z. Randolph misses free throw 2 of 2
0:19.0,Defensive rebound by D. Wright,,67-78,,
0:05.0,D. Lillard misses 3-pt shot from 27 ft,,67-78,,
0:04.0,Offensive rebound by D. Lillard,,67-78,,
0:01.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard),3,70-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,W. Matthews makes 2-pt shot from 12 ft (assist by D. Lillard),2,72-78,,
11:24.0,,,72-80,2,J. Green makes 2-pt shot at rim (assist by V. Carter)
11:04.0,D. Lillard misses 2-pt shot from 9 ft,,72-80,,
11:00.0,,,72-80,,Defensive rebound by Z. Randolph
10:47.0,,,72-80,,J. Green misses 3-pt shot from 26 ft
10:46.0,Defensive rebound by Team,,72-80,,
10:46.0,N. Batum enters the game for S. Blake,,72-80,,
10:29.0,D. Wright misses 3-pt shot from 25 ft,,72-80,,
10:28.0,,,72-80,,Defensive rebound by V. Carter
10:11.0,Personal foul by M. Leonard (drawn by Z. Randolph),,72-80,,
10:11.0,C. Kaman enters the game for M. Leonard,,72-80,,
10:02.0,,,72-82,2,Z. Randolph makes 2-pt shot from 1 ft
9:39.0,N. Batum misses 3-pt shot from 23 ft,,72-82,,
9:39.0,,,72-82,,Defensive rebound by K. Koufos
9:28.0,,,72-84,2,K. Koufos makes 2-pt shot at rim (assist by N. Calathes)
9:27.0,Portland full timeout,,72-84,,
9:27.0,L. Aldridge enters the game for D. Wright,,72-84,,
9:05.0,W. Matthews makes 3-pt shot from 25 ft (assist by L. Aldridge),3,75-84,,
8:48.0,,,75-84,,V. Carter misses 2-pt shot from 3 ft (block by C. Kaman)
8:47.0,Defensive rebound by L. Aldridge,,75-84,,
8:29.0,C. Kaman misses 2-pt shot from 2 ft,,75-84,,
8:27.0,Offensive rebound by N. Batum,,75-84,,
8:27.0,N. Batum misses 2-pt shot at rim,,75-84,,
8:25.0,Offensive rebound by D. Lillard,,75-84,,
8:22.0,L. Aldridge misses 2-pt shot from 18 ft,,75-84,,
8:21.0,,,75-84,,Defensive rebound by K. Koufos
8:07.0,,,75-84,,Z. Randolph misses 2-pt shot from 14 ft
8:06.0,Defensive rebound by N. Batum,,75-84,,
7:57.0,Shooting foul by Z. Randolph (drawn by L. Aldridge),,75-84,,
7:57.0,L. Aldridge makes free throw 1 of 2,1,76-84,,
7:57.0,,,76-84,,M. Gasol enters the game for Z. Randolph
7:57.0,L. Aldridge makes free throw 2 of 2,1,77-84,,
7:38.0,,,77-84,,K. Koufos misses 2-pt shot from 7 ft
7:37.0,Defensive rebound by C. Kaman,,77-84,,
7:27.0,D. Lillard misses 3-pt shot from 26 ft,,77-84,,
7:26.0,,,77-84,,Defensive rebound by J. Green
7:06.0,,,77-84,,M. Gasol misses 2-pt shot from 4 ft
7:05.0,,,77-84,,Offensive rebound by J. Green
7:05.0,,,77-84,,Shooting foul by N. Batum (drawn by J. Green)
7:05.0,,,77-85,1,J. Green makes free throw 1 of 2
7:05.0,,,77-86,1,J. Green makes free throw 2 of 2
6:49.0,,,77-86,,Personal foul by V. Carter (drawn by W. Matthews)
6:39.0,L. Aldridge makes 2-pt shot from 12 ft,2,79-86,,
6:28.0,Violation by C. Kaman (kicked ball),,79-86,,
6:14.0,,,79-86,,N. Calathes misses 2-pt shot from 16 ft
6:12.0,Defensive rebound by W. Matthews,,79-86,,
5:59.0,L. Aldridge makes 2-pt shot from 4 ft,2,81-86,,
5:41.0,,,81-86,,M. Gasol misses 2-pt shot from 6 ft (block by N. Batum)
5:40.0,Defensive rebound by L. Aldridge,,81-86,,
5:37.0,Turnover by L. Aldridge (bad pass; steal by N. Calathes),,81-86,,
5:28.0,,,81-86,,N. Calathes misses 2-pt shot from 4 ft (block by L. Aldridge)
5:26.0,Defensive rebound by D. Lillard,,81-86,,
5:18.0,W. Matthews makes 3-pt shot from 25 ft (assist by D. Lillard),3,84-86,,
5:17.0,,,84-86,,Memphis full timeout
5:17.0,,,84-86,,B. Udrih enters the game for N. Calathes
5:17.0,,,84-86,,C. Lee enters the game for V. Carter
5:06.0,,,84-89,3,C. Lee makes 3-pt shot from 22 ft (assist by M. Gasol)
4:41.0,L. Aldridge misses 2-pt shot from 19 ft (block by M. Gasol),,84-89,,
4:40.0,,,84-89,,Defensive rebound by K. Koufos
4:39.0,,,84-89,,Turnover by K. Koufos (lost ball)
4:39.0,,,84-89,,Z. Randolph enters the game for K. Koufos
4:36.0,D. Lillard makes 2-pt shot from 20 ft (assist by N. Batum),2,86-89,,
4:15.0,,,86-91,2,C. Lee makes 2-pt shot from 1 ft
3:53.0,Shooting foul by M. Gasol (drawn by L. Aldridge),,86-91,,
3:53.0,L. Aldridge makes free throw 1 of 2,1,87-91,,
3:53.0,L. Aldridge makes free throw 2 of 2,1,88-91,,
3:38.0,,,88-91,,Turnover by Z. Randolph (lost ball; steal by L. Aldridge)
3:33.0,W. Matthews misses 3-pt shot from 24 ft,,88-91,,
3:31.0,,,88-91,,Defensive rebound by B. Udrih
3:19.0,,,88-91,,C. Lee misses 2-pt shot from 16 ft
3:14.0,Jump ball: N. Batum vs. M. Gasol (J. Green gains possession),,,,Jump ball: N. Batum vs. M. Gasol (J. Green gains possession)
3:14.0,,,88-91,,Offensive rebound by Team
2:56.0,,,88-91,,J. Green misses 2-pt shot from 6 ft
2:55.0,,,88-91,,Offensive rebound by M. Gasol
2:49.0,,,88-93,2,M. Gasol makes 2-pt shot from 15 ft (assist by B. Udrih)
2:32.0,D. Lillard misses 3-pt shot from 25 ft,,88-93,,
2:31.0,,,88-93,,Defensive rebound by J. Green
2:21.0,,,88-93,,Turnover by B. Udrih (lost ball; steal by D. Lillard)
2:17.0,D. Lillard makes 2-pt shot at rim,2,90-93,,
1:51.0,,,90-93,,J. Green misses 2-pt shot from 8 ft
1:51.0,,,90-93,,Offensive rebound by J. Green
1:51.0,,,90-95,2,J. Green makes 2-pt shot from 8 ft
1:31.0,L. Aldridge misses 2-pt shot from 13 ft,,90-95,,
1:30.0,,,90-95,,Defensive rebound by B. Udrih
