time,Dallas,pts.away,score,pts.home,Milwaukee
4:54.0,,,17-21,,G. Antetokounmpo misses 2-pt shot at rim
4:53.0,,,17-21,,Offensive rebound by B. Knight
4:53.0,,,17-21,,B. Knight misses 2-pt shot at rim
4:52.0,Defensive rebound by B. Wright,,17-21,,
4:47.0,M. Ellis makes 2-pt shot from 18 ft (assist by J. Nelson),2,19-21,,
4:44.0,,,19-21,,Milwaukee full timeout
4:44.0,T. Chandler enters the game for A. Aminu,,19-21,,
4:44.0,C. Parsons enters the game for B. Wright,,19-21,,
4:44.0,,,19-21,,J. Dudley enters the game for J. Parker
4:44.0,,,19-21,,J. Bayless enters the game for O. Mayo
4:33.0,Personal foul by R. Jefferson (drawn by G. Antetokounmpo),,19-21,,
4:33.0,D. Harris enters the game for J. Nelson,,19-21,,
4:26.0,,,19-21,,G. Antetokounmpo misses 2-pt shot from 6 ft
4:25.0,,,19-21,,Offensive rebound by Z. Pachulia
4:22.0,,,19-21,,Z. Pachulia misses 2-pt shot from 5 ft
4:20.0,,,19-21,,Offensive rebound by B. Knight
4:20.0,,,19-23,2,B. Knight makes 2-pt shot at rim
3:51.0,R. Jefferson misses 3-pt shot from 23 ft,,19-23,,
3:50.0,,,19-23,,Defensive rebound by Z. Pachulia
3:40.0,,,19-25,2,Z. Pachulia makes 2-pt shot from 17 ft (assist by B. Knight)
3:29.0,C. Parsons makes 3-pt shot from 25 ft (assist by D. Harris),3,22-25,,
3:16.0,,,22-25,,B. Knight misses 2-pt shot from 7 ft
3:14.0,Defensive rebound by D. Harris,,22-25,,
3:03.0,R. Jefferson makes 3-pt shot from 24 ft (assist by C. Parsons),3,25-25,,
2:48.0,,,25-27,2,J. Bayless makes 2-pt shot from 16 ft (assist by B. Knight)
2:39.0,Turnover by D. Harris (bad pass; steal by B. Knight),,25-27,,
2:26.0,,,25-29,2,Z. Pachulia makes 2-pt shot from 3 ft (assist by J. Dudley)
2:12.0,J. Barea enters the game for M. Ellis,,25-29,,
2:05.0,Turnover by D. Harris (bad pass),,25-29,,
1:56.0,Violation by C. Parsons (kicked ball),,25-29,,
1:50.0,,,25-29,,J. Bayless misses 2-pt shot from 17 ft
1:49.0,Defensive rebound by T. Chandler,,25-29,,
1:41.0,C. Parsons makes 2-pt shot at rim,2,27-29,,
1:20.0,,,27-29,,Offensive charge foul by G. Antetokounmpo
1:20.0,,,27-29,,Turnover by G. Antetokounmpo (offensive foul)
1:20.0,,,27-29,,L. Sanders enters the game for Z. Pachulia
1:20.0,,,27-29,,K. Middleton enters the game for G. Antetokounmpo
1:04.0,,,27-29,,Violation by J. Bayless (kicked ball)
0:54.0,Shooting foul by J. Bayless (drawn by J. Barea),,27-29,,
0:54.0,J. Barea makes free throw 1 of 2,1,28-29,,
0:54.0,A. Aminu enters the game for R. Jefferson,,28-29,,
0:54.0,J. Barea makes free throw 2 of 2,1,29-29,,
0:32.0,,,29-29,,L. Sanders misses 2-pt shot at rim
0:29.0,Defensive rebound by T. Chandler,,29-29,,
0:24.0,J. Barea misses 2-pt shot at rim (block by L. Sanders),,29-29,,
0:21.0,Offensive rebound by C. Parsons,,29-29,,
0:16.0,T. Chandler misses 2-pt shot from 16 ft,,29-29,,
0:14.0,,,29-29,,Defensive rebound by K. Middleton
0:01.0,,,29-31,2,B. Knight makes 2-pt shot from 19 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,C. Parsons makes 2-pt shot from 1 ft (assist by D. Harris),2,31-31,,
11:25.0,,,31-33,2,K. Marshall makes 2-pt shot from 3 ft
11:16.0,T. Chandler misses 2-pt shot from 3 ft,,31-33,,
11:14.0,Offensive rebound by T. Chandler,,31-33,,
11:13.0,T. Chandler makes 2-pt shot from 2 ft,2,33-33,,
11:01.0,,,33-33,,Offensive foul by K. Marshall
11:01.0,,,33-33,,Turnover by K. Marshall (offensive foul)
11:01.0,B. Wright enters the game for T. Chandler,,33-33,,
11:01.0,J. Crowder enters the game for A. Aminu,,33-33,,
10:41.0,C. Parsons misses 2-pt shot from 3 ft,,33-33,,
10:38.0,,,33-33,,Defensive rebound by L. Sanders
10:33.0,,,33-35,2,J. Dudley makes 2-pt shot from 20 ft (assist by J. Bayless)
10:13.0,,,33-35,,Shooting block foul by J. Bayless (drawn by B. Wright)
10:13.0,B. Wright misses free throw 1 of 2,,33-35,,
10:13.0,Offensive rebound by Team,,33-35,,
10:13.0,B. Wright makes free throw 2 of 2,1,34-35,,
10:02.0,Personal foul by J. Barea (drawn by K. Marshall),,34-35,,
9:58.0,,,34-37,2,L. Sanders makes 2-pt shot at rim (assist by J. Dudley)
9:44.0,C. Parsons misses 2-pt shot from 6 ft,,34-37,,
9:44.0,Offensive rebound by Team,,34-37,,
9:31.0,J. Crowder makes 2-pt shot from 18 ft,2,36-37,,
9:17.0,,,36-39,2,K. Middleton makes 2-pt shot from 11 ft
9:07.0,C. Parsons misses 2-pt shot from 3 ft,,36-39,,
9:06.0,Offensive rebound by B. Wright,,36-39,,
9:04.0,B. Wright makes 2-pt shot at rim,2,38-39,,
8:50.0,Personal foul by J. Barea (drawn by J. Dudley),,38-39,,
8:50.0,Official timeout,,38-39,,
8:38.0,,,38-41,2,K. Middleton makes 2-pt shot from 20 ft
8:26.0,Turnover by D. Harris (bad pass; steal by J. Dudley),,38-41,,
8:22.0,,,38-41,,O. Mayo enters the game for J. Bayless
8:22.0,M. Ellis enters the game for C. Parsons,,38-41,,
8:22.0,C. Villanueva enters the game for B. Wright,,38-41,,
8:22.0,J. Nelson enters the game for D. Harris,,38-41,,
8:22.0,T. Chandler enters the game for J. Barea,,38-41,,
8:16.0,,,38-41,,Turnover by K. Middleton (traveling)
8:02.0,C. Villanueva misses 2-pt shot at rim,,38-41,,
8:00.0,,,38-41,,Defensive rebound by O. Mayo
7:52.0,,,38-41,,K. Marshall misses 2-pt shot at rim
7:50.0,Defensive rebound by T. Chandler,,38-41,,
7:48.0,Turnover by T. Chandler (lost ball; steal by K. Marshall),,38-41,,
7:45.0,,,38-43,2,K. Marshall makes 2-pt shot from 1 ft
7:37.0,,,38-43,,Personal foul by K. Marshall (drawn by J. Nelson)
7:37.0,,,38-43,,Z. Pachulia enters the game for L. Sanders
7:30.0,M. Ellis misses 2-pt shot from 15 ft,,38-43,,
7:28.0,,,38-43,,Defensive rebound by K. Middleton
7:21.0,,,38-43,,Turnover by J. Dudley (bad pass)
7:03.0,M. Ellis misses 2-pt shot at rim,,38-43,,
7:01.0,Offensive rebound by T. Chandler,,38-43,,
7:01.0,T. Chandler misses 2-pt shot from 1 ft,,38-43,,
6:59.0,Offensive rebound by T. Chandler,,38-43,,
6:59.0,T. Chandler makes 2-pt shot at rim,2,40-43,,
6:55.0,,,40-43,,Shooting foul by C. Villanueva (drawn by O. Mayo)
6:55.0,,,40-44,1,O. Mayo makes free throw 1 of 2
6:55.0,,,40-44,,J. Parker enters the game for J. Dudley
6:55.0,,,40-45,1,O. Mayo makes free throw 2 of 2
6:34.0,J. Nelson makes 3-pt shot from 26 ft (assist by M. Ellis),3,43-45,,
6:21.0,,,43-47,2,J. Parker makes 2-pt shot from 3 ft
6:21.0,,,43-47,,Shooting foul by C. Villanueva (drawn by J. Parker)
6:21.0,,,43-47,,B. Knight enters the game for K. Marshall
6:21.0,,,43-47,,J. Parker misses free throw 1 of 1
6:20.0,Defensive rebound by T. Chandler,,43-47,,
6:04.0,,,43-47,,Personal foul by J. Parker (drawn by J. Crowder)
5:58.0,M. Ellis misses 2-pt shot from 1 ft,,43-47,,
5:56.0,,,43-47,,Defensive rebound by Z. Pachulia
5:50.0,,,43-50,3,K. Middleton makes 3-pt shot from 23 ft (assist by O. Mayo)
5:48.0,Dallas full timeout,,43-50,,
5:48.0,C. Parsons enters the game for C. Villanueva,,43-50,,
5:35.0,M. Ellis makes 2-pt shot at rim,2,45-50,,
5:13.0,,,45-50,,J. Parker misses 2-pt shot from 12 ft
5:12.0,Defensive rebound by T. Chandler,,45-50,,
5:05.0,Turnover by J. Nelson (bad pass; steal by K. Middleton),,45-50,,
4:57.0,,,45-50,,O. Mayo misses 2-pt shot from 12 ft
4:56.0,Defensive rebound by T. Chandler,,45-50,,
4:45.0,T. Chandler makes 2-pt shot at rim (assist by M. Ellis),2,47-50,,
4:30.0,,,47-52,2,K. Middleton makes 2-pt shot from 19 ft (assist by O. Mayo)
4:06.0,M. Ellis misses 2-pt shot from 19 ft,,47-52,,
4:04.0,,,47-52,,Defensive rebound by B. Knight
3:55.0,,,47-52,,Turnover by K. Middleton (lost ball; steal by M. Ellis)
3:48.0,Offensive foul by C. Parsons,,47-52,,
3:48.0,Turnover by C. Parsons (offensive foul),,47-52,,
3:48.0,,,47-52,,G. Antetokounmpo enters the game for K. Middleton
3:48.0,R. Jefferson enters the game for T. Chandler,,47-52,,
3:48.0,B. Wright enters the game for J. Crowder,,47-52,,
3:35.0,,,47-54,2,B. Knight makes 2-pt shot from 3 ft (assist by J. Parker)
3:15.0,B. Wright misses 2-pt shot from 3 ft,,47-54,,
3:14.0,,,47-54,,Defensive rebound by O. Mayo
3:07.0,,,47-56,2,J. Parker makes 2-pt shot from 3 ft (assist by O. Mayo)
3:05.0,Dallas full timeout,,47-56,,
2:52.0,C. Parsons misses 2-pt shot at rim,,47-56,,
2:50.0,,,47-56,,Defensive rebound by Z. Pachulia
2:34.0,Shooting block foul by C. Parsons (drawn by J. Parker),,47-56,,
2:34.0,,,47-56,,Milwaukee full timeout
2:34.0,,,47-56,,L. Sanders enters the game for Z. Pachulia
2:34.0,,,47-56,,J. Parker misses free throw 1 of 2
2:34.0,,,47-56,,Offensive rebound by Team
2:34.0,,,47-56,,J. Parker misses free throw 2 of 2
2:32.0,Defensive rebound by Team,,47-56,,
2:11.0,R. Jefferson makes 2-pt shot from 5 ft,2,49-56,,
1:59.0,,,49-58,2,G. Antetokounmpo makes 2-pt shot at rim (assist by O. Mayo)
1:40.0,C. Parsons makes 2-pt shot at rim (assist by R. Jefferson),2,51-58,,
1:33.0,Personal block foul by J. Nelson (drawn by O. Mayo),,51-58,,
1:33.0,,,51-58,,O. Mayo misses free throw 1 of 2
1:33.0,,,51-58,,Offensive rebound by Team
1:33.0,,,51-59,1,O. Mayo makes free throw 2 of 2
1:24.0,,,51-59,,Personal block foul by L. Sanders (drawn by C. Parsons)
1:18.0,,,51-59,,Shooting block foul by L. Sanders (drawn by B. Wright)
1:18.0,B. Wright makes free throw 1 of 2,1,52-59,,
1:18.0,,,52-59,,Z. Pachulia enters the game for L. Sanders
1:18.0,B. Wright makes free throw 2 of 2,1,53-59,,
1:08.0,,,53-59,,B. Knight misses 3-pt shot from 25 ft
1:07.0,Defensive rebound by M. Ellis,,53-59,,
1:01.0,M. Ellis makes 2-pt shot at rim,2,55-59,,
0:49.0,Personal foul by B. Wright (drawn by Z. Pachulia),,55-59,,
0:49.0,,,55-60,1,Z. Pachulia makes free throw 1 of 2
0:49.0,T. Chandler enters the game for B. Wright,,55-60,,
0:49.0,,,55-61,1,Z. Pachulia makes free throw 2 of 2
0:38.0,Turnover by T. Chandler (lost ball; steal by B. Knight),,55-61,,
0:32.0,,,55-64,3,O. Mayo makes 3-pt shot from 23 ft (assist by B. Knight)
0:16.0,M. Ellis misses 2-pt shot from 1 ft,,55-64,,
0:14.0,,,55-64,,Defensive rebound by Z. Pachulia
0:11.0,,,55-64,,Turnover by Z. Pachulia (bad pass; steal by C. Parsons)
0:08.0,Shooting foul by Z. Pachulia (drawn by T. Chandler),,55-64,,
0:08.0,,,55-64,,Technical foul by Z. Pachulia (drawn by T. Chandler)
0:08.0,M. Ellis makes technical free throw,1,56-64,,
0:08.0,T. Chandler makes free throw 1 of 2,1,57-64,,
0:08.0,J. Crowder enters the game for C. Parsons,,57-64,,
0:08.0,T. Chandler misses free throw 2 of 2,,57-64,,
0:08.0,,,57-64,,Defensive rebound by Z. Pachulia
0:00.0,,,57-64,,B. Knight misses 3-pt shot from 23 ft
0:00.0,,,57-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,M. Ellis misses 2-pt shot at rim,,57-64,,
11:44.0,,,57-64,,Defensive rebound by G. Antetokounmpo
11:20.0,,,57-64,,G. Antetokounmpo misses 2-pt shot from 12 ft
11:19.0,Defensive rebound by C. Parsons,,57-64,,
11:04.0,A. Aminu makes 2-pt shot at rim,2,59-64,,
10:40.0,,,59-64,,Turnover by B. Knight (lost ball; steal by C. Parsons)
10:34.0,A. Aminu misses 2-pt shot from 1 ft,,59-64,,
10:32.0,,,59-64,,Defensive rebound by G. Antetokounmpo
10:30.0,Technical foul by Team,,59-64,,
10:30.0,,,59-65,1,B. Knight makes technical free throw
10:17.0,,,59-68,3,B. Knight makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
10:03.0,Turnover by T. Chandler (traveling),,59-68,,
9:47.0,,,59-68,,L. Sanders misses 2-pt shot from 13 ft
9:46.0,Defensive rebound by C. Parsons,,59-68,,
9:36.0,T. Chandler makes 2-pt shot from 16 ft,2,61-68,,
9:19.0,,,61-68,,B. Knight misses 2-pt shot at rim
9:18.0,Defensive rebound by T. Chandler,,61-68,,
9:09.0,Shooting foul by O. Mayo (drawn by T. Chandler),,61-68,,
9:09.0,T. Chandler makes 2-pt shot at rim (assist by C. Parsons),2,63-68,,
9:09.0,T. Chandler misses free throw 1 of 1,,63-68,,
9:08.0,,,63-68,,Defensive rebound by B. Knight
8:44.0,Personal foul by A. Aminu (drawn by O. Mayo),,63-68,,
8:31.0,,,63-68,,Turnover by Team (shot clock)
8:18.0,J. Nelson makes 2-pt shot at rim (assist by C. Parsons),2,65-68,,
8:05.0,Personal foul by J. Nelson (drawn by G. Antetokounmpo),,65-68,,
8:05.0,,,65-68,,J. Dudley enters the game for J. Parker
8:05.0,,,65-68,,K. Middleton enters the game for G. Antetokounmpo
7:57.0,,,65-68,,O. Mayo misses 2-pt shot from 3 ft (block by M. Ellis)
7:56.0,Defensive rebound by A. Aminu,,65-68,,
7:52.0,M. Ellis makes 2-pt shot at rim,2,67-68,,
7:26.0,,,67-68,,B. Knight misses 3-pt shot from 25 ft
7:25.0,Defensive rebound by T. Chandler,,67-68,,
7:17.0,C. Parsons misses 2-pt shot from 17 ft,,67-68,,
7:16.0,Offensive rebound by J. Nelson,,67-68,,
7:10.0,M. Ellis misses 2-pt shot from 17 ft,,67-68,,
7:09.0,,,67-68,,Defensive rebound by K. Middleton
7:01.0,,,67-68,,J. Dudley misses 2-pt shot from 15 ft
7:00.0,Defensive rebound by J. Nelson,,67-68,,
6:52.0,A. Aminu makes 2-pt shot from 15 ft (assist by J. Nelson),2,69-68,,
6:26.0,,,69-68,,Turnover by B. Knight (lost ball; steal by T. Chandler)
6:21.0,J. Nelson makes 3-pt shot from 24 ft,3,72-68,,
6:21.0,,,72-68,,Milwaukee full timeout
6:21.0,,,72-68,,Z. Pachulia enters the game for L. Sanders
6:05.0,Shooting block foul by J. Nelson (drawn by K. Middleton),,72-68,,
6:05.0,,,72-69,1,K. Middleton makes free throw 1 of 2
6:05.0,,,72-70,1,K. Middleton makes free throw 2 of 2
5:53.0,C. Parsons misses 2-pt shot from 2 ft,,72-70,,
5:51.0,,,72-70,,Defensive rebound by B. Knight
5:47.0,,,72-70,,Turnover by O. Mayo (traveling)
5:34.0,M. Ellis misses 2-pt shot from 1 ft,,72-70,,
5:32.0,Offensive rebound by Team,,72-70,,
5:23.0,C. Parsons misses 3-pt shot from 25 ft,,72-70,,
5:22.0,Offensive rebound by T. Chandler,,72-70,,
5:17.0,,,72-70,,Personal foul by O. Mayo (drawn by M. Ellis)
5:17.0,B. Wright enters the game for T. Chandler,,72-70,,
5:08.0,A. Aminu misses 2-pt shot from 13 ft,,72-70,,
5:07.0,,,72-70,,Defensive rebound by Z. Pachulia
4:50.0,,,72-70,,Z. Pachulia misses 2-pt shot from 2 ft (block by B. Wright)
4:47.0,Defensive rebound by M. Ellis,,72-70,,
4:39.0,M. Ellis makes 2-pt shot at rim,2,74-70,,
4:20.0,,,74-72,2,K. Middleton makes 2-pt shot from 13 ft (assist by B. Knight)
3:54.0,M. Ellis misses 2-pt shot from 18 ft,,74-72,,
3:54.0,Offensive rebound by Team,,74-72,,
3:54.0,,,74-72,,Loose ball foul by Z. Pachulia (drawn by B. Wright)
3:54.0,,,74-72,,J. Bayless enters the game for O. Mayo
3:54.0,R. Jefferson enters the game for A. Aminu,,74-72,,
3:54.0,D. Harris enters the game for J. Nelson,,74-72,,
3:48.0,Turnover by C. Parsons (lost ball; steal by K. Middleton),,74-72,,
3:44.0,,,74-72,,Shooting foul by D. Harris (drawn by B. Knight)
3:44.0,,,74-73,1,B. Knight makes free throw 1 of 2
3:44.0,,,74-74,1,B. Knight makes free throw 2 of 2
3:29.0,M. Ellis misses 2-pt shot from 18 ft,,74-74,,
3:27.0,,,74-74,,Defensive rebound by K. Middleton
3:19.0,,,74-76,2,K. Middleton makes 2-pt shot from 7 ft
3:18.0,Dallas full timeout,,74-76,,
3:05.0,C. Parsons misses 3-pt shot from 27 ft,,74-76,,
3:03.0,,,74-76,,Defensive rebound by B. Knight
2:48.0,,,74-76,,K. Middleton misses 2-pt shot from 14 ft
2:47.0,Defensive rebound by D. Harris,,74-76,,
2:32.0,C. Parsons makes 2-pt shot at rim (assist by D. Harris),2,76-76,,
2:13.0,,,76-76,,K. Middleton misses 2-pt shot at rim
2:11.0,Defensive rebound by C. Parsons,,76-76,,
2:09.0,Turnover by C. Parsons (bad pass),,76-76,,
1:53.0,,,76-76,,Turnover by J. Bayless (bad pass; steal by M. Ellis)
1:48.0,C. Parsons makes 2-pt shot at rim (assist by M. Ellis),2,78-76,,
1:34.0,,,78-76,,Turnover by J. Bayless (step out of bounds)
1:23.0,D. Harris makes 2-pt shot at rim,2,80-76,,
1:01.0,Personal foul by C. Parsons (drawn by J. Bayless),,80-76,,
1:01.0,,,80-77,1,J. Bayless makes free throw 1 of 2
1:01.0,T. Chandler enters the game for C. Parsons,,80-77,,
1:01.0,A. Aminu enters the game for M. Ellis,,80-77,,
1:01.0,J. Barea enters the game for B. Wright,,80-77,,
1:01.0,,,80-77,,K. Marshall enters the game for B. Knight
1:01.0,,,80-78,1,J. Bayless makes free throw 2 of 2
0:45.0,J. Barea misses 2-pt shot from 10 ft,,80-78,,
0:43.0,Offensive rebound by T. Chandler,,80-78,,
0:27.0,D. Harris misses 3-pt shot from 26 ft,,80-78,,
0:25.0,Offensive rebound by A. Aminu,,80-78,,
0:09.0,,,80-78,,Personal take foul by K. Marshall (drawn by D. Harris)
0:00.0,D. Harris misses 3-pt shot from 25 ft,,80-78,,
0:00.0,Offensive rebound by Team,,80-78,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,80-78,,Shooting foul by D. Harris (drawn by K. Middleton)
11:45.0,,,80-78,,K. Middleton misses free throw 1 of 3
11:45.0,,,80-78,,Offensive rebound by Team
11:45.0,,,80-79,1,K. Middleton makes free throw 2 of 3
11:45.0,,,80-80,1,K. Middleton makes free throw 3 of 3
11:30.0,T. Chandler makes 2-pt shot from 13 ft (assist by R. Jefferson),2,82-80,,
11:10.0,,,82-80,,K. Middleton misses 2-pt shot from 12 ft
11:09.0,Defensive rebound by J. Barea,,82-80,,
11:03.0,Offensive foul by T. Chandler,,82-80,,
11:03.0,Turnover by T. Chandler (offensive foul),,82-80,,
10:46.0,,,82-80,,J. Bayless misses 2-pt shot at rim (block by A. Aminu)
10:43.0,Defensive rebound by T. Chandler,,82-80,,
10:30.0,D. Harris misses 3-pt shot from 27 ft,,82-80,,
10:29.0,,,82-80,,Defensive rebound by Z. Pachulia
10:17.0,,,82-83,3,J. Dudley makes 3-pt shot from 25 ft (assist by J. Bayless)
9:57.0,R. Jefferson misses 3-pt shot from 26 ft,,82-83,,
9:55.0,,,82-83,,Defensive rebound by Z. Pachulia
9:37.0,,,82-83,,Z. Pachulia misses 2-pt shot from 10 ft
9:36.0,Defensive rebound by D. Harris,,82-83,,
9:23.0,J. Barea misses 3-pt shot from 26 ft,,82-83,,
9:22.0,,,82-83,,Defensive rebound by K. Marshall
9:11.0,,,82-86,3,J. Dudley makes 3-pt shot from 23 ft (assist by Z. Pachulia)
9:11.0,Dallas full timeout,,82-86,,
8:56.0,Shooting foul by J. Dudley (drawn by R. Jefferson),,82-86,,
8:56.0,R. Jefferson makes free throw 1 of 2,1,83-86,,
8:56.0,R. Jefferson makes free throw 2 of 2,1,84-86,,
8:34.0,,,84-86,,K. Middleton misses 2-pt shot from 1 ft
8:32.0,,,84-86,,Offensive rebound by K. Middleton
8:32.0,,,84-88,2,K. Middleton makes 2-pt shot at rim
8:13.0,J. Barea makes 3-pt shot from 24 ft (assist by A. Aminu),3,87-88,,
8:02.0,Violation by A. Aminu (def goaltending),,87-88,,
8:02.0,,,87-88,,Shooting foul by J. Barea (drawn by K. Middleton)
8:02.0,,,87-90,2,K. Middleton makes 2-pt shot at rim (assist by Z. Pachulia)
8:02.0,,,87-90,,K. Middleton misses free throw 1 of 1
7:53.0,Defensive rebound by T. Chandler,,87-90,,
7:36.0,D. Harris misses 2-pt shot from 19 ft,,87-90,,
7:34.0,Offensive rebound by A. Aminu,,87-90,,
7:33.0,A. Aminu misses 2-pt shot from 1 ft,,87-90,,
7:32.0,Offensive rebound by T. Chandler,,87-90,,
7:32.0,T. Chandler makes 2-pt shot at rim,2,89-90,,
7:16.0,,,89-92,2,J. Bayless makes 2-pt shot from 5 ft
7:03.0,Turnover by R. Jefferson (lost ball; steal by J. Dudley),,89-92,,
6:59.0,,,89-94,2,J. Bayless makes 2-pt shot at rim (assist by K. Marshall)
6:59.0,,,89-94,,L. Sanders enters the game for Z. Pachulia
6:59.0,M. Ellis enters the game for A. Aminu,,89-94,,
6:59.0,C. Parsons enters the game for J. Barea,,89-94,,
6:43.0,M. Ellis misses 3-pt shot from 26 ft,,89-94,,
6:42.0,Offensive rebound by T. Chandler,,89-94,,
6:31.0,D. Harris misses 2-pt shot from 14 ft,,89-94,,
6:30.0,Offensive rebound by T. Chandler,,89-94,,
6:21.0,R. Jefferson misses 2-pt shot at rim (block by K. Middleton),,89-94,,
6:19.0,,,89-94,,Defensive rebound by L. Sanders
6:05.0,,,89-94,,J. Dudley misses 2-pt shot from 9 ft
6:04.0,Defensive rebound by C. Parsons,,89-94,,
5:52.0,,,89-94,,Shooting block foul by L. Sanders (drawn by C. Parsons)
5:52.0,C. Parsons misses free throw 1 of 2,,89-94,,
5:52.0,Offensive rebound by Team,,89-94,,
5:52.0,J. Nelson enters the game for T. Chandler,,89-94,,
5:52.0,B. Wright enters the game for D. Harris,,89-94,,
5:52.0,,,89-94,,J. Parker enters the game for J. Dudley
5:52.0,C. Parsons makes free throw 2 of 2,1,90-94,,
5:32.0,,,90-96,2,K. Marshall makes 2-pt shot from 7 ft
5:22.0,,,90-96,,Personal foul by J. Bayless (drawn by M. Ellis)
5:12.0,Turnover by C. Parsons (bad pass; steal by K. Middleton),,90-96,,
5:08.0,,,90-96,,Shooting foul by M. Ellis (drawn by L. Sanders)
5:08.0,,,90-96,,L. Sanders misses free throw 1 of 2
5:08.0,,,90-96,,Offensive rebound by Team
5:08.0,A. Aminu enters the game for R. Jefferson,,90-96,,
