time,Minnesota,pts.away,score,pts.home,Washington
1:59.0,Offensive rebound by S. Muhammad,,12-22,,
1:56.0,S. Muhammad misses 2-pt shot from 2 ft (block by K. Humphries),,12-22,,
1:54.0,,,12-22,,Defensive rebound by J. Wall
1:45.0,,,12-25,3,J. Wall makes 3-pt shot from 25 ft (assist by R. Butler)
1:28.0,C. Brewer makes 2-pt shot from 1 ft,2,14-25,,
1:15.0,,,14-25,,R. Butler misses 2-pt shot from 1 ft (block by G. Dieng)
1:13.0,Defensive rebound by G. Dieng,,14-25,,
1:06.0,S. Muhammad makes 2-pt shot at rim (assist by Z. LaVine),2,16-25,,
0:51.0,,,16-25,,J. Wall misses 2-pt shot from 17 ft
0:50.0,Defensive rebound by C. Brewer,,16-25,,
0:46.0,Turnover by C. Brewer (bad pass; steal by R. Butler),,16-25,,
0:41.0,,,16-25,,Shooting foul by G. Dieng (drawn by K. Humphries)
0:41.0,,,16-26,1,K. Humphries makes free throw 1 of 2
0:41.0,,,16-26,,G. Temple enters the game for B. Beal
0:41.0,A. Bennett enters the game for T. Young,,16-26,,
0:41.0,,,16-26,,N. Hilario enters the game for M. Gortat
0:41.0,,,16-27,1,K. Humphries makes free throw 2 of 2
0:31.0,Z. LaVine misses 2-pt shot from 1 ft (block by K. Humphries),,16-27,,
0:29.0,,,16-27,,Defensive rebound by J. Wall
0:24.0,,,16-27,,Turnover by G. Temple (step out of bounds)
0:24.0,,,16-27,,K. Seraphin enters the game for K. Humphries
0:01.0,A. Bennett misses 2-pt shot from 17 ft,,16-27,,
0:00.0,Offensive rebound by G. Dieng,,16-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,S. Muhammad misses 3-pt shot from 25 ft,,16-27,,
11:37.0,,,16-27,,Defensive rebound by G. Temple
11:17.0,,,16-30,3,G. Temple makes 3-pt shot from 23 ft (assist by A. Miller)
11:05.0,Shooting foul by G. Temple (drawn by S. Muhammad),,16-30,,
11:05.0,S. Muhammad misses free throw 1 of 2,,16-30,,
11:05.0,Offensive rebound by Team,,16-30,,
11:05.0,S. Muhammad makes free throw 2 of 2,1,17-30,,
10:51.0,,,17-30,,N. Hilario misses 2-pt shot from 16 ft
10:50.0,,,17-30,,Offensive rebound by G. Temple
10:39.0,,,17-30,,Turnover by A. Miller (bad pass)
10:28.0,M. Williams makes 3-pt shot from 26 ft,3,20-30,,
10:03.0,,,20-30,,A. Miller misses 3-pt shot from 25 ft
10:03.0,Defensive rebound by Team,,20-30,,
10:03.0,,,20-30,,Loose ball foul by N. Hilario (drawn by A. Wiggins)
9:45.0,A. Wiggins makes 2-pt shot from 15 ft,2,22-30,,
9:31.0,,,22-33,3,R. Butler makes 3-pt shot from 25 ft (assist by K. Seraphin)
9:16.0,A. Bennett misses 2-pt shot from 22 ft,,22-33,,
9:15.0,,,22-33,,Defensive rebound by N. Hilario
9:02.0,Personal foul by A. Bennett (drawn by N. Hilario),,22-33,,
9:02.0,J. Adrien enters the game for G. Dieng,,22-33,,
8:50.0,,,22-35,2,N. Hilario makes 2-pt shot at rim (assist by R. Butler)
8:35.0,A. Wiggins makes 2-pt shot from 17 ft,2,24-35,,
8:35.0,Shooting foul by G. Temple (drawn by A. Wiggins),,24-35,,
8:35.0,Official timeout,,24-35,,
8:35.0,A. Wiggins makes free throw 1 of 1,1,25-35,,
8:13.0,,,25-35,,R. Butler misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by A. Bennett,,25-35,,
7:55.0,M. Williams misses 2-pt shot from 18 ft,,25-35,,
7:53.0,,,25-35,,Defensive rebound by G. Temple
7:48.0,,,25-35,,Shooting foul by J. Adrien (drawn by K. Seraphin)
7:48.0,,,25-36,1,K. Seraphin makes free throw 1 of 2
7:48.0,,,25-37,1,K. Seraphin makes free throw 2 of 2
7:34.0,J. Adrien makes 2-pt shot at rim,2,27-37,,
7:34.0,Shooting foul by K. Seraphin (drawn by J. Adrien),,27-37,,
7:34.0,J. Adrien misses free throw 1 of 1,,27-37,,
7:33.0,,,27-37,,Defensive rebound by K. Seraphin
7:15.0,,,27-37,,R. Butler misses 2-pt shot from 19 ft
7:14.0,Defensive rebound by A. Bennett,,27-37,,
7:05.0,Offensive foul by A. Wiggins,,27-37,,
7:05.0,Turnover by A. Wiggins (offensive foul),,27-37,,
6:52.0,,,27-37,,K. Seraphin misses 2-pt shot from 8 ft
6:51.0,Defensive rebound by A. Wiggins,,27-37,,
6:44.0,M. Williams misses 2-pt shot from 3 ft (block by K. Seraphin),,27-37,,
6:43.0,,,27-37,,Defensive rebound by R. Butler
6:38.0,,,27-39,2,R. Butler makes 2-pt shot at rim
6:37.0,Minnesota full timeout,,27-39,,
6:20.0,S. Muhammad misses 2-pt shot from 11 ft,,27-39,,
6:20.0,Offensive rebound by Team,,27-39,,
6:20.0,,,27-39,,Loose ball foul by K. Seraphin (drawn by J. Adrien)
6:20.0,J. Adrien misses free throw 1 of 2,,27-39,,
6:20.0,Offensive rebound by Team,,27-39,,
6:20.0,T. Young enters the game for A. Bennett,,27-39,,
6:20.0,J. Adrien misses free throw 2 of 2,,27-39,,
6:19.0,,,27-39,,Defensive rebound by N. Hilario
6:01.0,,,27-39,,R. Butler misses 2-pt shot from 16 ft
6:00.0,,,27-39,,Offensive rebound by G. Temple
5:51.0,,,27-39,,K. Seraphin misses 2-pt shot from 9 ft
5:49.0,,,27-39,,Offensive rebound by A. Miller
5:47.0,,,27-39,,A. Miller misses 2-pt shot from 1 ft
5:46.0,Defensive rebound by J. Adrien,,27-39,,
5:44.0,S. Muhammad makes 2-pt shot at rim (assist by A. Wiggins),2,29-39,,
5:23.0,,,29-39,,N. Hilario misses 2-pt shot from 4 ft
5:22.0,Defensive rebound by J. Adrien,,29-39,,
5:18.0,S. Muhammad misses 2-pt shot at rim,,29-39,,
5:16.0,Offensive rebound by S. Muhammad,,29-39,,
5:06.0,S. Muhammad misses 2-pt shot from 6 ft (block by K. Seraphin),,29-39,,
5:05.0,,,29-39,,Defensive rebound by N. Hilario
4:51.0,,,29-39,,A. Miller misses 2-pt shot from 4 ft
4:50.0,Defensive rebound by J. Adrien,,29-39,,
4:41.0,S. Muhammad misses 2-pt shot from 2 ft,,29-39,,
4:40.0,Offensive rebound by T. Young,,29-39,,
4:37.0,T. Young misses 2-pt shot from 1 ft,,29-39,,
4:36.0,,,29-39,,Defensive rebound by N. Hilario
4:33.0,,,29-39,,Turnover by N. Hilario (bad pass; steal by S. Muhammad)
4:31.0,Shooting foul by N. Hilario (drawn by T. Young),,29-39,,
4:31.0,T. Young misses free throw 1 of 2,,29-39,,
4:31.0,Offensive rebound by Team,,29-39,,
4:31.0,,,29-39,,M. Gortat enters the game for G. Temple
4:31.0,,,29-39,,K. Humphries enters the game for N. Hilario
4:31.0,,,29-39,,B. Beal enters the game for K. Seraphin
4:31.0,,,29-39,,J. Wall enters the game for A. Miller
4:31.0,G. Dieng enters the game for S. Muhammad,,29-39,,
4:31.0,Z. LaVine enters the game for M. Williams,,29-39,,
4:31.0,C. Brewer enters the game for J. Adrien,,29-39,,
4:31.0,T. Young makes free throw 2 of 2,1,30-39,,
4:11.0,,,30-39,,M. Gortat misses 2-pt shot from 9 ft
4:10.0,Defensive rebound by C. Brewer,,30-39,,
3:59.0,,,30-39,,Personal foul by M. Gortat (drawn by T. Young)
3:59.0,T. Young misses free throw 1 of 2,,30-39,,
3:59.0,Offensive rebound by Team,,30-39,,
3:59.0,T. Young misses free throw 2 of 2,,30-39,,
3:58.0,,,30-39,,Defensive rebound by K. Humphries
3:36.0,,,30-39,,R. Butler misses 2-pt shot from 19 ft
3:35.0,Defensive rebound by G. Dieng,,30-39,,
3:25.0,,,30-39,,Violation by M. Gortat (kicked ball)
3:25.0,,,30-39,,O. Porter enters the game for R. Butler
3:16.0,A. Wiggins misses 2-pt shot from 1 ft,,30-39,,
3:15.0,,,30-39,,Defensive rebound by J. Wall
3:08.0,,,30-39,,B. Beal misses 2-pt shot from 11 ft
3:07.0,,,30-39,,Offensive rebound by K. Humphries
3:02.0,,,30-39,,J. Wall misses 3-pt shot from 25 ft
3:01.0,Defensive rebound by Z. LaVine,,30-39,,
2:53.0,A. Wiggins misses 3-pt shot from 25 ft,,30-39,,
2:52.0,,,30-39,,Defensive rebound by K. Humphries
2:44.0,,,30-42,3,O. Porter makes 3-pt shot from 25 ft (assist by J. Wall)
2:19.0,G. Dieng misses 2-pt shot from 18 ft,,30-42,,
2:18.0,,,30-42,,Defensive rebound by K. Humphries
2:11.0,,,30-44,2,M. Gortat makes 2-pt shot at rim (assist by B. Beal)
2:11.0,Minnesota full timeout,,30-44,,
2:11.0,,,30-44,,Washington full timeout
2:11.0,,,30-44,,N. Hilario enters the game for M. Gortat
2:00.0,T. Young makes 2-pt shot from 16 ft (assist by G. Dieng),2,32-44,,
1:42.0,,,32-44,,Turnover by B. Beal (bad pass; steal by C. Brewer)
1:26.0,T. Young makes 2-pt shot from 2 ft (assist by Z. LaVine),2,34-44,,
1:10.0,,,34-46,2,J. Wall makes 2-pt shot from 15 ft
0:56.0,G. Dieng makes 2-pt shot from 1 ft (assist by Z. LaVine),2,36-46,,
0:39.0,,,36-46,,J. Wall misses 2-pt shot from 15 ft
0:38.0,Defensive rebound by G. Dieng,,36-46,,
0:32.0,C. Brewer misses 2-pt shot from 4 ft,,36-46,,
0:31.0,,,36-46,,Defensive rebound by N. Hilario
0:23.0,,,36-46,,B. Beal misses 3-pt shot from 24 ft
0:23.0,Defensive rebound by Team,,36-46,,
0:23.0,,,36-46,,K. Seraphin enters the game for N. Hilario
0:02.0,A. Wiggins misses 2-pt shot at rim,,36-46,,
0:01.0,,,36-46,,Defensive rebound by K. Humphries
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,T. Young makes 2-pt shot from 11 ft (assist by A. Wiggins),2,38-46,,
11:27.0,,,38-46,,B. Beal misses 2-pt shot from 6 ft
11:26.0,,,38-46,,Offensive rebound by M. Gortat
11:22.0,,,38-48,2,K. Humphries makes 2-pt shot from 16 ft (assist by M. Gortat)
11:01.0,,,38-48,,Personal foul by M. Gortat (drawn by G. Dieng)
11:01.0,G. Dieng makes free throw 1 of 2,1,39-48,,
11:01.0,G. Dieng makes free throw 2 of 2,1,40-48,,
10:44.0,,,40-48,,O. Porter misses 2-pt shot from 16 ft
10:43.0,Defensive rebound by T. Young,,40-48,,
10:30.0,Shooting foul by K. Humphries (drawn by T. Young),,40-48,,
10:30.0,T. Young misses free throw 1 of 2,,40-48,,
10:30.0,Offensive rebound by Team,,40-48,,
10:30.0,T. Young makes free throw 2 of 2,1,41-48,,
10:16.0,,,41-48,,M. Gortat misses 2-pt shot from 2 ft (block by G. Dieng)
10:14.0,,,41-48,,Offensive rebound by M. Gortat
10:11.0,,,41-50,2,M. Gortat makes 2-pt shot from 1 ft
9:51.0,Z. LaVine misses 2-pt shot from 17 ft,,41-50,,
9:50.0,,,41-50,,Defensive rebound by K. Humphries
9:38.0,,,41-50,,Shooting foul by T. Young (drawn by M. Gortat)
9:38.0,,,41-50,,M. Gortat misses free throw 1 of 2
9:38.0,,,41-50,,Offensive rebound by Team
9:38.0,,,41-51,1,M. Gortat makes free throw 2 of 2
9:22.0,Z. LaVine makes 2-pt shot from 1 ft,2,43-51,,
9:06.0,,,43-51,,M. Gortat misses 2-pt shot from 15 ft
9:05.0,Defensive rebound by G. Dieng,,43-51,,
8:49.0,T. Young makes 2-pt shot at rim (assist by Z. LaVine),2,45-51,,
8:31.0,,,45-53,2,J. Wall makes 2-pt shot from 5 ft
8:11.0,A. Wiggins makes 2-pt shot from 19 ft,2,47-53,,
7:55.0,,,47-55,2,B. Beal makes 2-pt shot from 15 ft
7:36.0,Turnover by Z. LaVine (bad pass; steal by B. Beal),,47-55,,
7:30.0,,,47-57,2,O. Porter makes 2-pt shot at rim (assist by J. Wall)
7:30.0,Minnesota full timeout,,47-57,,
7:12.0,T. Young makes 2-pt shot from 14 ft,2,49-57,,
6:51.0,Personal foul by T. Young (drawn by M. Gortat),,49-57,,
6:44.0,,,49-57,,Turnover by B. Beal (bad pass; steal by A. Wiggins)
6:40.0,T. Young misses 2-pt shot at rim (block by O. Porter),,49-57,,
6:39.0,Offensive rebound by A. Wiggins,,49-57,,
6:39.0,Shooting foul by B. Beal (drawn by A. Wiggins),,49-57,,
6:39.0,A. Wiggins makes free throw 1 of 2,1,50-57,,
6:39.0,A. Wiggins makes free throw 2 of 2,1,51-57,,
6:27.0,,,51-57,,B. Beal misses 2-pt shot from 17 ft
6:26.0,,,51-57,,Offensive rebound by O. Porter
6:23.0,,,51-57,,O. Porter misses 2-pt shot from 6 ft
6:22.0,Defensive rebound by G. Dieng,,51-57,,
6:10.0,T. Young makes 2-pt shot from 1 ft (assist by Z. LaVine),2,53-57,,
5:55.0,,,53-59,2,J. Wall makes 2-pt shot from 16 ft
5:36.0,T. Young makes 2-pt shot from 16 ft,2,55-59,,
5:24.0,Def 3 sec tech foul by G. Dieng,,55-59,,
5:24.0,,,55-60,1,B. Beal makes technical free throw
5:16.0,,,55-62,2,O. Porter makes 2-pt shot from 1 ft (assist by M. Gortat)
5:02.0,Z. LaVine makes 2-pt shot at rim,2,57-62,,
4:50.0,,,57-64,2,J. Wall makes 2-pt shot from 19 ft
4:31.0,T. Young makes 2-pt shot from 17 ft,2,59-64,,
4:09.0,,,59-64,,Turnover by J. Wall (bad pass; steal by T. Young)
4:04.0,T. Young makes 2-pt shot at rim,2,61-64,,
4:04.0,,,61-64,,Washington full timeout
4:04.0,,,61-64,,N. Hilario enters the game for K. Humphries
3:51.0,,,61-64,,B. Beal misses 3-pt shot from 23 ft
3:50.0,,,61-64,,Offensive rebound by M. Gortat
3:43.0,Personal foul by T. Young (drawn by N. Hilario),,61-64,,
3:33.0,,,61-67,3,B. Beal makes 3-pt shot from 25 ft (assist by N. Hilario)
3:08.0,T. Young makes 2-pt shot from 20 ft,2,63-67,,
2:57.0,,,63-67,,Shooting foul by G. Dieng (drawn by N. Hilario)
2:57.0,,,63-67,,N. Hilario misses free throw 1 of 2
2:57.0,,,63-67,,Offensive rebound by Team
2:57.0,,,63-68,1,N. Hilario makes free throw 2 of 2
2:35.0,G. Dieng misses 2-pt shot at rim (block by M. Gortat),,63-68,,
2:33.0,Offensive rebound by G. Dieng,,63-68,,
2:33.0,G. Dieng misses 2-pt shot from 1 ft (block by M. Gortat),,63-68,,
2:33.0,Offensive rebound by G. Dieng,,63-68,,
2:33.0,Turnover by Team (shot clock),,63-68,,
2:33.0,S. Muhammad enters the game for C. Brewer,,63-68,,
2:11.0,,,63-70,2,M. Gortat makes 2-pt shot from 1 ft (assist by O. Porter)
1:59.0,Turnover by Z. LaVine (lost ball; steal by J. Wall),,63-70,,
1:51.0,,,63-72,2,N. Hilario makes 2-pt shot at rim (assist by J. Wall)
1:50.0,Minnesota full timeout,,63-72,,
1:50.0,,,63-72,,R. Butler enters the game for O. Porter
1:34.0,G. Dieng makes 2-pt shot from 9 ft (assist by T. Young),2,65-72,,
1:13.0,,,65-72,,J. Wall misses 3-pt shot from 26 ft
1:12.0,Defensive rebound by G. Dieng,,65-72,,
1:00.0,Z. LaVine misses 2-pt shot from 20 ft,,65-72,,
1:00.0,,,65-72,,Defensive rebound by R. Butler
0:48.0,,,65-72,,N. Hilario misses 2-pt shot from 3 ft
0:47.0,Defensive rebound by G. Dieng,,65-72,,
0:40.0,T. Young makes 2-pt shot from 6 ft (assist by Z. LaVine),2,67-72,,
0:35.0,,,67-72,,Turnover by J. Wall (lost ball; steal by S. Muhammad)
0:31.0,G. Dieng makes 2-pt shot at rim (assist by Z. LaVine),2,69-72,,
0:08.0,Personal foul by S. Muhammad (drawn by N. Hilario),,69-72,,
0:08.0,,,69-73,1,N. Hilario makes free throw 1 of 2
0:08.0,M. Williams enters the game for G. Dieng,,69-73,,
0:08.0,,,69-73,,O. Porter enters the game for M. Gortat
0:08.0,,,69-74,1,N. Hilario makes free throw 2 of 2
0:05.0,,,69-74,,Personal foul by N. Hilario (drawn by T. Young)
0:01.0,Z. LaVine misses 2-pt shot from 17 ft,,69-74,,
0:00.0,Offensive rebound by Team,,69-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,69-76,2,N. Hilario makes 2-pt shot at rim (assist by B. Beal)
11:26.0,,,69-76,,Personal foul by K. Seraphin (drawn by T. Young)
11:26.0,T. Young makes free throw 1 of 2,1,70-76,,
11:26.0,T. Young makes free throw 2 of 2,1,71-76,,
11:15.0,,,71-78,2,R. Butler makes 2-pt shot from 19 ft (assist by J. Wall)
11:01.0,Turnover by T. Young (lost ball; steal by N. Hilario),,71-78,,
11:00.0,Personal take foul by M. Williams (drawn by J. Wall),,71-78,,
10:46.0,,,71-80,2,R. Butler makes 2-pt shot from 20 ft (assist by J. Wall)
10:34.0,,,71-80,,Def 3 sec tech foul by K. Seraphin
10:34.0,M. Williams makes technical free throw,1,72-80,,
10:27.0,M. Williams misses 2-pt shot from 2 ft,,72-80,,
10:26.0,,,72-80,,Defensive rebound by J. Wall
10:17.0,,,72-82,2,R. Butler makes 2-pt shot at rim (assist by J. Wall)
9:58.0,M. Williams makes 2-pt shot from 14 ft,2,74-82,,
9:41.0,,,74-84,2,J. Wall makes 2-pt shot from 17 ft
9:41.0,,,74-84,,Shooting foul by J. Adrien (drawn by J. Wall)
9:41.0,C. Brewer enters the game for A. Wiggins,,74-84,,
9:41.0,,,74-85,1,J. Wall makes free throw 1 of 1
9:24.0,Shooting foul by N. Hilario (drawn by T. Young),,74-85,,
9:24.0,T. Young misses free throw 1 of 2,,74-85,,
9:24.0,Offensive rebound by Team,,74-85,,
9:24.0,T. Young makes free throw 2 of 2,1,75-85,,
9:11.0,,,75-87,2,K. Seraphin makes 2-pt shot from 1 ft (assist by J. Wall)
8:56.0,C. Brewer misses 2-pt shot from 6 ft,,75-87,,
8:55.0,,,75-87,,Defensive rebound by N. Hilario
8:42.0,,,75-89,2,K. Seraphin makes 2-pt shot at rim (assist by N. Hilario)
8:42.0,Minnesota full timeout,,75-89,,
8:42.0,R. Hummel enters the game for T. Young,,75-89,,
8:42.0,G. Dieng enters the game for J. Adrien,,75-89,,
8:33.0,S. Muhammad makes 2-pt shot from 8 ft (assist by M. Williams),2,77-89,,
8:12.0,,,77-91,2,K. Seraphin makes 2-pt shot from 18 ft (assist by B. Beal)
7:52.0,S. Muhammad makes 2-pt shot from 6 ft,2,79-91,,
7:36.0,,,79-91,,Offensive foul by K. Seraphin
7:36.0,,,79-91,,Turnover by K. Seraphin (offensive foul)
7:20.0,C. Brewer misses 3-pt shot from 23 ft,,79-91,,
7:19.0,Offensive rebound by R. Hummel,,79-91,,
7:09.0,Turnover by M. Williams (bad pass; steal by N. Hilario),,79-91,,
7:04.0,Personal foul by R. Hummel (drawn by K. Seraphin),,79-91,,
6:58.0,,,79-91,,Turnover by N. Hilario (bad pass; steal by S. Muhammad)
6:48.0,G. Dieng misses 2-pt shot from 7 ft (block by R. Butler),,79-91,,
6:45.0,Offensive rebound by M. Williams,,79-91,,
6:41.0,S. Muhammad makes 3-pt shot from 25 ft (assist by M. Williams),3,82-91,,
6:23.0,,,82-91,,J. Wall misses 2-pt shot from 19 ft
6:23.0,,,82-91,,Offensive rebound by N. Hilario
6:23.0,,,82-93,2,N. Hilario makes 2-pt shot at rim
6:23.0,,,82-93,,Shooting foul by R. Hummel (drawn by N. Hilario)
6:23.0,,,82-93,,N. Hilario misses free throw 1 of 1
6:21.0,Defensive rebound by R. Hummel,,82-93,,
6:07.0,M. Williams misses 2-pt shot from 17 ft,,82-93,,
6:06.0,,,82-93,,Defensive rebound by R. Butler
5:51.0,,,82-96,3,R. Butler makes 3-pt shot from 25 ft (assist by J. Wall)
5:31.0,R. Hummel misses 2-pt shot from 18 ft,,82-96,,
5:29.0,,,82-96,,Defensive rebound by B. Beal
5:14.0,Shooting block foul by G. Dieng (drawn by R. Butler),,82-96,,
5:14.0,Official timeout,,82-96,,
5:14.0,Z. LaVine enters the game for M. Williams,,82-96,,
5:14.0,A. Wiggins enters the game for C. Brewer,,82-96,,
5:14.0,T. Young enters the game for R. Hummel,,82-96,,
5:14.0,,,82-96,,R. Butler misses free throw 1 of 2
5:14.0,,,82-96,,Offensive rebound by Team
5:14.0,,,82-97,1,R. Butler makes free throw 2 of 2
5:01.0,,,82-97,,Personal foul by N. Hilario (drawn by G. Dieng)
5:01.0,,,82-97,,K. Humphries enters the game for N. Hilario
4:48.0,Shooting foul by K. Seraphin (drawn by G. Dieng),,82-97,,
4:48.0,G. Dieng makes free throw 1 of 2,1,83-97,,
4:48.0,,,83-97,,M. Gortat enters the game for K. Seraphin
4:48.0,G. Dieng makes free throw 2 of 2,1,84-97,,
4:25.0,,,84-100,3,R. Butler makes 3-pt shot from 24 ft (assist by J. Wall)
4:14.0,,,84-100,,Personal foul by R. Butler (drawn by S. Muhammad)
4:14.0,S. Muhammad misses free throw 1 of 2,,84-100,,
4:14.0,Offensive rebound by Team,,84-100,,
4:14.0,S. Muhammad makes free throw 2 of 2,1,85-100,,
3:58.0,,,85-100,,B. Beal misses 2-pt shot from 19 ft (block by A. Wiggins)
3:56.0,Defensive rebound by Z. LaVine,,85-100,,
3:50.0,T. Young misses 2-pt shot from 16 ft,,85-100,,
3:49.0,,,85-100,,Defensive rebound by B. Beal
3:44.0,,,85-102,2,R. Butler makes 2-pt shot at rim (assist by J. Wall)
3:22.0,Shooting foul by J. Wall (drawn by G. Dieng),,85-102,,
3:22.0,G. Dieng misses free throw 1 of 2,,85-102,,
3:22.0,Offensive rebound by Team,,85-102,,
3:22.0,G. Dieng makes free throw 2 of 2,1,86-102,,
2:59.0,,,86-102,,J. Wall misses 2-pt shot from 20 ft
2:58.0,Defensive rebound by A. Wiggins,,86-102,,
2:52.0,Turnover by Z. LaVine (lost ball; steal by B. Beal),,86-102,,
2:50.0,Personal take foul by Z. LaVine (drawn by B. Beal),,86-102,,
2:50.0,,,86-102,,Washington full timeout
