time,Chicago,pts.away,score,pts.home,Miami
2:53.0,A. Brooks misses 3-pt shot from 25 ft,,30-44,,
2:52.0,,,30-44,,Defensive rebound by M. Beasley
2:34.0,,,30-44,,H. Whiteside misses 2-pt shot from 4 ft
2:33.0,Defensive rebound by P. Gasol,,30-44,,
2:23.0,T. Gibson misses 2-pt shot from 2 ft (block by M. Beasley),,30-44,,
2:22.0,,,30-44,,Defensive rebound by D. Wade
2:16.0,,,30-46,2,L. Deng makes 2-pt shot at rim
1:58.0,T. Snell misses 3-pt shot from 24 ft,,30-46,,
1:57.0,,,30-46,,Defensive rebound by H. Whiteside
1:47.0,,,30-46,,M. Chalmers misses 3-pt shot from 23 ft
1:46.0,,,30-46,,Offensive rebound by H. Whiteside
1:43.0,,,30-48,2,H. Whiteside makes 2-pt shot from 6 ft
1:22.0,P. Gasol misses 2-pt shot from 1 ft,,30-48,,
1:21.0,Offensive rebound by T. Gibson,,30-48,,
1:20.0,T. Gibson makes 2-pt shot at rim,2,32-48,,
1:00.0,,,32-48,,M. Beasley misses 2-pt shot from 12 ft
0:59.0,Defensive rebound by P. Gasol,,32-48,,
0:48.0,M. Dunleavy misses 2-pt shot from 1 ft,,32-48,,
0:47.0,,,32-48,,Defensive rebound by Team
0:47.0,N. Mirotic enters the game for T. Gibson,,32-48,,
0:47.0,,,32-48,,C. Andersen enters the game for H. Whiteside
0:37.0,Personal foul by T. Snell (drawn by D. Wade),,32-48,,
0:37.0,,,32-48,,U. Haslem enters the game for M. Beasley
0:30.0,,,32-48,,Miami full timeout
0:26.0,,,32-51,3,D. Wade makes 3-pt shot from 25 ft (assist by U. Haslem)
0:08.0,Turnover by N. Mirotic (lost ball),,32-51,,
0:08.0,T. Gibson enters the game for N. Mirotic,,32-51,,
0:08.0,,,32-51,,G. Dragic enters the game for U. Haslem
0:08.0,K. Hinrich enters the game for P. Gasol,,32-51,,
0:02.0,,,32-51,,Turnover by M. Chalmers (lost ball; steal by M. Dunleavy)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,Personal foul by M. Dunleavy (drawn by L. Deng),,32-51,,
11:32.0,,,32-51,,L. Deng misses 2-pt shot from 16 ft
11:31.0,Defensive rebound by D. Rose,,32-51,,
11:24.0,M. Dunleavy misses 3-pt shot from 24 ft,,32-51,,
11:23.0,,,32-51,,Defensive rebound by H. Whiteside
11:10.0,,,32-51,,H. Whiteside misses 2-pt shot from 7 ft
11:09.0,Defensive rebound by D. Rose,,32-51,,
11:01.0,D. Rose misses 2-pt shot from 14 ft,,32-51,,
11:00.0,,,32-51,,Defensive rebound by H. Whiteside
10:48.0,,,32-51,,D. Wade misses 2-pt shot from 9 ft
10:47.0,Defensive rebound by M. Dunleavy,,32-51,,
10:32.0,,,32-51,,Personal foul by H. Whiteside (drawn by P. Gasol)
10:27.0,M. Dunleavy makes 2-pt shot from 20 ft (assist by D. Rose),2,34-51,,
10:03.0,,,34-51,,L. Deng misses 2-pt shot from 15 ft
10:02.0,Defensive rebound by J. Noah,,34-51,,
9:58.0,Turnover by D. Rose (lost ball),,34-51,,
9:41.0,,,34-51,,Turnover by D. Wade (bad pass; steal by M. Dunleavy)
9:37.0,T. Snell makes 2-pt shot at rim (assist by M. Dunleavy),2,36-51,,
9:16.0,,,36-51,,L. Deng misses 2-pt shot from 2 ft
9:15.0,,,36-51,,Offensive rebound by L. Deng
9:09.0,,,36-51,,L. Deng misses 3-pt shot from 23 ft
9:08.0,Defensive rebound by T. Snell,,36-51,,
9:01.0,T. Snell makes 3-pt shot from 24 ft,3,39-51,,
9:01.0,,,39-51,,Miami full timeout
8:45.0,,,39-51,,D. Wade misses 2-pt shot from 19 ft
8:44.0,Defensive rebound by J. Noah,,39-51,,
8:39.0,Turnover by D. Rose (step out of bounds),,39-51,,
8:24.0,,,39-51,,H. Whiteside misses 2-pt shot at rim
8:23.0,,,39-51,,Offensive rebound by L. Deng
8:17.0,,,39-51,,G. Dragic misses 3-pt shot from 26 ft
8:16.0,Defensive rebound by Team,,39-51,,
7:57.0,J. Noah makes 2-pt shot from 8 ft,2,41-51,,
7:35.0,,,41-51,,D. Wade misses 2-pt shot from 19 ft
7:34.0,Defensive rebound by P. Gasol,,41-51,,
7:19.0,M. Dunleavy makes 2-pt shot from 18 ft (assist by J. Noah),2,43-51,,
6:56.0,,,43-51,,H. Whiteside misses 2-pt shot from 10 ft (block by P. Gasol)
6:55.0,,,43-51,,Offensive rebound by U. Haslem
6:53.0,,,43-51,,U. Haslem misses 2-pt shot from 1 ft
6:52.0,,,43-51,,Offensive rebound by L. Deng
6:47.0,,,43-53,2,L. Deng makes 2-pt shot from 1 ft
6:38.0,,,43-53,,Personal foul by L. Deng (drawn by M. Dunleavy)
6:38.0,,,43-53,,M. Beasley enters the game for U. Haslem
6:38.0,,,43-53,,M. Chalmers enters the game for D. Wade
6:33.0,D. Rose makes 2-pt shot from 7 ft,2,45-53,,
6:11.0,,,45-53,,M. Beasley misses 3-pt shot from 24 ft
6:10.0,Defensive rebound by J. Noah,,45-53,,
6:00.0,D. Rose makes 2-pt shot from 8 ft,2,47-53,,
6:00.0,,,47-53,,Miami full timeout
5:47.0,,,47-53,,Offensive charge foul by M. Chalmers
5:47.0,,,47-53,,Turnover by M. Chalmers (offensive foul)
5:25.0,D. Rose misses 3-pt shot from 24 ft,,47-53,,
5:24.0,,,47-53,,Defensive rebound by H. Whiteside
5:17.0,,,47-56,3,G. Dragic makes 3-pt shot from 25 ft
5:17.0,Chicago full timeout,,47-56,,
5:17.0,T. Gibson enters the game for J. Noah,,47-56,,
5:17.0,A. Brooks enters the game for D. Rose,,47-56,,
5:00.0,T. Gibson makes 2-pt shot from 15 ft (assist by A. Brooks),2,49-56,,
4:36.0,,,49-56,,M. Chalmers misses 2-pt shot from 19 ft
4:34.0,,,49-56,,Offensive rebound by H. Whiteside
4:34.0,,,49-56,,Shooting foul by P. Gasol (drawn by H. Whiteside)
4:34.0,,,49-57,1,H. Whiteside makes free throw 1 of 2
4:34.0,,,49-57,,H. Whiteside misses free throw 2 of 2
4:33.0,Defensive rebound by A. Brooks,,49-57,,
4:26.0,M. Dunleavy makes 2-pt shot from 2 ft (assist by A. Brooks),2,51-57,,
4:26.0,Shooting foul by H. Whiteside (drawn by M. Dunleavy),,51-57,,
4:26.0,M. Dunleavy makes free throw 1 of 1,1,52-57,,
4:16.0,,,52-57,,H. Whiteside misses 2-pt shot from 6 ft
4:15.0,Defensive rebound by P. Gasol,,52-57,,
3:54.0,,,52-57,,Personal foul by M. Beasley (drawn by P. Gasol)
3:54.0,,,52-57,,D. Wade enters the game for G. Dragic
3:45.0,T. Snell misses 2-pt shot from 5 ft,,52-57,,
3:44.0,,,52-57,,Defensive rebound by H. Whiteside
3:26.0,,,52-57,,D. Wade misses 2-pt shot from 9 ft
3:25.0,Defensive rebound by T. Gibson,,52-57,,
3:18.0,A. Brooks makes 3-pt shot from 24 ft (assist by T. Snell),3,55-57,,
2:54.0,,,55-57,,Turnover by M. Beasley (bad pass; steal by M. Dunleavy)
2:43.0,A. Brooks misses 3-pt shot from 23 ft,,55-57,,
2:42.0,Offensive rebound by P. Gasol,,55-57,,
2:40.0,P. Gasol makes 2-pt shot from 1 ft,2,57-57,,
2:21.0,Personal foul by T. Snell (drawn by D. Wade),,57-57,,
2:21.0,,,57-57,,C. Andersen enters the game for H. Whiteside
2:21.0,,,57-57,,J. Ennis enters the game for L. Deng
2:07.0,,,57-57,,M. Beasley misses 2-pt shot from 21 ft
2:06.0,Defensive rebound by P. Gasol,,57-57,,
1:58.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by T. Gibson),3,60-57,,
1:31.0,,,60-57,,D. Wade misses 3-pt shot from 24 ft
1:30.0,Defensive rebound by M. Dunleavy,,60-57,,
1:21.0,A. Brooks makes 3-pt shot from 24 ft (assist by M. Dunleavy),3,63-57,,
1:00.0,,,63-59,2,C. Andersen makes 2-pt shot from 1 ft (assist by D. Wade)
0:41.0,T. Snell misses 2-pt shot from 3 ft (block by C. Andersen),,63-59,,
0:39.0,Offensive rebound by P. Gasol,,63-59,,
0:38.0,P. Gasol makes 2-pt shot at rim,2,65-59,,
0:23.0,,,65-59,,D. Wade misses 2-pt shot from 20 ft
0:22.0,Defensive rebound by M. Dunleavy,,65-59,,
0:02.0,A. Brooks misses 3-pt shot from 24 ft,,65-59,,
0:00.0,Offensive rebound by Team,,65-59,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,M. Dunleavy makes 2-pt shot from 19 ft (assist by J. Noah),2,67-59,,
11:22.0,,,67-59,,Turnover by D. Wade (bad pass; steal by A. Brooks)
11:17.0,A. Brooks makes 2-pt shot from 17 ft,2,69-59,,
11:01.0,,,69-59,,M. Chalmers misses 2-pt shot from 18 ft
11:00.0,,,69-59,,Offensive rebound by J. Ennis
10:51.0,,,69-59,,D. Wade misses 2-pt shot from 14 ft
10:50.0,Defensive rebound by M. Dunleavy,,69-59,,
10:37.0,T. Gibson makes 2-pt shot at rim (assist by J. Noah),2,71-59,,
10:37.0,,,71-59,,Miami full timeout
10:37.0,,,71-59,,G. Dragic enters the game for M. Chalmers
10:37.0,,,71-59,,H. Whiteside enters the game for C. Andersen
10:37.0,,,71-59,,L. Deng enters the game for M. Beasley
10:23.0,,,71-59,,L. Deng misses 2-pt shot from 21 ft
10:22.0,Defensive rebound by T. Gibson,,71-59,,
10:07.0,M. Dunleavy misses 3-pt shot from 24 ft,,71-59,,
10:06.0,,,71-59,,Defensive rebound by Team
10:06.0,Loose ball foul by J. Noah (drawn by H. Whiteside),,71-59,,
9:48.0,,,71-61,2,H. Whiteside makes 2-pt shot at rim (assist by J. Ennis)
9:19.0,A. Brooks misses 2-pt shot from 7 ft,,71-61,,
9:18.0,,,71-61,,Defensive rebound by H. Whiteside
9:09.0,,,71-61,,J. Ennis misses 3-pt shot from 23 ft
9:08.0,Defensive rebound by T. Gibson,,71-61,,
8:53.0,T. Gibson makes 2-pt shot from 16 ft (assist by K. Hinrich),2,73-61,,
8:30.0,,,73-61,,Shooting foul by M. Dunleavy (drawn by L. Deng)
8:30.0,,,73-62,1,L. Deng makes free throw 1 of 2
8:30.0,T. Snell enters the game for A. Brooks,,73-62,,
8:30.0,,,73-63,1,L. Deng makes free throw 2 of 2
8:16.0,Turnover by M. Dunleavy (lost ball),,73-63,,
8:04.0,,,73-63,,D. Wade misses 2-pt shot from 14 ft
8:03.0,,,73-63,,Offensive rebound by L. Deng
8:02.0,,,73-63,,L. Deng misses 2-pt shot from 6 ft
8:01.0,Defensive rebound by Team,,73-63,,
7:50.0,K. Hinrich makes 2-pt shot from 20 ft,2,75-63,,
7:35.0,,,75-63,,Turnover by H. Whiteside (3 sec)
7:35.0,N. Mirotic enters the game for M. Dunleavy,,75-63,,
7:19.0,N. Mirotic misses 3-pt shot from 24 ft,,75-63,,
7:18.0,,,75-63,,Defensive rebound by H. Whiteside
6:59.0,,,75-65,2,H. Whiteside makes 2-pt shot from 1 ft
6:44.0,,,75-65,,Personal foul by J. Ennis (drawn by T. Gibson)
6:38.0,T. Gibson misses 2-pt shot from 18 ft,,75-65,,
6:37.0,,,75-65,,Defensive rebound by J. Ennis
6:26.0,,,75-65,,Turnover by D. Wade (lost ball; steal by J. Noah)
6:21.0,J. Noah misses 2-pt shot from 1 ft,,75-65,,
6:20.0,,,75-65,,Defensive rebound by H. Whiteside
6:15.0,,,75-65,,Turnover by H. Whiteside (bad pass; steal by N. Mirotic)
5:56.0,J. Noah misses 2-pt shot from 1 ft,,75-65,,
5:55.0,,,75-65,,Defensive rebound by J. Ennis
5:49.0,,,75-67,2,G. Dragic makes 2-pt shot from 1 ft
5:48.0,Chicago full timeout,,75-67,,
5:48.0,P. Gasol enters the game for J. Noah,,75-67,,
5:48.0,A. Brooks enters the game for K. Hinrich,,75-67,,
5:30.0,T. Snell misses 2-pt shot from 1 ft,,75-67,,
5:29.0,,,75-67,,Defensive rebound by D. Wade
5:20.0,,,75-67,,G. Dragic misses 3-pt shot from 24 ft
5:19.0,Defensive rebound by Team,,75-67,,
5:06.0,P. Gasol misses 2-pt shot from 14 ft,,75-67,,
5:05.0,,,75-67,,Defensive rebound by G. Dragic
4:53.0,,,75-67,,D. Wade misses 2-pt shot from 20 ft
4:52.0,Defensive rebound by T. Gibson,,75-67,,
4:35.0,A. Brooks misses 2-pt shot from 8 ft,,75-67,,
4:34.0,Offensive rebound by Team,,75-67,,
4:33.0,,,75-67,,Violation by G. Dragic (kicked ball)
4:19.0,N. Mirotic makes 3-pt shot from 25 ft (assist by P. Gasol),3,78-67,,
3:54.0,,,78-69,2,H. Whiteside makes 2-pt shot from 4 ft
3:40.0,N. Mirotic makes 3-pt shot from 24 ft (assist by A. Brooks),3,81-69,,
3:20.0,,,81-69,,Shooting foul by P. Gasol (drawn by J. Ennis)
3:20.0,,,81-69,,J. Ennis misses free throw 1 of 2
3:20.0,,,81-69,,Offensive rebound by Team
3:20.0,,,81-70,1,J. Ennis makes free throw 2 of 2
3:08.0,Turnover by T. Gibson (traveling),,81-70,,
2:49.0,,,81-70,,L. Deng misses 3-pt shot from 25 ft
2:48.0,,,81-70,,Offensive rebound by Team
2:48.0,Personal foul by A. Brooks (drawn by G. Dragic),,81-70,,
2:48.0,,,81-70,,Miami full timeout
2:36.0,,,81-72,2,D. Wade makes 2-pt shot from 14 ft
2:20.0,N. Mirotic misses 3-pt shot from 23 ft,,81-72,,
2:19.0,,,81-72,,Defensive rebound by Team
2:03.0,,,81-72,,G. Dragic misses 3-pt shot from 24 ft
2:02.0,Defensive rebound by P. Gasol,,81-72,,
1:48.0,Shooting foul by G. Dragic (drawn by A. Brooks),,81-72,,
1:48.0,A. Brooks makes free throw 1 of 2,1,82-72,,
1:48.0,A. Brooks makes free throw 2 of 2,1,83-72,,
1:34.0,,,83-72,,D. Wade misses 3-pt shot from 25 ft
1:32.0,Defensive rebound by T. Snell,,83-72,,
1:15.0,A. Brooks misses 3-pt shot from 24 ft,,83-72,,
1:14.0,,,83-72,,Defensive rebound by H. Whiteside
1:00.0,,,83-74,2,G. Dragic makes 2-pt shot from 1 ft (assist by D. Wade)
0:45.0,Turnover by A. Brooks (bad pass; steal by L. Deng),,83-74,,
0:40.0,,,83-76,2,G. Dragic makes 2-pt shot at rim (assist by L. Deng)
0:30.0,P. Gasol makes 2-pt shot at rim (assist by T. Gibson),2,85-76,,
0:30.0,,,85-76,,Miami full timeout
0:30.0,J. Noah enters the game for P. Gasol,,85-76,,
