time,Memphis,pts.away,score,pts.home,Indiana
8:46.0,V. Carter misses 3-pt shot from 25 ft,,28-28,,
8:45.0,,,28-28,,Defensive rebound by L. Allen
8:30.0,,,28-30,2,R. Stuckey makes 2-pt shot from 2 ft
8:08.0,Offensive charge foul by M. Conley,,28-30,,
8:08.0,Turnover by M. Conley (offensive foul),,28-30,,
8:08.0,K. Koufos enters the game for J. Leuer,,28-30,,
7:56.0,,,28-30,,R. Stuckey misses 2-pt shot from 10 ft
7:55.0,Defensive rebound by K. Koufos,,28-30,,
7:42.0,M. Gasol misses 2-pt shot from 10 ft,,28-30,,
7:40.0,Offensive rebound by K. Koufos,,28-30,,
7:40.0,K. Koufos misses 2-pt shot from 1 ft,,28-30,,
7:38.0,,,28-30,,Defensive rebound by L. Allen
7:23.0,,,28-30,,C. Copeland misses 3-pt shot from 26 ft
7:23.0,,,28-30,,Offensive rebound by I. Mahinmi
7:03.0,,,28-30,,Shooting foul by V. Carter (drawn by C. Copeland)
7:03.0,,,28-31,1,C. Copeland makes free throw 1 of 2
7:03.0,,,28-32,1,C. Copeland makes free throw 2 of 2
6:49.0,M. Conley misses 2-pt shot from 13 ft,,28-32,,
6:48.0,,,28-32,,Defensive rebound by L. Allen
6:33.0,,,28-35,3,D. Rudez makes 3-pt shot from 24 ft (assist by R. Stuckey)
6:19.0,Turnover by M. Conley (lost ball; steal by R. Stuckey),,28-35,,
6:14.0,,,28-37,2,C. Copeland makes 2-pt shot from 1 ft (assist by R. Stuckey)
6:14.0,Memphis full timeout,,28-37,,
6:14.0,,,28-37,,D. Sloan enters the game for R. Stuckey
6:14.0,C. Lee enters the game for K. Koufos,,28-37,,
6:14.0,T. Allen enters the game for Q. Pondexter,,28-37,,
6:14.0,Z. Randolph enters the game for V. Carter,,28-37,,
5:52.0,Z. Randolph makes 2-pt shot from 3 ft (assist by C. Lee),2,30-37,,
5:32.0,,,30-37,,I. Mahinmi misses 2-pt shot from 4 ft
5:31.0,Defensive rebound by C. Lee,,30-37,,
5:26.0,Offensive foul by M. Gasol,,30-37,,
5:26.0,Turnover by M. Gasol (offensive foul),,30-37,,
5:26.0,,,30-37,,R. Hibbert enters the game for I. Mahinmi
5:26.0,K. Koufos enters the game for M. Gasol,,30-37,,
5:14.0,,,30-39,2,L. Allen makes 2-pt shot from 17 ft (assist by D. Sloan)
4:55.0,C. Lee makes 2-pt shot from 17 ft (assist by K. Koufos),2,32-39,,
4:40.0,,,32-42,3,D. Rudez makes 3-pt shot from 25 ft (assist by D. Sloan)
4:28.0,,,32-42,,Personal foul by L. Allen (drawn by Z. Randolph)
4:28.0,,,32-42,,S. Hill enters the game for C. Copeland
4:22.0,Turnover by M. Conley (bad pass; steal by D. Sloan),,32-42,,
4:14.0,,,32-42,,S. Hill misses 3-pt shot from 26 ft
4:12.0,,,32-42,,Offensive rebound by R. Hibbert
4:12.0,,,32-42,,Turnover by R. Hibbert (lost ball)
4:12.0,B. Udrih enters the game for M. Conley,,32-42,,
3:57.0,Z. Randolph misses 2-pt shot from 6 ft (block by L. Allen),,32-42,,
3:55.0,,,32-42,,Defensive rebound by R. Hibbert
3:50.0,,,32-42,,Turnover by D. Sloan (bad pass; steal by T. Allen)
3:45.0,C. Lee makes 2-pt shot from 3 ft (assist by T. Allen),2,34-42,,
3:28.0,,,34-44,2,D. Sloan makes 2-pt shot from 7 ft
3:11.0,Shooting foul by L. Allen (drawn by Z. Randolph),,34-44,,
3:11.0,Z. Randolph makes free throw 1 of 2,1,35-44,,
3:11.0,Z. Randolph makes free throw 2 of 2,1,36-44,,
3:05.0,Personal block foul by K. Koufos (drawn by R. Hibbert),,36-44,,
3:05.0,,,36-44,,Indiana full timeout
2:54.0,,,36-46,2,D. Sloan makes 2-pt shot from 2 ft
2:31.0,B. Udrih misses 3-pt shot from 26 ft,,36-46,,
2:30.0,,,36-46,,Defensive rebound by L. Allen
2:28.0,,,36-46,,Turnover by L. Allen (lost ball; steal by T. Allen)
2:24.0,C. Lee misses 2-pt shot from 8 ft,,36-46,,
2:23.0,,,36-46,,Defensive rebound by L. Allen
2:10.0,,,36-49,3,S. Hill makes 3-pt shot from 25 ft (assist by D. Sloan)
2:03.0,Memphis full timeout,,36-49,,
2:03.0,Official timeout,,36-49,,
2:03.0,M. Conley enters the game for C. Lee,,36-49,,
1:52.0,M. Conley makes 2-pt shot from 18 ft,2,38-49,,
1:34.0,,,38-51,2,R. Hibbert makes 2-pt shot from 2 ft (assist by L. Allen)
1:21.0,M. Conley makes 2-pt shot from 2 ft,2,40-51,,
1:04.0,,,40-51,,L. Allen misses 2-pt shot from 7 ft
1:03.0,Defensive rebound by B. Udrih,,40-51,,
0:58.0,B. Udrih makes 2-pt shot from 19 ft,2,42-51,,
0:44.0,,,42-51,,R. Hibbert misses 2-pt shot from 18 ft
0:43.0,Defensive rebound by Z. Randolph,,42-51,,
0:25.0,T. Allen misses 3-pt shot from 23 ft,,42-51,,
0:24.0,Offensive rebound by Team,,42-51,,
0:22.0,M. Conley makes 3-pt shot from 22 ft (assist by T. Allen),3,45-51,,
0:15.0,,,45-51,,Indiana full timeout
0:15.0,,,45-51,,R. Stuckey enters the game for S. Hill
0:15.0,,,45-51,,C. Copeland enters the game for L. Allen
0:02.0,,,45-53,2,D. Sloan makes 2-pt shot from 1 ft (assist by R. Hibbert)
0:00.0,M. Conley misses 3-pt shot from 50 ft,,45-53,,
0:00.0,Offensive rebound by Team,,45-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Shooting foul by S. Hill (drawn by T. Allen),,45-53,,
11:47.0,T. Allen misses free throw 1 of 2,,45-53,,
11:47.0,Offensive rebound by Team,,45-53,,
11:47.0,T. Allen makes free throw 2 of 2,1,46-53,,
11:26.0,,,46-53,,Turnover by S. Hill (back court)
11:16.0,M. Gasol misses 2-pt shot from 17 ft,,46-53,,
11:15.0,,,46-53,,Defensive rebound by S. Hill
11:01.0,,,46-53,,Shooting foul by T. Allen (drawn by S. Hill)
11:01.0,,,46-54,1,S. Hill makes free throw 1 of 2
11:01.0,,,46-55,1,S. Hill makes free throw 2 of 2
10:48.0,T. Prince misses 2-pt shot from 18 ft,,46-55,,
10:47.0,,,46-55,,Defensive rebound by R. Hibbert
10:34.0,,,46-55,,Turnover by R. Hibbert (bad pass; steal by M. Gasol)
10:27.0,Z. Randolph misses 2-pt shot from 6 ft (block by R. Hibbert),,46-55,,
10:26.0,,,46-55,,Defensive rebound by C. Miles
10:19.0,,,46-57,2,L. Scola makes 2-pt shot from 18 ft (assist by D. Sloan)
9:57.0,M. Conley misses 2-pt shot from 18 ft,,46-57,,
9:56.0,,,46-57,,Defensive rebound by R. Hibbert
9:43.0,,,46-59,2,C. Miles makes 2-pt shot from 18 ft (assist by D. Sloan)
9:28.0,M. Gasol makes 2-pt shot from 7 ft,2,48-59,,
9:11.0,,,48-61,2,R. Hibbert makes 2-pt shot from 7 ft
8:51.0,Shooting foul by L. Scola (drawn by M. Conley),,48-61,,
8:51.0,M. Conley makes free throw 1 of 2,1,49-61,,
8:51.0,M. Conley makes free throw 2 of 2,1,50-61,,
8:31.0,Personal block foul by T. Allen (drawn by S. Hill),,50-61,,
8:20.0,,,50-61,,Shooting foul by Z. Randolph (drawn by R. Hibbert)
8:20.0,,,50-61,,R. Hibbert misses free throw 1 of 2
8:20.0,,,50-61,,Offensive rebound by Team
8:20.0,,,50-61,,R. Hibbert misses free throw 2 of 2
8:20.0,Defensive rebound by M. Gasol,,50-61,,
8:11.0,,,50-61,,Shooting block foul by R. Hibbert (drawn by M. Gasol)
8:11.0,M. Gasol makes 2-pt shot from 3 ft (assist by M. Conley),2,52-61,,
8:11.0,M. Gasol makes free throw 1 of 1,1,53-61,,
7:58.0,,,53-61,,C. Miles misses 2-pt shot from 4 ft
7:56.0,Defensive rebound by T. Allen,,53-61,,
7:53.0,M. Conley makes 2-pt shot from 3 ft (assist by T. Allen),2,55-61,,
7:53.0,Shooting foul by S. Hill (drawn by M. Conley),,55-61,,
7:53.0,M. Conley misses free throw 1 of 1,,55-61,,
7:52.0,,,55-61,,Defensive rebound by R. Hibbert
7:38.0,,,55-61,,D. Sloan misses 2-pt shot from 5 ft (block by M. Gasol)
7:36.0,Defensive rebound by M. Conley,,55-61,,
7:18.0,T. Prince makes 3-pt shot from 23 ft (assist by M. Gasol),3,58-61,,
7:17.0,,,58-61,,Indiana full timeout
7:03.0,,,58-61,,R. Hibbert misses 2-pt shot from 1 ft
7:02.0,,,58-61,,Offensive rebound by L. Scola
6:59.0,,,58-61,,L. Scola misses 2-pt shot from 6 ft
6:58.0,Defensive rebound by M. Gasol,,58-61,,
6:45.0,T. Prince misses 2-pt shot from 12 ft,,58-61,,
6:44.0,Offensive rebound by Z. Randolph,,58-61,,
6:39.0,M. Gasol misses 2-pt shot from 19 ft,,58-61,,
6:38.0,,,58-61,,Defensive rebound by S. Hill
6:27.0,,,58-61,,C. Miles misses 3-pt shot from 24 ft
6:26.0,Defensive rebound by M. Gasol,,58-61,,
6:18.0,M. Conley misses 2-pt shot from 3 ft,,58-61,,
6:17.0,Offensive rebound by Z. Randolph,,58-61,,
6:17.0,Shooting foul by S. Hill (drawn by Z. Randolph),,58-61,,
6:17.0,Z. Randolph makes free throw 1 of 2,1,59-61,,
6:17.0,,,59-61,,C. Copeland enters the game for S. Hill
6:17.0,Z. Randolph makes free throw 2 of 2,1,60-61,,
5:55.0,,,60-63,2,R. Hibbert makes 2-pt shot from 16 ft (assist by C. Miles)
5:36.0,M. Gasol makes 2-pt shot from 2 ft,2,62-63,,
5:25.0,,,62-63,,Turnover by L. Scola (bad pass; steal by T. Allen)
5:22.0,T. Allen makes 2-pt shot from 3 ft,2,64-63,,
5:05.0,,,64-63,,Turnover by D. Sloan (lost ball; steal by Z. Randolph)
5:00.0,Z. Randolph makes 2-pt shot from 2 ft (assist by M. Conley),2,66-63,,
5:00.0,,,66-63,,Indiana full timeout
4:47.0,,,66-63,,Turnover by C. Miles (bad pass; steal by Z. Randolph)
4:35.0,Z. Randolph misses 2-pt shot from 15 ft,,66-63,,
4:34.0,,,66-63,,Defensive rebound by C. Copeland
4:14.0,,,66-63,,R. Hibbert misses 2-pt shot from 7 ft (block by M. Gasol)
4:13.0,,,66-63,,Offensive rebound by C. Copeland
4:11.0,,,66-63,,C. Copeland misses 2-pt shot from 4 ft
4:09.0,,,66-63,,Offensive rebound by L. Scola
4:09.0,,,66-63,,L. Scola misses 2-pt shot from 2 ft
4:08.0,Defensive rebound by T. Prince,,66-63,,
4:03.0,M. Conley makes 3-pt shot from 26 ft (assist by T. Prince),3,69-63,,
3:46.0,,,69-63,,C. Miles misses 2-pt shot from 19 ft
3:45.0,Defensive rebound by T. Allen,,69-63,,
3:39.0,Memphis full timeout,,69-63,,
3:39.0,,,69-63,,R. Stuckey enters the game for L. Scola
3:39.0,,,69-63,,L. Allen enters the game for R. Hibbert
3:39.0,,,69-63,,I. Mahinmi enters the game for D. Sloan
3:24.0,M. Conley misses 3-pt shot from 25 ft,,69-63,,
3:23.0,Offensive rebound by Z. Randolph,,69-63,,
3:22.0,Z. Randolph makes 2-pt shot from 1 ft,2,71-63,,
2:58.0,,,71-63,,I. Mahinmi misses 2-pt shot from 18 ft
2:57.0,Defensive rebound by T. Allen,,71-63,,
2:52.0,,,71-63,,Personal foul by L. Allen (drawn by Z. Randolph)
2:52.0,Z. Randolph misses free throw 1 of 2,,71-63,,
2:52.0,Offensive rebound by Team,,71-63,,
2:52.0,Q. Pondexter enters the game for T. Allen,,71-63,,
2:52.0,Z. Randolph makes free throw 2 of 2,1,72-63,,
2:35.0,,,72-63,,Turnover by I. Mahinmi (lost ball; steal by M. Conley)
2:24.0,Z. Randolph makes 2-pt shot from 8 ft,2,74-63,,
2:07.0,,,74-65,2,R. Stuckey makes 2-pt shot from 12 ft
1:52.0,M. Gasol makes 2-pt shot from 15 ft (assist by M. Conley),2,76-65,,
1:26.0,,,76-67,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by C. Copeland)
1:09.0,Z. Randolph misses 2-pt shot from 16 ft,,76-67,,
1:08.0,,,76-67,,Defensive rebound by L. Allen
1:02.0,,,76-67,,R. Stuckey misses 2-pt shot from 1 ft
1:01.0,Defensive rebound by Z. Randolph,,76-67,,
0:45.0,M. Conley misses 2-pt shot from 18 ft,,76-67,,
0:44.0,Offensive rebound by Z. Randolph,,76-67,,
0:44.0,,,76-67,,Loose ball foul by I. Mahinmi (drawn by Z. Randolph)
0:44.0,Z. Randolph makes free throw 1 of 2,1,77-67,,
0:44.0,K. Koufos enters the game for M. Gasol,,77-67,,
0:44.0,B. Udrih enters the game for M. Conley,,77-67,,
0:44.0,Z. Randolph makes free throw 2 of 2,1,78-67,,
0:25.0,,,78-67,,R. Stuckey misses 2-pt shot from 12 ft
0:23.0,Defensive rebound by Z. Randolph,,78-67,,
0:00.0,T. Prince misses 3-pt shot from 26 ft,,78-67,,
0:00.0,,,78-67,,Defensive rebound by R. Stuckey
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,78-67,,Shooting foul by Q. Pondexter (drawn by C. Copeland)
11:43.0,,,78-68,1,C. Copeland makes free throw 1 of 2
11:43.0,,,78-69,1,C. Copeland makes free throw 2 of 2
11:29.0,Turnover by Z. Randolph (bad pass; steal by I. Mahinmi),,78-69,,
11:24.0,,,78-71,2,R. Stuckey makes 2-pt shot from 2 ft
11:02.0,Z. Randolph makes 2-pt shot from 4 ft (assist by Q. Pondexter),2,80-71,,
10:48.0,,,80-71,,R. Stuckey misses 2-pt shot from 2 ft
10:46.0,Defensive rebound by Z. Randolph,,80-71,,
10:29.0,Z. Randolph makes 2-pt shot from 18 ft,2,82-71,,
10:08.0,,,82-71,,I. Mahinmi misses 2-pt shot from 18 ft
10:07.0,,,82-71,,Offensive rebound by Team
10:07.0,Loose ball foul by Z. Randolph (drawn by L. Allen),,82-71,,
9:49.0,,,82-71,,R. Stuckey misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by B. Udrih,,82-71,,
9:35.0,Q. Pondexter misses 2-pt shot from 15 ft,,82-71,,
9:34.0,Offensive rebound by K. Koufos,,82-71,,
9:34.0,K. Koufos misses 2-pt shot from 1 ft,,82-71,,
9:31.0,,,82-71,,Defensive rebound by I. Mahinmi
9:17.0,,,82-73,2,C. Copeland makes 2-pt shot from 1 ft
8:50.0,B. Udrih makes 3-pt shot from 24 ft (assist by Q. Pondexter),3,85-73,,
8:30.0,,,85-73,,Turnover by C. Copeland (bad pass)
8:30.0,Official timeout,,85-73,,
8:30.0,M. Gasol enters the game for Z. Randolph,,85-73,,
8:30.0,,,85-73,,D. Sloan enters the game for I. Mahinmi
8:30.0,,,85-73,,R. Hibbert enters the game for R. Stuckey
8:15.0,B. Udrih misses 2-pt shot from 18 ft,,85-73,,
8:14.0,,,85-73,,Defensive rebound by D. Sloan
7:51.0,,,85-73,,D. Rudez misses 3-pt shot from 22 ft
7:50.0,Defensive rebound by M. Gasol,,85-73,,
7:36.0,Shooting foul by C. Copeland (drawn by T. Allen),,85-73,,
7:36.0,T. Allen makes free throw 1 of 2,1,86-73,,
7:36.0,,,86-73,,C. Miles enters the game for D. Rudez
7:36.0,T. Allen makes free throw 2 of 2,1,87-73,,
7:18.0,,,87-75,2,R. Hibbert makes 2-pt shot from 10 ft (assist by C. Miles)
6:52.0,M. Gasol misses 2-pt shot from 14 ft,,87-75,,
6:51.0,,,87-75,,Defensive rebound by R. Hibbert
6:41.0,,,87-75,,D. Sloan misses 2-pt shot from 17 ft
6:39.0,Defensive rebound by Q. Pondexter,,87-75,,
6:20.0,T. Allen misses 3-pt shot from 23 ft,,87-75,,
6:19.0,,,87-75,,Defensive rebound by C. Copeland
6:17.0,Personal foul by T. Allen (drawn by C. Copeland),,87-75,,
5:55.0,,,87-75,,Turnover by C. Copeland (3 sec)
5:55.0,,,87-75,,Indiana full timeout
5:55.0,T. Prince enters the game for T. Allen,,87-75,,
5:55.0,M. Conley enters the game for B. Udrih,,87-75,,
5:43.0,Turnover by M. Conley (bad pass; steal by L. Allen),,87-75,,
5:41.0,Personal block foul by K. Koufos (drawn by D. Sloan),,87-75,,
5:24.0,,,87-77,2,L. Allen makes 2-pt shot from 22 ft (assist by C. Copeland)
5:09.0,M. Conley misses 2-pt shot from 8 ft,,87-77,,
5:08.0,,,87-77,,Defensive rebound by L. Allen
5:03.0,Personal foul by M. Conley (drawn by D. Sloan),,87-77,,
5:03.0,,,87-77,,D. Sloan misses free throw 1 of 2
5:03.0,,,87-77,,Offensive rebound by Team
5:03.0,,,87-78,1,D. Sloan makes free throw 2 of 2
4:50.0,Offensive foul by M. Gasol,,87-78,,
4:50.0,Turnover by M. Gasol (offensive foul),,87-78,,
4:36.0,,,87-78,,C. Miles misses 3-pt shot from 26 ft
4:35.0,,,87-78,,Offensive rebound by L. Allen
4:32.0,,,87-78,,C. Copeland misses 3-pt shot from 24 ft
4:31.0,Defensive rebound by M. Conley,,87-78,,
4:27.0,Shooting foul by C. Miles (drawn by T. Prince),,87-78,,
4:27.0,T. Prince misses free throw 1 of 2,,87-78,,
4:27.0,Offensive rebound by Team,,87-78,,
4:27.0,T. Prince makes free throw 2 of 2,1,88-78,,
4:12.0,,,88-80,2,L. Allen makes 2-pt shot from 20 ft (assist by D. Sloan)
3:48.0,M. Gasol makes 2-pt shot from 7 ft (assist by Q. Pondexter),2,90-80,,
3:29.0,,,90-80,,D. Sloan misses 2-pt shot from 16 ft
3:28.0,Defensive rebound by M. Gasol,,90-80,,
3:16.0,M. Conley makes 3-pt shot from 24 ft (assist by M. Gasol),3,93-80,,
3:15.0,,,93-80,,Indiana full timeout
3:15.0,T. Allen enters the game for K. Koufos,,93-80,,
3:15.0,Z. Randolph enters the game for Q. Pondexter,,93-80,,
3:15.0,,,93-80,,D. Rudez enters the game for L. Allen
3:01.0,,,93-83,3,C. Copeland makes 3-pt shot from 26 ft (assist by D. Sloan)
2:32.0,M. Gasol misses 2-pt shot from 17 ft,,93-83,,
2:31.0,,,93-83,,Defensive rebound by D. Sloan
2:21.0,,,93-83,,R. Hibbert misses 2-pt shot from 4 ft
2:20.0,Defensive rebound by Z. Randolph,,93-83,,
2:04.0,M. Conley misses 2-pt shot from 2 ft,,93-83,,
2:03.0,Offensive rebound by Z. Randolph,,93-83,,
2:03.0,Z. Randolph misses 2-pt shot from 2 ft,,93-83,,
2:02.0,Offensive rebound by Z. Randolph,,93-83,,
2:01.0,Z. Randolph makes 2-pt shot from 2 ft,2,95-83,,
1:53.0,Personal foul by Z. Randolph (drawn by D. Rudez),,95-83,,
1:53.0,,,95-84,1,D. Rudez makes free throw 1 of 2
1:53.0,,,95-85,1,D. Rudez makes free throw 2 of 2
1:33.0,T. Prince makes 2-pt shot from 14 ft,2,97-85,,
1:25.0,,,97-87,2,D. Sloan makes 2-pt shot from 3 ft
1:08.0,Memphis full timeout,,97-87,,
1:00.0,M. Gasol misses 2-pt shot from 19 ft,,97-87,,
1:00.0,,,97-87,,Defensive rebound by C. Copeland
0:53.0,,,97-87,,C. Copeland misses 3-pt shot from 27 ft
0:51.0,Defensive rebound by T. Allen,,97-87,,
0:28.0,M. Conley misses 3-pt shot from 25 ft,,97-87,,
0:27.0,,,97-87,,Defensive rebound by C. Miles
0:22.0,,,97-87,,Shooting foul by M. Gasol (drawn by C. Miles)
0:22.0,,,97-88,1,C. Miles makes free throw 1 of 2
0:22.0,,,97-89,1,C. Miles makes free throw 2 of 2
