time,Phoenix,pts.away,score,pts.home,Milwaukee
2:51.0,P. Tucker misses 2-pt shot from 15 ft (block by G. Antetokounmpo),,12-17,,
2:49.0,,,12-17,,Defensive rebound by J. Dudley
2:34.0,,,12-17,,Turnover by Z. Pachulia (traveling)
2:34.0,,,12-17,,J. Henson enters the game for Z. Pachulia
2:34.0,M. Plumlee enters the game for A. Len,,12-17,,
2:34.0,G. Green enters the game for G. Dragic,,12-17,,
2:34.0,I. Thomas enters the game for E. Bledsoe,,12-17,,
2:13.0,G. Green misses 3-pt shot from 26 ft,,12-17,,
2:12.0,,,12-17,,Defensive rebound by G. Antetokounmpo
1:58.0,,,12-17,,K. Middleton misses 2-pt shot at rim
1:57.0,Defensive rebound by P. Tucker,,12-17,,
1:57.0,,,12-17,,Personal foul by K. Middleton (drawn by P. Tucker)
1:57.0,,,12-17,,O. Mayo enters the game for K. Middleton
1:57.0,,,12-17,,Technical foul by K. Middleton (drawn by P. Tucker)
1:57.0,I. Thomas makes technical free throw,1,13-17,,
1:33.0,G. Green misses 2-pt shot from 16 ft,,13-17,,
1:31.0,,,13-17,,Defensive rebound by J. Dudley
1:15.0,,,13-17,,O. Mayo misses 3-pt shot from 23 ft
1:14.0,Defensive rebound by G. Green,,13-17,,
1:12.0,Turnover by G. Green (lost ball),,13-17,,
1:00.0,,,13-19,2,J. Henson makes 2-pt shot from 5 ft (assist by J. Dudley)
0:45.0,P. Tucker misses 3-pt shot from 25 ft,,13-19,,
0:43.0,,,13-19,,Defensive rebound by G. Antetokounmpo
0:38.0,,,13-19,,Shooting foul by M. Plumlee (drawn by G. Antetokounmpo)
0:38.0,,,13-20,1,G. Antetokounmpo makes free throw 1 of 2
0:38.0,,,13-21,1,G. Antetokounmpo makes free throw 2 of 2
0:33.0,I. Thomas makes 2-pt shot from 18 ft,2,15-21,,
0:15.0,,,15-21,,B. Knight misses 3-pt shot from 25 ft
0:14.0,Defensive rebound by P. Tucker,,15-21,,
0:03.0,I. Thomas misses 2-pt shot from 2 ft (block by B. Knight),,15-21,,
0:02.0,,,15-21,,Defensive rebound by G. Antetokounmpo
0:00.0,,,15-21,,G. Antetokounmpo misses 3-pt shot from 37 ft
0:00.0,,,15-21,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,Violation by G. Green (kicked ball),,15-21,,
11:37.0,,,15-21,,K. Marshall misses 3-pt shot from 24 ft
11:36.0,Defensive rebound by G. Green,,15-21,,
11:29.0,Turnover by I. Thomas (lost ball; steal by K. Marshall),,15-21,,
11:23.0,,,15-23,2,J. Bayless makes 2-pt shot at rim (assist by O. Mayo)
11:04.0,G. Green misses 3-pt shot from 25 ft,,15-23,,
11:03.0,,,15-23,,Defensive rebound by K. Marshall
11:01.0,,,15-25,2,O. Mayo makes 2-pt shot at rim (assist by K. Marshall)
10:37.0,G. Green misses 2-pt shot from 18 ft,,15-25,,
10:36.0,,,15-25,,Defensive rebound by K. Marshall
10:26.0,,,15-25,,Turnover by J. Henson (lost ball; steal by G. Green)
10:21.0,E. Bledsoe misses 2-pt shot at rim,,15-25,,
10:20.0,,,15-25,,Defensive rebound by J. Bayless
10:14.0,,,15-25,,J. Dudley misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by I. Thomas,,15-25,,
10:05.0,,,15-25,,Def 3 sec tech foul by J. Henson
10:05.0,E. Bledsoe makes technical free throw,1,16-25,,
9:57.0,M. Plumlee makes 2-pt shot at rim (assist by E. Bledsoe),2,18-25,,
9:35.0,,,18-27,2,J. Henson makes 2-pt shot from 4 ft (assist by O. Mayo)
9:23.0,Turnover by I. Thomas (bad pass),,18-27,,
9:19.0,,,18-27,,O. Mayo misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by G. Green,,18-27,,
9:06.0,Shooting foul by O. Mayo (drawn by E. Bledsoe),,18-27,,
9:06.0,E. Bledsoe makes free throw 1 of 2,1,19-27,,
9:06.0,E. Bledsoe makes free throw 2 of 2,1,20-27,,
8:50.0,,,20-27,,K. Marshall misses 2-pt shot from 4 ft
8:49.0,Defensive rebound by M. Plumlee,,20-27,,
8:39.0,Turnover by E. Bledsoe (lost ball),,20-27,,
8:39.0,Official timeout,,20-27,,
8:26.0,,,20-27,,K. Marshall misses 2-pt shot from 12 ft
8:25.0,,,20-27,,Offensive rebound by J. Henson
8:23.0,,,20-29,2,J. Henson makes 2-pt shot at rim
7:56.0,M. Morris misses 3-pt shot from 26 ft,,20-29,,
7:53.0,Offensive rebound by M. Plumlee,,20-29,,
7:50.0,Shooting foul by J. Dudley (drawn by M. Morris),,20-29,,
7:50.0,M. Morris misses free throw 1 of 2,,20-29,,
7:50.0,Offensive rebound by Team,,20-29,,
7:50.0,A. Len enters the game for G. Green,,20-29,,
7:50.0,G. Dragic enters the game for M. Plumlee,,20-29,,
7:50.0,M. Morris makes free throw 2 of 2,1,21-29,,
7:39.0,,,21-31,2,J. Dudley makes 2-pt shot from 16 ft (assist by K. Marshall)
7:25.0,Shooting foul by J. Henson (drawn by I. Thomas),,21-31,,
7:25.0,I. Thomas makes free throw 1 of 2,1,22-31,,
7:25.0,,,22-31,,Z. Pachulia enters the game for J. Henson
7:25.0,M. Morris enters the game for M. Morris,,22-31,,
7:25.0,I. Thomas makes free throw 2 of 2,1,23-31,,
7:13.0,,,23-31,,K. Marshall misses 2-pt shot from 4 ft (block by A. Len)
7:11.0,Defensive rebound by A. Len,,23-31,,
7:08.0,G. Dragic makes 2-pt shot at rim (assist by E. Bledsoe),2,25-31,,
6:50.0,,,25-33,2,Z. Pachulia makes 2-pt shot from 17 ft (assist by O. Mayo)
6:37.0,E. Bledsoe misses 3-pt shot from 26 ft,,25-33,,
6:36.0,,,25-33,,Defensive rebound by K. Marshall
6:14.0,,,25-33,,Turnover by Z. Pachulia (lost ball; steal by M. Morris)
6:10.0,I. Thomas makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,27-33,,
6:10.0,Shooting foul by K. Marshall (drawn by I. Thomas),,27-33,,
6:10.0,I. Thomas makes free throw 1 of 1,1,28-33,,
5:56.0,,,28-33,,Z. Pachulia misses 2-pt shot from 2 ft (block by A. Len)
5:56.0,,,28-33,,Offensive rebound by Team
5:56.0,,,28-33,,Milwaukee full timeout
5:47.0,,,28-33,,O. Mayo misses 2-pt shot from 17 ft
5:46.0,Defensive rebound by G. Dragic,,28-33,,
5:43.0,Turnover by G. Dragic (lost ball; steal by J. Bayless),,28-33,,
5:39.0,Personal foul by E. Bledsoe (drawn by J. Bayless),,28-33,,
5:30.0,,,28-33,,J. Bayless misses 2-pt shot from 18 ft
5:30.0,Defensive rebound by Team,,28-33,,
5:11.0,A. Len misses 2-pt shot at rim,,28-33,,
5:10.0,,,28-33,,Defensive rebound by Z. Pachulia
5:02.0,,,28-33,,B. Knight enters the game for J. Dudley
5:02.0,,,28-33,,G. Antetokounmpo enters the game for K. Marshall
4:45.0,,,28-35,2,B. Knight makes 2-pt shot from 1 ft
4:30.0,M. Morris makes 2-pt shot from 5 ft,2,30-35,,
4:17.0,,,30-35,,Turnover by O. Mayo (step out of bounds)
4:08.0,,,30-35,,Personal block foul by B. Knight (drawn by I. Thomas)
4:08.0,I. Thomas makes free throw 1 of 2,1,31-35,,
4:08.0,,,31-35,,K. Middleton enters the game for O. Mayo
4:08.0,I. Thomas makes free throw 2 of 2,1,32-35,,
3:49.0,,,32-35,,Z. Pachulia misses 2-pt shot from 4 ft
3:48.0,Defensive rebound by G. Dragic,,32-35,,
3:41.0,G. Dragic makes 2-pt shot at rim,2,34-35,,
3:24.0,,,34-38,3,B. Knight makes 3-pt shot from 24 ft (assist by Z. Pachulia)
3:08.0,G. Dragic makes 2-pt shot at rim,2,36-38,,
2:57.0,,,36-40,2,B. Knight makes 2-pt shot from 5 ft
2:31.0,Turnover by Team (shot clock),,36-40,,
2:31.0,Phoenix full timeout,,36-40,,
2:31.0,,,36-40,,J. Henson enters the game for Z. Pachulia
2:06.0,,,36-42,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Henson)
1:52.0,M. Morris makes 2-pt shot at rim (assist by G. Dragic),2,38-42,,
1:40.0,Personal foul by I. Thomas (drawn by B. Knight),,38-42,,
1:38.0,Personal foul by G. Dragic (drawn by K. Middleton),,38-42,,
1:38.0,,,38-43,1,K. Middleton makes free throw 1 of 2
1:38.0,,,38-44,1,K. Middleton makes free throw 2 of 2
1:18.0,I. Thomas makes 3-pt shot from 26 ft (assist by G. Dragic),3,41-44,,
0:59.0,,,41-44,,Turnover by J. Henson (lost ball)
0:40.0,E. Bledsoe misses 3-pt shot from 23 ft,,41-44,,
0:39.0,,,41-44,,Defensive rebound by J. Henson
0:33.0,,,41-44,,J. Bayless misses 2-pt shot from 3 ft
0:31.0,,,41-44,,Offensive rebound by G. Antetokounmpo
0:31.0,,,41-44,,G. Antetokounmpo misses 2-pt shot at rim
0:30.0,Defensive rebound by A. Len,,41-44,,
0:20.0,M. Morris misses 2-pt shot from 16 ft,,41-44,,
0:18.0,Offensive rebound by E. Bledsoe,,41-44,,
0:15.0,A. Len makes 2-pt shot at rim (assist by E. Bledsoe),2,43-44,,
0:01.0,,,43-44,,Turnover by J. Bayless (bad pass)
0:01.0,Phoenix full timeout,,43-44,,
0:00.0,M. Morris misses 3-pt shot from 40 ft,,43-44,,
0:00.0,Offensive rebound by Team,,43-44,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,43-44,,J. O'Bryant misses 2-pt shot from 1 ft
11:46.0,Defensive rebound by P. Tucker,,43-44,,
11:40.0,P. Tucker makes 2-pt shot from 21 ft (assist by E. Bledsoe),2,45-44,,
11:13.0,,,45-44,,Z. Pachulia misses 2-pt shot from 17 ft
11:12.0,Defensive rebound by E. Bledsoe,,45-44,,
11:02.0,A. Len makes 2-pt shot from 18 ft (assist by E. Bledsoe),2,47-44,,
10:47.0,,,47-44,,B. Knight misses 2-pt shot from 18 ft
10:46.0,Defensive rebound by A. Len,,47-44,,
10:36.0,M. Morris makes 3-pt shot from 26 ft (assist by E. Bledsoe),3,50-44,,
10:18.0,,,50-46,2,K. Middleton makes 2-pt shot from 18 ft (assist by B. Knight)
10:05.0,Turnover by G. Dragic (lost ball; steal by B. Knight),,50-46,,
10:02.0,,,50-48,2,B. Knight makes 2-pt shot from 1 ft
9:41.0,Shooting foul by J. O'Bryant (drawn by M. Morris),,50-48,,
9:41.0,M. Morris makes 2-pt shot from 14 ft,2,52-48,,
9:41.0,M. Morris makes free throw 1 of 1,1,53-48,,
9:29.0,,,53-48,,B. Knight misses 2-pt shot from 6 ft
9:27.0,Defensive rebound by E. Bledsoe,,53-48,,
9:25.0,Turnover by E. Bledsoe (bad pass),,53-48,,
9:07.0,,,53-48,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by A. Len)
9:04.0,Defensive rebound by M. Morris,,53-48,,
9:01.0,P. Tucker misses 2-pt shot at rim (block by J. O'Bryant),,53-48,,
8:57.0,Offensive rebound by A. Len,,53-48,,
8:55.0,A. Len misses 2-pt shot from 1 ft,,53-48,,
8:53.0,,,53-48,,Defensive rebound by B. Knight
8:49.0,,,53-50,2,B. Knight makes 2-pt shot from 16 ft
8:40.0,M. Morris misses 2-pt shot from 20 ft,,53-50,,
8:39.0,,,53-50,,Defensive rebound by K. Middleton
8:30.0,,,53-50,,K. Middleton misses 2-pt shot from 17 ft
8:29.0,Defensive rebound by P. Tucker,,53-50,,
8:22.0,Shooting foul by Z. Pachulia (drawn by A. Len),,53-50,,
8:22.0,A. Len makes free throw 1 of 2,1,54-50,,
8:22.0,A. Len misses free throw 2 of 2,,54-50,,
8:21.0,,,54-50,,Defensive rebound by G. Antetokounmpo
8:14.0,Personal foul by A. Len (drawn by B. Knight),,54-50,,
8:00.0,,,54-50,,Shooting foul by G. Dragic (drawn by K. Middleton)
8:00.0,,,54-51,1,K. Middleton makes free throw 1 of 2
8:00.0,,,54-52,1,K. Middleton makes free throw 2 of 2
7:42.0,A. Len makes 2-pt shot at rim (assist by E. Bledsoe),2,56-52,,
7:29.0,,,56-52,,J. O'Bryant misses 2-pt shot from 18 ft
7:29.0,,,56-52,,Offensive rebound by Team
7:29.0,Loose ball foul by A. Len (drawn by Z. Pachulia),,56-52,,
7:29.0,M. Plumlee enters the game for A. Len,,56-52,,
7:25.0,,,56-52,,Z. Pachulia misses 2-pt shot from 1 ft
7:23.0,Defensive rebound by M. Morris,,56-52,,
7:19.0,Turnover by E. Bledsoe (bad pass),,56-52,,
6:55.0,,,56-52,,K. Middleton misses 2-pt shot from 13 ft
6:54.0,Defensive rebound by M. Morris,,56-52,,
6:44.0,M. Morris misses 3-pt shot from 26 ft,,56-52,,
6:43.0,,,56-52,,Defensive rebound by J. O'Bryant
6:30.0,,,56-54,2,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight)
6:17.0,M. Plumlee misses 2-pt shot from 4 ft,,56-54,,
6:15.0,,,56-54,,Defensive rebound by G. Antetokounmpo
6:10.0,,,56-56,2,B. Knight makes 2-pt shot at rim (assist by G. Antetokounmpo)
6:07.0,Phoenix full timeout,,56-56,,
6:07.0,,,56-56,,J. Dudley enters the game for J. O'Bryant
5:50.0,E. Bledsoe misses 2-pt shot from 16 ft,,56-56,,
5:49.0,Offensive rebound by M. Morris,,56-56,,
5:48.0,M. Morris makes 2-pt shot at rim,2,58-56,,
5:29.0,,,58-56,,J. Dudley misses 3-pt shot from 23 ft
5:28.0,Defensive rebound by G. Dragic,,58-56,,
5:18.0,G. Dragic misses 2-pt shot from 1 ft,,58-56,,
5:16.0,,,58-56,,Defensive rebound by B. Knight
5:12.0,,,58-58,2,J. Dudley makes 2-pt shot from 1 ft (assist by B. Knight)
5:07.0,Turnover by M. Morris (lost ball; steal by K. Middleton),,58-58,,
5:02.0,,,58-60,2,B. Knight makes 2-pt shot at rim (assist by J. Dudley)
4:51.0,Turnover by E. Bledsoe (lost ball; steal by Z. Pachulia),,58-60,,
4:47.0,,,58-62,2,G. Antetokounmpo makes 2-pt shot at rim
4:44.0,Phoenix full timeout,,58-62,,
4:44.0,I. Thomas enters the game for E. Bledsoe,,58-62,,
4:44.0,M. Morris enters the game for M. Morris,,58-62,,
4:23.0,M. Morris misses 3-pt shot from 27 ft,,58-62,,
4:22.0,Offensive rebound by I. Thomas,,58-62,,
4:16.0,M. Plumlee makes 2-pt shot at rim (assist by M. Morris),2,60-62,,
3:51.0,,,60-64,2,K. Middleton makes 2-pt shot from 15 ft (assist by Z. Pachulia)
3:31.0,M. Plumlee misses 2-pt shot at rim,,60-64,,
3:29.0,,,60-64,,Defensive rebound by Z. Pachulia
3:22.0,,,60-64,,B. Knight misses 2-pt shot from 15 ft
3:21.0,,,60-64,,Offensive rebound by Z. Pachulia
3:17.0,,,60-66,2,J. Dudley makes 2-pt shot at rim
2:55.0,I. Thomas makes 2-pt shot from 15 ft,2,62-66,,
2:48.0,,,62-66,,Shooting foul by M. Plumlee (drawn by Z. Pachulia)
2:48.0,,,62-66,,Milwaukee full timeout
2:48.0,M. Morris enters the game for M. Plumlee,,62-66,,
2:48.0,,,62-67,1,Z. Pachulia makes free throw 1 of 2
2:48.0,,,62-68,1,Z. Pachulia makes free throw 2 of 2
2:33.0,G. Dragic makes 3-pt shot from 24 ft (assist by M. Morris),3,65-68,,
2:23.0,Shooting block foul by I. Thomas (drawn by B. Knight),,65-68,,
2:23.0,,,65-69,1,B. Knight makes free throw 1 of 2
2:23.0,,,65-69,,J. Henson enters the game for Z. Pachulia
2:23.0,,,65-70,1,B. Knight makes free throw 2 of 2
2:10.0,G. Dragic misses 3-pt shot from 23 ft,,65-70,,
2:09.0,,,65-70,,Defensive rebound by G. Antetokounmpo
1:46.0,,,65-70,,B. Knight misses 3-pt shot from 25 ft
1:45.0,,,65-70,,Offensive rebound by G. Antetokounmpo
1:36.0,Shooting block foul by P. Tucker (drawn by B. Knight),,65-70,,
1:36.0,,,65-71,1,B. Knight makes free throw 1 of 2
1:36.0,,,65-71,,O. Mayo enters the game for K. Middleton
1:36.0,,,65-72,1,B. Knight makes free throw 2 of 2
1:21.0,M. Morris misses 2-pt shot at rim (block by J. Henson),,65-72,,
1:19.0,Offensive rebound by M. Morris,,65-72,,
1:14.0,P. Tucker makes 3-pt shot from 23 ft (assist by M. Morris),3,68-72,,
1:03.0,,,68-72,,J. Henson misses 2-pt shot from 9 ft
1:02.0,Defensive rebound by P. Tucker,,68-72,,
0:58.0,Turnover by P. Tucker (bad pass; steal by B. Knight),,68-72,,
0:51.0,,,68-72,,Turnover by J. Henson (traveling)
0:35.0,I. Thomas makes 3-pt shot from 25 ft (assist by M. Morris),3,71-72,,
0:31.0,,,71-72,,B. Knight misses 3-pt shot from 25 ft
0:29.0,Defensive rebound by G. Dragic,,71-72,,
0:09.0,Turnover by M. Morris (back court),,71-72,,
0:09.0,Violation by Team (jump ball),,71-72,,
0:03.0,,,71-72,,G. Antetokounmpo misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by M. Morris,,71-72,,
0:00.0,M. Morris misses 3-pt shot from 40 ft,,71-72,,
0:00.0,Offensive rebound by Team,,71-72,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,M. Morris makes 2-pt shot from 12 ft,2,73-72,,
11:19.0,,,73-74,2,J. Henson makes 2-pt shot at rim (assist by K. Marshall)
10:57.0,G. Green misses 3-pt shot from 23 ft,,73-74,,
10:56.0,,,73-74,,Defensive rebound by J. Bayless
10:47.0,,,73-74,,J. Bayless misses 2-pt shot at rim (block by G. Green)
10:45.0,Defensive rebound by I. Thomas,,73-74,,
10:40.0,G. Dragic makes 3-pt shot from 24 ft (assist by I. Thomas),3,76-74,,
10:30.0,Violation by M. Morris (kicked ball),,76-74,,
10:19.0,,,76-74,,J. Dudley misses 2-pt shot from 14 ft
10:18.0,Defensive rebound by M. Morris,,76-74,,
10:10.0,G. Green misses 3-pt shot from 24 ft,,76-74,,
10:09.0,,,76-74,,Defensive rebound by J. Henson
10:01.0,,,76-76,2,J. Henson makes 2-pt shot at rim (assist by K. Marshall)
9:37.0,I. Thomas misses 2-pt shot from 10 ft,,76-76,,
9:36.0,Offensive rebound by M. Morris,,76-76,,
9:36.0,M. Morris misses 2-pt shot from 1 ft,,76-76,,
9:34.0,Offensive rebound by M. Morris,,76-76,,
9:34.0,M. Morris makes 2-pt shot at rim,2,78-76,,
9:19.0,,,78-76,,J. Dudley misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by G. Green,,78-76,,
9:05.0,M. Morris makes 2-pt shot at rim,2,80-76,,
9:05.0,Shooting foul by J. Henson (drawn by M. Morris),,80-76,,
9:05.0,E. Bledsoe enters the game for G. Dragic,,80-76,,
9:05.0,M. Morris makes free throw 1 of 1,1,81-76,,
8:51.0,,,81-76,,Turnover by O. Mayo (bad pass; steal by E. Bledsoe)
8:50.0,,,81-76,,Personal foul by J. Dudley (drawn by E. Bledsoe)
8:50.0,Official timeout,,81-76,,
8:50.0,A. Len enters the game for M. Morris,,81-76,,
8:32.0,Turnover by G. Green (bad pass),,81-76,,
8:20.0,,,81-76,,J. Henson misses 2-pt shot at rim
8:17.0,Defensive rebound by E. Bledsoe,,81-76,,
8:15.0,E. Bledsoe misses 2-pt shot at rim (block by J. Bayless),,81-76,,
8:12.0,,,81-76,,Defensive rebound by O. Mayo
8:05.0,,,81-76,,J. Dudley misses 2-pt shot from 1 ft (block by A. Len)
8:04.0,,,81-76,,Offensive rebound by J. Henson
8:04.0,,,81-76,,J. Henson misses 2-pt shot from 3 ft
8:04.0,,,81-76,,Offensive rebound by J. Dudley
8:04.0,Personal foul by M. Morris (drawn by J. Dudley),,81-76,,
8:04.0,,,81-77,1,J. Dudley makes free throw 1 of 2
8:04.0,,,81-78,1,J. Dudley makes free throw 2 of 2
7:54.0,,,81-78,,Personal block foul by K. Marshall (drawn by I. Thomas)
7:48.0,,,81-78,,Personal foul by J. Dudley (drawn by M. Morris)
7:41.0,I. Thomas misses 2-pt shot from 19 ft,,81-78,,
7:41.0,,,81-78,,Defensive rebound by Team
7:18.0,,,81-80,2,O. Mayo makes 2-pt shot from 14 ft
6:50.0,G. Green misses 3-pt shot from 26 ft,,81-80,,
6:49.0,,,81-80,,Defensive rebound by J. Dudley
6:41.0,,,81-80,,Turnover by J. Bayless (bad pass; steal by G. Green)
6:38.0,,,81-80,,Shooting block foul by J. Bayless (drawn by E. Bledsoe)
6:38.0,E. Bledsoe misses free throw 1 of 2,,81-80,,
6:38.0,Offensive rebound by Team,,81-80,,
6:38.0,M. Morris enters the game for A. Len,,81-80,,
6:38.0,G. Dragic enters the game for M. Morris,,81-80,,
6:38.0,E. Bledsoe makes free throw 2 of 2,1,82-80,,
6:22.0,,,82-80,,O. Mayo misses 3-pt shot from 23 ft
6:20.0,Defensive rebound by M. Morris,,82-80,,
6:07.0,G. Green makes 2-pt shot at rim (assist by E. Bledsoe),2,84-80,,
6:07.0,Shooting foul by J. Henson (drawn by G. Green),,84-80,,
6:07.0,G. Green makes free throw 1 of 1,1,85-80,,
5:52.0,,,85-80,,Shooting foul by G. Green (drawn by J. Dudley)
5:52.0,,,85-80,,Milwaukee full timeout
5:52.0,,,85-80,,B. Knight enters the game for O. Mayo
5:52.0,,,85-80,,K. Middleton enters the game for K. Marshall
5:52.0,,,85-81,1,J. Dudley makes free throw 1 of 2
5:52.0,,,85-82,1,J. Dudley makes free throw 2 of 2
5:39.0,E. Bledsoe makes 2-pt shot at rim,2,87-82,,
5:15.0,,,87-82,,J. Dudley misses 3-pt shot from 24 ft
5:14.0,Defensive rebound by E. Bledsoe,,87-82,,
5:10.0,E. Bledsoe makes 2-pt shot at rim,2,89-82,,
5:10.0,Shooting foul by J. Bayless (drawn by E. Bledsoe),,89-82,,
5:10.0,,,89-82,,G. Antetokounmpo enters the game for J. Dudley
5:10.0,E. Bledsoe misses free throw 1 of 1,,89-82,,
5:09.0,,,89-82,,Defensive rebound by G. Antetokounmpo
4:44.0,,,89-82,,J. Bayless misses 2-pt shot at rim
4:41.0,,,89-82,,Offensive rebound by J. Henson
4:41.0,,,89-84,2,J. Henson makes 2-pt shot at rim
