time,Portland,pts.away,score,pts.home,San Antonio
1:20.0,,,24-29,,Shooting foul by S. Blake (drawn by P. Mills)
1:20.0,,,24-30,1,P. Mills makes free throw 1 of 1
1:07.0,Turnover by S. Blake (lost ball; steal by M. Ginobili),,24-30,,
1:00.0,,,24-33,3,P. Mills makes 3-pt shot from 24 ft (assist by M. Ginobili)
0:44.0,L. Aldridge makes 2-pt shot from 6 ft,2,26-33,,
0:44.0,Shooting foul by B. Diaw (drawn by L. Aldridge),,26-33,,
0:44.0,L. Aldridge makes free throw 1 of 1,1,27-33,,
0:34.0,,,27-33,,Turnover by M. Ginobili (bad pass; steal by L. Aldridge)
0:29.0,C. McCollum misses 2-pt shot from 1 ft (block by B. Diaw),,27-33,,
0:26.0,,,27-33,,Defensive rebound by M. Ginobili
0:12.0,,,27-33,,Turnover by M. Ginobili (lost ball; steal by C. McCollum)
0:11.0,,,27-33,,Personal foul by M. Ginobili (drawn by C. McCollum)
0:11.0,C. McCollum misses free throw 1 of 2,,27-33,,
0:11.0,Offensive rebound by Team,,27-33,,
0:11.0,C. Kaman enters the game for L. Aldridge,,27-33,,
0:11.0,,,27-33,,M. Bonner enters the game for A. Baynes
0:11.0,C. McCollum makes free throw 2 of 2,1,28-33,,
0:03.0,,,28-33,,M. Bonner misses 3-pt shot from 26 ft (block by M. Leonard)
0:02.0,,,28-33,,Offensive rebound by P. Mills
0:02.0,,,28-35,2,P. Mills makes 2-pt shot from 2 ft
0:00.0,S. Blake misses 3-pt shot from 52 ft,,28-35,,
0:00.0,Offensive rebound by Team,,28-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,C. McCollum makes 2-pt shot from 13 ft (assist by W. Matthews),2,30-35,,
11:31.0,,,30-35,,K. Leonard misses 2-pt shot from 9 ft
11:31.0,Defensive rebound by Team,,30-35,,
11:06.0,S. Blake misses 2-pt shot from 4 ft,,30-35,,
11:05.0,,,30-35,,Defensive rebound by M. Ginobili
10:56.0,,,30-38,3,B. Diaw makes 3-pt shot from 24 ft (assist by M. Ginobili)
10:43.0,C. McCollum makes 2-pt shot from 20 ft (assist by M. Leonard),2,32-38,,
10:26.0,,,32-38,,M. Ginobili misses 2-pt shot from 3 ft
10:25.0,,,32-38,,Offensive rebound by A. Baynes
10:25.0,,,32-38,,A. Baynes misses 2-pt shot from 1 ft
10:24.0,,,32-38,,Offensive rebound by A. Baynes
10:24.0,,,32-38,,Shooting foul by C. McCollum (drawn by A. Baynes)
10:24.0,,,32-38,,A. Baynes misses free throw 1 of 2
10:24.0,,,32-38,,Offensive rebound by Team
10:24.0,,,32-39,1,A. Baynes makes free throw 2 of 2
10:08.0,W. Matthews misses 3-pt shot from 24 ft,,32-39,,
10:07.0,,,32-39,,Defensive rebound by Team
10:07.0,,,32-39,,T. Splitter enters the game for B. Diaw
9:52.0,,,32-39,,M. Ginobili misses 2-pt shot at rim
9:51.0,Defensive rebound by M. Leonard,,32-39,,
9:45.0,Turnover by C. Kaman (bad pass; steal by M. Ginobili),,32-39,,
9:33.0,Shooting block foul by M. Leonard (drawn by M. Ginobili),,32-39,,
9:33.0,,,32-40,1,M. Ginobili makes free throw 1 of 2
9:33.0,D. Lillard enters the game for W. Matthews,,32-40,,
9:33.0,N. Batum enters the game for S. Blake,,32-40,,
9:33.0,,,32-40,,T. Parker enters the game for P. Mills
9:33.0,,,32-41,1,M. Ginobili makes free throw 2 of 2
9:08.0,C. Kaman misses 2-pt shot from 4 ft,,32-41,,
9:07.0,,,32-41,,Defensive rebound by K. Leonard
8:53.0,,,32-41,,K. Leonard misses 2-pt shot from 6 ft
8:52.0,Defensive rebound by C. Kaman,,32-41,,
8:45.0,N. Batum misses 3-pt shot from 24 ft,,32-41,,
8:44.0,Offensive rebound by Team,,32-41,,
8:44.0,,,32-41,,Loose ball foul by T. Splitter (drawn by C. Kaman)
8:44.0,Official timeout,,32-41,,
8:44.0,,,32-41,,D. Green enters the game for M. Ginobili
8:44.0,,,32-41,,T. Duncan enters the game for A. Baynes
8:44.0,L. Aldridge enters the game for M. Leonard,,32-41,,
8:42.0,,,32-41,,Personal foul by K. Leonard (drawn by N. Batum)
8:21.0,D. Lillard misses 3-pt shot from 26 ft,,32-41,,
8:20.0,Offensive rebound by C. Kaman,,32-41,,
8:15.0,C. McCollum makes 3-pt shot from 23 ft (assist by C. Kaman),3,35-41,,
8:04.0,,,35-41,,T. Parker misses 2-pt shot from 18 ft
8:03.0,Defensive rebound by L. Aldridge,,35-41,,
7:51.0,C. Kaman makes 2-pt shot from 1 ft (assist by D. Lillard),2,37-41,,
7:33.0,,,37-43,2,K. Leonard makes 2-pt shot at rim (assist by T. Duncan)
7:10.0,N. Batum misses 2-pt shot from 3 ft (block by T. Duncan),,37-43,,
7:09.0,,,37-43,,Defensive rebound by T. Splitter
6:53.0,,,37-43,,K. Leonard misses 2-pt shot from 6 ft
6:53.0,,,37-43,,Offensive rebound by Team
6:45.0,,,37-43,,T. Parker misses 2-pt shot from 10 ft
6:44.0,Defensive rebound by C. Kaman,,37-43,,
6:35.0,Turnover by N. Batum (bad pass; steal by K. Leonard),,37-43,,
6:29.0,,,37-45,2,T. Parker makes 2-pt shot from 1 ft (assist by K. Leonard)
6:12.0,Turnover by N. Batum (lost ball; steal by T. Parker),,37-45,,
6:06.0,,,37-48,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
6:05.0,Portland full timeout,,37-48,,
6:05.0,Technical foul by Team,,37-48,,
6:05.0,,,37-49,1,D. Green makes technical free throw
5:50.0,L. Aldridge makes 2-pt shot from 13 ft (assist by D. Lillard),2,39-49,,
5:34.0,,,39-49,,Turnover by T. Parker (bad pass; steal by N. Batum)
5:30.0,Shooting foul by D. Green (drawn by C. McCollum),,39-49,,
5:30.0,C. McCollum misses free throw 1 of 2,,39-49,,
5:30.0,Offensive rebound by Team,,39-49,,
5:30.0,C. McCollum misses free throw 2 of 2,,39-49,,
5:30.0,,,39-49,,Defensive rebound by T. Splitter
5:10.0,,,39-51,2,T. Parker makes 2-pt shot from 17 ft
4:56.0,,,39-51,,Personal foul by T. Splitter (drawn by L. Aldridge)
4:56.0,W. Matthews enters the game for C. McCollum,,39-51,,
4:45.0,N. Batum misses 3-pt shot from 24 ft,,39-51,,
4:44.0,,,39-51,,Defensive rebound by K. Leonard
4:35.0,,,39-51,,T. Parker misses 3-pt shot from 22 ft
4:33.0,,,39-51,,Offensive rebound by T. Splitter
4:30.0,,,39-51,,D. Green misses 3-pt shot from 25 ft
4:30.0,,,39-51,,Offensive rebound by T. Duncan
4:24.0,,,39-51,,K. Leonard misses 3-pt shot from 22 ft
4:23.0,Defensive rebound by N. Batum,,39-51,,
4:17.0,N. Batum makes 2-pt shot from 1 ft,2,41-51,,
4:16.0,,,41-51,,San Antonio full timeout
4:16.0,,,41-51,,M. Ginobili enters the game for K. Leonard
4:16.0,M. Leonard enters the game for C. Kaman,,41-51,,
3:50.0,,,41-51,,T. Splitter misses 2-pt shot from 2 ft
3:49.0,,,41-51,,Offensive rebound by T. Duncan
3:49.0,,,41-53,2,T. Duncan makes 2-pt shot at rim
3:35.0,N. Batum makes 3-pt shot from 24 ft,3,44-53,,
3:11.0,,,44-53,,M. Ginobili misses 2-pt shot from 4 ft
3:10.0,,,44-53,,Offensive rebound by T. Duncan
2:57.0,,,44-55,2,T. Splitter makes 2-pt shot from 3 ft
2:40.0,Turnover by N. Batum (bad pass; steal by M. Ginobili),,44-55,,
2:37.0,,,44-55,,Turnover by M. Ginobili (bad pass)
2:37.0,,,44-55,,B. Diaw enters the game for T. Splitter
2:30.0,D. Lillard makes 2-pt shot from 3 ft,2,46-55,,
2:30.0,Shooting foul by T. Parker (drawn by D. Lillard),,46-55,,
2:30.0,D. Lillard misses free throw 1 of 1,,46-55,,
2:29.0,,,46-55,,Defensive rebound by D. Green
2:14.0,,,46-55,,T. Parker misses 2-pt shot from 9 ft (block by M. Leonard)
2:12.0,Defensive rebound by L. Aldridge,,46-55,,
2:02.0,D. Lillard makes 2-pt shot from 2 ft,2,48-55,,
1:47.0,,,48-55,,M. Ginobili misses 3-pt shot from 24 ft
1:46.0,,,48-55,,Offensive rebound by B. Diaw
1:34.0,,,48-55,,T. Parker misses 2-pt shot from 7 ft
1:33.0,Defensive rebound by L. Aldridge,,48-55,,
1:26.0,,,48-55,,Shooting block foul by B. Diaw (drawn by D. Lillard)
1:26.0,D. Lillard makes free throw 1 of 2,1,49-55,,
1:26.0,,,49-55,,P. Mills enters the game for T. Parker
1:26.0,D. Lillard makes free throw 2 of 2,1,50-55,,
1:17.0,,,50-55,,Shooting foul by M. Leonard (drawn by D. Green)
1:17.0,,,50-56,1,D. Green makes free throw 1 of 2
1:17.0,,,50-57,1,D. Green makes free throw 2 of 2
1:01.0,L. Aldridge misses 2-pt shot from 14 ft,,50-57,,
1:00.0,,,50-57,,Defensive rebound by B. Diaw
0:52.0,,,50-59,2,T. Duncan makes 2-pt shot from 4 ft (assist by B. Diaw)
0:52.0,Shooting block foul by N. Batum (drawn by T. Duncan),,50-59,,
0:52.0,,,50-60,1,T. Duncan makes free throw 1 of 1
0:34.0,D. Lillard makes 2-pt shot from 17 ft,2,52-60,,
0:27.0,,,52-60,,M. Ginobili misses 3-pt shot from 24 ft
0:26.0,Defensive rebound by D. Lillard,,52-60,,
0:03.0,D. Lillard misses 2-pt shot from 7 ft,,52-60,,
0:02.0,,,52-60,,Defensive rebound by T. Duncan
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,D. Lillard makes 2-pt shot from 19 ft,2,54-60,,
11:48.0,Shooting foul by T. Parker (drawn by D. Lillard),,54-60,,
11:48.0,D. Lillard makes free throw 1 of 1,1,55-60,,
11:32.0,,,55-62,2,T. Duncan makes 2-pt shot from 2 ft (assist by T. Splitter)
11:16.0,C. Kaman makes 2-pt shot from 16 ft (assist by D. Lillard),2,57-62,,
11:04.0,,,57-64,2,T. Splitter makes 2-pt shot from 1 ft (assist by K. Leonard)
10:51.0,,,57-64,,Personal foul by K. Leonard (drawn by N. Batum)
10:48.0,Turnover by N. Batum (lost ball; steal by K. Leonard),,57-64,,
10:43.0,,,57-64,,K. Leonard misses 2-pt shot at rim
10:42.0,,,57-64,,Offensive rebound by T. Parker
10:42.0,,,57-66,2,T. Parker makes 2-pt shot from 1 ft
10:23.0,L. Aldridge makes 2-pt shot from 11 ft (assist by N. Batum),2,59-66,,
10:23.0,Shooting foul by T. Splitter (drawn by L. Aldridge),,59-66,,
10:23.0,L. Aldridge makes free throw 1 of 1,1,60-66,,
10:08.0,,,60-66,,K. Leonard misses 3-pt shot from 25 ft
10:07.0,Defensive rebound by N. Batum,,60-66,,
9:56.0,C. Kaman misses 2-pt shot from 12 ft,,60-66,,
9:55.0,,,60-66,,Defensive rebound by T. Duncan
9:43.0,,,60-69,3,K. Leonard makes 3-pt shot from 23 ft (assist by D. Green)
9:22.0,Shooting foul by T. Parker (drawn by L. Aldridge),,60-69,,
9:22.0,L. Aldridge makes free throw 1 of 2,1,61-69,,
9:22.0,L. Aldridge makes free throw 2 of 2,1,62-69,,
9:03.0,,,62-72,3,D. Green makes 3-pt shot from 26 ft
8:51.0,Turnover by D. Lillard (bad pass; steal by T. Parker),,62-72,,
8:44.0,,,62-72,,T. Splitter misses 2-pt shot from 2 ft (block by C. Kaman)
8:43.0,,,62-72,,Offensive rebound by T. Splitter
8:42.0,,,62-72,,Turnover by T. Splitter (lost ball; steal by W. Matthews)
8:41.0,,,62-72,,Personal foul by T. Splitter (drawn by C. Kaman)
8:41.0,C. Kaman makes free throw 1 of 2,1,63-72,,
8:41.0,,,63-72,,B. Diaw enters the game for T. Splitter
8:41.0,C. Kaman makes free throw 2 of 2,1,64-72,,
8:27.0,,,64-75,3,D. Green makes 3-pt shot from 24 ft (assist by T. Parker)
8:04.0,L. Aldridge makes 2-pt shot from 16 ft,2,66-75,,
7:49.0,,,66-77,2,T. Parker makes 2-pt shot from 6 ft (assist by D. Green)
7:30.0,L. Aldridge misses 2-pt shot from 16 ft,,66-77,,
7:29.0,,,66-77,,Defensive rebound by T. Duncan
7:21.0,,,66-79,2,D. Green makes 2-pt shot from 1 ft (assist by B. Diaw)
7:20.0,Portland full timeout,,66-79,,
7:06.0,D. Lillard makes 2-pt shot from 14 ft (assist by L. Aldridge),2,68-79,,
6:51.0,,,68-81,2,T. Parker makes 2-pt shot from 2 ft
6:36.0,W. Matthews misses 3-pt shot from 23 ft,,68-81,,
6:35.0,,,68-81,,Defensive rebound by T. Duncan
6:23.0,,,68-81,,T. Parker misses 2-pt shot from 14 ft
6:22.0,Defensive rebound by L. Aldridge,,68-81,,
6:14.0,D. Lillard misses 2-pt shot from 17 ft,,68-81,,
6:13.0,Offensive rebound by C. Kaman,,68-81,,
6:07.0,Shooting foul by T. Duncan (drawn by L. Aldridge),,68-81,,
6:07.0,L. Aldridge makes free throw 1 of 2,1,69-81,,
6:07.0,,,69-81,,M. Ginobili enters the game for K. Leonard
6:07.0,,,69-81,,P. Mills enters the game for T. Parker
6:07.0,M. Leonard enters the game for C. Kaman,,69-81,,
6:07.0,C. McCollum enters the game for W. Matthews,,69-81,,
6:07.0,L. Aldridge makes free throw 2 of 2,1,70-81,,
5:52.0,,,70-81,,Turnover by T. Duncan (3 sec)
5:39.0,N. Batum misses 3-pt shot from 22 ft,,70-81,,
5:38.0,,,70-81,,Defensive rebound by T. Duncan
5:28.0,,,70-81,,Shooting foul by N. Batum (drawn by M. Ginobili)
5:28.0,,,70-82,1,M. Ginobili makes free throw 1 of 2
5:28.0,D. Wright enters the game for N. Batum,,70-82,,
5:28.0,,,70-83,1,M. Ginobili makes free throw 2 of 2
5:07.0,Turnover by C. McCollum (bad pass),,70-83,,
4:54.0,Personal block foul by D. Lillard (drawn by M. Ginobili),,70-83,,
4:43.0,,,70-85,2,M. Ginobili makes 2-pt shot from 7 ft (assist by T. Duncan)
4:21.0,L. Aldridge misses 2-pt shot from 10 ft,,70-85,,
4:20.0,,,70-85,,Defensive rebound by M. Ginobili
4:15.0,,,70-85,,P. Mills misses 2-pt shot from 1 ft
4:14.0,Defensive rebound by C. McCollum,,70-85,,
4:03.0,Turnover by L. Aldridge (lost ball; steal by D. Green),,70-85,,
3:55.0,,,70-85,,M. Ginobili misses 3-pt shot from 24 ft
3:55.0,Defensive rebound by Team,,70-85,,
3:41.0,D. Lillard misses 2-pt shot from 11 ft,,70-85,,
3:40.0,,,70-85,,Defensive rebound by B. Diaw
3:36.0,,,70-85,,San Antonio full timeout
3:36.0,,,70-85,,T. Splitter enters the game for T. Duncan
3:32.0,,,70-85,,Offensive foul by T. Splitter
3:32.0,,,70-85,,Turnover by T. Splitter (offensive foul)
3:32.0,,,70-85,,A. Baynes enters the game for T. Splitter
3:13.0,L. Aldridge misses 2-pt shot from 14 ft,,70-85,,
3:12.0,,,70-85,,Defensive rebound by A. Baynes
3:02.0,,,70-85,,Turnover by Team (back court)
3:02.0,,,70-85,,K. Leonard enters the game for D. Green
3:02.0,T. Robinson enters the game for L. Aldridge,,70-85,,
2:48.0,T. Robinson misses 2-pt shot from 18 ft,,70-85,,
2:47.0,,,70-85,,Defensive rebound by P. Mills
2:42.0,,,70-85,,P. Mills misses 2-pt shot from 16 ft
2:41.0,Defensive rebound by D. Wright,,70-85,,
2:31.0,M. Leonard makes 3-pt shot from 25 ft (assist by D. Wright),3,73-85,,
2:09.0,,,73-88,3,P. Mills makes 3-pt shot from 24 ft (assist by M. Ginobili)
1:56.0,D. Lillard misses 3-pt shot from 25 ft,,73-88,,
1:55.0,,,73-88,,Defensive rebound by M. Ginobili
1:49.0,,,73-91,3,P. Mills makes 3-pt shot from 23 ft (assist by M. Ginobili)
1:19.0,C. McCollum makes 2-pt shot from 9 ft,2,75-91,,
0:59.0,,,75-91,,A. Baynes misses 2-pt shot from 13 ft
0:58.0,Defensive rebound by T. Robinson,,75-91,,
0:46.0,Offensive foul by M. Leonard,,75-91,,
0:46.0,Turnover by M. Leonard (offensive foul),,75-91,,
0:46.0,S. Blake enters the game for D. Lillard,,75-91,,
0:46.0,W. Matthews enters the game for C. McCollum,,75-91,,
0:34.0,,,75-91,,P. Mills misses 2-pt shot from 16 ft
0:33.0,Defensive rebound by Team,,75-91,,
0:33.0,,,75-91,,Loose ball foul by A. Baynes (drawn by M. Leonard)
0:33.0,M. Leonard makes free throw 1 of 2,1,76-91,,
0:33.0,M. Leonard makes free throw 2 of 2,1,77-91,,
0:13.0,,,77-91,,M. Ginobili misses 3-pt shot from 24 ft
0:12.0,Defensive rebound by M. Leonard,,77-91,,
0:04.0,T. Robinson makes 2-pt shot from 1 ft (assist by S. Blake),2,79-91,,
0:00.0,,,79-91,,P. Mills misses 3-pt shot from 25 ft
0:00.0,,,79-91,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,79-93,2,P. Mills makes 2-pt shot from 13 ft (assist by M. Ginobili)
11:22.0,Turnover by W. Matthews (bad pass; steal by B. Diaw),,79-93,,
11:07.0,Personal foul by W. Matthews (drawn by M. Ginobili),,79-93,,
11:07.0,D. Lillard enters the game for D. Wright,,79-93,,
11:07.0,L. Aldridge enters the game for T. Robinson,,79-93,,
11:01.0,,,79-93,,P. Mills misses 3-pt shot from 25 ft
11:00.0,,,79-93,,Offensive rebound by A. Baynes
10:52.0,Personal foul by W. Matthews (drawn by K. Leonard),,79-93,,
10:52.0,,,79-93,,T. Parker enters the game for M. Ginobili
10:44.0,,,79-95,2,A. Baynes makes 2-pt shot from 1 ft (assist by K. Leonard)
10:22.0,C. Kaman enters the game for M. Leonard,,79-95,,
10:21.0,Turnover by L. Aldridge (bad pass),,79-95,,
10:03.0,,,79-97,2,B. Diaw makes 2-pt shot from 8 ft (assist by K. Leonard)
10:02.0,Portland full timeout,,79-97,,
9:46.0,D. Lillard makes 2-pt shot from 9 ft (assist by L. Aldridge),2,81-97,,
9:23.0,,,81-97,,Turnover by T. Parker (bad pass)
9:23.0,N. Batum enters the game for S. Blake,,81-97,,
9:03.0,D. Lillard misses 3-pt shot from 24 ft,,81-97,,
9:02.0,,,81-97,,Defensive rebound by K. Leonard
8:53.0,,,81-97,,K. Leonard misses 2-pt shot from 13 ft
8:52.0,,,81-97,,Offensive rebound by A. Baynes
8:49.0,,,81-99,2,K. Leonard makes 2-pt shot from 8 ft (assist by B. Diaw)
8:49.0,,,81-99,,Shooting foul by C. Kaman (drawn by K. Leonard)
8:49.0,,,81-99,,T. Duncan enters the game for A. Baynes
8:49.0,,,81-99,,D. Green enters the game for P. Mills
8:49.0,,,81-100,1,K. Leonard makes free throw 1 of 1
8:41.0,,,81-100,,Personal foul by T. Duncan (drawn by C. Kaman)
8:29.0,W. Matthews misses 3-pt shot from 23 ft,,81-100,,
8:28.0,,,81-100,,Defensive rebound by D. Green
8:18.0,,,81-100,,K. Leonard misses 2-pt shot from 15 ft
8:17.0,Defensive rebound by N. Batum,,81-100,,
8:02.0,L. Aldridge makes 2-pt shot from 2 ft,2,83-100,,
7:50.0,,,83-102,2,T. Duncan makes 2-pt shot from 12 ft (assist by B. Diaw)
7:27.0,L. Aldridge makes 2-pt shot from 17 ft (assist by W. Matthews),2,85-102,,
7:15.0,,,85-104,2,D. Green makes 2-pt shot from 1 ft (assist by T. Duncan)
7:02.0,D. Lillard misses 3-pt shot from 25 ft,,85-104,,
7:01.0,,,85-104,,Defensive rebound by D. Green
6:45.0,,,85-104,,Shooting foul by C. Kaman (drawn by K. Leonard)
6:45.0,,,85-105,1,K. Leonard makes free throw 1 of 2
6:45.0,,,85-106,1,K. Leonard makes free throw 2 of 2
6:28.0,L. Aldridge misses 2-pt shot from 8 ft (block by B. Diaw),,85-106,,
6:27.0,,,85-106,,Defensive rebound by T. Duncan
6:16.0,,,85-108,2,K. Leonard makes 2-pt shot from 1 ft (assist by T. Parker)
6:16.0,,,85-108,,Shooting foul by L. Aldridge (drawn by K. Leonard)
6:16.0,,,85-108,,K. Leonard misses free throw 1 of 1
6:15.0,Defensive rebound by L. Aldridge,,85-108,,
5:59.0,N. Batum misses 2-pt shot from 11 ft,,85-108,,
5:58.0,,,85-108,,Defensive rebound by T. Duncan
5:47.0,,,85-108,,K. Leonard misses 2-pt shot from 18 ft
5:46.0,Defensive rebound by C. Kaman,,85-108,,
5:39.0,Shooting foul by B. Diaw (drawn by D. Lillard),,85-108,,
5:39.0,Official timeout,,85-108,,
5:39.0,D. Lillard makes free throw 1 of 2,1,86-108,,
5:39.0,D. Lillard makes free throw 2 of 2,1,87-108,,
5:28.0,,,87-110,2,K. Leonard makes 2-pt shot from 1 ft (assist by T. Duncan)
5:28.0,Portland full timeout,,87-110,,
5:28.0,C. McCollum enters the game for N. Batum,,87-110,,
5:28.0,W. Barton enters the game for L. Aldridge,,87-110,,
5:28.0,A. Crabbe enters the game for C. Kaman,,87-110,,
5:28.0,T. Robinson enters the game for W. Matthews,,87-110,,
5:28.0,V. Claver enters the game for D. Lillard,,87-110,,
5:28.0,,,87-110,,P. Mills enters the game for K. Leonard
5:28.0,,,87-110,,C. Joseph enters the game for T. Duncan
5:28.0,,,87-110,,A. Baynes enters the game for T. Parker
5:12.0,Turnover by C. McCollum (bad pass),,87-110,,
5:02.0,,,87-110,,Turnover by D. Green (bad pass)
4:44.0,C. McCollum makes 2-pt shot at rim,2,89-110,,
4:27.0,,,89-110,,B. Diaw misses 2-pt shot at rim
4:26.0,Defensive rebound by V. Claver,,89-110,,
4:20.0,W. Barton misses 2-pt shot from 5 ft,,89-110,,
4:19.0,,,89-110,,Defensive rebound by B. Diaw
3:57.0,,,89-110,,B. Diaw misses 2-pt shot from 7 ft
3:56.0,Defensive rebound by W. Barton,,89-110,,
3:44.0,C. McCollum misses 2-pt shot from 19 ft,,89-110,,
3:43.0,,,89-110,,Defensive rebound by B. Diaw
3:40.0,,,89-110,,Turnover by B. Diaw (bad pass; steal by W. Barton)
