time,San Antonio,pts.away,score,pts.home,Cleveland
3:31.0,T. Duncan makes 2-pt shot from 1 ft (assist by B. Diaw),2,17-15,,
3:15.0,,,17-15,,Turnover by A. Varejao (lost ball; steal by T. Duncan)
2:56.0,T. Duncan misses 2-pt shot from 8 ft,,17-15,,
2:53.0,,,17-15,,Defensive rebound by K. Love
2:45.0,,,17-17,2,A. Varejao makes 2-pt shot at rim (assist by L. James)
2:30.0,T. Duncan misses 2-pt shot from 2 ft (block by K. Love),,17-17,,
2:28.0,Offensive rebound by C. Joseph,,17-17,,
2:27.0,Offensive foul by B. Diaw,,17-17,,
2:27.0,Turnover by B. Diaw (offensive foul),,17-17,,
2:27.0,,,17-17,,Cleveland full timeout
2:27.0,,,17-17,,T. Thompson enters the game for L. James
2:27.0,,,17-17,,K. Irving enters the game for A. Varejao
2:27.0,A. Baynes enters the game for T. Duncan,,17-17,,
2:27.0,D. Green enters the game for K. Leonard,,17-17,,
2:07.0,,,17-17,,K. Irving misses 2-pt shot from 9 ft
2:05.0,Defensive rebound by M. Ginobili,,17-17,,
1:54.0,Turnover by A. Baynes (lost ball),,17-17,,
1:54.0,,,17-17,,J. Harris enters the game for S. Marion
1:54.0,T. Parker enters the game for C. Joseph,,17-17,,
1:41.0,,,17-17,,D. Waiters misses 3-pt shot from 26 ft
1:39.0,Defensive rebound by B. Diaw,,17-17,,
1:23.0,A. Baynes makes 2-pt shot at rim (assist by B. Diaw),2,19-17,,
1:04.0,,,19-17,,Turnover by J. Harris (lost ball; steal by D. Green)
0:56.0,A. Baynes makes 2-pt shot from 1 ft (assist by M. Ginobili),2,21-17,,
0:42.0,,,21-17,,D. Waiters misses 2-pt shot from 16 ft
0:39.0,Defensive rebound by B. Diaw,,21-17,,
0:32.0,T. Parker makes 2-pt shot from 17 ft,2,23-17,,
0:11.0,,,23-20,3,J. Harris makes 3-pt shot from 23 ft (assist by T. Thompson)
0:00.0,T. Parker misses 2-pt shot from 18 ft,,23-20,,
0:00.0,Offensive rebound by Team,,23-20,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,23-22,2,A. Varejao makes 2-pt shot from 2 ft (assist by K. Irving)
11:48.0,,,23-22,,Shooting foul by A. Baynes (drawn by A. Varejao)
11:48.0,,,23-22,,A. Varejao misses free throw 1 of 1
11:48.0,Defensive rebound by D. Green,,23-22,,
11:33.0,A. Daye misses 3-pt shot from 22 ft,,23-22,,
11:32.0,,,23-22,,Defensive rebound by K. Irving
11:21.0,,,23-22,,D. Waiters misses 2-pt shot from 2 ft
11:21.0,,,23-22,,Offensive rebound by Team
11:21.0,Loose ball foul by A. Baynes (drawn by T. Thompson),,23-22,,
11:06.0,,,23-22,,A. Varejao misses 2-pt shot from 7 ft
11:06.0,,,23-22,,Offensive rebound by Team
11:06.0,,,23-22,,Turnover by Team (shot clock)
10:59.0,Turnover by D. Green (lost ball; steal by D. Waiters),,23-22,,
10:54.0,,,23-24,2,T. Thompson makes 2-pt shot from 1 ft (assist by D. Waiters)
10:53.0,San Antonio full timeout,,23-24,,
10:33.0,D. Green misses 3-pt shot from 23 ft,,23-24,,
10:32.0,,,23-24,,Defensive rebound by K. Irving
10:20.0,,,23-24,,K. Irving misses 2-pt shot from 9 ft (block by A. Baynes)
10:18.0,,,23-24,,Offensive rebound by K. Irving
10:14.0,,,23-26,2,A. Varejao makes 2-pt shot from 6 ft (assist by D. Waiters)
10:04.0,A. Daye misses 3-pt shot from 25 ft,,23-26,,
10:02.0,,,23-26,,Defensive rebound by T. Thompson
9:43.0,,,23-28,2,D. Waiters makes 2-pt shot from 1 ft
9:20.0,D. Green makes 3-pt shot from 26 ft (assist by M. Ginobili),3,26-28,,
9:03.0,,,26-30,2,A. Varejao makes 2-pt shot from 18 ft (assist by K. Irving)
8:51.0,,,26-30,,Personal foul by J. Harris (drawn by M. Ginobili)
8:51.0,Official timeout,,26-30,,
8:51.0,,,26-30,,L. James enters the game for K. Irving
8:51.0,K. Leonard enters the game for D. Green,,26-30,,
8:51.0,C. Joseph enters the game for M. Ginobili,,26-30,,
8:36.0,,,26-30,,Personal foul by L. James (drawn by T. Parker)
8:32.0,T. Parker misses 2-pt shot from 12 ft (block by D. Waiters),,26-30,,
8:31.0,,,26-30,,Defensive rebound by Team
8:05.0,,,26-30,,L. James misses 2-pt shot from 18 ft
8:05.0,,,26-30,,Offensive rebound by Team
8:05.0,Loose ball foul by A. Daye (drawn by T. Thompson),,26-30,,
7:58.0,,,26-32,2,J. Harris makes 2-pt shot at rim (assist by D. Waiters)
7:58.0,,,26-32,,Shooting foul by T. Parker (drawn by J. Harris)
7:58.0,,,26-32,,J. Harris misses free throw 1 of 1
7:56.0,Defensive rebound by K. Leonard,,26-32,,
7:48.0,Turnover by K. Leonard (bad pass; steal by D. Waiters),,26-32,,
7:38.0,,,26-32,,J. Harris misses 3-pt shot from 24 ft
7:37.0,Defensive rebound by A. Baynes,,26-32,,
7:35.0,Shooting foul by J. Harris (drawn by T. Parker),,26-32,,
7:35.0,T. Parker misses free throw 1 of 2,,26-32,,
7:35.0,Offensive rebound by Team,,26-32,,
7:35.0,,,26-32,,K. Irving enters the game for J. Harris
7:35.0,,,26-32,,S. Marion enters the game for D. Waiters
7:35.0,T. Duncan enters the game for A. Baynes,,26-32,,
7:35.0,B. Diaw enters the game for A. Daye,,26-32,,
7:35.0,T. Parker misses free throw 2 of 2,,26-32,,
7:34.0,,,26-32,,Defensive rebound by A. Varejao
7:16.0,,,26-32,,L. James misses 2-pt shot from 17 ft
7:15.0,Defensive rebound by B. Diaw,,26-32,,
7:07.0,,,26-32,,Personal foul by L. James (drawn by T. Duncan)
6:58.0,B. Diaw makes 3-pt shot from 24 ft (assist by K. Leonard),3,29-32,,
6:35.0,,,29-32,,Turnover by K. Irving (bad pass; steal by B. Diaw)
6:31.0,Turnover by B. Diaw (lost ball; steal by K. Irving),,29-32,,
6:28.0,,,29-34,2,K. Irving makes 2-pt shot at rim
6:08.0,C. Joseph makes 2-pt shot from 20 ft (assist by B. Diaw),2,31-34,,
5:52.0,,,31-34,,L. James misses 2-pt shot at rim
5:46.0,Defensive rebound by T. Parker,,31-34,,
5:44.0,,,31-34,,Cleveland full timeout
5:44.0,M. Ginobili enters the game for C. Joseph,,31-34,,
5:44.0,,,31-34,,K. Love enters the game for T. Thompson
5:35.0,M. Ginobili misses 3-pt shot from 25 ft,,31-34,,
5:33.0,,,31-34,,Defensive rebound by S. Marion
5:27.0,,,31-36,2,A. Varejao makes 2-pt shot at rim (assist by L. James)
5:15.0,B. Diaw makes 2-pt shot from 6 ft (assist by K. Leonard),2,33-36,,
4:57.0,,,33-36,,S. Marion misses 3-pt shot from 23 ft
4:56.0,Defensive rebound by K. Leonard,,33-36,,
4:53.0,Shooting foul by K. Irving (drawn by K. Leonard),,33-36,,
4:53.0,K. Leonard misses free throw 1 of 2,,33-36,,
4:53.0,Offensive rebound by Team,,33-36,,
4:53.0,,,33-36,,D. Waiters enters the game for K. Irving
4:53.0,K. Leonard makes free throw 2 of 2,1,34-36,,
4:37.0,,,34-36,,K. Love misses 2-pt shot from 7 ft
4:35.0,Defensive rebound by T. Duncan,,34-36,,
4:20.0,T. Duncan misses 2-pt shot from 13 ft,,34-36,,
4:19.0,,,34-36,,Defensive rebound by S. Marion
4:04.0,,,34-38,2,L. James makes 2-pt shot from 1 ft
4:04.0,,,34-38,,Shooting foul by T. Duncan (drawn by L. James)
4:04.0,,,34-39,1,L. James makes free throw 1 of 1
3:40.0,Turnover by Team (shot clock),,34-39,,
3:28.0,,,34-39,,D. Waiters misses 2-pt shot from 13 ft
3:27.0,Defensive rebound by M. Ginobili,,34-39,,
3:16.0,B. Diaw makes 2-pt shot from 7 ft (assist by T. Duncan),2,36-39,,
2:53.0,,,36-39,,L. James misses 3-pt shot from 25 ft
2:52.0,,,36-39,,Offensive rebound by Team
2:52.0,San Antonio full timeout,,36-39,,
2:52.0,,,36-39,,K. Irving enters the game for L. James
2:52.0,C. Joseph enters the game for T. Parker,,36-39,,
2:36.0,,,36-41,2,K. Irving makes 2-pt shot from 18 ft (assist by S. Marion)
2:22.0,K. Leonard misses 2-pt shot from 7 ft,,36-41,,
2:20.0,,,36-41,,Defensive rebound by A. Varejao
2:14.0,,,36-44,3,K. Irving makes 3-pt shot from 25 ft
1:54.0,Offensive charge foul by T. Duncan,,36-44,,
1:54.0,Turnover by T. Duncan (offensive foul),,36-44,,
1:42.0,,,36-47,3,K. Irving makes 3-pt shot from 24 ft
1:25.0,K. Leonard makes 2-pt shot from 1 ft,2,38-47,,
1:09.0,,,38-47,,Turnover by K. Irving (lost ball; steal by K. Leonard)
1:04.0,K. Leonard makes 2-pt shot at rim (assist by C. Joseph),2,40-47,,
1:04.0,,,40-47,,Cleveland full timeout
1:04.0,,,40-47,,J. Harris enters the game for K. Irving
0:46.0,,,40-47,,A. Varejao misses 2-pt shot from 10 ft
0:44.0,Defensive rebound by M. Ginobili,,40-47,,
0:30.0,T. Duncan makes 2-pt shot at rim (assist by B. Diaw),2,42-47,,
0:10.0,,,42-47,,Turnover by D. Waiters (bad pass; steal by K. Leonard)
0:06.0,M. Ginobili makes 2-pt shot at rim (assist by K. Leonard),2,44-47,,
0:00.0,,,44-47,,A. Varejao misses 3-pt shot from 25 ft
0:00.0,,,44-47,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,44-49,2,K. Love makes 2-pt shot at rim (assist by L. James)
11:41.0,San Antonio full timeout,,44-49,,
11:24.0,T. Duncan misses 2-pt shot from 17 ft,,44-49,,
11:23.0,,,44-49,,Defensive rebound by K. Love
11:03.0,,,44-49,,K. Love misses 2-pt shot from 14 ft (block by B. Diaw)
11:01.0,,,44-49,,Offensive rebound by K. Love
10:59.0,,,44-49,,Turnover by Team (shot clock)
10:44.0,Turnover by T. Duncan (lost ball; steal by K. Love),,44-49,,
10:27.0,Personal foul by K. Leonard (drawn by K. Irving),,44-49,,
10:21.0,,,44-51,2,K. Love makes 2-pt shot from 15 ft (assist by L. James)
10:12.0,Turnover by K. Leonard (traveling),,44-51,,
9:56.0,,,44-51,,K. Love misses 2-pt shot from 7 ft (block by T. Duncan)
9:54.0,Defensive rebound by K. Leonard,,44-51,,
9:46.0,D. Green makes 3-pt shot from 22 ft (assist by B. Diaw),3,47-51,,
9:24.0,,,47-51,,A. Varejao misses 2-pt shot from 5 ft
9:22.0,,,47-51,,Offensive rebound by K. Love
9:22.0,,,47-51,,K. Love misses 2-pt shot at rim
9:20.0,,,47-51,,Offensive rebound by K. Love
9:20.0,,,47-53,2,K. Love makes 2-pt shot at rim
9:10.0,B. Diaw misses 2-pt shot from 1 ft,,47-53,,
9:09.0,,,47-53,,Defensive rebound by K. Love
9:07.0,,,47-53,,Turnover by K. Love (bad pass; steal by T. Parker)
9:00.0,B. Diaw misses 2-pt shot from 10 ft,,47-53,,
8:58.0,,,47-53,,Defensive rebound by A. Varejao
8:53.0,Personal foul by T. Parker (drawn by K. Love),,47-53,,
8:48.0,,,47-53,,K. Love misses 2-pt shot from 19 ft
8:47.0,Defensive rebound by K. Leonard,,47-53,,
8:39.0,T. Duncan makes 2-pt shot at rim (assist by B. Diaw),2,49-53,,
8:19.0,,,49-53,,L. James misses 2-pt shot from 12 ft
8:17.0,,,49-53,,Offensive rebound by S. Marion
8:17.0,,,49-53,,S. Marion misses 2-pt shot from 1 ft
8:15.0,Defensive rebound by B. Diaw,,49-53,,
8:04.0,T. Duncan misses 2-pt shot from 8 ft,,49-53,,
8:01.0,Offensive rebound by K. Leonard,,49-53,,
7:59.0,K. Leonard makes 2-pt shot from 16 ft,2,51-53,,
7:38.0,,,51-53,,S. Marion misses 3-pt shot from 23 ft
7:37.0,Defensive rebound by T. Duncan,,51-53,,
7:33.0,Shooting foul by K. Irving (drawn by K. Leonard),,51-53,,
7:33.0,K. Leonard makes free throw 1 of 2,1,52-53,,
7:33.0,M. Ginobili enters the game for D. Green,,52-53,,
7:33.0,K. Leonard misses free throw 2 of 2,,52-53,,
7:32.0,Offensive rebound by T. Duncan,,52-53,,
7:28.0,Turnover by T. Duncan (bad pass; steal by L. James),,52-53,,
7:28.0,Personal foul by M. Ginobili (drawn by L. James),,52-53,,
7:28.0,,,52-53,,Cleveland full timeout
7:28.0,,,52-53,,J. Harris enters the game for S. Marion
7:12.0,,,52-55,2,A. Varejao makes 2-pt shot at rim (assist by K. Love)
6:43.0,T. Parker misses 3-pt shot from 22 ft,,52-55,,
6:42.0,,,52-55,,Defensive rebound by L. James
6:29.0,,,52-55,,Turnover by J. Harris (traveling)
6:29.0,A. Baynes enters the game for T. Duncan,,52-55,,
6:04.0,B. Diaw makes 2-pt shot from 11 ft,2,54-55,,
5:42.0,,,54-55,,Turnover by L. James (3 sec)
5:27.0,A. Baynes misses 2-pt shot from 1 ft,,54-55,,
5:26.0,Offensive rebound by A. Baynes,,54-55,,
5:22.0,K. Leonard misses 3-pt shot from 22 ft,,54-55,,
5:21.0,,,54-55,,Defensive rebound by A. Varejao
5:18.0,Personal foul by M. Ginobili (drawn by L. James),,54-55,,
5:10.0,,,54-55,,Shooting foul by A. Baynes (drawn by K. Love)
5:10.0,,,54-56,1,K. Love makes free throw 1 of 2
5:10.0,,,54-56,,T. Thompson enters the game for A. Varejao
5:10.0,,,54-57,1,K. Love makes free throw 2 of 2
4:55.0,B. Diaw makes 2-pt shot from 7 ft (assist by T. Parker),2,56-57,,
4:35.0,,,56-57,,L. James misses 2-pt shot from 15 ft
4:32.0,Defensive rebound by K. Leonard,,56-57,,
4:29.0,T. Parker makes 2-pt shot from 1 ft (assist by K. Leonard),2,58-57,,
4:20.0,,,58-59,2,K. Irving makes 2-pt shot at rim
4:13.0,,,58-59,,Violation by K. Love (kicked ball)
4:13.0,C. Joseph enters the game for T. Parker,,58-59,,
4:13.0,,,58-59,,D. Waiters enters the game for K. Irving
3:58.0,C. Joseph misses 2-pt shot from 14 ft,,58-59,,
3:56.0,Offensive rebound by A. Baynes,,58-59,,
3:54.0,A. Baynes makes 2-pt shot at rim,2,60-59,,
3:34.0,,,60-61,2,L. James makes 2-pt shot at rim
3:24.0,K. Leonard misses 2-pt shot from 4 ft (block by L. James),,60-61,,
3:21.0,Offensive rebound by C. Joseph,,60-61,,
3:20.0,C. Joseph makes 2-pt shot at rim,2,62-61,,
2:57.0,,,62-63,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
2:45.0,B. Diaw makes 2-pt shot from 7 ft (assist by M. Ginobili),2,64-63,,
2:32.0,,,64-65,2,T. Thompson makes 2-pt shot at rim (assist by L. James)
2:14.0,Shooting foul by D. Waiters (drawn by C. Joseph),,64-65,,
2:14.0,C. Joseph misses free throw 1 of 2,,64-65,,
2:14.0,Offensive rebound by Team,,64-65,,
2:14.0,,,64-65,,S. Marion enters the game for L. James
2:14.0,,,64-65,,W. Cherry enters the game for K. Love
2:14.0,D. Green enters the game for K. Leonard,,64-65,,
2:14.0,C. Joseph makes free throw 2 of 2,1,65-65,,
1:59.0,Personal foul by A. Baynes (drawn by D. Waiters),,65-65,,
1:59.0,,,65-66,1,D. Waiters makes free throw 1 of 2
1:59.0,,,65-67,1,D. Waiters makes free throw 2 of 2
1:35.0,D. Green makes 2-pt shot from 14 ft,2,67-67,,
1:10.0,,,67-67,,Offensive charge foul by W. Cherry
1:10.0,,,67-67,,Turnover by W. Cherry (offensive foul)
1:10.0,A. Daye enters the game for B. Diaw,,67-67,,
0:57.0,C. Joseph makes 3-pt shot from 23 ft (assist by M. Ginobili),3,70-67,,
0:42.0,,,70-67,,T. Thompson misses 2-pt shot from 8 ft
0:41.0,Defensive rebound by D. Green,,70-67,,
0:34.0,C. Joseph makes 2-pt shot from 1 ft,2,72-67,,
0:13.0,,,72-69,2,S. Marion makes 2-pt shot from 5 ft (assist by W. Cherry)
0:00.0,M. Ginobili misses 2-pt shot from 12 ft,,72-69,,
0:00.0,Offensive rebound by Team,,72-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:53.0,,,72-69,,Personal foul by K. Irving (drawn by M. Ginobili)
11:42.0,M. Ginobili makes 2-pt shot from 13 ft,2,74-69,,
11:24.0,,,74-69,,Shooting foul by C. Joseph (drawn by K. Irving)
11:24.0,,,74-70,1,K. Irving makes free throw 1 of 2
11:24.0,,,74-70,,K. Irving misses free throw 2 of 2
11:23.0,Defensive rebound by A. Daye,,74-70,,
11:12.0,,,74-70,,Personal foul by D. Waiters (drawn by M. Ginobili)
11:02.0,Offensive foul by A. Daye,,74-70,,
11:02.0,Turnover by A. Daye (offensive foul),,74-70,,
10:54.0,Personal foul by C. Joseph (drawn by K. Irving),,74-70,,
10:43.0,,,74-70,,D. Waiters misses 2-pt shot from 20 ft
10:42.0,Defensive rebound by C. Joseph,,74-70,,
10:30.0,Turnover by T. Duncan (bad pass; steal by K. Irving),,74-70,,
10:20.0,,,74-72,2,D. Waiters makes 2-pt shot from 1 ft (assist by J. Harris)
9:57.0,T. Duncan misses 2-pt shot from 7 ft,,74-72,,
9:54.0,,,74-72,,Defensive rebound by T. Thompson
9:48.0,,,74-75,3,K. Irving makes 3-pt shot from 25 ft
9:35.0,,,74-75,,Personal foul by D. Waiters (drawn by A. Daye)
9:30.0,M. Ginobili misses 2-pt shot from 7 ft,,74-75,,
9:29.0,Offensive rebound by T. Duncan,,74-75,,
9:24.0,A. Daye makes 3-pt shot from 25 ft (assist by C. Joseph),3,77-75,,
8:56.0,,,77-75,,T. Thompson misses 2-pt shot from 2 ft (block by T. Duncan)
8:54.0,Defensive rebound by A. Daye,,77-75,,
8:48.0,Shooting foul by T. Thompson (drawn by T. Duncan),,77-75,,
8:48.0,Official timeout,,77-75,,
8:48.0,K. Leonard enters the game for D. Green,,77-75,,
8:48.0,T. Parker enters the game for C. Joseph,,77-75,,
8:48.0,,,77-75,,A. Varejao enters the game for D. Waiters
8:48.0,,,77-75,,L. James enters the game for T. Thompson
8:48.0,B. Diaw enters the game for A. Daye,,77-75,,
8:48.0,T. Duncan misses free throw 1 of 2,,77-75,,
8:48.0,Offensive rebound by Team,,77-75,,
8:48.0,T. Duncan makes free throw 2 of 2,1,78-75,,
8:22.0,,,78-75,,K. Irving misses 2-pt shot from 12 ft
8:21.0,Defensive rebound by K. Leonard,,78-75,,
8:10.0,M. Ginobili misses 2-pt shot from 16 ft,,78-75,,
8:09.0,Offensive rebound by Team,,78-75,,
8:06.0,K. Leonard misses 3-pt shot from 23 ft,,78-75,,
8:05.0,,,78-75,,Defensive rebound by L. James
7:54.0,,,78-75,,L. James misses 2-pt shot from 11 ft
7:53.0,Defensive rebound by T. Duncan,,78-75,,
7:34.0,Turnover by T. Duncan (traveling),,78-75,,
7:34.0,,,78-75,,K. Love enters the game for S. Marion
7:16.0,,,78-77,2,A. Varejao makes 2-pt shot from 1 ft (assist by K. Love)
7:06.0,San Antonio full timeout,,78-77,,
6:57.0,Shooting foul by K. Love (drawn by T. Duncan),,78-77,,
6:57.0,T. Duncan misses free throw 1 of 2,,78-77,,
6:57.0,Offensive rebound by Team,,78-77,,
6:57.0,D. Green enters the game for M. Ginobili,,78-77,,
6:57.0,T. Duncan makes free throw 2 of 2,1,79-77,,
6:45.0,,,79-79,2,K. Irving makes 2-pt shot from 19 ft
6:34.0,,,79-79,,Personal foul by K. Love (drawn by B. Diaw)
6:34.0,B. Diaw makes free throw 1 of 2,1,80-79,,
6:34.0,B. Diaw makes free throw 2 of 2,1,81-79,,
6:18.0,,,81-81,2,A. Varejao makes 2-pt shot from 1 ft (assist by K. Love)
5:59.0,Turnover by T. Parker (bad pass; steal by K. Irving),,81-81,,
5:51.0,,,81-81,,K. Irving misses 2-pt shot from 1 ft
5:49.0,Defensive rebound by K. Leonard,,81-81,,
5:41.0,T. Parker misses 2-pt shot from 19 ft,,81-81,,
5:40.0,Offensive rebound by T. Duncan,,81-81,,
5:20.0,Offensive charge foul by T. Duncan,,81-81,,
5:20.0,Turnover by T. Duncan (offensive foul),,81-81,,
5:01.0,,,81-81,,K. Love misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by D. Green,,81-81,,
4:49.0,B. Diaw misses 2-pt shot from 7 ft,,81-81,,
4:47.0,,,81-81,,Defensive rebound by K. Love
4:44.0,,,81-81,,Shooting foul by D. Green (drawn by A. Varejao)
4:44.0,,,81-81,,A. Varejao misses free throw 1 of 2
4:44.0,,,81-81,,Offensive rebound by Team
4:44.0,,,81-82,1,A. Varejao makes free throw 2 of 2
4:24.0,K. Leonard misses 2-pt shot from 10 ft,,81-82,,
4:23.0,,,81-82,,Defensive rebound by K. Love
4:10.0,,,81-84,2,A. Varejao makes 2-pt shot at rim (assist by L. James)
3:46.0,,,81-84,,Personal foul by J. Harris (drawn by T. Parker)
3:46.0,T. Parker makes free throw 1 of 2,1,82-84,,
3:46.0,M. Ginobili enters the game for D. Green,,82-84,,
3:46.0,T. Parker makes free throw 2 of 2,1,83-84,,
3:44.0,,,83-84,,Cleveland full timeout
3:29.0,,,83-84,,K. Irving misses 3-pt shot from 25 ft
3:28.0,,,83-84,,Offensive rebound by Team
3:17.0,,,83-84,,A. Varejao misses 2-pt shot from 1 ft
3:15.0,,,83-84,,Offensive rebound by L. James
3:15.0,,,83-84,,L. James misses 2-pt shot from 1 ft
3:14.0,Defensive rebound by K. Leonard,,83-84,,
3:14.0,,,83-84,,Personal foul by K. Irving (drawn by K. Leonard)
3:14.0,K. Leonard makes free throw 1 of 2,1,84-84,,
3:14.0,K. Leonard makes free throw 2 of 2,1,85-84,,
3:00.0,,,85-84,,J. Harris misses 2-pt shot from 7 ft
2:57.0,,,85-84,,Offensive rebound by A. Varejao
2:57.0,,,85-86,2,A. Varejao makes 2-pt shot at rim
2:36.0,B. Diaw misses 3-pt shot from 24 ft,,85-86,,
2:35.0,,,85-86,,Defensive rebound by A. Varejao
2:13.0,,,85-86,,L. James misses 2-pt shot at rim
2:10.0,,,85-86,,Offensive rebound by L. James
2:06.0,,,85-86,,J. Harris misses 3-pt shot from 24 ft
2:05.0,,,85-86,,Offensive rebound by L. James
1:49.0,,,85-86,,K. Irving misses 2-pt shot from 7 ft
1:46.0,Defensive rebound by T. Duncan,,85-86,,
1:39.0,T. Duncan makes 2-pt shot from 7 ft (assist by M. Ginobili),2,87-86,,
1:25.0,,,87-86,,Turnover by L. James (bad pass; steal by K. Leonard)
1:23.0,,,87-86,,Personal foul by J. Harris (drawn by T. Parker)
1:23.0,T. Parker makes free throw 1 of 2,1,88-86,,
1:23.0,T. Parker makes free throw 2 of 2,1,89-86,,
1:23.0,,,89-86,,Cleveland full timeout
1:09.0,,,89-88,2,L. James makes 2-pt shot at rim
0:48.0,B. Diaw misses 2-pt shot from 1 ft (block by A. Varejao),,89-88,,
0:47.0,,,89-88,,Defensive rebound by A. Varejao
0:37.0,Personal foul by T. Parker (drawn by K. Irving),,89-88,,
0:37.0,,,89-88,,Cleveland full timeout
0:35.0,,,89-88,,Turnover by L. James (bad pass)
0:18.0,M. Ginobili makes 2-pt shot at rim (assist by T. Duncan),2,91-88,,
0:18.0,,,91-88,,Cleveland full timeout
