time,Minnesota,pts.away,score,pts.home,Miami
6:49.0,T. Young makes 2-pt shot from 6 ft (assist by Z. LaVine),2,4-14,,
6:37.0,,,4-14,,U. Haslem enters the game for C. Bosh
6:21.0,,,4-16,2,U. Haslem makes 2-pt shot from 1 ft (assist by N. Cole)
6:01.0,Z. LaVine makes 2-pt shot from 22 ft (assist by A. Wiggins),2,6-16,,
5:46.0,,,6-18,2,D. Wade makes 2-pt shot from 20 ft
5:32.0,Shooting foul by L. Deng (drawn by A. Wiggins),,6-18,,
5:32.0,A. Wiggins misses free throw 1 of 2,,6-18,,
5:32.0,Offensive rebound by Team,,6-18,,
5:32.0,A. Wiggins makes free throw 2 of 2,1,7-18,,
5:11.0,,,7-20,2,U. Haslem makes 2-pt shot from 18 ft (assist by D. Wade)
4:51.0,K. Martin misses 2-pt shot from 1 ft,,7-20,,
4:50.0,Offensive rebound by N. Pekovic,,7-20,,
4:49.0,Shooting foul by U. Haslem (drawn by N. Pekovic),,7-20,,
4:49.0,N. Pekovic makes free throw 1 of 2,1,8-20,,
4:49.0,N. Pekovic makes free throw 2 of 2,1,9-20,,
4:36.0,,,9-20,,M. Chalmers enters the game for D. Wade
4:31.0,,,9-22,2,U. Haslem makes 2-pt shot from 2 ft (assist by N. Cole)
4:12.0,Turnover by T. Young (bad pass; steal by N. Cole),,9-22,,
4:04.0,,,9-25,3,L. Deng makes 3-pt shot from 24 ft (assist by N. Cole)
3:58.0,Minnesota full timeout,,9-25,,
3:58.0,C. Brewer enters the game for A. Wiggins,,9-25,,
3:58.0,M. Williams enters the game for Z. LaVine,,9-25,,
3:44.0,,,9-25,,Personal foul by U. Haslem (drawn by N. Pekovic)
3:28.0,T. Young misses 2-pt shot from 1 ft,,9-25,,
3:27.0,,,9-25,,Defensive rebound by U. Haslem
3:21.0,,,9-25,,S. Williams misses 2-pt shot at rim
3:20.0,Defensive rebound by T. Young,,9-25,,
3:14.0,T. Young makes 2-pt shot from 1 ft,2,11-25,,
2:58.0,,,11-25,,Turnover by L. Deng (bad pass; steal by C. Brewer)
2:58.0,,,11-25,,Personal foul by M. Chalmers (drawn by C. Brewer)
2:58.0,G. Dieng enters the game for N. Pekovic,,11-25,,
2:58.0,,,11-25,,C. Bosh enters the game for S. Williams
2:58.0,,,11-25,,J. McRoberts enters the game for U. Haslem
2:42.0,G. Dieng makes 2-pt shot from 15 ft,2,13-25,,
2:24.0,,,13-25,,C. Bosh misses 2-pt shot from 18 ft
2:23.0,Defensive rebound by C. Brewer,,13-25,,
2:06.0,T. Young misses 2-pt shot from 4 ft,,13-25,,
2:05.0,,,13-25,,Defensive rebound by J. McRoberts
1:58.0,,,13-25,,Turnover by M. Chalmers (step out of bounds)
1:58.0,,,13-25,,J. Ennis enters the game for L. Deng
1:58.0,,,13-25,,S. Napier enters the game for N. Cole
1:58.0,C. Budinger enters the game for K. Martin,,13-25,,
1:49.0,Offensive foul by G. Dieng,,13-25,,
1:49.0,Turnover by G. Dieng (offensive foul),,13-25,,
1:37.0,,,13-27,2,C. Bosh makes 2-pt shot from 19 ft
1:14.0,T. Young misses 2-pt shot from 17 ft,,13-27,,
1:13.0,,,13-27,,Defensive rebound by M. Chalmers
1:08.0,,,13-27,,S. Napier misses 2-pt shot from 19 ft
1:07.0,Defensive rebound by C. Budinger,,13-27,,
1:05.0,Turnover by M. Williams (bad pass; steal by M. Chalmers),,13-27,,
1:03.0,,,13-29,2,C. Bosh makes 2-pt shot from 1 ft (assist by J. Ennis)
0:46.0,C. Budinger misses 2-pt shot from 1 ft,,13-29,,
0:45.0,,,13-29,,Defensive rebound by J. Ennis
0:35.0,Personal foul by C. Brewer (drawn by M. Chalmers),,13-29,,
0:28.0,,,13-29,,Turnover by S. Napier (bad pass; steal by C. Brewer)
0:06.0,M. Williams misses 2-pt shot from 17 ft,,13-29,,
0:05.0,,,13-29,,Defensive rebound by J. McRoberts
0:00.0,,,13-29,,Turnover by M. Chalmers (lost ball)
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:52.0,Offensive foul by G. Dieng,,13-29,,
11:52.0,Turnover by G. Dieng (offensive foul),,13-29,,
11:35.0,,,13-29,,C. Bosh misses 2-pt shot from 19 ft
11:34.0,Defensive rebound by C. Brewer,,13-29,,
11:30.0,C. Brewer misses 2-pt shot from 1 ft,,13-29,,
11:29.0,Offensive rebound by G. Dieng,,13-29,,
11:28.0,G. Dieng makes 2-pt shot at rim,2,15-29,,
11:09.0,,,15-31,2,J. Ennis makes 2-pt shot from 20 ft (assist by M. Chalmers)
10:49.0,M. Williams makes 2-pt shot from 23 ft,2,17-31,,
10:41.0,,,17-34,3,J. McRoberts makes 3-pt shot from 24 ft (assist by M. Chalmers)
10:23.0,R. Hummel misses 3-pt shot from 24 ft,,17-34,,
10:22.0,,,17-34,,Defensive rebound by J. Ennis
10:14.0,,,17-34,,C. Bosh misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by M. Williams,,17-34,,
10:07.0,C. Budinger misses 2-pt shot at rim (block by M. Chalmers),,17-34,,
10:06.0,Offensive rebound by Team,,17-34,,
9:55.0,G. Dieng makes 2-pt shot from 1 ft (assist by M. Williams),2,19-34,,
9:34.0,,,19-34,,M. Chalmers misses 2-pt shot at rim
9:33.0,Defensive rebound by C. Budinger,,19-34,,
9:30.0,,,19-34,,Violation by C. Bosh (def goaltending)
9:30.0,C. Brewer makes 2-pt shot from 1 ft (assist by M. Williams),2,21-34,,
9:09.0,,,21-34,,M. Chalmers misses 2-pt shot from 16 ft
9:07.0,Defensive rebound by G. Dieng,,21-34,,
9:04.0,M. Williams misses 3-pt shot from 24 ft,,21-34,,
9:03.0,,,21-34,,Defensive rebound by J. McRoberts
8:50.0,,,21-34,,C. Bosh misses 2-pt shot from 14 ft
8:49.0,Defensive rebound by C. Budinger,,21-34,,
8:43.0,,,21-34,,Personal foul by J. McRoberts (drawn by C. Budinger)
8:43.0,Official timeout,,21-34,,
8:27.0,M. Williams misses 3-pt shot from 25 ft,,21-34,,
8:26.0,Offensive rebound by R. Hummel,,21-34,,
8:08.0,G. Dieng misses 2-pt shot from 8 ft,,21-34,,
8:07.0,,,21-34,,Defensive rebound by S. Napier
7:54.0,,,21-36,2,C. Bosh makes 2-pt shot from 12 ft
7:35.0,C. Budinger misses 3-pt shot from 23 ft,,21-36,,
7:34.0,,,21-36,,Defensive rebound by S. Napier
7:22.0,,,21-38,2,S. Napier makes 2-pt shot from 1 ft
7:13.0,C. Budinger misses 2-pt shot from 9 ft,,21-38,,
7:12.0,,,21-38,,Defensive rebound by J. McRoberts
7:06.0,,,21-38,,Turnover by M. Chalmers (bad pass; steal by M. Williams)
6:58.0,R. Hummel makes 2-pt shot from 20 ft (assist by M. Williams),2,23-38,,
6:58.0,,,23-38,,Miami full timeout
6:58.0,Z. LaVine enters the game for C. Brewer,,23-38,,
6:58.0,A. Wiggins enters the game for M. Williams,,23-38,,
6:58.0,K. Martin enters the game for C. Budinger,,23-38,,
6:58.0,,,23-38,,D. Wade enters the game for C. Bosh
6:58.0,,,23-38,,U. Haslem enters the game for J. McRoberts
6:58.0,,,23-38,,S. Williams enters the game for J. Ennis
6:40.0,,,23-38,,Shooting foul by A. Wiggins (drawn by D. Wade)
6:40.0,,,23-38,,D. Wade misses free throw 1 of 2
6:40.0,,,23-38,,Offensive rebound by Team
6:40.0,,,23-39,1,D. Wade makes free throw 2 of 2
6:30.0,,,23-39,,Personal foul by M. Chalmers (drawn by A. Wiggins)
6:30.0,,,23-39,,L. Deng enters the game for M. Chalmers
6:15.0,A. Wiggins misses 2-pt shot at rim,,23-39,,
6:14.0,,,23-39,,Defensive rebound by U. Haslem
6:02.0,,,23-39,,Turnover by S. Napier (bad pass; steal by Z. LaVine)
5:58.0,Shooting foul by U. Haslem (drawn by A. Wiggins),,23-39,,
5:58.0,A. Wiggins makes free throw 1 of 2,1,24-39,,
5:58.0,,,24-39,,N. Cole enters the game for S. Napier
5:58.0,,,24-39,,C. Bosh enters the game for U. Haslem
5:58.0,A. Wiggins makes free throw 2 of 2,1,25-39,,
5:41.0,,,25-39,,D. Wade misses 2-pt shot from 15 ft
5:40.0,Defensive rebound by Z. LaVine,,25-39,,
5:35.0,Z. LaVine misses 3-pt shot from 24 ft,,25-39,,
5:34.0,,,25-39,,Defensive rebound by Team
5:34.0,Loose ball foul by R. Hummel (drawn by L. Deng),,25-39,,
5:17.0,,,25-42,3,S. Williams makes 3-pt shot from 24 ft (assist by L. Deng)
4:58.0,R. Hummel misses 3-pt shot from 23 ft,,25-42,,
4:57.0,,,25-42,,Defensive rebound by L. Deng
4:49.0,,,25-42,,Shooting foul by K. Martin (drawn by D. Wade)
4:49.0,,,25-43,1,D. Wade makes free throw 1 of 2
4:49.0,T. Young enters the game for G. Dieng,,25-43,,
4:49.0,N. Pekovic enters the game for R. Hummel,,25-43,,
4:49.0,,,25-43,,D. Wade misses free throw 2 of 2
4:48.0,Defensive rebound by Z. LaVine,,25-43,,
4:31.0,K. Martin misses 2-pt shot from 19 ft,,25-43,,
4:30.0,Offensive rebound by N. Pekovic,,25-43,,
4:30.0,Shooting foul by S. Williams (drawn by N. Pekovic),,25-43,,
4:30.0,N. Pekovic makes free throw 1 of 2,1,26-43,,
4:30.0,N. Pekovic makes free throw 2 of 2,1,27-43,,
4:12.0,,,27-43,,S. Williams misses 3-pt shot from 24 ft
4:11.0,Defensive rebound by N. Pekovic,,27-43,,
4:02.0,Turnover by A. Wiggins (bad pass),,27-43,,
3:51.0,,,27-45,2,D. Wade makes 2-pt shot from 7 ft (assist by N. Cole)
3:28.0,A. Wiggins misses 2-pt shot from 19 ft,,27-45,,
3:27.0,,,27-45,,Defensive rebound by N. Cole
3:19.0,,,27-45,,S. Williams misses 3-pt shot from 25 ft
3:18.0,Defensive rebound by K. Martin,,27-45,,
3:08.0,Turnover by K. Martin (lost ball; steal by L. Deng),,27-45,,
3:04.0,,,27-47,2,N. Cole makes 2-pt shot at rim (assist by L. Deng)
3:03.0,Minnesota full timeout,,27-47,,
2:51.0,A. Wiggins makes 2-pt shot from 2 ft,2,29-47,,
2:51.0,Shooting foul by L. Deng (drawn by A. Wiggins),,29-47,,
2:51.0,A. Wiggins makes free throw 1 of 1,1,30-47,,
2:37.0,,,30-49,2,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade)
2:12.0,N. Pekovic makes 2-pt shot from 7 ft,2,32-49,,
1:56.0,,,32-49,,C. Bosh misses 2-pt shot from 19 ft
1:55.0,Defensive rebound by Z. LaVine,,32-49,,
1:51.0,T. Young makes 2-pt shot at rim (assist by Z. LaVine),2,34-49,,
1:51.0,Shooting foul by S. Williams (drawn by T. Young),,34-49,,
1:51.0,T. Young misses free throw 1 of 1,,34-49,,
1:49.0,Offensive rebound by T. Young,,34-49,,
1:48.0,T. Young makes 2-pt shot at rim,2,36-49,,
1:24.0,,,36-49,,L. Deng misses 2-pt shot from 4 ft
1:23.0,Defensive rebound by N. Pekovic,,36-49,,
1:16.0,Turnover by Z. LaVine (bad pass; steal by N. Cole),,36-49,,
1:11.0,,,36-51,2,D. Wade makes 2-pt shot at rim (assist by N. Cole)
0:53.0,N. Pekovic makes 2-pt shot from 5 ft (assist by A. Wiggins),2,38-51,,
0:36.0,,,38-53,2,N. Cole makes 2-pt shot from 11 ft (assist by D. Wade)
0:29.0,Z. LaVine makes 3-pt shot from 25 ft,3,41-53,,
0:10.0,,,41-53,,C. Bosh misses 2-pt shot from 18 ft
0:09.0,Defensive rebound by T. Young,,41-53,,
0:01.0,T. Young misses 3-pt shot from 24 ft,,41-53,,
0:00.0,Offensive rebound by Team,,41-53,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,Z. LaVine misses 2-pt shot from 8 ft,,41-53,,
11:47.0,Offensive rebound by N. Pekovic,,41-53,,
11:45.0,N. Pekovic makes 2-pt shot from 1 ft,2,43-53,,
11:26.0,,,43-55,2,D. Wade makes 2-pt shot from 2 ft
11:09.0,N. Pekovic makes 2-pt shot at rim (assist by T. Young),2,45-55,,
10:48.0,,,45-57,2,C. Bosh makes 2-pt shot from 8 ft
10:34.0,A. Wiggins misses 2-pt shot from 21 ft,,45-57,,
10:33.0,,,45-57,,Defensive rebound by C. Bosh
10:29.0,,,45-57,,Shooting foul by Z. LaVine (drawn by N. Cole)
10:29.0,,,45-58,1,N. Cole makes free throw 1 of 2
10:29.0,,,45-59,1,N. Cole makes free throw 2 of 2
10:10.0,A. Wiggins makes 2-pt shot from 2 ft,2,47-59,,
9:54.0,,,47-61,2,S. Williams makes 2-pt shot from 16 ft (assist by N. Cole)
9:40.0,N. Pekovic makes 2-pt shot from 9 ft,2,49-61,,
9:40.0,Shooting foul by N. Cole (drawn by N. Pekovic),,49-61,,
9:40.0,N. Pekovic makes free throw 1 of 1,1,50-61,,
9:25.0,,,50-63,2,D. Wade makes 2-pt shot from 8 ft (assist by C. Bosh)
9:09.0,Turnover by Z. LaVine (bad pass; steal by L. Deng),,50-63,,
8:57.0,,,50-63,,S. Williams misses 2-pt shot from 18 ft
8:56.0,Defensive rebound by N. Pekovic,,50-63,,
8:47.0,T. Young misses 2-pt shot from 11 ft,,50-63,,
8:46.0,,,50-63,,Defensive rebound by S. Williams
8:36.0,,,50-63,,Turnover by D. Wade (lost ball; steal by K. Martin)
8:20.0,T. Young makes 2-pt shot from 9 ft,2,52-63,,
8:00.0,,,52-65,2,D. Wade makes 2-pt shot from 1 ft (assist by L. Deng)
8:00.0,,,52-65,,Shooting foul by T. Young (drawn by D. Wade)
8:00.0,C. Brewer enters the game for K. Martin,,52-65,,
8:00.0,,,52-66,1,D. Wade makes free throw 1 of 1
7:47.0,T. Young misses 2-pt shot from 5 ft,,52-66,,
7:46.0,Offensive rebound by N. Pekovic,,52-66,,
7:45.0,N. Pekovic makes 2-pt shot from 2 ft,2,54-66,,
7:23.0,,,54-66,,N. Cole misses 3-pt shot from 23 ft
7:22.0,Defensive rebound by N. Pekovic,,54-66,,
7:18.0,,,54-66,,U. Haslem enters the game for C. Bosh
7:05.0,Z. LaVine misses 2-pt shot from 20 ft,,54-66,,
7:04.0,Offensive rebound by C. Brewer,,54-66,,
6:59.0,A. Wiggins misses 2-pt shot from 19 ft,,54-66,,
6:58.0,Offensive rebound by C. Brewer,,54-66,,
6:55.0,C. Brewer misses 2-pt shot from 12 ft,,54-66,,
6:54.0,,,54-66,,Defensive rebound by U. Haslem
6:52.0,,,54-66,,Turnover by D. Wade (bad pass)
6:39.0,T. Young misses 2-pt shot from 10 ft,,54-66,,
6:38.0,,,54-66,,Defensive rebound by S. Williams
6:22.0,Personal foul by C. Brewer (drawn by D. Wade),,54-66,,
6:22.0,G. Dieng enters the game for N. Pekovic,,54-66,,
6:09.0,,,54-66,,N. Cole misses 2-pt shot from 5 ft
6:08.0,Defensive rebound by G. Dieng,,54-66,,
6:02.0,A. Wiggins makes 2-pt shot at rim (assist by Z. LaVine),2,56-66,,
6:02.0,,,56-66,,Miami full timeout
5:40.0,,,56-68,2,D. Wade makes 2-pt shot from 11 ft
5:26.0,T. Young misses 2-pt shot from 1 ft,,56-68,,
5:25.0,Offensive rebound by T. Young,,56-68,,
5:24.0,T. Young makes 2-pt shot at rim,2,58-68,,
5:02.0,,,58-68,,L. Deng misses 2-pt shot from 16 ft
5:01.0,Defensive rebound by Z. LaVine,,58-68,,
4:51.0,A. Wiggins misses 2-pt shot from 17 ft,,58-68,,
4:50.0,,,58-68,,Defensive rebound by D. Wade
4:42.0,,,58-70,2,L. Deng makes 2-pt shot at rim (assist by D. Wade)
4:29.0,Turnover by C. Brewer (bad pass; steal by D. Wade),,58-70,,
4:23.0,Violation by G. Dieng (def goaltending),,58-70,,
4:23.0,,,58-72,2,L. Deng makes 2-pt shot from 1 ft (assist by D. Wade)
4:05.0,C. Brewer misses 2-pt shot from 18 ft,,58-72,,
4:04.0,,,58-72,,Defensive rebound by Team
4:04.0,Loose ball foul by G. Dieng (drawn by U. Haslem),,58-72,,
4:04.0,S. Muhammad enters the game for A. Wiggins,,58-72,,
4:04.0,,,58-72,,M. Chalmers enters the game for D. Wade
3:43.0,,,58-72,,U. Haslem misses 2-pt shot from 17 ft
3:42.0,Defensive rebound by Z. LaVine,,58-72,,
3:34.0,S. Muhammad makes 2-pt shot at rim,2,60-72,,
3:14.0,Personal foul by C. Brewer (drawn by M. Chalmers),,60-72,,
3:14.0,,,60-73,1,M. Chalmers makes free throw 1 of 2
3:14.0,,,60-73,,J. Ennis enters the game for L. Deng
3:14.0,,,60-74,1,M. Chalmers makes free throw 2 of 2
3:08.0,S. Muhammad misses 2-pt shot from 8 ft,,60-74,,
3:07.0,,,60-74,,Defensive rebound by U. Haslem
3:00.0,,,60-74,,Turnover by M. Chalmers (bad pass; steal by T. Young)
2:58.0,Turnover by T. Young (bad pass),,60-74,,
2:58.0,Minnesota full timeout,,60-74,,
2:32.0,,,60-74,,M. Chalmers misses 2-pt shot from 14 ft
2:31.0,Defensive rebound by G. Dieng,,60-74,,
2:18.0,Shooting foul by J. Ennis (drawn by G. Dieng),,60-74,,
2:18.0,G. Dieng makes free throw 1 of 2,1,61-74,,
2:18.0,G. Dieng makes free throw 2 of 2,1,62-74,,
2:09.0,,,62-76,2,U. Haslem makes 2-pt shot at rim (assist by M. Chalmers)
1:52.0,S. Muhammad misses 2-pt shot from 9 ft,,62-76,,
1:51.0,,,62-76,,Defensive rebound by U. Haslem
1:40.0,,,62-76,,U. Haslem misses 2-pt shot from 1 ft
1:39.0,Defensive rebound by C. Brewer,,62-76,,
1:27.0,C. Brewer misses 2-pt shot from 8 ft,,62-76,,
1:26.0,Offensive rebound by G. Dieng,,62-76,,
1:25.0,G. Dieng misses 2-pt shot at rim,,62-76,,
1:24.0,Offensive rebound by G. Dieng,,62-76,,
1:19.0,Shooting foul by M. Chalmers (drawn by G. Dieng),,62-76,,
1:19.0,G. Dieng makes free throw 1 of 2,1,63-76,,
1:19.0,M. Williams enters the game for Z. LaVine,,63-76,,
1:19.0,,,63-76,,C. Bosh enters the game for S. Williams
1:19.0,,,63-76,,S. Napier enters the game for N. Cole
1:19.0,G. Dieng makes free throw 2 of 2,1,64-76,,
0:59.0,,,64-78,2,C. Bosh makes 2-pt shot from 15 ft (assist by M. Chalmers)
0:44.0,G. Dieng makes 2-pt shot from 1 ft (assist by C. Brewer),2,66-78,,
0:35.0,,,66-80,2,C. Bosh makes 2-pt shot from 1 ft
0:18.0,C. Brewer misses 2-pt shot from 13 ft,,66-80,,
0:17.0,,,66-80,,Defensive rebound by U. Haslem
0:04.0,,,66-80,,Turnover by M. Chalmers (lost ball)
0:04.0,Z. LaVine enters the game for G. Dieng,,66-80,,
0:01.0,S. Muhammad makes 3-pt shot from 22 ft (assist by Z. LaVine),3,69-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,69-80,,Turnover by S. Napier (lost ball; steal by C. Brewer)
11:36.0,Turnover by C. Brewer (bad pass),,69-80,,
11:17.0,,,69-82,2,C. Bosh makes 2-pt shot from 11 ft
11:00.0,G. Dieng misses 2-pt shot from 16 ft,,69-82,,
10:59.0,Offensive rebound by C. Brewer,,69-82,,
10:56.0,C. Brewer makes 2-pt shot from 1 ft,2,71-82,,
10:35.0,,,71-82,,M. Chalmers misses 2-pt shot at rim (block by G. Dieng)
10:34.0,Defensive rebound by M. Williams,,71-82,,
10:30.0,Shooting foul by S. Napier (drawn by C. Brewer),,71-82,,
10:30.0,C. Brewer makes free throw 1 of 2,1,72-82,,
10:30.0,R. Hummel enters the game for T. Young,,72-82,,
10:30.0,C. Brewer misses free throw 2 of 2,,72-82,,
10:29.0,,,72-82,,Defensive rebound by C. Bosh
10:11.0,,,72-82,,Shooting foul by G. Dieng (drawn by C. Bosh)
10:11.0,,,72-83,1,C. Bosh makes free throw 1 of 2
10:11.0,N. Pekovic enters the game for G. Dieng,,72-83,,
10:11.0,,,72-84,1,C. Bosh makes free throw 2 of 2
10:03.0,Turnover by M. Williams (lost ball; steal by S. Napier),,72-84,,
9:57.0,,,72-86,2,J. Ennis makes 2-pt shot from 1 ft (assist by S. Napier)
9:57.0,Minnesota full timeout,,72-86,,
9:41.0,S. Muhammad misses 2-pt shot from 18 ft,,72-86,,
9:40.0,,,72-86,,Defensive rebound by J. McRoberts
9:33.0,,,72-86,,J. Ennis misses 2-pt shot from 21 ft
9:32.0,,,72-86,,Offensive rebound by S. Napier
9:25.0,,,72-86,,Turnover by J. McRoberts (lost ball; steal by M. Williams)
9:20.0,S. Muhammad makes 2-pt shot from 2 ft,2,74-86,,
8:53.0,,,74-88,2,C. Bosh makes 2-pt shot from 17 ft
8:39.0,,,74-88,,Personal foul by M. Chalmers (drawn by N. Pekovic)
8:30.0,M. Williams misses 2-pt shot from 19 ft,,74-88,,
8:29.0,Offensive rebound by S. Muhammad,,74-88,,
8:28.0,Shooting foul by S. Napier (drawn by S. Muhammad),,74-88,,
8:28.0,S. Muhammad misses free throw 1 of 2,,74-88,,
8:28.0,Offensive rebound by Team,,74-88,,
8:28.0,S. Muhammad misses free throw 2 of 2,,74-88,,
8:27.0,,,74-88,,Defensive rebound by J. Ennis
8:08.0,,,74-88,,C. Bosh misses 2-pt shot from 16 ft
8:07.0,,,74-88,,Offensive rebound by J. Ennis
8:04.0,,,74-88,,Shooting foul by N. Pekovic (drawn by J. Ennis)
8:04.0,,,74-89,1,J. Ennis makes free throw 1 of 2
8:04.0,,,74-90,1,J. Ennis makes free throw 2 of 2
7:52.0,S. Muhammad makes 2-pt shot from 7 ft (assist by M. Williams),2,76-90,,
7:34.0,Personal foul by S. Muhammad (drawn by S. Napier),,76-90,,
7:34.0,K. Martin enters the game for C. Brewer,,76-90,,
7:24.0,,,76-90,,J. McRoberts misses 3-pt shot from 25 ft
7:23.0,Defensive rebound by K. Martin,,76-90,,
7:16.0,,,76-90,,Personal foul by J. McRoberts (drawn by N. Pekovic)
7:16.0,,,76-90,,D. Wade enters the game for M. Chalmers
7:05.0,S. Muhammad makes 2-pt shot from 8 ft,2,78-90,,
6:39.0,,,78-90,,C. Bosh misses 2-pt shot from 3 ft
6:38.0,,,78-90,,Offensive rebound by C. Bosh
6:37.0,,,78-90,,C. Bosh misses 2-pt shot at rim
6:36.0,,,78-90,,Offensive rebound by C. Bosh
6:35.0,,,78-90,,C. Bosh misses 2-pt shot from 1 ft (block by R. Hummel)
6:34.0,Defensive rebound by N. Pekovic,,78-90,,
6:25.0,K. Martin misses 3-pt shot from 25 ft,,78-90,,
6:24.0,Offensive rebound by S. Muhammad,,78-90,,
6:21.0,S. Muhammad makes 2-pt shot from 8 ft,2,80-90,,
6:21.0,,,80-90,,Miami full timeout
6:21.0,,,80-90,,S. Williams enters the game for C. Bosh
6:21.0,,,80-90,,U. Haslem enters the game for J. McRoberts
6:21.0,,,80-90,,L. Deng enters the game for J. Ennis
6:01.0,,,80-90,,L. Deng misses 2-pt shot from 12 ft
6:00.0,,,80-90,,Offensive rebound by L. Deng
5:55.0,,,80-90,,S. Williams misses 3-pt shot from 22 ft
5:54.0,Defensive rebound by M. Williams,,80-90,,
5:44.0,S. Muhammad misses 2-pt shot from 12 ft,,80-90,,
5:43.0,,,80-90,,Defensive rebound by S. Napier
5:39.0,,,80-90,,Turnover by L. Deng (lost ball)
5:31.0,,,80-90,,Violation by S. Napier (kicked ball)
5:20.0,S. Muhammad misses 2-pt shot from 11 ft,,80-90,,
5:19.0,Offensive rebound by M. Williams,,80-90,,
5:14.0,K. Martin makes 3-pt shot from 25 ft (assist by M. Williams),3,83-90,,
4:53.0,,,83-90,,D. Wade misses 2-pt shot from 12 ft
4:52.0,Defensive rebound by R. Hummel,,83-90,,
4:49.0,Turnover by K. Martin (step out of bounds),,83-90,,
4:49.0,T. Young enters the game for R. Hummel,,83-90,,
4:49.0,,,83-90,,N. Cole enters the game for S. Napier
4:49.0,A. Wiggins enters the game for S. Muhammad,,83-90,,
4:37.0,,,83-90,,D. Wade misses 2-pt shot from 1 ft
4:36.0,Defensive rebound by A. Wiggins,,83-90,,
4:28.0,K. Martin makes 3-pt shot from 24 ft,3,86-90,,
4:28.0,,,86-90,,Miami full timeout
4:28.0,,,86-90,,C. Bosh enters the game for U. Haslem
4:09.0,,,86-90,,Shooting foul by T. Young (drawn by C. Bosh)
4:09.0,,,86-91,1,C. Bosh makes free throw 1 of 2
4:09.0,,,86-92,1,C. Bosh makes free throw 2 of 2
3:55.0,,,86-92,,Personal foul by S. Williams (drawn by N. Pekovic)
3:55.0,N. Pekovic makes free throw 1 of 2,1,87-92,,
3:55.0,N. Pekovic makes free throw 2 of 2,1,88-92,,
3:37.0,,,88-92,,S. Williams misses 3-pt shot from 23 ft
3:36.0,Defensive rebound by N. Pekovic,,88-92,,
3:25.0,N. Pekovic misses 2-pt shot from 4 ft,,88-92,,
3:24.0,Offensive rebound by T. Young,,88-92,,
3:23.0,T. Young misses 2-pt shot at rim,,88-92,,
3:22.0,,,88-92,,Defensive rebound by L. Deng
3:15.0,,,88-92,,C. Bosh misses 3-pt shot from 24 ft
3:14.0,,,88-92,,Offensive rebound by S. Williams
3:00.0,,,88-94,2,D. Wade makes 2-pt shot from 19 ft
2:47.0,,,88-94,,Personal foul by L. Deng (drawn by K. Martin)
2:47.0,K. Martin makes free throw 1 of 2,1,89-94,,
2:47.0,K. Martin makes free throw 2 of 2,1,90-94,,
2:25.0,,,90-96,2,C. Bosh makes 2-pt shot from 16 ft
