time,LA Clippers,pts.away,score,pts.home,Dallas
1:28.0,J. Crawford misses 2-pt shot from 7 ft,,89-78,,
1:27.0,Offensive rebound by D. Jordan,,89-78,,
1:27.0,D. Jordan misses 2-pt shot from 2 ft,,89-78,,
1:26.0,,,89-78,,Defensive rebound by C. Villanueva
1:23.0,,,89-78,,Turnover by R. Jefferson (bad pass)
1:06.0,J. Crawford makes 2-pt shot from 19 ft,2,91-78,,
0:52.0,,,91-78,,R. Felton misses 2-pt shot from 1 ft
0:52.0,,,91-78,,Offensive rebound by A. Aminu
0:52.0,,,91-80,2,A. Aminu makes 2-pt shot at rim
0:30.0,H. Turkoglu makes 3-pt shot from 25 ft (assist by C. Paul),3,94-80,,
0:06.0,,,94-80,,A. Aminu misses 3-pt shot from 24 ft
0:05.0,Defensive rebound by D. Jordan,,94-80,,
0:00.0,J. Crawford misses 3-pt shot from 24 ft,,94-80,,
0:00.0,Offensive rebound by Team,,94-80,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,94-80,,Turnover by R. Felton (lost ball; steal by D. Jordan)
11:35.0,A. Rivers misses 2-pt shot from 8 ft,,94-80,,
11:34.0,Offensive rebound by D. Jordan,,94-80,,
11:34.0,D. Jordan misses 2-pt shot from 2 ft,,94-80,,
11:33.0,,,94-80,,Defensive rebound by R. Jefferson
11:27.0,,,94-80,,R. Jefferson misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by D. Jordan,,94-80,,
11:04.0,J. Redick misses 2-pt shot from 19 ft,,94-80,,
11:03.0,Offensive rebound by D. Jordan,,94-80,,
10:54.0,Shooting foul by R. Jefferson (drawn by J. Crawford),,94-80,,
10:54.0,J. Crawford makes free throw 1 of 2,1,95-80,,
10:54.0,J. Crawford makes free throw 2 of 2,1,96-80,,
10:40.0,,,96-80,,R. Felton misses 2-pt shot from 18 ft
10:39.0,Defensive rebound by D. Jordan,,96-80,,
10:21.0,J. Redick misses 2-pt shot from 16 ft,,96-80,,
10:20.0,,,96-80,,Defensive rebound by D. Harris
10:07.0,,,96-80,,D. Powell misses 2-pt shot from 19 ft
10:06.0,Defensive rebound by A. Rivers,,96-80,,
9:52.0,D. Jordan makes 2-pt shot from 4 ft (assist by J. Crawford),2,98-80,,
9:52.0,Shooting foul by D. Harris (drawn by D. Jordan),,98-80,,
9:52.0,LA Clippers full timeout,,98-80,,
9:52.0,D. Jordan misses free throw 1 of 1,,98-80,,
9:51.0,,,98-80,,Defensive rebound by D. Powell
9:38.0,,,98-82,2,D. Nowitzki makes 2-pt shot from 9 ft (assist by R. Felton)
9:20.0,J. Crawford makes 2-pt shot from 20 ft,2,100-82,,
9:07.0,Personal foul by A. Rivers (drawn by R. Felton),,100-82,,
9:07.0,C. Paul enters the game for J. Redick,,100-82,,
9:07.0,,,100-82,,J. Barea enters the game for R. Felton
9:07.0,,,100-82,,C. Parsons enters the game for R. Jefferson
8:58.0,,,100-82,,J. Barea misses 2-pt shot from 7 ft (block by D. Jordan)
8:57.0,Defensive rebound by D. Jordan,,100-82,,
8:43.0,C. Paul misses 2-pt shot from 7 ft,,100-82,,
8:42.0,,,100-82,,Defensive rebound by D. Nowitzki
8:34.0,,,100-82,,D. Harris misses 3-pt shot from 24 ft
8:34.0,,,100-82,,Offensive rebound by D. Nowitzki
8:34.0,Loose ball foul by D. Jordan (drawn by D. Nowitzki),,100-82,,
8:24.0,,,100-82,,D. Nowitzki misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by H. Turkoglu,,100-82,,
8:17.0,J. Crawford misses 2-pt shot from 20 ft,,100-82,,
8:16.0,Offensive rebound by D. Jordan,,100-82,,
8:15.0,D. Jordan makes 2-pt shot from 1 ft,2,102-82,,
8:02.0,,,102-84,2,J. Barea makes 2-pt shot from 1 ft
7:42.0,,,102-84,,Personal block foul by D. Harris (drawn by J. Crawford)
7:30.0,A. Rivers misses 2-pt shot from 11 ft,,102-84,,
7:29.0,,,102-84,,Defensive rebound by D. Nowitzki
7:22.0,Personal foul by H. Turkoglu (drawn by D. Powell),,102-84,,
7:11.0,,,102-84,,D. Nowitzki misses 2-pt shot from 14 ft
7:09.0,Defensive rebound by D. Jordan,,102-84,,
7:06.0,,,102-84,,Personal block foul by J. Barea (drawn by J. Crawford)
7:05.0,,,102-84,,Personal foul by J. Barea (drawn by J. Crawford)
7:05.0,D. Jordan misses free throw 1 of 2,,102-84,,
7:05.0,Offensive rebound by Team,,102-84,,
7:05.0,D. Jordan makes free throw 2 of 2,1,103-84,,
