time,LA Lakers,pts.away,score,pts.home,Orlando
0:00.0,Offensive rebound by Team,,78-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,78-71,2,T. Harris makes 2-pt shot from 11 ft
11:45.0,,,78-71,,Violation by Team (delay of game)
11:21.0,J. Lin makes 2-pt shot from 18 ft,2,80-71,,
11:02.0,,,80-71,,A. Gordon misses 2-pt shot from 19 ft (block by E. Davis)
11:00.0,Defensive rebound by E. Davis,,80-71,,
10:55.0,,,80-71,,Personal foul by A. Gordon (drawn by J. Lin)
10:55.0,,,80-71,,W. Green enters the game for T. Harris
10:47.0,C. Boozer makes 2-pt shot from 8 ft (assist by J. Lin),2,82-71,,
10:34.0,,,82-74,3,E. Fournier makes 3-pt shot from 25 ft (assist by W. Green)
10:17.0,N. Young misses 3-pt shot from 22 ft,,82-74,,
10:17.0,,,82-74,,Defensive rebound by Team
10:17.0,Loose ball foul by E. Davis (drawn by E. Fournier),,82-74,,
9:56.0,,,82-76,2,A. Gordon makes 2-pt shot from 1 ft
9:34.0,C. Boozer misses 2-pt shot from 3 ft,,82-76,,
9:33.0,,,82-76,,Defensive rebound by E. Fournier
9:28.0,,,82-78,2,A. Gordon makes 2-pt shot at rim (assist by L. Ridnour)
9:27.0,LA Lakers full timeout,,82-78,,
9:06.0,C. Boozer misses 2-pt shot from 16 ft,,82-78,,
9:04.0,,,82-78,,Defensive rebound by L. Ridnour
8:45.0,,,82-80,2,A. Gordon makes 2-pt shot from 2 ft (assist by E. Fournier)
8:45.0,,,82-80,,Shooting foul by C. Boozer (drawn by A. Gordon)
8:45.0,,,82-81,1,A. Gordon makes free throw 1 of 1
8:28.0,N. Young misses 3-pt shot from 24 ft,,82-81,,
8:26.0,,,82-81,,Defensive rebound by A. Gordon
8:25.0,Personal foul by N. Young (drawn by A. Gordon),,82-81,,
8:13.0,,,82-84,3,W. Green makes 3-pt shot from 25 ft (assist by A. Gordon)
7:54.0,W. Ellington enters the game for N. Young,,82-84,,
7:54.0,Jump ball: E. Fournier vs. W. Johnson (K. O'Quinn gains possession),,,,Jump ball: E. Fournier vs. W. Johnson (K. O'Quinn gains possession)
7:54.0,Turnover by W. Johnson (lost ball; steal by E. Fournier),,82-84,,
7:43.0,,,82-86,2,W. Green makes 2-pt shot from 1 ft
7:25.0,Turnover by C. Boozer (lost ball; steal by E. Fournier),,82-86,,
7:20.0,,,82-86,,Turnover by L. Ridnour (bad pass)
7:03.0,E. Davis makes 2-pt shot from 4 ft (assist by C. Boozer),2,84-86,,
6:46.0,,,84-86,,Turnover by E. Fournier (lost ball; steal by C. Boozer)
6:44.0,,,84-86,,Personal take foul by W. Green (drawn by W. Johnson)
6:44.0,R. Sacre enters the game for E. Davis,,84-86,,
6:44.0,R. Kelly enters the game for C. Boozer,,84-86,,
6:44.0,,,84-86,,T. Harris enters the game for A. Gordon
6:43.0,W. Ellington makes technical free throw,1,85-86,,
6:30.0,W. Ellington misses 3-pt shot from 25 ft,,85-86,,
6:29.0,,,85-86,,Defensive rebound by T. Harris
6:13.0,,,85-86,,Turnover by W. Green (bad pass; steal by J. Lin)
5:59.0,R. Sacre makes 2-pt shot from 15 ft (assist by R. Kelly),2,87-86,,
5:59.0,,,87-86,,Orlando full timeout
5:59.0,,,87-86,,E. Payton enters the game for L. Ridnour
5:59.0,,,87-86,,N. Vucevic enters the game for K. O'Quinn
5:43.0,,,87-86,,E. Fournier misses 2-pt shot from 15 ft
5:41.0,Defensive rebound by J. Lin,,87-86,,
5:18.0,R. Kelly misses 2-pt shot from 8 ft,,87-86,,
5:16.0,,,87-86,,Defensive rebound by T. Harris
5:08.0,,,87-86,,N. Vucevic misses 2-pt shot from 17 ft
5:07.0,Defensive rebound by W. Ellington,,87-86,,
4:53.0,R. Sacre misses 2-pt shot from 10 ft,,87-86,,
4:50.0,Offensive rebound by R. Kelly,,87-86,,
4:50.0,R. Kelly misses 2-pt shot from 1 ft,,87-86,,
4:47.0,,,87-86,,Defensive rebound by W. Green
4:35.0,,,87-86,,N. Vucevic misses 2-pt shot from 7 ft
4:33.0,Defensive rebound by R. Sacre,,87-86,,
4:17.0,,,87-86,,Personal foul by N. Vucevic (drawn by J. Lin)
4:17.0,,,87-86,,V. Oladipo enters the game for E. Fournier
