time,Memphis,pts.away,score,pts.home,Chicago
3:26.0,,,67-58,,Turnover by P. Gasol (lost ball; steal by T. Allen)
3:12.0,M. Gasol misses 2-pt shot from 22 ft,,67-58,,
3:10.0,Offensive rebound by B. Udrih,,67-58,,
3:03.0,C. Lee misses 2-pt shot from 3 ft,,67-58,,
3:02.0,,,67-58,,Defensive rebound by T. Snell
2:51.0,,,67-58,,P. Gasol misses 2-pt shot from 2 ft
2:50.0,Defensive rebound by M. Gasol,,67-58,,
2:40.0,,,67-58,,Personal foul by P. Gasol (drawn by M. Gasol)
2:40.0,,,67-58,,K. Hinrich enters the game for A. Brooks
2:40.0,,,67-58,,E. Moore enters the game for M. Dunleavy
2:29.0,Z. Randolph makes 2-pt shot from 3 ft,2,69-58,,
2:10.0,,,69-61,3,T. Snell makes 3-pt shot from 25 ft (assist by P. Gasol)
1:49.0,C. Lee misses 3-pt shot from 25 ft,,69-61,,
1:48.0,,,69-61,,Defensive rebound by P. Gasol
1:34.0,,,69-61,,E. Moore misses 2-pt shot from 3 ft
1:32.0,Defensive rebound by B. Udrih,,69-61,,
1:26.0,Turnover by B. Udrih (bad pass; steal by T. Snell),,69-61,,
1:21.0,,,69-61,,T. Snell misses 2-pt shot from 2 ft
1:20.0,,,69-61,,Offensive rebound by P. Gasol
1:20.0,,,69-63,2,P. Gasol makes 2-pt shot from 1 ft
1:19.0,Memphis full timeout,,69-63,,
1:19.0,V. Carter enters the game for C. Lee,,69-63,,
1:19.0,,,69-63,,N. Mirotic enters the game for N. Mohammed
1:07.0,B. Udrih misses 2-pt shot from 2 ft,,69-63,,
1:05.0,Offensive rebound by Z. Randolph,,69-63,,
1:05.0,Z. Randolph makes 2-pt shot from 1 ft,2,71-63,,
0:47.0,,,71-65,2,E. Moore makes 2-pt shot from 13 ft
0:37.0,T. Allen makes 2-pt shot from 2 ft (assist by B. Udrih),2,73-65,,
0:29.0,Personal foul by Z. Randolph (drawn by P. Gasol),,73-65,,
0:29.0,J. Green enters the game for Z. Randolph,,73-65,,
0:17.0,,,73-65,,E. Moore misses 2-pt shot from 20 ft
0:16.0,Defensive rebound by J. Green,,73-65,,
0:01.0,J. Green misses 3-pt shot from 25 ft,,73-65,,
0:00.0,,,73-65,,Defensive rebound by P. Gasol
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,,,73-65,,Turnover by J. Noah (bad pass; steal by V. Carter)
11:23.0,M. Gasol makes 2-pt shot from 11 ft,2,75-65,,
11:07.0,,,75-65,,E. Moore misses 3-pt shot from 23 ft
11:06.0,Defensive rebound by V. Carter,,75-65,,
10:53.0,J. Green makes 2-pt shot from 2 ft,2,77-65,,
10:30.0,,,77-65,,N. Mirotic misses 2-pt shot from 17 ft
10:28.0,Defensive rebound by M. Gasol,,77-65,,
10:26.0,Shooting foul by K. Hinrich (drawn by T. Allen),,77-65,,
10:26.0,T. Allen makes free throw 1 of 2,1,78-65,,
10:26.0,K. Koufos enters the game for M. Gasol,,78-65,,
10:26.0,T. Allen misses free throw 2 of 2,,78-65,,
10:24.0,,,78-65,,Defensive rebound by N. Mirotic
10:15.0,,,78-67,2,N. Mirotic makes 2-pt shot from 1 ft
10:15.0,,,78-67,,Shooting foul by K. Koufos (drawn by N. Mirotic)
10:15.0,,,78-68,1,N. Mirotic makes free throw 1 of 1
9:58.0,T. Allen misses 2-pt shot from 6 ft,,78-68,,
9:57.0,,,78-68,,Defensive rebound by N. Mirotic
9:48.0,,,78-70,2,K. Hinrich makes 2-pt shot from 2 ft
9:47.0,Memphis full timeout,,78-70,,
9:33.0,Shooting foul by J. Noah (drawn by K. Koufos),,78-70,,
9:33.0,K. Koufos misses free throw 1 of 2,,78-70,,
9:33.0,Offensive rebound by Team,,78-70,,
9:33.0,K. Koufos misses free throw 2 of 2,,78-70,,
9:31.0,,,78-70,,Defensive rebound by N. Mirotic
9:20.0,,,78-72,2,N. Mirotic makes 2-pt shot from 1 ft
8:58.0,B. Udrih misses 2-pt shot from 16 ft,,78-72,,
8:57.0,,,78-72,,Defensive rebound by N. Mirotic
8:48.0,,,78-75,3,T. Snell makes 3-pt shot from 25 ft (assist by N. Mirotic)
8:29.0,K. Koufos makes 2-pt shot from 6 ft (assist by B. Udrih),2,80-75,,
8:09.0,,,80-78,3,T. Snell makes 3-pt shot from 24 ft (assist by J. Noah)
7:47.0,V. Carter makes 2-pt shot from 16 ft,2,82-78,,
7:27.0,,,82-80,2,N. Mirotic makes 2-pt shot from 2 ft (assist by K. Hinrich)
7:13.0,Turnover by V. Carter (bad pass; steal by T. Snell),,82-80,,
7:10.0,,,82-82,2,T. Snell makes 2-pt shot at rim
7:09.0,Memphis full timeout,,82-82,,
7:09.0,M. Gasol enters the game for V. Carter,,82-82,,
7:09.0,J. Green enters the game for B. Udrih,,82-82,,
7:09.0,M. Conley enters the game for K. Koufos,,82-82,,
6:51.0,M. Gasol makes 2-pt shot from 18 ft (assist by M. Conley),2,84-82,,
6:30.0,,,84-85,3,K. Hinrich makes 3-pt shot from 24 ft (assist by J. Noah)
6:17.0,Turnover by M. Gasol (bad pass; steal by N. Mirotic),,84-85,,
5:58.0,,,84-88,3,T. Snell makes 3-pt shot from 24 ft (assist by J. Noah)
5:34.0,M. Conley misses 3-pt shot from 24 ft,,84-88,,
5:33.0,,,84-88,,Defensive rebound by N. Mirotic
5:32.0,,,84-88,,Turnover by N. Mirotic (bad pass; steal by J. Green)
5:25.0,J. Green misses 2-pt shot from 10 ft,,84-88,,
5:24.0,Offensive rebound by J. Green,,84-88,,
5:14.0,T. Allen misses 2-pt shot from 2 ft,,84-88,,
5:14.0,Offensive rebound by J. Green,,84-88,,
5:14.0,Shooting foul by N. Mirotic (drawn by J. Green),,84-88,,
5:14.0,J. Green makes free throw 1 of 2,1,85-88,,
5:14.0,,,85-88,,A. Brooks enters the game for T. Snell
5:14.0,J. Green misses free throw 2 of 2,,85-88,,
5:11.0,,,85-88,,Defensive rebound by N. Mirotic
4:57.0,,,85-88,,Turnover by E. Moore (lost ball; steal by M. Conley)
4:51.0,M. Conley misses 2-pt shot from 3 ft,,85-88,,
4:50.0,,,85-88,,Defensive rebound by J. Noah
4:50.0,Personal foul by T. Allen (drawn by J. Noah),,85-88,,
4:50.0,Z. Randolph enters the game for J. Green,,85-88,,
4:37.0,,,85-88,,J. Noah misses 2-pt shot from 2 ft
4:36.0,Defensive rebound by J. Green,,85-88,,
4:23.0,J. Green makes 3-pt shot from 23 ft (assist by M. Gasol),3,88-88,,
4:23.0,,,88-88,,Chicago full timeout
4:23.0,,,88-88,,P. Gasol enters the game for J. Noah
4:23.0,,,88-88,,T. Snell enters the game for K. Hinrich
3:56.0,,,88-88,,A. Brooks misses 3-pt shot from 25 ft
3:55.0,Defensive rebound by T. Allen,,88-88,,
3:36.0,Shooting foul by P. Gasol (drawn by Z. Randolph),,88-88,,
3:36.0,Z. Randolph makes free throw 1 of 2,1,89-88,,
3:36.0,Z. Randolph makes free throw 2 of 2,1,90-88,,
3:23.0,,,90-88,,T. Snell misses 3-pt shot from 23 ft
3:22.0,Defensive rebound by Z. Randolph,,90-88,,
3:04.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol),2,92-88,,
2:42.0,,,92-88,,P. Gasol misses 2-pt shot from 11 ft
2:40.0,Defensive rebound by J. Green,,92-88,,
2:26.0,M. Gasol misses 2-pt shot from 9 ft,,92-88,,
2:25.0,Offensive rebound by Z. Randolph,,92-88,,
2:23.0,Z. Randolph misses 2-pt shot from 1 ft (block by P. Gasol),,92-88,,
2:22.0,Offensive rebound by T. Allen,,92-88,,
2:07.0,M. Conley makes 2-pt shot from 3 ft,2,94-88,,
2:06.0,,,94-88,,Chicago full timeout
2:06.0,,,94-88,,J. Noah enters the game for E. Moore
2:04.0,M. Conley makes technical free throw,1,95-88,,
1:52.0,Turnover by M. Gasol (traveling),,95-88,,
1:45.0,,,95-91,3,N. Mirotic makes 3-pt shot from 26 ft (assist by T. Snell)
1:28.0,Shooting foul by A. Brooks (drawn by M. Conley),,95-91,,
1:28.0,M. Conley makes free throw 1 of 2,1,96-91,,
1:28.0,M. Conley makes free throw 2 of 2,1,97-91,,
1:17.0,,,97-91,,N. Mirotic misses 2-pt shot from 4 ft
1:16.0,Defensive rebound by J. Green,,97-91,,
1:15.0,,,97-91,,Personal take foul by J. Noah (drawn by J. Green)
1:15.0,J. Green makes free throw 1 of 2,1,98-91,,
1:15.0,J. Green makes free throw 2 of 2,1,99-91,,
0:54.0,,,99-91,,Turnover by A. Brooks (bad pass; steal by M. Conley)
0:50.0,T. Allen makes 2-pt shot at rim (assist by M. Conley),2,101-91,,
0:39.0,,,101-91,,N. Mirotic misses 2-pt shot from 20 ft
0:37.0,Defensive rebound by Z. Randolph,,101-91,,
0:16.0,Turnover by M. Gasol (bad pass; steal by J. Noah),,101-91,,
0:07.0,,,101-91,,T. Snell misses 3-pt shot from 25 ft
0:06.0,Defensive rebound by M. Conley,,101-91,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
