time,Charlotte,pts.away,score,pts.home,New York
7:18.0,Jump ball: M. Kidd-Gilchrist vs. S. Larkin (K. Walker gains possession),,,,Jump ball: M. Kidd-Gilchrist vs. S. Larkin (K. Walker gains possession)
7:05.0,A. Jefferson makes 2-pt shot from 1 ft,2,7-15,,
6:52.0,,,7-17,2,I. Shumpert makes 2-pt shot from 14 ft (assist by S. Dalembert)
6:41.0,,,7-17,,Personal foul by I. Shumpert (drawn by L. Stephenson)
6:41.0,,,7-17,,J. Smith enters the game for I. Shumpert
6:29.0,M. Kidd-Gilchrist misses 2-pt shot from 10 ft,,7-17,,
6:28.0,,,7-17,,Defensive rebound by Team
6:19.0,,,7-17,,Q. Acy misses 2-pt shot from 21 ft
6:18.0,Defensive rebound by M. Kidd-Gilchrist,,7-17,,
6:01.0,K. Walker makes 3-pt shot from 25 ft (assist by L. Stephenson),3,10-17,,
5:49.0,,,10-20,3,J. Smith makes 3-pt shot from 24 ft (assist by S. Larkin)
5:35.0,K. Walker misses 3-pt shot from 24 ft,,10-20,,
5:34.0,Offensive rebound by M. Williams,,10-20,,
5:21.0,A. Jefferson misses 2-pt shot from 17 ft,,10-20,,
5:20.0,,,10-20,,Defensive rebound by Q. Acy
5:13.0,,,10-20,,Turnover by S. Dalembert (bad pass)
5:07.0,,,10-20,,Personal foul by S. Dalembert (drawn by A. Jefferson)
4:56.0,Turnover by A. Jefferson (bad pass; steal by S. Larkin),,10-20,,
4:51.0,,,10-20,,S. Larkin misses 2-pt shot from 1 ft
4:49.0,Defensive rebound by M. Kidd-Gilchrist,,10-20,,
4:43.0,K. Walker makes 2-pt shot from 18 ft,2,12-20,,
4:25.0,,,12-22,2,C. Anthony makes 2-pt shot from 13 ft
4:11.0,M. Williams misses 3-pt shot from 23 ft,,12-22,,
4:10.0,,,12-22,,Defensive rebound by J. Smith
4:05.0,,,12-22,,A. Stoudemire enters the game for S. Dalembert
4:05.0,,,12-22,,J. Smith enters the game for Q. Acy
4:05.0,C. Zeller enters the game for M. Williams,,12-22,,
3:57.0,,,12-22,,J. Smith misses 2-pt shot from 20 ft
3:55.0,,,12-22,,Offensive rebound by Team
3:55.0,G. Neal enters the game for L. Stephenson,,12-22,,
3:55.0,J. Maxiell enters the game for A. Jefferson,,12-22,,
3:49.0,,,12-24,2,J. Smith makes 2-pt shot from 17 ft
3:28.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by C. Zeller),2,14-24,,
3:10.0,,,14-24,,Turnover by C. Anthony (lost ball; steal by M. Kidd-Gilchrist)
3:05.0,,,14-24,,P. Prigioni enters the game for S. Larkin
2:54.0,M. Kidd-Gilchrist makes 2-pt shot from 19 ft (assist by C. Zeller),2,16-24,,
2:43.0,,,16-24,,J. Smith misses 3-pt shot from 24 ft
2:42.0,Defensive rebound by M. Kidd-Gilchrist,,16-24,,
2:38.0,Shooting foul by P. Prigioni (drawn by M. Kidd-Gilchrist),,16-24,,
2:38.0,,,16-24,,New York full timeout
2:38.0,,,16-24,,T. Hardaway enters the game for C. Anthony
2:38.0,M. Kidd-Gilchrist misses free throw 1 of 2,,16-24,,
2:38.0,Offensive rebound by Team,,16-24,,
2:38.0,M. Kidd-Gilchrist misses free throw 2 of 2,,16-24,,
2:37.0,,,16-24,,Defensive rebound by A. Stoudemire
2:26.0,,,16-24,,Shooting foul by J. Maxiell (drawn by A. Stoudemire)
2:26.0,,,16-24,,A. Stoudemire misses free throw 1 of 2
2:26.0,,,16-24,,Offensive rebound by Team
2:26.0,G. Henderson enters the game for M. Kidd-Gilchrist,,16-24,,
2:26.0,,,16-25,1,A. Stoudemire makes free throw 2 of 2
2:07.0,G. Henderson misses 2-pt shot from 20 ft,,16-25,,
2:06.0,,,16-25,,Defensive rebound by P. Prigioni
1:54.0,,,16-25,,A. Stoudemire misses 2-pt shot from 4 ft
1:53.0,,,16-25,,Offensive rebound by A. Stoudemire
1:52.0,,,16-27,2,A. Stoudemire makes 2-pt shot from 4 ft
1:52.0,,,16-27,,Shooting foul by J. Maxiell (drawn by A. Stoudemire)
1:52.0,B. Roberts enters the game for K. Walker,,16-27,,
1:52.0,,,16-27,,A. Stoudemire misses free throw 1 of 1
1:51.0,Defensive rebound by C. Zeller,,16-27,,
1:33.0,Shooting foul by J. Smith (drawn by G. Henderson),,16-27,,
1:33.0,G. Henderson makes free throw 1 of 2,1,17-27,,
1:33.0,G. Henderson makes free throw 2 of 2,1,18-27,,
1:10.0,,,18-27,,T. Hardaway misses 3-pt shot from 29 ft
1:09.0,Defensive rebound by B. Roberts,,18-27,,
1:00.0,B. Roberts misses 2-pt shot from 6 ft,,18-27,,
0:59.0,,,18-27,,Defensive rebound by T. Hardaway
0:38.0,,,18-29,2,J. Smith makes 2-pt shot from 19 ft (assist by J. Smith)
0:25.0,G. Neal makes 3-pt shot from 25 ft (assist by B. Roberts),3,21-29,,
0:08.0,,,21-29,,A. Stoudemire misses 2-pt shot from 1 ft (block by C. Zeller)
0:07.0,Defensive rebound by G. Henderson,,21-29,,
0:00.0,G. Henderson misses 3-pt shot from 25 ft,,21-29,,
0:00.0,Offensive rebound by Team,,21-29,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Shooting foul by J. Smith (drawn by G. Neal),,21-29,,
11:50.0,G. Neal makes free throw 1 of 2,1,22-29,,
11:50.0,G. Neal makes free throw 2 of 2,1,23-29,,
11:34.0,,,23-31,2,J. Smith makes 2-pt shot from 6 ft
11:34.0,,,23-31,,Shooting foul by G. Neal (drawn by J. Smith)
11:34.0,,,23-31,,J. Smith misses free throw 1 of 1
11:33.0,Defensive rebound by J. Maxiell,,23-31,,
11:16.0,G. Neal misses 2-pt shot from 19 ft,,23-31,,
11:15.0,,,23-31,,Defensive rebound by Team
10:56.0,,,23-31,,P. Prigioni misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by C. Zeller,,23-31,,
10:37.0,J. Maxiell makes 2-pt shot at rim (assist by B. Roberts),2,25-31,,
10:26.0,,,25-34,3,T. Hardaway makes 3-pt shot from 24 ft (assist by P. Prigioni)
10:12.0,B. Roberts misses 2-pt shot from 17 ft,,25-34,,
10:11.0,,,25-34,,Defensive rebound by J. Smith
9:59.0,,,25-36,2,A. Stoudemire makes 2-pt shot from 19 ft (assist by J. Smith)
9:47.0,G. Neal misses 2-pt shot from 19 ft,,25-36,,
9:46.0,,,25-36,,Defensive rebound by A. Stoudemire
9:33.0,,,25-36,,A. Stoudemire misses 2-pt shot from 6 ft
9:32.0,,,25-36,,Offensive rebound by J. Smith
9:23.0,,,25-36,,Turnover by J. Smith (bad pass; steal by B. Roberts)
9:17.0,G. Neal makes 3-pt shot from 24 ft (assist by B. Roberts),3,28-36,,
9:10.0,,,28-36,,New York full timeout
9:10.0,L. Stephenson enters the game for C. Zeller,,28-36,,
9:10.0,A. Jefferson enters the game for G. Neal,,28-36,,
9:10.0,M. Williams enters the game for J. Maxiell,,28-36,,
9:10.0,,,28-36,,S. Larkin enters the game for J. Smith
9:10.0,,,28-36,,S. Dalembert enters the game for T. Hardaway
9:04.0,,,28-36,,A. Stoudemire misses 2-pt shot from 2 ft
9:03.0,,,28-36,,Offensive rebound by A. Stoudemire
9:03.0,,,28-36,,A. Stoudemire misses 2-pt shot from 2 ft
9:02.0,Defensive rebound by B. Roberts,,28-36,,
8:45.0,G. Henderson misses 2-pt shot from 7 ft,,28-36,,
8:44.0,,,28-36,,Defensive rebound by S. Dalembert
8:33.0,Personal foul by L. Stephenson (drawn by J. Smith),,28-36,,
8:31.0,,,28-36,,Turnover by J. Smith (bad pass; steal by L. Stephenson)
8:23.0,Turnover by L. Stephenson (bad pass),,28-36,,
8:03.0,,,28-38,2,A. Stoudemire makes 2-pt shot from 17 ft
7:50.0,Turnover by A. Jefferson (traveling),,28-38,,
7:31.0,,,28-38,,Turnover by S. Larkin (bad pass; steal by B. Roberts)
7:30.0,,,28-38,,Personal foul by A. Stoudemire (drawn by G. Henderson)
7:30.0,,,28-38,,Q. Acy enters the game for A. Stoudemire
7:13.0,A. Jefferson misses 2-pt shot from 6 ft,,28-38,,
7:11.0,,,28-38,,Defensive rebound by J. Smith
6:58.0,,,28-41,3,P. Prigioni makes 3-pt shot from 24 ft
6:44.0,G. Henderson misses 2-pt shot from 9 ft,,28-41,,
6:43.0,,,28-41,,Defensive rebound by S. Dalembert
6:29.0,,,28-41,,J. Smith misses 3-pt shot from 23 ft
6:28.0,Defensive rebound by M. Williams,,28-41,,
6:21.0,,,28-41,,Personal foul by S. Dalembert (drawn by A. Jefferson)
6:21.0,,,28-41,,C. Anthony enters the game for P. Prigioni
6:21.0,K. Walker enters the game for B. Roberts,,28-41,,
6:21.0,,,28-41,,I. Shumpert enters the game for J. Smith
6:05.0,G. Henderson misses 3-pt shot from 22 ft,,28-41,,
6:04.0,,,28-41,,Defensive rebound by Team
5:47.0,,,28-43,2,I. Shumpert makes 2-pt shot at rim (assist by C. Anthony)
5:41.0,Charlotte full timeout,,28-43,,
5:41.0,G. Neal enters the game for G. Henderson,,28-43,,
5:25.0,M. Williams makes 2-pt shot from 20 ft (assist by L. Stephenson),2,30-43,,
5:09.0,,,30-43,,C. Anthony misses 3-pt shot from 24 ft
5:08.0,Defensive rebound by G. Neal,,30-43,,
4:59.0,M. Williams misses 3-pt shot from 24 ft,,30-43,,
4:58.0,,,30-43,,Defensive rebound by Q. Acy
4:37.0,,,30-45,2,C. Anthony makes 2-pt shot from 1 ft
4:23.0,A. Jefferson makes 2-pt shot from 5 ft,2,32-45,,
4:11.0,,,32-45,,C. Anthony misses 2-pt shot from 11 ft
4:09.0,Defensive rebound by M. Williams,,32-45,,
4:00.0,K. Walker misses 3-pt shot from 23 ft,,32-45,,
3:59.0,Offensive rebound by G. Neal,,32-45,,
3:53.0,,,32-45,,Def 3 sec tech foul by I. Shumpert
3:53.0,G. Neal makes technical free throw,1,33-45,,
3:53.0,C. Zeller enters the game for M. Williams,,33-45,,
3:53.0,,,33-45,,J. Smith enters the game for Q. Acy
3:46.0,A. Jefferson makes 2-pt shot from 4 ft (assist by L. Stephenson),2,35-45,,
3:25.0,,,35-45,,S. Larkin misses 2-pt shot from 8 ft
3:24.0,Defensive rebound by L. Stephenson,,35-45,,
3:01.0,A. Jefferson makes 2-pt shot from 5 ft,2,37-45,,
2:53.0,Personal foul by A. Jefferson (drawn by S. Dalembert),,37-45,,
2:53.0,Official timeout,,37-45,,
2:53.0,,,37-45,,C. Aldrich enters the game for S. Dalembert
2:43.0,,,37-45,,Shooting foul by K. Walker (drawn by S. Larkin)
2:43.0,,,37-46,1,S. Larkin makes free throw 1 of 2
2:43.0,,,37-47,1,S. Larkin makes free throw 2 of 2
2:28.0,L. Stephenson makes 2-pt shot from 2 ft,2,39-47,,
2:14.0,Def 3 sec tech foul by C. Zeller,,39-47,,
2:14.0,,,39-48,1,C. Anthony makes technical free throw
2:14.0,,,39-48,,J. Smith enters the game for I. Shumpert
2:08.0,,,39-50,2,S. Larkin makes 2-pt shot from 15 ft
1:52.0,C. Zeller makes 2-pt shot from 21 ft (assist by L. Stephenson),2,41-50,,
1:43.0,,,41-50,,Turnover by J. Smith (bad pass; steal by L. Stephenson)
1:29.0,Shooting foul by C. Aldrich (drawn by K. Walker),,41-50,,
1:29.0,K. Walker makes free throw 1 of 2,1,42-50,,
1:29.0,K. Walker makes free throw 2 of 2,1,43-50,,
1:16.0,,,43-50,,S. Larkin misses 2-pt shot from 20 ft
1:14.0,Defensive rebound by A. Jefferson,,43-50,,
1:03.0,G. Neal makes 3-pt shot from 25 ft (assist by C. Zeller),3,46-50,,
0:50.0,,,46-52,2,J. Smith makes 2-pt shot from 14 ft (assist by S. Larkin)
0:40.0,,,46-52,,Personal foul by J. Smith (drawn by A. Jefferson)
0:40.0,A. Jefferson makes free throw 1 of 2,1,47-52,,
0:40.0,A. Jefferson makes free throw 2 of 2,1,48-52,,
0:40.0,,,48-52,,New York full timeout
0:36.0,,,48-52,,J. Smith misses 2-pt shot from 22 ft
0:34.0,Defensive rebound by L. Stephenson,,48-52,,
0:25.0,L. Stephenson misses 2-pt shot from 2 ft,,48-52,,
0:24.0,Offensive rebound by A. Jefferson,,48-52,,
0:24.0,A. Jefferson makes 2-pt shot from 1 ft,2,50-52,,
0:03.0,,,50-52,,J. Smith misses 2-pt shot from 10 ft
0:02.0,Defensive rebound by C. Zeller,,50-52,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,Shooting foul by Q. Acy (drawn by L. Stephenson),,50-52,,
11:50.0,L. Stephenson makes free throw 1 of 2,1,51-52,,
11:50.0,L. Stephenson makes free throw 2 of 2,1,52-52,,
11:34.0,,,52-54,2,S. Larkin makes 2-pt shot from 19 ft (assist by I. Shumpert)
11:12.0,A. Jefferson makes 2-pt shot from 12 ft (assist by G. Neal),2,54-54,,
10:51.0,,,54-54,,C. Anthony misses 2-pt shot from 9 ft
10:50.0,Defensive rebound by Team,,54-54,,
10:50.0,,,54-54,,Loose ball foul by S. Dalembert (drawn by M. Williams)
10:33.0,Shooting foul by S. Dalembert (drawn by A. Jefferson),,54-54,,
10:33.0,A. Jefferson makes free throw 1 of 2,1,55-54,,
10:33.0,,,55-54,,A. Stoudemire enters the game for S. Dalembert
10:33.0,A. Jefferson misses free throw 2 of 2,,55-54,,
10:33.0,,,55-54,,Defensive rebound by A. Stoudemire
10:13.0,,,55-56,2,A. Stoudemire makes 2-pt shot from 6 ft
9:55.0,A. Jefferson makes 2-pt shot from 7 ft,2,57-56,,
9:43.0,,,57-58,2,Q. Acy makes 2-pt shot from 6 ft (assist by I. Shumpert)
9:27.0,A. Jefferson makes 2-pt shot from 3 ft,2,59-58,,
9:10.0,,,59-58,,Q. Acy misses 2-pt shot from 20 ft
9:09.0,,,59-58,,Offensive rebound by A. Stoudemire
9:02.0,,,59-58,,S. Larkin misses 3-pt shot from 25 ft
9:01.0,Defensive rebound by A. Jefferson,,59-58,,
8:52.0,K. Walker makes 2-pt shot at rim,2,61-58,,
8:33.0,,,61-60,2,C. Anthony makes 2-pt shot from 1 ft (assist by Q. Acy)
8:13.0,A. Jefferson misses 2-pt shot from 8 ft,,61-60,,
8:12.0,,,61-60,,Defensive rebound by A. Stoudemire
8:07.0,,,61-62,2,C. Anthony makes 2-pt shot from 21 ft (assist by S. Larkin)
7:41.0,A. Jefferson misses 2-pt shot from 19 ft,,61-62,,
7:40.0,,,61-62,,Defensive rebound by Q. Acy
7:27.0,,,61-64,2,A. Stoudemire makes 2-pt shot from 4 ft
7:10.0,Shooting foul by S. Larkin (drawn by K. Walker),,61-64,,
7:10.0,K. Walker makes free throw 1 of 2,1,62-64,,
7:10.0,,,62-64,,C. Aldrich enters the game for Q. Acy
7:10.0,K. Walker makes free throw 2 of 2,1,63-64,,
6:55.0,Violation by K. Walker (kicked ball),,63-64,,
6:49.0,,,63-64,,I. Shumpert misses 2-pt shot from 18 ft
6:48.0,,,63-64,,Offensive rebound by C. Aldrich
6:42.0,,,63-64,,I. Shumpert misses 3-pt shot from 24 ft
6:41.0,Defensive rebound by K. Walker,,63-64,,
6:27.0,Shooting foul by I. Shumpert (drawn by A. Jefferson),,63-64,,
6:27.0,A. Jefferson misses free throw 1 of 2,,63-64,,
6:27.0,Offensive rebound by Team,,63-64,,
6:27.0,A. Jefferson misses free throw 2 of 2,,63-64,,
6:26.0,,,63-64,,Defensive rebound by S. Larkin
6:11.0,Personal foul by L. Stephenson (drawn by S. Larkin),,63-64,,
5:58.0,,,63-66,2,C. Anthony makes 2-pt shot from 13 ft
5:32.0,A. Jefferson makes 2-pt shot from 2 ft (assist by G. Neal),2,65-66,,
5:11.0,,,65-66,,C. Anthony misses 2-pt shot from 7 ft
5:10.0,Defensive rebound by M. Williams,,65-66,,
5:00.0,Shooting foul by C. Aldrich (drawn by L. Stephenson),,65-66,,
5:00.0,,,65-66,,New York full timeout
5:00.0,C. Zeller enters the game for M. Williams,,65-66,,
5:00.0,G. Henderson enters the game for G. Neal,,65-66,,
5:00.0,L. Stephenson makes free throw 1 of 2,1,66-66,,
5:00.0,L. Stephenson misses free throw 2 of 2,,66-66,,
4:59.0,,,66-66,,Defensive rebound by C. Aldrich
4:45.0,,,66-66,,C. Anthony misses 2-pt shot from 18 ft
4:44.0,Defensive rebound by L. Stephenson,,66-66,,
4:26.0,K. Walker makes 3-pt shot from 26 ft (assist by L. Stephenson),3,69-66,,
3:58.0,,,69-69,3,C. Anthony makes 3-pt shot from 26 ft (assist by I. Shumpert)
3:42.0,L. Stephenson misses 2-pt shot from 10 ft,,69-69,,
3:41.0,Offensive rebound by G. Henderson,,69-69,,
3:33.0,Shooting foul by I. Shumpert (drawn by A. Jefferson),,69-69,,
3:33.0,A. Jefferson misses free throw 1 of 2,,69-69,,
3:33.0,Offensive rebound by Team,,69-69,,
3:33.0,,,69-69,,J. Smith enters the game for S. Larkin
3:33.0,,,69-69,,P. Prigioni enters the game for I. Shumpert
3:33.0,,,69-69,,J. Smith enters the game for C. Aldrich
3:33.0,A. Jefferson misses free throw 2 of 2,,69-69,,
3:33.0,,,69-69,,Defensive rebound by A. Stoudemire
3:15.0,,,69-71,2,A. Stoudemire makes 2-pt shot from 5 ft
2:53.0,A. Jefferson misses 2-pt shot from 7 ft,,69-71,,
2:52.0,,,69-71,,Defensive rebound by J. Smith
2:48.0,,,69-71,,Offensive foul by C. Anthony
2:48.0,,,69-71,,Turnover by C. Anthony (offensive foul)
2:48.0,Charlotte full timeout,,69-71,,
2:48.0,J. Maxiell enters the game for A. Jefferson,,69-71,,
2:26.0,L. Stephenson makes 2-pt shot from 1 ft,2,71-71,,
2:11.0,,,71-71,,Turnover by J. Smith (traveling)
2:00.0,,,71-71,,Personal foul by C. Anthony (drawn by G. Henderson)
2:00.0,G. Henderson makes free throw 1 of 2,1,72-71,,
2:00.0,B. Roberts enters the game for K. Walker,,72-71,,
2:00.0,G. Henderson makes free throw 2 of 2,1,73-71,,
1:41.0,,,73-73,2,A. Stoudemire makes 2-pt shot from 1 ft (assist by P. Prigioni)
1:28.0,C. Zeller misses 2-pt shot from 21 ft,,73-73,,
1:27.0,Offensive rebound by L. Stephenson,,73-73,,
1:27.0,L. Stephenson misses 2-pt shot from 2 ft,,73-73,,
1:26.0,Offensive rebound by L. Stephenson,,73-73,,
1:25.0,L. Stephenson makes 2-pt shot from 1 ft,2,75-73,,
1:25.0,Shooting foul by J. Smith (drawn by L. Stephenson),,75-73,,
1:25.0,,,75-73,,T. Hardaway enters the game for C. Anthony
1:25.0,L. Stephenson makes free throw 1 of 1,1,76-73,,
1:09.0,,,76-75,2,T. Hardaway makes 2-pt shot from 20 ft (assist by J. Smith)
0:53.0,C. Zeller misses 2-pt shot from 18 ft,,76-75,,
0:52.0,,,76-75,,Defensive rebound by Team
0:52.0,Loose ball foul by G. Henderson (drawn by A. Stoudemire),,76-75,,
0:33.0,Personal foul by J. Maxiell (drawn by A. Stoudemire),,76-75,,
0:33.0,,,76-76,1,A. Stoudemire makes free throw 1 of 2
0:33.0,,,76-77,1,A. Stoudemire makes free throw 2 of 2
0:22.0,Shooting foul by A. Stoudemire (drawn by L. Stephenson),,76-77,,
0:22.0,L. Stephenson makes free throw 1 of 2,1,77-77,,
0:22.0,L. Stephenson makes free throw 2 of 2,1,78-77,,
0:05.0,,,78-79,2,J. Smith makes 2-pt shot from 20 ft (assist by P. Prigioni)
0:00.0,L. Stephenson makes 2-pt shot from 1 ft,2,80-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,80-81,2,T. Hardaway makes 2-pt shot from 19 ft (assist by P. Prigioni)
11:29.0,C. Zeller makes 2-pt shot at rim (assist by B. Roberts),2,82-81,,
11:28.0,,,82-81,,New York full timeout
11:06.0,,,82-83,2,T. Hardaway makes 2-pt shot from 2 ft (assist by J. Smith)
10:43.0,B. Roberts misses 3-pt shot from 24 ft,,82-83,,
10:42.0,Offensive rebound by C. Zeller,,82-83,,
10:33.0,C. Zeller makes 2-pt shot from 21 ft (assist by G. Neal),2,84-83,,
10:17.0,,,84-83,,Offensive foul by J. Smith
10:17.0,,,84-83,,Turnover by J. Smith (offensive foul)
10:02.0,Offensive foul by C. Zeller,,84-83,,
10:02.0,Turnover by C. Zeller (offensive foul),,84-83,,
9:52.0,Personal foul by J. Maxiell (drawn by A. Stoudemire),,84-83,,
9:39.0,,,84-83,,A. Stoudemire misses 2-pt shot from 9 ft
9:37.0,,,84-83,,Offensive rebound by Team
9:37.0,,,84-83,,Turnover by Team (shot clock)
9:18.0,C. Zeller misses 2-pt shot from 21 ft,,84-83,,
9:17.0,,,84-83,,Defensive rebound by A. Stoudemire
9:00.0,,,84-83,,J. Smith misses 2-pt shot from 17 ft
8:59.0,Defensive rebound by G. Neal,,84-83,,
8:42.0,G. Neal misses 2-pt shot from 20 ft,,84-83,,
8:41.0,,,84-83,,Defensive rebound by A. Stoudemire
8:25.0,,,84-83,,Shooting foul by G. Henderson (drawn by J. Smith)
8:25.0,,,84-83,,J. Smith misses free throw 1 of 2
8:25.0,,,84-83,,Offensive rebound by Team
8:25.0,,,84-83,,Q. Acy enters the game for A. Stoudemire
8:25.0,,,84-83,,C. Anthony enters the game for T. Hardaway
8:25.0,L. Stephenson enters the game for G. Henderson,,84-83,,
8:25.0,,,84-83,,J. Smith misses free throw 2 of 2
8:24.0,Defensive rebound by C. Zeller,,84-83,,
8:13.0,B. Roberts makes 2-pt shot from 19 ft (assist by L. Stephenson),2,86-83,,
8:05.0,,,86-83,,Turnover by J. Smith (offensive foul)
8:05.0,,,86-83,,Offensive foul by J. Smith
7:48.0,Turnover by B. Roberts (bad pass; steal by P. Prigioni),,86-83,,
7:47.0,Personal foul by B. Roberts (drawn by J. Smith),,86-83,,
7:47.0,,,86-83,,I. Shumpert enters the game for J. Smith
7:31.0,,,86-85,2,C. Anthony makes 2-pt shot from 8 ft
7:06.0,L. Stephenson misses 2-pt shot from 14 ft,,86-85,,
7:05.0,Offensive rebound by J. Maxiell,,86-85,,
7:02.0,,,86-85,,Personal foul by C. Anthony (drawn by J. Maxiell)
7:02.0,M. Williams enters the game for C. Zeller,,86-85,,
7:02.0,A. Jefferson enters the game for J. Maxiell,,86-85,,
7:02.0,,,86-85,,S. Dalembert enters the game for J. Smith
6:58.0,Turnover by L. Stephenson (bad pass),,86-85,,
6:48.0,,,86-87,2,C. Anthony makes 2-pt shot from 9 ft
6:30.0,G. Neal misses 2-pt shot from 18 ft,,86-87,,
6:29.0,,,86-87,,Defensive rebound by S. Dalembert
6:16.0,,,86-87,,Q. Acy misses 3-pt shot from 24 ft
6:15.0,Defensive rebound by L. Stephenson,,86-87,,
5:55.0,G. Neal makes 2-pt shot from 2 ft (assist by L. Stephenson),2,88-87,,
5:55.0,Shooting foul by Q. Acy (drawn by G. Neal),,88-87,,
5:55.0,Official timeout,,88-87,,
5:55.0,G. Neal makes free throw 1 of 1,1,89-87,,
5:35.0,,,89-87,,C. Anthony misses 2-pt shot from 13 ft
5:34.0,,,89-87,,Offensive rebound by S. Dalembert
5:34.0,,,89-87,,S. Dalembert misses 2-pt shot from 1 ft
5:33.0,,,89-87,,Offensive rebound by S. Dalembert
5:29.0,,,89-87,,Turnover by S. Dalembert (bad pass; steal by M. Williams)
5:13.0,G. Neal misses 2-pt shot from 5 ft,,89-87,,
5:12.0,,,89-87,,Defensive rebound by C. Anthony
4:56.0,,,89-87,,C. Anthony misses 2-pt shot from 11 ft
4:55.0,Defensive rebound by L. Stephenson,,89-87,,
4:32.0,A. Jefferson misses 2-pt shot from 8 ft,,89-87,,
4:31.0,,,89-87,,Defensive rebound by P. Prigioni
4:27.0,,,89-87,,Shooting foul by G. Neal (drawn by I. Shumpert)
4:27.0,,,89-88,1,I. Shumpert makes free throw 1 of 2
4:27.0,,,89-88,,J. Smith enters the game for Q. Acy
4:27.0,,,89-88,,I. Shumpert misses free throw 2 of 2
4:26.0,Defensive rebound by M. Williams,,89-88,,
4:11.0,Turnover by M. Williams (lost ball),,89-88,,
3:50.0,,,89-90,2,C. Anthony makes 2-pt shot from 1 ft
3:49.0,Charlotte full timeout,,89-90,,
3:49.0,K. Walker enters the game for B. Roberts,,89-90,,
3:27.0,G. Neal makes 2-pt shot from 7 ft (assist by A. Jefferson),2,91-90,,
3:03.0,,,91-90,,S. Dalembert misses 2-pt shot from 6 ft
3:02.0,Defensive rebound by K. Walker,,91-90,,
2:49.0,K. Walker makes 2-pt shot from 1 ft,2,93-90,,
2:37.0,,,93-90,,C. Anthony misses 2-pt shot from 16 ft
2:36.0,Defensive rebound by L. Stephenson,,93-90,,
2:23.0,Turnover by L. Stephenson (traveling),,93-90,,
2:06.0,,,93-93,3,I. Shumpert makes 3-pt shot from 24 ft (assist by P. Prigioni)
1:42.0,K. Walker misses 2-pt shot from 2 ft,,93-93,,
1:41.0,,,93-93,,Defensive rebound by S. Dalembert
