time,LA Clippers,pts.away,score,pts.home,Minnesota
2:01.0,,,28-18,,G. Dieng misses 2-pt shot from 17 ft
2:00.0,Defensive rebound by C. Paul,,28-18,,
1:52.0,C. Paul misses 2-pt shot from 11 ft,,28-18,,
1:51.0,Offensive rebound by G. Davis,,28-18,,
1:51.0,Shooting foul by G. Dieng (drawn by G. Davis),,28-18,,
1:51.0,G. Davis makes free throw 1 of 2,1,29-18,,
1:51.0,,,29-18,,Z. LaVine enters the game for G. Neal
1:51.0,G. Davis misses free throw 2 of 2,,29-18,,
1:50.0,Offensive rebound by D. Jordan,,29-18,,
1:47.0,G. Davis makes 2-pt shot from 1 ft (assist by D. Jordan),2,31-18,,
1:38.0,Personal foul by J. Crawford (drawn by A. Wiggins),,31-18,,
1:27.0,,,31-18,,A. Payne misses 2-pt shot from 6 ft
1:25.0,Defensive rebound by D. Jordan,,31-18,,
1:18.0,A. Rivers makes 3-pt shot from 23 ft (assist by C. Paul),3,34-18,,
1:03.0,,,34-18,,A. Payne misses 2-pt shot from 19 ft
1:02.0,Defensive rebound by D. Jordan,,34-18,,
0:50.0,C. Paul makes 2-pt shot from 12 ft,2,36-18,,
0:39.0,,,36-20,2,Z. LaVine makes 2-pt shot from 19 ft
0:28.0,J. Crawford misses 3-pt shot from 23 ft,,36-20,,
0:27.0,,,36-20,,Defensive rebound by R. Rubio
0:23.0,,,36-22,2,A. Wiggins makes 2-pt shot from 3 ft
0:23.0,,,36-22,,Shooting foul by A. Rivers (drawn by A. Wiggins)
0:23.0,J. Redick enters the game for G. Davis,,36-22,,
0:23.0,,,36-22,,G. Neal enters the game for A. Payne
0:23.0,,,36-23,1,A. Wiggins makes free throw 1 of 1
0:03.0,J. Redick misses 3-pt shot from 24 ft,,36-23,,
0:02.0,,,36-23,,Defensive rebound by Z. LaVine
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,36-23,,Shooting foul by S. Hawes (drawn by A. Wiggins)
11:47.0,,,36-24,1,A. Wiggins makes free throw 1 of 2
11:47.0,,,36-24,,A. Wiggins misses free throw 2 of 2
11:47.0,Defensive rebound by S. Hawes,,36-24,,
11:31.0,J. Crawford misses 2-pt shot from 17 ft,,36-24,,
11:30.0,,,36-24,,Defensive rebound by G. Neal
11:26.0,,,36-26,2,Z. LaVine makes 2-pt shot at rim (assist by G. Neal)
11:11.0,J. Redick misses 3-pt shot from 22 ft,,36-26,,
11:11.0,,,36-26,,Defensive rebound by A. Payne
10:53.0,,,36-29,3,Z. LaVine makes 3-pt shot from 26 ft (assist by A. Wiggins)
10:38.0,G. Davis misses 2-pt shot from 18 ft,,36-29,,
10:37.0,,,36-29,,Defensive rebound by G. Neal
10:25.0,Personal foul by A. Rivers (drawn by G. Dieng),,36-29,,
10:15.0,,,36-31,2,A. Wiggins makes 2-pt shot from 2 ft
10:15.0,,,36-31,,Shooting foul by J. Crawford (drawn by A. Wiggins)
10:15.0,,,36-31,,A. Wiggins misses free throw 1 of 1
10:15.0,Defensive rebound by J. Redick,,36-31,,
10:15.0,,,36-31,,Personal foul by A. Payne (drawn by J. Redick)
10:06.0,J. Crawford makes 2-pt shot from 20 ft,2,38-31,,
9:51.0,,,38-33,2,A. Payne makes 2-pt shot from 20 ft (assist by Z. LaVine)
9:38.0,A. Rivers misses 3-pt shot from 22 ft,,38-33,,
9:37.0,,,38-33,,Defensive rebound by Z. LaVine
9:29.0,,,38-33,,Z. LaVine misses 2-pt shot from 5 ft
9:27.0,,,38-33,,Offensive rebound by A. Wiggins
9:23.0,Shooting block foul by G. Davis (drawn by A. Payne),,38-33,,
9:23.0,LA Clippers full timeout,,38-33,,
9:23.0,,,38-34,1,A. Payne makes free throw 1 of 2
9:23.0,,,38-35,1,A. Payne makes free throw 2 of 2
9:11.0,J. Crawford makes 2-pt shot from 20 ft (assist by A. Rivers),2,40-35,,
9:00.0,,,40-35,,Shooting foul by S. Hawes (drawn by Z. LaVine)
9:00.0,,,40-35,,Z. LaVine misses free throw 1 of 2
9:00.0,,,40-35,,Offensive rebound by Team
9:00.0,,,40-36,1,Z. LaVine makes free throw 2 of 2
8:50.0,J. Redick makes 2-pt shot from 18 ft (assist by G. Davis),2,42-36,,
8:29.0,,,42-36,,G. Neal misses 2-pt shot from 2 ft (block by S. Hawes)
8:28.0,Defensive rebound by S. Hawes,,42-36,,
8:09.0,J. Crawford misses 2-pt shot from 20 ft,,42-36,,
8:08.0,,,42-36,,Defensive rebound by G. Dieng
7:56.0,,,42-36,,A. Wiggins misses 2-pt shot from 19 ft
7:55.0,Defensive rebound by S. Hawes,,42-36,,
7:49.0,Offensive foul by G. Davis,,42-36,,
7:49.0,Turnover by G. Davis (offensive foul),,42-36,,
7:49.0,,,42-36,,R. Rubio enters the game for A. Wiggins
7:38.0,,,42-38,2,R. Rubio makes 2-pt shot from 22 ft (assist by Z. LaVine)
7:22.0,J. Crawford makes 2-pt shot from 6 ft,2,44-38,,
7:07.0,,,44-38,,R. Rubio misses 2-pt shot from 18 ft
7:06.0,,,44-38,,Offensive rebound by G. Dieng
6:55.0,,,44-40,2,A. Payne makes 2-pt shot from 13 ft (assist by Z. LaVine)
6:38.0,J. Crawford misses 2-pt shot from 16 ft,,44-40,,
6:37.0,,,44-40,,Defensive rebound by R. Rubio
6:37.0,Personal foul by G. Davis (drawn by R. Rubio),,44-40,,
6:37.0,,,44-40,,R. Rubio misses free throw 1 of 2
6:37.0,,,44-40,,Offensive rebound by Team
6:37.0,D. Jordan enters the game for G. Davis,,44-40,,
6:37.0,C. Paul enters the game for A. Rivers,,44-40,,
6:37.0,,,44-41,1,R. Rubio makes free throw 2 of 2
6:31.0,Offensive charge foul by J. Redick,,44-41,,
6:31.0,Turnover by J. Redick (offensive foul),,44-41,,
6:13.0,,,44-44,3,G. Neal makes 3-pt shot from 24 ft
6:00.0,,,44-44,,Personal foul by G. Neal (drawn by S. Hawes)
5:55.0,Turnover by S. Hawes (offensive foul),,44-44,,
5:55.0,Offensive foul by S. Hawes,,44-44,,
5:55.0,Technical foul by S. Hawes,,44-44,,
5:55.0,,,44-44,,Minnesota full timeout
5:55.0,G. Davis enters the game for S. Hawes,,44-44,,
5:55.0,,,44-45,1,G. Neal makes technical free throw
5:40.0,,,44-45,,A. Payne misses 2-pt shot from 5 ft
5:37.0,,,44-45,,Offensive rebound by A. Payne
5:33.0,,,44-45,,G. Neal misses 2-pt shot from 19 ft
5:32.0,Defensive rebound by J. Crawford,,44-45,,
5:25.0,J. Crawford misses 3-pt shot from 24 ft,,44-45,,
5:24.0,,,44-45,,Defensive rebound by R. Rubio
5:20.0,,,44-47,2,Z. LaVine makes 2-pt shot at rim (assist by R. Rubio)
5:03.0,C. Paul makes 2-pt shot from 5 ft,2,46-47,,
4:41.0,Personal foul by D. Jordan (drawn by R. Rubio),,46-47,,
4:41.0,,,46-48,1,R. Rubio makes free throw 1 of 2
4:41.0,J. Hamilton enters the game for J. Crawford,,46-48,,
4:41.0,,,46-48,,K. Garnett enters the game for G. Dieng
4:41.0,,,46-49,1,R. Rubio makes free throw 2 of 2
4:20.0,G. Davis makes 2-pt shot from 8 ft,2,48-49,,
4:00.0,,,48-51,2,K. Garnett makes 2-pt shot from 20 ft (assist by R. Rubio)
3:43.0,J. Redick misses 2-pt shot from 18 ft,,48-51,,
3:42.0,Offensive rebound by D. Jordan,,48-51,,
3:42.0,,,48-51,,Personal foul by A. Payne (drawn by D. Jordan)
3:42.0,,,48-51,,G. Dieng enters the game for A. Payne
3:34.0,J. Hamilton misses 2-pt shot from 7 ft,,48-51,,
3:33.0,Offensive rebound by D. Jordan,,48-51,,
3:32.0,D. Jordan misses 2-pt shot from 1 ft,,48-51,,
3:30.0,,,48-51,,Defensive rebound by Z. LaVine
3:21.0,,,48-51,,K. Garnett misses 2-pt shot from 18 ft
3:19.0,Defensive rebound by Team,,48-51,,
3:19.0,,,48-51,,A. Wiggins enters the game for G. Neal
3:10.0,C. Paul makes 2-pt shot from 15 ft,2,50-51,,
2:53.0,,,50-51,,Z. LaVine misses 3-pt shot from 22 ft
2:51.0,Defensive rebound by C. Paul,,50-51,,
2:43.0,C. Paul makes 3-pt shot from 25 ft,3,53-51,,
2:25.0,,,53-51,,G. Dieng misses 2-pt shot from 6 ft
2:23.0,Defensive rebound by D. Jordan,,53-51,,
1:59.0,C. Paul misses 3-pt shot from 26 ft,,53-51,,
1:58.0,,,53-51,,Defensive rebound by K. Garnett
1:52.0,,,53-53,2,Z. LaVine makes 2-pt shot from 5 ft (assist by R. Rubio)
1:31.0,J. Redick misses 2-pt shot from 15 ft,,53-53,,
1:30.0,,,53-53,,Defensive rebound by K. Garnett
1:18.0,,,53-56,3,R. Rubio makes 3-pt shot from 23 ft (assist by A. Wiggins)
1:02.0,,,53-56,,Personal foul by K. Garnett (drawn by C. Paul)
1:02.0,,,53-56,,Minnesota full timeout
1:02.0,J. Crawford enters the game for J. Hamilton,,53-56,,
0:57.0,C. Paul makes 2-pt shot from 17 ft,2,55-56,,
0:48.0,Personal foul by J. Redick (drawn by R. Rubio),,55-56,,
0:48.0,,,55-57,1,R. Rubio makes free throw 1 of 2
0:48.0,,,55-58,1,R. Rubio makes free throw 2 of 2
0:39.0,J. Crawford makes 3-pt shot from 24 ft (assist by C. Paul),3,58-58,,
0:28.0,,,58-60,2,K. Garnett makes 2-pt shot from 20 ft (assist by R. Rubio)
0:04.0,Turnover by Team (shot clock),,58-60,,
0:04.0,,,58-60,,G. Neal enters the game for G. Dieng
0:04.0,A. Rivers enters the game for G. Davis,,58-60,,
0:00.0,,,58-60,,A. Wiggins misses 2-pt shot from 13 ft
0:00.0,,,58-60,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,58-62,2,R. Rubio makes 2-pt shot from 17 ft
11:23.0,J. Redick makes 3-pt shot from 23 ft (assist by C. Paul),3,61-62,,
11:10.0,,,61-64,2,G. Neal makes 2-pt shot from 20 ft (assist by R. Rubio)
10:57.0,,,61-64,,Personal foul by G. Neal (drawn by J. Redick)
10:46.0,S. Hawes makes 2-pt shot at rim (assist by J. Hamilton),2,63-64,,
10:29.0,,,63-66,2,R. Rubio makes 2-pt shot from 18 ft
10:19.0,C. Paul misses 2-pt shot from 11 ft,,63-66,,
10:18.0,,,63-66,,Defensive rebound by G. Dieng
10:16.0,,,63-66,,Turnover by G. Dieng (lost ball; steal by C. Paul)
10:12.0,S. Hawes misses 2-pt shot at rim (block by G. Dieng),,63-66,,
10:12.0,,,63-66,,Defensive rebound by R. Rubio
10:06.0,,,63-66,,G. Neal misses 3-pt shot from 24 ft
10:05.0,Defensive rebound by Team,,63-66,,
10:05.0,,,63-66,,Loose ball foul by G. Dieng (drawn by S. Hawes)
9:49.0,S. Hawes misses 3-pt shot from 23 ft,,63-66,,
9:48.0,,,63-66,,Defensive rebound by Team
9:37.0,,,63-68,2,G. Dieng makes 2-pt shot at rim (assist by R. Rubio)
9:21.0,S. Hawes misses 2-pt shot from 11 ft,,63-68,,
9:20.0,,,63-68,,Defensive rebound by K. Garnett
9:10.0,,,63-68,,Shooting foul by D. Jordan (drawn by A. Wiggins)
9:10.0,,,63-69,1,A. Wiggins makes free throw 1 of 2
9:10.0,,,63-70,1,A. Wiggins makes free throw 2 of 2
8:58.0,S. Hawes misses 3-pt shot from 23 ft,,63-70,,
8:57.0,,,63-70,,Defensive rebound by G. Neal
8:44.0,,,63-70,,A. Wiggins misses 2-pt shot from 22 ft
8:43.0,,,63-70,,Offensive rebound by G. Dieng
8:29.0,,,63-70,,K. Garnett misses 2-pt shot from 20 ft
8:28.0,Defensive rebound by C. Paul,,63-70,,
8:05.0,J. Hamilton misses 3-pt shot from 25 ft,,63-70,,
8:04.0,Offensive rebound by Team,,63-70,,
8:04.0,,,63-70,,Loose ball foul by G. Dieng (drawn by D. Jordan)
7:57.0,S. Hawes misses 2-pt shot from 2 ft (block by K. Garnett),,63-70,,
7:56.0,Offensive rebound by Team,,63-70,,
7:48.0,J. Hamilton misses 3-pt shot from 24 ft,,63-70,,
7:47.0,Offensive rebound by D. Jordan,,63-70,,
7:47.0,D. Jordan makes 2-pt shot from 2 ft,2,65-70,,
7:47.0,Shooting foul by G. Dieng (drawn by D. Jordan),,65-70,,
7:47.0,,,65-70,,A. Payne enters the game for G. Dieng
7:47.0,D. Jordan makes free throw 1 of 1,1,66-70,,
7:33.0,,,66-72,2,K. Garnett makes 2-pt shot from 16 ft (assist by R. Rubio)
7:17.0,S. Hawes misses 3-pt shot from 23 ft,,66-72,,
7:17.0,Offensive rebound by Team,,66-72,,
7:17.0,,,66-72,,Loose ball foul by A. Payne (drawn by D. Jordan)
7:17.0,,,66-72,,Violation by Team (delay of game)
7:17.0,D. Jordan makes free throw 1 of 2,1,67-72,,
7:17.0,G. Davis enters the game for S. Hawes,,67-72,,
7:17.0,D. Jordan makes free throw 2 of 2,1,68-72,,
7:02.0,,,68-74,2,A. Wiggins makes 2-pt shot at rim (assist by A. Payne)
6:48.0,J. Hamilton makes 3-pt shot from 25 ft (assist by C. Paul),3,71-74,,
6:35.0,,,71-74,,C. Budinger enters the game for K. Garnett
6:30.0,,,71-76,2,A. Payne makes 2-pt shot from 19 ft (assist by G. Neal)
6:14.0,J. Redick makes 2-pt shot from 22 ft (assist by C. Paul),2,73-76,,
5:53.0,,,73-78,2,A. Payne makes 2-pt shot at rim (assist by A. Wiggins)
5:36.0,J. Hamilton misses 3-pt shot from 25 ft,,73-78,,
5:35.0,,,73-78,,Defensive rebound by G. Neal
5:28.0,,,73-80,2,G. Neal makes 2-pt shot from 19 ft
5:27.0,LA Clippers full timeout,,73-80,,
5:27.0,A. Rivers enters the game for J. Hamilton,,73-80,,
5:12.0,C. Paul makes 3-pt shot from 24 ft,3,76-80,,
4:57.0,,,76-80,,C. Budinger misses 3-pt shot from 24 ft
4:56.0,,,76-80,,Offensive rebound by A. Payne
4:51.0,,,76-80,,R. Rubio misses 3-pt shot from 25 ft
4:50.0,,,76-80,,Offensive rebound by R. Rubio
4:45.0,,,76-80,,Turnover by R. Rubio (lost ball; steal by C. Paul)
4:40.0,J. Redick misses 3-pt shot from 24 ft,,76-80,,
4:39.0,,,76-80,,Defensive rebound by A. Wiggins
4:32.0,,,76-80,,A. Wiggins misses 2-pt shot from 14 ft
4:31.0,Defensive rebound by D. Jordan,,76-80,,
4:22.0,C. Paul misses 2-pt shot from 2 ft,,76-80,,
4:21.0,,,76-80,,Defensive rebound by R. Rubio
4:14.0,,,76-80,,G. Neal misses 3-pt shot from 25 ft
4:13.0,Defensive rebound by J. Redick,,76-80,,
4:08.0,A. Rivers makes 2-pt shot from 1 ft (assist by J. Redick),2,78-80,,
4:07.0,Violation by Team (delay of game),,78-80,,
4:04.0,Technical foul by Team,,78-80,,
4:04.0,,,78-80,,G. Neal misses technical free throw
4:04.0,,,78-80,,Offensive rebound by Team
4:04.0,,,78-80,,Z. LaVine enters the game for R. Rubio
4:04.0,H. Turkoglu enters the game for G. Davis,,78-80,,
3:50.0,,,78-80,,Turnover by A. Wiggins (lost ball; steal by A. Rivers)
3:38.0,A. Rivers makes 2-pt shot from 2 ft (assist by C. Paul),2,80-80,,
3:17.0,,,80-83,3,G. Neal makes 3-pt shot from 24 ft
2:54.0,Shooting foul by Z. LaVine (drawn by A. Rivers),,80-83,,
2:54.0,,,80-83,,Minnesota full timeout
2:54.0,A. Rivers makes free throw 1 of 2,1,81-83,,
2:54.0,A. Rivers makes free throw 2 of 2,1,82-83,,
2:31.0,,,82-83,,G. Neal misses 2-pt shot from 15 ft
2:30.0,,,82-83,,Offensive rebound by Team
2:30.0,,,82-83,,Turnover by Team (shot clock)
2:18.0,Turnover by C. Paul (lost ball; steal by G. Neal),,82-83,,
2:12.0,,,82-83,,Turnover by Z. LaVine (lost ball)
1:54.0,H. Turkoglu misses 2-pt shot from 13 ft,,82-83,,
1:53.0,,,82-83,,Defensive rebound by A. Payne
1:42.0,,,82-83,,Turnover by Z. LaVine (bad pass; steal by D. Jordan)
1:33.0,J. Redick makes 2-pt shot from 20 ft (assist by A. Rivers),2,84-83,,
1:11.0,Personal foul by J. Redick (drawn by A. Payne),,84-83,,
1:11.0,J. Hamilton enters the game for J. Redick,,84-83,,
1:11.0,C. Wilcox enters the game for C. Paul,,84-83,,
1:05.0,,,84-85,2,A. Wiggins makes 2-pt shot at rim (assist by C. Budinger)
0:49.0,J. Hamilton makes 2-pt shot from 1 ft,2,86-85,,
0:39.0,,,86-87,2,G. Neal makes 2-pt shot from 19 ft (assist by Z. LaVine)
0:31.0,Shooting foul by Z. LaVine (drawn by A. Rivers),,86-87,,
0:31.0,A. Rivers misses free throw 1 of 2,,86-87,,
0:31.0,Offensive rebound by Team,,86-87,,
0:31.0,A. Rivers misses free throw 2 of 2,,86-87,,
0:31.0,,,86-87,,Defensive rebound by C. Budinger
0:07.0,,,86-87,,Z. LaVine misses 3-pt shot from 24 ft
0:06.0,Defensive rebound by D. Jordan,,86-87,,
0:03.0,Turnover by D. Jordan (lost ball; steal by A. Wiggins),,86-87,,
0:01.0,,,86-87,,Z. LaVine misses 2-pt shot from 2 ft
0:00.0,,,86-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,A. Rivers makes 2-pt shot from 11 ft,2,88-87,,
11:19.0,,,88-87,,A. Wiggins misses 2-pt shot from 1 ft
11:18.0,Defensive rebound by G. Davis,,88-87,,
11:04.0,J. Redick makes 3-pt shot from 24 ft (assist by G. Davis),3,91-87,,
10:45.0,,,91-87,,A. Wiggins misses 2-pt shot from 13 ft
10:44.0,Defensive rebound by H. Turkoglu,,91-87,,
10:24.0,J. Hamilton misses 2-pt shot from 15 ft (block by A. Wiggins),,91-87,,
10:22.0,,,91-87,,Defensive rebound by R. Rubio
10:18.0,,,91-89,2,C. Budinger makes 2-pt shot at rim (assist by R. Rubio)
10:00.0,H. Turkoglu misses 2-pt shot from 21 ft,,91-89,,
9:59.0,,,91-89,,Defensive rebound by R. Rubio
9:56.0,,,91-89,,Turnover by R. Rubio (bad pass)
9:44.0,A. Rivers misses 2-pt shot from 11 ft,,91-89,,
9:43.0,,,91-89,,Defensive rebound by G. Dieng
9:39.0,,,91-89,,Offensive foul by Z. LaVine
9:39.0,,,91-89,,Turnover by Z. LaVine (offensive foul)
9:30.0,J. Redick misses 2-pt shot from 18 ft,,91-89,,
9:29.0,,,91-89,,Defensive rebound by A. Wiggins
9:23.0,,,91-89,,G. Neal enters the game for A. Wiggins
9:15.0,,,91-89,,Shooting foul by G. Davis (drawn by Z. LaVine)
9:15.0,,,91-90,1,Z. LaVine makes free throw 1 of 2
9:15.0,,,91-91,1,Z. LaVine makes free throw 2 of 2
9:00.0,G. Davis makes 2-pt shot from 2 ft (assist by A. Rivers),2,93-91,,
8:49.0,Personal foul by J. Hamilton (drawn by C. Budinger),,93-91,,
8:49.0,,,93-91,,Minnesota full timeout
8:41.0,,,93-91,,Turnover by G. Neal (traveling)
8:32.0,Turnover by J. Redick (bad pass),,93-91,,
8:22.0,,,93-91,,R. Rubio misses 3-pt shot from 24 ft
8:21.0,Defensive rebound by A. Rivers,,93-91,,
8:14.0,A. Rivers misses 2-pt shot from 7 ft,,93-91,,
8:13.0,Offensive rebound by G. Davis,,93-91,,
8:11.0,G. Davis makes 2-pt shot from 5 ft,2,95-91,,
7:51.0,,,95-91,,R. Rubio misses 2-pt shot from 2 ft (block by G. Davis)
7:50.0,Defensive rebound by J. Hamilton,,95-91,,
7:46.0,A. Rivers makes 2-pt shot from 1 ft,2,97-91,,
7:44.0,,,97-91,,Minnesota full timeout
7:44.0,,,97-91,,A. Payne enters the game for C. Budinger
7:44.0,,,97-91,,A. Wiggins enters the game for Z. LaVine
7:27.0,,,97-91,,Turnover by A. Wiggins (bad pass; steal by G. Davis)
7:17.0,Offensive foul by G. Davis,,97-91,,
7:17.0,Turnover by G. Davis (offensive foul),,97-91,,
7:17.0,D. Jordan enters the game for H. Turkoglu,,97-91,,
7:17.0,C. Paul enters the game for J. Hamilton,,97-91,,
6:59.0,,,97-91,,A. Payne misses 2-pt shot from 22 ft
6:57.0,Defensive rebound by D. Jordan,,97-91,,
6:43.0,A. Rivers misses 3-pt shot from 25 ft,,97-91,,
6:42.0,Offensive rebound by J. Redick,,97-91,,
6:25.0,C. Paul misses 2-pt shot from 17 ft,,97-91,,
6:24.0,,,97-91,,Defensive rebound by R. Rubio
6:16.0,,,97-91,,G. Dieng misses 2-pt shot from 1 ft
6:15.0,Defensive rebound by D. Jordan,,97-91,,
5:58.0,G. Davis makes 2-pt shot from 1 ft (assist by A. Rivers),2,99-91,,
5:35.0,,,99-91,,R. Rubio misses 2-pt shot from 19 ft
5:34.0,,,99-91,,Offensive rebound by A. Payne
5:33.0,,,99-91,,Shooting foul by D. Jordan (drawn by A. Payne)
5:33.0,,,99-92,1,A. Payne makes free throw 1 of 2
5:33.0,,,99-93,1,A. Payne makes free throw 2 of 2
5:20.0,,,99-93,,Shooting block foul by A. Payne (drawn by G. Davis)
5:20.0,G. Davis makes free throw 1 of 2,1,100-93,,
5:20.0,,,100-93,,K. Garnett enters the game for A. Payne
5:20.0,G. Davis misses free throw 2 of 2,,100-93,,
5:20.0,,,100-93,,Defensive rebound by R. Rubio
5:05.0,,,100-93,,Turnover by G. Dieng (bad pass; steal by G. Davis)
4:54.0,J. Redick misses 3-pt shot from 24 ft,,100-93,,
4:53.0,Offensive rebound by Team,,100-93,,
4:53.0,,,100-93,,Loose ball foul by K. Garnett (drawn by D. Jordan)
4:38.0,G. Davis misses 2-pt shot from 8 ft (block by G. Dieng),,100-93,,
4:36.0,,,100-93,,Defensive rebound by G. Dieng
4:32.0,,,100-93,,Shooting foul by A. Rivers (drawn by R. Rubio)
4:32.0,,,100-94,1,R. Rubio makes free throw 1 of 2
4:32.0,,,100-95,1,R. Rubio makes free throw 2 of 2
4:22.0,C. Paul makes 2-pt shot from 17 ft,2,102-95,,
4:09.0,,,102-95,,G. Neal misses 2-pt shot from 19 ft
4:08.0,Defensive rebound by D. Jordan,,102-95,,
3:57.0,G. Davis misses 2-pt shot from 16 ft,,102-95,,
3:56.0,,,102-95,,Defensive rebound by G. Dieng
3:44.0,Personal foul by G. Davis (drawn by G. Dieng),,102-95,,
3:44.0,S. Hawes enters the game for G. Davis,,102-95,,
3:44.0,,,102-96,1,G. Dieng makes free throw 1 of 2
