time,Cleveland,pts.away,score,pts.home,Boston
7:28.0,,,38-31,,T. Zeller misses 2-pt shot from 4 ft
7:27.0,Defensive rebound by K. Love,,38-31,,
7:27.0,Turnover by K. Love (lost ball; steal by J. Crowder),,38-31,,
7:26.0,Personal foul by K. Love (drawn by J. Jerebko),,38-31,,
7:26.0,,,38-31,,A. Bradley enters the game for M. Smart
7:22.0,,,38-33,2,T. Zeller makes 2-pt shot from 2 ft (assist by E. Turner)
7:22.0,,,38-33,,Shooting foul by J. Smith (drawn by T. Zeller)
7:22.0,,,38-34,1,T. Zeller makes free throw 1 of 1
7:08.0,T. Mozgov misses 2-pt shot from 7 ft,,38-34,,
7:07.0,,,38-34,,Defensive rebound by E. Turner
6:55.0,,,38-36,2,A. Bradley makes 2-pt shot from 20 ft
6:33.0,K. Love misses 2-pt shot from 3 ft (block by J. Crowder),,38-36,,
6:32.0,Offensive rebound by K. Love,,38-36,,
6:30.0,K. Love misses 2-pt shot from 2 ft,,38-36,,
6:29.0,,,38-36,,Defensive rebound by T. Zeller
6:20.0,,,38-38,2,T. Zeller makes 2-pt shot from 19 ft (assist by J. Crowder)
6:20.0,Cleveland full timeout,,38-38,,
6:00.0,Turnover by T. Mozgov (bad pass; steal by E. Turner),,38-38,,
5:57.0,Violation by T. Mozgov (def goaltending),,38-38,,
5:57.0,,,38-40,2,E. Turner makes 2-pt shot from 1 ft
5:37.0,J. Smith makes 2-pt shot from 19 ft,2,40-40,,
5:23.0,,,40-40,,T. Zeller misses 2-pt shot from 1 ft (block by T. Mozgov)
5:22.0,Defensive rebound by K. Love,,40-40,,
5:20.0,Shooting foul by J. Jerebko (drawn by K. Irving),,40-40,,
5:20.0,Technical foul by J. Smith,,40-40,,
5:20.0,,,40-41,1,A. Bradley makes technical free throw
5:20.0,,,40-41,,B. Bass enters the game for J. Jerebko
5:20.0,K. Irving makes free throw 1 of 2,1,41-41,,
5:20.0,K. Irving misses free throw 2 of 2,,41-41,,
5:20.0,,,41-41,,Defensive rebound by T. Zeller
5:05.0,,,41-43,2,E. Turner makes 2-pt shot from 10 ft
4:48.0,L. James misses 3-pt shot from 24 ft,,41-43,,
4:46.0,Offensive rebound by K. Love,,41-43,,
4:44.0,K. Love makes 3-pt shot from 25 ft,3,44-43,,
4:27.0,,,44-43,,T. Zeller misses 2-pt shot from 6 ft
4:26.0,Defensive rebound by T. Mozgov,,44-43,,
4:26.0,,,44-43,,I. Thomas enters the game for J. Crowder
4:26.0,,,44-43,,J. Sullinger enters the game for T. Zeller
4:26.0,Jump ball: A. Bradley vs. T. Mozgov (K. Love gains possession),,,,Jump ball: A. Bradley vs. T. Mozgov (K. Love gains possession)
4:12.0,T. Mozgov misses 2-pt shot at rim,,44-43,,
4:11.0,,,44-43,,Defensive rebound by J. Sullinger
4:05.0,,,44-43,,A. Bradley misses 3-pt shot from 26 ft
4:03.0,Defensive rebound by L. James,,44-43,,
3:55.0,K. Irving misses 2-pt shot from 5 ft (block by B. Bass),,44-43,,
3:54.0,,,44-43,,Defensive rebound by I. Thomas
3:49.0,,,44-45,2,A. Bradley makes 2-pt shot from 14 ft (assist by I. Thomas)
3:33.0,K. Love misses 3-pt shot from 25 ft,,44-45,,
3:33.0,,,44-45,,Defensive rebound by J. Sullinger
3:16.0,,,44-45,,A. Bradley misses 2-pt shot from 13 ft
3:15.0,Defensive rebound by K. Love,,44-45,,
3:06.0,Turnover by K. Irving (lost ball; steal by E. Turner),,44-45,,
3:01.0,,,44-45,,E. Turner misses 2-pt shot from 1 ft (block by K. Irving)
3:00.0,,,44-45,,Offensive rebound by A. Bradley
2:53.0,Personal foul by K. Irving (drawn by I. Thomas),,44-45,,
2:53.0,,,44-45,,Boston full timeout
2:53.0,T. Thompson enters the game for T. Mozgov,,44-45,,
2:53.0,,,44-45,,I. Thomas misses free throw 1 of 2
2:53.0,,,44-45,,Offensive rebound by Team
2:53.0,,,44-46,1,I. Thomas makes free throw 2 of 2
2:37.0,J. Smith misses 3-pt shot from 23 ft,,44-46,,
2:36.0,,,44-46,,Defensive rebound by E. Turner
2:24.0,,,44-48,2,E. Turner makes 2-pt shot from 1 ft
2:02.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,46-48,,
1:44.0,,,46-48,,E. Turner misses 2-pt shot from 16 ft
1:43.0,Defensive rebound by L. James,,46-48,,
1:22.0,Shooting foul by J. Sullinger (drawn by T. Thompson),,46-48,,
1:22.0,T. Thompson makes free throw 1 of 2,1,47-48,,
1:22.0,I. Shumpert enters the game for K. Irving,,47-48,,
1:22.0,,,47-48,,J. Jerebko enters the game for B. Bass
1:22.0,,,47-48,,T. Zeller enters the game for J. Sullinger
1:22.0,T. Thompson misses free throw 2 of 2,,47-48,,
1:22.0,,,47-48,,Defensive rebound by E. Turner
1:12.0,,,47-48,,A. Bradley misses 3-pt shot from 25 ft
1:11.0,Defensive rebound by L. James,,47-48,,
1:02.0,J. Smith makes 3-pt shot from 23 ft (assist by I. Shumpert),3,50-48,,
0:49.0,,,50-48,,E. Turner misses 2-pt shot at rim
0:47.0,Defensive rebound by L. James,,50-48,,
0:38.0,L. James makes 2-pt shot from 22 ft,2,52-48,,
0:32.0,,,52-48,,Turnover by I. Thomas (lost ball; steal by L. James)
0:29.0,L. James makes flagrant free throw 1 of 2,1,53-48,,
0:29.0,L. James makes flagrant free throw 2 of 2,1,54-48,,
0:29.0,,,54-48,,J. Crowder enters the game for T. Zeller
0:29.0,J. Jones enters the game for T. Thompson,,54-48,,
0:07.0,L. James makes 2-pt shot from 19 ft,2,56-48,,
0:02.0,,,56-48,,I. Thomas misses 3-pt shot from 26 ft
0:00.0,Defensive rebound by J. Jones,,56-48,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,56-48,,J. Jerebko misses 2-pt shot from 7 ft
11:44.0,,,56-48,,Offensive rebound by J. Jerebko
11:44.0,,,56-50,2,J. Jerebko makes 2-pt shot from 7 ft
11:18.0,J. Smith misses 3-pt shot from 25 ft,,56-50,,
11:18.0,,,56-50,,Defensive rebound by J. Crowder
11:13.0,,,56-52,2,A. Bradley makes 2-pt shot from 5 ft (assist by J. Crowder)
10:50.0,K. Love misses 3-pt shot from 26 ft,,56-52,,
10:49.0,,,56-52,,Defensive rebound by E. Turner
10:45.0,,,56-54,2,T. Zeller makes 2-pt shot at rim (assist by E. Turner)
10:17.0,L. James misses 3-pt shot from 26 ft,,56-54,,
10:14.0,Offensive rebound by T. Mozgov,,56-54,,
10:00.0,Turnover by T. Mozgov (traveling),,56-54,,
9:48.0,,,56-56,2,E. Turner makes 2-pt shot from 10 ft
9:37.0,L. James makes 2-pt shot from 19 ft,2,58-56,,
9:37.0,Shooting foul by J. Crowder (drawn by L. James),,58-56,,
9:37.0,L. James makes free throw 1 of 1,1,59-56,,
9:23.0,,,59-58,2,E. Turner makes 2-pt shot from 10 ft
8:59.0,Turnover by T. Mozgov (lost ball; steal by A. Bradley),,59-58,,
8:53.0,,,59-58,,Offensive charge foul by J. Crowder
8:53.0,,,59-58,,Turnover by J. Crowder (offensive foul)
8:41.0,K. Love makes 3-pt shot from 24 ft (assist by K. Irving),3,62-58,,
8:25.0,Shooting block foul by J. Smith (drawn by E. Turner),,62-58,,
8:25.0,,,62-59,1,E. Turner makes free throw 1 of 2
8:25.0,,,62-60,1,E. Turner makes free throw 2 of 2
8:10.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Love),3,65-60,,
8:00.0,,,65-60,,Turnover by E. Turner (bad pass; steal by L. James)
7:55.0,L. James makes 2-pt shot at rim,2,67-60,,
7:39.0,,,67-62,2,A. Bradley makes 2-pt shot from 1 ft
7:24.0,K. Irving misses 2-pt shot from 2 ft,,67-62,,
7:23.0,,,67-62,,Defensive rebound by Team
7:23.0,T. Thompson enters the game for T. Mozgov,,67-62,,
7:09.0,,,67-62,,Shooting foul by T. Thompson (drawn by T. Zeller)
7:09.0,,,67-63,1,T. Zeller makes free throw 1 of 2
7:09.0,,,67-64,1,T. Zeller makes free throw 2 of 2
6:59.0,Turnover by L. James (lost ball; steal by J. Jerebko),,67-64,,
6:56.0,,,67-64,,Shooting foul by K. Love (drawn by A. Bradley)
6:56.0,,,67-65,1,A. Bradley makes free throw 1 of 2
6:56.0,,,67-66,1,A. Bradley makes free throw 2 of 2
6:44.0,K. Irving misses 2-pt shot from 2 ft,,67-66,,
6:43.0,Offensive rebound by T. Thompson,,67-66,,
6:32.0,L. James misses 2-pt shot from 21 ft,,67-66,,
6:31.0,Offensive rebound by J. Smith,,67-66,,
6:28.0,K. Irving makes 3-pt shot from 23 ft (assist by J. Smith),3,70-66,,
6:04.0,,,70-66,,E. Turner misses 2-pt shot from 7 ft
6:02.0,Defensive rebound by L. James,,70-66,,
5:52.0,,,70-66,,Boston full timeout
5:41.0,T. Thompson misses 2-pt shot from 4 ft (block by J. Jerebko),,70-66,,
5:40.0,,,70-66,,Defensive rebound by J. Crowder
5:38.0,,,70-66,,Turnover by J. Crowder (bad pass; steal by K. Irving)
5:33.0,L. James makes 2-pt shot from 1 ft,2,72-66,,
5:16.0,,,72-66,,Turnover by E. Turner (lost ball; steal by L. James)
5:03.0,K. Love misses 2-pt shot from 17 ft,,72-66,,
5:02.0,,,72-66,,Defensive rebound by E. Turner
4:52.0,,,72-66,,T. Zeller misses 2-pt shot from 1 ft
4:51.0,Defensive rebound by J. Smith,,72-66,,
4:31.0,K. Love makes 2-pt shot from 22 ft (assist by J. Smith),2,74-66,,
4:16.0,,,74-66,,Turnover by E. Turner (bad pass; steal by L. James)
4:16.0,,,74-66,,Personal foul by E. Turner (drawn by L. James)
4:16.0,,,74-66,,I. Thomas enters the game for E. Turner
4:16.0,,,74-66,,B. Bass enters the game for T. Zeller
4:16.0,,,74-66,,M. Smart enters the game for A. Bradley
4:16.0,,,74-66,,J. Sullinger enters the game for J. Jerebko
3:59.0,K. Irving makes 3-pt shot from 25 ft,3,77-66,,
3:40.0,Personal foul by J. Smith (drawn by I. Thomas),,77-66,,
3:29.0,,,77-69,3,J. Crowder makes 3-pt shot from 26 ft (assist by M. Smart)
3:06.0,L. James misses 3-pt shot from 25 ft,,77-69,,
3:06.0,,,77-69,,Defensive rebound by J. Sullinger
2:56.0,,,77-69,,I. Thomas misses 3-pt shot from 24 ft (block by L. James)
2:55.0,,,77-69,,Offensive rebound by J. Sullinger
2:46.0,,,77-71,2,J. Sullinger makes 2-pt shot from 4 ft (assist by B. Bass)
2:38.0,Cleveland full timeout,,77-71,,
2:35.0,I. Shumpert enters the game for L. James,,77-71,,
2:35.0,Jump ball: J. Crowder vs. T. Thompson,,,,Jump ball: J. Crowder vs. T. Thompson
2:16.0,J. Smith makes 2-pt shot from 21 ft,2,79-71,,
1:57.0,,,79-74,3,J. Crowder makes 3-pt shot from 24 ft (assist by B. Bass)
1:38.0,Turnover by K. Irving (traveling),,79-74,,
1:27.0,,,79-74,,M. Smart misses 3-pt shot from 27 ft
1:26.0,Defensive rebound by K. Love,,79-74,,
1:08.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving),3,82-74,,
0:52.0,,,82-76,2,J. Sullinger makes 2-pt shot from 5 ft (assist by I. Thomas)
0:32.0,T. Thompson makes 2-pt shot from 6 ft,2,84-76,,
0:13.0,,,84-76,,I. Thomas misses 2-pt shot from 12 ft
0:12.0,Defensive rebound by T. Thompson,,84-76,,
0:00.0,I. Shumpert misses 3-pt shot from 24 ft,,84-76,,
0:00.0,Offensive rebound by Team,,84-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,L. James makes 2-pt shot from 23 ft,2,86-76,,
11:22.0,,,86-78,2,I. Thomas makes 2-pt shot from 2 ft
10:56.0,L. James makes 2-pt shot from 21 ft,2,88-78,,
10:37.0,,,88-78,,J. Sullinger misses 2-pt shot from 10 ft
10:36.0,,,88-78,,Offensive rebound by M. Smart
10:35.0,,,88-78,,M. Smart misses 2-pt shot from 2 ft
10:34.0,Defensive rebound by L. James,,88-78,,
10:34.0,,,88-78,,Personal foul by M. Smart (drawn by L. James)
10:20.0,M. Dellavedova misses 3-pt shot from 25 ft,,88-78,,
10:20.0,,,88-78,,Defensive rebound by B. Bass
10:15.0,,,88-78,,B. Bass misses 2-pt shot from 5 ft (block by I. Shumpert)
10:14.0,Defensive rebound by Team,,88-78,,
9:52.0,L. James misses 2-pt shot from 21 ft,,88-78,,
9:51.0,,,88-78,,Defensive rebound by M. Smart
9:41.0,,,88-78,,Turnover by J. Sullinger (bad pass)
9:18.0,J. Smith misses 3-pt shot from 25 ft,,88-78,,
9:16.0,Offensive rebound by L. James,,88-78,,
8:57.0,,,88-78,,Shooting block foul by L. Datome (drawn by L. James)
8:57.0,Official timeout,,88-78,,
8:57.0,,,88-78,,E. Turner enters the game for B. Bass
8:57.0,,,88-78,,T. Zeller enters the game for M. Smart
8:57.0,,,88-78,,J. Jerebko enters the game for J. Sullinger
8:57.0,,,88-78,,A. Bradley enters the game for I. Thomas
8:57.0,K. Irving enters the game for J. Smith,,88-78,,
8:57.0,L. James misses free throw 1 of 2,,88-78,,
8:57.0,Offensive rebound by Team,,88-78,,
8:57.0,L. James makes free throw 2 of 2,1,89-78,,
8:38.0,,,89-80,2,E. Turner makes 2-pt shot from 16 ft
8:16.0,M. Dellavedova misses 2-pt shot from 5 ft,,89-80,,
8:15.0,,,89-80,,Defensive rebound by T. Zeller
7:58.0,,,89-82,2,J. Jerebko makes 2-pt shot from 2 ft (assist by L. Datome)
7:29.0,L. James makes 2-pt shot from 21 ft,2,91-82,,
7:07.0,,,91-84,2,E. Turner makes 2-pt shot from 7 ft
6:43.0,L. James misses 2-pt shot from 21 ft,,91-84,,
6:42.0,,,91-84,,Defensive rebound by T. Zeller
6:25.0,,,91-84,,J. Jerebko misses 2-pt shot from 2 ft
6:22.0,Defensive rebound by M. Dellavedova,,91-84,,
6:13.0,K. Irving misses 2-pt shot from 16 ft,,91-84,,
6:12.0,,,91-84,,Defensive rebound by Team
6:12.0,Loose ball foul by T. Thompson (drawn by L. Datome),,91-84,,
6:12.0,,,91-84,,J. Crowder enters the game for L. Datome
6:01.0,,,91-84,,A. Bradley misses 2-pt shot from 19 ft
6:00.0,Defensive rebound by M. Dellavedova,,91-84,,
5:48.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,93-84,,
5:32.0,Personal foul by L. James (drawn by E. Turner),,93-84,,
5:32.0,,,93-84,,Boston full timeout
5:32.0,K. Love enters the game for M. Dellavedova,,93-84,,
5:29.0,,,93-84,,T. Zeller misses 2-pt shot at rim (block by T. Thompson)
5:28.0,Defensive rebound by T. Thompson,,93-84,,
5:05.0,I. Shumpert misses 2-pt shot from 1 ft (block by J. Crowder),,93-84,,
5:03.0,,,93-84,,Defensive rebound by A. Bradley
5:02.0,,,93-84,,Turnover by A. Bradley (bad pass; steal by K. Irving)
5:00.0,K. Irving misses 2-pt shot from 9 ft,,93-84,,
5:00.0,,,93-84,,Defensive rebound by A. Bradley
4:52.0,,,93-86,2,J. Crowder makes 2-pt shot from 1 ft (assist by E. Turner)
4:52.0,,,93-86,,Shooting foul by I. Shumpert (drawn by J. Crowder)
4:52.0,,,93-87,1,J. Crowder makes free throw 1 of 1
4:35.0,K. Irving makes 2-pt shot at rim,2,95-87,,
4:22.0,,,95-87,,J. Jerebko misses 3-pt shot from 25 ft
4:20.0,Defensive rebound by I. Shumpert,,95-87,,
4:09.0,K. Irving misses 2-pt shot from 20 ft,,95-87,,
4:08.0,,,95-87,,Defensive rebound by E. Turner
4:03.0,,,95-87,,A. Bradley misses 3-pt shot from 26 ft
4:01.0,,,95-87,,Offensive rebound by J. Crowder
3:59.0,,,95-89,2,J. Crowder makes 2-pt shot from 1 ft
3:34.0,T. Thompson misses 2-pt shot from 1 ft,,95-89,,
3:33.0,,,95-89,,Defensive rebound by J. Crowder
3:27.0,Personal foul by K. Love (drawn by J. Jerebko),,95-89,,
3:27.0,J. Smith enters the game for I. Shumpert,,95-89,,
3:21.0,,,95-89,,A. Bradley misses 3-pt shot from 25 ft
3:21.0,Defensive rebound by J. Smith,,95-89,,
3:08.0,,,95-89,,Personal foul by J. Crowder (drawn by K. Love)
3:04.0,Turnover by L. James (back court),,95-89,,
3:04.0,,,95-89,,Boston full timeout
