time,Houston,pts.away,score,pts.home,Memphis
7:54.0,J. Smith misses 2-pt shot from 2 ft,,6-12,,
7:51.0,,,6-12,,Defensive rebound by J. Leuer
7:40.0,,,6-12,,T. Allen misses 2-pt shot from 2 ft
7:37.0,Defensive rebound by D. Motiejunas,,6-12,,
7:33.0,J. Harden makes 2-pt shot at rim,2,8-12,,
7:12.0,,,8-12,,Shooting foul by D. Motiejunas (drawn by M. Gasol)
7:12.0,,,8-13,1,M. Gasol makes free throw 1 of 2
7:12.0,,,8-14,1,M. Gasol makes free throw 2 of 2
6:59.0,T. Ariza makes 2-pt shot from 1 ft,2,10-14,,
6:43.0,,,10-14,,M. Conley misses 3-pt shot from 25 ft
6:42.0,Defensive rebound by T. Ariza,,10-14,,
6:35.0,J. Smith makes 2-pt shot from 9 ft (assist by P. Beverley),2,12-14,,
6:21.0,,,12-14,,Turnover by C. Lee (lost ball)
6:21.0,,,12-14,,Loose ball foul by C. Lee (drawn by T. Ariza)
6:08.0,J. Smith misses 2-pt shot from 19 ft,,12-14,,
6:08.0,,,12-14,,Defensive rebound by M. Gasol
6:01.0,,,12-16,2,J. Leuer makes 2-pt shot from 1 ft (assist by T. Allen)
5:59.0,Houston full timeout,,12-16,,
5:45.0,J. Smith makes 2-pt shot at rim (assist by J. Harden),2,14-16,,
5:29.0,,,14-16,,M. Gasol misses 2-pt shot from 9 ft
5:27.0,,,14-16,,Offensive rebound by T. Allen
5:27.0,,,14-16,,T. Allen misses 2-pt shot from 1 ft
5:27.0,Defensive rebound by Team,,14-16,,
5:14.0,P. Beverley misses 3-pt shot from 25 ft,,14-16,,
5:13.0,,,14-16,,Defensive rebound by M. Gasol
5:05.0,Violation by P. Beverley (kicked ball),,14-16,,
5:05.0,,,14-16,,T. Prince enters the game for J. Leuer
5:02.0,,,14-19,3,C. Lee makes 3-pt shot from 24 ft (assist by M. Gasol)
4:45.0,P. Beverley makes 2-pt shot from 1 ft,2,16-19,,
4:27.0,,,16-19,,C. Lee misses 3-pt shot from 26 ft
4:26.0,Defensive rebound by P. Beverley,,16-19,,
4:21.0,J. Dorsey enters the game for D. Motiejunas,,16-19,,
4:21.0,,,16-19,,B. Udrih enters the game for M. Conley
4:18.0,Turnover by J. Smith (bad pass),,16-19,,
4:06.0,,,16-19,,C. Lee misses 3-pt shot from 24 ft
4:05.0,Defensive rebound by J. Harden,,16-19,,
3:59.0,Shooting foul by T. Allen (drawn by J. Harden),,16-19,,
3:59.0,J. Harden makes free throw 1 of 2,1,17-19,,
3:59.0,A. Shved enters the game for P. Beverley,,17-19,,
3:59.0,C. Brewer enters the game for T. Ariza,,17-19,,
3:59.0,J. Harden makes free throw 2 of 2,1,18-19,,
3:44.0,,,18-19,,Shooting foul by A. Shved (drawn by B. Udrih)
3:44.0,,,18-21,2,B. Udrih makes 2-pt shot from 12 ft
3:44.0,,,18-21,,B. Udrih misses free throw 1 of 1
3:43.0,Defensive rebound by J. Smith,,18-21,,
3:31.0,A. Shved misses 3-pt shot from 26 ft,,18-21,,
3:30.0,Offensive rebound by J. Harden,,18-21,,
3:22.0,J. Harden makes 2-pt shot from 7 ft,2,20-21,,
3:22.0,Shooting foul by T. Allen (drawn by J. Harden),,20-21,,
3:22.0,,,20-21,,Q. Pondexter enters the game for T. Allen
3:22.0,J. Harden makes free throw 1 of 1,1,21-21,,
3:05.0,,,21-23,2,M. Gasol makes 2-pt shot from 6 ft
2:56.0,J. Smith misses 2-pt shot from 1 ft,,21-23,,
2:54.0,,,21-23,,Defensive rebound by M. Gasol
2:50.0,,,21-25,2,B. Udrih makes 2-pt shot from 13 ft
2:38.0,J. Harden makes 2-pt shot from 2 ft,2,23-25,,
2:16.0,,,23-25,,B. Udrih misses 3-pt shot from 25 ft
2:14.0,,,23-25,,Offensive rebound by Q. Pondexter
2:14.0,,,23-27,2,Q. Pondexter makes 2-pt shot at rim
1:54.0,J. Smith misses 2-pt shot from 6 ft,,23-27,,
1:52.0,,,23-27,,Defensive rebound by B. Udrih
1:34.0,,,23-27,,T. Prince misses 2-pt shot from 14 ft
1:33.0,Defensive rebound by J. Harden,,23-27,,
1:29.0,,,23-27,,Shooting block foul by B. Udrih (drawn by A. Shved)
1:29.0,,,23-27,,Memphis full timeout
1:29.0,J. Terry enters the game for J. Harden,,23-27,,
1:29.0,,,23-27,,K. Koufos enters the game for M. Gasol
1:29.0,,,23-27,,V. Carter enters the game for C. Lee
1:29.0,A. Shved misses free throw 1 of 2,,23-27,,
1:29.0,Offensive rebound by Team,,23-27,,
1:29.0,A. Shved makes free throw 2 of 2,1,24-27,,
1:18.0,Personal foul by C. Brewer (drawn by V. Carter),,24-27,,
1:18.0,,,24-28,1,V. Carter makes free throw 1 of 2
1:18.0,,,24-29,1,V. Carter makes free throw 2 of 2
1:03.0,J. Terry misses 3-pt shot from 25 ft,,24-29,,
1:02.0,Offensive rebound by A. Shved,,24-29,,
0:52.0,J. Dorsey misses 2-pt shot from 4 ft,,24-29,,
0:52.0,,,24-29,,Defensive rebound by Team
0:52.0,Loose ball foul by J. Dorsey (drawn by K. Koufos),,24-29,,
0:52.0,,,24-30,1,K. Koufos makes free throw 1 of 2
0:52.0,,,24-31,1,K. Koufos makes free throw 2 of 2
0:33.0,J. Terry misses 3-pt shot from 25 ft,,24-31,,
0:31.0,,,24-31,,Defensive rebound by Team
0:09.0,,,24-31,,V. Carter misses 3-pt shot from 27 ft (block by C. Brewer)
0:07.0,,,24-31,,Offensive rebound by T. Prince
0:05.0,,,24-31,,T. Prince misses 2-pt shot from 11 ft
0:02.0,Defensive rebound by J. Smith,,24-31,,
0:01.0,J. Smith misses 3-pt shot from 27 ft,,24-31,,
0:00.0,Offensive rebound by Team,,24-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Shooting foul by B. Udrih (drawn by A. Shved),,24-31,,
11:51.0,A. Shved makes free throw 1 of 2,1,25-31,,
11:51.0,A. Shved makes free throw 2 of 2,1,26-31,,
11:33.0,,,26-31,,B. Udrih misses 2-pt shot from 12 ft
11:31.0,Defensive rebound by J. Terry,,26-31,,
11:25.0,Turnover by C. Brewer (lost ball; steal by V. Carter),,26-31,,
11:20.0,,,26-33,2,Q. Pondexter makes 2-pt shot at rim (assist by T. Prince)
10:57.0,J. Terry makes 3-pt shot from 23 ft (assist by D. Howard),3,29-33,,
10:36.0,Violation by A. Shved (def goaltending),,29-33,,
10:36.0,,,29-35,2,B. Udrih makes 2-pt shot from 2 ft (assist by V. Carter)
10:17.0,A. Shved misses 3-pt shot from 25 ft,,29-35,,
10:16.0,,,29-35,,Defensive rebound by B. Udrih
10:11.0,,,29-35,,Q. Pondexter misses 3-pt shot from 26 ft
10:09.0,,,29-35,,Offensive rebound by T. Prince
10:01.0,,,29-37,2,B. Udrih makes 2-pt shot from 19 ft
9:49.0,C. Brewer makes 3-pt shot from 23 ft (assist by J. Terry),3,32-37,,
9:33.0,,,32-39,2,Q. Pondexter makes 2-pt shot at rim (assist by T. Prince)
9:28.0,Houston full timeout,,32-39,,
9:28.0,P. Beverley enters the game for A. Shved,,32-39,,
9:21.0,Shooting foul by K. Koufos (drawn by D. Howard),,32-39,,
9:21.0,D. Howard misses free throw 1 of 2,,32-39,,
9:21.0,Offensive rebound by Team,,32-39,,
9:21.0,D. Howard misses free throw 2 of 2,,32-39,,
9:20.0,Offensive rebound by Team,,32-39,,
9:15.0,Turnover by D. Howard (lost ball; steal by V. Carter),,32-39,,
9:09.0,,,32-39,,Q. Pondexter misses 2-pt shot from 1 ft
9:08.0,Defensive rebound by D. Howard,,32-39,,
9:03.0,C. Brewer misses 2-pt shot at rim,,32-39,,
9:00.0,,,32-39,,Defensive rebound by V. Carter
8:57.0,,,32-41,2,Q. Pondexter makes 2-pt shot at rim (assist by V. Carter)
8:38.0,D. Motiejunas misses 2-pt shot from 5 ft,,32-41,,
8:36.0,,,32-41,,Defensive rebound by T. Prince
8:31.0,,,32-43,2,T. Prince makes 2-pt shot from 1 ft
8:18.0,D. Motiejunas misses 2-pt shot from 13 ft,,32-43,,
8:17.0,,,32-43,,Defensive rebound by K. Koufos
8:12.0,,,32-43,,Memphis full timeout
8:12.0,,,32-43,,C. Lee enters the game for Q. Pondexter
8:05.0,,,32-43,,K. Koufos misses 2-pt shot from 10 ft
8:03.0,Defensive rebound by D. Howard,,32-43,,
7:53.0,C. Brewer makes 2-pt shot from 16 ft (assist by P. Beverley),2,34-43,,
7:35.0,,,34-45,2,T. Prince makes 2-pt shot from 13 ft
7:22.0,P. Beverley misses 2-pt shot from 4 ft,,34-45,,
7:21.0,,,34-45,,Defensive rebound by K. Koufos
7:14.0,,,34-47,2,K. Koufos makes 2-pt shot at rim (assist by B. Udrih)
6:51.0,Shooting foul by B. Udrih (drawn by D. Howard),,34-47,,
6:51.0,D. Howard misses free throw 1 of 2,,34-47,,
6:51.0,Offensive rebound by Team,,34-47,,
6:51.0,,,34-47,,M. Conley enters the game for B. Udrih
6:51.0,,,34-47,,T. Allen enters the game for V. Carter
6:51.0,T. Ariza enters the game for C. Brewer,,34-47,,
6:51.0,J. Harden enters the game for J. Terry,,34-47,,
6:51.0,D. Howard misses free throw 2 of 2,,34-47,,
6:50.0,,,34-47,,Defensive rebound by K. Koufos
6:31.0,,,34-47,,K. Koufos misses 2-pt shot from 20 ft
6:30.0,Defensive rebound by J. Harden,,34-47,,
6:11.0,Turnover by J. Harden (bad pass; steal by K. Koufos),,34-47,,
6:03.0,,,34-47,,T. Prince misses 3-pt shot from 23 ft
6:02.0,Defensive rebound by D. Howard,,34-47,,
5:48.0,Houston full timeout,,34-47,,
5:48.0,,,34-47,,M. Gasol enters the game for K. Koufos
5:41.0,J. Harden makes 2-pt shot from 20 ft,2,36-47,,
5:17.0,,,36-49,2,T. Prince makes 2-pt shot from 21 ft
4:52.0,P. Beverley misses 2-pt shot at rim (block by T. Allen),,36-49,,
4:51.0,Offensive rebound by D. Howard,,36-49,,
4:51.0,D. Howard misses 2-pt shot at rim,,36-49,,
4:48.0,Offensive rebound by D. Howard,,36-49,,
4:42.0,T. Ariza misses 3-pt shot from 25 ft,,36-49,,
4:39.0,Offensive rebound by P. Beverley,,36-49,,
4:37.0,P. Beverley misses 2-pt shot from 5 ft,,36-49,,
4:36.0,Offensive rebound by Team,,36-49,,
4:36.0,J. Smith enters the game for D. Motiejunas,,36-49,,
4:35.0,,,36-49,,Personal foul by T. Allen (drawn by J. Harden)
4:35.0,,,36-49,,Q. Pondexter enters the game for T. Allen
4:29.0,J. Harden misses 3-pt shot from 26 ft,,36-49,,
4:28.0,Offensive rebound by T. Ariza,,36-49,,
4:13.0,P. Beverley misses 3-pt shot from 23 ft,,36-49,,
4:12.0,Offensive rebound by J. Smith,,36-49,,
4:08.0,T. Ariza misses 3-pt shot from 25 ft,,36-49,,
4:06.0,Offensive rebound by P. Beverley,,36-49,,
4:04.0,P. Beverley makes 2-pt shot at rim,2,38-49,,
3:53.0,,,38-49,,M. Conley misses 2-pt shot from 20 ft
3:52.0,Defensive rebound by T. Ariza,,38-49,,
3:44.0,J. Smith misses 2-pt shot from 1 ft,,38-49,,
3:42.0,,,38-49,,Defensive rebound by T. Prince
3:38.0,,,38-51,2,Q. Pondexter makes 2-pt shot from 1 ft (assist by M. Conley)
3:38.0,,,38-51,,Shooting foul by J. Harden (drawn by Q. Pondexter)
3:38.0,,,38-52,1,Q. Pondexter makes free throw 1 of 1
3:14.0,J. Harden misses 2-pt shot from 17 ft,,38-52,,
3:11.0,,,38-52,,Defensive rebound by Q. Pondexter
2:57.0,,,38-52,,M. Conley misses 3-pt shot from 22 ft
2:56.0,Defensive rebound by D. Howard,,38-52,,
2:48.0,J. Smith makes 2-pt shot at rim (assist by P. Beverley),2,40-52,,
2:25.0,,,40-52,,Technical foul by T. Allen
2:25.0,Houston full timeout,,40-52,,
2:25.0,,,40-52,,J. Leuer enters the game for T. Prince
2:25.0,J. Harden misses technical free throw,,40-52,,
2:25.0,,,40-52,,Offensive rebound by Team
2:17.0,,,40-54,2,M. Conley makes 2-pt shot from 20 ft
1:59.0,Shooting foul by C. Lee (drawn by J. Smith),,40-54,,
1:59.0,J. Smith makes 2-pt shot from 3 ft (assist by J. Harden),2,42-54,,
1:59.0,J. Smith makes free throw 1 of 1,1,43-54,,
1:44.0,Personal foul by J. Smith (drawn by J. Leuer),,43-54,,
1:39.0,,,43-54,,M. Conley misses 2-pt shot from 13 ft
1:37.0,,,43-54,,Offensive rebound by Q. Pondexter
1:34.0,,,43-54,,Q. Pondexter misses 2-pt shot at rim
1:33.0,,,43-54,,Offensive rebound by J. Leuer
1:16.0,,,43-54,,M. Gasol misses 2-pt shot from 8 ft
1:15.0,Defensive rebound by Team,,43-54,,
1:00.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Smith),3,46-54,,
0:50.0,,,46-54,,Turnover by M. Conley (bad pass; steal by T. Ariza)
0:47.0,Shooting foul by M. Conley (drawn by J. Harden),,46-54,,
0:47.0,J. Harden makes free throw 1 of 2,1,47-54,,
0:47.0,J. Harden makes free throw 2 of 2,1,48-54,,
0:25.0,,,48-54,,C. Lee misses 2-pt shot from 16 ft
0:23.0,Defensive rebound by J. Harden,,48-54,,
0:19.0,D. Howard makes 2-pt shot at rim (assist by J. Harden),2,50-54,,
0:01.0,,,50-57,3,M. Conley makes 3-pt shot from 25 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,J. Harden makes 3-pt shot from 25 ft (assist by D. Motiejunas),3,53-57,,
11:26.0,,,53-59,2,M. Gasol makes 2-pt shot from 16 ft (assist by C. Lee)
11:06.0,T. Ariza makes 3-pt shot from 25 ft (assist by P. Beverley),3,56-59,,
10:54.0,,,56-61,2,M. Gasol makes 2-pt shot from 20 ft (assist by M. Conley)
10:50.0,Turnover by D. Motiejunas (bad pass; steal by M. Conley),,56-61,,
10:42.0,,,56-61,,C. Lee misses 2-pt shot from 14 ft
10:40.0,Defensive rebound by J. Harden,,56-61,,
10:34.0,P. Beverley misses 3-pt shot from 25 ft,,56-61,,
10:32.0,Offensive rebound by D. Motiejunas,,56-61,,
10:31.0,D. Motiejunas makes 2-pt shot at rim,2,58-61,,
10:14.0,,,58-61,,T. Allen misses 2-pt shot from 1 ft
10:13.0,Defensive rebound by D. Howard,,58-61,,
10:08.0,,,58-61,,Personal foul by J. Leuer (drawn by D. Motiejunas)
9:59.0,P. Beverley makes 2-pt shot from 11 ft,2,60-61,,
9:59.0,,,60-61,,Memphis full timeout
9:43.0,,,60-61,,M. Conley misses 2-pt shot from 22 ft
9:42.0,Defensive rebound by D. Howard,,60-61,,
9:34.0,Turnover by T. Ariza (bad pass; steal by M. Conley),,60-61,,
9:34.0,Personal foul by T. Ariza (drawn by M. Conley),,60-61,,
9:18.0,,,60-63,2,M. Gasol makes 2-pt shot from 17 ft (assist by T. Allen)
9:00.0,Turnover by D. Motiejunas (lost ball),,60-63,,
8:45.0,,,60-65,2,T. Allen makes 2-pt shot at rim (assist by M. Conley)
8:26.0,D. Howard misses 2-pt shot from 1 ft,,60-65,,
8:24.0,,,60-65,,Defensive rebound by J. Leuer
8:16.0,,,60-65,,M. Conley misses 2-pt shot from 2 ft (block by D. Motiejunas)
8:16.0,,,60-65,,Offensive rebound by Team
8:13.0,,,60-67,2,M. Gasol makes 2-pt shot from 14 ft (assist by T. Allen)
8:02.0,T. Ariza makes 3-pt shot from 25 ft (assist by P. Beverley),3,63-67,,
7:50.0,,,63-70,3,M. Gasol makes 3-pt shot from 24 ft (assist by M. Conley)
7:31.0,J. Harden misses 2-pt shot from 1 ft,,63-70,,
7:31.0,,,63-70,,Defensive rebound by Team
7:31.0,Loose ball foul by D. Howard (drawn by M. Gasol),,63-70,,
7:12.0,,,63-70,,M. Conley misses 2-pt shot from 13 ft
7:11.0,Defensive rebound by Team,,63-70,,
6:57.0,,,63-70,,Personal foul by M. Gasol (drawn by D. Howard)
6:49.0,Turnover by P. Beverley (bad pass),,63-70,,
6:27.0,,,63-70,,J. Leuer misses 3-pt shot from 25 ft
6:27.0,Defensive rebound by T. Ariza,,63-70,,
6:15.0,Shooting foul by M. Conley (drawn by T. Ariza),,63-70,,
6:15.0,T. Ariza misses free throw 1 of 2,,63-70,,
6:15.0,Offensive rebound by Team,,63-70,,
6:15.0,T. Ariza makes free throw 2 of 2,1,64-70,,
5:52.0,,,64-70,,T. Allen misses 3-pt shot from 25 ft
5:51.0,Defensive rebound by D. Motiejunas,,64-70,,
5:37.0,Turnover by D. Howard (traveling),,64-70,,
5:37.0,J. Smith enters the game for D. Motiejunas,,64-70,,
5:21.0,,,64-70,,C. Lee misses 2-pt shot from 10 ft
5:17.0,Defensive rebound by T. Ariza,,64-70,,
5:11.0,J. Smith misses 2-pt shot from 20 ft,,64-70,,
5:11.0,,,64-70,,Defensive rebound by Team
5:11.0,Loose ball foul by D. Howard (drawn by M. Gasol),,64-70,,
5:11.0,,,64-70,,Q. Pondexter enters the game for T. Allen
5:11.0,,,64-70,,T. Prince enters the game for J. Leuer
5:11.0,J. Dorsey enters the game for D. Howard,,64-70,,
4:48.0,,,64-72,2,T. Prince makes 2-pt shot from 19 ft (assist by M. Gasol)
4:35.0,P. Beverley makes 3-pt shot from 25 ft (assist by J. Harden),3,67-72,,
4:20.0,,,67-72,,M. Gasol misses 2-pt shot from 16 ft
4:19.0,Defensive rebound by T. Ariza,,67-72,,
4:03.0,J. Harden makes 2-pt shot from 1 ft,2,69-72,,
3:52.0,,,69-72,,Shooting foul by P. Beverley (drawn by M. Conley)
3:52.0,,,69-72,,M. Conley misses free throw 1 of 2
3:52.0,,,69-72,,Offensive rebound by Team
3:52.0,C. Brewer enters the game for T. Ariza,,69-72,,
3:52.0,,,69-73,1,M. Conley makes free throw 2 of 2
3:34.0,P. Beverley misses 2-pt shot from 21 ft,,69-73,,
3:32.0,Offensive rebound by J. Smith,,69-73,,
3:29.0,J. Smith makes 2-pt shot from 1 ft,2,71-73,,
3:16.0,,,71-73,,Turnover by M. Conley (bad pass)
3:16.0,,,71-73,,Loose ball foul by M. Gasol (drawn by J. Dorsey)
3:16.0,,,71-73,,B. Udrih enters the game for M. Conley
3:01.0,J. Harden makes 2-pt shot from 17 ft,2,73-73,,
2:49.0,Personal foul by C. Brewer (drawn by Q. Pondexter),,73-73,,
2:49.0,Houston full timeout,,73-73,,
2:49.0,,,73-74,1,Q. Pondexter makes free throw 1 of 2
2:49.0,,,73-75,1,Q. Pondexter makes free throw 2 of 2
2:38.0,J. Dorsey makes 2-pt shot at rim (assist by J. Harden),2,75-75,,
2:23.0,Personal foul by P. Beverley (drawn by B. Udrih),,75-75,,
2:23.0,,,75-76,1,B. Udrih makes free throw 1 of 2
2:23.0,J. Terry enters the game for P. Beverley,,75-76,,
2:23.0,,,75-77,1,B. Udrih makes free throw 2 of 2
2:10.0,C. Brewer misses 3-pt shot from 26 ft,,75-77,,
2:09.0,,,75-77,,Defensive rebound by T. Prince
1:52.0,,,75-79,2,M. Gasol makes 2-pt shot from 9 ft (assist by B. Udrih)
1:35.0,J. Smith makes 2-pt shot from 4 ft (assist by J. Harden),2,77-79,,
1:21.0,,,77-81,2,B. Udrih makes 2-pt shot from 15 ft (assist by T. Prince)
1:00.0,Turnover by J. Smith (lost ball; steal by T. Prince),,77-81,,
0:42.0,,,77-81,,T. Prince misses 2-pt shot from 21 ft
0:41.0,Defensive rebound by J. Harden,,77-81,,
0:36.0,J. Smith makes 2-pt shot at rim (assist by J. Harden),2,79-81,,
0:27.0,,,79-81,,B. Udrih misses 2-pt shot from 20 ft
0:26.0,Defensive rebound by J. Terry,,79-81,,
0:02.0,J. Harden misses 2-pt shot from 20 ft,,79-81,,
0:01.0,,,79-81,,Defensive rebound by M. Gasol
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,,,79-81,,T. Prince misses 2-pt shot from 14 ft
11:37.0,Defensive rebound by C. Brewer,,79-81,,
11:36.0,,,79-81,,Personal foul by V. Carter (drawn by C. Brewer)
11:25.0,C. Brewer makes 2-pt shot from 1 ft (assist by J. Terry),2,81-81,,
11:04.0,,,81-81,,Q. Pondexter misses 3-pt shot from 25 ft
11:02.0,Defensive rebound by D. Motiejunas,,81-81,,
10:56.0,T. Ariza misses 3-pt shot from 25 ft,,81-81,,
10:54.0,,,81-81,,Defensive rebound by K. Koufos
10:43.0,,,81-81,,K. Koufos misses 2-pt shot from 8 ft
10:40.0,Defensive rebound by J. Terry,,81-81,,
10:32.0,C. Brewer misses 3-pt shot from 23 ft,,81-81,,
10:31.0,,,81-81,,Defensive rebound by B. Udrih
10:27.0,,,81-81,,Turnover by K. Koufos (lost ball)
10:24.0,J. Terry misses 3-pt shot from 27 ft,,81-81,,
10:23.0,,,81-81,,Defensive rebound by Team
10:03.0,,,81-81,,Q. Pondexter misses 2-pt shot from 1 ft (block by T. Ariza)
10:03.0,,,81-81,,Offensive rebound by Team
9:58.0,,,81-81,,V. Carter misses 2-pt shot from 21 ft
9:58.0,Defensive rebound by J. Smith,,81-81,,
9:50.0,C. Brewer makes 3-pt shot from 22 ft (assist by J. Smith),3,84-81,,
9:34.0,,,84-81,,Shooting foul by J. Smith (drawn by Q. Pondexter)
9:34.0,,,84-82,1,Q. Pondexter makes free throw 1 of 2
9:34.0,,,84-82,,Q. Pondexter misses free throw 2 of 2
9:33.0,Defensive rebound by J. Smith,,84-82,,
9:22.0,C. Brewer misses 2-pt shot from 2 ft (block by K. Koufos),,84-82,,
9:21.0,Offensive rebound by C. Brewer,,84-82,,
9:10.0,J. Smith makes 2-pt shot from 12 ft,2,86-82,,
9:09.0,,,86-82,,Memphis full timeout
9:09.0,,,86-82,,M. Conley enters the game for Q. Pondexter
8:55.0,Personal foul by T. Ariza (drawn by V. Carter),,86-82,,
8:44.0,,,86-82,,T. Prince misses 2-pt shot from 1 ft
8:42.0,,,86-82,,Offensive rebound by T. Prince
8:36.0,,,86-82,,T. Prince misses 3-pt shot from 23 ft
8:35.0,Defensive rebound by D. Motiejunas,,86-82,,
8:17.0,J. Smith misses 3-pt shot from 25 ft,,86-82,,
8:16.0,,,86-82,,Defensive rebound by K. Koufos
7:54.0,,,86-82,,B. Udrih misses 3-pt shot from 23 ft
7:53.0,,,86-82,,Offensive rebound by K. Koufos
7:45.0,,,86-84,2,M. Conley makes 2-pt shot from 1 ft
7:31.0,C. Brewer makes 3-pt shot from 25 ft (assist by J. Terry),3,89-84,,
7:10.0,,,89-84,,T. Prince misses 2-pt shot from 19 ft
7:09.0,Defensive rebound by J. Terry,,89-84,,
7:01.0,Turnover by J. Terry (bad pass),,89-84,,
7:01.0,J. Harden enters the game for J. Smith,,89-84,,
6:36.0,,,89-84,,V. Carter misses 3-pt shot from 27 ft
6:35.0,,,89-84,,Offensive rebound by T. Prince
6:31.0,,,89-84,,B. Udrih misses 3-pt shot from 23 ft
6:30.0,,,89-84,,Offensive rebound by T. Prince
6:25.0,,,89-86,2,B. Udrih makes 2-pt shot from 1 ft (assist by T. Prince)
6:07.0,,,89-86,,Personal take foul by K. Koufos (drawn by J. Harden)
6:07.0,Houston full timeout,,89-86,,
5:54.0,J. Harden makes 3-pt shot from 25 ft,3,92-86,,
5:33.0,,,92-86,,M. Conley misses 2-pt shot from 1 ft (block by J. Harden)
5:32.0,,,92-86,,Offensive rebound by M. Conley
5:32.0,,,92-86,,Shooting foul by J. Terry (drawn by T. Prince)
5:32.0,,,92-86,,T. Prince misses free throw 1 of 2
5:32.0,,,92-86,,Offensive rebound by Team
5:32.0,,,92-86,,M. Gasol enters the game for K. Koufos
5:32.0,,,92-86,,T. Prince misses free throw 2 of 2
5:31.0,Defensive rebound by T. Ariza,,92-86,,
5:19.0,J. Terry makes 3-pt shot from 23 ft (assist by D. Motiejunas),3,95-86,,
4:59.0,,,95-86,,M. Gasol misses 2-pt shot from 8 ft
4:57.0,,,95-86,,Offensive rebound by T. Prince
4:54.0,,,95-86,,V. Carter misses 2-pt shot at rim
4:53.0,,,95-86,,Offensive rebound by V. Carter
4:53.0,,,95-88,2,V. Carter makes 2-pt shot at rim
4:37.0,J. Terry makes 3-pt shot from 23 ft (assist by J. Harden),3,98-88,,
4:17.0,,,98-91,3,B. Udrih makes 3-pt shot from 23 ft (assist by M. Gasol)
3:55.0,Shooting foul by M. Conley (drawn by J. Harden),,98-91,,
3:55.0,J. Harden makes free throw 1 of 2,1,99-91,,
3:55.0,,,99-91,,T. Allen enters the game for B. Udrih
3:55.0,,,99-91,,C. Lee enters the game for T. Prince
3:55.0,J. Harden makes free throw 2 of 2,1,100-91,,
3:47.0,,,100-91,,M. Conley misses 2-pt shot at rim (block by D. Motiejunas)
3:45.0,Defensive rebound by D. Motiejunas,,100-91,,
3:37.0,,,100-91,,Violation by T. Allen (kicked ball)
3:28.0,C. Brewer misses 2-pt shot from 12 ft,,100-91,,
3:27.0,,,100-91,,Defensive rebound by Team
3:15.0,Personal foul by C. Brewer (drawn by M. Conley),,100-91,,
