time,Boston,pts.away,score,pts.home,Utah
0:48.0,,,51-30,,G. Hayward misses 2-pt shot from 13 ft
0:46.0,Defensive rebound by J. Sullinger,,51-30,,
0:35.0,Shooting foul by D. Exum (drawn by E. Turner),,51-30,,
0:35.0,E. Turner makes free throw 1 of 2,1,52-30,,
0:35.0,,,52-30,,J. Ingles enters the game for D. Exum
0:35.0,G. Wallace enters the game for B. Bass,,52-30,,
0:35.0,E. Turner makes free throw 2 of 2,1,53-30,,
0:20.0,,,53-30,,Shooting foul by A. Bradley (drawn by G. Hayward)
0:20.0,,,53-30,,G. Hayward misses free throw 1 of 2
0:20.0,,,53-30,,Offensive rebound by Team
0:20.0,,,53-30,,E. Millsap enters the game for J. Ingles
0:20.0,,,53-30,,T. Booker enters the game for D. Favors
0:20.0,M. Thornton enters the game for G. Wallace,,53-30,,
0:20.0,,,53-31,1,G. Hayward makes free throw 2 of 2
0:03.0,A. Bradley makes 2-pt shot at rim (assist by E. Turner),2,55-31,,
0:01.0,,,55-31,,T. Burke misses 3-pt shot from 49 ft
0:00.0,,,55-31,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:40.0,Turnover by J. Sullinger (bad pass; steal by J. Ingles),,55-31,,
11:19.0,,,55-33,2,J. Ingles makes 2-pt shot from 15 ft (assist by G. Hayward)
10:53.0,E. Turner misses 2-pt shot from 15 ft,,55-33,,
10:52.0,,,55-33,,Defensive rebound by E. Kanter
10:29.0,,,55-33,,G. Hayward misses 3-pt shot from 23 ft
10:28.0,Defensive rebound by E. Turner,,55-33,,
10:23.0,A. Bradley misses 2-pt shot from 2 ft (block by G. Hayward),,55-33,,
10:21.0,,,55-33,,Defensive rebound by Team
10:21.0,M. Smart enters the game for E. Turner,,55-33,,
10:04.0,,,55-33,,D. Favors misses 2-pt shot from 11 ft
10:02.0,Defensive rebound by J. Sullinger,,55-33,,
9:50.0,J. Sullinger misses 2-pt shot from 19 ft,,55-33,,
9:49.0,,,55-33,,Defensive rebound by D. Favors
9:39.0,,,55-36,3,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors)
9:23.0,J. Sullinger makes 2-pt shot from 4 ft,2,57-36,,
9:23.0,Shooting foul by D. Favors (drawn by J. Sullinger),,57-36,,
9:23.0,J. Sullinger makes free throw 1 of 1,1,58-36,,
9:09.0,,,58-36,,Shooting foul by J. Crowder (drawn by G. Hayward)
9:09.0,,,58-37,1,G. Hayward makes free throw 1 of 2
9:09.0,,,58-38,1,G. Hayward makes free throw 2 of 2
8:56.0,A. Bradley makes 2-pt shot from 21 ft,2,60-38,,
8:42.0,,,60-40,2,G. Hayward makes 2-pt shot from 1 ft
8:24.0,J. Crowder misses 2-pt shot from 10 ft (block by D. Favors),,60-40,,
8:22.0,,,60-40,,Defensive rebound by D. Exum
8:17.0,,,60-42,2,E. Kanter makes 2-pt shot from 3 ft (assist by D. Exum)
8:04.0,Turnover by M. Smart (bad pass; steal by J. Ingles),,60-42,,
8:00.0,,,60-44,2,E. Kanter makes 2-pt shot at rim (assist by J. Ingles)
8:00.0,Boston full timeout,,60-44,,
8:00.0,,,60-44,,T. Burke enters the game for D. Exum
7:46.0,J. Sullinger misses 3-pt shot from 24 ft,,60-44,,
7:44.0,,,60-44,,Defensive rebound by E. Kanter
7:31.0,,,60-47,3,G. Hayward makes 3-pt shot from 24 ft (assist by D. Favors)
7:12.0,,,60-47,,Personal foul by T. Burke (drawn by A. Bradley)
7:12.0,E. Turner enters the game for J. Crowder,,60-47,,
7:01.0,J. Sullinger misses 2-pt shot from 2 ft,,60-47,,
7:00.0,,,60-47,,Defensive rebound by G. Hayward
6:54.0,,,60-49,2,E. Kanter makes 2-pt shot at rim (assist by G. Hayward)
6:40.0,Turnover by J. Sullinger (bad pass),,60-49,,
6:40.0,T. Prince enters the game for M. Smart,,60-49,,
6:27.0,,,60-49,,E. Kanter misses 2-pt shot from 7 ft
6:25.0,Defensive rebound by B. Bass,,60-49,,
6:12.0,E. Turner misses 2-pt shot from 12 ft,,60-49,,
6:11.0,,,60-49,,Defensive rebound by D. Favors
5:48.0,,,60-49,,Turnover by Team (shot clock)
5:48.0,T. Zeller enters the game for J. Sullinger,,60-49,,
5:46.0,Turnover by T. Zeller (bad pass; steal by J. Ingles),,60-49,,
5:40.0,,,60-51,2,E. Kanter makes 2-pt shot from 1 ft (assist by D. Favors)
5:21.0,,,60-51,,Personal foul by J. Ingles (drawn by E. Turner)
5:21.0,,,60-51,,Technical foul by E. Kanter
5:21.0,Technical foul by E. Turner,,60-51,,
5:15.0,A. Bradley misses 2-pt shot from 18 ft,,60-51,,
5:14.0,,,60-51,,Defensive rebound by D. Favors
4:53.0,,,60-53,2,D. Favors makes 2-pt shot from 1 ft
4:30.0,A. Bradley misses 2-pt shot from 19 ft,,60-53,,
4:29.0,,,60-53,,Defensive rebound by G. Hayward
4:21.0,,,60-53,,G. Hayward misses 2-pt shot from 5 ft
4:21.0,,,60-53,,Offensive rebound by Team
4:21.0,,,60-53,,E. Millsap enters the game for J. Ingles
4:21.0,M. Smart enters the game for A. Bradley,,60-53,,
4:21.0,M. Thornton enters the game for E. Turner,,60-53,,
4:21.0,,,60-53,,R. Gobert enters the game for D. Favors
4:12.0,,,60-53,,G. Hayward misses 2-pt shot from 9 ft
4:11.0,,,60-53,,Offensive rebound by Team
4:03.0,,,60-53,,E. Kanter misses 2-pt shot from 20 ft
4:01.0,Defensive rebound by T. Prince,,60-53,,
3:56.0,Turnover by M. Thornton (bad pass; steal by G. Hayward),,60-53,,
3:48.0,,,60-56,3,T. Burke makes 3-pt shot from 23 ft (assist by E. Millsap)
3:48.0,Boston full timeout,,60-56,,
3:46.0,,,60-56,,Personal foul by E. Kanter (drawn by M. Smart)
3:33.0,,,60-56,,Personal foul by G. Hayward (drawn by T. Prince)
3:33.0,T. Prince makes free throw 1 of 2,1,61-56,,
3:33.0,G. Wallace enters the game for B. Bass,,61-56,,
3:33.0,T. Prince makes free throw 2 of 2,1,62-56,,
3:20.0,,,62-56,,Turnover by E. Kanter (traveling)
3:07.0,M. Thornton misses 2-pt shot from 6 ft (block by E. Millsap),,62-56,,
3:07.0,Offensive rebound by Team,,62-56,,
3:01.0,T. Prince makes 2-pt shot from 5 ft,2,64-56,,
2:47.0,,,64-58,2,E. Kanter makes 2-pt shot at rim (assist by E. Millsap)
2:31.0,Turnover by G. Wallace (bad pass),,64-58,,
2:31.0,,,64-58,,Utah full timeout
2:31.0,,,64-58,,D. Favors enters the game for E. Kanter
2:16.0,,,64-58,,T. Burke misses 2-pt shot from 7 ft
2:14.0,,,64-58,,Offensive rebound by R. Gobert
2:14.0,,,64-60,2,R. Gobert makes 2-pt shot from 1 ft
1:55.0,T. Zeller makes 2-pt shot from 9 ft,2,66-60,,
1:42.0,,,66-60,,Shooting foul by T. Zeller (drawn by D. Favors)
1:42.0,,,66-61,1,D. Favors makes free throw 1 of 2
1:42.0,,,66-61,,D. Favors misses free throw 2 of 2
1:41.0,Defensive rebound by Team,,66-61,,
1:23.0,T. Zeller makes 2-pt shot from 3 ft,2,68-61,,
1:04.0,,,68-61,,E. Millsap misses 2-pt shot from 15 ft
1:03.0,,,68-61,,Offensive rebound by R. Gobert
0:57.0,,,68-63,2,D. Favors makes 2-pt shot from 2 ft
0:37.0,T. Zeller misses 2-pt shot from 3 ft (block by D. Favors),,68-63,,
0:35.0,,,68-63,,Defensive rebound by E. Millsap
0:30.0,,,68-63,,T. Burke misses 3-pt shot from 24 ft
0:28.0,Defensive rebound by T. Zeller,,68-63,,
0:09.0,M. Thornton makes 3-pt shot from 23 ft (assist by M. Smart),3,71-63,,
0:04.0,,,71-66,3,G. Hayward makes 3-pt shot from 26 ft (assist by R. Gobert)
0:01.0,M. Smart misses 3-pt shot from 49 ft,,71-66,,
0:00.0,Offensive rebound by Team,,71-66,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,71-66,,Turnover by D. Favors (traveling)
11:27.0,J. Sullinger misses 3-pt shot from 25 ft,,71-66,,
11:26.0,,,71-66,,Defensive rebound by R. Gobert
11:09.0,,,71-66,,D. Favors misses 2-pt shot from 8 ft
11:07.0,Defensive rebound by M. Smart,,71-66,,
10:59.0,M. Smart misses 3-pt shot from 25 ft,,71-66,,
10:55.0,Offensive rebound by Team,,71-66,,
10:53.0,J. Sullinger makes 2-pt shot from 20 ft (assist by M. Smart),2,73-66,,
10:35.0,,,73-66,,Turnover by D. Exum (bad pass; steal by J. Sullinger)
10:15.0,Turnover by J. Sullinger (lost ball; steal by D. Favors),,73-66,,
10:10.0,,,73-66,,J. Ingles misses 2-pt shot from 2 ft
10:08.0,Defensive rebound by M. Thornton,,73-66,,
10:01.0,T. Zeller makes 2-pt shot from 2 ft (assist by M. Thornton),2,75-66,,
9:42.0,,,75-66,,D. Favors misses 2-pt shot from 17 ft
9:41.0,Defensive rebound by M. Thornton,,75-66,,
9:35.0,Shooting foul by D. Favors (drawn by M. Thornton),,75-66,,
9:35.0,M. Thornton makes free throw 1 of 2,1,76-66,,
9:35.0,,,76-66,,E. Kanter enters the game for R. Gobert
9:35.0,,,76-66,,T. Burke enters the game for D. Exum
9:35.0,M. Thornton makes free throw 2 of 2,1,77-66,,
9:14.0,,,77-66,,T. Burke misses 3-pt shot from 24 ft
9:13.0,Defensive rebound by T. Prince,,77-66,,
8:59.0,M. Thornton makes 2-pt shot from 18 ft,2,79-66,,
8:49.0,,,79-66,,Utah full timeout
8:49.0,,,79-66,,R. Gobert enters the game for D. Favors
8:40.0,,,79-66,,E. Kanter misses 3-pt shot from 23 ft
8:39.0,Defensive rebound by M. Smart,,79-66,,
8:23.0,M. Thornton misses 3-pt shot from 23 ft,,79-66,,
8:21.0,,,79-66,,Defensive rebound by R. Gobert
7:57.0,,,79-69,3,T. Burke makes 3-pt shot from 23 ft (assist by J. Ingles)
7:30.0,M. Smart misses 2-pt shot from 22 ft,,79-69,,
7:27.0,,,79-69,,Defensive rebound by J. Ingles
7:25.0,,,79-69,,Turnover by J. Ingles (bad pass; steal by M. Thornton)
7:22.0,M. Thornton makes 2-pt shot from 6 ft,2,81-69,,
7:02.0,,,81-71,2,E. Kanter makes 2-pt shot from 3 ft
6:43.0,T. Prince makes 2-pt shot from 11 ft,2,83-71,,
6:27.0,,,83-73,2,T. Burke makes 2-pt shot from 16 ft
6:02.0,Shooting foul by E. Kanter (drawn by J. Sullinger),,83-73,,
6:02.0,J. Sullinger makes free throw 1 of 2,1,84-73,,
6:02.0,E. Turner enters the game for M. Smart,,84-73,,
6:02.0,,,84-73,,G. Hayward enters the game for E. Millsap
6:02.0,J. Sullinger makes free throw 2 of 2,1,85-73,,
5:54.0,Personal foul by T. Prince (drawn by G. Hayward),,85-73,,
5:54.0,Official timeout,,85-73,,
5:54.0,B. Bass enters the game for J. Sullinger,,85-73,,
5:45.0,,,85-73,,G. Hayward misses 2-pt shot from 8 ft
5:45.0,,,85-73,,Offensive rebound by Team
5:45.0,Personal foul by B. Bass (drawn by E. Kanter),,85-73,,
5:33.0,,,85-73,,G. Hayward misses 2-pt shot from 5 ft
5:31.0,,,85-73,,Offensive rebound by R. Gobert
5:31.0,,,85-75,2,R. Gobert makes 2-pt shot from 2 ft
5:13.0,T. Zeller makes 2-pt shot from 1 ft (assist by T. Prince),2,87-75,,
5:00.0,,,87-77,2,T. Burke makes 2-pt shot from 19 ft
4:50.0,Boston full timeout,,87-77,,
4:50.0,M. Smart enters the game for E. Turner,,87-77,,
4:39.0,T. Zeller makes 2-pt shot from 5 ft,2,89-77,,
4:19.0,,,89-80,3,T. Burke makes 3-pt shot from 25 ft (assist by G. Hayward)
4:01.0,A. Bradley enters the game for M. Thornton,,89-80,,
3:58.0,,,89-80,,Personal foul by E. Kanter (drawn by A. Bradley)
3:48.0,B. Bass misses 2-pt shot from 3 ft,,89-80,,
3:44.0,,,89-80,,Defensive rebound by G. Hayward
3:42.0,,,89-80,,Offensive charge foul by E. Kanter
3:42.0,,,89-80,,Turnover by E. Kanter (offensive foul)
3:42.0,,,89-80,,D. Favors enters the game for R. Gobert
3:28.0,A. Bradley misses 3-pt shot from 26 ft,,89-80,,
3:26.0,,,89-80,,Defensive rebound by D. Favors
3:10.0,,,89-80,,T. Burke misses 2-pt shot from 11 ft
3:07.0,Defensive rebound by B. Bass,,89-80,,
3:01.0,M. Smart misses 2-pt shot from 4 ft (block by D. Favors),,89-80,,
2:58.0,,,89-80,,Defensive rebound by D. Favors
2:52.0,,,89-83,3,T. Burke makes 3-pt shot from 23 ft (assist by J. Ingles)
2:29.0,,,89-83,,Personal foul by J. Ingles (drawn by B. Bass)
2:23.0,T. Prince misses 2-pt shot from 12 ft,,89-83,,
2:20.0,,,89-83,,Defensive rebound by J. Ingles
2:14.0,,,89-83,,Turnover by G. Hayward (lost ball; steal by B. Bass)
2:10.0,B. Bass makes 2-pt shot at rim (assist by T. Prince),2,91-83,,
1:52.0,,,91-83,,Shooting foul by B. Bass (drawn by G. Hayward)
1:52.0,,,91-84,1,G. Hayward makes free throw 1 of 2
1:52.0,J. Sullinger enters the game for B. Bass,,91-84,,
1:52.0,,,91-84,,G. Hayward misses free throw 2 of 2
1:50.0,,,91-84,,Offensive rebound by G. Hayward
1:38.0,,,91-84,,D. Favors misses 2-pt shot from 2 ft (block by T. Zeller)
1:36.0,Defensive rebound by J. Sullinger,,91-84,,
1:19.0,,,91-84,,Violation by G. Hayward (kicked ball)
1:09.0,A. Bradley misses 2-pt shot from 18 ft,,91-84,,
1:08.0,,,91-84,,Defensive rebound by G. Hayward
0:56.0,,,91-84,,T. Burke misses 3-pt shot from 26 ft
0:54.0,Defensive rebound by T. Zeller,,91-84,,
0:49.0,A. Bradley misses 2-pt shot from 3 ft (block by G. Hayward),,91-84,,
0:48.0,Offensive rebound by M. Smart,,91-84,,
0:48.0,M. Smart makes 2-pt shot at rim,2,93-84,,
0:48.0,,,93-84,,Utah full timeout
0:48.0,B. Bass enters the game for J. Sullinger,,93-84,,
0:46.0,,,93-87,3,G. Hayward makes 3-pt shot from 24 ft (assist by J. Ingles)
0:44.0,,,93-87,,Personal foul by J. Ingles (drawn by T. Prince)
0:44.0,T. Prince makes free throw 1 of 2,1,94-87,,
0:44.0,T. Prince misses free throw 2 of 2,,94-87,,
0:42.0,,,94-87,,Defensive rebound by D. Favors
0:39.0,,,94-87,,Shooting foul by T. Zeller (drawn by G. Hayward)
0:39.0,,,94-87,,G. Hayward misses free throw 1 of 2
0:39.0,,,94-87,,Offensive rebound by Team
0:39.0,J. Sullinger enters the game for B. Bass,,94-87,,
0:39.0,,,94-88,1,G. Hayward makes free throw 2 of 2
0:39.0,Boston full timeout,,94-88,,
0:39.0,E. Turner enters the game for M. Smart,,94-88,,
0:39.0,,,94-88,,E. Millsap enters the game for E. Kanter
0:37.0,,,94-88,,Personal foul by J. Ingles (drawn by E. Turner)
0:37.0,E. Turner makes free throw 1 of 2,1,95-88,,
0:37.0,,,95-88,,E. Kanter enters the game for E. Millsap
0:37.0,B. Bass enters the game for J. Sullinger,,95-88,,
0:37.0,E. Turner misses free throw 2 of 2,,95-88,,
0:36.0,,,95-88,,Defensive rebound by D. Favors
0:30.0,,,95-88,,T. Burke misses 3-pt shot from 24 ft
0:28.0,,,95-88,,Offensive rebound by E. Kanter
