time,Utah,pts.away,score,pts.home,Milwaukee
10:22.0,D. Exum makes 3-pt shot from 23 ft (assist by T. Booker),3,35-21,,
10:03.0,,,35-21,,J. Bayless misses 3-pt shot from 23 ft
10:02.0,,,35-21,,Offensive rebound by J. O'Bryant
10:02.0,Personal foul by T. Booker (drawn by J. O'Bryant),,35-21,,
9:51.0,Personal foul by E. Millsap (drawn by J. Dudley),,35-21,,
9:43.0,,,35-23,2,O. Mayo makes 2-pt shot from 18 ft (assist by J. Bayless)
9:15.0,T. Booker misses 2-pt shot from 19 ft,,35-23,,
9:13.0,,,35-23,,Defensive rebound by O. Mayo
9:07.0,,,35-23,,J. Dudley misses 2-pt shot from 1 ft
9:05.0,,,35-23,,Offensive rebound by Team
8:49.0,,,35-25,2,J. O'Bryant makes 2-pt shot from 17 ft (assist by J. Bayless)
8:26.0,E. Kanter misses 2-pt shot from 3 ft,,35-25,,
8:25.0,,,35-25,,Defensive rebound by J. Bayless
8:17.0,,,35-27,2,J. Dudley makes 2-pt shot from 15 ft (assist by J. Bayless)
8:17.0,Utah full timeout,,35-27,,
7:49.0,E. Millsap misses 3-pt shot from 24 ft,,35-27,,
7:48.0,,,35-27,,Defensive rebound by J. O'Bryant
7:42.0,,,35-29,2,O. Mayo makes 2-pt shot at rim (assist by J. Bayless)
7:29.0,,,35-29,,Personal foul by O. Mayo (drawn by T. Booker)
7:29.0,R. Gobert enters the game for T. Booker,,35-29,,
7:19.0,D. Exum misses 2-pt shot at rim,,35-29,,
7:17.0,Offensive rebound by R. Gobert,,35-29,,
7:17.0,R. Gobert misses 2-pt shot at rim,,35-29,,
7:15.0,,,35-29,,Defensive rebound by J. Dudley
7:07.0,,,35-29,,Z. Pachulia misses 2-pt shot from 1 ft
7:05.0,,,35-29,,Offensive rebound by Z. Pachulia
7:04.0,,,35-29,,Z. Pachulia misses 2-pt shot from 1 ft
7:02.0,,,35-29,,Offensive rebound by Z. Pachulia
7:00.0,,,35-29,,Z. Pachulia misses 2-pt shot from 2 ft (block by E. Kanter)
6:58.0,Defensive rebound by E. Kanter,,35-29,,
6:55.0,Turnover by E. Millsap (lost ball),,35-29,,
6:42.0,,,35-31,2,Z. Pachulia makes 2-pt shot from 10 ft (assist by J. Bayless)
6:26.0,E. Kanter makes 2-pt shot at rim,2,37-31,,
6:12.0,,,37-33,2,J. Dudley makes 2-pt shot at rim (assist by J. Bayless)
5:49.0,D. Exum misses 3-pt shot from 25 ft,,37-33,,
5:48.0,,,37-33,,Defensive rebound by J. O'Bryant
5:23.0,,,37-33,,J. Bayless misses 2-pt shot at rim
5:22.0,Defensive rebound by E. Kanter,,37-33,,
5:22.0,,,37-33,,Personal take foul by J. Dudley (drawn by T. Burke)
5:22.0,Official timeout,,37-33,,
5:22.0,,,37-33,,B. Knight enters the game for J. O'Bryant
5:22.0,,,37-33,,G. Antetokounmpo enters the game for J. Bayless
5:22.0,J. Ingles enters the game for T. Burke,,37-33,,
5:22.0,G. Hayward enters the game for E. Millsap,,37-33,,
5:04.0,R. Gobert makes 2-pt shot at rim (assist by J. Ingles),2,39-33,,
4:48.0,,,39-33,,O. Mayo misses 3-pt shot from 23 ft
4:47.0,Defensive rebound by E. Kanter,,39-33,,
4:24.0,Turnover by E. Kanter (bad pass; steal by G. Antetokounmpo),,39-33,,
4:20.0,,,39-35,2,B. Knight makes 2-pt shot from 1 ft (assist by O. Mayo)
3:55.0,G. Hayward misses 2-pt shot from 14 ft,,39-35,,
3:53.0,Offensive rebound by E. Kanter,,39-35,,
3:52.0,E. Kanter makes 2-pt shot at rim,2,41-35,,
3:44.0,,,41-35,,B. Knight misses 2-pt shot at rim
3:42.0,Defensive rebound by R. Gobert,,41-35,,
3:28.0,E. Kanter misses 2-pt shot from 17 ft,,41-35,,
3:26.0,,,41-35,,Defensive rebound by G. Antetokounmpo
3:17.0,,,41-35,,J. Dudley misses 2-pt shot from 15 ft
3:16.0,Defensive rebound by G. Hayward,,41-35,,
3:11.0,,,41-35,,Personal foul by G. Antetokounmpo (drawn by G. Hayward)
3:11.0,,,41-35,,K. Middleton enters the game for O. Mayo
2:57.0,D. Exum makes 3-pt shot from 26 ft (assist by G. Hayward),3,44-35,,
2:42.0,,,44-35,,G. Antetokounmpo misses 2-pt shot from 4 ft
2:41.0,,,44-35,,Offensive rebound by Z. Pachulia
2:41.0,,,44-35,,Z. Pachulia misses 2-pt shot at rim
2:39.0,,,44-35,,Offensive rebound by Z. Pachulia
2:34.0,,,44-38,3,J. Dudley makes 3-pt shot from 26 ft (assist by Z. Pachulia)
2:14.0,,,44-38,,Personal foul by Z. Pachulia (drawn by R. Gobert)
2:14.0,,,44-38,,Milwaukee full timeout
2:14.0,T. Burke enters the game for D. Exum,,44-38,,
2:14.0,,,44-38,,J. O'Bryant enters the game for Z. Pachulia
2:14.0,R. Gobert misses free throw 1 of 2,,44-38,,
2:14.0,Offensive rebound by Team,,44-38,,
2:14.0,,,44-38,,K. Martin enters the game for J. Dudley
2:14.0,R. Gobert makes free throw 2 of 2,1,45-38,,
2:01.0,,,45-38,,K. Martin misses 2-pt shot from 7 ft
2:00.0,Defensive rebound by E. Kanter,,45-38,,
1:45.0,T. Burke makes 2-pt shot from 20 ft (assist by J. Ingles),2,47-38,,
1:28.0,,,47-40,2,J. O'Bryant makes 2-pt shot from 16 ft (assist by B. Knight)
1:10.0,G. Hayward makes 3-pt shot from 23 ft (assist by J. Ingles),3,50-40,,
1:00.0,,,50-42,2,B. Knight makes 2-pt shot from 14 ft
0:46.0,G. Hayward misses 2-pt shot at rim,,50-42,,
0:45.0,Offensive rebound by R. Gobert,,50-42,,
0:44.0,Shooting foul by K. Martin (drawn by R. Gobert),,50-42,,
0:44.0,R. Gobert makes free throw 1 of 2,1,51-42,,
0:44.0,R. Gobert makes free throw 2 of 2,1,52-42,,
0:37.0,Personal block foul by T. Burke (drawn by B. Knight),,52-42,,
0:30.0,,,52-42,,B. Knight misses 2-pt shot from 12 ft
0:29.0,,,52-42,,Offensive rebound by B. Knight
0:29.0,,,52-44,2,B. Knight makes 2-pt shot at rim
0:10.0,Shooting foul by G. Antetokounmpo (drawn by G. Hayward),,52-44,,
0:10.0,G. Hayward makes free throw 1 of 2,1,53-44,,
0:10.0,T. Booker enters the game for E. Kanter,,53-44,,
0:10.0,G. Hayward misses free throw 2 of 2,,53-44,,
0:10.0,,,53-44,,Defensive rebound by K. Middleton
0:04.0,,,53-46,2,G. Antetokounmpo makes 2-pt shot at rim (assist by B. Knight)
0:04.0,,,53-46,,Shooting foul by T. Booker (drawn by G. Antetokounmpo)
0:04.0,,,53-47,1,G. Antetokounmpo makes free throw 1 of 1
0:00.0,T. Burke misses 3-pt shot from 34 ft (block by B. Knight),,53-47,,
0:00.0,Offensive rebound by Team,,53-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,Turnover by R. Gobert (traveling),,53-47,,
11:36.0,,,53-50,3,E. Ilyasova makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
11:15.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,55-50,,
10:56.0,,,55-52,2,B. Knight makes 2-pt shot at rim
10:32.0,Turnover by R. Gobert (bad pass),,55-52,,
10:26.0,,,55-52,,Shooting foul by D. Exum (drawn by B. Knight)
10:26.0,,,55-53,1,B. Knight makes free throw 1 of 2
10:26.0,,,55-54,1,B. Knight makes free throw 2 of 2
10:05.0,Offensive foul by R. Gobert,,55-54,,
10:05.0,Turnover by R. Gobert (offensive foul),,55-54,,
9:43.0,,,55-54,,Z. Pachulia misses 2-pt shot from 17 ft
9:42.0,Defensive rebound by E. Kanter,,55-54,,
9:32.0,R. Gobert makes 2-pt shot at rim (assist by D. Exum),2,57-54,,
9:20.0,,,57-54,,B. Knight misses 3-pt shot from 24 ft
9:19.0,Defensive rebound by G. Hayward,,57-54,,
9:12.0,Turnover by G. Hayward (bad pass; steal by E. Ilyasova),,57-54,,
9:08.0,,,57-56,2,E. Ilyasova makes 2-pt shot at rim
8:42.0,Turnover by D. Exum (lost ball; steal by E. Ilyasova),,57-56,,
8:40.0,,,57-58,2,B. Knight makes 2-pt shot at rim (assist by E. Ilyasova)
8:40.0,,,57-58,,Shooting foul by G. Hayward (drawn by B. Knight)
8:40.0,,,57-59,1,B. Knight makes free throw 1 of 1
8:35.0,,,57-59,,Personal foul by B. Knight (drawn by D. Exum)
8:19.0,Turnover by G. Hayward (lost ball; steal by K. Middleton),,57-59,,
8:17.0,,,57-59,,Shooting foul by J. Ingles (drawn by B. Knight)
8:17.0,,,57-59,,B. Knight misses free throw 1 of 2
8:17.0,,,57-59,,Offensive rebound by Team
8:17.0,T. Booker enters the game for E. Kanter,,57-59,,
8:17.0,,,57-60,1,B. Knight makes free throw 2 of 2
7:58.0,G. Hayward misses 3-pt shot from 27 ft,,57-60,,
7:57.0,,,57-60,,Defensive rebound by G. Antetokounmpo
7:44.0,,,57-63,3,K. Middleton makes 3-pt shot from 23 ft (assist by G. Antetokounmpo)
7:42.0,Utah full timeout,,57-63,,
7:23.0,D. Exum misses 3-pt shot from 23 ft,,57-63,,
7:22.0,,,57-63,,Defensive rebound by K. Middleton
7:19.0,Personal foul by J. Ingles (drawn by B. Knight),,57-63,,
7:16.0,,,57-63,,Turnover by Z. Pachulia (bad pass; steal by R. Gobert)
6:50.0,G. Hayward misses 3-pt shot from 23 ft,,57-63,,
6:49.0,Offensive rebound by T. Booker,,57-63,,
6:46.0,Offensive foul by G. Hayward,,57-63,,
6:46.0,Turnover by G. Hayward (offensive foul),,57-63,,
6:37.0,,,57-63,,Turnover by G. Antetokounmpo (bad pass; steal by G. Hayward)
6:33.0,Shooting foul by G. Antetokounmpo (drawn by T. Booker),,57-63,,
6:33.0,T. Booker misses free throw 1 of 2,,57-63,,
6:33.0,Offensive rebound by Team,,57-63,,
6:33.0,T. Booker makes free throw 2 of 2,1,58-63,,
6:25.0,,,58-65,2,G. Antetokounmpo makes 2-pt shot at rim
6:17.0,J. Ingles makes 3-pt shot from 23 ft (assist by D. Exum),3,61-65,,
6:08.0,Personal foul by G. Hayward (drawn by G. Antetokounmpo),,61-65,,
6:08.0,T. Burke enters the game for G. Hayward,,61-65,,
6:08.0,,,61-66,1,G. Antetokounmpo makes free throw 1 of 2
6:08.0,,,61-67,1,G. Antetokounmpo makes free throw 2 of 2
5:45.0,J. Ingles misses 2-pt shot at rim,,61-67,,
5:43.0,,,61-67,,Defensive rebound by Z. Pachulia
5:28.0,,,61-69,2,K. Middleton makes 2-pt shot from 17 ft (assist by B. Knight)
5:04.0,T. Burke makes 3-pt shot from 26 ft,3,64-69,,
4:42.0,Shooting block foul by J. Ingles (drawn by Z. Pachulia),,64-69,,
4:42.0,,,64-70,1,Z. Pachulia makes free throw 1 of 2
4:42.0,E. Millsap enters the game for J. Ingles,,64-70,,
4:42.0,,,64-71,1,Z. Pachulia makes free throw 2 of 2
4:27.0,Turnover by E. Millsap (lost ball; steal by G. Antetokounmpo),,64-71,,
4:21.0,,,64-71,,K. Middleton misses 2-pt shot at rim
4:18.0,,,64-71,,Offensive rebound by G. Antetokounmpo
4:18.0,,,64-73,2,G. Antetokounmpo makes 2-pt shot at rim
4:10.0,T. Burke misses 3-pt shot from 24 ft,,64-73,,
4:09.0,,,64-73,,Defensive rebound by G. Antetokounmpo
3:56.0,,,64-75,2,B. Knight makes 2-pt shot from 4 ft
3:37.0,Turnover by T. Burke (lost ball; steal by G. Antetokounmpo),,64-75,,
3:32.0,,,64-75,,B. Knight misses 2-pt shot at rim (block by E. Millsap)
3:32.0,Defensive rebound by Team,,64-75,,
3:32.0,,,64-75,,J. Dudley enters the game for G. Antetokounmpo
3:32.0,,,64-75,,J. Henson enters the game for Z. Pachulia
3:13.0,D. Exum makes 3-pt shot from 24 ft (assist by T. Burke),3,67-75,,
2:55.0,,,67-75,,B. Knight misses 2-pt shot from 16 ft
2:54.0,Defensive rebound by R. Gobert,,67-75,,
2:42.0,T. Burke misses 3-pt shot from 23 ft,,67-75,,
2:41.0,Offensive rebound by T. Booker,,67-75,,
2:41.0,,,67-75,,Personal foul by K. Middleton (drawn by T. Booker)
2:41.0,,,67-75,,Milwaukee full timeout
2:41.0,,,67-75,,O. Mayo enters the game for E. Ilyasova
2:41.0,,,67-75,,J. O'Bryant enters the game for K. Middleton
2:41.0,,,67-75,,J. Bayless enters the game for B. Knight
2:41.0,E. Kanter enters the game for R. Gobert,,67-75,,
2:31.0,T. Burke makes 2-pt shot from 7 ft (assist by D. Exum),2,69-75,,
2:14.0,,,69-75,,Turnover by J. Bayless (traveling)
2:02.0,,,69-75,,Personal foul by J. Henson (drawn by E. Kanter)
1:48.0,Turnover by T. Burke (bad pass; steal by O. Mayo),,69-75,,
1:45.0,,,69-75,,J. Bayless misses 2-pt shot at rim
1:43.0,,,69-75,,Offensive rebound by O. Mayo
1:43.0,,,69-77,2,O. Mayo makes 2-pt shot from 1 ft
1:34.0,D. Exum misses 2-pt shot from 7 ft,,69-77,,
1:33.0,,,69-77,,Defensive rebound by J. Henson
1:21.0,Violation by E. Millsap (kicked ball),,69-77,,
1:21.0,J. Ingles enters the game for D. Exum,,69-77,,
1:11.0,,,69-77,,J. O'Bryant misses 2-pt shot from 17 ft
1:09.0,Defensive rebound by T. Burke,,69-77,,
0:51.0,E. Millsap makes 3-pt shot from 23 ft (assist by J. Ingles),3,72-77,,
0:29.0,,,72-77,,Turnover by O. Mayo (bad pass; steal by E. Kanter)
0:29.0,,,72-77,,Personal foul by O. Mayo (drawn by E. Kanter)
0:29.0,E. Kanter makes free throw 1 of 2,1,73-77,,
0:29.0,E. Kanter makes free throw 2 of 2,1,74-77,,
0:06.0,,,74-79,2,J. Bayless makes 2-pt shot from 18 ft
0:02.0,Shooting foul by J. O'Bryant (drawn by E. Millsap),,74-79,,
0:02.0,E. Millsap makes free throw 1 of 2,1,75-79,,
0:02.0,E. Millsap makes free throw 2 of 2,1,76-79,,
0:01.0,,,76-79,,Turnover by J. Henson (bad pass; steal by E. Millsap)
0:00.0,E. Millsap misses 3-pt shot from 38 ft,,76-79,,
0:00.0,Offensive rebound by Team,,76-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,76-79,,O. Mayo misses 2-pt shot at rim
11:46.0,Defensive rebound by E. Kanter,,76-79,,
11:31.0,T. Burke misses 3-pt shot from 23 ft,,76-79,,
11:30.0,Offensive rebound by E. Millsap,,76-79,,
11:20.0,E. Kanter misses 2-pt shot from 8 ft (block by O. Mayo),,76-79,,
11:17.0,,,76-79,,Defensive rebound by J. Henson
11:10.0,,,76-81,2,J. Bayless makes 2-pt shot from 16 ft
10:55.0,,,76-81,,Personal foul by J. Bayless (drawn by R. Gobert)
10:55.0,T. Booker enters the game for E. Kanter,,76-81,,
10:44.0,G. Hayward misses 2-pt shot at rim,,76-81,,
10:43.0,Offensive rebound by G. Hayward,,76-81,,
10:43.0,G. Hayward makes 2-pt shot at rim,2,78-81,,
10:17.0,,,78-81,,J. O'Bryant misses 2-pt shot from 14 ft
10:16.0,Defensive rebound by G. Hayward,,78-81,,
10:13.0,E. Kanter enters the game for T. Booker,,78-81,,
10:05.0,E. Kanter makes 2-pt shot at rim (assist by G. Hayward),2,80-81,,
9:46.0,,,80-81,,J. Henson misses 2-pt shot from 4 ft
9:45.0,Defensive rebound by E. Millsap,,80-81,,
9:42.0,Shooting foul by J. Bayless (drawn by E. Kanter),,80-81,,
9:42.0,E. Kanter makes free throw 1 of 2,1,81-81,,
9:42.0,E. Kanter makes free throw 2 of 2,1,82-81,,
9:30.0,,,82-83,2,J. Henson makes 2-pt shot at rim (assist by J. Bayless)
8:59.0,Turnover by T. Burke (bad pass; steal by J. Dudley),,82-83,,
8:54.0,,,82-85,2,J. Dudley makes 2-pt shot at rim (assist by O. Mayo)
8:35.0,Shooting foul by J. O'Bryant (drawn by G. Hayward),,82-85,,
8:35.0,Official timeout,,82-85,,
8:35.0,G. Hayward makes free throw 1 of 2,1,83-85,,
8:35.0,G. Hayward makes free throw 2 of 2,1,84-85,,
8:24.0,,,84-85,,O. Mayo misses 2-pt shot from 11 ft
8:22.0,Defensive rebound by E. Kanter,,84-85,,
8:07.0,T. Burke misses 2-pt shot from 9 ft (block by J. Bayless),,84-85,,
8:07.0,,,84-85,,Defensive rebound by J. Dudley
8:07.0,Personal foul by E. Millsap (drawn by O. Mayo),,84-85,,
7:57.0,,,84-85,,J. O'Bryant misses 2-pt shot from 19 ft
7:56.0,,,84-85,,Offensive rebound by J. Henson
7:52.0,,,84-85,,J. Dudley misses 3-pt shot from 23 ft
7:51.0,,,84-85,,Offensive rebound by J. O'Bryant
7:48.0,,,84-87,2,J. Henson makes 2-pt shot from 4 ft (assist by J. O'Bryant)
7:27.0,,,84-87,,Shooting block foul by J. O'Bryant (drawn by G. Hayward)
7:27.0,G. Hayward makes free throw 1 of 2,1,85-87,,
7:27.0,D. Exum enters the game for T. Burke,,85-87,,
7:27.0,J. Ingles enters the game for E. Millsap,,85-87,,
7:27.0,G. Hayward makes free throw 2 of 2,1,86-87,,
7:16.0,,,86-89,2,J. Bayless makes 2-pt shot from 3 ft (assist by O. Mayo)
6:50.0,D. Exum misses 3-pt shot from 26 ft,,86-89,,
6:49.0,,,86-89,,Defensive rebound by J. Henson
6:47.0,,,86-89,,Turnover by J. Henson (bad pass)
6:47.0,T. Booker enters the game for R. Gobert,,86-89,,
6:37.0,J. Ingles makes 3-pt shot from 23 ft (assist by T. Booker),3,89-89,,
6:10.0,,,89-89,,J. O'Bryant misses 2-pt shot at rim
6:08.0,,,89-89,,Offensive rebound by J. O'Bryant
6:08.0,,,89-91,2,J. O'Bryant makes 2-pt shot from 1 ft
5:49.0,E. Kanter makes 2-pt shot from 18 ft (assist by D. Exum),2,91-91,,
5:29.0,,,91-91,,Turnover by O. Mayo (bad pass; steal by T. Booker)
5:23.0,E. Kanter misses 2-pt shot at rim (block by J. Henson),,91-91,,
5:23.0,Offensive rebound by Team,,91-91,,
5:23.0,,,91-91,,Milwaukee full timeout
5:23.0,,,91-91,,G. Antetokounmpo enters the game for J. O'Bryant
5:23.0,,,91-91,,B. Knight enters the game for J. Bayless
5:13.0,,,91-91,,Personal block foul by O. Mayo (drawn by G. Hayward)
5:13.0,G. Hayward makes free throw 1 of 2,1,92-91,,
5:13.0,G. Hayward makes free throw 2 of 2,1,93-91,,
5:03.0,,,93-91,,Turnover by O. Mayo (bad pass; steal by E. Kanter)
4:43.0,J. Ingles misses 2-pt shot from 5 ft,,93-91,,
4:42.0,,,93-91,,Defensive rebound by J. Dudley
4:36.0,,,93-91,,G. Antetokounmpo misses 2-pt shot at rim
4:35.0,Defensive rebound by E. Kanter,,93-91,,
4:12.0,E. Kanter makes 2-pt shot from 1 ft (assist by G. Hayward),2,95-91,,
4:12.0,Shooting foul by G. Antetokounmpo (drawn by E. Kanter),,95-91,,
4:12.0,,,95-91,,K. Middleton enters the game for O. Mayo
4:12.0,,,95-91,,Z. Pachulia enters the game for J. Henson
4:12.0,E. Kanter makes free throw 1 of 1,1,96-91,,
3:50.0,,,96-91,,K. Middleton misses 2-pt shot from 15 ft
3:49.0,,,96-91,,Offensive rebound by Z. Pachulia
3:47.0,,,96-91,,Turnover by Z. Pachulia (bad pass; steal by G. Hayward)
3:47.0,,,96-91,,Personal foul by B. Knight (drawn by G. Hayward)
3:47.0,G. Hayward misses free throw 1 of 2,,96-91,,
3:47.0,Offensive rebound by Team,,96-91,,
3:47.0,G. Hayward makes free throw 2 of 2,1,97-91,,
3:29.0,,,97-91,,Z. Pachulia misses 2-pt shot from 1 ft
3:27.0,Defensive rebound by J. Ingles,,97-91,,
3:10.0,G. Hayward makes 2-pt shot at rim,2,99-91,,
3:09.0,,,99-91,,Milwaukee full timeout
2:56.0,Shooting block foul by E. Kanter (drawn by J. Dudley),,99-91,,
2:56.0,,,99-92,1,J. Dudley makes free throw 1 of 2
