time,Phoenix,pts.away,score,pts.home,San Antonio
7:51.0,,,4-10,,T. Parker misses 2-pt shot at rim
7:49.0,Defensive rebound by P. Tucker,,4-10,,
7:44.0,P. Tucker misses 2-pt shot from 3 ft,,4-10,,
7:43.0,,,4-10,,Defensive rebound by K. Leonard
7:34.0,,,4-10,,T. Parker misses 2-pt shot at rim
7:33.0,,,4-10,,Offensive rebound by T. Duncan
7:33.0,,,4-12,2,T. Duncan makes 2-pt shot at rim
7:18.0,Turnover by M. Morris (offensive foul),,4-12,,
7:18.0,Offensive foul by M. Morris,,4-12,,
7:18.0,T. Warren enters the game for M. Morris,,4-12,,
7:18.0,,,4-12,,M. Ginobili enters the game for D. Green
7:00.0,Defensive rebound by M. Morris,,4-12,,
6:55.0,P. Tucker makes 2-pt shot from 2 ft,2,6-12,,
6:42.0,Violation by M. Morris (kicked ball),,6-12,,
6:42.0,E. Barron enters the game for M. Morris,,6-12,,
6:30.0,,,6-12,,K. Leonard misses 2-pt shot from 16 ft
6:29.0,,,6-12,,Offensive rebound by T. Duncan
6:25.0,,,6-15,3,M. Ginobili makes 3-pt shot from 24 ft (assist by T. Duncan)
6:17.0,Phoenix full timeout,,6-15,,
6:17.0,,,6-15,,A. Baynes enters the game for T. Duncan
6:17.0,G. Green enters the game for A. Goodwin,,6-15,,
6:03.0,P. Tucker misses 2-pt shot from 1 ft,,6-15,,
6:02.0,,,6-15,,Defensive rebound by M. Ginobili
5:41.0,,,6-15,,B. Diaw misses 2-pt shot from 8 ft
5:41.0,Defensive rebound by P. Tucker,,6-15,,
5:38.0,Turnover by P. Tucker (bad pass; steal by M. Ginobili),,6-15,,
5:29.0,,,6-15,,K. Leonard misses 2-pt shot from 17 ft
5:28.0,Defensive rebound by T. Warren,,6-15,,
5:17.0,G. Green misses 2-pt shot from 16 ft,,6-15,,
5:16.0,,,6-15,,Defensive rebound by Team
5:16.0,M. Morris enters the game for P. Tucker,,6-15,,
4:58.0,,,6-17,2,B. Diaw makes 2-pt shot from 1 ft
4:44.0,M. Morris misses 3-pt shot from 25 ft,,6-17,,
4:43.0,,,6-17,,Defensive rebound by K. Leonard
4:34.0,,,6-17,,Turnover by B. Diaw (traveling)
4:14.0,E. Bledsoe makes 2-pt shot from 13 ft,2,8-17,,
4:03.0,,,8-17,,Turnover by M. Ginobili (bad pass)
3:51.0,E. Bledsoe misses 2-pt shot from 7 ft,,8-17,,
3:50.0,,,8-17,,Defensive rebound by K. Leonard
3:46.0,Violation by M. Morris (kicked ball),,8-17,,
3:40.0,,,8-19,2,T. Parker makes 2-pt shot from 16 ft
3:26.0,Shooting foul by A. Baynes (drawn by G. Green),,8-19,,
3:26.0,G. Green makes free throw 1 of 2,1,9-19,,
3:26.0,,,9-19,,San Antonio full timeout
3:26.0,,,9-19,,D. Green enters the game for B. Diaw
3:26.0,G. Green makes free throw 2 of 2,1,10-19,,
3:13.0,,,10-19,,K. Leonard misses 3-pt shot from 25 ft
3:12.0,Defensive rebound by G. Green,,10-19,,
3:04.0,G. Green makes 2-pt shot from 21 ft,2,12-19,,
2:47.0,,,12-19,,M. Ginobili misses 2-pt shot at rim
2:46.0,Defensive rebound by G. Green,,12-19,,
2:39.0,E. Barron makes 2-pt shot from 18 ft (assist by G. Green),2,14-19,,
2:24.0,,,14-19,,Offensive charge foul by T. Parker
2:24.0,,,14-19,,Turnover by T. Parker (offensive foul)
2:24.0,,,14-19,,P. Mills enters the game for T. Parker
2:24.0,,,14-19,,M. Belinelli enters the game for K. Leonard
2:24.0,J. McNeal enters the game for E. Bledsoe,,14-19,,
2:07.0,G. Green misses 2-pt shot from 3 ft (block by M. Ginobili),,14-19,,
2:06.0,Offensive rebound by E. Barron,,14-19,,
2:01.0,M. Morris misses 2-pt shot from 10 ft,,14-19,,
2:00.0,,,14-19,,Defensive rebound by A. Baynes
1:53.0,,,14-19,,D. Green misses 3-pt shot from 25 ft
1:51.0,Defensive rebound by G. Green,,14-19,,
1:45.0,G. Green makes 2-pt shot from 2 ft,2,16-19,,
1:35.0,Personal foul by E. Barron (drawn by M. Ginobili),,16-19,,
1:25.0,,,16-19,,P. Mills misses 2-pt shot from 19 ft
1:23.0,Defensive rebound by M. Morris,,16-19,,
1:13.0,E. Barron misses 2-pt shot from 16 ft,,16-19,,
1:12.0,,,16-19,,Defensive rebound by D. Green
0:53.0,,,16-19,,M. Belinelli misses 3-pt shot from 25 ft
0:52.0,Defensive rebound by M. Morris,,16-19,,
0:37.0,G. Green makes 2-pt shot from 18 ft,2,18-19,,
0:33.0,Personal foul by E. Barron (drawn by M. Ginobili),,18-19,,
0:33.0,,,18-19,,M. Ginobili misses free throw 1 of 2
0:33.0,,,18-19,,Offensive rebound by Team
0:33.0,,,18-20,1,M. Ginobili makes free throw 2 of 2
0:11.0,J. McNeal misses 2-pt shot from 9 ft,,18-20,,
0:07.0,,,18-20,,Defensive rebound by P. Mills
0:05.0,,,18-20,,Turnover by P. Mills (bad pass)
0:03.0,,,18-20,,Personal foul by M. Ginobili (drawn by G. Green)
0:01.0,G. Green misses 3-pt shot from 24 ft,,18-20,,
0:00.0,,,18-20,,Defensive rebound by M. Belinelli
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
12:00.0,Technical foul by Team,,18-20,,
12:00.0,,,18-21,1,D. Green makes technical free throw
11:39.0,G. Green misses 2-pt shot from 1 ft,,18-21,,
11:38.0,,,18-21,,Defensive rebound by Team
11:20.0,,,18-23,2,K. Leonard makes 2-pt shot from 1 ft
11:07.0,G. Green misses 2-pt shot from 15 ft,,18-23,,
11:07.0,Offensive rebound by M. Morris,,18-23,,
11:07.0,,,18-23,,Loose ball foul by D. Green (drawn by M. Morris)
11:07.0,M. Morris enters the game for M. Morris,,18-23,,
11:07.0,P. Tucker enters the game for T. Warren,,18-23,,
10:50.0,E. Bledsoe makes 2-pt shot from 11 ft,2,20-23,,
10:29.0,A. Goodwin enters the game for G. Green,,20-23,,
10:24.0,,,20-23,,K. Leonard misses 2-pt shot from 1 ft
10:23.0,Defensive rebound by E. Bledsoe,,20-23,,
10:12.0,,,20-23,,Personal foul by D. Green (drawn by M. Morris)
10:04.0,M. Morris misses 2-pt shot from 5 ft,,20-23,,
10:03.0,,,20-23,,Defensive rebound by C. Joseph
9:56.0,Personal foul by P. Tucker (drawn by C. Joseph),,20-23,,
9:48.0,,,20-25,2,A. Baynes makes 2-pt shot from 7 ft (assist by C. Joseph)
9:32.0,A. Goodwin misses 2-pt shot from 2 ft (block by A. Baynes),,20-25,,
9:31.0,,,20-25,,Defensive rebound by M. Belinelli
9:19.0,,,20-27,2,M. Belinelli makes 2-pt shot from 20 ft (assist by C. Joseph)
8:59.0,P. Tucker misses 2-pt shot from 19 ft,,20-27,,
8:58.0,Offensive rebound by E. Barron,,20-27,,
8:52.0,A. Goodwin misses 2-pt shot from 9 ft,,20-27,,
8:51.0,Offensive rebound by E. Barron,,20-27,,
8:51.0,E. Barron makes 2-pt shot from 1 ft,2,22-27,,
8:40.0,,,22-27,,D. Green misses 3-pt shot from 26 ft
8:39.0,Defensive rebound by E. Bledsoe,,22-27,,
8:29.0,E. Barron misses 2-pt shot from 18 ft,,22-27,,
8:28.0,,,22-27,,Defensive rebound by K. Leonard
8:13.0,,,22-30,3,M. Belinelli makes 3-pt shot from 25 ft (assist by D. Green)
7:56.0,A. Goodwin misses 3-pt shot from 24 ft,,22-30,,
7:55.0,,,22-30,,Defensive rebound by K. Leonard
7:46.0,,,22-33,3,D. Green makes 3-pt shot from 23 ft (assist by C. Joseph)
7:45.0,Phoenix full timeout,,22-33,,
7:45.0,T. Warren enters the game for E. Barron,,22-33,,
7:45.0,,,22-33,,T. Duncan enters the game for A. Baynes
7:45.0,,,22-33,,B. Diaw enters the game for D. Green
7:29.0,M. Morris misses 3-pt shot from 26 ft,,22-33,,
7:28.0,,,22-33,,Defensive rebound by T. Duncan
7:16.0,,,22-33,,Shooting foul by A. Goodwin (drawn by M. Belinelli)
7:16.0,,,22-34,1,M. Belinelli makes free throw 1 of 3
7:16.0,,,22-35,1,M. Belinelli makes free throw 2 of 3
7:16.0,G. Green enters the game for A. Goodwin,,22-35,,
7:16.0,,,22-36,1,M. Belinelli makes free throw 3 of 3
7:04.0,E. Bledsoe makes 2-pt shot from 22 ft,2,24-36,,
6:49.0,,,24-36,,Shooting foul by T. Warren (drawn by K. Leonard)
6:49.0,,,24-37,1,K. Leonard makes free throw 1 of 2
6:49.0,,,24-38,1,K. Leonard makes free throw 2 of 2
6:32.0,E. Bledsoe misses 3-pt shot from 24 ft,,24-38,,
6:31.0,,,24-38,,Defensive rebound by T. Duncan
6:24.0,,,24-38,,Turnover by M. Belinelli (bad pass)
6:05.0,E. Bledsoe makes 2-pt shot at rim (assist by G. Green),2,26-38,,
6:04.0,,,26-38,,San Antonio full timeout
6:04.0,,,26-38,,T. Parker enters the game for C. Joseph
5:49.0,Personal foul by T. Warren (drawn by M. Belinelli),,26-38,,
5:40.0,,,26-38,,Turnover by B. Diaw (bad pass; steal by M. Morris)
5:32.0,M. Morris makes 2-pt shot from 16 ft (assist by E. Bledsoe),2,28-38,,
5:13.0,,,28-38,,Shooting foul by M. Morris (drawn by T. Duncan)
5:13.0,,,28-39,1,T. Duncan makes free throw 1 of 2
5:13.0,,,28-40,1,T. Duncan makes free throw 2 of 2
4:58.0,,,28-40,,Personal foul by M. Belinelli (drawn by G. Green)
4:58.0,M. Morris enters the game for M. Morris,,28-40,,
4:58.0,,,28-40,,D. Green enters the game for K. Leonard
4:53.0,G. Green makes 2-pt shot from 18 ft (assist by E. Bledsoe),2,30-40,,
4:30.0,,,30-40,,M. Belinelli misses 2-pt shot from 21 ft
4:29.0,Defensive rebound by P. Tucker,,30-40,,
4:13.0,G. Green makes 2-pt shot from 20 ft,2,32-40,,
3:53.0,,,32-40,,D. Green misses 2-pt shot from 17 ft
3:52.0,Defensive rebound by M. Morris,,32-40,,
3:36.0,,,32-42,2,M. Belinelli makes 2-pt shot from 1 ft (assist by T. Duncan)
3:17.0,P. Tucker misses 3-pt shot from 23 ft,,32-42,,
3:16.0,,,32-42,,Defensive rebound by B. Diaw
3:07.0,,,32-44,2,T. Duncan makes 2-pt shot from 3 ft (assist by T. Parker)
3:00.0,Shooting foul by T. Duncan (drawn by G. Green),,32-44,,
3:00.0,G. Green misses free throw 1 of 2,,32-44,,
3:00.0,Offensive rebound by Team,,32-44,,
3:00.0,G. Green makes free throw 2 of 2,1,33-44,,
2:42.0,,,33-44,,T. Parker misses 3-pt shot from 23 ft
2:41.0,Defensive rebound by G. Green,,33-44,,
2:31.0,G. Green misses 2-pt shot from 2 ft,,33-44,,
2:30.0,,,33-44,,Defensive rebound by B. Diaw
2:21.0,,,33-47,3,D. Green makes 3-pt shot from 23 ft (assist by M. Belinelli)
2:02.0,M. Morris makes 2-pt shot from 20 ft,2,35-47,,
2:02.0,,,35-47,,Away from play foul by D. Green (drawn by G. Green)
2:02.0,Official timeout,,35-47,,
2:02.0,,,35-47,,M. Ginobili enters the game for D. Green
2:02.0,G. Green misses free throw 1 of 1,,35-47,,
2:02.0,,,35-47,,Defensive rebound by T. Duncan
1:44.0,,,35-47,,B. Diaw misses 2-pt shot from 2 ft
1:43.0,,,35-47,,Offensive rebound by T. Duncan
1:27.0,,,35-47,,T. Duncan misses 2-pt shot from 10 ft
1:25.0,,,35-47,,Offensive rebound by M. Ginobili
1:13.0,,,35-47,,K. Leonard enters the game for T. Duncan
1:12.0,,,35-47,,Shooting foul by G. Green (drawn by M. Ginobili)
1:12.0,,,35-48,1,M. Ginobili makes free throw 1 of 2
1:12.0,,,35-49,1,M. Ginobili makes free throw 2 of 2
1:00.0,T. Warren misses 2-pt shot from 2 ft,,35-49,,
0:59.0,,,35-49,,Defensive rebound by K. Leonard
0:49.0,,,35-49,,Shooting foul by T. Warren (drawn by B. Diaw)
0:49.0,,,35-50,1,B. Diaw makes free throw 1 of 2
0:49.0,,,35-51,1,B. Diaw makes free throw 2 of 2
0:40.0,,,35-51,,Personal foul by M. Ginobili (drawn by E. Bledsoe)
0:40.0,E. Bledsoe makes free throw 1 of 2,1,36-51,,
0:40.0,E. Bledsoe makes free throw 2 of 2,1,37-51,,
0:29.0,,,37-51,,M. Belinelli misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by M. Morris,,37-51,,
0:05.0,T. Warren makes 2-pt shot from 12 ft (assist by E. Bledsoe),2,39-51,,
0:01.0,,,39-51,,T. Parker misses 2-pt shot from 1 ft (block by T. Warren)
0:01.0,,,39-51,,Offensive rebound by Team
0:01.0,,,39-51,,T. Duncan enters the game for M. Belinelli
0:01.0,E. Barron enters the game for T. Warren,,39-51,,
0:00.0,,,39-51,,T. Duncan misses 2-pt shot from 7 ft
0:00.0,,,39-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,E. Bledsoe misses 3-pt shot from 24 ft,,39-51,,
11:38.0,Offensive rebound by M. Morris,,39-51,,
11:37.0,Turnover by M. Morris (step out of bounds),,39-51,,
11:23.0,,,39-51,,Turnover by B. Diaw (lost ball)
11:09.0,Turnover by A. Goodwin (bad pass; steal by T. Duncan),,39-51,,
10:58.0,,,39-53,2,K. Leonard makes 2-pt shot from 14 ft (assist by D. Green)
10:41.0,M. Morris misses 2-pt shot from 16 ft,,39-53,,
10:40.0,,,39-53,,Defensive rebound by K. Leonard
10:33.0,,,39-53,,Turnover by D. Green (step out of bounds)
10:19.0,M. Morris makes 2-pt shot from 17 ft,2,41-53,,
10:11.0,Personal foul by M. Morris (drawn by T. Duncan),,41-53,,
10:01.0,,,41-55,2,T. Duncan makes 2-pt shot at rim (assist by D. Green)
9:47.0,M. Morris misses 2-pt shot from 20 ft,,41-55,,
9:46.0,,,41-55,,Defensive rebound by B. Diaw
9:30.0,,,41-55,,D. Green misses 3-pt shot from 24 ft
9:29.0,,,41-55,,Offensive rebound by B. Diaw
9:28.0,Shooting block foul by M. Morris (drawn by T. Duncan),,41-55,,
9:28.0,,,41-56,1,T. Duncan makes free throw 1 of 2
9:28.0,,,41-57,1,T. Duncan makes free throw 2 of 2
9:15.0,,,41-57,,Personal foul by K. Leonard (drawn by E. Bledsoe)
9:08.0,Turnover by E. Bledsoe (bad pass; steal by K. Leonard),,41-57,,
9:02.0,,,41-57,,B. Diaw misses 2-pt shot from 2 ft
9:01.0,Defensive rebound by M. Morris,,41-57,,
8:57.0,A. Goodwin makes 2-pt shot from 1 ft (assist by E. Bledsoe),2,43-57,,
8:37.0,,,43-57,,K. Leonard misses 2-pt shot from 20 ft
8:36.0,Defensive rebound by M. Morris,,43-57,,
8:33.0,M. Morris makes 2-pt shot at rim (assist by M. Morris),2,45-57,,
8:12.0,,,45-59,2,T. Duncan makes 2-pt shot at rim (assist by K. Leonard)
7:55.0,A. Goodwin misses 2-pt shot from 9 ft (block by T. Duncan),,45-59,,
7:54.0,Offensive rebound by Team,,45-59,,
7:54.0,,,45-59,,M. Ginobili enters the game for D. Green
7:49.0,M. Morris makes 2-pt shot from 17 ft (assist by P. Tucker),2,47-59,,
7:29.0,,,47-61,2,T. Parker makes 2-pt shot from 9 ft (assist by T. Duncan)
7:17.0,Shooting foul by B. Diaw (drawn by E. Bledsoe),,47-61,,
7:17.0,E. Bledsoe makes free throw 1 of 2,1,48-61,,
7:17.0,E. Bledsoe makes free throw 2 of 2,1,49-61,,
7:07.0,Personal foul by E. Bledsoe (drawn by T. Parker),,49-61,,
7:07.0,T. Warren enters the game for M. Morris,,49-61,,
6:59.0,,,49-61,,T. Duncan misses 2-pt shot at rim (block by A. Goodwin)
6:58.0,Defensive rebound by M. Morris,,49-61,,
6:50.0,T. Warren misses 2-pt shot from 1 ft,,49-61,,
6:49.0,Offensive rebound by T. Warren,,49-61,,
6:43.0,A. Goodwin misses 2-pt shot at rim,,49-61,,
6:42.0,,,49-61,,Defensive rebound by B. Diaw
6:31.0,,,49-61,,T. Parker misses 2-pt shot from 1 ft
6:30.0,Defensive rebound by P. Tucker,,49-61,,
6:12.0,Shooting foul by M. Ginobili (drawn by M. Morris),,49-61,,
6:12.0,M. Morris makes free throw 1 of 2,1,50-61,,
6:12.0,,,50-61,,San Antonio full timeout
6:12.0,,,50-61,,A. Baynes enters the game for T. Duncan
6:12.0,,,50-61,,C. Joseph enters the game for T. Parker
6:12.0,,,50-61,,M. Belinelli enters the game for B. Diaw
6:12.0,M. Morris misses free throw 2 of 2,,50-61,,
6:11.0,Offensive rebound by A. Goodwin,,50-61,,
5:57.0,E. Bledsoe makes 2-pt shot from 14 ft,2,52-61,,
5:28.0,,,52-63,2,C. Joseph makes 2-pt shot from 1 ft (assist by M. Ginobili)
5:11.0,Shooting foul by C. Joseph (drawn by M. Morris),,52-63,,
5:11.0,M. Morris makes free throw 1 of 2,1,53-63,,
5:11.0,G. Green enters the game for A. Goodwin,,53-63,,
5:11.0,M. Morris makes free throw 2 of 2,1,54-63,,
4:58.0,,,54-63,,Shooting foul by G. Green (drawn by M. Ginobili)
4:58.0,,,54-63,,M. Ginobili misses free throw 1 of 2
4:58.0,,,54-63,,Offensive rebound by Team
4:58.0,E. Barron enters the game for M. Morris,,54-63,,
4:58.0,,,54-63,,M. Ginobili misses free throw 2 of 2
4:57.0,Defensive rebound by P. Tucker,,54-63,,
4:46.0,P. Tucker misses 2-pt shot from 21 ft,,54-63,,
4:45.0,,,54-63,,Defensive rebound by M. Belinelli
4:23.0,,,54-66,3,M. Belinelli makes 3-pt shot from 25 ft (assist by C. Joseph)
4:03.0,Shooting foul by M. Ginobili (drawn by E. Barron),,54-66,,
4:03.0,E. Barron makes free throw 1 of 2,1,55-66,,
4:03.0,E. Barron misses free throw 2 of 2,,55-66,,
4:02.0,,,55-66,,Defensive rebound by A. Baynes
3:45.0,,,55-68,2,A. Baynes makes 2-pt shot from 1 ft (assist by M. Ginobili)
3:21.0,G. Green makes 3-pt shot from 22 ft,3,58-68,,
2:57.0,,,58-68,,Turnover by M. Belinelli (bad pass; steal by T. Warren)
2:46.0,,,58-68,,Personal foul by A. Baynes (drawn by G. Green)
2:46.0,Phoenix full timeout,,58-68,,
2:46.0,,,58-68,,D. Green enters the game for K. Leonard
2:46.0,G. Green makes free throw 1 of 2,1,59-68,,
2:46.0,G. Green makes free throw 2 of 2,1,60-68,,
2:40.0,Personal foul by T. Warren (drawn by M. Ginobili),,60-68,,
2:40.0,,,60-69,1,M. Ginobili makes free throw 1 of 2
2:40.0,,,60-70,1,M. Ginobili makes free throw 2 of 2
2:26.0,G. Green misses 2-pt shot from 10 ft,,60-70,,
2:25.0,,,60-70,,Defensive rebound by C. Joseph
2:18.0,,,60-70,,M. Ginobili misses 3-pt shot from 25 ft
2:17.0,Defensive rebound by P. Tucker,,60-70,,
1:58.0,E. Barron misses 2-pt shot from 2 ft,,60-70,,
1:57.0,,,60-70,,Defensive rebound by M. Ginobili
1:43.0,,,60-73,3,C. Joseph makes 3-pt shot from 22 ft (assist by M. Ginobili)
1:26.0,E. Bledsoe makes 2-pt shot from 1 ft,2,62-73,,
1:06.0,Personal foul by T. Warren (drawn by M. Ginobili),,62-73,,
1:06.0,,,62-74,1,M. Ginobili makes free throw 1 of 2
1:06.0,A. Goodwin enters the game for T. Warren,,62-74,,
1:06.0,M. Morris enters the game for E. Bledsoe,,62-74,,
1:06.0,,,62-74,,M. Ginobili misses free throw 2 of 2
1:05.0,Defensive rebound by E. Barron,,62-74,,
0:50.0,G. Green makes 2-pt shot from 10 ft (assist by E. Barron),2,64-74,,
0:34.0,,,64-76,2,C. Joseph makes 2-pt shot from 15 ft
0:13.0,M. Morris misses 2-pt shot from 13 ft,,64-76,,
0:12.0,,,64-76,,Defensive rebound by C. Joseph
0:01.0,,,64-76,,M. Belinelli misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by P. Tucker,,64-76,,
0:01.0,,,64-76,,Loose ball foul by A. Baynes (drawn by P. Tucker)
0:01.0,P. Tucker makes free throw 1 of 2,1,65-76,,
0:01.0,P. Tucker misses free throw 2 of 2,,65-76,,
0:00.0,Offensive rebound by Team,,65-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,65-78,2,T. Duncan makes 2-pt shot from 2 ft (assist by M. Ginobili)
11:45.0,,,65-78,,Shooting foul by M. Morris (drawn by T. Duncan)
11:45.0,,,65-79,1,T. Duncan makes free throw 1 of 1
11:27.0,A. Goodwin misses 2-pt shot from 2 ft (block by M. Ginobili),,65-79,,
11:25.0,Offensive rebound by A. Goodwin,,65-79,,
11:21.0,A. Goodwin misses 3-pt shot from 25 ft,,65-79,,
11:20.0,Offensive rebound by M. Morris,,65-79,,
11:14.0,G. Green misses 2-pt shot from 12 ft,,65-79,,
11:13.0,Offensive rebound by A. Goodwin,,65-79,,
11:12.0,A. Goodwin makes 2-pt shot from 1 ft,2,67-79,,
11:12.0,Shooting foul by C. Joseph (drawn by A. Goodwin),,67-79,,
11:12.0,,,67-79,,K. Leonard enters the game for M. Ginobili
11:12.0,M. Morris enters the game for E. Barron,,67-79,,
11:12.0,A. Goodwin makes free throw 1 of 1,1,68-79,,
10:48.0,,,68-79,,C. Joseph misses 3-pt shot from 23 ft
10:47.0,Defensive rebound by P. Tucker,,68-79,,
10:41.0,Turnover by G. Green (bad pass; steal by D. Green),,68-79,,
10:37.0,Shooting block foul by A. Goodwin (drawn by D. Green),,68-79,,
10:37.0,,,68-80,1,D. Green makes free throw 1 of 2
10:37.0,,,68-80,,T. Parker enters the game for C. Joseph
10:37.0,,,68-81,1,D. Green makes free throw 2 of 2
10:22.0,A. Goodwin makes 2-pt shot at rim (assist by M. Morris),2,70-81,,
10:05.0,,,70-81,,Turnover by K. Leonard (lost ball; steal by P. Tucker)
9:55.0,M. Morris misses 3-pt shot from 25 ft,,70-81,,
9:54.0,,,70-81,,Defensive rebound by M. Belinelli
9:33.0,,,70-84,3,D. Green makes 3-pt shot from 23 ft (assist by T. Parker)
9:14.0,E. Bledsoe enters the game for P. Tucker,,70-84,,
9:07.0,A. Goodwin makes 2-pt shot from 14 ft,2,72-84,,
8:44.0,Violation by M. Morris (kicked ball),,72-84,,
8:44.0,Official timeout,,72-84,,
8:44.0,,,72-84,,B. Diaw enters the game for M. Belinelli
8:33.0,,,72-86,2,B. Diaw makes 2-pt shot from 2 ft (assist by T. Duncan)
8:15.0,M. Morris misses 3-pt shot from 25 ft,,72-86,,
8:13.0,Offensive rebound by E. Bledsoe,,72-86,,
8:08.0,G. Green makes 3-pt shot from 23 ft (assist by E. Bledsoe),3,75-86,,
7:50.0,,,75-86,,Shooting foul by M. Morris (drawn by T. Duncan)
7:50.0,,,75-87,1,T. Duncan makes free throw 1 of 2
7:50.0,,,75-88,1,T. Duncan makes free throw 2 of 2
7:36.0,Turnover by Team (back court),,75-88,,
7:22.0,,,75-91,3,K. Leonard makes 3-pt shot from 24 ft (assist by T. Parker)
7:09.0,A. Goodwin misses 2-pt shot from 22 ft,,75-91,,
7:08.0,,,75-91,,Defensive rebound by T. Duncan
6:47.0,,,75-93,2,T. Duncan makes 2-pt shot from 11 ft
6:37.0,Turnover by M. Morris (bad pass; steal by T. Parker),,75-93,,
6:34.0,Violation by A. Goodwin (def goaltending),,75-93,,
6:34.0,,,75-95,2,T. Parker makes 2-pt shot from 1 ft
6:34.0,Phoenix full timeout,,75-95,,
6:34.0,,,75-95,,K. Anderson enters the game for B. Diaw
6:34.0,T. Warren enters the game for M. Morris,,75-95,,
6:34.0,P. Tucker enters the game for G. Green,,75-95,,
6:19.0,M. Morris makes 2-pt shot from 14 ft (assist by E. Bledsoe),2,77-95,,
6:03.0,,,77-95,,Shooting foul by P. Tucker (drawn by K. Leonard)
6:03.0,,,77-96,1,K. Leonard makes free throw 1 of 2
6:03.0,,,77-97,1,K. Leonard makes free throw 2 of 2
5:55.0,,,77-97,,Personal foul by K. Anderson (drawn by T. Warren)
5:55.0,,,77-97,,C. Joseph enters the game for T. Parker
5:51.0,T. Warren makes 2-pt shot at rim (assist by E. Bledsoe),2,79-97,,
5:27.0,,,79-99,2,C. Joseph makes 2-pt shot from 2 ft
5:15.0,E. Bledsoe misses 3-pt shot from 24 ft,,79-99,,
5:14.0,,,79-99,,Defensive rebound by K. Leonard
5:07.0,,,79-101,2,K. Leonard makes 2-pt shot from 8 ft
4:52.0,A. Goodwin misses 3-pt shot from 26 ft,,79-101,,
4:51.0,,,79-101,,Defensive rebound by T. Duncan
4:34.0,,,79-103,2,K. Leonard makes 2-pt shot from 19 ft
4:21.0,M. Morris makes 3-pt shot from 24 ft (assist by E. Bledsoe),3,82-103,,
4:13.0,,,82-103,,San Antonio full timeout
4:13.0,,,82-103,,R. Williams enters the game for K. Leonard
4:13.0,,,82-103,,J. Ayres enters the game for T. Duncan
3:52.0,,,82-103,,K. Anderson misses 2-pt shot from 20 ft
3:51.0,Defensive rebound by E. Bledsoe,,82-103,,
3:44.0,E. Bledsoe makes 2-pt shot from 20 ft,2,84-103,,
3:26.0,,,84-105,2,C. Joseph makes 2-pt shot from 18 ft
3:15.0,Turnover by A. Goodwin (traveling),,84-105,,
3:15.0,,,84-105,,P. Mills enters the game for D. Green
3:05.0,,,84-105,,Offensive foul by J. Ayres
3:05.0,,,84-105,,Turnover by J. Ayres (offensive foul)
2:51.0,,,84-105,,Personal foul by K. Anderson (drawn by P. Tucker)
2:51.0,E. Barron enters the game for M. Morris,,84-105,,
