time,Utah,pts.away,score,pts.home,Philadelphia
8:04.0,Defensive rebound by R. Gobert,,6-4,,
7:44.0,D. Favors misses 2-pt shot from 18 ft,,6-4,,
7:42.0,,,6-4,,Defensive rebound by I. Canaan
7:38.0,,,6-4,,Shooting foul by D. Favors (drawn by L. Mbah a Moute)
7:38.0,,,6-4,,L. Mbah a Moute misses free throw 1 of 2
7:38.0,,,6-4,,Offensive rebound by Team
7:38.0,,,6-5,1,L. Mbah a Moute makes free throw 2 of 2
7:28.0,J. Ingles makes 3-pt shot from 25 ft,3,9-5,,
7:16.0,,,9-8,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by I. Canaan)
6:58.0,D. Favors misses 2-pt shot at rim,,9-8,,
6:56.0,,,9-8,,Defensive rebound by L. Mbah a Moute
6:50.0,,,9-10,2,L. Mbah a Moute makes 2-pt shot from 16 ft (assist by J. Richardson)
6:33.0,G. Hayward makes 3-pt shot from 26 ft (assist by J. Ingles),3,12-10,,
6:32.0,,,12-10,,Philadelphia full timeout
6:17.0,,,12-10,,I. Canaan misses 2-pt shot from 19 ft
6:16.0,,,12-10,,Offensive rebound by Team
6:16.0,Loose ball foul by D. Exum (drawn by L. Mbah a Moute),,12-10,,
6:09.0,Personal foul by J. Ingles (drawn by L. Mbah a Moute),,12-10,,
6:09.0,E. Millsap enters the game for J. Ingles,,12-10,,
5:55.0,,,12-10,,I. Canaan misses 3-pt shot from 26 ft
5:53.0,Defensive rebound by R. Gobert,,12-10,,
5:36.0,Turnover by E. Millsap (lost ball; steal by L. Mbah a Moute),,12-10,,
5:30.0,,,12-10,,J. Richardson misses 3-pt shot from 25 ft
5:28.0,Defensive rebound by G. Hayward,,12-10,,
5:26.0,Offensive charge foul by E. Millsap,,12-10,,
5:26.0,Turnover by E. Millsap (offensive foul),,12-10,,
5:26.0,T. Burke enters the game for D. Exum,,12-10,,
5:26.0,,,12-10,,R. Covington enters the game for J. Richardson
5:26.0,,,12-10,,J. Grant enters the game for J. Sampson
5:10.0,,,12-12,2,N. Noel makes 2-pt shot from 1 ft (assist by I. Canaan)
5:00.0,G. Hayward makes 3-pt shot from 26 ft (assist by E. Millsap),3,15-12,,
4:42.0,,,15-12,,I. Canaan misses 3-pt shot from 25 ft
4:41.0,Defensive rebound by G. Hayward,,15-12,,
4:41.0,,,15-12,,Personal foul by R. Covington (drawn by G. Hayward)
4:17.0,G. Hayward misses 2-pt shot from 22 ft,,15-12,,
4:16.0,,,15-12,,Defensive rebound by I. Canaan
4:10.0,,,15-12,,R. Covington misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by R. Gobert,,15-12,,
4:03.0,,,15-12,,Personal foul by L. Mbah a Moute (drawn by D. Favors)
4:03.0,,,15-12,,F. Aldemir enters the game for L. Mbah a Moute
3:54.0,Shooting foul by J. Grant (drawn by G. Hayward),,15-12,,
3:54.0,G. Hayward makes free throw 1 of 2,1,16-12,,
3:54.0,G. Hayward makes free throw 2 of 2,1,17-12,,
3:46.0,,,17-14,2,I. Canaan makes 2-pt shot from 7 ft (assist by R. Covington)
3:31.0,D. Favors misses 2-pt shot from 10 ft,,17-14,,
3:29.0,Offensive rebound by R. Gobert,,17-14,,
3:28.0,R. Gobert misses 2-pt shot at rim,,17-14,,
3:26.0,,,17-14,,Defensive rebound by R. Covington
3:11.0,,,17-14,,J. Grant misses 2-pt shot from 4 ft (block by R. Gobert)
3:08.0,Defensive rebound by R. Gobert,,17-14,,
3:03.0,Turnover by R. Gobert (traveling),,17-14,,
3:03.0,R. Hood enters the game for E. Millsap,,17-14,,
3:03.0,T. Booker enters the game for D. Favors,,17-14,,
3:03.0,,,17-14,,I. Smith enters the game for N. Noel
3:03.0,,,17-14,,T. Robinson enters the game for I. Canaan
2:51.0,,,17-16,2,I. Smith makes 2-pt shot from 3 ft
2:35.0,G. Hayward makes 2-pt shot from 13 ft,2,19-16,,
2:20.0,,,19-16,,Turnover by T. Robinson (lost ball; steal by R. Gobert)
2:14.0,Turnover by G. Hayward (lost ball; steal by R. Covington),,19-16,,
2:02.0,,,19-18,2,I. Smith makes 2-pt shot from 1 ft (assist by F. Aldemir)
2:02.0,Utah full timeout,,19-18,,
1:44.0,Shooting foul by F. Aldemir (drawn by R. Hood),,19-18,,
1:44.0,R. Hood misses free throw 1 of 2,,19-18,,
1:44.0,Offensive rebound by Team,,19-18,,
1:44.0,R. Hood misses free throw 2 of 2,,19-18,,
1:43.0,,,19-18,,Defensive rebound by T. Robinson
1:31.0,,,19-20,2,I. Smith makes 2-pt shot from 3 ft
1:16.0,T. Burke makes 2-pt shot from 3 ft,2,21-20,,
0:56.0,,,21-20,,J. Grant misses 3-pt shot from 25 ft
0:55.0,Defensive rebound by R. Gobert,,21-20,,
0:48.0,T. Burke misses 2-pt shot from 18 ft,,21-20,,
0:46.0,,,21-20,,Defensive rebound by R. Covington
0:40.0,,,21-20,,R. Covington misses 2-pt shot at rim
0:39.0,,,21-20,,Offensive rebound by T. Robinson
0:39.0,,,21-22,2,T. Robinson makes 2-pt shot at rim
0:29.0,G. Hayward misses 2-pt shot from 18 ft,,21-22,,
0:28.0,,,21-22,,Defensive rebound by T. Robinson
0:07.0,,,21-24,2,I. Smith makes 2-pt shot from 15 ft
0:02.0,G. Hayward misses 3-pt shot from 24 ft,,21-24,,
0:01.0,,,21-24,,Defensive rebound by T. Robinson
0:01.0,,,21-24,,T. Robinson misses 3-pt shot from 77 ft
0:00.0,,,21-24,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,,,21-26,2,J. Grant makes 2-pt shot from 2 ft (assist by F. Aldemir)
11:13.0,T. Burke misses 2-pt shot from 18 ft,,21-26,,
11:12.0,,,21-26,,Defensive rebound by J. Grant
11:04.0,,,21-28,2,T. Robinson makes 2-pt shot at rim (assist by J. Grant)
10:45.0,Shooting foul by R. Covington (drawn by J. Evans),,21-28,,
10:45.0,J. Evans misses free throw 1 of 2,,21-28,,
10:45.0,Offensive rebound by Team,,21-28,,
10:45.0,J. Evans misses free throw 2 of 2,,21-28,,
10:44.0,,,21-28,,Defensive rebound by R. Covington
10:31.0,,,21-28,,I. Smith misses 2-pt shot from 5 ft
10:29.0,Defensive rebound by J. Ingles,,21-28,,
10:17.0,J. Ingles misses 3-pt shot from 25 ft,,21-28,,
10:17.0,Offensive rebound by T. Booker,,21-28,,
10:17.0,T. Booker misses 2-pt shot from 1 ft,,21-28,,
10:17.0,Offensive rebound by Team,,21-28,,
10:15.0,,,21-28,,Loose ball foul by R. Covington (drawn by R. Hood)
10:15.0,,,21-28,,J. Richardson enters the game for R. Covington
10:08.0,T. Burke misses 3-pt shot from 24 ft,,21-28,,
10:07.0,,,21-28,,Defensive rebound by T. Robinson
9:49.0,,,21-30,2,T. Robinson makes 2-pt shot from 2 ft (assist by I. Smith)
9:29.0,Shooting foul by F. Aldemir (drawn by T. Booker),,21-30,,
9:29.0,T. Booker makes free throw 1 of 2,1,22-30,,
9:29.0,T. Booker misses free throw 2 of 2,,22-30,,
9:28.0,Offensive rebound by Team,,22-30,,
9:20.0,R. Hood makes 3-pt shot from 26 ft (assist by J. Evans),3,25-30,,
9:14.0,,,25-30,,Philadelphia full timeout
8:54.0,,,25-30,,J. Richardson misses 2-pt shot from 20 ft
8:51.0,Defensive rebound by R. Hood,,25-30,,
8:37.0,R. Hood makes 2-pt shot from 4 ft,2,27-30,,
8:22.0,,,27-32,2,T. Robinson makes 2-pt shot at rim (assist by I. Smith)
8:04.0,T. Burke misses 2-pt shot from 5 ft (block by F. Aldemir),,27-32,,
8:01.0,,,27-32,,Defensive rebound by J. Grant
7:54.0,,,27-32,,J. Grant misses 3-pt shot from 24 ft
7:52.0,,,27-32,,Offensive rebound by T. Robinson
7:51.0,,,27-32,,T. Robinson misses 2-pt shot from 5 ft (block by J. Evans)
7:51.0,,,27-32,,Offensive rebound by F. Aldemir
7:50.0,,,27-32,,Shooting foul by J. Evans (drawn by F. Aldemir)
7:50.0,,,27-33,1,F. Aldemir makes free throw 1 of 2
7:50.0,D. Favors enters the game for T. Burke,,27-33,,
7:50.0,D. Exum enters the game for T. Booker,,27-33,,
7:50.0,,,27-33,,J. Sampson enters the game for J. Grant
7:50.0,,,27-34,1,F. Aldemir makes free throw 2 of 2
7:26.0,J. Evans makes 2-pt shot from 3 ft (assist by D. Favors),2,29-34,,
7:06.0,Violation by D. Exum (kicked ball),,29-34,,
7:06.0,,,29-34,,N. Noel enters the game for F. Aldemir
7:06.0,R. Gobert enters the game for J. Evans,,29-34,,
7:01.0,,,29-34,,I. Smith misses 2-pt shot from 6 ft
6:59.0,Defensive rebound by R. Gobert,,29-34,,
6:47.0,R. Hood misses 2-pt shot from 5 ft,,29-34,,
6:46.0,Offensive rebound by R. Gobert,,29-34,,
6:46.0,Shooting foul by J. Richardson (drawn by R. Gobert),,29-34,,
6:46.0,R. Gobert misses free throw 1 of 2,,29-34,,
6:46.0,Offensive rebound by Team,,29-34,,
6:46.0,,,29-34,,L. Mbah a Moute enters the game for T. Robinson
6:46.0,,,29-34,,I. Canaan enters the game for I. Smith
6:46.0,R. Gobert makes free throw 2 of 2,1,30-34,,
6:21.0,,,30-34,,J. Sampson misses 3-pt shot from 25 ft
6:19.0,,,30-34,,Offensive rebound by J. Sampson
6:19.0,,,30-34,,Turnover by J. Sampson (traveling)
6:19.0,G. Hayward enters the game for J. Ingles,,30-34,,
6:01.0,R. Hood misses 3-pt shot from 26 ft,,30-34,,
5:59.0,Offensive rebound by D. Exum,,30-34,,
5:51.0,Offensive charge foul by D. Favors,,30-34,,
5:51.0,Turnover by D. Favors (offensive foul),,30-34,,
5:31.0,,,30-34,,J. Richardson misses 2-pt shot from 16 ft
5:29.0,Defensive rebound by R. Gobert,,30-34,,
5:13.0,G. Hayward misses 2-pt shot from 20 ft,,30-34,,
5:11.0,Offensive rebound by D. Favors,,30-34,,
5:11.0,D. Favors misses 2-pt shot from 1 ft,,30-34,,
5:10.0,Offensive rebound by D. Favors,,30-34,,
5:09.0,D. Favors misses 2-pt shot from 1 ft,,30-34,,
5:06.0,,,30-34,,Defensive rebound by J. Richardson
4:58.0,,,30-37,3,I. Canaan makes 3-pt shot from 22 ft (assist by L. Mbah a Moute)
4:42.0,D. Favors makes 2-pt shot from 1 ft (assist by R. Hood),2,32-37,,
4:33.0,,,32-37,,L. Mbah a Moute misses 3-pt shot from 25 ft
4:31.0,Defensive rebound by R. Gobert,,32-37,,
4:19.0,R. Gobert makes 2-pt shot at rim (assist by D. Exum),2,34-37,,
4:03.0,,,34-39,2,I. Canaan makes 2-pt shot from 1 ft
3:50.0,Shooting foul by L. Mbah a Moute (drawn by D. Favors),,34-39,,
3:50.0,D. Favors misses free throw 1 of 2,,34-39,,
3:50.0,Offensive rebound by Team,,34-39,,
3:50.0,,,34-39,,J. Grant enters the game for L. Mbah a Moute
3:50.0,T. Booker enters the game for R. Gobert,,34-39,,
3:50.0,T. Burke enters the game for R. Hood,,34-39,,
3:50.0,D. Favors misses free throw 2 of 2,,34-39,,
3:48.0,,,34-39,,Defensive rebound by N. Noel
3:27.0,,,34-39,,I. Canaan misses 2-pt shot from 22 ft (block by T. Burke)
3:24.0,Defensive rebound by D. Exum,,34-39,,
3:02.0,D. Exum makes 3-pt shot from 24 ft (assist by G. Hayward),3,37-39,,
2:38.0,,,37-39,,Turnover by N. Noel (traveling)
2:38.0,Utah full timeout,,37-39,,
2:38.0,R. Gobert enters the game for D. Favors,,37-39,,
2:38.0,,,37-39,,H. Thompson enters the game for J. Sampson
2:27.0,R. Gobert makes 2-pt shot at rim (assist by D. Exum),2,39-39,,
2:03.0,,,39-39,,N. Noel misses 2-pt shot from 14 ft
2:02.0,Defensive rebound by G. Hayward,,39-39,,
1:50.0,Shooting foul by N. Noel (drawn by T. Booker),,39-39,,
1:50.0,T. Booker makes free throw 1 of 2,1,40-39,,
1:50.0,,,40-39,,J. Sampson enters the game for J. Richardson
1:50.0,T. Booker makes free throw 2 of 2,1,41-39,,
1:29.0,,,41-39,,N. Noel misses 2-pt shot from 6 ft
1:27.0,,,41-39,,Offensive rebound by H. Thompson
1:25.0,,,41-42,3,J. Grant makes 3-pt shot from 25 ft (assist by H. Thompson)
1:14.0,Turnover by R. Gobert (lost ball; steal by N. Noel),,41-42,,
1:09.0,,,41-42,,Turnover by H. Thompson (traveling)
0:48.0,T. Burke misses 2-pt shot from 5 ft (block by J. Sampson),,41-42,,
0:46.0,,,41-42,,Defensive rebound by H. Thompson
0:25.0,,,41-42,,I. Canaan misses 2-pt shot from 20 ft (block by T. Burke)
0:24.0,,,41-42,,Offensive rebound by Team
0:22.0,,,41-42,,Turnover by J. Grant (lost ball; steal by R. Gobert)
0:04.0,G. Hayward misses 2-pt shot from 18 ft,,41-42,,
0:02.0,Offensive rebound by Team,,41-42,,
0:02.0,Utah full timeout,,41-42,,
0:02.0,,,41-42,,T. Robinson enters the game for I. Canaan
0:01.0,R. Gobert misses 2-pt shot from 19 ft,,41-42,,
0:00.0,Offensive rebound by Team,,41-42,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,41-42,,J. Richardson misses 2-pt shot from 18 ft
11:36.0,Defensive rebound by R. Gobert,,41-42,,
11:25.0,Turnover by D. Exum (bad pass; steal by N. Noel),,41-42,,
11:21.0,,,41-44,2,N. Noel makes 2-pt shot at rim (assist by I. Canaan)
10:55.0,J. Ingles misses 2-pt shot from 12 ft,,41-44,,
10:50.0,,,41-44,,Defensive rebound by J. Richardson
10:37.0,,,41-47,3,J. Sampson makes 3-pt shot from 22 ft (assist by L. Mbah a Moute)
10:16.0,D. Favors misses 2-pt shot from 4 ft,,41-47,,
10:16.0,Offensive rebound by Team,,41-47,,
10:16.0,,,41-47,,Loose ball foul by N. Noel (drawn by R. Gobert)
10:16.0,T. Burke enters the game for D. Exum,,41-47,,
10:09.0,,,41-47,,Personal foul by J. Sampson (drawn by G. Hayward)
9:55.0,R. Gobert makes 2-pt shot from 3 ft (assist by J. Ingles),2,43-47,,
9:28.0,,,43-47,,J. Sampson misses 3-pt shot from 24 ft
9:26.0,Defensive rebound by R. Gobert,,43-47,,
9:18.0,Turnover by D. Favors (lost ball; steal by L. Mbah a Moute),,43-47,,
9:12.0,,,43-47,,I. Canaan misses 2-pt shot from 1 ft
9:12.0,Defensive rebound by Team,,43-47,,
9:12.0,,,43-47,,Loose ball foul by J. Sampson (drawn by D. Favors)
8:55.0,,,43-47,,Personal foul by J. Richardson (drawn by J. Ingles)
8:55.0,T. Booker enters the game for R. Gobert,,43-47,,
8:48.0,T. Burke makes 3-pt shot from 24 ft (assist by D. Favors),3,46-47,,
8:36.0,Personal foul by J. Ingles (drawn by N. Noel),,46-47,,
8:27.0,,,46-47,,L. Mbah a Moute misses 2-pt shot from 20 ft
8:24.0,Defensive rebound by T. Burke,,46-47,,
8:20.0,Turnover by T. Burke (lost ball; steal by L. Mbah a Moute),,46-47,,
8:14.0,,,46-47,,J. Sampson misses 2-pt shot from 10 ft
8:12.0,,,46-47,,Offensive rebound by N. Noel
7:58.0,,,46-47,,Turnover by L. Mbah a Moute (step out of bounds)
7:58.0,R. Gobert enters the game for T. Booker,,46-47,,
7:39.0,T. Burke misses 2-pt shot from 1 ft,,46-47,,
7:36.0,,,46-47,,Defensive rebound by N. Noel
7:29.0,,,46-47,,J. Richardson misses 2-pt shot from 10 ft
7:28.0,Defensive rebound by D. Favors,,46-47,,
7:21.0,G. Hayward misses 2-pt shot from 18 ft,,46-47,,
7:20.0,,,46-47,,Defensive rebound by N. Noel
7:03.0,,,46-47,,Shooting foul by D. Favors (drawn by J. Sampson)
7:03.0,,,46-47,,J. Sampson misses free throw 1 of 2
7:03.0,,,46-47,,Offensive rebound by Team
7:03.0,,,46-47,,J. Sampson misses free throw 2 of 2
7:02.0,Defensive rebound by D. Favors,,46-47,,
6:52.0,Turnover by J. Ingles (lost ball; steal by N. Noel),,46-47,,
6:43.0,,,46-50,3,L. Mbah a Moute makes 3-pt shot from 23 ft (assist by J. Richardson)
6:30.0,Shooting foul by N. Noel (drawn by G. Hayward),,46-50,,
6:30.0,G. Hayward makes free throw 1 of 2,1,47-50,,
6:30.0,E. Millsap enters the game for J. Ingles,,47-50,,
6:30.0,G. Hayward makes free throw 2 of 2,1,48-50,,
6:08.0,,,48-50,,I. Canaan misses 3-pt shot from 28 ft
6:06.0,Defensive rebound by E. Millsap,,48-50,,
5:53.0,G. Hayward misses 2-pt shot from 21 ft,,48-50,,
5:52.0,Offensive rebound by D. Favors,,48-50,,
5:47.0,T. Burke makes 2-pt shot from 20 ft (assist by D. Favors),2,50-50,,
5:36.0,,,50-50,,L. Mbah a Moute misses 3-pt shot from 25 ft
5:34.0,Defensive rebound by G. Hayward,,50-50,,
5:31.0,D. Favors makes 2-pt shot at rim (assist by G. Hayward),2,52-50,,
5:30.0,,,52-50,,Philadelphia full timeout
5:30.0,,,52-50,,I. Smith enters the game for J. Sampson
5:30.0,,,52-50,,J. Grant enters the game for J. Richardson
5:30.0,,,52-50,,R. Covington enters the game for I. Canaan
5:16.0,,,52-50,,I. Smith misses 3-pt shot from 23 ft
5:15.0,Defensive rebound by R. Gobert,,52-50,,
4:51.0,D. Favors misses 2-pt shot from 15 ft,,52-50,,
4:49.0,,,52-50,,Defensive rebound by N. Noel
4:42.0,,,52-50,,I. Smith misses 2-pt shot from 5 ft
4:41.0,Defensive rebound by Team,,52-50,,
4:25.0,Turnover by D. Favors (lost ball; steal by L. Mbah a Moute),,52-50,,
4:23.0,Personal foul by E. Millsap (drawn by R. Covington),,52-50,,
4:05.0,,,52-52,2,R. Covington makes 2-pt shot from 18 ft (assist by I. Smith)
3:50.0,T. Burke misses 2-pt shot from 16 ft,,52-52,,
3:48.0,,,52-52,,Defensive rebound by R. Covington
3:38.0,,,52-52,,Turnover by J. Grant (lost ball; steal by T. Burke)
3:35.0,Turnover by E. Millsap (lost ball; steal by I. Smith),,52-52,,
3:29.0,,,52-52,,L. Mbah a Moute misses 3-pt shot from 25 ft
3:23.0,Defensive rebound by D. Favors,,52-52,,
3:06.0,G. Hayward makes 2-pt shot from 22 ft,2,54-52,,
2:53.0,Personal foul by D. Favors (drawn by R. Covington),,54-52,,
2:53.0,Utah full timeout,,54-52,,
2:53.0,D. Exum enters the game for T. Burke,,54-52,,
2:53.0,T. Booker enters the game for D. Favors,,54-52,,
2:53.0,,,54-52,,T. Robinson enters the game for L. Mbah a Moute
2:47.0,,,54-52,,R. Covington misses 3-pt shot from 23 ft
2:44.0,Defensive rebound by G. Hayward,,54-52,,
2:40.0,Shooting foul by T. Robinson (drawn by E. Millsap),,54-52,,
2:40.0,E. Millsap makes free throw 1 of 2,1,55-52,,
2:40.0,R. Hood enters the game for G. Hayward,,55-52,,
2:40.0,,,55-52,,F. Aldemir enters the game for N. Noel
2:40.0,E. Millsap makes free throw 2 of 2,1,56-52,,
2:31.0,Personal foul by D. Exum (drawn by F. Aldemir),,56-52,,
2:31.0,,,56-52,,F. Aldemir misses free throw 1 of 2
2:31.0,,,56-52,,Offensive rebound by Team
2:31.0,,,56-52,,F. Aldemir misses free throw 2 of 2
2:30.0,,,56-52,,Offensive rebound by T. Robinson
2:28.0,,,56-52,,Shooting foul by T. Booker (drawn by T. Robinson)
2:28.0,,,56-53,1,T. Robinson makes free throw 1 of 2
2:28.0,,,56-53,,T. Robinson misses free throw 2 of 2
2:27.0,Defensive rebound by T. Booker,,56-53,,
2:02.0,R. Hood misses 2-pt shot from 17 ft,,56-53,,
2:00.0,Offensive rebound by T. Booker,,56-53,,
1:54.0,R. Hood makes 2-pt shot from 17 ft (assist by T. Booker),2,58-53,,
1:35.0,,,58-53,,Turnover by R. Covington (lost ball; steal by T. Booker)
1:32.0,T. Booker makes 2-pt shot from 2 ft,2,60-53,,
1:18.0,,,60-55,2,I. Smith makes 2-pt shot from 7 ft
1:14.0,,,60-55,,Personal foul by J. Grant (drawn by D. Exum)
1:14.0,,,60-55,,H. Thompson enters the game for J. Grant
1:14.0,D. Exum makes free throw 1 of 2,1,61-55,,
1:14.0,D. Exum makes free throw 2 of 2,1,62-55,,
1:01.0,,,62-55,,Turnover by R. Covington (lost ball; steal by E. Millsap)
1:00.0,E. Millsap makes 2-pt shot from 3 ft,2,64-55,,
1:00.0,Shooting foul by R. Covington (drawn by E. Millsap),,64-55,,
1:00.0,E. Millsap misses free throw 1 of 1,,64-55,,
1:00.0,,,64-55,,Defensive rebound by T. Robinson
0:48.0,,,64-55,,Turnover by R. Covington (lost ball; steal by E. Millsap)
0:38.0,T. Booker misses 2-pt shot from 13 ft,,64-55,,
0:37.0,,,64-55,,Defensive rebound by R. Covington
0:13.0,,,64-55,,T. Robinson misses 2-pt shot from 2 ft (block by T. Booker)
0:13.0,,,64-55,,Offensive rebound by Team
0:13.0,,,64-55,,Turnover by Team (shot clock)
0:13.0,G. Hayward enters the game for E. Millsap,,64-55,,
0:13.0,,,64-55,,J. Sampson enters the game for F. Aldemir
0:04.0,R. Hood misses 3-pt shot from 25 ft,,64-55,,
0:02.0,Offensive rebound by G. Hayward,,64-55,,
0:01.0,D. Exum misses 3-pt shot from 26 ft (block by I. Smith),,64-55,,
0:00.0,,,64-55,,Defensive rebound by T. Robinson
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Shooting foul by N. Noel (drawn by R. Hood),,64-55,,
11:46.0,R. Hood makes free throw 1 of 2,1,65-55,,
11:46.0,R. Hood makes free throw 2 of 2,1,66-55,,
11:34.0,,,66-55,,N. Noel misses 2-pt shot from 6 ft
11:32.0,,,66-55,,Offensive rebound by T. Robinson
11:32.0,,,66-57,2,T. Robinson makes 2-pt shot at rim
11:06.0,Turnover by R. Hood (lost ball; steal by N. Noel),,66-57,,
11:03.0,Clear path foul by D. Exum,,66-57,,
11:03.0,,,66-58,1,I. Smith makes clear path free throw 1 of 2
11:03.0,,,66-59,1,I. Smith makes clear path free throw 2 of 2
11:03.0,D. Favors enters the game for R. Gobert,,66-59,,
10:50.0,,,66-59,,R. Covington misses 3-pt shot from 26 ft
10:49.0,,,66-59,,Offensive rebound by Team
10:49.0,Loose ball foul by T. Booker (drawn by T. Robinson),,66-59,,
10:33.0,,,66-59,,I. Smith misses 2-pt shot from 3 ft
10:33.0,Defensive rebound by Team,,66-59,,
10:15.0,R. Hood misses 2-pt shot from 8 ft (block by H. Thompson),,66-59,,
10:13.0,Offensive rebound by Team,,66-59,,
10:01.0,E. Millsap makes 2-pt shot from 5 ft (assist by R. Hood),2,68-59,,
9:53.0,,,68-59,,R. Covington misses 2-pt shot from 23 ft
9:51.0,Defensive rebound by D. Exum,,68-59,,
9:35.0,D. Favors misses 2-pt shot from 15 ft,,68-59,,
9:33.0,,,68-59,,Defensive rebound by T. Robinson
9:27.0,,,68-59,,Turnover by I. Smith (bad pass; steal by D. Favors)
9:23.0,Turnover by E. Millsap (lost ball; steal by H. Thompson),,68-59,,
9:20.0,,,68-59,,Philadelphia full timeout
9:20.0,G. Hayward enters the game for D. Exum,,68-59,,
9:20.0,T. Burke enters the game for R. Hood,,68-59,,
9:20.0,,,68-59,,J. Richardson enters the game for H. Thompson
9:20.0,,,68-59,,L. Mbah a Moute enters the game for R. Covington
9:12.0,,,68-59,,N. Noel misses 2-pt shot from 3 ft
9:10.0,,,68-59,,Offensive rebound by Team
8:54.0,,,68-61,2,N. Noel makes 2-pt shot from 1 ft (assist by I. Smith)
8:35.0,T. Burke misses 2-pt shot from 18 ft,,68-61,,
8:33.0,,,68-61,,Defensive rebound by T. Robinson
8:26.0,,,68-61,,J. Richardson misses 3-pt shot from 24 ft
8:25.0,Defensive rebound by G. Hayward,,68-61,,
8:13.0,,,68-61,,Personal foul by J. Richardson (drawn by D. Favors)
8:06.0,Shooting foul by L. Mbah a Moute (drawn by G. Hayward),,68-61,,
8:06.0,G. Hayward makes free throw 1 of 2,1,69-61,,
8:06.0,,,69-61,,J. Sampson enters the game for T. Robinson
8:06.0,G. Hayward makes free throw 2 of 2,1,70-61,,
7:51.0,,,70-63,2,I. Smith makes 2-pt shot from 2 ft
7:36.0,Shooting foul by J. Richardson (drawn by D. Favors),,70-63,,
7:36.0,D. Favors misses free throw 1 of 2,,70-63,,
7:36.0,Offensive rebound by Team,,70-63,,
7:36.0,D. Favors makes free throw 2 of 2,1,71-63,,
7:28.0,Personal foul by T. Burke (drawn by I. Smith),,71-63,,
7:14.0,,,71-63,,J. Richardson misses 2-pt shot from 15 ft
7:12.0,,,71-63,,Offensive rebound by N. Noel
7:04.0,,,71-63,,L. Mbah a Moute misses 2-pt shot from 1 ft
7:02.0,Defensive rebound by D. Favors,,71-63,,
6:48.0,E. Millsap misses 2-pt shot from 16 ft,,71-63,,
6:46.0,Offensive rebound by T. Booker,,71-63,,
6:44.0,T. Booker misses 2-pt shot at rim,,71-63,,
6:43.0,,,71-63,,Defensive rebound by I. Smith
6:36.0,,,71-63,,I. Smith misses 2-pt shot from 10 ft
6:35.0,Defensive rebound by D. Favors,,71-63,,
6:30.0,G. Hayward makes 2-pt shot from 1 ft (assist by T. Burke),2,73-63,,
6:14.0,,,73-63,,N. Noel misses 2-pt shot from 2 ft
6:13.0,Defensive rebound by E. Millsap,,73-63,,
6:03.0,G. Hayward makes 2-pt shot from 18 ft,2,75-63,,
6:02.0,,,75-63,,Philadelphia full timeout
6:02.0,R. Gobert enters the game for T. Booker,,75-63,,
