time,LA Lakers,pts.away,score,pts.home,LA Clippers
8:51.0,Official timeout,,29-38,,
8:51.0,J. Clarkson makes free throw 1 of 2,1,30-38,,
8:51.0,J. Clarkson makes free throw 2 of 2,1,31-38,,
8:38.0,,,31-38,,J. Crawford misses 3-pt shot from 23 ft
8:38.0,,,31-38,,Offensive rebound by Team
8:38.0,Personal foul by C. Boozer (drawn by G. Davis),,31-38,,
8:38.0,,,31-38,,D. Jordan enters the game for G. Davis
8:28.0,,,31-38,,Shooting foul by R. Sacre (drawn by S. Hawes)
8:28.0,,,31-39,1,S. Hawes makes free throw 1 of 2
8:28.0,E. Davis enters the game for R. Sacre,,31-39,,
8:28.0,,,31-39,,J. Redick enters the game for R. Bullock
8:28.0,,,31-39,,S. Hawes misses free throw 2 of 2
8:27.0,Defensive rebound by E. Davis,,31-39,,
8:12.0,C. Boozer makes 2-pt shot from 1 ft (assist by N. Young),2,33-39,,
8:01.0,Personal foul by W. Ellington (drawn by J. Crawford),,33-39,,
8:01.0,,,33-39,,C. Paul enters the game for J. Farmar
7:51.0,,,33-39,,S. Hawes misses 2-pt shot from 2 ft (block by E. Davis)
7:50.0,Defensive rebound by J. Clarkson,,33-39,,
7:44.0,C. Boozer misses 2-pt shot from 6 ft,,33-39,,
7:43.0,,,33-39,,Defensive rebound by D. Jordan
7:37.0,,,33-41,2,S. Hawes makes 2-pt shot from 1 ft (assist by C. Paul)
7:13.0,J. Clarkson makes 2-pt shot from 14 ft,2,35-41,,
6:59.0,,,35-44,3,J. Redick makes 3-pt shot from 24 ft (assist by S. Hawes)
6:59.0,,,35-44,,Shooting foul by W. Ellington (drawn by J. Redick)
6:59.0,,,35-44,,B. Griffin enters the game for S. Hawes
6:59.0,,,35-45,1,J. Redick makes free throw 1 of 1
6:38.0,W. Ellington makes 2-pt shot from 2 ft (assist by C. Boozer),2,37-45,,
6:22.0,,,37-47,2,B. Griffin makes 2-pt shot from 2 ft
6:06.0,C. Boozer makes 2-pt shot from 1 ft,2,39-47,,
6:00.0,,,39-47,,Shooting foul by C. Boozer (drawn by B. Griffin)
6:00.0,,,39-48,1,B. Griffin makes free throw 1 of 2
6:00.0,,,39-48,,M. Barnes enters the game for J. Crawford
6:00.0,J. Hill enters the game for C. Boozer,,39-48,,
6:00.0,K. Bryant enters the game for J. Clarkson,,39-48,,
6:00.0,,,39-49,1,B. Griffin makes free throw 2 of 2
5:46.0,W. Ellington misses 3-pt shot from 25 ft,,39-49,,
5:44.0,,,39-49,,Defensive rebound by D. Jordan
5:35.0,,,39-51,2,B. Griffin makes 2-pt shot at rim (assist by C. Paul)
5:18.0,K. Bryant misses 2-pt shot from 22 ft,,39-51,,
5:15.0,,,39-51,,Defensive rebound by M. Barnes
5:02.0,,,39-51,,J. Redick misses 3-pt shot from 24 ft
5:01.0,Defensive rebound by Team,,39-51,,
5:01.0,,,39-51,,LA Clippers full timeout
5:01.0,J. Lin enters the game for N. Young,,39-51,,
4:39.0,E. Davis makes 2-pt shot at rim (assist by K. Bryant),2,41-51,,
4:28.0,,,41-54,3,C. Paul makes 3-pt shot from 25 ft (assist by B. Griffin)
4:10.0,E. Davis misses 2-pt shot from 4 ft,,41-54,,
4:08.0,,,41-54,,Defensive rebound by D. Jordan
4:01.0,,,41-56,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
3:44.0,Turnover by K. Bryant (bad pass; steal by C. Paul),,41-56,,
3:28.0,,,41-56,,Turnover by D. Jordan (lost ball)
3:13.0,K. Bryant misses 2-pt shot from 2 ft,,41-56,,
3:12.0,Offensive rebound by E. Davis,,41-56,,
3:12.0,,,41-56,,Violation by B. Griffin (def goaltending)
3:12.0,E. Davis makes 2-pt shot at rim,2,43-56,,
2:59.0,,,43-58,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
2:40.0,K. Bryant misses 2-pt shot from 3 ft (block by M. Barnes),,43-58,,
2:39.0,,,43-58,,Defensive rebound by D. Jordan
2:32.0,,,43-61,3,M. Barnes makes 3-pt shot from 24 ft (assist by J. Redick)
2:11.0,J. Hill makes 2-pt shot from 18 ft (assist by K. Bryant),2,45-61,,
2:00.0,,,45-64,3,C. Paul makes 3-pt shot from 25 ft
