time,Denver,pts.away,score,pts.home,Memphis
9:35.0,,,16-29,,J. Leuer misses free throw 2 of 2
9:34.0,Defensive rebound by D. Gallinari,,16-29,,
9:21.0,D. Gallinari misses 2-pt shot from 16 ft,,16-29,,
9:20.0,,,16-29,,Defensive rebound by K. Koufos
9:12.0,Personal foul by J. Nelson (drawn by V. Carter),,16-29,,
9:12.0,W. Chandler enters the game for D. Gallinari,,16-29,,
8:58.0,,,16-29,,N. Calathes misses 2-pt shot from 12 ft
8:56.0,Defensive rebound by J. Nelson,,16-29,,
8:44.0,J. Hickson misses 2-pt shot from 7 ft,,16-29,,
8:43.0,,,16-29,,Defensive rebound by J. Leuer
8:35.0,,,16-29,,Shooting foul by J. Nelson (drawn by N. Calathes)
8:35.0,,,16-29,,Memphis full timeout
8:35.0,,,16-29,,M. Gasol enters the game for K. Koufos
8:35.0,A. Gee enters the game for J. Hickson,,16-29,,
8:35.0,,,16-29,,N. Calathes misses free throw 1 of 2
8:35.0,,,16-29,,Offensive rebound by Team
8:35.0,,,16-30,1,N. Calathes makes free throw 2 of 2
8:22.0,J. Nelson misses 3-pt shot from 24 ft,,16-30,,
8:21.0,,,16-30,,Defensive rebound by M. Gasol
8:04.0,,,16-32,2,V. Carter makes 2-pt shot from 19 ft (assist by N. Calathes)
7:49.0,D. Arthur makes 2-pt shot from 21 ft (assist by J. Nelson),2,18-32,,
7:28.0,,,18-32,,V. Carter misses 3-pt shot from 23 ft
7:27.0,Defensive rebound by W. Chandler,,18-32,,
7:19.0,A. Gee misses 2-pt shot at rim,,18-32,,
7:16.0,,,18-32,,Defensive rebound by J. Leuer
7:00.0,,,18-34,2,J. Leuer makes 2-pt shot at rim (assist by N. Calathes)
6:39.0,Turnover by R. Foye (bad pass; steal by T. Allen),,18-34,,
6:33.0,,,18-34,,Turnover by V. Carter (traveling)
6:25.0,J. Nelson misses 2-pt shot from 1 ft,,18-34,,
6:23.0,,,18-34,,Defensive rebound by V. Carter
6:20.0,,,18-34,,Shooting foul by D. Arthur (drawn by V. Carter)
6:20.0,,,18-35,1,V. Carter makes free throw 1 of 2
6:20.0,,,18-35,,Z. Randolph enters the game for J. Leuer
6:20.0,T. Lawson enters the game for R. Foye,,18-35,,
6:20.0,J. Nurkic enters the game for J. Nelson,,18-35,,
6:20.0,,,18-36,1,V. Carter makes free throw 2 of 2
6:01.0,D. Arthur misses 3-pt shot from 25 ft,,18-36,,
6:00.0,Offensive rebound by A. Gee,,18-36,,
5:53.0,Turnover by A. Gee (step out of bounds),,18-36,,
5:53.0,,,18-36,,Memphis full timeout
5:53.0,K. Faried enters the game for D. Arthur,,18-36,,
5:53.0,J. Nelson enters the game for A. Gee,,18-36,,
5:37.0,,,18-36,,M. Gasol misses 2-pt shot from 10 ft
5:36.0,Defensive rebound by W. Chandler,,18-36,,
5:30.0,W. Chandler makes 2-pt shot from 19 ft,2,20-36,,
5:20.0,,,20-36,,Memphis full timeout
5:20.0,,,20-36,,J. Green enters the game for V. Carter
5:02.0,,,20-38,2,Z. Randolph makes 2-pt shot from 17 ft
4:46.0,J. Nelson makes 2-pt shot from 2 ft,2,22-38,,
4:27.0,,,22-40,2,Z. Randolph makes 2-pt shot from 7 ft
4:14.0,T. Lawson makes 2-pt shot at rim,2,24-40,,
4:14.0,Shooting foul by N. Calathes (drawn by T. Lawson),,24-40,,
4:14.0,,,24-40,,B. Udrih enters the game for T. Allen
4:14.0,,,24-40,,C. Lee enters the game for N. Calathes
4:14.0,T. Lawson makes free throw 1 of 1,1,25-40,,
4:00.0,Personal foul by W. Chandler (drawn by J. Green),,25-40,,
4:00.0,,,25-41,1,J. Green makes free throw 1 of 2
4:00.0,,,25-42,1,J. Green makes free throw 2 of 2
3:50.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,27-42,,
3:34.0,,,27-44,2,C. Lee makes 2-pt shot from 16 ft
3:21.0,W. Chandler misses 3-pt shot from 25 ft,,27-44,,
3:20.0,,,27-44,,Defensive rebound by M. Gasol
3:11.0,,,27-46,2,M. Gasol makes 2-pt shot from 12 ft (assist by B. Udrih)
2:51.0,W. Chandler makes 2-pt shot at rim (assist by T. Lawson),2,29-46,,
2:35.0,Personal foul by K. Faried (drawn by M. Gasol),,29-46,,
2:35.0,Denver full timeout,,29-46,,
2:35.0,A. Afflalo enters the game for J. Nelson,,29-46,,
2:35.0,,,29-47,1,M. Gasol makes free throw 1 of 2
2:35.0,,,29-48,1,M. Gasol makes free throw 2 of 2
2:27.0,W. Chandler makes 2-pt shot at rim (assist by T. Lawson),2,31-48,,
2:09.0,,,31-50,2,Z. Randolph makes 2-pt shot at rim (assist by C. Lee)
1:49.0,W. Chandler misses 3-pt shot from 26 ft,,31-50,,
1:48.0,,,31-50,,Defensive rebound by Z. Randolph
1:25.0,,,31-50,,M. Gasol misses 2-pt shot from 8 ft
1:22.0,Defensive rebound by J. Nurkic,,31-50,,
1:08.0,T. Lawson misses 2-pt shot from 18 ft,,31-50,,
1:07.0,,,31-50,,Defensive rebound by C. Lee
0:52.0,,,31-50,,B. Udrih misses 2-pt shot from 1 ft
0:50.0,Defensive rebound by K. Faried,,31-50,,
0:44.0,K. Faried makes 2-pt shot at rim,2,33-50,,
0:28.0,,,33-50,,J. Green misses 3-pt shot from 22 ft
0:27.0,Defensive rebound by A. Afflalo,,33-50,,
0:19.0,K. Faried makes 2-pt shot at rim (assist by T. Lawson),2,35-50,,
0:02.0,,,35-50,,J. Green misses 3-pt shot from 25 ft
0:01.0,Defensive rebound by T. Lawson,,35-50,,
0:00.0,T. Lawson misses 3-pt shot from 79 ft,,35-50,,
0:00.0,Offensive rebound by Team,,35-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:59.0,,,35-50,,Turnover by C. Lee (bad pass)
11:43.0,K. Faried makes 2-pt shot from 1 ft,2,37-50,,
11:28.0,,,37-50,,M. Gasol misses 2-pt shot from 1 ft (block by W. Chandler)
11:27.0,,,37-50,,Offensive rebound by M. Gasol
11:23.0,,,37-50,,J. Green misses 3-pt shot from 23 ft
11:21.0,Defensive rebound by W. Chandler,,37-50,,
11:06.0,T. Lawson misses 3-pt shot from 25 ft,,37-50,,
11:04.0,,,37-50,,Defensive rebound by C. Lee
10:54.0,,,37-52,2,M. Gasol makes 2-pt shot from 1 ft (assist by Z. Randolph)
10:36.0,J. Nurkic misses 2-pt shot at rim,,37-52,,
10:34.0,,,37-52,,Defensive rebound by Z. Randolph
10:27.0,,,37-54,2,B. Udrih makes 2-pt shot from 18 ft
10:14.0,Offensive foul by J. Nurkic,,37-54,,
10:14.0,Turnover by J. Nurkic (offensive foul),,37-54,,
10:14.0,Denver full timeout,,37-54,,
9:58.0,,,37-56,2,B. Udrih makes 2-pt shot from 20 ft (assist by M. Gasol)
9:37.0,,,37-56,,Personal foul by Z. Randolph (drawn by K. Faried)
9:32.0,Turnover by K. Faried (lost ball; steal by C. Lee),,37-56,,
9:28.0,,,37-58,2,C. Lee makes 2-pt shot at rim
9:28.0,,,37-58,,Shooting foul by A. Afflalo (drawn by C. Lee)
9:28.0,,,37-58,,C. Lee misses free throw 1 of 1
9:28.0,Defensive rebound by K. Faried,,37-58,,
9:06.0,J. Nurkic misses 2-pt shot from 6 ft,,37-58,,
9:05.0,Offensive rebound by J. Nurkic,,37-58,,
9:05.0,Turnover by Team (shot clock),,37-58,,
8:50.0,Personal foul by K. Faried (drawn by M. Gasol),,37-58,,
8:50.0,J. McGee enters the game for J. Nurkic,,37-58,,
8:37.0,,,37-58,,B. Udrih misses 2-pt shot from 5 ft (block by T. Lawson)
8:36.0,Defensive rebound by K. Faried,,37-58,,
8:31.0,J. McGee makes 2-pt shot at rim (assist by K. Faried),2,39-58,,
8:13.0,,,39-58,,B. Udrih misses 3-pt shot from 24 ft
8:13.0,Defensive rebound by K. Faried,,39-58,,
8:01.0,K. Faried misses 2-pt shot from 2 ft,,39-58,,
8:00.0,,,39-58,,Defensive rebound by B. Udrih
7:46.0,,,39-58,,Z. Randolph misses 2-pt shot from 19 ft
7:45.0,Defensive rebound by Team,,39-58,,
7:31.0,A. Afflalo makes 2-pt shot from 17 ft (assist by T. Lawson),2,41-58,,
7:12.0,,,41-58,,J. Green misses 2-pt shot from 1 ft
7:11.0,,,41-58,,Offensive rebound by Z. Randolph
7:11.0,,,41-60,2,Z. Randolph makes 2-pt shot from 1 ft
6:46.0,T. Lawson misses 2-pt shot from 1 ft,,41-60,,
6:43.0,,,41-60,,Defensive rebound by Z. Randolph
6:37.0,,,41-60,,Turnover by B. Udrih (lost ball; steal by T. Lawson)
6:32.0,T. Lawson makes 2-pt shot at rim (assist by A. Afflalo),2,43-60,,
6:32.0,,,43-60,,Memphis full timeout
6:32.0,D. Arthur enters the game for K. Faried,,43-60,,
6:12.0,,,43-63,3,J. Green makes 3-pt shot from 22 ft (assist by C. Lee)
5:56.0,D. Arthur misses 2-pt shot from 8 ft (block by M. Gasol),,43-63,,
5:55.0,Offensive rebound by Team,,43-63,,
5:46.0,A. Afflalo misses 2-pt shot from 10 ft,,43-63,,
5:45.0,,,43-63,,Defensive rebound by M. Gasol
5:28.0,,,43-65,2,C. Lee makes 2-pt shot from 6 ft (assist by Z. Randolph)
5:19.0,T. Lawson makes 2-pt shot from 4 ft,2,45-65,,
5:00.0,,,45-65,,J. Green misses 3-pt shot from 25 ft
4:59.0,Defensive rebound by J. McGee,,45-65,,
4:54.0,Shooting foul by M. Gasol (drawn by T. Lawson),,45-65,,
4:54.0,T. Lawson makes free throw 1 of 2,1,46-65,,
4:54.0,A. Gee enters the game for W. Chandler,,46-65,,
4:54.0,T. Lawson makes free throw 2 of 2,1,47-65,,
4:30.0,,,47-65,,Z. Randolph misses 2-pt shot from 8 ft (block by D. Arthur)
4:29.0,Defensive rebound by D. Arthur,,47-65,,
4:26.0,Turnover by D. Arthur (bad pass; steal by M. Gasol),,47-65,,
4:15.0,,,47-65,,Z. Randolph misses 2-pt shot from 5 ft
4:13.0,,,47-65,,Offensive rebound by Z. Randolph
4:13.0,,,47-65,,Z. Randolph misses 2-pt shot at rim
4:12.0,,,47-65,,Offensive rebound by Z. Randolph
4:12.0,,,47-65,,Z. Randolph misses 2-pt shot at rim
4:11.0,,,47-65,,Offensive rebound by Z. Randolph
4:11.0,,,47-65,,Shooting foul by A. Gee (drawn by Z. Randolph)
4:11.0,,,47-66,1,Z. Randolph makes free throw 1 of 2
4:11.0,,,47-67,1,Z. Randolph makes free throw 2 of 2
4:00.0,T. Lawson misses 3-pt shot from 26 ft,,47-67,,
3:59.0,,,47-67,,Defensive rebound by Z. Randolph
3:44.0,,,47-67,,B. Udrih misses 2-pt shot from 17 ft
3:44.0,Defensive rebound by A. Gee,,47-67,,
3:34.0,Turnover by A. Afflalo (lost ball),,47-67,,
3:34.0,,,47-67,,K. Koufos enters the game for M. Gasol
3:15.0,,,47-69,2,J. Green makes 2-pt shot from 14 ft
3:07.0,T. Lawson misses 2-pt shot at rim,,47-69,,
3:05.0,,,47-69,,Defensive rebound by J. Green
2:57.0,,,47-69,,Z. Randolph misses 2-pt shot from 18 ft
2:56.0,Defensive rebound by T. Lawson,,47-69,,
2:51.0,D. Arthur misses 3-pt shot from 26 ft,,47-69,,
2:49.0,,,47-69,,Defensive rebound by Z. Randolph
2:36.0,,,47-71,2,C. Lee makes 2-pt shot from 21 ft
2:36.0,Denver full timeout,,47-71,,
2:36.0,,,47-71,,T. Allen enters the game for J. Green
2:36.0,,,47-71,,N. Calathes enters the game for B. Udrih
2:36.0,G. Harris enters the game for A. Afflalo,,47-71,,
2:36.0,J. Nelson enters the game for T. Lawson,,47-71,,
2:15.0,D. Arthur misses 2-pt shot from 18 ft,,47-71,,
2:14.0,,,47-71,,Defensive rebound by T. Allen
1:59.0,,,47-71,,Shooting foul by J. McGee (drawn by C. Lee)
1:59.0,,,47-71,,C. Lee misses free throw 1 of 2
1:59.0,,,47-71,,Offensive rebound by Team
1:59.0,,,47-72,1,C. Lee makes free throw 2 of 2
1:44.0,A. Gee misses 3-pt shot from 23 ft,,47-72,,
1:43.0,,,47-72,,Defensive rebound by N. Calathes
1:36.0,,,47-74,2,T. Allen makes 2-pt shot at rim (assist by N. Calathes)
1:15.0,G. Harris misses 2-pt shot from 19 ft,,47-74,,
1:12.0,,,47-74,,Defensive rebound by K. Koufos
1:07.0,,,47-74,,C. Lee misses 3-pt shot from 25 ft
1:05.0,Defensive rebound by J. McGee,,47-74,,
1:00.0,D. Arthur makes 2-pt shot at rim (assist by J. Nelson),2,49-74,,
0:35.0,,,49-74,,C. Lee misses 2-pt shot from 9 ft
0:34.0,Defensive rebound by D. Arthur,,49-74,,
0:34.0,,,49-74,,Loose ball foul by K. Koufos (drawn by D. Arthur)
0:18.0,J. McGee misses 2-pt shot from 6 ft,,49-74,,
0:16.0,,,49-74,,Defensive rebound by T. Allen
0:01.0,,,49-74,,Z. Randolph misses 2-pt shot from 13 ft
0:00.0,,,49-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,G. Harris misses 2-pt shot from 7 ft,,49-74,,
11:44.0,,,49-74,,Defensive rebound by K. Koufos
11:33.0,,,49-74,,Turnover by J. Adams (lost ball; steal by J. Nurkic)
11:24.0,J. Nelson misses 3-pt shot from 25 ft,,49-74,,
11:21.0,,,49-74,,Defensive rebound by K. Koufos
11:11.0,,,49-74,,T. Allen misses 2-pt shot from 19 ft
11:10.0,Defensive rebound by G. Harris,,49-74,,
10:59.0,J. Hickson makes 2-pt shot from 17 ft (assist by G. Harris),2,51-74,,
10:36.0,,,51-74,,T. Allen misses 2-pt shot from 1 ft
10:34.0,,,51-74,,Offensive rebound by J. Leuer
10:34.0,,,51-76,2,J. Leuer makes 2-pt shot from 2 ft
10:20.0,Turnover by J. Nurkic (bad pass; steal by J. Leuer),,51-76,,
10:19.0,Personal foul by G. Harris (drawn by J. Leuer),,51-76,,
10:00.0,,,51-76,,Turnover by K. Koufos (lost ball; steal by A. Gee)
9:53.0,G. Harris misses 3-pt shot from 25 ft,,51-76,,
9:52.0,,,51-76,,Defensive rebound by T. Allen
9:45.0,,,51-76,,T. Allen misses 2-pt shot from 1 ft (block by G. Harris)
9:45.0,,,51-76,,Offensive rebound by T. Allen
9:45.0,,,51-78,2,T. Allen makes 2-pt shot from 1 ft
9:22.0,Shooting foul by J. Adams (drawn by G. Harris),,51-78,,
9:22.0,G. Harris makes free throw 1 of 2,1,52-78,,
9:22.0,R. Foye enters the game for A. Gee,,52-78,,
9:22.0,G. Harris makes free throw 2 of 2,1,53-78,,
9:01.0,,,53-78,,J. Adams misses 3-pt shot from 24 ft
9:00.0,,,53-78,,Offensive rebound by T. Allen
8:47.0,,,53-78,,J. Leuer misses 3-pt shot from 23 ft
8:45.0,Defensive rebound by J. Nelson,,53-78,,
8:35.0,J. Nurkic misses 2-pt shot from 21 ft,,53-78,,
8:34.0,,,53-78,,Defensive rebound by J. Adams
8:26.0,,,53-78,,Shooting foul by J. Nurkic (drawn by T. Allen)
8:26.0,,,53-78,,Memphis full timeout
8:26.0,D. Gallinari enters the game for J. Nurkic,,53-78,,
8:26.0,,,53-79,1,T. Allen makes free throw 1 of 2
8:26.0,,,53-80,1,T. Allen makes free throw 2 of 2
8:08.0,J. Hickson misses 2-pt shot from 8 ft,,53-80,,
8:06.0,,,53-80,,Defensive rebound by J. Leuer
7:53.0,,,53-82,2,N. Calathes makes 2-pt shot from 1 ft
7:27.0,R. Foye misses 3-pt shot from 43 ft,,53-82,,
7:24.0,Offensive rebound by J. Hickson,,53-82,,
7:21.0,G. Harris misses 3-pt shot from 25 ft,,53-82,,
7:21.0,,,53-82,,Defensive rebound by Team
7:21.0,Loose ball foul by J. Hickson (drawn by J. Leuer),,53-82,,
7:10.0,,,53-82,,N. Calathes misses 2-pt shot from 2 ft
7:07.0,,,53-82,,Offensive rebound by J. Adams
6:57.0,,,53-82,,J. Leuer misses 2-pt shot from 12 ft
6:55.0,Defensive rebound by D. Gallinari,,53-82,,
6:53.0,Turnover by D. Gallinari (lost ball),,53-82,,
6:35.0,,,53-84,2,N. Calathes makes 2-pt shot from 11 ft
6:22.0,Turnover by J. Nelson (bad pass),,53-84,,
6:22.0,J. McGee enters the game for J. Hickson,,53-84,,
6:05.0,,,53-86,2,K. Koufos makes 2-pt shot from 13 ft (assist by N. Calathes)
5:47.0,G. Harris misses 2-pt shot from 5 ft (block by J. Adams),,53-86,,
5:47.0,Offensive rebound by G. Harris,,53-86,,
5:42.0,D. Gallinari makes 3-pt shot from 26 ft (assist by J. Nelson),3,56-86,,
5:24.0,,,56-86,,J. Adams misses 2-pt shot from 7 ft
5:23.0,Defensive rebound by J. McGee,,56-86,,
5:15.0,G. Harris misses 3-pt shot from 22 ft,,56-86,,
5:14.0,,,56-86,,Defensive rebound by K. Koufos
5:06.0,,,56-86,,Memphis full timeout
5:06.0,A. Gee enters the game for J. Nelson,,56-86,,
5:06.0,,,56-86,,T. Thomas enters the game for T. Allen
4:55.0,,,56-88,2,N. Calathes makes 2-pt shot from 7 ft
4:42.0,Turnover by R. Foye (lost ball; steal by J. Adams),,56-88,,
4:38.0,,,56-88,,Turnover by J. Adams (lost ball; steal by G. Harris)
4:31.0,A. Gee makes 2-pt shot at rim,2,58-88,,
4:06.0,,,58-88,,J. Adams misses 2-pt shot from 10 ft
4:05.0,Defensive rebound by J. McGee,,58-88,,
4:01.0,A. Gee makes 2-pt shot at rim (assist by J. McGee),2,60-88,,
3:39.0,,,60-88,,J. Leuer misses 2-pt shot from 12 ft
3:37.0,Defensive rebound by J. McGee,,60-88,,
3:23.0,R. Foye misses 3-pt shot from 25 ft,,60-88,,
3:22.0,,,60-88,,Defensive rebound by K. Koufos
3:15.0,,,60-88,,Shooting foul by J. McGee (drawn by J. Leuer)
3:15.0,,,60-89,1,J. Leuer makes free throw 1 of 2
3:15.0,,,60-89,,J. Leuer misses free throw 2 of 2
3:13.0,Defensive rebound by A. Gee,,60-89,,
2:55.0,R. Foye misses 3-pt shot from 26 ft,,60-89,,
2:53.0,,,60-89,,Defensive rebound by J. Leuer
2:43.0,,,60-91,2,N. Calathes makes 2-pt shot from 1 ft (assist by T. Thomas)
2:19.0,R. Foye misses 3-pt shot from 25 ft,,60-91,,
2:17.0,Offensive rebound by A. Gee,,60-91,,
2:17.0,A. Gee makes 2-pt shot at rim,2,62-91,,
2:00.0,,,62-91,,K. Koufos misses 2-pt shot at rim (block by J. McGee)
1:59.0,,,62-91,,Offensive rebound by Team
1:59.0,Denver full timeout,,62-91,,
1:50.0,,,62-91,,N. Calathes misses 2-pt shot from 20 ft
1:47.0,Defensive rebound by A. Gee,,62-91,,
1:31.0,D. Gallinari makes 2-pt shot from 1 ft (assist by R. Foye),2,64-91,,
