time,Cleveland,pts.away,score,pts.home,Minnesota
5:48.0,,,14-9,,K. Martin misses 3-pt shot from 24 ft
5:44.0,Defensive rebound by K. Love,,14-9,,
5:40.0,L. James makes 2-pt shot from 1 ft,2,16-9,,
5:22.0,,,16-11,2,K. Martin makes 2-pt shot from 12 ft (assist by L. Brown)
5:04.0,Turnover by K. Irving (bad pass),,16-11,,
5:04.0,,,16-11,,Minnesota full timeout
5:04.0,,,16-11,,G. Dieng enters the game for N. Pekovic
5:04.0,I. Shumpert enters the game for L. James,,16-11,,
4:55.0,,,16-13,2,T. Young makes 2-pt shot from 4 ft
4:38.0,T. Mozgov makes 2-pt shot from 1 ft (assist by K. Irving),2,18-13,,
4:19.0,,,18-13,,T. Young misses 2-pt shot from 6 ft
4:18.0,Defensive rebound by T. Mozgov,,18-13,,
4:14.0,K. Irving misses 2-pt shot from 2 ft (block by G. Dieng),,18-13,,
4:13.0,,,18-13,,Defensive rebound by L. Brown
4:06.0,,,18-15,2,A. Wiggins makes 2-pt shot from 7 ft (assist by L. Brown)
3:47.0,T. Mozgov makes 2-pt shot from 3 ft,2,20-15,,
3:29.0,,,20-17,2,A. Wiggins makes 2-pt shot from 15 ft
3:16.0,K. Love makes 3-pt shot from 24 ft (assist by J. Smith),3,23-17,,
2:55.0,,,23-17,,Shooting foul by T. Mozgov (drawn by A. Wiggins)
2:55.0,Cleveland full timeout,,23-17,,
2:55.0,T. Thompson enters the game for T. Mozgov,,23-17,,
2:55.0,S. Marion enters the game for J. Smith,,23-17,,
2:55.0,L. James enters the game for K. Love,,23-17,,
2:55.0,,,23-18,1,A. Wiggins makes free throw 1 of 2
2:55.0,,,23-18,,A. Wiggins misses free throw 2 of 2
2:54.0,Defensive rebound by S. Marion,,23-18,,
2:40.0,K. Irving misses 2-pt shot from 17 ft,,23-18,,
2:39.0,Offensive rebound by T. Thompson,,23-18,,
2:37.0,Turnover by S. Marion (lost ball),,23-18,,
2:20.0,,,23-18,,K. Martin misses 2-pt shot from 3 ft
2:19.0,,,23-18,,Offensive rebound by K. Martin
2:16.0,,,23-18,,K. Martin misses 2-pt shot from 2 ft
2:15.0,Defensive rebound by T. Thompson,,23-18,,
2:13.0,Turnover by I. Shumpert (bad pass),,23-18,,
1:58.0,,,23-18,,A. Wiggins misses 2-pt shot from 6 ft
1:57.0,Defensive rebound by T. Thompson,,23-18,,
1:51.0,L. James makes 2-pt shot at rim,2,25-18,,
1:41.0,,,25-18,,Shooting foul by S. Marion (drawn by G. Dieng)
1:41.0,,,25-19,1,G. Dieng makes free throw 1 of 2
1:41.0,M. Dellavedova enters the game for K. Irving,,25-19,,
1:41.0,,,25-19,,G. Dieng misses free throw 2 of 2
1:40.0,Defensive rebound by T. Thompson,,25-19,,
1:20.0,I. Shumpert makes 3-pt shot from 24 ft (assist by L. James),3,28-19,,
1:01.0,,,28-19,,G. Dieng misses 2-pt shot from 15 ft
1:00.0,Defensive rebound by I. Shumpert,,28-19,,
0:38.0,L. James misses 3-pt shot from 29 ft,,28-19,,
0:37.0,,,28-19,,Defensive rebound by Team
0:21.0,,,28-21,2,A. Wiggins makes 2-pt shot at rim
0:01.0,L. James makes 2-pt shot at rim,2,30-21,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Dellavedova makes 2-pt shot from 10 ft,2,32-21,,
11:19.0,,,32-21,,A. Wiggins misses 2-pt shot from 21 ft
11:17.0,Defensive rebound by I. Shumpert,,32-21,,
11:09.0,I. Shumpert misses 2-pt shot from 20 ft,,32-21,,
11:09.0,Offensive rebound by Team,,32-21,,
11:09.0,,,32-21,,Loose ball foul by G. Dieng (drawn by T. Thompson)
11:09.0,,,32-21,,N. Pekovic enters the game for G. Dieng
11:09.0,,,32-21,,C. Budinger enters the game for K. Martin
10:58.0,L. James makes 2-pt shot from 14 ft,2,34-21,,
10:41.0,,,34-24,3,C. Budinger makes 3-pt shot from 25 ft (assist by A. Bennett)
10:17.0,L. James misses 2-pt shot from 19 ft,,34-24,,
10:14.0,Offensive rebound by S. Marion,,34-24,,
10:14.0,S. Marion misses 2-pt shot at rim,,34-24,,
10:12.0,Offensive rebound by S. Marion,,34-24,,
10:10.0,M. Dellavedova misses 3-pt shot from 24 ft,,34-24,,
10:08.0,Offensive rebound by L. James,,34-24,,
10:08.0,Shooting foul by A. Bennett (drawn by L. James),,34-24,,
10:08.0,L. James misses free throw 1 of 2,,34-24,,
10:08.0,Offensive rebound by Team,,34-24,,
10:08.0,K. Love enters the game for S. Marion,,34-24,,
10:08.0,L. James makes free throw 2 of 2,1,35-24,,
9:50.0,,,35-24,,C. Budinger misses 2-pt shot from 6 ft (block by T. Thompson)
9:48.0,,,35-24,,Offensive rebound by A. Wiggins
9:48.0,Personal foul by M. Dellavedova (drawn by A. Wiggins),,35-24,,
9:48.0,T. Mozgov enters the game for T. Thompson,,35-24,,
9:36.0,,,35-26,2,A. Wiggins makes 2-pt shot from 5 ft
9:17.0,L. James misses 2-pt shot from 15 ft,,35-26,,
9:15.0,,,35-26,,Defensive rebound by C. Budinger
9:06.0,,,35-26,,Shooting foul by T. Mozgov (drawn by N. Pekovic)
9:06.0,,,35-27,1,N. Pekovic makes free throw 1 of 2
9:06.0,,,35-28,1,N. Pekovic makes free throw 2 of 2
8:52.0,T. Mozgov misses 2-pt shot from 7 ft,,35-28,,
8:51.0,,,35-28,,Defensive rebound by C. Budinger
8:38.0,,,35-28,,C. Budinger misses 3-pt shot from 24 ft
8:37.0,,,35-28,,Offensive rebound by C. Budinger
8:26.0,,,35-28,,L. Brown misses 2-pt shot from 15 ft
8:25.0,Defensive rebound by K. Love,,35-28,,
8:09.0,I. Shumpert makes 2-pt shot at rim,2,37-28,,
7:53.0,,,37-30,2,N. Pekovic makes 2-pt shot at rim
7:31.0,Shooting foul by A. Bennett (drawn by K. Love),,37-30,,
7:31.0,Cleveland full timeout,,37-30,,
7:31.0,,,37-30,,T. Young enters the game for A. Wiggins
7:31.0,K. Irving enters the game for M. Dellavedova,,37-30,,
7:31.0,J. Smith enters the game for I. Shumpert,,37-30,,
7:31.0,K. Love misses free throw 1 of 2,,37-30,,
7:31.0,Offensive rebound by Team,,37-30,,
7:31.0,K. Love misses free throw 2 of 2,,37-30,,
7:31.0,,,37-30,,Defensive rebound by N. Pekovic
7:16.0,,,37-32,2,N. Pekovic makes 2-pt shot from 5 ft (assist by L. Brown)
6:56.0,T. Mozgov makes 2-pt shot from 11 ft,2,39-32,,
6:40.0,,,39-34,2,T. Young makes 2-pt shot at rim
6:25.0,Turnover by L. James (bad pass),,39-34,,
6:13.0,,,39-34,,Turnover by L. Brown (bad pass)
5:55.0,T. Mozgov misses 2-pt shot from 1 ft,,39-34,,
5:54.0,,,39-34,,Defensive rebound by L. Brown
5:49.0,,,39-34,,L. Brown misses 2-pt shot at rim
5:48.0,Defensive rebound by K. Love,,39-34,,
5:35.0,L. James makes 2-pt shot at rim,2,41-34,,
5:21.0,,,41-34,,Offensive foul by T. Young
5:21.0,,,41-34,,Turnover by T. Young (offensive foul)
5:21.0,,,41-34,,Minnesota full timeout
5:21.0,T. Thompson enters the game for T. Mozgov,,41-34,,
5:21.0,I. Shumpert enters the game for L. James,,41-34,,
5:21.0,,,41-34,,K. Martin enters the game for C. Budinger
5:21.0,,,41-34,,A. Wiggins enters the game for A. Bennett
5:03.0,J. Smith misses 3-pt shot from 25 ft,,41-34,,
5:01.0,Offensive rebound by K. Love,,41-34,,
5:01.0,K. Love misses 2-pt shot from 2 ft,,41-34,,
5:00.0,,,41-34,,Defensive rebound by K. Martin
4:58.0,,,41-34,,Turnover by K. Martin (bad pass; steal by K. Irving)
4:55.0,K. Love makes 2-pt shot at rim (assist by K. Irving),2,43-34,,
4:39.0,,,43-36,2,T. Young makes 2-pt shot from 4 ft (assist by N. Pekovic)
4:20.0,I. Shumpert makes 2-pt shot from 22 ft (assist by K. Love),2,45-36,,
4:04.0,,,45-36,,A. Wiggins misses 2-pt shot from 16 ft
4:03.0,Defensive rebound by K. Irving,,45-36,,
3:54.0,K. Irving misses 3-pt shot from 26 ft,,45-36,,
3:53.0,,,45-36,,Defensive rebound by K. Martin
3:45.0,,,45-36,,K. Martin misses 3-pt shot from 24 ft
3:44.0,,,45-36,,Offensive rebound by Team
3:44.0,Loose ball foul by T. Thompson (drawn by N. Pekovic),,45-36,,
3:38.0,,,45-38,2,A. Wiggins makes 2-pt shot at rim (assist by N. Pekovic)
3:33.0,Turnover by K. Irving (bad pass),,45-38,,
3:33.0,,,45-38,,G. Dieng enters the game for N. Pekovic
3:30.0,Personal foul by J. Smith (drawn by A. Wiggins),,45-38,,
3:19.0,,,45-40,2,T. Young makes 2-pt shot from 8 ft (assist by A. Wiggins)
3:04.0,K. Love misses 3-pt shot from 24 ft,,45-40,,
3:03.0,,,45-40,,Defensive rebound by L. Brown
2:46.0,,,45-43,3,A. Wiggins makes 3-pt shot from 25 ft
2:45.0,Cleveland full timeout,,45-43,,
2:45.0,L. James enters the game for J. Smith,,45-43,,
2:28.0,K. Irving makes 2-pt shot from 1 ft,2,47-43,,
2:07.0,,,47-45,2,T. Young makes 2-pt shot from 6 ft
1:55.0,Turnover by K. Irving (lost ball; steal by A. Wiggins),,47-45,,
1:51.0,,,47-47,2,A. Wiggins makes 2-pt shot at rim
1:29.0,L. James makes 3-pt shot from 26 ft (assist by K. Irving),3,50-47,,
1:09.0,,,50-47,,K. Martin misses 2-pt shot from 16 ft
1:08.0,Defensive rebound by K. Love,,50-47,,
0:59.0,L. James misses 3-pt shot from 25 ft,,50-47,,
0:57.0,,,50-47,,Defensive rebound by L. Brown
0:52.0,,,50-47,,Turnover by L. Brown (bad pass; steal by I. Shumpert)
0:49.0,,,50-47,,Personal foul by T. Young (drawn by L. James)
0:38.0,,,50-47,,Personal block foul by L. Brown (drawn by K. Irving)
0:38.0,K. Irving makes free throw 1 of 2,1,51-47,,
0:38.0,K. Irving makes free throw 2 of 2,1,52-47,,
0:24.0,,,52-49,2,A. Wiggins makes 2-pt shot from 1 ft
0:03.0,K. Love misses 3-pt shot from 22 ft,,52-49,,
0:02.0,Offensive rebound by T. Thompson,,52-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,K. Love makes 2-pt shot from 1 ft (assist by L. James),2,54-49,,
11:28.0,,,54-51,2,K. Martin makes 2-pt shot from 17 ft (assist by L. Brown)
11:07.0,L. James makes 2-pt shot from 1 ft,2,56-51,,
10:52.0,,,56-51,,T. Young misses 2-pt shot from 5 ft (block by T. Mozgov)
10:51.0,,,56-51,,Offensive rebound by T. Young
10:50.0,,,56-53,2,T. Young makes 2-pt shot at rim
10:36.0,T. Mozgov makes 2-pt shot from 16 ft (assist by L. James),2,58-53,,
10:20.0,,,58-55,2,N. Pekovic makes 2-pt shot at rim
10:00.0,K. Irving misses 3-pt shot from 24 ft,,58-55,,
9:59.0,,,58-55,,Defensive rebound by N. Pekovic
9:55.0,,,58-57,2,T. Young makes 2-pt shot from 1 ft (assist by K. Martin)
9:46.0,K. Irving misses 2-pt shot from 6 ft,,58-57,,
9:45.0,Offensive rebound by T. Mozgov,,58-57,,
9:41.0,K. Irving makes 3-pt shot from 23 ft (assist by K. Love),3,61-57,,
9:20.0,,,61-57,,Shooting foul by T. Mozgov (drawn by N. Pekovic)
9:20.0,,,61-58,1,N. Pekovic makes free throw 1 of 2
9:20.0,,,61-59,1,N. Pekovic makes free throw 2 of 2
9:09.0,J. Smith misses 3-pt shot from 24 ft,,61-59,,
9:07.0,,,61-59,,Defensive rebound by K. Martin
8:59.0,,,61-59,,K. Martin misses 2-pt shot from 13 ft
8:58.0,,,61-59,,Offensive rebound by N. Pekovic
8:57.0,,,61-59,,Shooting foul by T. Mozgov (drawn by N. Pekovic)
8:57.0,,,61-60,1,N. Pekovic makes free throw 1 of 2
8:57.0,T. Thompson enters the game for T. Mozgov,,61-60,,
8:57.0,,,61-61,1,N. Pekovic makes free throw 2 of 2
8:36.0,K. Irving makes 3-pt shot from 24 ft (assist by L. James),3,64-61,,
8:20.0,,,64-61,,Turnover by K. Martin (bad pass; steal by J. Smith)
8:08.0,J. Smith makes 2-pt shot from 18 ft,2,66-61,,
7:41.0,,,66-61,,L. Brown misses 2-pt shot from 2 ft
7:40.0,Defensive rebound by K. Love,,66-61,,
7:31.0,K. Irving misses 2-pt shot from 19 ft,,66-61,,
7:29.0,Offensive rebound by L. James,,66-61,,
7:23.0,K. Love misses 2-pt shot from 7 ft,,66-61,,
7:22.0,,,66-61,,Defensive rebound by N. Pekovic
7:10.0,,,66-63,2,A. Wiggins makes 2-pt shot from 2 ft (assist by N. Pekovic)
7:10.0,,,66-63,,Shooting foul by J. Smith (drawn by A. Wiggins)
7:10.0,,,66-64,1,A. Wiggins makes free throw 1 of 1
6:49.0,K. Irving misses 2-pt shot from 6 ft,,66-64,,
6:46.0,Offensive rebound by K. Irving,,66-64,,
6:46.0,K. Irving makes 2-pt shot at rim,2,68-64,,
6:24.0,,,68-66,2,N. Pekovic makes 2-pt shot from 3 ft (assist by L. Brown)
6:15.0,K. Irving misses 3-pt shot from 24 ft,,68-66,,
6:14.0,,,68-66,,Defensive rebound by N. Pekovic
6:04.0,,,68-66,,N. Pekovic misses 2-pt shot at rim
6:02.0,Defensive rebound by T. Thompson,,68-66,,
5:38.0,L. James misses 3-pt shot from 25 ft,,68-66,,
5:37.0,Offensive rebound by K. Love,,68-66,,
5:35.0,K. Love makes 2-pt shot at rim,2,70-66,,
5:12.0,,,70-66,,Minnesota full timeout
5:12.0,I. Shumpert enters the game for L. James,,70-66,,
5:08.0,,,70-66,,K. Martin misses 2-pt shot from 5 ft
5:07.0,Defensive rebound by T. Thompson,,70-66,,
4:47.0,J. Smith misses 3-pt shot from 25 ft,,70-66,,
4:47.0,Offensive rebound by Team,,70-66,,
4:47.0,,,70-66,,G. Dieng enters the game for N. Pekovic
4:37.0,J. Smith misses 3-pt shot from 25 ft,,70-66,,
4:36.0,Offensive rebound by T. Thompson,,70-66,,
4:33.0,Turnover by I. Shumpert (bad pass; steal by A. Wiggins),,70-66,,
4:10.0,,,70-66,,A. Wiggins misses 2-pt shot from 15 ft
4:09.0,,,70-66,,Offensive rebound by G. Dieng
4:05.0,,,70-69,3,K. Martin makes 3-pt shot from 24 ft (assist by G. Dieng)
3:44.0,K. Irving misses 2-pt shot from 22 ft,,70-69,,
3:43.0,,,70-69,,Defensive rebound by K. Martin
3:32.0,Personal foul by I. Shumpert (drawn by A. Wiggins),,70-69,,
3:27.0,,,70-71,2,A. Wiggins makes 2-pt shot from 19 ft (assist by T. Young)
3:05.0,I. Shumpert misses 3-pt shot from 25 ft,,70-71,,
3:04.0,,,70-71,,Defensive rebound by T. Young
2:58.0,,,70-73,2,T. Young makes 2-pt shot at rim (assist by L. Brown)
2:51.0,Cleveland full timeout,,70-73,,
2:51.0,M. Dellavedova enters the game for K. Irving,,70-73,,
2:51.0,S. Marion enters the game for K. Love,,70-73,,
2:51.0,L. James enters the game for J. Smith,,70-73,,
2:40.0,,,70-73,,Violation by L. Brown (kicked ball)
2:34.0,M. Dellavedova misses 2-pt shot from 1 ft,,70-73,,
2:33.0,Offensive rebound by T. Thompson,,70-73,,
2:33.0,T. Thompson makes 2-pt shot at rim,2,72-73,,
2:06.0,,,72-73,,A. Wiggins misses 2-pt shot from 15 ft
2:05.0,,,72-73,,Offensive rebound by G. Dieng
2:05.0,,,72-73,,G. Dieng misses 2-pt shot at rim
2:03.0,Defensive rebound by L. James,,72-73,,
1:53.0,Turnover by I. Shumpert (bad pass; steal by K. Martin),,72-73,,
1:42.0,Personal foul by L. James (drawn by G. Dieng),,72-73,,
1:42.0,,,72-74,1,G. Dieng makes free throw 1 of 2
1:42.0,,,72-74,,A. Bennett enters the game for T. Young
1:42.0,,,72-74,,G. Dieng misses free throw 2 of 2
1:42.0,Defensive rebound by S. Marion,,72-74,,
1:22.0,I. Shumpert makes 2-pt shot from 20 ft,2,74-74,,
1:06.0,,,74-74,,Turnover by A. Bennett (bad pass; steal by I. Shumpert)
1:00.0,Turnover by I. Shumpert (bad pass; steal by G. Dieng),,74-74,,
0:49.0,,,74-77,3,A. Wiggins makes 3-pt shot from 23 ft (assist by L. Brown)
0:39.0,L. James makes 2-pt shot from 21 ft,2,76-77,,
0:14.0,,,76-79,2,K. Martin makes 2-pt shot from 19 ft (assist by G. Dieng)
0:05.0,,,76-79,,Personal take foul by K. Martin (drawn by L. James)
0:05.0,,,76-79,,C. Budinger enters the game for L. Brown
0:00.0,L. James misses 2-pt shot from 14 ft,,76-79,,
0:00.0,Offensive rebound by Team,,76-79,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,76-79,,K. Martin misses 3-pt shot from 25 ft
11:42.0,Defensive rebound by T. Thompson,,76-79,,
11:34.0,L. James misses 3-pt shot from 25 ft,,76-79,,
11:33.0,,,76-79,,Defensive rebound by A. Bennett
11:28.0,,,76-79,,C. Budinger enters the game for K. Martin
11:22.0,,,76-79,,A. Wiggins misses 3-pt shot from 25 ft
11:20.0,,,76-79,,Offensive rebound by G. Dieng
11:03.0,,,76-79,,Shooting foul by S. Marion (drawn by G. Dieng)
11:03.0,,,76-80,1,G. Dieng makes free throw 1 of 2
11:03.0,,,76-81,1,G. Dieng makes free throw 2 of 2
10:51.0,L. James makes 2-pt shot from 20 ft (assist by S. Marion),2,78-81,,
10:33.0,,,78-83,2,A. Wiggins makes 2-pt shot from 1 ft (assist by G. Dieng)
10:17.0,Shooting foul by G. Dieng (drawn by T. Thompson),,78-83,,
10:17.0,T. Thompson makes free throw 1 of 2,1,79-83,,
10:17.0,T. Thompson makes free throw 2 of 2,1,80-83,,
10:02.0,,,80-83,,C. Budinger misses 3-pt shot from 25 ft
10:00.0,Defensive rebound by Team,,80-83,,
9:45.0,M. Dellavedova makes 3-pt shot from 24 ft (assist by L. James),3,83-83,,
9:22.0,,,83-83,,Shooting foul by M. Miller (drawn by C. Budinger)
9:22.0,,,83-84,1,C. Budinger makes free throw 1 of 2
9:22.0,,,83-84,,T. Young enters the game for A. Wiggins
9:22.0,,,83-85,1,C. Budinger makes free throw 2 of 2
9:03.0,L. James makes 2-pt shot at rim,2,85-85,,
8:40.0,,,85-85,,Turnover by C. Budinger (bad pass; steal by M. Miller)
8:35.0,Offensive foul by S. Marion,,85-85,,
8:35.0,Turnover by S. Marion (offensive foul),,85-85,,
8:35.0,,,85-85,,Minnesota full timeout
8:35.0,,,85-85,,N. Pekovic enters the game for G. Dieng
8:35.0,K. Love enters the game for S. Marion,,85-85,,
8:23.0,,,85-85,,Turnover by C. Budinger (step out of bounds)
8:09.0,L. James makes 3-pt shot from 22 ft,3,88-85,,
7:51.0,,,88-85,,N. Pekovic misses 2-pt shot from 4 ft (block by T. Thompson)
7:50.0,,,88-85,,Offensive rebound by Team
7:50.0,,,88-85,,A. Wiggins enters the game for C. Budinger
7:50.0,,,88-85,,K. Martin enters the game for A. Bennett
7:44.0,,,88-85,,T. Young misses 2-pt shot from 12 ft
7:42.0,Defensive rebound by M. Dellavedova,,88-85,,
7:26.0,Shooting foul by N. Pekovic (drawn by L. James),,88-85,,
7:26.0,L. James misses free throw 1 of 2,,88-85,,
7:26.0,Offensive rebound by Team,,88-85,,
7:26.0,L. James makes free throw 2 of 2,1,89-85,,
7:05.0,,,89-85,,Turnover by N. Pekovic (lost ball; steal by M. Miller)
6:49.0,Offensive charge foul by K. Love,,89-85,,
6:49.0,Turnover by K. Love (offensive foul),,89-85,,
6:49.0,,,89-85,,Minnesota full timeout
6:49.0,,,89-85,,G. Dieng enters the game for N. Pekovic
6:35.0,,,89-87,2,K. Martin makes 2-pt shot from 14 ft
6:22.0,Shooting foul by T. Young (drawn by L. James),,89-87,,
6:22.0,L. James makes free throw 1 of 2,1,90-87,,
6:22.0,K. Irving enters the game for M. Dellavedova,,90-87,,
6:22.0,L. James makes free throw 2 of 2,1,91-87,,
6:10.0,,,91-87,,K. Martin misses 2-pt shot from 18 ft
6:09.0,Defensive rebound by K. Love,,91-87,,
5:53.0,T. Thompson misses 2-pt shot from 2 ft,,91-87,,
5:52.0,Jump ball: G. Dieng vs. T. Thompson (T. Young gains possession),,,,Jump ball: G. Dieng vs. T. Thompson (T. Young gains possession)
5:52.0,,,91-87,,Defensive rebound by Team
5:37.0,,,91-87,,G. Dieng misses 2-pt shot from 1 ft
5:36.0,,,91-87,,Offensive rebound by L. Brown
5:32.0,,,91-87,,L. Brown misses 2-pt shot from 9 ft
5:29.0,Defensive rebound by L. James,,91-87,,
5:08.0,L. James makes 3-pt shot from 26 ft,3,94-87,,
5:07.0,,,94-87,,Minnesota full timeout
5:07.0,,,94-87,,N. Pekovic enters the game for G. Dieng
5:07.0,M. Dellavedova enters the game for M. Miller,,94-87,,
4:48.0,,,94-87,,A. Wiggins misses 2-pt shot from 3 ft (block by T. Thompson)
4:46.0,Defensive rebound by T. Thompson,,94-87,,
4:29.0,L. James makes 2-pt shot from 21 ft,2,96-87,,
4:15.0,,,96-87,,K. Martin misses 2-pt shot from 16 ft
4:14.0,Defensive rebound by K. Irving,,96-87,,
4:02.0,L. James misses 3-pt shot from 25 ft,,96-87,,
4:01.0,,,96-87,,Defensive rebound by L. Brown
3:59.0,,,96-87,,Turnover by L. Brown (bad pass; steal by M. Dellavedova)
3:53.0,K. Love misses 3-pt shot from 25 ft,,96-87,,
3:52.0,Offensive rebound by L. James,,96-87,,
3:37.0,L. James misses 2-pt shot from 17 ft,,96-87,,
3:35.0,,,96-87,,Defensive rebound by N. Pekovic
3:28.0,,,96-87,,A. Wiggins misses 2-pt shot from 12 ft
3:26.0,,,96-87,,Offensive rebound by T. Young
3:19.0,,,96-87,,N. Pekovic misses 2-pt shot from 5 ft
3:18.0,Defensive rebound by L. James,,96-87,,
3:17.0,Cleveland full timeout,,96-87,,
3:05.0,K. Irving misses 3-pt shot from 24 ft,,96-87,,
3:04.0,,,96-87,,Defensive rebound by N. Pekovic
2:49.0,,,96-87,,A. Wiggins misses 2-pt shot from 21 ft
2:47.0,Defensive rebound by T. Thompson,,96-87,,
2:28.0,M. Dellavedova makes 3-pt shot from 23 ft (assist by K. Irving),3,99-87,,
2:08.0,,,99-89,2,K. Martin makes 2-pt shot from 13 ft
1:44.0,K. Irving misses 3-pt shot from 23 ft,,99-89,,
1:43.0,Offensive rebound by K. Love,,99-89,,
1:43.0,K. Love makes 2-pt shot at rim,2,101-89,,
1:29.0,,,101-89,,K. Martin misses 2-pt shot from 7 ft (block by T. Thompson)
1:27.0,Defensive rebound by K. Irving,,101-89,,
1:09.0,Shooting foul by L. Brown (drawn by L. James),,101-89,,
1:09.0,L. James misses free throw 1 of 2,,101-89,,
1:09.0,Offensive rebound by Team,,101-89,,
1:09.0,L. James makes free throw 2 of 2,1,102-89,,
1:09.0,,,102-89,,Minnesota full timeout
1:09.0,I. Shumpert enters the game for L. James,,102-89,,
1:06.0,,,102-89,,Turnover by A. Wiggins (lost ball)
1:06.0,,,102-89,,G. Robinson enters the game for A. Wiggins
1:06.0,,,102-89,,T. Daniels enters the game for K. Martin
1:06.0,,,102-89,,G. Dieng enters the game for N. Pekovic
1:06.0,J. Jones enters the game for K. Love,,102-89,,
1:06.0,,,102-89,,C. Budinger enters the game for T. Young
