time,Memphis,pts.away,score,pts.home,Golden State
6:05.0,,,12-17,,Defensive rebound by A. Bogut
5:55.0,,,12-17,,Turnover by K. Thompson (lost ball)
5:41.0,Z. Randolph makes 2-pt shot from 17 ft (assist by N. Calathes),2,14-17,,
5:29.0,,,14-19,2,A. Bogut makes 2-pt shot at rim (assist by D. Green)
5:14.0,C. Lee makes 2-pt shot from 12 ft,2,16-19,,
5:00.0,,,16-21,2,D. Green makes 2-pt shot from 4 ft (assist by S. Curry)
4:43.0,Z. Randolph makes 2-pt shot from 2 ft (assist by T. Allen),2,18-21,,
4:31.0,,,18-23,2,S. Curry makes 2-pt shot from 4 ft
4:17.0,N. Calathes misses 2-pt shot from 2 ft,,18-23,,
4:16.0,,,18-23,,Defensive rebound by D. Green
4:15.0,,,18-23,,Turnover by D. Green (lost ball; steal by N. Calathes)
4:13.0,T. Allen misses 2-pt shot from 3 ft,,18-23,,
4:12.0,,,18-23,,Defensive rebound by K. Thompson
4:03.0,,,18-23,,A. Iguodala misses 3-pt shot from 23 ft
4:02.0,Defensive rebound by Z. Randolph,,18-23,,
3:56.0,,,18-23,,Personal foul by A. Bogut (drawn by T. Allen)
3:56.0,,,18-23,,F. Ezeli enters the game for A. Bogut
3:56.0,J. Green enters the game for T. Allen,,18-23,,
3:56.0,,,18-23,,L. Barbosa enters the game for K. Thompson
3:56.0,B. Udrih enters the game for N. Calathes,,18-23,,
3:41.0,Turnover by J. Green (bad pass; steal by A. Iguodala),,18-23,,
3:36.0,,,18-25,2,L. Barbosa makes 2-pt shot from 1 ft (assist by A. Iguodala)
3:33.0,Memphis full timeout,,18-25,,
3:26.0,Turnover by M. Gasol (lost ball; steal by D. Green),,18-25,,
3:19.0,,,18-27,2,A. Iguodala makes 2-pt shot from 2 ft (assist by D. Green)
3:00.0,M. Gasol makes 2-pt shot from 11 ft (assist by B. Udrih),2,20-27,,
2:45.0,,,20-30,3,L. Barbosa makes 3-pt shot from 23 ft (assist by S. Curry)
2:25.0,Turnover by J. Green (bad pass; steal by S. Curry),,20-30,,
2:08.0,,,20-30,,A. Iguodala misses 3-pt shot from 26 ft
2:07.0,Defensive rebound by B. Udrih,,20-30,,
2:01.0,,,20-30,,Personal foul by D. Green (drawn by Z. Randolph)
2:01.0,V. Carter enters the game for C. Lee,,20-30,,
2:01.0,,,20-30,,H. Barnes enters the game for D. Green
1:54.0,J. Green misses 2-pt shot from 20 ft,,20-30,,
1:53.0,Offensive rebound by Z. Randolph,,20-30,,
1:51.0,Turnover by Z. Randolph (bad pass; steal by A. Iguodala),,20-30,,
1:30.0,,,20-30,,A. Iguodala misses 2-pt shot from 16 ft
1:29.0,Defensive rebound by J. Green,,20-30,,
1:23.0,J. Green makes 2-pt shot from 2 ft,2,22-30,,
1:03.0,,,22-30,,Turnover by L. Barbosa (bad pass; steal by V. Carter)
0:45.0,B. Udrih makes 3-pt shot from 25 ft (assist by Z. Randolph),3,25-30,,
0:27.0,,,25-30,,S. Curry misses 3-pt shot from 26 ft
0:26.0,,,25-30,,Offensive rebound by F. Ezeli
0:25.0,,,25-32,2,F. Ezeli makes 2-pt shot from 3 ft
0:06.0,J. Green misses 3-pt shot from 27 ft,,25-32,,
0:05.0,,,25-32,,Defensive rebound by F. Ezeli
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,,,25-32,,M. Speights misses 2-pt shot from 14 ft
11:41.0,Defensive rebound by K. Koufos,,25-32,,
11:21.0,Z. Randolph makes 2-pt shot from 1 ft,2,27-32,,
11:04.0,,,27-34,2,H. Barnes makes 2-pt shot from 14 ft (assist by S. Livingston)
10:45.0,Z. Randolph makes 2-pt shot from 18 ft (assist by V. Carter),2,29-34,,
10:21.0,,,29-36,2,H. Barnes makes 2-pt shot from 8 ft
10:03.0,V. Carter misses 2-pt shot from 4 ft (block by H. Barnes),,29-36,,
10:01.0,,,29-36,,Defensive rebound by S. Livingston
9:54.0,,,29-39,3,A. Iguodala makes 3-pt shot from 25 ft (assist by L. Barbosa)
9:37.0,,,29-39,,Personal foul by M. Speights (drawn by Z. Randolph)
9:37.0,,,29-39,,K. Thompson enters the game for L. Barbosa
9:28.0,Z. Randolph misses 2-pt shot from 13 ft,,29-39,,
9:27.0,,,29-39,,Defensive rebound by M. Speights
9:21.0,,,29-39,,Turnover by S. Livingston (lost ball; steal by V. Carter)
9:14.0,B. Udrih makes 2-pt shot from 18 ft,2,31-39,,
9:05.0,,,31-39,,Shooting foul by K. Koufos (drawn by M. Speights)
9:05.0,,,31-40,1,M. Speights makes free throw 1 of 2
9:05.0,T. Allen enters the game for Z. Randolph,,31-40,,
9:05.0,,,31-40,,M. Speights misses free throw 2 of 2
9:04.0,Defensive rebound by K. Koufos,,31-40,,
8:50.0,J. Green misses 2-pt shot from 8 ft,,31-40,,
8:49.0,,,31-40,,Defensive rebound by Team
8:48.0,Official timeout,,31-40,,
8:28.0,,,31-42,2,K. Thompson makes 2-pt shot from 4 ft
8:12.0,V. Carter misses 3-pt shot from 25 ft,,31-42,,
8:11.0,,,31-42,,Defensive rebound by K. Thompson
8:04.0,,,31-42,,K. Thompson misses 2-pt shot from 7 ft
8:03.0,Defensive rebound by K. Koufos,,31-42,,
7:52.0,B. Udrih misses 2-pt shot from 14 ft,,31-42,,
7:51.0,,,31-42,,Defensive rebound by M. Speights
7:40.0,,,31-45,3,H. Barnes makes 3-pt shot from 24 ft (assist by K. Thompson)
7:21.0,,,31-45,,Personal foul by H. Barnes (drawn by T. Allen)
7:16.0,V. Carter makes 2-pt shot from 9 ft (assist by K. Koufos),2,33-45,,
7:03.0,,,33-47,2,M. Speights makes 2-pt shot from 15 ft (assist by K. Thompson)
7:03.0,,,33-47,,Shooting foul by T. Allen (drawn by M. Speights)
7:03.0,,,33-47,,M. Speights misses free throw 1 of 1
7:02.0,Defensive rebound by K. Koufos,,33-47,,
6:48.0,J. Green misses 2-pt shot from 14 ft,,33-47,,
6:48.0,,,33-47,,Defensive rebound by S. Livingston
6:37.0,,,33-49,2,M. Speights makes 2-pt shot from 8 ft (assist by A. Iguodala)
6:30.0,Memphis full timeout,,33-49,,
6:30.0,M. Gasol enters the game for K. Koufos,,33-49,,
6:14.0,Shooting foul by S. Livingston (drawn by T. Allen),,33-49,,
6:14.0,T. Allen makes free throw 1 of 2,1,34-49,,
6:14.0,T. Allen makes free throw 2 of 2,1,35-49,,
5:56.0,,,35-49,,M. Speights misses 2-pt shot from 14 ft
5:55.0,Defensive rebound by T. Allen,,35-49,,
5:44.0,Shooting foul by M. Speights (drawn by M. Gasol),,35-49,,
5:44.0,M. Gasol makes free throw 1 of 2,1,36-49,,
5:44.0,,,36-49,,A. Bogut enters the game for M. Speights
5:44.0,N. Calathes enters the game for B. Udrih,,36-49,,
5:44.0,C. Lee enters the game for V. Carter,,36-49,,
5:44.0,,,36-49,,S. Curry enters the game for A. Iguodala
5:44.0,M. Gasol makes free throw 2 of 2,1,37-49,,
5:24.0,,,37-49,,Turnover by S. Curry (lost ball; steal by T. Allen)
5:20.0,T. Allen makes 2-pt shot at rim,2,39-49,,
5:01.0,,,39-51,2,K. Thompson makes 2-pt shot from 10 ft
4:42.0,J. Green misses 2-pt shot from 10 ft,,39-51,,
4:41.0,,,39-51,,Defensive rebound by A. Bogut
4:31.0,,,39-53,2,S. Livingston makes 2-pt shot at rim (assist by K. Thompson)
4:01.0,N. Calathes misses 3-pt shot from 27 ft,,39-53,,
4:00.0,,,39-53,,Defensive rebound by A. Bogut
3:46.0,,,39-53,,K. Thompson misses 3-pt shot from 24 ft
3:44.0,Defensive rebound by M. Gasol,,39-53,,
3:32.0,Shooting foul by A. Bogut (drawn by M. Gasol),,39-53,,
3:32.0,M. Gasol makes free throw 1 of 2,1,40-53,,
3:32.0,,,40-53,,D. Green enters the game for H. Barnes
3:32.0,Z. Randolph enters the game for J. Green,,40-53,,
3:32.0,,,40-53,,Golden State full timeout
3:32.0,M. Gasol makes free throw 2 of 2,1,41-53,,
3:15.0,,,41-53,,Shooting foul by N. Calathes (drawn by S. Curry)
3:15.0,,,41-54,1,S. Curry makes free throw 1 of 2
3:15.0,,,41-55,1,S. Curry makes free throw 2 of 2
2:59.0,Z. Randolph makes 2-pt shot from 11 ft (assist by M. Gasol),2,43-55,,
2:32.0,,,43-55,,D. Green misses 3-pt shot from 26 ft
2:31.0,,,43-55,,Offensive rebound by S. Curry
2:27.0,,,43-55,,S. Curry misses 2-pt shot from 7 ft
2:27.0,,,43-55,,Offensive rebound by Team
2:25.0,,,43-55,,Turnover by S. Curry (bad pass; steal by N. Calathes)
2:17.0,C. Lee makes 2-pt shot from 14 ft (assist by T. Allen),2,45-55,,
2:02.0,,,45-55,,S. Curry misses 2-pt shot from 2 ft
2:01.0,Defensive rebound by M. Gasol,,45-55,,
1:47.0,Shooting foul by A. Bogut (drawn by Z. Randolph),,45-55,,
1:47.0,Z. Randolph makes free throw 1 of 2,1,46-55,,
1:47.0,,,46-55,,F. Ezeli enters the game for A. Bogut
1:47.0,J. Green enters the game for N. Calathes,,46-55,,
1:47.0,,,46-55,,A. Iguodala enters the game for S. Livingston
1:47.0,Z. Randolph makes free throw 2 of 2,1,47-55,,
1:40.0,,,47-55,,Turnover by D. Green (lost ball)
1:22.0,Z. Randolph makes 2-pt shot from 5 ft (assist by J. Green),2,49-55,,
1:13.0,,,49-58,3,S. Curry makes 3-pt shot from 27 ft
0:59.0,M. Gasol makes 2-pt shot from 19 ft (assist by Z. Randolph),2,51-58,,
0:51.0,,,51-61,3,S. Curry makes 3-pt shot from 25 ft
0:37.0,C. Lee misses 3-pt shot from 25 ft,,51-61,,
0:36.0,,,51-61,,Defensive rebound by A. Iguodala
0:31.0,,,51-61,,K. Thompson misses 3-pt shot from 27 ft
0:30.0,Defensive rebound by C. Lee,,51-61,,
0:16.0,,,51-61,,Personal foul by D. Green (drawn by T. Allen)
0:16.0,T. Allen misses free throw 1 of 2,,51-61,,
0:16.0,Offensive rebound by Team,,51-61,,
0:16.0,,,51-61,,M. Speights enters the game for F. Ezeli
0:16.0,,,51-61,,H. Barnes enters the game for D. Green
0:16.0,N. Calathes enters the game for Z. Randolph,,51-61,,
0:16.0,T. Allen makes free throw 2 of 2,1,52-61,,
0:10.0,,,52-61,,Golden State full timeout
0:05.0,Personal foul by C. Lee (drawn by H. Barnes),,52-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,52-63,2,H. Barnes makes 2-pt shot from 11 ft
11:18.0,M. Gasol makes 2-pt shot from 12 ft (assist by Z. Randolph),2,54-63,,
11:10.0,,,54-65,2,S. Curry makes 2-pt shot from 2 ft
10:45.0,Z. Randolph misses 2-pt shot from 8 ft,,54-65,,
10:45.0,,,54-65,,Defensive rebound by A. Bogut
10:31.0,,,54-68,3,D. Green makes 3-pt shot from 23 ft (assist by K. Thompson)
10:20.0,Turnover by C. Lee (bad pass; steal by K. Thompson),,54-68,,
10:17.0,Personal foul by N. Calathes (drawn by K. Thompson),,54-68,,
10:07.0,,,54-68,,Turnover by D. Green (bad pass; steal by T. Allen)
9:51.0,Offensive charge foul by M. Gasol,,54-68,,
9:51.0,Turnover by M. Gasol (offensive foul),,54-68,,
9:32.0,,,54-68,,D. Green misses 3-pt shot from 26 ft
9:32.0,Defensive rebound by Team,,54-68,,
9:16.0,T. Allen makes 2-pt shot from 6 ft (assist by Z. Randolph),2,56-68,,
8:58.0,,,56-70,2,S. Curry makes 2-pt shot from 19 ft
8:45.0,Turnover by N. Calathes (bad pass; steal by S. Curry),,56-70,,
8:37.0,,,56-70,,K. Thompson misses 2-pt shot from 21 ft
8:36.0,,,56-70,,Offensive rebound by H. Barnes
8:30.0,,,56-70,,S. Curry misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by Team,,56-70,,
8:28.0,,,56-70,,Loose ball foul by H. Barnes (drawn by M. Gasol)
8:06.0,N. Calathes misses 2-pt shot from 10 ft,,56-70,,
8:05.0,,,56-70,,Defensive rebound by A. Bogut
8:00.0,,,56-70,,S. Curry misses 2-pt shot from 21 ft
7:59.0,,,56-70,,Offensive rebound by H. Barnes
7:56.0,,,56-72,2,K. Thompson makes 2-pt shot from 3 ft (assist by H. Barnes)
7:55.0,Memphis full timeout,,56-72,,
7:42.0,C. Lee misses 2-pt shot from 8 ft,,56-72,,
7:41.0,,,56-72,,Defensive rebound by D. Green
7:20.0,,,56-72,,D. Green misses 2-pt shot from 17 ft
7:19.0,Defensive rebound by M. Gasol,,56-72,,
6:58.0,M. Gasol misses 2-pt shot from 11 ft,,56-72,,
6:57.0,Offensive rebound by Z. Randolph,,56-72,,
6:49.0,Z. Randolph makes 2-pt shot from 16 ft (assist by C. Lee),2,58-72,,
6:36.0,Personal foul by T. Allen (drawn by K. Thompson),,58-72,,
6:31.0,,,58-72,,Turnover by K. Thompson (lost ball; steal by N. Calathes)
6:18.0,Turnover by N. Calathes (bad pass; steal by S. Curry),,58-72,,
6:18.0,Personal foul by C. Lee (drawn by S. Curry),,58-72,,
6:18.0,B. Udrih enters the game for N. Calathes,,58-72,,
5:58.0,,,58-74,2,K. Thompson makes 2-pt shot from 2 ft
5:37.0,,,58-74,,Personal foul by D. Green (drawn by M. Gasol)
5:37.0,,,58-74,,D. Lee enters the game for D. Green
5:23.0,B. Udrih misses 3-pt shot from 27 ft,,58-74,,
5:22.0,Offensive rebound by Z. Randolph,,58-74,,
5:14.0,Shooting foul by A. Bogut (drawn by M. Gasol),,58-74,,
5:14.0,M. Gasol makes free throw 1 of 2,1,59-74,,
5:14.0,,,59-74,,Golden State full timeout
5:14.0,,,59-74,,F. Ezeli enters the game for A. Bogut
5:14.0,M. Gasol makes free throw 2 of 2,1,60-74,,
4:57.0,,,60-74,,D. Lee misses 2-pt shot from 8 ft
4:55.0,,,60-74,,Offensive rebound by D. Lee
4:46.0,,,60-77,3,K. Thompson makes 3-pt shot from 23 ft (assist by H. Barnes)
4:18.0,B. Udrih misses 3-pt shot from 25 ft,,60-77,,
4:17.0,,,60-77,,Defensive rebound by F. Ezeli
4:02.0,,,60-80,3,S. Curry makes 3-pt shot from 26 ft
3:33.0,Turnover by Team (shot clock),,60-80,,
3:33.0,,,60-80,,A. Iguodala enters the game for H. Barnes
3:33.0,,,60-80,,L. Barbosa enters the game for K. Thompson
3:33.0,V. Carter enters the game for B. Udrih,,60-80,,
3:33.0,J. Green enters the game for M. Gasol,,60-80,,
3:18.0,Personal foul by Z. Randolph (drawn by F. Ezeli),,60-80,,
3:10.0,,,60-80,,D. Lee misses 2-pt shot from 2 ft
3:09.0,,,60-80,,Offensive rebound by D. Lee
3:07.0,,,60-80,,D. Lee misses 2-pt shot from 2 ft
3:06.0,Defensive rebound by J. Green,,60-80,,
2:46.0,Z. Randolph makes 2-pt shot from 8 ft (assist by J. Green),2,62-80,,
2:23.0,,,62-80,,A. Iguodala misses 3-pt shot from 26 ft
2:22.0,Defensive rebound by Z. Randolph,,62-80,,
2:03.0,V. Carter misses 2-pt shot from 11 ft,,62-80,,
2:02.0,Offensive rebound by Team,,62-80,,
2:02.0,,,62-80,,S. Livingston enters the game for D. Lee
1:54.0,T. Allen makes 2-pt shot from 1 ft (assist by J. Green),2,64-80,,
1:33.0,,,64-80,,A. Iguodala misses 2-pt shot from 13 ft
1:32.0,,,64-80,,Offensive rebound by S. Livingston
1:18.0,,,64-82,2,F. Ezeli makes 2-pt shot from 3 ft (assist by S. Curry)
1:00.0,C. Lee makes 2-pt shot from 10 ft,2,66-82,,
0:51.0,,,66-82,,S. Curry misses 2-pt shot from 6 ft
0:49.0,Defensive rebound by Z. Randolph,,66-82,,
0:37.0,Z. Randolph misses 2-pt shot from 7 ft,,66-82,,
0:36.0,,,66-82,,Defensive rebound by A. Iguodala
0:36.0,Personal foul by Z. Randolph (drawn by A. Iguodala),,66-82,,
0:36.0,,,66-82,,A. Iguodala misses free throw 1 of 2
0:36.0,,,66-82,,Offensive rebound by Team
0:36.0,,,66-83,1,A. Iguodala makes free throw 2 of 2
0:21.0,Z. Randolph misses 2-pt shot from 4 ft (block by F. Ezeli),,66-83,,
0:19.0,,,66-83,,Defensive rebound by S. Livingston
0:03.0,,,66-83,,L. Barbosa misses 2-pt shot from 21 ft
0:01.0,Defensive rebound by Z. Randolph,,66-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,66-83,,Violation by L. Barbosa (kicked ball)
11:40.0,B. Udrih makes 2-pt shot from 14 ft,2,68-83,,
11:22.0,,,68-83,,Shooting foul by B. Udrih (drawn by L. Barbosa)
11:22.0,,,68-83,,L. Barbosa misses free throw 1 of 2
11:22.0,,,68-83,,Offensive rebound by Team
11:22.0,,,68-84,1,L. Barbosa makes free throw 2 of 2
11:12.0,V. Carter misses 2-pt shot from 16 ft,,68-84,,
11:10.0,,,68-84,,Defensive rebound by M. Speights
10:54.0,,,68-84,,Turnover by K. Thompson (bad pass; steal by M. Gasol)
10:48.0,Shooting foul by M. Speights (drawn by J. Green),,68-84,,
10:48.0,J. Green misses free throw 1 of 2,,68-84,,
10:48.0,Offensive rebound by Team,,68-84,,
10:48.0,J. Green makes free throw 2 of 2,1,69-84,,
10:36.0,,,69-86,2,K. Thompson makes 2-pt shot from 12 ft (assist by L. Barbosa)
10:22.0,M. Gasol misses 2-pt shot from 9 ft,,69-86,,
10:21.0,Offensive rebound by V. Carter,,69-86,,
10:21.0,V. Carter misses 2-pt shot from 1 ft,,69-86,,
10:20.0,,,69-86,,Defensive rebound by M. Speights
10:12.0,,,69-88,2,M. Speights makes 2-pt shot from 18 ft (assist by S. Livingston)
9:50.0,M. Gasol makes 2-pt shot from 11 ft (assist by J. Green),2,71-88,,
9:34.0,,,71-88,,K. Thompson misses 2-pt shot from 21 ft
9:33.0,Defensive rebound by V. Carter,,71-88,,
9:26.0,,,71-88,,Personal foul by L. Barbosa (drawn by B. Udrih)
9:14.0,V. Carter misses 3-pt shot from 26 ft,,71-88,,
9:13.0,,,71-88,,Defensive rebound by A. Iguodala
9:05.0,,,71-88,,Golden State full timeout
9:05.0,T. Allen enters the game for C. Lee,,71-88,,
8:51.0,,,71-88,,Turnover by M. Speights (bad pass; steal by J. Green)
8:46.0,J. Green makes 2-pt shot from 9 ft,2,73-88,,
8:27.0,,,73-88,,Shooting foul by M. Gasol (drawn by M. Speights)
8:27.0,,,73-89,1,M. Speights makes free throw 1 of 2
8:27.0,,,73-89,,D. Green enters the game for L. Barbosa
8:27.0,,,73-89,,S. Curry enters the game for S. Livingston
8:27.0,,,73-89,,M. Speights misses free throw 2 of 2
8:26.0,Defensive rebound by M. Gasol,,73-89,,
8:12.0,Turnover by B. Udrih (bad pass; steal by M. Speights),,73-89,,
8:09.0,,,73-91,2,M. Speights makes 2-pt shot at rim
7:52.0,Shooting foul by K. Thompson (drawn by M. Gasol),,73-91,,
7:52.0,M. Gasol makes free throw 1 of 2,1,74-91,,
7:52.0,M. Gasol makes free throw 2 of 2,1,75-91,,
7:39.0,,,75-91,,Turnover by S. Curry (bad pass; steal by B. Udrih)
7:34.0,B. Udrih misses 2-pt shot from 15 ft,,75-91,,
7:32.0,,,75-91,,Defensive rebound by S. Curry
7:25.0,,,75-91,,D. Green misses 2-pt shot from 2 ft
7:23.0,Defensive rebound by V. Carter,,75-91,,
7:17.0,J. Green makes 2-pt shot from 2 ft (assist by V. Carter),2,77-91,,
6:57.0,,,77-91,,K. Thompson misses 2-pt shot from 21 ft
6:55.0,Defensive rebound by V. Carter,,77-91,,
6:51.0,T. Allen misses 2-pt shot from 9 ft,,77-91,,
6:50.0,,,77-91,,Defensive rebound by M. Speights
6:41.0,,,77-94,3,K. Thompson makes 3-pt shot from 28 ft (assist by S. Curry)
6:19.0,T. Allen makes 2-pt shot from 8 ft (assist by M. Gasol),2,79-94,,
6:04.0,,,79-94,,S. Curry misses 3-pt shot from 24 ft
6:03.0,Defensive rebound by M. Gasol,,79-94,,
6:01.0,,,79-94,,Personal foul by M. Speights (drawn by V. Carter)
6:01.0,,,79-94,,A. Bogut enters the game for M. Speights
6:01.0,Z. Randolph enters the game for B. Udrih,,79-94,,
5:56.0,Turnover by V. Carter (bad pass; steal by A. Iguodala),,79-94,,
5:51.0,,,79-94,,A. Iguodala misses 2-pt shot from 2 ft
5:49.0,Defensive rebound by T. Allen,,79-94,,
5:44.0,J. Green makes 2-pt shot from 3 ft (assist by T. Allen),2,81-94,,
5:23.0,,,81-94,,Shooting foul by Z. Randolph (drawn by D. Green)
5:23.0,Official timeout,,81-94,,
5:23.0,C. Lee enters the game for V. Carter,,81-94,,
5:23.0,,,81-95,1,D. Green makes free throw 1 of 2
5:23.0,,,81-96,1,D. Green makes free throw 2 of 2
5:00.0,Z. Randolph misses 2-pt shot from 3 ft,,81-96,,
4:59.0,,,81-96,,Defensive rebound by A. Iguodala
4:59.0,Personal foul by T. Allen (drawn by A. Iguodala),,81-96,,
4:37.0,,,81-99,3,S. Curry makes 3-pt shot from 26 ft (assist by K. Thompson)
4:12.0,C. Lee misses 3-pt shot from 25 ft,,81-99,,
4:11.0,Offensive rebound by M. Gasol,,81-99,,
4:08.0,Shooting foul by A. Bogut (drawn by M. Gasol),,81-99,,
4:08.0,M. Gasol makes free throw 1 of 2,1,82-99,,
4:08.0,M. Gasol makes free throw 2 of 2,1,83-99,,
3:50.0,,,83-99,,S. Curry misses 2-pt shot from 11 ft
3:49.0,Defensive rebound by M. Gasol,,83-99,,
3:45.0,Turnover by C. Lee (lost ball),,83-99,,
3:30.0,,,83-99,,S. Curry misses 2-pt shot from 20 ft
3:30.0,Defensive rebound by M. Gasol,,83-99,,
3:17.0,C. Lee misses 2-pt shot from 17 ft,,83-99,,
3:16.0,,,83-99,,Defensive rebound by A. Iguodala
3:00.0,,,83-99,,Turnover by A. Iguodala (bad pass; steal by T. Allen)
2:49.0,Turnover by J. Green (bad pass; steal by A. Bogut),,83-99,,
2:43.0,,,83-101,2,A. Iguodala makes 2-pt shot from 1 ft (assist by K. Thompson)
2:40.0,Memphis full timeout,,83-101,,
2:40.0,N. Calathes enters the game for J. Green,,83-101,,
2:15.0,M. Gasol misses 2-pt shot from 8 ft,,83-101,,
2:14.0,,,83-101,,Defensive rebound by A. Bogut
1:53.0,,,83-101,,D. Green misses 3-pt shot from 28 ft
1:52.0,,,83-101,,Offensive rebound by Team
1:52.0,,,83-101,,Turnover by Team (shot clock)
1:32.0,Turnover by M. Gasol (bad pass; steal by D. Green),,83-101,,
1:23.0,,,83-101,,K. Thompson misses 3-pt shot from 23 ft
1:22.0,Defensive rebound by N. Calathes,,83-101,,
1:11.0,T. Allen misses 2-pt shot from 3 ft,,83-101,,
1:09.0,Offensive rebound by T. Allen,,83-101,,
1:03.0,M. Gasol misses 3-pt shot from 25 ft,,83-101,,
1:02.0,,,83-101,,Defensive rebound by D. Green
0:42.0,,,83-101,,A. Bogut misses 3-pt shot from 24 ft
0:41.0,Defensive rebound by Z. Randolph,,83-101,,
0:35.0,,,83-101,,Personal foul by A. Bogut (drawn by N. Calathes)
0:35.0,,,83-101,,F. Ezeli enters the game for A. Bogut
0:35.0,,,83-101,,J. Holiday enters the game for K. Thompson
0:35.0,R. Smith enters the game for M. Gasol,,83-101,,
0:35.0,J. Adams enters the game for T. Allen,,83-101,,
0:35.0,J. Green enters the game for Z. Randolph,,83-101,,
0:35.0,N. Calathes misses free throw 1 of 2,,83-101,,
0:35.0,Offensive rebound by Team,,83-101,,
0:35.0,,,83-101,,L. Barbosa enters the game for S. Curry
0:35.0,,,83-101,,J. McAdoo enters the game for D. Green
0:35.0,N. Calathes misses free throw 2 of 2,,83-101,,
0:35.0,,,83-101,,Defensive rebound by J. McAdoo
0:16.0,,,83-101,,J. McAdoo misses 2-pt shot from 4 ft
0:15.0,Defensive rebound by J. Green,,83-101,,
0:09.0,J. Adams makes 3-pt shot from 24 ft (assist by R. Smith),3,86-101,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
