time,New York,pts.away,score,pts.home,Indiana
6:58.0,,,13-6,,Defensive rebound by C. Watson
6:40.0,,,13-8,2,R. Stuckey makes 2-pt shot from 15 ft
6:28.0,,,13-8,,Personal foul by C. Watson (drawn by J. Calderon)
6:16.0,J. Calderon makes 2-pt shot from 18 ft (assist by L. Amundson),2,15-8,,
6:15.0,,,15-8,,Indiana full timeout
6:00.0,,,15-8,,S. Hill misses 2-pt shot at rim (block by C. Anthony)
5:59.0,Defensive rebound by L. Galloway,,15-8,,
5:43.0,C. Anthony makes 2-pt shot from 2 ft (assist by J. Smith),2,17-8,,
5:30.0,Personal foul by L. Amundson (drawn by R. Hibbert),,17-8,,
5:30.0,,,17-8,,I. Mahinmi enters the game for R. Hibbert
5:30.0,L. Thomas enters the game for L. Amundson,,17-8,,
5:20.0,,,17-8,,Turnover by D. West (lost ball)
5:12.0,,,17-8,,Personal foul by S. Hill (drawn by C. Anthony)
5:12.0,,,17-8,,C. Miles enters the game for S. Hill
5:12.0,,,17-8,,G. Hill enters the game for C. Watson
5:03.0,C. Anthony misses 2-pt shot from 20 ft,,17-8,,
5:02.0,,,17-8,,Defensive rebound by R. Stuckey
4:48.0,,,17-10,2,I. Mahinmi makes 2-pt shot at rim (assist by G. Hill)
4:48.0,,,17-10,,Shooting foul by J. Calderon (drawn by I. Mahinmi)
4:48.0,,,17-10,,I. Mahinmi misses free throw 1 of 1
4:47.0,,,17-10,,Offensive rebound by D. West
4:31.0,,,17-10,,C. Miles misses 3-pt shot from 22 ft
4:30.0,Defensive rebound by J. Smith,,17-10,,
4:16.0,C. Anthony makes 2-pt shot from 13 ft,2,19-10,,
4:05.0,Personal foul by L. Thomas (drawn by G. Hill),,19-10,,
4:05.0,,,19-11,1,G. Hill makes free throw 1 of 2
4:05.0,,,19-12,1,G. Hill makes free throw 2 of 2
3:52.0,C. Anthony makes 3-pt shot from 26 ft (assist by L. Galloway),3,22-12,,
3:38.0,,,22-14,2,R. Stuckey makes 2-pt shot from 1 ft (assist by D. West)
3:22.0,Shooting foul by C. Miles (drawn by C. Anthony),,22-14,,
3:22.0,C. Anthony makes free throw 1 of 2,1,23-14,,
3:22.0,T. Hardaway enters the game for J. Calderon,,23-14,,
3:22.0,Q. Acy enters the game for J. Smith,,23-14,,
3:22.0,C. Anthony makes free throw 2 of 2,1,24-14,,
3:11.0,,,24-14,,D. West misses 2-pt shot from 16 ft
3:10.0,Defensive rebound by T. Hardaway,,24-14,,
2:54.0,L. Galloway misses 2-pt shot from 19 ft,,24-14,,
2:52.0,,,24-14,,Defensive rebound by D. West
2:38.0,,,24-14,,G. Hill misses 2-pt shot at rim
2:37.0,Defensive rebound by Q. Acy,,24-14,,
2:25.0,L. Thomas misses 2-pt shot from 14 ft,,24-14,,
2:24.0,,,24-14,,Defensive rebound by R. Stuckey
2:21.0,Shooting block foul by L. Galloway (drawn by R. Stuckey),,24-14,,
2:21.0,New York full timeout,,24-14,,
2:21.0,S. Larkin enters the game for L. Galloway,,24-14,,
2:21.0,,,24-15,1,R. Stuckey makes free throw 1 of 2
2:21.0,,,24-16,1,R. Stuckey makes free throw 2 of 2
2:08.0,T. Hardaway makes 3-pt shot from 27 ft (assist by C. Anthony),3,27-16,,
1:49.0,,,27-18,2,G. Hill makes 2-pt shot from 1 ft (assist by R. Stuckey)
1:34.0,C. Anthony misses 2-pt shot from 15 ft,,27-18,,
1:33.0,,,27-18,,Defensive rebound by D. West
1:24.0,Personal block foul by Q. Acy (drawn by I. Mahinmi),,27-18,,
1:24.0,,,27-18,,I. Mahinmi misses free throw 1 of 2
1:24.0,,,27-18,,Offensive rebound by Team
1:24.0,C. Early enters the game for C. Anthony,,27-18,,
1:24.0,,,27-18,,I. Mahinmi misses free throw 2 of 2
1:24.0,Defensive rebound by T. Hardaway,,27-18,,
1:10.0,Turnover by L. Thomas (traveling),,27-18,,
1:10.0,,,27-18,,D. Rudez enters the game for R. Stuckey
0:57.0,,,27-20,2,C. Miles makes 2-pt shot at rim
0:42.0,C. Early misses 2-pt shot from 16 ft,,27-20,,
0:41.0,,,27-20,,Defensive rebound by D. West
0:27.0,,,27-20,,D. West misses 2-pt shot from 7 ft (block by Q. Acy)
0:25.0,Defensive rebound by S. Larkin,,27-20,,
0:16.0,,,27-20,,Personal foul by D. West (drawn by Q. Acy)
0:16.0,Q. Acy makes free throw 1 of 2,1,28-20,,
0:16.0,Q. Acy misses free throw 2 of 2,,28-20,,
0:16.0,,,28-20,,Defensive rebound by I. Mahinmi
0:09.0,Personal foul by Q. Acy (drawn by D. West),,28-20,,
0:09.0,,,28-21,1,D. West makes free throw 1 of 2
0:09.0,,,28-22,1,D. West makes free throw 2 of 2
0:05.0,,,28-22,,Personal block foul by C. Miles (drawn by T. Hardaway)
0:05.0,T. Hardaway makes free throw 1 of 2,1,29-22,,
0:05.0,T. Hardaway misses free throw 2 of 2,,29-22,,
0:05.0,,,29-22,,Defensive rebound by I. Mahinmi
0:00.0,,,29-22,,C. Miles misses 3-pt shot from 36 ft
0:00.0,,,29-22,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,29-24,2,I. Mahinmi makes 2-pt shot at rim (assist by R. Stuckey)
11:25.0,Turnover by S. Larkin (bad pass),,29-24,,
11:14.0,,,29-24,,R. Stuckey misses 2-pt shot from 19 ft
11:13.0,Defensive rebound by L. Thomas,,29-24,,
11:04.0,T. Hardaway misses 2-pt shot from 18 ft,,29-24,,
11:03.0,,,29-24,,Defensive rebound by C. Watson
10:51.0,,,29-24,,L. Allen misses 2-pt shot from 21 ft
10:50.0,,,29-24,,Offensive rebound by I. Mahinmi
10:50.0,,,29-24,,Shooting foul by L. Thomas (drawn by I. Mahinmi)
10:50.0,,,29-24,,I. Mahinmi misses free throw 1 of 2
10:50.0,,,29-24,,Offensive rebound by Team
10:50.0,J. Smith enters the game for L. Thomas,,29-24,,
10:50.0,,,29-24,,I. Mahinmi misses free throw 2 of 2
10:50.0,Defensive rebound by Q. Acy,,29-24,,
10:32.0,J. Smith makes 2-pt shot from 20 ft (assist by T. Hardaway),2,31-24,,
10:03.0,,,31-26,2,C. Watson makes 2-pt shot from 20 ft
9:54.0,S. Larkin misses 2-pt shot from 1 ft (block by I. Mahinmi),,31-26,,
9:52.0,,,31-26,,Defensive rebound by I. Mahinmi
9:48.0,,,31-26,,C. Watson misses 3-pt shot from 25 ft
9:47.0,Defensive rebound by J. Smith,,31-26,,
9:40.0,T. Hardaway misses 2-pt shot from 1 ft,,31-26,,
9:39.0,,,31-26,,Defensive rebound by L. Allen
9:29.0,,,31-26,,Turnover by R. Stuckey (bad pass; steal by J. Smith)
9:29.0,,,31-26,,Personal foul by I. Mahinmi (drawn by J. Smith)
9:05.0,Turnover by Team (shot clock),,31-26,,
8:51.0,,,31-28,2,R. Stuckey makes 2-pt shot from 1 ft
8:51.0,,,31-28,,Shooting foul by T. Hardaway (drawn by R. Stuckey)
8:51.0,Official timeout,,31-28,,
8:51.0,J. Calderon enters the game for S. Larkin,,31-28,,
8:51.0,L. Galloway enters the game for C. Early,,31-28,,
8:51.0,,,31-28,,R. Hibbert enters the game for I. Mahinmi
8:51.0,,,31-29,1,R. Stuckey makes free throw 1 of 1
8:32.0,T. Hardaway misses 2-pt shot from 18 ft,,31-29,,
8:31.0,,,31-29,,Defensive rebound by L. Allen
8:10.0,,,31-29,,R. Stuckey misses 3-pt shot from 27 ft
8:08.0,Defensive rebound by Q. Acy,,31-29,,
7:58.0,J. Calderon makes 2-pt shot from 15 ft,2,33-29,,
7:43.0,,,33-31,2,L. Allen makes 2-pt shot from 19 ft (assist by D. Rudez)
7:29.0,Shooting foul by D. Rudez (drawn by T. Hardaway),,33-31,,
7:29.0,T. Hardaway makes free throw 1 of 2,1,34-31,,
7:29.0,T. Hardaway makes free throw 2 of 2,1,35-31,,
7:09.0,,,35-31,,R. Hibbert misses 2-pt shot from 18 ft
7:08.0,,,35-31,,Offensive rebound by L. Allen
6:55.0,,,35-31,,D. Rudez misses 3-pt shot from 23 ft
6:54.0,,,35-31,,Offensive rebound by L. Allen
6:49.0,,,35-34,3,D. Rudez makes 3-pt shot from 23 ft (assist by C. Watson)
6:32.0,J. Smith makes 2-pt shot from 17 ft (assist by J. Calderon),2,37-34,,
6:21.0,,,37-34,,Indiana full timeout
6:21.0,C. Anthony enters the game for T. Hardaway,,37-34,,
6:21.0,L. Amundson enters the game for Q. Acy,,37-34,,
6:21.0,,,37-34,,S. Hill enters the game for D. Rudez
6:14.0,,,37-36,2,R. Hibbert makes 2-pt shot from 6 ft (assist by L. Allen)
5:53.0,C. Anthony makes 2-pt shot from 16 ft,2,39-36,,
5:35.0,,,39-36,,C. Watson misses 3-pt shot from 26 ft
5:33.0,,,39-36,,Offensive rebound by R. Stuckey
5:27.0,,,39-38,2,L. Allen makes 2-pt shot from 19 ft (assist by C. Watson)
5:11.0,Turnover by L. Amundson (bad pass; steal by C. Watson),,39-38,,
5:07.0,,,39-40,2,C. Watson makes 2-pt shot at rim
4:40.0,C. Anthony misses 2-pt shot from 15 ft,,39-40,,
4:39.0,Offensive rebound by J. Smith,,39-40,,
4:26.0,L. Galloway misses 2-pt shot from 17 ft,,39-40,,
4:25.0,,,39-40,,Defensive rebound by S. Hill
4:16.0,,,39-42,2,L. Allen makes 2-pt shot from 1 ft (assist by R. Hibbert)
4:09.0,New York full timeout,,39-42,,
3:59.0,J. Calderon misses 2-pt shot from 15 ft,,39-42,,
3:57.0,Offensive rebound by J. Smith,,39-42,,
3:54.0,J. Smith misses 2-pt shot from 14 ft,,39-42,,
3:53.0,,,39-42,,Defensive rebound by R. Hibbert
3:33.0,,,39-44,2,R. Hibbert makes 2-pt shot from 10 ft
3:16.0,L. Amundson makes 2-pt shot from 5 ft,2,41-44,,
3:04.0,,,41-44,,R. Stuckey misses 2-pt shot from 1 ft
3:03.0,,,41-44,,Offensive rebound by L. Allen
3:03.0,,,41-46,2,L. Allen makes 2-pt shot from 1 ft
2:46.0,L. Galloway misses 2-pt shot from 19 ft,,41-46,,
2:45.0,Offensive rebound by J. Smith,,41-46,,
2:40.0,C. Anthony misses 3-pt shot from 24 ft,,41-46,,
2:39.0,,,41-46,,Defensive rebound by C. Watson
2:36.0,,,41-46,,Indiana full timeout
2:36.0,,,41-46,,C. Miles enters the game for R. Stuckey
2:36.0,,,41-46,,D. West enters the game for L. Allen
2:17.0,,,41-46,,C. Watson misses 2-pt shot from 3 ft
2:16.0,,,41-46,,Offensive rebound by R. Hibbert
2:16.0,,,41-48,2,R. Hibbert makes 2-pt shot at rim
1:54.0,L. Amundson makes 2-pt shot from 1 ft (assist by J. Smith),2,43-48,,
1:47.0,Personal take foul by L. Galloway (drawn by D. West),,43-48,,
1:47.0,,,43-48,,G. Hill enters the game for C. Watson
1:47.0,L. Thomas enters the game for J. Smith,,43-48,,
1:38.0,,,43-48,,Turnover by R. Hibbert (traveling)
1:19.0,L. Amundson makes 2-pt shot from 9 ft (assist by L. Galloway),2,45-48,,
1:09.0,,,45-50,2,R. Hibbert makes 2-pt shot at rim (assist by S. Hill)
0:57.0,L. Thomas misses 2-pt shot from 18 ft,,45-50,,
0:56.0,,,45-50,,Defensive rebound by G. Hill
0:54.0,,,45-50,,Turnover by G. Hill (bad pass)
0:40.0,L. Amundson makes 2-pt shot from 10 ft (assist by J. Calderon),2,47-50,,
0:33.0,,,47-52,2,S. Hill makes 2-pt shot at rim
0:24.0,C. Anthony makes 2-pt shot from 8 ft,2,49-52,,
0:03.0,,,49-52,,Shooting foul by J. Calderon (drawn by G. Hill)
0:03.0,,,49-53,1,G. Hill makes free throw 1 of 2
0:03.0,,,49-53,,R. Stuckey enters the game for S. Hill
0:03.0,,,49-54,1,G. Hill makes free throw 2 of 2
0:00.0,L. Galloway misses 3-pt shot from 40 ft,,49-54,,
0:00.0,Offensive rebound by Team,,49-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,49-56,2,R. Hibbert makes 2-pt shot from 8 ft (assist by D. West)
11:23.0,L. Amundson misses 2-pt shot from 1 ft (block by R. Hibbert),,49-56,,
11:20.0,,,49-56,,Defensive rebound by R. Hibbert
11:12.0,,,49-58,2,R. Hibbert makes 2-pt shot from 20 ft (assist by C. Watson)
11:10.0,New York full timeout,,49-58,,
10:57.0,C. Anthony misses 2-pt shot from 13 ft,,49-58,,
10:55.0,Offensive rebound by L. Amundson,,49-58,,
10:55.0,L. Amundson makes 2-pt shot at rim,2,51-58,,
10:37.0,,,51-60,2,R. Hibbert makes 2-pt shot from 12 ft
10:17.0,J. Calderon misses 2-pt shot from 18 ft,,51-60,,
10:16.0,,,51-60,,Defensive rebound by R. Stuckey
10:06.0,,,51-62,2,R. Stuckey makes 2-pt shot from 14 ft
9:52.0,Turnover by C. Anthony (lost ball),,51-62,,
9:36.0,,,51-64,2,R. Hibbert makes 2-pt shot from 19 ft (assist by D. West)
9:21.0,L. Galloway makes 2-pt shot from 7 ft (assist by J. Smith),2,53-64,,
9:01.0,,,53-64,,R. Hibbert misses 2-pt shot from 11 ft
9:00.0,Defensive rebound by C. Anthony,,53-64,,
8:50.0,J. Smith misses 3-pt shot from 23 ft,,53-64,,
8:47.0,,,53-64,,Defensive rebound by D. West
8:42.0,Personal foul by J. Smith (drawn by R. Hibbert),,53-64,,
8:31.0,,,53-66,2,D. West makes 2-pt shot from 3 ft
8:15.0,J. Calderon makes 3-pt shot from 22 ft (assist by J. Smith),3,56-66,,
7:57.0,,,56-68,2,R. Hibbert makes 2-pt shot from 1 ft (assist by D. West)
7:47.0,C. Anthony misses 2-pt shot from 14 ft,,56-68,,
7:46.0,,,56-68,,Defensive rebound by R. Hibbert
7:40.0,,,56-71,3,C. Watson makes 3-pt shot from 25 ft (assist by S. Hill)
7:24.0,L. Galloway misses 3-pt shot from 26 ft,,56-71,,
7:22.0,,,56-71,,Defensive rebound by C. Watson
7:22.0,Personal foul by L. Galloway (drawn by C. Watson),,56-71,,
7:06.0,,,56-74,3,R. Stuckey makes 3-pt shot from 26 ft (assist by S. Hill)
7:04.0,,,56-74,,Violation by Team (jump ball)
6:47.0,J. Smith misses 2-pt shot from 20 ft,,56-74,,
6:46.0,,,56-74,,Defensive rebound by C. Watson
6:37.0,,,56-76,2,R. Stuckey makes 2-pt shot from 8 ft (assist by C. Watson)
6:36.0,New York full timeout,,56-76,,
6:23.0,Shooting foul by R. Stuckey (drawn by L. Amundson),,56-76,,
6:23.0,L. Amundson misses free throw 1 of 2,,56-76,,
6:23.0,Offensive rebound by Team,,56-76,,
6:23.0,L. Amundson makes free throw 2 of 2,1,57-76,,
6:03.0,,,57-76,,D. West misses 2-pt shot at rim
6:02.0,,,57-76,,Offensive rebound by R. Hibbert
5:51.0,,,57-76,,D. West misses 2-pt shot from 5 ft
5:49.0,Defensive rebound by J. Calderon,,57-76,,
5:33.0,C. Anthony makes 2-pt shot from 11 ft,2,59-76,,
5:18.0,,,59-76,,G. Hill enters the game for C. Watson
5:04.0,,,59-79,3,S. Hill makes 3-pt shot from 25 ft (assist by D. West)
4:53.0,,,59-79,,Personal foul by D. West (drawn by J. Smith)
4:53.0,,,59-79,,C. Miles enters the game for R. Stuckey
4:45.0,C. Anthony misses 3-pt shot from 26 ft,,59-79,,
4:45.0,,,59-79,,Defensive rebound by R. Hibbert
4:31.0,,,59-82,3,S. Hill makes 3-pt shot from 28 ft (assist by G. Hill)
4:10.0,C. Anthony misses 2-pt shot from 15 ft,,59-82,,
4:09.0,,,59-82,,Defensive rebound by R. Hibbert
4:03.0,,,59-84,2,G. Hill makes 2-pt shot from 11 ft
3:53.0,J. Calderon misses 2-pt shot from 20 ft,,59-84,,
3:52.0,,,59-84,,Defensive rebound by R. Hibbert
3:45.0,,,59-84,,I. Mahinmi enters the game for R. Hibbert
3:45.0,T. Hardaway enters the game for C. Anthony,,59-84,,
3:45.0,,,59-84,,Indiana full timeout
3:45.0,L. Thomas enters the game for L. Amundson,,59-84,,
3:33.0,,,59-86,2,D. West makes 2-pt shot from 20 ft (assist by G. Hill)
3:12.0,Turnover by L. Thomas (traveling),,59-86,,
2:50.0,,,59-86,,C. Miles misses 2-pt shot from 16 ft
2:49.0,Defensive rebound by Team,,59-86,,
2:37.0,L. Thomas misses 2-pt shot from 11 ft,,59-86,,
2:36.0,,,59-86,,Defensive rebound by I. Mahinmi
2:27.0,,,59-86,,Offensive foul by I. Mahinmi
2:27.0,,,59-86,,Turnover by I. Mahinmi (offensive foul)
2:16.0,L. Galloway misses 3-pt shot from 25 ft,,59-86,,
2:15.0,,,59-86,,Defensive rebound by G. Hill
2:05.0,,,59-89,3,C. Miles makes 3-pt shot from 27 ft (assist by D. West)
1:51.0,Turnover by J. Smith (lost ball; steal by I. Mahinmi),,59-89,,
1:41.0,Personal foul by L. Galloway (drawn by G. Hill),,59-89,,
1:41.0,C. Early enters the game for J. Calderon,,59-89,,
1:25.0,,,59-89,,G. Hill misses 2-pt shot from 8 ft
1:24.0,Defensive rebound by T. Hardaway,,59-89,,
1:20.0,Shooting foul by I. Mahinmi (drawn by J. Smith),,59-89,,
1:20.0,J. Smith makes free throw 1 of 2,1,60-89,,
1:20.0,J. Smith makes free throw 2 of 2,1,61-89,,
1:09.0,,,61-89,,C. Miles misses 3-pt shot from 27 ft
1:08.0,Defensive rebound by J. Smith,,61-89,,
1:00.0,C. Early misses 3-pt shot from 25 ft,,61-89,,
0:59.0,,,61-89,,Defensive rebound by D. West
0:41.0,,,61-89,,G. Hill misses 3-pt shot from 25 ft
0:41.0,Defensive rebound by Team,,61-89,,
0:34.0,L. Galloway misses 2-pt shot from 18 ft,,61-89,,
0:32.0,,,61-89,,Defensive rebound by Team
0:08.0,,,61-89,,S. Hill misses 2-pt shot from 19 ft
0:07.0,Defensive rebound by T. Hardaway,,61-89,,
0:00.0,L. Thomas misses 2-pt shot from 17 ft (block by D. West),,61-89,,
0:00.0,,,61-89,,Defensive rebound by C. Miles
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,L. Thomas makes 2-pt shot from 2 ft,2,63-89,,
11:18.0,Personal foul by S. Larkin (drawn by C. Watson),,63-89,,
11:12.0,,,63-89,,Shooting foul by Q. Acy (drawn by R. Stuckey)
11:12.0,,,63-90,1,R. Stuckey makes free throw 1 of 2
11:12.0,,,63-91,1,R. Stuckey makes free throw 2 of 2
10:59.0,T. Hardaway misses 3-pt shot from 27 ft,,63-91,,
10:58.0,,,63-91,,Defensive rebound by I. Mahinmi
10:45.0,,,63-93,2,I. Mahinmi makes 2-pt shot from 1 ft (assist by R. Stuckey)
10:30.0,Turnover by C. Early (lost ball; steal by D. Rudez),,63-93,,
10:18.0,,,63-95,2,C. Copeland makes 2-pt shot from 6 ft
10:02.0,Turnover by Q. Acy (step out of bounds),,63-95,,
9:44.0,,,63-95,,D. Rudez misses 3-pt shot from 25 ft
9:43.0,Defensive rebound by Q. Acy,,63-95,,
9:26.0,Q. Acy misses 2-pt shot from 18 ft,,63-95,,
9:25.0,Offensive rebound by S. Larkin,,63-95,,
9:21.0,T. Hardaway misses 3-pt shot from 26 ft,,63-95,,
9:20.0,,,63-95,,Defensive rebound by I. Mahinmi
9:11.0,,,63-97,2,R. Stuckey makes 2-pt shot from 1 ft
8:56.0,L. Thomas misses 2-pt shot from 17 ft,,63-97,,
8:54.0,,,63-97,,Defensive rebound by R. Stuckey
8:47.0,,,63-97,,R. Stuckey misses 2-pt shot from 11 ft
8:46.0,Defensive rebound by C. Early,,63-97,,
8:40.0,T. Hardaway makes 3-pt shot from 25 ft,3,66-97,,
8:24.0,,,66-97,,C. Copeland misses 3-pt shot from 25 ft
8:22.0,Defensive rebound by S. Larkin,,66-97,,
8:15.0,S. Larkin misses 3-pt shot from 25 ft,,66-97,,
8:14.0,,,66-97,,Defensive rebound by I. Mahinmi
7:53.0,,,66-97,,R. Stuckey misses 2-pt shot from 17 ft (block by C. Early)
7:53.0,,,66-97,,Offensive rebound by Team
7:53.0,Official timeout,,66-97,,
7:53.0,,,66-97,,S. Hill enters the game for R. Stuckey
7:49.0,,,66-97,,Turnover by Team (shot clock)
7:40.0,T. Hardaway makes 2-pt shot from 1 ft (assist by Q. Acy),2,68-97,,
7:23.0,,,68-97,,I. Mahinmi misses 2-pt shot at rim (block by T. Hardaway)
7:21.0,Defensive rebound by T. Hardaway,,68-97,,
7:18.0,T. Hardaway misses 2-pt shot at rim (block by C. Copeland),,68-97,,
7:16.0,,,68-97,,Defensive rebound by C. Copeland
7:11.0,,,68-97,,I. Mahinmi misses 2-pt shot at rim (block by C. Early)
7:10.0,Defensive rebound by C. Early,,68-97,,
7:03.0,L. Thomas makes 2-pt shot from 12 ft (assist by S. Larkin),2,70-97,,
6:47.0,,,70-97,,Offensive foul by I. Mahinmi
6:47.0,,,70-97,,Turnover by I. Mahinmi (offensive foul)
6:29.0,C. Early misses 2-pt shot from 19 ft,,70-97,,
6:28.0,,,70-97,,Defensive rebound by I. Mahinmi
6:05.0,,,70-99,2,S. Hill makes 2-pt shot from 4 ft
5:49.0,S. Larkin misses 2-pt shot from 18 ft,,70-99,,
5:48.0,,,70-99,,Defensive rebound by I. Mahinmi
5:37.0,,,70-99,,Indiana full timeout
5:29.0,,,70-99,,S. Hill misses 2-pt shot from 6 ft
5:28.0,Defensive rebound by Team,,70-99,,
5:16.0,L. Thomas makes 2-pt shot from 20 ft (assist by S. Larkin),2,72-99,,
4:58.0,,,72-99,,C. Copeland misses 2-pt shot from 2 ft
4:57.0,Defensive rebound by C. Early,,72-99,,
4:42.0,L. Thomas misses 2-pt shot from 6 ft,,72-99,,
4:40.0,Offensive rebound by Team,,72-99,,
4:30.0,C. Early makes 2-pt shot from 19 ft (assist by S. Larkin),2,74-99,,
4:24.0,Personal take foul by S. Larkin (drawn by C. Watson),,74-99,,
4:24.0,New York full timeout,,74-99,,
4:24.0,L. Galloway enters the game for T. Hardaway,,74-99,,
4:11.0,,,74-101,2,I. Mahinmi makes 2-pt shot at rim (assist by C. Copeland)
3:53.0,,,74-101,,Personal foul by I. Mahinmi (drawn by L. Thomas)
3:41.0,Q. Acy misses 2-pt shot from 13 ft,,74-101,,
3:39.0,,,74-101,,Defensive rebound by C. Watson
3:23.0,,,74-101,,Turnover by C. Copeland (bad pass; steal by C. Early)
3:17.0,C. Early misses 2-pt shot from 2 ft,,74-101,,
3:16.0,Offensive rebound by Q. Acy,,74-101,,
3:13.0,Turnover by Q. Acy (lost ball),,74-101,,
2:57.0,,,74-101,,C. Watson misses 2-pt shot from 19 ft
2:55.0,Defensive rebound by C. Early,,74-101,,
2:45.0,Q. Acy misses 3-pt shot from 28 ft,,74-101,,
2:44.0,,,74-101,,Defensive rebound by S. Hill
2:25.0,,,74-101,,Turnover by C. Copeland (offensive foul)
2:25.0,,,74-101,,Offensive charge foul by C. Copeland
2:12.0,Q. Acy makes 2-pt shot at rim (assist by S. Larkin),2,76-101,,
1:56.0,,,76-103,2,D. Rudez makes 2-pt shot from 6 ft (assist by C. Watson)
1:41.0,L. Thomas makes 2-pt shot from 16 ft (assist by S. Larkin),2,78-103,,
1:27.0,,,78-103,,Turnover by D. Rudez (lost ball; steal by S. Larkin)
1:22.0,S. Larkin makes 2-pt shot from 1 ft,2,80-103,,
1:05.0,,,80-103,,C. Watson misses 3-pt shot from 23 ft
1:04.0,Defensive rebound by L. Thomas,,80-103,,
0:52.0,L. Galloway misses 2-pt shot from 12 ft,,80-103,,
0:51.0,,,80-103,,Defensive rebound by C. Copeland
0:36.0,,,80-103,,Turnover by I. Mahinmi (step out of bounds)
0:19.0,L. Galloway makes 2-pt shot from 19 ft,2,82-103,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
